0	Index      	 *	Score 	Summary	Detail	
1	42431 41221	 * 	213.87	ACR|3VULN|2DMG|3ZMB|1AART	1NUKE|2RCR|3AART|48aVULN|5DUST|68DMG|789ZMB|8BPWR
17	42151 34322	 * 	193.99	ACR|2VULN|2DMG|1AART|3DUR|1ZMB	1NUKE|2RCR|37DMG|47VULN|57aDUR|6RMIN|7BPWR|8AART|9ZMB
18	42431 42222	   	193.41	ACR|2AART|2VULN|2DMG|2DUR	1NUKE|2RCR|38AART|47VULN|57DUST|67DMG|7BPWR|9aDUR
19	42434 42222	   	193.41	ACR|2AART|2VULN|2DMG|2DUR	1NUKE|2RCR|38AART|47VULN|5MBVNT|67DMG|7BPWR|9aDUR
20	42641 24444	   	193.19	ACR|2VULN|2DMG|1AART|2ASPD|1ZMB	1NUKE|2RCR|3MBVNT|49DMG|5AART|6LHND|79VULN|89ASPD|9BPWR|aZMB
21	42641 54444	   	193.19	ACR|2VULN|2DMG|1AART|2ASPD|1ZMB	1NUKE|2RCR|3MBVNT|49DMG|5AART|6BEXP|79VULN|89ASPD|9BPWR|aZMB
22	42434 42144	   	192.18	ACR|2AART|2DMG|2VULN|1ZMB	1NUKE|2RCR|39AART|47VULN|5MBVNT|67DMG|7BPWR|8LWND|aZMB
23	42434 42214	   	192.18	ACR|2AART|2DMG|2VULN|1ZMB	1NUKE|2RCR|38AART|47VULN|5MBVNT|67DMG|7BPWR|9LHND|aZMB
24	42434 42234	   	192.08	ACR|2AART|2VULN|2DMG|1ZMB	1NUKE|2RCR|38AART|47VULN|5MBVNT|67DMG|7BPWR|9DUST|aZMB
25	42143 13224	 * 	191.76	ACR|2DMG|1AART|3CDMG|1VULN|2ZMB|1SELL	1NUKE|2RCR|39DMG|49ZMB|5AART|689CDMG|7SELL|9BPWR|aVULN
26	42431 41231	   	191.63	ACR|2VULN|2DMG|1AART|2ZMB	1NUKE|2RCR|3AART|48VULN|5DUST|68DMG|78ZMB|8BPWR|9BELT|aDUR
27	42434 41222	   	191.63	ACR|2VULN|2DMG|1AART|2ZMB	1NUKE|2RCR|3AART|48VULN|5MBVNT|68DMG|78ZMB|8BPWR|9RMIN|aDUR
28	42434 41231	   	191.63	ACR|2VULN|2DMG|1AART|2ZMB	1NUKE|2RCR|3AART|48VULN|5MBVNT|68DMG|78ZMB|8BPWR|9DUR|aLWND
29	42434 41233	   	191.63	ACR|2VULN|2DMG|1AART|2ZMB	1NUKE|2RCR|3AART|48VULN|5MBVNT|68DMG|78ZMB|8BPWR|9DUR|aMLV
30	42434 41234	   	191.63	ACR|2VULN|2DMG|1AART|2ZMB	1NUKE|2RCR|3AART|48VULN|5MBVNT|68DMG|78ZMB|8BPWR|9DUR|aRPLT
31	42434 41232	   	191.53	ACR|2VULN|2DMG|1AART|2ZMB	1NUKE|2RCR|3AART|48VULN|5MBVNT|68DMG|78ZMB|8BPWR|9DUR|aDUST
32	42151 34321	   	190.17	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	1NUKE|2RCR|37DMG|47VULN|57DUR|6RMIN|7BPWR|8AART|9ZMB|aCGEN
33	42151 34323	   	190.17	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	1NUKE|2RCR|37DMG|47VULN|57DUR|6RMIN|7BPWR|8AART|9ZMB|aRCVC
34	42142 24212	   	188.87	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	1NUKE|2RCR|37DMG|4ZMB|57DUR|67VULN|7BPWR|8RMIN|9LEGI|aAART
35	42122 41631	 * 	188.59	ACR|3VULN|3DMG|2ZMB	1NUKE|2RCR|39aDMG|4LIT|56aVULN|7aZMB|8LEGI|aBPWR
36	42641 24447	 * 	188.50	ACR|2VULN|2DMG|1AART|3ASPD	1NUKE|2RCR|3MBVNT|49DMG|5AART|6LHND|79VULN|89aASPD|9BPWR
37	42143 13322	 * 	188.25	ACR|3DMG|1AART|2CDMG|2ZMB|1SELL	1NUKE|2RCR|389DMG|49ZMB|5AART|69CDMG|7SELL|9BPWR|aDUR
38	42151 43222	   	188.13	ACR|3VULN|2DMG|1AART	1NUKE|2RCR|38DMG|489VULN|5DUR|6LWND|78DUST|8BPWR|aAART
39	42431 42212	   	188.12	ACR|2AART|2DMG|2VULN	1NUKE|2RCR|38AART|47VULN|57DUST|67DMG|7BPWR|9LHND|aDUR
40	42431 42221	   	188.12	ACR|2AART|2DMG|2VULN	1NUKE|2RCR|38AART|47VULN|57DUST|67DMG|7BPWR|9DUR|aCGEN
41	42431 42223	   	188.12	ACR|2AART|2VULN|2DMG	1NUKE|2RCR|38AART|47VULN|57DUST|67DMG|7BPWR|9DUR|aRCVC
42	42434 42142	   	188.12	ACR|2AART|2DMG|2VULN	1NUKE|2RCR|39AART|47VULN|5MBVNT|67DMG|7BPWR|8LWND|aDUR
43	42434 42212	   	188.12	ACR|2AART|2DMG|2VULN	1NUKE|2RCR|38AART|47VULN|5MBVNT|67DMG|7BPWR|9LHND|aDUR
44	42434 42221	   	188.12	ACR|2AART|2DMG|2VULN	1NUKE|2RCR|38AART|47VULN|5MBVNT|67DMG|7BPWR|9DUR|aCGEN
45	42434 42223	   	188.12	ACR|2AART|2VULN|2DMG	1NUKE|2RCR|38AART|47VULN|5MBVNT|67DMG|7BPWR|9DUR|aRCVC
46	42434 42242	   	188.12	ACR|2AART|2VULN|2DMG	1NUKE|2RCR|38AART|47VULN|5MBVNT|67DMG|7BPWR|9RMIN|aASPD
47	42431 42231	   	188.02	ACR|2AART|2VULN|2DMG	1NUKE|2RCR|38AART|47VULN|579DUST|67DMG|7BPWR|aASPD
48	42434 42224	   	188.02	ACR|2AART|2VULN|2DMG	1NUKE|2RCR|38AART|47VULN|5MBVNT|67DMG|7BPWR|9DUR|aERES
49	42434 42232	   	188.02	ACR|2AART|2VULN|2DMG	1NUKE|2RCR|38AART|47VULN|5MBVNT|67DMG|7BPWR|9DUST|aDUR
50	42433 42322	   	187.87	ACR|2VULN|2DMG|1AART|1ZMB	1NUKE|2RCR|3AART|47VULN|578LHND|67DMG|7BPWR|9ZMB|aASPD
51	42433 42323	   	187.87	ACR|2VULN|2DMG|1AART|1ZMB	1NUKE|2RCR|3AART|47VULN|578LHND|67DMG|7BPWR|9ZMB|aDUR
52	42434 42134	   	187.67	ACR|2VULN|2DMG|1AART|1ZMB	1NUKE|2RCR|3AART|47VULN|5MBVNT|67DMG|7BPWR|8LWND|9ASPD|aZMB
53	42143 13326	 * 	187.35	ACR|3DMG|1AART|3CDMG|2ZMB|1SELL	1NUKE|2RCR|389DMG|49ZMB|5AART|69aCDMG|7SELL|9BPWR
54	42143 22512	 * 	186.57	ACR|3DMG|2AART|3ZMB	1NUKE|2RCR|368DMG|468ZMB|59AART|68BPWR|78LWND|aERES
55	42143 22513	   	186.57	ACR|3DMG|2AART|3ZMB	1NUKE|2RCR|368DMG|468ZMB|59AART|68BPWR|78LWND|aDUST
56	42143 35221	   	186.47	ACR|2DMG|3ZMB|1AART|1VULN	1NUKE|2RCR|37DMG|479ZMB|5AART|67LHND|7BPWR|8DUR|aVULN
57	42143 22131	   	186.37	ACR|2DMG|3ZMB|1AART|1VULN	1NUKE|2RCR|36DMG|468ZMB|5AART|6BPWR|7LWND|9DUR|aVULN
58	42143 21121	   	186.27	ACR|2DMG|3ZMB|1AART|1VULN	1NUKE|2RCR|36DMG|468ZMB|5AART|6BPWR|7DUST|9DUR|aVULN
59	42143 21221	   	186.27	ACR|2DMG|3ZMB|1AART|1VULN	1NUKE|2RCR|36DMG|469ZMB|5AART|6BPWR|7DUST|8DUR|aVULN
60	42433 42331	   	185.59	ACR|3DMG|2VULN|1AART	1NUKE|2RCR|3AART|47VULN|578LHND|679DMG|7BPWR|aRPLT
61	42433 42333	   	185.59	ACR|3DMG|2VULN|1AART	1NUKE|2RCR|3AART|47VULN|578LHND|679DMG|7BPWR|aLIT
62	42642 21544	 * 	185.50	ACR|2VULN|2DMG|1AART|2CDMG	1NUKE|2RCR|3MBVNT|49DMG|5DUST|6RCVC|79CDMG|89VULN|9BPWR|aAART
63	42434 42243	 * 	185.45	ACR|3AART|2VULN|2DMG	1NUKE|2RCR|38aAART|47VULN|5MBVNT|67DMG|7BPWR|9RMIN
64	42434 42112	   	185.39	ACR|3VULN|2DMG|1AART	1NUKE|2RCR|3AART|47aVULN|5MBVNT|67DMG|7aBPWR|8aLWND|9aDUST
65	42434 42331	   	185.39	ACR|3VULN|2DMG|1AART	1NUKE|2RCR|3AART|47aVULN|5MBVNT|67DMG|7BPWR|8RPLT|9FEWX
66	42434 42344	   	185.39	ACR|3VULN|2DMG|1AART	1NUKE|2RCR|3AART|47aVULN|5MBVNT|67DMG|7BPWR|8RPLT|9CGEN
67	42434 42444	   	185.39	ACR|3VULN|2DMG|1AART	1NUKE|2RCR|3AART|47aVULN|5MBVNT|67DMG|7BPWR|8LIT|9MLV
68	42431 41211	   	184.69	ACR|2VULN|2DMG|1AART|2ZMB	1NUKE|2RCR|3AART|48VULN|5DUST|68DMG|78ZMB|8BPWR|9LWND|aLHND
69	42431 41213	   	184.69	ACR|2VULN|2DMG|1AART|2ZMB	1NUKE|2RCR|3AART|48VULN|5DUST|68DMG|78ZMB|8BPWR|9LWND|aBELT
70	42431 41233	   	184.69	ACR|2VULN|2DMG|1AART|2ZMB	1NUKE|2RCR|3AART|48VULN|5DUST|68DMG|78ZMB|8BPWR|9BELT|aRPLT
71	42434 41211	   	184.69	ACR|2VULN|2DMG|1AART|2ZMB	1NUKE|2RCR|3AART|48VULN|5MBVNT|68DMG|78ZMB|8BPWR|9LWND|aLHND
72	42434 41213	   	184.69	ACR|2VULN|2DMG|1AART|2ZMB	1NUKE|2RCR|3AART|48VULN|5MBVNT|68DMG|78ZMB|8BPWR|9LWND|aMLV
73	42434 41214	   	184.69	ACR|2VULN|2DMG|1AART|2ZMB	1NUKE|2RCR|3AART|48VULN|5MBVNT|68DMG|78ZMB|8BPWR|9LWND|aRPLT
74	42434 41221	   	184.69	ACR|2VULN|2DMG|1AART|2ZMB	1NUKE|2RCR|3AART|48VULN|5MBVNT|68DMG|78ZMB|8BPWR|9RMIN|aCGEN
75	42434 41223	   	184.69	ACR|2VULN|2DMG|1AART|2ZMB	1NUKE|2RCR|3AART|48VULN|5MBVNT|68DMG|78ZMB|8BPWR|9RMIN|aBEXP
76	42431 41212	   	184.59	ACR|2VULN|2DMG|1AART|2ZMB	1NUKE|2RCR|3AART|48VULN|5aDUST|68DMG|78ZMB|8BPWR|9LWND
77	42431 41232	   	184.59	ACR|2VULN|2DMG|1AART|2ZMB	1NUKE|2RCR|3AART|48VULN|5DUST|68DMG|78ZMB|8BPWR|9BELT|aTLV
78	42434 41212	   	184.59	ACR|2VULN|2DMG|1AART|2ZMB	1NUKE|2RCR|3AART|48VULN|5MBVNT|68DMG|78ZMB|8BPWR|9LWND|aDUST
79	42641 17232	   	184.58	ACR|2VULN|2DMG|1AART|3DUR	1NUKE|2RCR|3MBVNT|4aDMG|5AART|6DUST|79aDUR|8aVULN|aBPWR
80	42641 24742	   	184.29	ACR|3VULN|2DMG|1AART	1NUKE|2RCR|3MBVNT|4aDMG|5AART|6LHND|79aVULN|8aBEXP|aBPWR
81	42641 25242	   	184.29	ACR|3VULN|2DMG|1AART	1NUKE|2RCR|3MBVNT|4aDMG|5AART|6LHND|7aBEXP|89aVULN|aBPWR
82	42641 14542	   	184.19	ACR|3VULN|2DMG|1AART	1NUKE|2RCR|3MBVNT|4aDMG|5AART|6DUST|79aVULN|8aLHND|aBPWR
83	42641 14622	   	184.19	ACR|3VULN|2DMG|1AART	1NUKE|2RCR|3MBVNT|4aDMG|5AART|6DUST|78aVULN|9aLHND|aBPWR
84	42641 16242	   	184.19	ACR|3VULN|2DMG|1AART	1NUKE|2RCR|3MBVNT|4aDMG|5AART|6DUST|7aLHND|89aVULN|aBPWR
85	42641 18242	   	184.19	ACR|3VULN|2DMG|1AART	1NUKE|2RCR|3MBVNT|4aDMG|5AART|6DUST|7aLWND|89aVULN|aBPWR
86	42161 62212	   	184.09	ACR|3DMG|2VULN|1AART	1NUKE|2RCR|37aDMG|46aDUST|5AART|8RMIN|9aVULN|aBPWR
