0	Index      	 *	Score 	Summary	Detail	
1	51136 31622	 * 	202.08	ACR|3VULN|2DMG|1AART|1CDMG|1ASPD	18LWND|2RCR|358VULN|4LIT|6ASPD|78DMG|8BPWR|9CDMG|aAART
14	61135 21631	 * 	193.07	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR|1ZMB	18DUR|2RCR|38VULN|4LIT|56ASPD|78DMG|8BPWR|9ZMB|aCDMG
15	51135 21622	 * 	193.03	ACR|2VULN|2DMG|1AART|1CDMG|2ASPD	18LWND|2RCR|38VULN|4LIT|56ASPD|78DMG|8BPWR|9CDMG|aAART
16	41151 51212	   	192.69	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1BEXP|2RCR|37VULN|4ZMB|58DMG|6AART|9CGEN|aCDMG
17	51151 51212	   	192.69	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1LWND|2RCR|37VULN|4ZMB|58DMG|6AART|9CGEN|aCDMG
18	41151 51233	   	192.59	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1BEXP|2RCR|37VULN|4ZMB|58DMG|6AART|9DUST|aCDMG
19	51151 51233	   	192.59	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1LWND|2RCR|37VULN|4ZMB|58DMG|6AART|9DUST|aCDMG
20	61154 23213	 * 	192.43	ACR|3VULN|1AART|1DMG|2ZMB|1DUR|1ASPD	1DUR|2RCR|358VULN|45ZMB|5BPWR|6TLV|7ASPD|9DMG|aAART
21	51151 41212	   	192.39	ACR|3DMG|2VULN|1AART|1ZMB	16LWND|2RCR|38VULN|4ZMB|569DMG|6BPWR|7RMIN|aAART
22	61132 41622	   	191.72	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	18DUR|2RCR|38VULN|4LIT|5MLV|6DMSP|78DMG|8BPWR|9CDMG|aAART
23	61151 42323	   	191.17	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	16DUR|2RCR|38VULN|4ZMB|56DMG|6BPWR|7RCVC|9BEXP|aAART
24	41131 51263	   	190.53	ACR|3DMG|2VULN|1AART|1DUR	1BEXP|2RCR|37VULN|4TLV|589DMG|6AART|aDUR
25	41151 51223	   	190.48	ACR|2VULN|2DMG|2AART|1ZMB	1BEXP|2RCR|37VULN|4ZMB|58DMG|6aAART|9FEWX
26	41362 41213	   	190.14	ACR|3VULN|1AART|1DMG|2DUR|1ZMB	1BEXP|2RCR|36DUR|4RCVC|568VULN|6BPWR|7ZMB|9DMG|aAART
27	51136 31631	   	189.88	ACR|3VULN|2DMG|1CDMG|1ZMB|1ASPD	18LWND|2RCR|358VULN|4LIT|6ASPD|78DMG|8BPWR|9ZMB|aCDMG
28	61115 36332	   	188.97	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	18DUR|2RCR|38VULN|4BEXP|5MBVNT|6CGEN|78DMG|8BPWR|9ZMB|aAART
29	41333 56132	   	188.62	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1BEXP|2RCR|3DUR|49VULN|5aDMG|6AART|7CDMG|8LWND
30	61113 56132	   	188.62	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2RCR|39VULN|4BEXP|5aDMG|6AART|7CDMG|8LWND
31	41333 56332	   	188.52	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1BEXP|2RCR|3DUR|49VULN|5aDMG|6AART|7CDMG|8DUST
32	61113 56332	   	188.52	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2RCR|39VULN|4BEXP|5aDMG|6AART|7CDMG|8DUST
33	61151 43212	   	188.36	ACR|3DMG|2VULN|2DUR|1ZMB|1ASPD	16DUR|2RCR|38VULN|4ZMB|569DMG|6BPWR|7ASPD|aDMSP
34	61151 43213	   	188.36	ACR|3DMG|2VULN|2DUR|1ZMB|1ASPD	16DUR|2RCR|38VULN|4ZMB|569DMG|6BPWR|7ASPD|aBEXP
35	61151 43211	   	188.26	ACR|3DMG|2VULN|2DUR|1ZMB|1ASPD	16DUR|2RCR|38VULN|4ZMB|569DMG|6BPWR|7ASPD|aERES
36	41131 43212	   	188.23	ACR|3DMG|2VULN|1AART|1ASPD	16BEXP|2RCR|38VULN|4TLV|569DMG|6BPWR|7ASPD|aAART
37	41112 63261	   	188.04	ACR|4VULN|3DMG	149BEXP|2RCR|3569VULN|789DMG|9BPWR|aFEWX
38	51136 36133	   	188.02	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1LWND|2RCR|35VULN|4LIT|6ASPD|7AART|8aDMG|9CDMG
39	41112 63262	   	187.94	ACR|4VULN|3DMG	149BEXP|2RCR|3569VULN|789DMG|9BPWR|aTLV
40	41312 41213	   	187.03	ACR|3VULN|1AART|1DMG|2DUR|1ZMB	14BEXP|2RCR|36DUR|568VULN|6BPWR|7ZMB|9DMG|aAART
41	12335 36243	 * 	186.72	DCR|2DMG|3ZMB|1VULN|2CDMG|3DUR	14aZMB|234DUR|4aBPWR|5RPLT|6RCR|7VULN|8aCDMG|9aDMG
42	61151 43231	   	186.35	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB|1ASPD	16DUR|2RCR|38VULN|4ZMB|56DMG|6BPWR|7ASPD|9LIT|aCDMG
43	51136 31122	   	186.22	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1LWND|2RCR|35VULN|4LIT|6ASPD|78DMG|9CDMG|aAART
44	41362 43213	   	186.07	ACR|3VULN|1AART|1DMG|2DUR|1ASPD	1BEXP|2RCR|36DUR|4RCVC|568VULN|6BPWR|7ASPD|9DMG|aAART
45	51151 51223	   	185.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1LWND|2RCR|37VULN|4ZMB|58DMG|6AART|9FEWX|aDUR
46	61151 51213	   	185.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2RCR|37VULN|4ZMB|58DMG|6AART|9CGEN|aFEWX
47	61151 51221	   	185.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2RCR|37VULN|4ZMB|58DMG|6AART|9FEWX|aCGEN
48	61151 51222	   	185.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2RCR|37VULN|4ZMB|58DMG|6AART|9aFEWX
49	61151 51111	   	185.95	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2RCR|37aVULN|4ZMB|5DMG|6AART|8RCVC|9CGEN
50	61151 51231	   	185.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2RCR|37VULN|4ZMB|58DMG|6AART|9DUST|aCGEN
51	61151 51232	   	185.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2RCR|37VULN|4ZMB|58DMG|6AART|9DUST|aFEWX
52	61154 33213	   	185.59	ACR|3VULN|1AART|1DMG|2ZMB|1DUR	1DUR|2RCR|358VULN|45ZMB|5BPWR|67BEXP|9DMG|aAART
53	61154 21213	   	185.49	ACR|3VULN|1AART|1DMG|2ZMB|1DUR	1DUR|2RCR|358VULN|45ZMB|5BPWR|6TLV|7RMIN|9DMG|aAART
54	12211 41263	 * 	185.25	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1ZMB|26DUR|3DUST|48VULN|56DMG|6BPWR|7RCR|9RCVC|aAART
55	51151 42321	   	185.04	ACR|3VULN|2DMG|1CDMG|1ZMB	16LWND|2RCR|389VULN|4ZMB|56DMG|6BPWR|7RCVC|aCDMG
56	61262 41213	   	184.65	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2RCR|36DUST|4RCVC|568VULN|6BPWR|7ZMB|9DMG|aAART
57	61135 21612	 * 	184.07	ACR|3DMG|2VULN|2ASPD|2DUR	18DUR|2RCR|38VULN|49LIT|56ASPD|78aDMG|8BPWR
58	61151 51112	   	183.94	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2RCR|37VULN|4ZMB|5DMG|6AART|8RCVC|9CGEN|aCDMG
59	61151 51133	   	183.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2RCR|37VULN|4ZMB|5DMG|6AART|8RCVC|9DUST|aCDMG
60	51312 31256	   	183.75	ACR|3VULN|1AART|1DMG|1CDMG	1LWND|2RCR|3RCVC|4MLV|5AART|69aVULN|7CDMG|8DMG
61	41131 51211	   	183.59	ACR|3VULN|2DMG|1AART	1BEXP|2RCR|37aVULN|4TLV|58DMG|6AART|9CGEN
62	41131 51261	   	183.59	ACR|3DMG|2VULN|1AART	1BEXP|2RCR|37VULN|4TLV|589DMG|6AART|aRPLT
63	12211 41233	   	183.55	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1ZMB|26DUR|39DUST|48VULN|56DMG|6BPWR|7RCR|aAART
64	12222 41263	 * 	183.32	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	1ZMB|26DUR|3DUST|4DMG|568VULN|6BPWR|7RCR|9RCVC|aAART
65	61135 21633	 * 	183.27	ACR|2VULN|2DMG|2ZMB|2ASPD|2DUR	18DUR|2RCR|38VULN|4LIT|56ASPD|78DMG|8BPWR|9aZMB
66	41135 32513	   	183.19	ACR|3VULN|2DMG|1AART	18BEXP|2RCR|38aVULN|4TLV|5LIT|68DMG|7AART|8BPWR|9RMIN
67	41312 43213	   	182.97	ACR|3VULN|1AART|1DMG|2DUR|1ASPD	14BEXP|2RCR|36DUR|568VULN|6BPWR|7ASPD|9DMG|aAART
68	61151 53133	 * 	182.84	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1DUR|2RCR|3VULN|4ZMB|5DMG|68AART|7CGEN|9ASPD|aCDMG
69	51132 22152	 * 	182.36	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD	1LWND|2RCR|3aVULN|4LIT|5MLV|6aASPD|7DMG|8aCDMG|9AART|aBPWR
70	51131 22152	   	182.26	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD	1LWND|2RCR|3aVULN|4LIT|5ERES|6aASPD|7DMG|8aCDMG|9AART|aBPWR
71	61132 52263	 * 	182.24	ACR|2DMG|1AART|1VULN|2CDMG|2DUR	19DUR|2RCR|3VULN|49LIT|5MLV|6aDMG|7AART|89CDMG|9BPWR
72	61135 21621	   	182.06	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR	18DUR|2RCR|38VULN|4LIT|56ASPD|78DMG|8BPWR|9CDMG|aBEXP
73	61135 21622	   	182.06	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR	18DUR|2RCR|38VULN|4LIT|56ASPD|78DMG|8BPWR|9CDMG|aDMSP
74	61135 21623	   	182.06	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR	18DUR|2RCR|38VULN|4LIT|56ASPD|78DMG|8BPWR|9CDMG|aCGEN
75	61132 52243	 * 	181.88	ACR|2DMG|2AART|1VULN|1CDMG|1DUR	1DUR|2RCR|3VULN|4LIT|5MLV|6aDMG|79AART|8CDMG
76	61151 51123	   	181.74	ACR|2VULN|2AART|1DMG|1ZMB|1DUR	1DUR|2RCR|37VULN|4ZMB|5DMG|6aAART|8RCVC|9FEWX
77	61322 51261	   	181.74	ACR|3VULN|1AART|1DMG|2DUR	18DUR|2RCR|3RCVC|4LWND|57aVULN|6AART|9DMG
78	12222 41233	   	181.62	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	1ZMB|26DUR|39DUST|4DMG|568VULN|6BPWR|7RCR|aAART
79	41131 51212	   	181.58	ACR|2VULN|2DMG|1AART|1CDMG	1BEXP|2RCR|37VULN|4TLV|58DMG|6AART|9CGEN|aCDMG
80	41131 51253	   	181.58	ACR|2VULN|2DMG|1AART|1CDMG	1BEXP|2RCR|37VULN|4TLV|58DMG|6AART|9LHND|aCDMG
81	41233 56132	   	181.58	ACR|2VULN|2DMG|1AART|1CDMG	1BEXP|2RCR|3DUST|49VULN|5aDMG|6AART|7CDMG|8LWND
82	41131 51233	   	181.48	ACR|2VULN|2DMG|1AART|1CDMG	1BEXP|2RCR|37VULN|4TLV|58DMG|6AART|9DUST|aCDMG
83	41233 56322	   	181.48	ACR|2VULN|2DMG|1AART|1CDMG	1BEXP|2RCR|38DUST|49VULN|5aDMG|6AART|7CDMG
84	61115 36334	   	181.42	ACR|3VULN|2DMG|2DUR|1ZMB	18DUR|2RCR|38aVULN|4BEXP|5MBVNT|6CGEN|78DMG|8BPWR|9ZMB
85	61151 41212	   	181.42	ACR|3DMG|2VULN|2DUR|1ZMB	16DUR|2RCR|38VULN|4ZMB|569DMG|6BPWR|7RMIN|aDMSP
86	61151 41213	   	181.42	ACR|3DMG|2VULN|2DUR|1ZMB	16DUR|2RCR|38VULN|4ZMB|569DMG|6BPWR|7RMIN|aBEXP
87	61156 32323	   	181.34	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2RCR|38VULN|4ZMB|5LIT|6DUST|7AART|9CDMG|aDMG
88	61151 41211	   	181.32	ACR|3DMG|2VULN|2DUR|1ZMB	16DUR|2RCR|38VULN|4ZMB|569DMG|6BPWR|7RMIN|aERES
89	41112 63222	   	181.29	ACR|3VULN|2DMG|1AART	149BEXP|2RCR|356VULN|78DMG|aAART
90	41131 41212	   	181.29	ACR|3DMG|2VULN|1AART	16BEXP|2RCR|38VULN|4TLV|569DMG|6BPWR|7RMIN|aAART
91	41135 32512	   	181.18	ACR|2VULN|2DMG|1AART|1CDMG	18BEXP|2RCR|38VULN|4TLV|5LIT|68DMG|7AART|8BPWR|9RMIN|aCDMG
92	41362 51233	   	181.08	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1BEXP|2RCR|3DUR|4RCVC|57VULN|6AART|8DMG|9ASPD|aCDMG
93	51136 31612	   	180.88	ACR|3VULN|3DMG|1ASPD	18LWND|2RCR|358VULN|49LIT|6ASPD|78aDMG|8BPWR
94	51135 21631	   	180.83	ACR|2VULN|2DMG|2ASPD|1CDMG|1ZMB	18LWND|2RCR|38VULN|4LIT|56ASPD|78DMG|8BPWR|9ZMB|aCDMG
95	51136 31152	   	180.68	ACR|3VULN|3DMG|1ASPD	1LWND|2RCR|359VULN|4LIT|6ASPD|78aDMG
96	61262 43213	   	180.58	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	1DUR|2RCR|36DUST|4RCVC|568VULN|6BPWR|7ASPD|9DMG|aAART
97	53121 13653	   	180.08	ACR|2AART|2DMG|1VULN|1CDMG|1DUR	1LWND|27AART|3MLV|4RCR|5DUR|6VULN|89DMG|aCDMG
98	51136 31633	 * 	180.08	ACR|3VULN|2DMG|2ZMB|1ASPD	18LWND|2RCR|358VULN|4LIT|6ASPD|78DMG|8BPWR|9aZMB
99	61322 51262	   	179.73	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	18DUR|2RCR|3RCVC|4LWND|57VULN|6AART|9DMG|aCDMG
100	61132 41631	   	179.52	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	18DUR|2RCR|38VULN|4LIT|5MLV|6DMSP|78DMG|8BPWR|9ZMB|aCDMG
101	61135 21613	   	179.42	ACR|2VULN|2DMG|2ASPD|2DUR|1ZMB	18DUR|2RCR|38VULN|49LIT|56ASPD|78DMG|8BPWR|aZMB
102	61151 41231	   	179.42	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	16DUR|2RCR|38VULN|4ZMB|56DMG|6BPWR|7RMIN|9LIT|aCDMG
103	61135 21632	   	179.32	ACR|2VULN|2DMG|2ASPD|2DUR|1ZMB	18DUR|2RCR|38VULN|4LIT|56ASPD|78DMG|8BPWR|9ZMB|aDUST
104	41151 51213	   	179.04	ACR|2VULN|2DMG|1AART|1ZMB	1BEXP|2RCR|37VULN|4ZMB|58DMG|6AART|9CGEN|aBELT
105	41151 51221	   	179.04	ACR|2VULN|2DMG|1AART|1ZMB	1BEXP|2RCR|37VULN|4ZMB|58DMG|6AART|9FEWX|aCGEN
106	41151 51222	   	179.04	ACR|2VULN|2DMG|1AART|1ZMB	1BEXP|2RCR|37VULN|4ZMB|58DMG|6AART|9aFEWX
107	51151 51213	   	179.04	ACR|2VULN|2DMG|1AART|1ZMB	1LWND|2RCR|37VULN|4ZMB|58DMG|6AART|9CGEN|aFEWX
108	51151 51221	   	179.04	ACR|2VULN|2DMG|1AART|1ZMB	1LWND|2RCR|37VULN|4ZMB|58DMG|6AART|9FEWX|aCGEN
109	51151 51222	   	179.04	ACR|2VULN|2DMG|1AART|1ZMB	1LWND|2RCR|37VULN|4ZMB|58DMG|6AART|9aFEWX
110	41151 51111	   	179.01	ACR|3VULN|1AART|1DMG|1ZMB	1BEXP|2RCR|37aVULN|4ZMB|5DMG|6AART|8RCVC|9CGEN
111	51151 51111	   	179.01	ACR|3VULN|1AART|1DMG|1ZMB	1LWND|2RCR|37aVULN|4ZMB|5DMG|6AART|8RCVC|9CGEN
112	51151 42311	   	178.94	ACR|2VULN|2DMG|1AART|1ZMB	169LWND|2RCR|38VULN|4ZMB|56DMG|6BPWR|7RCVC|aAART
113	41151 51231	   	178.94	ACR|2VULN|2DMG|1AART|1ZMB	1BEXP|2RCR|37VULN|4ZMB|58DMG|6AART|9DUST|aCGEN
114	41151 51232	   	178.94	ACR|2VULN|2DMG|1AART|1ZMB	1BEXP|2RCR|37VULN|4ZMB|58DMG|6AART|9DUST|aFEWX
115	51151 51231	   	178.94	ACR|2VULN|2DMG|1AART|1ZMB	1LWND|2RCR|37VULN|4ZMB|58DMG|6AART|9DUST|aCGEN
116	51151 51232	   	178.94	ACR|2VULN|2DMG|1AART|1ZMB	1LWND|2RCR|37VULN|4ZMB|58DMG|6AART|9DUST|aFEWX
117	51136 31621	   	178.87	ACR|3VULN|2DMG|1CDMG|1ASPD	18LWND|2RCR|358VULN|4LIT|6ASPD|78DMG|8BPWR|9CDMG|aBEXP
118	51136 31623	   	178.87	ACR|3VULN|2DMG|1CDMG|1ASPD	18LWND|2RCR|358VULN|4LIT|6ASPD|78DMG|8BPWR|9CDMG|aLHND
119	61135 21152	   	178.57	ACR|3DMG|2VULN|2ASPD|1DUR	1DUR|2RCR|39VULN|4LIT|56ASPD|78aDMG
120	41135 32523	   	178.54	ACR|2VULN|2DMG|1AART|1ZMB	189BEXP|2RCR|38VULN|4TLV|5LIT|68DMG|7AART|8BPWR|aZMB
121	41135 32533	   	178.54	ACR|2VULN|2DMG|1AART|1ZMB	18BEXP|2RCR|38VULN|4TLV|5LIT|68DMG|7AART|8BPWR|9LWND|aZMB
122	13311 41152	   	178.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|26LWND|3DUR|49VULN|56DMG|6BPWR|7RCR|8LHND|aAART
123	13311 41212	   	178.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|26LWND|3DUR|48VULN|56DMG|6BPWR|7RCR|9LHND|aAART
124	13311 41256	   	178.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|26LWND|3DUR|48VULN|56DMG|6BPWR|7RCR|9CGEN|aAART
125	13311 41226	   	178.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|26LWND|3DUR|48VULN|56DMG|6BPWR|7RCR|9TLV|aAART
126	13311 41366	   	178.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|26LWND|3DUR|49VULN|56DMG|6BPWR|7RCR|8TLV|aAART
127	13322 41336	   	178.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|26LWND|3DUR|49DMG|56VULN|6BPWR|7RCR|8TLV|aAART
128	61151 43112	   	178.32	ACR|2DMG|1AART|1VULN|2DUR|1ZMB|1ASPD	16DUR|2RCR|3VULN|4ZMB|56DMG|6BPWR|7ASPD|8CGEN|9LHND|aAART
129	61151 43322	   	178.22	ACR|2DMG|1AART|1VULN|2DUR|1ZMB|1ASPD	16DUR|2RCR|3VULN|4ZMB|56DMG|6BPWR|7ASPD|8DUST|9LWND|aAART
130	61135 51133	   	178.18	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	1DUR|2RCR|38aVULN|4LIT|5ASPD|6DMG|7LWND|9AART
131	41312 51233	   	177.97	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	14BEXP|2RCR|3DUR|57VULN|6AART|8DMG|9ASPD|aCDMG
132	41333 56133	   	177.97	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1BEXP|2RCR|3DUR|49VULN|5DMG|6AART|7CDMG|8LWND|aASPD
133	61113 56133	   	177.97	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1DUR|2RCR|39VULN|4BEXP|5DMG|6AART|7CDMG|8LWND|aASPD
134	41333 56323	   	177.87	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1BEXP|2RCR|3DUR|4VULN|5aDMG|6AART|7CDMG|8DUST|9ASPD
135	61113 56323	   	177.87	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1DUR|2RCR|3VULN|4BEXP|5aDMG|6AART|7CDMG|8DUST|9ASPD
136	41333 56333	   	177.87	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1BEXP|2RCR|3DUR|49VULN|5DMG|6AART|7CDMG|8DUST|aASPD
137	61113 56333	   	177.87	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|2RCR|39VULN|4BEXP|5DMG|6AART|7CDMG|8DUST|aASPD
138	61115 36322	   	177.87	ACR|2VULN|2DMG|1AART|2DUR	18DUR|2RCR|38VULN|4BEXP|5MBVNT|6CGEN|78DMG|8BPWR|9NUKE|aAART
139	41131 53151	 * 	177.45	ACR|3VULN|2AART|1DMG	1BEXP|2RCR|39aVULN|4TLV|5DMG|68AART|7CGEN
140	53121 13634	   	177.43	ACR|2AART|2DMG|1VULN|1ZMB|1DUR	1LWND|27AART|3MLV|4RCR|5DUR|6VULN|8aDMG|9ZMB
141	53123 31256	   	177.35	ACR|3VULN|1AART|1DMG|1CDMG	15LWND|2AART|3MLV|4RCR|69aVULN|7CDMG|8DMG
142	53162 21313	 * 	177.06	ACR|2AART|2DMG|1VULN|2CDMG	1LWND|27AART|3MLV|48CDMG|5RCR|69DMG|aVULN
143	51135 26133	   	177.05	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG	1LWND|2RCR|3VULN|4LIT|56ASPD|7AART|8aDMG|9CDMG
144	41151 51112	   	177.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2RCR|37VULN|4ZMB|5DMG|6AART|8RCVC|9CGEN|aCDMG
145	51151 51112	   	177.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2RCR|37VULN|4ZMB|5DMG|6AART|8RCVC|9CGEN|aCDMG
146	41112 11561	   	177.00	ACR|3VULN|1AART|1DMG|1ZMB	14BEXP|2RCR|35aVULN|6AART|7NUKE|8ZMB|9DMG
147	41151 51133	   	176.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2RCR|37VULN|4ZMB|5DMG|6AART|8RCVC|9DUST|aCDMG
148	51151 51133	   	176.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2RCR|37VULN|4ZMB|5DMG|6AART|8RCVC|9DUST|aCDMG
149	41333 52433	   	176.68	ACR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB|1ASPD	1BEXP|2RCR|38DUR|4VULN|5DMG|6AART|7ASPD|9ZMB|aCDMG
150	61113 52433	   	176.68	ACR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB|1ASPD	18DUR|2RCR|3VULN|4BEXP|5DMG|6AART|7ASPD|9ZMB|aCDMG
151	61151 43233	   	176.56	ACR|2VULN|2DMG|2ZMB|2DUR|1ASPD	16DUR|2RCR|38VULN|4aZMB|56DMG|6BPWR|7ASPD|9LIT
152	13322 41152	   	176.52	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|26LWND|3DUR|4DMG|569VULN|6BPWR|7RCR|8LHND|aAART
153	13322 41212	   	176.52	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|26LWND|3DUR|4DMG|568VULN|6BPWR|7RCR|9LHND|aAART
154	13322 41256	   	176.52	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|26LWND|3DUR|4DMG|568VULN|6BPWR|7RCR|9CGEN|aAART
155	13322 41226	   	176.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|26LWND|3DUR|4DMG|568VULN|6BPWR|7RCR|9TLV|aAART
156	13322 41366	   	176.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|26LWND|3DUR|4DMG|569VULN|6BPWR|7RCR|8TLV|aAART
157	51136 31613	   	176.23	ACR|3VULN|2DMG|1ZMB|1ASPD	18LWND|2RCR|358VULN|49LIT|6ASPD|78DMG|8BPWR|aZMB
158	53121 13164	 * 	176.20	ACR|3AART|2VULN|1DMG|2DUR	19LWND|278AART|3MLV|4RCR|59DUR|69VULN|9BPWR|aDMG
159	61123 56321	   	176.13	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1aDUR|2RCR|39VULN|48DUST|5DMG|6AART|7CDMG
160	61233 56321	   	176.13	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1aDUR|2RCR|38DUST|49VULN|5DMG|6AART|7CDMG
161	51136 31632	   	176.13	ACR|3VULN|2DMG|1ZMB|1ASPD	18LWND|2RCR|358VULN|4LIT|6ASPD|78DMG|8BPWR|9ZMB|aDUST
