0	Index      	 *	Score 	Summary	Detail	
1	34231 52433	 * 	183.52	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2AART|389VULN|4FEWX|5DUR|6RCR|7DMG|aZMB
23	34623 12523	   	167.05	DCR|3AART|2VULN|1DMG|1ZMB	1DUST|245AART|3ZMB|69VULN|7BEXP|8DMG|aRCR
24	24242 23231	 * 	166.93	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1MLV|2DLOT|3DMG|4CDMG|58VULN|6aASPD|7AART|9RCR
25	26331 23231	   	166.93	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1MLV|2aASPD|3CDMG|48VULN|5DLOT|6DMG|7AART|9RCR
26	64242 23231	   	166.83	DCR|2VULN|1AART|1DMG|1CDMG|2ASPD	1ERES|2DLOT|3DMG|4CDMG|58VULN|6aASPD|7AART|9RCR
27	66331 23231	   	166.83	DCR|2VULN|1AART|1DMG|1CDMG|2ASPD	1ERES|2aASPD|3CDMG|48VULN|5DLOT|6DMG|7AART|9RCR
28	12331 52376	 * 	166.06	DCR|3DMG|2VULN|1AART|1DUR|2MSE	19MSE|29VULN|3AART|4FEWX|5DUR|6RCR|79aDMG|8MBVNT|9BPWR
29	34213 35631	   	165.22	DCR|3VULN|1AART|1DMG|1ASPD	1DUST|2AART|34aVULN|5RPLT|6TLV|7DMG|8ASPD|9RCR
30	25231 61423	   	164.88	ACR|4VULN|2DMG	1MLV|2AIRHEL|36DMG|478aVULN|5RCR|9LWND
31	25231 61431	   	164.88	ACR|4VULN|2DMG	1MLV|2AIRHEL|36DMG|4789VULN|5RCR|aRCVC
32	34212 51511	 * 	164.87	DCR|4VULN|1AART|2ZMB	189DUST|2AART|3478VULN|5RCVC|68ZMB|8BPWR|aRCR
33	24242 13233	   	164.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MLV|2DLOT|3DMG|4CDMG|58VULN|6ZMB|7AART|9RCR|aFEWX
34	24242 13234	   	164.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MLV|2DLOT|3DMG|4CDMG|58VULN|6ZMB|7AART|9RCR|aERES
35	64242 13233	   	164.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2DLOT|3DMG|4CDMG|58VULN|6ZMB|7AART|9RCR|aFEWX
36	24262 31611	   	163.78	DCR|3VULN|1AART|1DMG	1MLV|2DLOT|3DMG|4LHND|5AART|6RCR|78aVULN|9DMSP
37	34231 52328	   	163.70	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1DUST|2AART|3aVULN|4FEWX|5DUR|6RCR|7DMG|8MBVNT|9ASPD
38	64233 31532	   	163.57	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1ERES|2DLOT|38DMG|4LIT|5DUR|6RCR|7ZMB|9AART|aVULN
39	25231 25212	   	163.13	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1MLV|2AIRHEL|3DMG|4aVULN|5RCR|6ASPD|7AART|8CDMG|9LWND
40	25231 25232	   	163.13	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1MLV|2AIRHEL|3DMG|49VULN|5RCR|6ASPD|7AART|8CDMG|aLHND
41	25231 25236	   	163.13	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1MLV|2AIRHEL|3DMG|49VULN|5RCR|6ASPD|7AART|8CDMG|aLWND
42	25231 25222	 * 	163.03	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1MLV|2AIRHEL|3aDMG|4VULN|5RCR|6ASPD|7AART|8CDMG|9ERES
43	25231 25234	   	163.03	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1MLV|2AIRHEL|3DMG|49VULN|5RCR|6ASPD|7AART|8CDMG|aERES
44	25231 25235	   	162.89	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1SELL	1MLV|2AIRHEL|3DMG|49VULN|5RCR|6ASPD|7AART|8CDMG|aSELL
45	24522 31632	   	162.60	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1MLV|2DLOT|3DUR|4AART|5ASPD|6RCR|78VULN|9RPLT|aDMG
46	21255 32424	   	162.44	DCR|4VULN|3ZMB|1DUR	139MLV|2379VULN|39BPWR|459ZMB|6MBVNT|8RCR|aDUR
47	34231 52235	 * 	162.16	DCR|2DMG|1AART|1VULN|2DUR	1DUST|2AART|3VULN|4FEWX|59DUR|6RCR|7aDMG|8LHND
48	34231 52413	 * 	162.16	DCR|2VULN|1AART|1DMG|2DUR	1DUST|2AART|38VULN|4FEWX|5aDUR|6RCR|7DMG|9RMIN
49	34231 52336	   	162.06	DCR|2DMG|1AART|1VULN|2DUR	1DUST|2AART|3VULN|4FEWX|59DUR|6RCR|7aDMG|8MBVNT
50	12331 52374	 * 	161.85	DCR|2AART|2VULN|2DMG|1DUR|2MSE	19MSE|29VULN|3aAART|4FEWX|5DUR|6RCR|79DMG|8MBVNT|9BPWR
51	12331 52372	   	161.41	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|2MSE	19MSE|29VULN|3AART|4FEWX|5DUR|6RCR|79DMG|8MBVNT|9BPWR|aZMB
52	34642 32231	 * 	160.73	DCR|2VULN|1AART|3ASPD|1ZMB	1aDUST|2AART|3ZMB|4DLOT|57aASPD|6RCR|8aVULN|9RPLT|aBPWR
53	21222 26322	 * 	160.73	DCR|4VULN|1DMG|1CDMG	134MLV|239aVULN|3BPWR|5CDMG|6RMIN|7DMG|8RCR
54	34213 63163	   	160.68	DCR|3VULN|1AART|1DMG	1DUST|2AART|34aVULN|5RPLT|6ERES|7LIT|8RCR|9DMG
55	34213 35632	   	160.57	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1DUST|2AART|34VULN|5RPLT|6TLV|7DMG|8ASPD|9RCR|aZMB
56	24242 23232	   	160.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1MLV|2DLOT|3DMG|4CDMG|58VULN|6ASPD|7AART|9RCR|aFEWX
57	24242 23233	   	160.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1MLV|2DLOT|3DMG|4CDMG|58VULN|6ASPD|7AART|9RCR|aLHND
58	26331 23232	   	160.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1MLV|2ASPD|3CDMG|48VULN|5DLOT|6DMG|7AART|9RCR|aFEWX
59	26331 23233	   	160.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1MLV|2ASPD|3CDMG|48VULN|5DLOT|6DMG|7AART|9RCR|aLHND
60	24322 36632	   	160.25	DCR|2DMG|1AART|1CDMG|1ZMB|1ASPD	1MLV|2DLOT|3FEWX|4AART|5ASPD|6RCR|7aDMG|8CDMG|9ZMB
61	24242 23234	   	160.21	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1MLV|2DLOT|3DMG|4CDMG|58VULN|6ASPD|7AART|9RCR|aERES
62	26331 23234	   	160.21	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1MLV|2ASPD|3CDMG|48VULN|5DLOT|6DMG|7AART|9RCR|aERES
63	64242 23232	   	160.21	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2DLOT|3DMG|4CDMG|58VULN|6ASPD|7AART|9RCR|aFEWX
64	64242 23233	   	160.21	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2DLOT|3DMG|4CDMG|58VULN|6ASPD|7AART|9RCR|aLHND
65	66331 23232	   	160.21	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2ASPD|3CDMG|48VULN|5DLOT|6DMG|7AART|9RCR|aFEWX
66	66331 23233	   	160.21	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2ASPD|3CDMG|48VULN|5DLOT|6DMG|7AART|9RCR|aLHND
67	66331 23234	   	160.11	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1aERES|2ASPD|3CDMG|48VULN|5DLOT|6DMG|7AART|9RCR
68	66331 23236	   	160.11	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2ASPD|3CDMG|48VULN|5DLOT|6DMG|7AART|9RCR|aTLV
69	24242 13331	   	160.04	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB|1ASPD	1MLV|2DLOT|3DMG|48CDMG|5VULN|6ZMB|7AART|9RCR|aASPD
70	14111 52433	   	159.97	DCR|3VULN|1AART|1DMG|1ZMB|1DUR|1MSE	1MSE|2AART|3DUST|489VULN|5DUR|6RCR|7DMG|aZMB
71	64242 13331	   	159.94	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB|1ASPD	1ERES|2DLOT|3DMG|48CDMG|5VULN|6ZMB|7AART|9RCR|aASPD
72	25231 31126	 * 	159.78	ACR|2VULN|2DMG|1CDMG|1ZMB	1MLV|2AIRHEL|3aDMG|48VULN|5RCR|6LWND|7CDMG|9ZMB
73	24226 33331	   	159.73	ACR|2VULN|2DMG|1AART	19MLV|2DLOT|39DMG|4RPLT|5RCR|69VULN|7RCVC|8AART|9BPWR|aBEXP
74	24226 33334	   	159.73	ACR|2VULN|2DMG|1AART	19MLV|2DLOT|39DMG|4RPLT|5RCR|69VULN|7RCVC|8AART|9BPWR|aLIT
75	25231 51126	   	159.68	ACR|2VULN|2DMG|1CDMG|1ZMB	1MLV|2AIRHEL|3aDMG|48VULN|5RCR|6DUST|7CDMG|9ZMB
76	24226 33336	   	159.63	ACR|2VULN|2DMG|1AART	19MLV|2DLOT|39DMG|4RPLT|5RCR|69VULN|7RCVC|8AART|9BPWR|aMBVNT
77	24226 33352	   	159.53	ACR|2VULN|2DMG|1AART	1MLV|2DLOT|3aDMG|4RPLT|5RCR|69VULN|7RCVC|8AART
78	12331 52433	   	159.47	DCR|3VULN|1AART|1DMG|1ZMB|1DUR|1MSE	1MSE|289VULN|3AART|4FEWX|5DUR|6RCR|7DMG|aZMB
79	12351 52433	   	159.37	DCR|3VULN|1AART|1DMG|1ZMB|1DUR|1MSE	1MSE|289VULN|3AART|4DUST|5DUR|6RCR|7DMG|aZMB
80	35232 21723	   	159.28	DCR|2VULN|1AART|1DMG|1CDMG	1DUST|2LIT|3CGEN|4MBVNT|5AART|6DMG|7RCR|8CDMG|9aVULN
81	35232 21725	   	159.28	DCR|2DMG|1AART|1VULN|1CDMG	1DUST|2LIT|3CGEN|4MBVNT|5AART|6aDMG|7RCR|8CDMG|9VULN
82	34224 21171	 * 	158.81	DCR|3VULN|1AART|1CDMG|1ASPD	1DUST|2AART|38aVULN|4LHND|5MBVNT|6ASPD|7CDMG|9RCR
83	34234 21171	   	158.81	DCR|3VULN|1AART|1CDMG|1ASPD	1DUST|2AART|38aVULN|4FEWX|5MBVNT|6ASPD|7CDMG|9RCR
84	25231 25253	 * 	158.80	ACR|1AART|1VULN|1DMG|2CDMG|1DUR|1ASPD	1MLV|2AIRHEL|3DMG|4VULN|5RCR|6ASPD|7AART|89CDMG|aDUR
85	54312 52323	   	158.27	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1FEWX|2AART|3BEXP|45VULN|6ZMB|7ASPD|8DMG|9LEGI|aRCR
86	34214 42223	   	158.17	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1DUST|2AART|34VULN|5ASPD|6BEXP|7DMG|8ZMB|9LEGI|aRCR
87	36512 62322	   	157.91	DCR|2VULN|2DMG|1AART	129DUST|39BEXP|47VULN|5MLV|69DMG|8RCR|9BPWR|aAART
88	26331 13231	   	157.87	DCR|2VULN|1AART|2ASPD|1CDMG|1ZMB	1MLV|2aASPD|3CDMG|48VULN|5DLOT|6ZMB|7AART|9RCR
89	25231 31121	 * 	157.85	ACR|3VULN|1DMG|1CDMG|1ZMB	1MLV|2AIRHEL|3DMG|48aVULN|5RCR|6LWND|7CDMG|9ZMB
90	66331 13231	   	157.77	DCR|2VULN|1AART|2ASPD|1CDMG|1ZMB	1ERES|2aASPD|3CDMG|48VULN|5DLOT|6ZMB|7AART|9RCR
91	25231 51121	   	157.75	ACR|3VULN|1DMG|1CDMG|1ZMB	1MLV|2AIRHEL|3DMG|48aVULN|5RCR|6DUST|7CDMG|9ZMB
92	65251 31121	   	157.75	ACR|3VULN|1DMG|1CDMG|1ZMB	1ERES|2AIRHEL|3DMG|48aVULN|5RCR|6LWND|7CDMG|9ZMB
93	25231 61211	   	157.72	ACR|3DMG|2VULN|1DUR	1MLV|2AIRHEL|36aDMG|47VULN|5RCR|8DUR|9BEXP
94	25231 61216	   	157.72	ACR|3VULN|2DMG|1DUR	1MLV|2AIRHEL|36DMG|47aVULN|5RCR|8DUR|9BEXP
95	25231 61261	   	157.72	ACR|3VULN|2DMG|1DUR	1MLV|2AIRHEL|36DMG|479VULN|5RCR|8DUR|aLWND
96	25231 61262	   	157.72	ACR|3VULN|2DMG|1DUR	1MLV|2AIRHEL|36DMG|479VULN|5RCR|8DUR|aFEWX
97	25231 22164	   	157.72	ACR|3DMG|2VULN|1ASPD	1MLV|2AIRHEL|37aDMG|49VULN|5RCR|6ASPD|8FEWX
98	25231 22364	   	157.72	ACR|3DMG|2VULN|1ASPD	1MLV|2AIRHEL|37aDMG|49VULN|5RCR|6ASPD|8LHND
99	21115 12366	   	157.68	DCR|5VULN|1ZMB|1DUR	1MLV|2567aVULN|3DUR|4RMIN|8RCR|9ZMB
100	25231 61263	   	157.62	ACR|3VULN|2DMG|1DUR	1MLV|2AIRHEL|36DMG|479VULN|5RCR|8DUR|aERES
101	25231 61631	   	157.62	ACR|3VULN|2DMG|1DUR	1MLV|2AIRHEL|36DMG|479VULN|5RCR|8TLV|aDUR
102	34231 52323	   	157.12	DCR|1AART|1VULN|1DMG|1ZMB|1ASPD|1DUR	1DUST|2AART|3VULN|4FEWX|5DUR|6RCR|7DMG|8MBVNT|9ASPD|aZMB
103	54111 52323	   	157.12	DCR|1AART|1VULN|1DMG|1ZMB|1ASPD|1DUR	1FEWX|2AART|3DUST|4VULN|5DUR|6RCR|7DMG|8MBVNT|9ASPD|aZMB
104	24232 31522	 * 	156.94	DCR|2DMG|1VULN|2CDMG|2ZMB	1MLV|2DLOT|3aDMG|4LIT|5VULN|6RCR|7aZMB|8CGEN|9aCDMG|aBPWR
105	25231 63531	 * 	156.92	ACR|2VULN|2DMG|2ZMB|1DUR	1MLV|2AIRHEL|36DMG|49VULN|5RCR|78ZMB|aDUR
106	24522 36213	 * 	156.92	DCR|1AART|1VULN|1DMG|2ASPD|2DUR	1MLV|2DLOT|39DUR|4AART|58ASPD|6RCR|7DMG|aVULN
107	25231 13754	   	156.90	ACR|3DMG|1AART|1VULN	1MLV|2AIRHEL|38aDMG|4VULN|5RCR|6LIT|7MBVNT|9AART
108	35232 17123	   	156.88	DCR|2VULN|1AART|1DMG|1CDMG	1DUST|2LIT|3CGEN|4MBVNT|5AART|6CDMG|7aVULN|8RCR|9DMG
109	35232 17125	   	156.88	DCR|2DMG|1AART|1VULN|1CDMG	1DUST|2LIT|3CGEN|4MBVNT|5AART|6CDMG|7VULN|8RCR|9aDMG
110	34226 52133	   	156.86	DCR|2VULN|1AART|1DMG|1DUR	1DUST|2AART|3aVULN|4LHND|5DUR|6RCR|7DMG|8MLV|9RMIN
111	34226 52231	   	156.86	DCR|2DMG|1AART|1VULN|1DUR	1DUST|2AART|3VULN|48LHND|5DUR|6RCR|7aDMG|9LIT
112	34231 52135	   	156.86	DCR|2DMG|1AART|1VULN|1DUR	1DUST|2AART|3VULN|4FEWX|5DUR|6RCR|7aDMG|8MLV|9CGEN
113	34231 52411	   	156.86	DCR|2VULN|1AART|1DMG|1DUR	1DUST|2AART|38VULN|4aFEWX|5DUR|6RCR|7DMG|9RMIN
114	34231 52412	   	156.86	DCR|2VULN|1AART|1DMG|1DUR	1DUST|2AART|38VULN|4FEWX|5DUR|6RCR|7DMG|9aRMIN
115	34231 52421	   	156.86	DCR|2VULN|1AART|1DMG|1DUR	1DUST|2AART|38VULN|4FEWX|5DUR|6RCR|7DMG|9LHND|aRMIN
116	34231 52422	   	156.86	DCR|2VULN|1AART|1DMG|1DUR	1DUST|2AART|38VULN|4FEWX|5DUR|6RCR|7DMG|9LHND|aRPLT
117	34231 52423	   	156.86	DCR|2VULN|1AART|1DMG|1DUR	1DUST|2AART|38VULN|4FEWX|5DUR|6RCR|7DMG|9LHND|aBELT
118	34231 52632	   	156.86	DCR|2VULN|1AART|1DMG|1DUR	1DUST|2AART|39VULN|48FEWX|5DUR|6RCR|7DMG|aLIT
119	34231 51353	 * 	156.86	DCR|2VULN|1AART|2CDMG|1DUR	1DUST|2AART|3aVULN|4FEWX|5DUR|6RCR|7aBEXP|8ERES|9aCDMG|aBPWR
120	24232 31422	   	156.84	DCR|2DMG|1VULN|2CDMG|2ZMB	1MLV|2DLOT|3aDMG|4LIT|5VULN|6RCR|7aZMB|8ERES|9aCDMG|aBPWR
121	34231 52115	   	156.76	DCR|2DMG|1AART|1VULN|1DUR	1DUST|2AART|3VULN|4FEWX|5DUR|6RCR|7aDMG|8MLV|9ERES
122	34231 52362	   	156.76	DCR|2VULN|1AART|1DMG|1DUR	1DUST|2AART|3aVULN|4FEWX|5DUR|6RCR|7DMG|8MBVNT|9RPLT
123	34231 52371	   	156.76	DCR|2DMG|1AART|1VULN|1DUR	1DUST|2AART|3VULN|4FEWX|5DUR|6RCR|79DMG|8MBVNT|aRMIN
124	34231 52373	   	156.76	DCR|2DMG|1AART|1VULN|1DUR	1DUST|2AART|3VULN|4FEWX|5DUR|6RCR|79DMG|8MBVNT|aRCVC
125	34231 52631	   	156.76	DCR|2VULN|1AART|1DMG|1DUR	1DUST|2AART|39VULN|48FEWX|5DUR|6RCR|7DMG|aMBVNT
126	35232 21268	   	156.63	DCR|2DMG|1AART|1VULN|1ZMB	1DUST|2LIT|3CGEN|4MBVNT|5AART|69DMG|7RCR|8ZMB|aVULN
127	61235 22348	   	156.48	DCR|3VULN|1AART|1DMG	13ERES|237VULN|3BPWR|4LHND|5MBVNT|6MLV|8RCR|9AART|aDMG
128	25231 25611	   	156.42	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1aMLV|2AIRHEL|3DMG|49VULN|5RCR|6ASPD|7AART|8DUR
129	25231 25612	   	156.42	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1MLV|2AIRHEL|3DMG|49VULN|5RCR|6ASPD|7AART|8DUR|aBEXP
130	25231 25115	   	156.42	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1MLV|2AIRHEL|3DMG|49VULN|5RCR|6ASPD|7AART|8LHND|aDUR
131	25231 25513	   	156.32	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1MLV|2AIRHEL|3DMG|4aVULN|5RCR|6ASPD|7AART|8TLV|9DUR
132	25231 25613	   	156.32	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1MLV|2AIRHEL|3DMG|49VULN|5RCR|6ASPD|7AART|8DUR|aERES
133	25231 25631	   	156.32	ACR|2DMG|1AART|1VULN|1DUR|1ASPD	1MLV|2AIRHEL|3aDMG|4VULN|5RCR|6ASPD|7AART|8DUR|9VENICY
134	25231 25315	   	156.32	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1MLV|2AIRHEL|3DMG|49VULN|5RCR|6ASPD|7AART|8DUST|aDUR
135	34214 32531	   	156.26	DCR|3VULN|1AART|1ZMB|1ASPD	1DUST|2AART|34aVULN|5ASPD|6MLV|7RPLT|8ZMB|9RCR
136	22211 65252	   	156.19	ACR|2DMG|1AART|1VULN|1CDMG	1MLV|2BEXP|3LSRICY|4ERES|5RCR|6aDMG|7AART|8CDMG|9VULN
137	66332 33215	   	156.17	DCR|1AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1ERES|2ASPD|3CDMG|4VULN|5RPLT|6RCR|7DUR|8AART|9DUST|aDMG
138	25231 25116	 * 	156.09	ACR|2VULN|1AART|1DMG|2ASPD	1MLV|2AIRHEL|3DMG|49VULN|5RCR|6aASPD|7AART|8LHND
139	21115 12325	 * 	156.09	DCR|5VULN|3DUR	19aMLV|25679VULN|39aDUR|4RMIN|8RCR|9aBPWR
140	24232 32511	   	156.03	DCR|2DMG|1AART|1VULN|1ZMB	1MLV|2DLOT|38DMG|4LIT|5VULN|6RCR|7ERES|9ZMB|aAART
141	25231 25316	   	155.99	ACR|2VULN|1AART|1DMG|2ASPD	1MLV|2AIRHEL|3DMG|49VULN|5RCR|6aASPD|7AART|8DUST
142	34231 52334	 * 	155.92	DCR|2AART|1VULN|1DMG|2DUR	1DUST|2aAART|3VULN|4FEWX|59DUR|6RCR|7DMG|8MBVNT
143	54111 52334	   	155.92	DCR|2AART|1VULN|1DMG|2DUR	1FEWX|2aAART|3DUST|4VULN|59DUR|6RCR|7DMG|8MBVNT
144	24322 31632	   	155.66	DCR|2VULN|1AART|1DMG|1ASPD	1MLV|2DLOT|3FEWX|4AART|5ASPD|6RCR|78VULN|9RPLT|aDMG
145	25231 22231	 * 	155.62	ACR|2VULN|2DMG|2ASPD|1DUR	1MLV|2AIRHEL|37DMG|49VULN|5RCR|68ASPD|aDUR
146	24422 31632	   	155.56	DCR|2VULN|1AART|1DMG|1ASPD	1MLV|2DLOT|3DUST|4AART|5ASPD|6RCR|78VULN|9RPLT|aDMG
147	64322 31632	   	155.56	DCR|2VULN|1AART|1DMG|1ASPD	1ERES|2DLOT|3FEWX|4AART|5ASPD|6RCR|78VULN|9RPLT|aDMG
148	21255 32421	   	155.50	DCR|4VULN|3ZMB	139MLV|2379VULN|39BPWR|459ZMB|6MBVNT|8RCR|aBELT
149	21255 32423	   	155.50	DCR|4VULN|3ZMB	139MLV|2379VULN|39BPWR|459ZMB|6MBVNT|8RCR|aRPLT
150	21255 32425	   	155.50	DCR|4VULN|3ZMB	139MLV|2379VULN|39BPWR|459ZMB|6MBVNT|8RCR|aCGEN
151	21255 32428	   	155.50	DCR|4VULN|3ZMB	139MLV|2379VULN|39BPWR|459ZMB|6MBVNT|8RCR|aFEWX
152	21255 35422	   	155.50	DCR|4VULN|3ZMB	139MLV|239aVULN|39BPWR|459ZMB|6MBVNT|7DMSP|8RCR
153	26336 15223	 * 	155.48	DCR|3DMG|1VULN|2ASPD|1CDMG	159MLV|29ASPD|3CDMG|4VULN|679DMG|8RPLT|9BPWR|aRCR
154	34231 52332	   	155.47	DCR|1AART|1VULN|1DMG|2DUR|1ZMB	1DUST|2AART|3VULN|4FEWX|59DUR|6RCR|7DMG|8MBVNT|aZMB
155	54111 52332	   	155.47	DCR|1AART|1VULN|1DMG|2DUR|1ZMB	1FEWX|2AART|3DUST|4VULN|59DUR|6RCR|7DMG|8MBVNT|aZMB
156	21255 32451	 * 	155.42	DCR|4VULN|2ZMB|1CDMG	13MLV|2379VULN|3BPWR|45ZMB|6MBVNT|8RCR|aCDMG
157	21255 32426	   	155.40	DCR|4VULN|3ZMB	139MLV|2379VULN|39BPWR|459ZMB|6MBVNT|8RCR|aBASHEA
158	21255 32452	   	155.30	DCR|4VULN|3ZMB	13MLV|2379VULN|3BPWR|45aZMB|6MBVNT|8RCR
159	61255 32423	   	155.20	DCR|4VULN|3ZMB	139ERES|2379VULN|39BPWR|459ZMB|6MBVNT|8RCR|aFEWX
160	25231 31335	 * 	155.19	ACR|2VULN|2DMG|2CDMG	1MLV|2AIRHEL|3aDMG|4aVULN|5RCR|6LWND|7aCDMG|8BASHEA|9BEXP|aBPWR
161	25231 31355	   	155.19	ACR|2VULN|2DMG|2CDMG	1MLV|2AIRHEL|3aDMG|4aVULN|5RCR|6LWND|7aCDMG|8BASHEA|9FEWX|aBPWR
162	61255 32422	   	155.10	DCR|4VULN|3ZMB	139ERES|2379VULN|39BPWR|459ZMB|6MBVNT|8RCR|aTLV
163	61255 32424	   	155.10	DCR|4VULN|3ZMB	139ERES|2379VULN|39BPWR|459ZMB|6MBVNT|8RCR|aDUST
164	25231 22235	 * 	155.09	ACR|2VULN|2DMG|3ASPD	1aMLV|2aAIRHEL|37DMG|49VULN|5RCR|68aASPD|aBPWR
