0	Index      	 *	Score 	Summary	Detail	
1	13163 31514	 * 	190.67	DCR|3VULN|2DMG|1AART|1ZMB	1BEXP|2ZMB|3LWND|4AART|5aDMG|689VULN|7RCR
46	11163 11131	   	173.95	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1BEXP|2ASPD|3LWND|4AART|5DMG|6DUR|7RCR|89VULN|aCDMG
47	21263 11131	   	173.95	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1LWND|2ASPD|3BEXP|4AART|5DMG|6DUR|7RCR|89VULN|aCDMG
48	21363 24523	   	173.95	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1LWND|2ASPD|3DUR|4AART|5DMG|6RPLT|7RCR|89VULN|aCDMG
49	21363 41331	   	173.95	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1LWND|2ASPD|3DUR|4AART|5DMG|69VULN|7RCR|8LHND|aCDMG
50	21363 41631	   	173.95	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1LWND|2ASPD|3DUR|4AART|5DMG|69VULN|7RCR|8FEWX|aCDMG
51	21363 51131	   	173.95	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1LWND|2ASPD|3DUR|4AART|5DMG|6LHND|7RCR|89VULN|aCDMG
52	61263 11131	   	173.95	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1LHND|2ASPD|3FEWX|4AART|5DMG|6DUR|7RCR|89VULN|aCDMG
53	61663 11131	   	173.95	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1LHND|2ASPD|3BEXP|4AART|5DMG|6DUR|7RCR|89VULN|aCDMG
54	31163 41531	   	173.85	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1DUST|2ASPD|3LWND|4AART|5DMG|68VULN|7RCR|9DUR|aCDMG
55	21363 31131	   	173.85	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1LWND|2ASPD|3DUR|4AART|5DMG|6DUST|7RCR|89VULN|aCDMG
56	31163 11131	   	173.85	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1DUST|2ASPD|3LWND|4AART|5DMG|6DUR|7RCR|89VULN|aCDMG
57	26411 23533	   	173.25	DCR|2VULN|2DMG|1AART|2DUR	1aLWND|2DUST|3aDMG|48DUR|5TLV|6aVULN|7RCR|9AART|aBPWR
58	35411 23533	   	173.15	DCR|2VULN|2DMG|1AART|2DUR	1aDUST|2LHND|3aDMG|48DUR|5TLV|6aVULN|7RCR|9AART|aBPWR
59	13163 31432	   	173.08	DCR|3VULN|1AART|1DMG|1ZMB	1BEXP|2ZMB|3LWND|4AART|5DMG|69aVULN|7RCR|8LIT
60	13163 31511	   	173.08	DCR|3VULN|1AART|1DMG|1ZMB	1BEXP|2ZMB|3LWND|4AART|5DMG|689VULN|7RCR|aRPLT
61	13163 31516	   	173.08	DCR|3VULN|1AART|1DMG|1ZMB	1BEXP|2ZMB|3LWND|4AART|5DMG|689VULN|7RCR|aLIT
62	15461 11213	   	173.06	DCR|2VULN|2DMG|1AART|1DUR	1aBEXP|2LHND|3aDMG|4AART|5CGEN|6DUR|7RCR|8RCVC|9aVULN|aBPWR
63	22461 11213	   	173.06	DCR|2VULN|2DMG|1AART|1DUR	1aLWND|2BEXP|3aDMG|4AART|5CGEN|6DUR|7RCR|8RCVC|9aVULN|aBPWR
64	62461 11213	   	173.06	DCR|2VULN|2DMG|1AART|1DUR	1aLHND|2BEXP|3aDMG|4AART|5CGEN|6DUR|7RCR|8RCVC|9aVULN|aBPWR
65	13163 31133	   	172.98	DCR|3DMG|1AART|1VULN|1ZMB	1BEXP|2ZMB|3LWND|4AART|59aDMG|6VULN|7RCR|8TLV
66	13163 31513	   	172.98	DCR|3VULN|1AART|1DMG|1ZMB	1BEXP|2ZMB|3LWND|4AART|5DMG|689VULN|7RCR|aERES
67	26461 11213	   	172.96	DCR|2VULN|2DMG|1AART|1DUR	1aLWND|2DUST|3aDMG|4AART|5CGEN|6DUR|7RCR|8RCVC|9aVULN|aBPWR
68	12222 63543	 * 	172.93	DCR|3VULN|3CDMG|1DMG|3DUR	127BEXP|368DUR|478VULN|578CDMG|78BPWR|9RCR|aDMG
69	11163 41214	   	172.86	DCR|2VULN|2DMG|1AART|1ASPD	1BEXP|2ASPD|3LWND|4AART|5aDMG|69VULN|7RCR|8RCVC
70	21263 41214	   	172.86	DCR|2VULN|2DMG|1AART|1ASPD	1LWND|2ASPD|3BEXP|4AART|5aDMG|69VULN|7RCR|8RCVC
71	35461 11213	   	172.86	DCR|2VULN|2DMG|1AART|1DUR	1aDUST|2LHND|3aDMG|4AART|5CGEN|6DUR|7RCR|8RCVC|9aVULN|aBPWR
72	31163 41214	   	172.76	DCR|2VULN|2DMG|1AART|1ASPD	1DUST|2ASPD|3LWND|4AART|5aDMG|69VULN|7RCR|8RCVC
73	46511 33212	 * 	172.15	DCR|3VULN|3CDMG|3ASPD|1DUR|2RCVC|1SELL	16RCVC|27aCDMG|3DUR|47aASPD|57aVULN|7aBPWR|8RCR|9SELL
74	13621 34214	   	172.02	DCR|2VULN|2DMG|1AART|1ZMB	13BEXP|2ZMB|4LHND|5AART|69VULN|7aDMG|8RCR
75	13631 14214	   	172.02	DCR|2VULN|2DMG|1AART|1ZMB	13BEXP|2ZMB|49VULN|5AART|6LHND|7aDMG|8RCR
76	15463 33233	   	172.01	DCR|3DMG|1AART|1VULN|2DUR	1aBEXP|2LHND|35aDMG|4AART|6VULN|7ERES|8RCR|9aDUR|aBPWR
77	62463 33233	   	172.01	DCR|3DMG|1AART|1VULN|2DUR	1aLHND|2BEXP|35aDMG|4AART|6VULN|7ERES|8RCR|9aDUR|aBPWR
78	46241 33221	 * 	171.90	DCR|3VULN|1DMG|2CDMG|2ZMB	1RCVC|27CDMG|3LWND|47ZMB|567VULN|7BPWR|8RCR|9CGEN|aDMG
79	35463 33233	   	171.81	DCR|3DMG|1AART|1VULN|2DUR	1aDUST|2LHND|35aDMG|4AART|6VULN|7ERES|8RCR|9aDUR|aBPWR
80	21363 51315	 * 	171.75	DCR|2AART|2VULN|1DMG|1ASPD|1DUR	1LWND|2ASPD|3DUR|48AART|5DMG|6LHND|7RCR|9aVULN
81	46262 13332	 * 	171.62	DCR|3VULN|3CDMG|1AART	1RCVC|247CDMG|37LWND|57aVULN|6RCR|7BPWR|8MGNSTR|9AART
82	46362 13332	   	171.62	DCR|3VULN|3CDMG|1AART	1RCVC|247CDMG|37LHND|57aVULN|6RCR|7BPWR|8MGNSTR|9AART
83	15463 31231	 * 	171.55	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1BEXP|2LHND|35DMG|4AART|6VULN|7ASPD|8RCR|9DUR|aCDMG
84	61263 26231	   	171.55	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1LHND|2ASPD|3FEWX|4AART|56DMG|7VULN|8RCR|9DUR|aCDMG
85	62463 31231	   	171.55	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1LHND|2BEXP|35DMG|4AART|6VULN|7ASPD|8RCR|9DUR|aCDMG
86	21443 23211	 * 	171.55	DCR|2VULN|2DMG|1CDMG|2ASPD|1DUR	1LWND|2aASPD|3RMIN|4DUR|5LHND|6aVULN|7RCR|8CDMG|9aDMG|aBPWR
87	61443 23211	   	171.55	DCR|2VULN|2DMG|1CDMG|2ASPD|1DUR	1LHND|2aASPD|3RMIN|4DUR|5LWND|6aVULN|7RCR|8CDMG|9aDMG|aBPWR
88	35463 31231	   	171.45	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1DUST|2LHND|35DMG|4AART|6VULN|7ASPD|8RCR|9DUR|aCDMG
89	21455 23211	   	171.45	DCR|2VULN|2DMG|2ASPD|1CDMG|1DUR	1LWND|2aASPD|3RMIN|4DUST|5DUR|6aVULN|7RCR|8CDMG|9aDMG|aBPWR
90	31443 23211	   	171.45	DCR|2VULN|2DMG|2ASPD|1CDMG|1DUR	1DUST|2aASPD|3RMIN|4DUR|5LWND|6aVULN|7RCR|8CDMG|9aDMG|aBPWR
91	61215 23211	   	171.45	DCR|2VULN|2DMG|2ASPD|1CDMG|1DUR	1LHND|2aASPD|3FEWX|4DUR|5aVULN|6NUKE|7RCR|8CDMG|9aDMG|aBPWR
92	61615 23311	   	171.45	DCR|2VULN|2DMG|2ASPD|1CDMG|1DUR	1LHND|2aASPD|3BEXP|4DUR|5aVULN|6NUKE|7RCR|8CDMG|9aDMG|aBPWR
93	11163 41533	   	171.31	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1BEXP|2ASPD|3LWND|4AART|5DMG|68VULN|7RCR|9DUR|aZMB
94	21263 41533	   	171.31	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1LWND|2ASPD|3BEXP|4AART|5DMG|68VULN|7RCR|9DUR|aZMB
95	11163 11133	   	171.31	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1BEXP|2ASPD|3LWND|4AART|5DMG|6DUR|7RCR|89VULN|aZMB
96	21263 11133	   	171.31	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1LWND|2ASPD|3BEXP|4AART|5DMG|6DUR|7RCR|89VULN|aZMB
97	21363 41333	   	171.31	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1LWND|2ASPD|3DUR|4AART|5DMG|69VULN|7RCR|8LHND|aZMB
98	21363 41633	   	171.31	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1LWND|2ASPD|3DUR|4AART|5DMG|69VULN|7RCR|8FEWX|aZMB
99	21363 51133	   	171.31	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1LWND|2ASPD|3DUR|4AART|5DMG|6LHND|7RCR|89VULN|aZMB
100	61263 11133	   	171.31	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1LHND|2ASPD|3FEWX|4AART|5DMG|6DUR|7RCR|89VULN|aZMB
101	61663 11133	   	171.31	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1LHND|2ASPD|3BEXP|4AART|5DMG|6DUR|7RCR|89VULN|aZMB
102	31163 41533	   	171.21	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1DUST|2ASPD|3LWND|4AART|5DMG|68VULN|7RCR|9DUR|aZMB
103	21363 31133	   	171.21	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1LWND|2ASPD|3DUR|4AART|5DMG|6DUST|7RCR|89VULN|aZMB
104	31163 11133	   	171.21	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1DUST|2ASPD|3LWND|4AART|5DMG|6DUR|7RCR|89VULN|aZMB
105	15461 11313	   	171.15	DCR|2VULN|2DMG|1AART|1DUR	1aBEXP|28LHND|3aDMG|4AART|5CGEN|6DUR|7RCR|9aVULN|aBPWR
106	62461 11313	   	171.15	DCR|2VULN|2DMG|1AART|1DUR	18aLHND|2BEXP|3aDMG|4AART|5CGEN|6DUR|7RCR|9aVULN|aBPWR
107	35461 11313	   	170.95	DCR|2VULN|2DMG|1AART|1DUR	1aDUST|28LHND|3aDMG|4AART|5CGEN|6DUR|7RCR|9aVULN|aBPWR
108	11163 41135	   	170.85	DCR|2VULN|2DMG|1AART|1ASPD	1BEXP|2ASPD|3LWND|4AART|59DMG|6aVULN|7RCR|8TLV
109	21263 41135	   	170.85	DCR|2VULN|2DMG|1AART|1ASPD	1LWND|2ASPD|3BEXP|4AART|59DMG|6aVULN|7RCR|8TLV
110	21363 41236	   	170.49	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	1aLWND|2aASPD|3DUR|4AART|5DMG|6aVULN|7RCR|89RCVC|aBPWR
111	13163 11133	   	169.66	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1BEXP|2ZMB|3LWND|4AART|5DMG|6aDUR|7RCR|89VULN
112	13163 31533	   	169.66	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1BEXP|2ZMB|3LWND|4AART|5DMG|68VULN|7RCR|9aDUR
113	21331 26614	   	169.31	DCR|2VULN|1AART|1DMG|2ASPD|2DUR	1LWND|24ASPD|34DUR|4BPWR|5AART|6CGEN|79VULN|8RCR|aDMG
114	12533 16234	   	169.05	DCR|2VULN|2DMG|1AART|1DUR	12BEXP|3AART|4aDMG|5TLV|67VULN|8RCR|9DUR
115	11163 41432	   	169.02	DCR|3VULN|1AART|1DMG|1ASPD	1BEXP|2ASPD|3LWND|4AART|5DMG|69aVULN|7RCR|8LIT
116	11163 41511	   	169.02	DCR|3VULN|1AART|1DMG|1ASPD	1BEXP|2ASPD|3LWND|4AART|5DMG|689VULN|7RCR|aRPLT
117	11163 41513	   	169.02	DCR|3VULN|1AART|1DMG|1ASPD	1BEXP|2ASPD|3LWND|4AART|5DMG|689VULN|7RCR|aCGEN
118	21263 41432	   	169.02	DCR|3VULN|1AART|1DMG|1ASPD	1LWND|2ASPD|3BEXP|4AART|5DMG|69aVULN|7RCR|8LIT
119	21263 41511	   	169.02	DCR|3VULN|1AART|1DMG|1ASPD	1LWND|2ASPD|3BEXP|4AART|5DMG|689VULN|7RCR|aRPLT
120	21263 41513	   	169.02	DCR|3VULN|1AART|1DMG|1ASPD	1LWND|2ASPD|3BEXP|4AART|5DMG|689VULN|7RCR|aCGEN
121	11163 41133	   	168.92	DCR|3DMG|1AART|1VULN|1ASPD	1BEXP|2ASPD|3LWND|4AART|59aDMG|6VULN|7RCR|8TLV
122	21263 41133	   	168.92	DCR|3DMG|1AART|1VULN|1ASPD	1LWND|2ASPD|3BEXP|4AART|59aDMG|6VULN|7RCR|8TLV
123	31163 41432	   	168.92	DCR|3VULN|1AART|1DMG|1ASPD	1DUST|2ASPD|3LWND|4AART|5DMG|69aVULN|7RCR|8LIT
124	31163 41511	   	168.92	DCR|3VULN|1AART|1DMG|1ASPD	1DUST|2ASPD|3LWND|4AART|5DMG|689VULN|7RCR|aRPLT
125	31163 41513	   	168.92	DCR|3VULN|1AART|1DMG|1ASPD	1DUST|2ASPD|3LWND|4AART|5DMG|689VULN|7RCR|aCGEN
126	15463 31233	   	168.91	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1BEXP|2LHND|35DMG|4AART|6VULN|7ASPD|8RCR|9DUR|aZMB
127	61263 26233	   	168.91	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1LHND|2ASPD|3FEWX|4AART|56DMG|7VULN|8RCR|9DUR|aZMB
128	62463 31233	   	168.91	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1LHND|2BEXP|35DMG|4AART|6VULN|7ASPD|8RCR|9DUR|aZMB
129	13163 31332	   	168.88	DCR|2AART|2VULN|1DMG|1ZMB	1BEXP|2ZMB|3LWND|4aAART|5DMG|69VULN|7RCR|8LHND
130	13163 31635	   	168.88	DCR|2AART|2VULN|1DMG|1ZMB	1BEXP|2ZMB|3LWND|4aAART|5DMG|69VULN|7RCR|8FEWX
131	13163 51132	   	168.88	DCR|2AART|2VULN|1DMG|1ZMB	1BEXP|2ZMB|3LWND|4aAART|5DMG|6LHND|7RCR|89VULN
132	21363 41212	   	168.82	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	1LWND|2aASPD|3DUR|4AART|5DMG|69VULN|7RCR|8RCVC
133	35463 31233	   	168.81	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1DUST|2LHND|35DMG|4AART|6VULN|7ASPD|8RCR|9DUR|aZMB
134	15461 12213	   	168.75	DCR|2VULN|2DMG|1AART|1DUR	17aBEXP|2LHND|3aDMG|4AART|5CGEN|6DUR|8RCR|9aVULN|aBPWR
135	22461 12613	   	168.75	DCR|2VULN|2DMG|1AART|1DUR	1aLWND|27BEXP|3aDMG|4AART|5CGEN|6DUR|8RCR|9aVULN|aBPWR
136	62461 12213	   	168.75	DCR|2VULN|2DMG|1AART|1DUR	1aLHND|27BEXP|3aDMG|4AART|5CGEN|6DUR|8RCR|9aVULN|aBPWR
137	15463 31211	   	168.55	DCR|2VULN|2DMG|1AART|1ASPD	1BEXP|2LHND|35DMG|4AART|69VULN|7ASPD|8RCR|aRPLT
138	15463 31213	   	168.55	DCR|2VULN|2DMG|1AART|1ASPD	1BEXP|2LHND|35DMG|4AART|69VULN|7ASPD|8RCR|aCGEN
139	61263 26211	   	168.55	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|2ASPD|3FEWX|4AART|56DMG|79VULN|8RCR|aRPLT
140	61263 26213	   	168.55	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|2ASPD|3FEWX|4AART|56DMG|79VULN|8RCR|aCGEN
141	62463 31211	   	168.55	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|2BEXP|35DMG|4AART|69VULN|7ASPD|8RCR|aRPLT
142	62463 31213	   	168.55	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|2BEXP|35DMG|4AART|69VULN|7ASPD|8RCR|aCGEN
143	21363 41532	   	168.52	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	1LWND|2aASPD|3DUR|4AART|5DMG|68VULN|7RCR|9RCVC
144	15463 33212	   	168.45	DCR|2VULN|2DMG|1AART|1ASPD	1BEXP|2LHND|35DMG|4AART|69VULN|7ERES|8RCR|aASPD
145	62463 33212	   	168.45	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|2BEXP|35DMG|4AART|69VULN|7ERES|8RCR|aASPD
146	35463 31211	   	168.45	DCR|2VULN|2DMG|1AART|1ASPD	1DUST|2LHND|35DMG|4AART|69VULN|7ASPD|8RCR|aRPLT
147	35463 31213	   	168.45	DCR|2VULN|2DMG|1AART|1ASPD	1DUST|2LHND|35DMG|4AART|69VULN|7ASPD|8RCR|aCGEN
148	35463 33212	   	168.35	DCR|2VULN|2DMG|1AART|1ASPD	1DUST|2LHND|35DMG|4AART|69VULN|7ERES|8RCR|aASPD
149	26421 23613	   	167.95	DCR|2VULN|2DMG|1AART|1DUR	1aLWND|24DUST|3aDMG|5AART|6CGEN|7DUR|8RCR|9aVULN|aBPWR
150	26435 23333	   	167.85	DCR|2VULN|2DMG|1AART|1DUR	1aLWND|2DUST|3aDMG|48ERES|5DUR|6aVULN|7RCR|9AART|aBPWR
151	35421 23213	   	167.85	DCR|2VULN|2DMG|1AART|1DUR	14aDUST|2LHND|3aDMG|5AART|6CGEN|7DUR|8RCR|9aVULN|aBPWR
152	21363 51311	 * 	167.81	DCR|2AART|1DMG|1VULN|1CDMG|1ASPD|1DUR	1LWND|2ASPD|3DUR|48AART|5DMG|6LHND|7RCR|9VULN|aCDMG
153	46262 13113	   	167.78	DCR|3VULN|3CDMG|1DMG	1RCVC|247CDMG|37LWND|579VULN|6RCR|7BPWR|8DMG|aERES
154	46362 13113	   	167.78	DCR|3VULN|3CDMG|1DMG	1RCVC|247CDMG|37LHND|579VULN|6RCR|7BPWR|8DMG|aERES
155	35421 31214	   	167.75	DCR|2VULN|2DMG|1AART|1ASPD	14DUST|2LHND|3aDMG|5AART|69VULN|7ASPD|8RCR
156	21363 41161	   	167.27	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1LWND|2ASPD|3DUR|4AART|5DMG|6VULN|7RCR|8TLV|9ZMB|aCDMG
157	31421 48211	   	167.04	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1aDUST|2ASPD|3RMIN|4aVULN|5MBVNT|6RCR|7DUR|8CDMG|9aDMG|aBPWR
158	11163 41331	   	167.01	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2ASPD|3LWND|4AART|5DMG|69VULN|7RCR|8LHND|aCDMG
159	11163 41631	   	167.01	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2ASPD|3LWND|4AART|5DMG|69VULN|7RCR|8FEWX|aCDMG
160	21263 41331	   	167.01	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2ASPD|3BEXP|4AART|5DMG|69VULN|7RCR|8LHND|aCDMG
