0	Index      	 *	Score 	Summary	Detail	
1	41311 32233	 * 	316.47	DCR|3VULN|2TLV|1LIT|1MLV|1DMG	139VULN|23TLV|3BPWR|4LIT|5RPLT|6ERES|7DMG|8RCR|aMLV
26	41316 34213	   	296.51	DCR|3VULN|2TLV|1LIT|1MLV	137VULN|23TLV|3BPWR|4LIT|5FEWX|6RPLT|8RCR|9LHND|aMLV
27	41311 51343	   	296.51	DCR|3VULN|2TLV|1LIT|1MLV	139VULN|23TLV|3BPWR|4LIT|5RPLT|6FEWX|7BEXP|8RCR|aMLV
28	41316 31343	   	296.51	DCR|3VULN|2TLV|1LIT|1MLV	139VULN|23TLV|3BPWR|4LIT|5FEWX|6RPLT|7BEXP|8RCR|aMLV
29	41311 54223	   	296.41	DCR|3VULN|2TLV|1LIT|1MLV	137VULN|23TLV|3BPWR|4LIT|5RPLT|6FEWX|8RCR|9DUST|aMLV
30	41312 34263	   	296.41	DCR|3VULN|2TLV|1LIT|1MLV	137VULN|23TLV|3BPWR|4LIT|5LHND|6RPLT|8RCR|9LEGI|aMLV
31	41316 34223	   	296.41	DCR|3VULN|2TLV|1LIT|1MLV	137VULN|23TLV|3BPWR|4LIT|5FEWX|6RPLT|8RCR|9DUST|aMLV
32	41311 33233	   	296.41	DCR|3VULN|2TLV|1LIT|1MLV	139VULN|23TLV|3BPWR|4LIT|5RPLT|6ERES|7ZMB|8RCR|aMLV
33	41352 31343	   	296.41	DCR|3VULN|2TLV|1LIT|1MLV	139VULN|23TLV|3BPWR|4DUST|5LIT|6RPLT|7BEXP|8RCR|aMLV
34	41352 34213	   	296.41	DCR|3VULN|2TLV|1LIT|1MLV	137VULN|23TLV|3BPWR|4DUST|5LIT|6RPLT|8RCR|9LHND|aMLV
35	41242 31241	   	295.51	DCR|3VULN|2TLV|1LIT|2DUR|1CDMG	189VULN|28TLV|3LWND|4LIT|58DUR|6RPLT|7RCR|8BPWR|aCDMG
36	41323 42312	 * 	294.78	DCR|4VULN|3TLV|1MLV|1DMG	1359VULN|236TLV|3BPWR|4RCVC|7DMG|8MLV|aRCR
37	41363 42312	   	294.68	DCR|4VULN|3TLV|1MLV|1DMG	1359VULN|236TLV|3BPWR|4AEFBLL|7DMG|8MLV|aRCR
38	41311 32213	   	294.33	DCR|2VULN|2TLV|1LIT|1MLV|1DMG	13VULN|23TLV|3BPWR|4LIT|5RPLT|6ERES|7DMG|8RCR|9LHND|aMLV
39	41311 32253	   	294.33	DCR|2VULN|2TLV|1LIT|1MLV|1DMG	13VULN|23TLV|3BPWR|4LIT|5RPLT|6ERES|7DMG|8RCR|9FEWX|aMLV
40	41311 32223	   	294.23	DCR|2VULN|2TLV|1LIT|1MLV|1DMG	13VULN|23TLV|3BPWR|4LIT|5RPLT|6ERES|7DMG|8RCR|9DUST|aMLV
41	41311 32263	   	294.23	DCR|2VULN|2TLV|1LIT|1MLV|1DMG	13VULN|23TLV|3BPWR|4LIT|5RPLT|6ERES|7DMG|8RCR|9LEGI|aMLV
42	41511 32233	   	294.23	DCR|2VULN|2TLV|1LIT|1MLV|1DMG	19VULN|23TLV|4LIT|5RPLT|6ERES|7DMG|8RCR|aMLV
43	41316 62112	 * 	294.11	DCR|3VULN|3LIT|2TLV	136VULN|23TLV|3BPWR|479LIT|5FEWX|8RCVC|aRCR
44	41311 14231	   	293.15	DCR|4VULN|2TLV|1LIT	1379VULN|23TLV|3BPWR|4LIT|5RPLT|6DUR|8RCR|aLWND
45	41311 14232	   	293.15	DCR|4VULN|2TLV|1LIT	1379VULN|23TLV|3BPWR|4LIT|5RPLT|6DUR|8RCR|aCGEN
46	41311 14234	   	293.15	DCR|4VULN|2TLV|1LIT	1379VULN|23TLV|3BPWR|4LIT|5RPLT|6DUR|8RCR|aBEXP
47	41311 11345	   	293.15	DCR|4VULN|2TLV|1LIT	139aVULN|23TLV|3BPWR|4LIT|5RPLT|6DUR|7BEXP|8RCR
48	41311 14225	   	293.05	DCR|4VULN|2TLV|1LIT	137aVULN|23TLV|3BPWR|4LIT|5RPLT|6DUR|8RCR|9DUST
49	41311 14233	   	293.05	DCR|4VULN|2TLV|1LIT	1379VULN|23TLV|3BPWR|4LIT|5RPLT|6DUR|8RCR|aAME
50	41311 14236	   	293.05	DCR|4VULN|2TLV|1LIT	1379VULN|23TLV|3BPWR|4LIT|5RPLT|6DUR|8RCR|aDUST
51	41311 11364	   	292.34	DCR|2VULN|2TLV|1LIT|1MLV	13VULN|23TLV|3BPWR|4LIT|5RPLT|6DUR|7BEXP|8RCR|9AART|aMLV
52	34333 36151	   	290.21	DCR|DCR|1TLV|1LIT|1VULN	14LHND|2FEWX|3BBNT|5VULN|6aRCR|7TLV|8LIT|9DUR
53	32122 41161	   	290.11	DCR|DCR|1TLV|1LIT|1VULN	1LHND|2LIT|3ERES|4VULN|5DUR|6RMIN|7BBNT|8TLV|9aRCR
54	42421 51311	   	290.10	DCR|3VULN|2TLV|2LIT	15aVULN|24LIT|34aCRUHEL|4aBPWR|6aTLV|7RCR|8TBNT|9AART
55	41356 22211	 * 	290.05	ACR|DCR|2VULN|2TLV|1LIT	13VULN|23TLV|3BPWR|468DUST|5aRCR|7LIT|9DUR
56	41312 41421	   	288.20	DCR|3VULN|2TLV|1LIT|1MLV	137VULN|23TLV|3BPWR|4LIT|5LHND|6ZMB|8RCR|9RMIN|aMLV
57	41332 41421	   	288.20	DCR|3VULN|2TLV|1LIT|1MLV	137VULN|23TLV|3BPWR|4LWND|5LIT|6ZMB|8RCR|9RMIN|aMLV
58	41311 11341	   	287.64	DCR|3VULN|2TLV|1LIT|1CDMG	139VULN|23TLV|3BPWR|4LIT|5RPLT|6DUR|7BEXP|8RCR|aCDMG
59	41311 14211	   	287.64	DCR|3VULN|2TLV|1LIT|1CDMG	137VULN|23TLV|3BPWR|4LIT|5RPLT|6DUR|8RCR|9LHND|aCDMG
60	41311 14251	   	287.64	DCR|3VULN|2TLV|1LIT|1CDMG	137VULN|23TLV|3BPWR|4LIT|5RPLT|6DUR|8RCR|9BEXP|aCDMG
61	41311 14221	   	287.54	DCR|3VULN|2TLV|1LIT|1CDMG	137VULN|23TLV|3BPWR|4LIT|5RPLT|6DUR|8RCR|9DUST|aCDMG
