0	Index      	 *	Score 	Summary	Detail	
1	32551 15313	 * 	268.87	DCR|3LIT|3VULN|1DMG	1LSRHEA|2LHND|367VULN|459LIT|8RCR|aDMG
58	56323 33423	   	248.40	DCR|2LIT|2VULN|1MLV	1RCVC|29LIT|35VULN|4AART|6ZMB|7MBVNT|8RCR|aMLV
59	26122 12435	   	248.11	DCR|3LIT|1VULN|1MLV|1ASPD	1LWND|235LIT|4AART|6RCVC|7RCR|8VULN|9MLV|aASPD
60	24215 31116	   	248.06	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG|1ASPD	1LWND|2DMG|36BEXP|4LIT|5MLV|7RCR|8ASPD|9FLTARM|aVULN
61	32551 15332	   	247.76	DCR|2LIT|3VULN|1AART	1LSRHEA|2LHND|367VULN|45LIT|8RCR|9BEXP|aAART
62	56313 15313	   	247.76	DCR|2LIT|3VULN|1AART	1RCVC|29LIT|367VULN|4LHND|5CANSTR|8RCR|aAART
63	65231 34313	 * 	247.39	DCR|2MLV|3VULN|1LIT|1DUR	1DUR|27aVULN|34LHND|58MLV|6LIT|9RCR
64	23674 41338	 * 	247.22	DCR|2LIT|2VULN|2DMG	12aLWND|3MBVNT|49DMG|5aVULN|6aLIT|7DMSP|8RCR|aBPWR
65	44333 26312	   	247.07	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1BEXP|2DMG|3DUST|4LEGI|5VULN|6MLV|7ASPD|8aLIT|9RCR
66	25423 32511	 * 	246.97	ACR|3LIT|4VULN	1LWND|258aVULN|3RCR|45BASHEA|5BPWR|679LIT
67	32512 21514	   	246.50	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG|1DUR	1LSRHEA|2LHND|3VULN|4DUR|5LIT|6MLV|7DMG|8TLV|9FLTARM|aRCR
68	33323 15614	   	246.40	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG|1DUR	1LSRHEA|2DMG|3LWND|4DUR|5LIT|6VULN|7ERES|8MLV|9FLTARM|aRCR
69	24133 33316	   	246.26	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG|1ASPD	14LWND|2DMG|3MLV|5ASPD|6LIT|7FEWX|8RCR|9FLTARM|aVULN
70	24215 33316	   	246.26	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG|1ASPD	1LWND|2DMG|36BEXP|4LIT|5MLV|7ASPD|8RCR|9FLTARM|aVULN
71	54213 61323	 * 	246.23	DCR|2LIT|3DMG|2ASPD|1CDMG	14RCVC|2aASPD|39aDMG|5LHND|6CDMG|7RCR|8aLIT|aBPWR
72	24133 36316	   	246.16	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG|1ASPD	14LWND|2DMG|3MLV|5ASPD|6LIT|7DUST|8RCR|9FLTARM|aVULN
73	14112 13411	   	246.05	DCR|3VULN|1LIT|1DMG|1ASPD	1TLV|2RPLT|348VULN|5DMG|6RCR|7ASPD|9LWND|aLIT
74	14112 13424	   	246.05	DCR|3VULN|1LIT|1DMG|1ASPD	19TLV|2RPLT|348VULN|5DMG|6RCR|7ASPD|aLIT
75	14112 13431	   	246.05	DCR|3VULN|1LIT|1DMG|1ASPD	1TLV|2RPLT|348VULN|5DMG|6RCR|7ASPD|9FEWX|aLIT
76	14112 13441	   	246.05	DCR|3VULN|1LIT|1DMG|1ASPD	1TLV|2RPLT|348VULN|5DMG|6RCR|7ASPD|9BEXP|aLIT
77	14112 13461	   	246.05	DCR|3VULN|1LIT|1DMG|1ASPD	1TLV|2RPLT|348VULN|5DMG|6RCR|7ASPD|9LHND|aLIT
78	14112 13661	   	246.05	DCR|3VULN|1LIT|1DMG|1ASPD	1TLV|2RPLT|349VULN|5DMG|6RCR|7ASPD|8LHND|aLIT
79	14112 13261	   	245.95	DCR|3VULN|1LIT|1DMG|1ASPD	1TLV|2RPLT|349VULN|5DMG|6RCR|7ASPD|8LEGI|aLIT
80	14162 13321	   	245.79	DCR|1LIT|2VULN|1MLV|2CDMG	17TLV|2RPLT|37VULN|4MLV|5LIT|67CDMG|7BPWR|8RCR|9RCVC|aZMB
81	33112 14631	   	245.69	DCR|1LIT|3DMG|1VULN|1MLV	1LSRHEA|237DMG|49BEXP|5VULN|6MLV|8RCR|aLIT
82	33125 34623	   	245.59	DCR|1LIT|3DMG|1VULN|1MLV	1LSRHEA|237DMG|4ERES|5BEXP|6VULN|8RCR|9MLV|aLIT
83	24215 31134	   	245.59	DCR|1LIT|2DMG|1VULN|1MLV|1ASPD	1LWND|29DMG|36BEXP|4LIT|5MLV|7RCR|8ASPD|aVULN
84	33121 34623	   	245.49	DCR|1LIT|3DMG|1VULN|1MLV	1LSRHEA|237DMG|4ERES|5DUST|6VULN|8RCR|9MLV|aLIT
85	33123 34643	   	245.49	DCR|1LIT|3DMG|1VULN|1MLV|1DUR	1LSRHEA|237DMG|4ERES|5DUR|6VULN|8RCR|9MLV|aLIT
86	64215 31133	   	245.49	DCR|1LIT|2DMG|1VULN|1MLV|1ASPD|1DUR	1DUR|29DMG|36BEXP|4LIT|5MLV|7RCR|8ASPD|aVULN
87	13163 33312	   	244.85	DCR|2LIT|3MLV|1VULN|1DMG|1DUR	17TLV|2DUR|378MLV|4DMG|5VULN|67LIT|7BPWR|9RCR|aBEXP
88	61163 33312	   	244.70	DCR|2LIT|3MLV|1VULN|1DMG|2DUR	17DUR|2CGEN|378MLV|4DMG|5VULN|67LIT|7BPWR|9RCR|aBEXP
89	13163 33313	   	244.70	DCR|2LIT|3MLV|1VULN|1DMG|1DUR	17TLV|2DUR|378MLV|4DMG|5VULN|67LIT|7BPWR|9RCR|aLSRREG
90	13163 33314	   	244.70	DCR|2LIT|3MLV|1VULN|1DMG|1DUR	17TLV|2DUR|378MLV|4DMG|5VULN|67LIT|7BPWR|9RCR|aDUST
91	13163 33315	   	244.70	DCR|2LIT|3MLV|1VULN|1DMG|1DUR	17TLV|2DUR|378MLV|4DMG|5VULN|67LIT|7BPWR|9RCR|aERES
92	61163 33313	   	244.55	DCR|2LIT|3MLV|1VULN|1DMG|2DUR	17DUR|2CGEN|378MLV|4DMG|5VULN|67LIT|7BPWR|9RCR|aLSRREG
93	61163 33314	   	244.55	DCR|2LIT|3MLV|1VULN|1DMG|2DUR	17DUR|2CGEN|378MLV|4DMG|5VULN|67LIT|7BPWR|9RCR|aDUST
94	61163 33315	   	244.55	DCR|2LIT|3MLV|1VULN|1DMG|2DUR	17DUR|2CGEN|378MLV|4DMG|5VULN|67LIT|7BPWR|9RCR|aERES
95	25653 21131	   	244.46	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG	1LWND|2VULN|3LIT|4FEWX|5FLTARM|6MLV|7DMG|8RCVC|9RCR|aERES
96	25653 21133	   	244.46	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG	1LWND|2VULN|3LIT|4FEWX|5FLTARM|6MLV|7DMG|8RCVC|9RCR|aDUST
97	26114 21633	   	244.41	DCR|3LIT|1VULN|1MLV|1CDMG	1LWND|235LIT|4LHND|6ERES|7CDMG|8MLV|9RCR|aVULN
98	66113 41233	   	244.41	DCR|3LIT|1VULN|1MLV|1CDMG|1DUR	1DUR|236LIT|4LHND|5MLV|7CDMG|8CGEN|9RCR|aVULN
99	32552 15332	   	244.05	DCR|4VULN|1LIT|1AART	1LSRHEA|2LHND|3567VULN|4LIT|8RCR|9BEXP|aAART
100	24133 33334	   	243.79	DCR|1LIT|2DMG|1VULN|1MLV|1ASPD	14LWND|29DMG|3MLV|5ASPD|6LIT|7FEWX|8RCR|aVULN
101	24163 33351	   	243.79	DCR|1LIT|2DMG|1VULN|1MLV|1ASPD	1LWND|24DMG|3MLV|5ASPD|6LIT|7FEWX|8RCR|9VULN|aBEXP
102	24215 33334	   	243.79	DCR|1LIT|2DMG|1VULN|1MLV|1ASPD	1LWND|29DMG|36BEXP|4LIT|5MLV|7ASPD|8RCR|aVULN
103	24133 36334	   	243.69	DCR|1LIT|2DMG|1VULN|1MLV|1ASPD	14LWND|29DMG|3MLV|5ASPD|6LIT|7DUST|8RCR|aVULN
104	24163 33352	   	243.69	DCR|1LIT|2DMG|1VULN|1MLV|1ASPD	1LWND|24DMG|3MLV|5ASPD|6LIT|7FEWX|8RCR|9VULN|aERES
105	46123 11136	   	243.36	DCR|2LIT|2VULN|1MLV	1BEXP|23LIT|4AART|59VULN|6RPLT|7RCR|8FEWX|aMLV
106	26123 11461	   	243.36	DCR|2LIT|2VULN|1MLV	1LWND|23LIT|4AART|59VULN|6RPLT|7RCR|8MLV|aBEXP
107	26123 11462	   	243.36	DCR|2LIT|2VULN|1MLV	1LWND|23LIT|4AART|59VULN|6RPLT|7RCR|8MLV|aFEWX
108	46123 11336	   	243.26	DCR|2LIT|2VULN|1MLV	1BEXP|23LIT|4AART|59VULN|6RPLT|7RCR|8DUST|aMLV
109	66123 11136	   	243.26	DCR|2LIT|2VULN|1MLV|1DUR	1DUR|23LIT|4AART|59VULN|6RPLT|7RCR|8FEWX|aMLV
110	44163 21112	   	243.21	DCR|1LIT|2DMG|1FLTARM|1MLV|1ASPD|1DUR	1BEXP|24DMG|3MLV|5LIT|6LHND|7RCR|8ASPD|9FLTARM|aDUR
111	66123 11336	   	243.16	DCR|2LIT|2VULN|1MLV|1DUR	1DUR|23LIT|4AART|59VULN|6RPLT|7RCR|8DUST|aMLV
112	46513 12233	   	243.16	DCR|2LIT|2VULN|1MLV|1DUR	1BEXP|25LIT|3RPLT|4MLV|6DUST|7RCR|8DUR|9aVULN
113	26123 11463	   	243.02	DCR|2LIT|2VULN|1MLV|1SELL	1LWND|23LIT|4AART|59VULN|6RPLT|7RCR|8MLV|aSELL
114	12536 33233	   	242.88	DCR|1LIT|1VULN|1MLV|2ASPD|1CDMG	15TLV|2CDMG|3ZMB|45ASPD|5BPWR|6RCR|7DMSP|8VULN|9LIT|aMLV
115	32522 21514	   	242.66	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG	1LSRHEA|2LHND|3VULN|4FEWX|5LIT|6MLV|7DMG|8TLV|9FLTARM|aRCR
116	32152 21514	   	242.56	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG	1LSRHEA|2LHND|3DUST|4LIT|5VULN|6MLV|7DMG|8TLV|9FLTARM|aRCR
117	51163 33326	   	242.12	DCR|2LIT|1VULN|1MLV|1DMG|1SELL	1RCVC|2BEXP|3SELL|4MLV|59LIT|6DMG|7ZMB|8RCR|aVULN
118	25461 22312	 * 	241.72	ACR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	17LWND|2VULN|3RCR|49LIT|5MLV|6CDMG|8ASPD|aDMG
119	25222 25335	   	241.66	DCR|2LIT|2VULN|1MLV	1LWND|2aVULN|3LHND|4BASHEA|5aLIT|6MLV|7DMSP|8RCR|9aBEXP|aBPWR
120	14112 13631	   	241.50	DCR|1LIT|2VULN|2DMG|1ASPD	1TLV|2RPLT|34VULN|59DMG|6RCR|7ASPD|8LHND|aLIT
121	25222 25325	 * 	241.46	DCR|2LIT|2VULN|1MLV|2DUR	1LWND|2aVULN|3LHND|4BASHEA|5aLIT|6MLV|7DMSP|8RCR|9aDUR|aBPWR
122	44163 23312	   	241.41	DCR|1LIT|2DMG|1FLTARM|1MLV|1ASPD|1DUR	1BEXP|24DMG|3MLV|5LIT|6LHND|7ASPD|8RCR|9FLTARM|aDUR
123	12523 32324	   	241.41	DCR|2LIT|2DMG|1MLV|1CDMG	1TLV|2CDMG|3ZMB|4ERES|59LIT|6aDMG|7MLV|8RCR
124	14112 13231	   	241.40	DCR|1LIT|2VULN|2DMG|1ASPD	1TLV|2RPLT|34VULN|59DMG|6RCR|7ASPD|8LEGI|aLIT
125	25461 23113	   	241.15	ACR|2LIT|2VULN|1MLV|1CDMG	1LWND|28VULN|3RCR|49LIT|5MLV|6CDMG|7ZMB|aCGEN
126	25461 23122	   	241.15	ACR|2LIT|2VULN|1MLV|1CDMG	1LWND|28VULN|3RCR|4aLIT|5MLV|6CDMG|7ZMB|9AART
127	25461 23111	   	241.05	ACR|2LIT|2VULN|1MLV|1CDMG	1LWND|28VULN|3RCR|49LIT|5MLV|6CDMG|7ZMB|aDUST
128	25231 56322	   	240.98	DCR|1LIT|2VULN|1MLV|1CDMG	1LWND|2aVULN|3LHND|4LEGI|5ZMB|6CDMG|7RCR|8MLV|9LIT
129	25461 33132	 * 	240.83	ACR|2LIT|2VULN|1MLV|1DMG	19LWND|2aVULN|3RCR|49LIT|5MLV|6DMG|7RPLT|89BEXP|9BPWR
130	66513 31111	   	240.68	DCR|3LIT|2MLV|1VULN|1DUR	1DUR|256LIT|3RPLT|46MLV|6BPWR|7RCR|8FEWX|9VULN|aRMIN
131	46513 31332	   	240.53	DCR|3LIT|2MLV|1VULN	1BEXP|256LIT|3RPLT|46MLV|6BPWR|7RCR|8ERES|9BASARM|aVULN
132	66513 31112	   	240.53	DCR|3LIT|2MLV|1VULN|1DUR	1DUR|256LIT|3RPLT|46MLV|6BPWR|7RCR|8FEWX|9VULN|aERES
133	66513 31223	   	240.53	DCR|3LIT|2MLV|1VULN|1DUR	1DUR|256LIT|3RPLT|46MLV|6BPWR|7RCR|8ERES|9TLV|aVULN
134	66513 31232	   	240.53	DCR|3LIT|2MLV|1VULN|1DUR	1DUR|256LIT|3RPLT|46MLV|6BPWR|7RCR|8ERES|9CGEN|aVULN
135	46512 32122	   	240.36	DCR|1LIT|2VULN|1MLV|1DMG	1BEXP|2LIT|3RPLT|4MLV|56DUST|7RCR|8DMG|9aVULN
136	66513 31322	   	240.31	DCR|3LIT|2MLV|1VULN|1DUR|1SELL	1DUR|256LIT|3RPLT|46MLV|6BPWR|7RCR|8SELL|9CGEN|aVULN
137	66513 31131	 * 	240.12	DCR|3LIT|3MLV|1FLTARM|2DUR	19DUR|256LIT|3RPLT|469MLV|69BPWR|7RCR|89FEWX|aFLTARM
138	56322 35311	   	240.11	DCR|2LIT|2VULN|1ASPD|1CDMG	1RCVC|25LIT|39VULN|4AART|6ZMB|7ASPD|8CDMG|aRCR
139	25461 33112	 * 	239.90	ACR|3VULN|1LIT|1MLV|1DMG	1LWND|29aVULN|3RCR|4LIT|5MLV|6DMG|7RPLT|8BEXP
140	21165 13632	   	239.85	DCR|1LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1LWND|2CGEN|3MLV|4DMG|5CDMG|6VULN|7ASPD|8RCR|9FEWX|aLIT
141	26521 13613	   	239.76	DCR|2LIT|2VULN|1MLV	1LWND|25LIT|3MGNSTR|46VULN|7RMIN|8RCVC|9RCR|aMLV
142	21165 13621	   	239.75	DCR|1LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1LWND|2CGEN|3MLV|4DMG|5CDMG|6VULN|7ASPD|8RCR|9NUKE|aLIT
143	22551 13613	   	239.66	DCR|2LIT|2VULN|1MLV	1LWND|2CANSTR|36VULN|45LIT|7RMIN|8RCVC|9RCR|aMLV
144	26521 11611	   	239.66	DCR|2LIT|2VULN|1MLV	1LWND|25LIT|3MGNSTR|46VULN|7MLV|8RCVC|9RCR|aSNITOX
145	26521 11612	   	239.66	DCR|2LIT|2VULN|1MLV	1LWND|25LIT|3MGNSTR|46VULN|7MLV|8RCVC|9RCR|aDUST
146	26521 11613	   	239.66	DCR|2LIT|2VULN|1MLV	1LWND|25LIT|3MGNSTR|46VULN|7MLV|8RCVC|9RCR|aBASARM
147	32551 13613	   	239.66	DCR|2LIT|2VULN|1MLV	1LSRHEA|2LHND|36VULN|45LIT|7RMIN|8RCVC|9RCR|aMLV
148	22551 11611	   	239.56	DCR|2LIT|2VULN|1MLV	1LWND|2CANSTR|36VULN|45LIT|7MLV|8RCVC|9RCR|aSNITOX
149	22551 11612	   	239.56	DCR|2LIT|2VULN|1MLV	1LWND|2CANSTR|36VULN|45LIT|7MLV|8RCVC|9RCR|aDUST
150	22551 11613	   	239.56	DCR|2LIT|2VULN|1MLV	1LWND|2CANSTR|36VULN|45LIT|7MLV|8RCVC|9RCR|aBASARM
151	32551 11611	   	239.56	DCR|2LIT|2VULN|1MLV	1LSRHEA|2LHND|36VULN|45LIT|7MLV|8RCVC|9RCR|aSNITOX
152	32551 11612	   	239.56	DCR|2LIT|2VULN|1MLV	1LSRHEA|2LHND|36VULN|45LIT|7MLV|8RCVC|9RCR|aDUST
153	32551 11613	   	239.56	DCR|2LIT|2VULN|1MLV	1LSRHEA|2LHND|36VULN|45LIT|7MLV|8RCVC|9RCR|aBASARM
154	32365 12233	   	239.56	DCR|2LIT|2VULN|1MLV	1LSRHEA|2LHND|3ERES|4MLV|57LIT|6aVULN|8LWND|9RCR
155	26525 22232	 * 	239.56	DCR|2LIT|1VULN|1MLV|2ASPD|1DUR	1LWND|26LIT|3MGNSTR|4VULN|56ASPD|6BPWR|7DUR|8LEGI|9RCR|aMLV
156	32365 12333	   	239.46	DCR|2LIT|2VULN|1MLV|1DUR	1LSRHEA|2LHND|3ERES|4MLV|57LIT|6aVULN|8DUR|9RCR
157	32365 22533	   	239.46	DCR|2LIT|2VULN|1MLV|1DUR	1LSRHEA|2LHND|3ERES|4MLV|57LIT|6DUR|8aVULN|9RCR
158	56323 35311	   	239.38	DCR|3VULN|1LIT|1ASPD|1CDMG	1RCVC|2LIT|359VULN|4AART|6ZMB|7ASPD|8CDMG|aRCR
159	14112 15161	   	239.34	DCR|3VULN|1LIT|1DMG	1TLV|2RPLT|349VULN|5DMG|6RCR|7FEWX|8ZMB|aLIT
160	14162 14321	   	239.28	DCR|1LIT|2VULN|1MLV|1CDMG	1TLV|2RPLT|37VULN|4MLV|5LIT|6CDMG|8RCR|9RCVC|aZMB
161	26215 26121	 * 	239.18	DCR|2LIT|1FLTARM|1VULN|1DMG	1LWND|26LIT|3AART|4ERES|5RPLT|7DMG|8FLTARM|9RCR|aVULN
162	26522 13613	   	239.03	DCR|3VULN|1LIT|1MLV	1LWND|2LIT|3MGNSTR|456VULN|7RMIN|8RCVC|9RCR|aMLV
163	26522 11611	   	238.93	DCR|3VULN|1LIT|1MLV	1LWND|2LIT|3MGNSTR|456VULN|7MLV|8RCVC|9RCR|aSNITOX
