0	Index      	 *	Score 	Summary	Detail	
1	14182 34248	 * 	290.52	DCR|3LIT|2VULN|2DMG|2ASPD|1DUR	1aDMG|2MBVNT|349LIT|5DUR|6aVULN|7aASPD|8RCR|aBPWR
38	16234 54174	   	276.88	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	1DMG|2CDMG|3MBVNT|48LIT|59VULN|6DUR|7RCR|aMLV
39	14142 31721	   	275.18	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1DMG|2MBVNT|36LIT|4CGEN|59VULN|7CDMG|8RCR|aMLV
40	14421 52274	   	275.18	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1DMG|2MBVNT|39VULN|47LIT|5FEWX|6CDMG|8RCR|aMLV
41	14422 31721	   	275.18	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1DMG|2MBVNT|39VULN|46LIT|5CGEN|7CDMG|8RCR|aMLV
42	16234 22274	   	275.18	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1DMG|2CDMG|3MBVNT|46LIT|59VULN|7LHND|8RCR|aMLV
43	16234 24721	   	275.18	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1DMG|2CDMG|3MBVNT|46LIT|59VULN|7CGEN|8RCR|aMLV
44	16234 25274	   	275.18	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1DMG|2CDMG|3MBVNT|46LIT|59VULN|7BEXP|8RCR|aMLV
45	16234 26274	   	275.18	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1DMG|2CDMG|3MBVNT|46LIT|59VULN|7LWND|8RCR|aMLV
46	16234 42274	   	275.18	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1DMG|2CDMG|3MBVNT|47LIT|59VULN|6LHND|8RCR|aMLV
47	16234 82274	   	275.18	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1DMG|2CDMG|3MBVNT|47LIT|59VULN|6BEXP|8RCR|aMLV
48	14424 52274	   	275.08	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	1DMG|2MBVNT|39VULN|47LIT|5DUR|6CDMG|8RCR|aMLV
49	16234 21274	   	275.08	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	1DMG|2CDMG|3MBVNT|46LIT|59VULN|7DUR|8RCR|aMLV
50	16234 23274	   	275.08	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1DMG|2CDMG|3MBVNT|46LIT|59VULN|7LEGI|8RCR|aMLV
51	16234 52274	   	275.08	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	1DMG|2CDMG|3MBVNT|47LIT|59VULN|6DUR|8RCR|aMLV
52	24473 21217	 * 	275.01	DCR|3LIT|3VULN|2ASPD	19ASPD|2MBVNT|379VULN|4ERES|5LWND|69aLIT|8RCR|9BPWR
53	24133 41217	   	274.91	DCR|3LIT|3VULN|2ASPD|1DUR	19ASPD|2MBVNT|39aLIT|4ERES|5DUR|679VULN|8RCR|9BPWR
54	14367 22442	 * 	274.83	DCR|2LIT|2MLV|3DMG|1CDMG	15aDMG|2MBVNT|3AART|4aMLV|6CDMG|7ZMB|8RCR|9aLIT|aBPWR
55	23314 35226	   	274.51	ACR|4VULN|1LIT|1MLV|2CDMG|1ASPD	1ASPD|2RCR|3AART|46CDMG|569aVULN|6BPWR|7MLV|8LIT
56	14418 21721	 * 	274.45	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	1DMG|2MBVNT|359VULN|4CGEN|6LIT|7CDMG|8RCR|aMLV
57	24473 21211	   	273.96	DCR|2LIT|3VULN|2ASPD|1AART	19ASPD|2MBVNT|379VULN|4ERES|5LWND|69LIT|8RCR|9BPWR|aAART
58	13155 12335	 * 	273.87	ACR|2LIT|2VULN|2DMG|1MLV|1ASPD	18DMG|2RCR|38LIT|4LWND|5AART|6ASPD|78VULN|8BPWR|9LHND|aMLV
59	24133 41211	   	273.86	DCR|2LIT|3VULN|2ASPD|1AART|1DUR	19ASPD|2MBVNT|39LIT|4ERES|5DUR|679VULN|8RCR|9BPWR|aAART
60	61231 31312	   	273.67	ACR|2LIT|2VULN|1FLTARM|1MLV|1ASPD	1BASICY|2RCR|3FLTARM|48VULN|56LIT|7MLV|9TLV|aASPD
61	61231 31354	   	273.67	ACR|2LIT|2VULN|1FLTARM|1MLV|1CDMG	1BASICY|2RCR|3FLTARM|48VULN|56LIT|7MLV|9FEWX|aCDMG
62	61231 31412	   	273.67	ACR|2LIT|2VULN|1FLTARM|1MLV|1ASPD	1BASICY|2RCR|3FLTARM|49VULN|56LIT|7MLV|8CGEN|aASPD
63	61231 32312	   	273.67	ACR|2LIT|2VULN|1FLTARM|1MLV|1ASPD	1BASICY|2RCR|3FLTARM|48VULN|56LIT|7CGEN|9MLV|aASPD
64	16561 12121	 * 	273.59	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	15DMG|2CDMG|3LIT|49VULN|6RCR|7LHND|8CGEN|aMLV
65	61231 31364	   	273.57	ACR|2LIT|2VULN|1FLTARM|1MLV|1CDMG|1DUR	1BASICY|2RCR|3FLTARM|48VULN|56LIT|7MLV|9DUR|aCDMG
66	61231 31512	   	273.57	ACR|2LIT|2VULN|1FLTARM|1MLV|1ASPD	1BASICY|2RCR|3FLTARM|49VULN|56LIT|7MLV|8ERES|aASPD
67	16561 11121	   	273.49	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG|1DUR	15DMG|2CDMG|3LIT|49VULN|6RCR|7DUR|8CGEN|aMLV
68	16561 13121	   	273.49	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	15DMG|2CDMG|3LIT|49VULN|6RCR|7LEGI|8CGEN|aMLV
69	14423 27532	   	273.38	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1DMG|2MBVNT|38VULN|4aLIT|5ASPD|6LHND|7MLV|9RCR
70	24423 27532	   	273.38	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ASPD|2MBVNT|38VULN|4aLIT|5DMG|6LHND|7MLV|9RCR
71	14423 27531	   	272.65	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1DMG|2MBVNT|38aVULN|4LIT|5ASPD|6LHND|7MLV|9RCR
72	24423 27531	   	272.65	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1ASPD|2MBVNT|38aVULN|4LIT|5DMG|6LHND|7MLV|9RCR
73	14315 31713	 * 	272.37	DCR|1LIT|2VULN|1MLV|2CDMG|1DMG|1ASPD	1DMG|2MBVNT|3AART|46CDMG|56VULN|6BPWR|7LIT|8RCR|9ASPD|aMLV
74	16215 31713	   	272.37	DCR|1LIT|2VULN|1MLV|2CDMG|1DMG|1ASPD	1DMG|26CDMG|3MBVNT|4AART|56VULN|6BPWR|7LIT|8RCR|9ASPD|aMLV
75	16234 44674	   	271.69	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	18DMG|2CDMG|3MBVNT|4LIT|59VULN|6LHND|7RCR|aMLV
76	61231 31622	 * 	271.07	ACR|3LIT|1FLTARM|1VULN|1MLV|1DMG	1BASICY|2RCR|3FLTARM|4VULN|569LIT|7MLV|8DUST|aDMG
77	61231 33222	   	271.07	ACR|3LIT|1FLTARM|1VULN|1MLV|1DMG	1BASICY|2RCR|3FLTARM|4VULN|569LIT|7DUST|8MLV|aDMG
78	13155 12312	 * 	270.85	ACR|2LIT|3VULN|2DMG|1ASPD	18DMG|2RCR|38LIT|4LWND|5AART|6ASPD|789VULN|8BPWR|aZMB
79	61231 15224	 * 	270.76	ACR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG|1DUR	1BASICY|2RCR|3FLTARM|49VULN|5LIT|6DMG|7CDMG|8DUR|aMLV
80	61231 31333	 * 	270.50	ACR|2LIT|2MLV|2VULN|1FLTARM	1BASICY|2RCR|3FLTARM|48VULN|56LIT|79MLV|aZMB
81	24424 54174	   	270.46	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD|1DUR	1ASPD|2MBVNT|39VULN|48LIT|5DUR|6CDMG|7RCR|aMLV
82	61231 31215	   	270.25	ACR|2LIT|2VULN|1FLTARM|1MLV|2ZMB	1BASICY|2RCR|3FLTARM|49VULN|56LIT|7MLV|8aZMB
83	61233 23524	   	270.16	ACR|2LIT|2FLTARM|2VULN|1CDMG|1DUR	1BASICY|2RCR|35FLTARM|45VULN|5BPWR|6ERES|7DUR|89LIT|aCDMG
84	14311 32442	 * 	270.03	DCR|2LIT|2MLV|2DMG|3CDMG	1aDMG|2MBVNT|3AART|46aCDMG|56MLV|6aBPWR|7ZMB|8RCR|9aLIT
85	16211 32442	   	270.03	DCR|2LIT|2MLV|2DMG|3CDMG	1aDMG|26aCDMG|3MBVNT|4AART|56MLV|6aBPWR|7ZMB|8RCR|9aLIT
86	16234 62274	   	269.89	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	16DMG|2CDMG|3MBVNT|4LIT|59VULN|7LHND|8RCR|aMLV
87	16234 64721	   	269.89	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	16DMG|2CDMG|3MBVNT|4LIT|59VULN|7CGEN|8RCR|aMLV
88	16234 61274	   	269.79	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG|1DUR	16DMG|2CDMG|3MBVNT|4LIT|59VULN|7DUR|8RCR|aMLV
89	16234 63274	   	269.79	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	16DMG|2CDMG|3MBVNT|4LIT|59VULN|7LEGI|8RCR|aMLV
90	14473 21212	   	269.26	DCR|2LIT|3VULN|2DMG	19DMG|2MBVNT|379VULN|4ERES|5LWND|69LIT|8RCR|9BPWR|aCGEN
91	14473 21214	   	269.26	DCR|2LIT|3VULN|2DMG	19DMG|2MBVNT|379VULN|4ERES|5LWND|69LIT|8RCR|9BPWR|aFEWX
92	14473 21215	   	269.26	DCR|2LIT|3VULN|2DMG	19DMG|2MBVNT|379VULN|4ERES|5LWND|69LIT|8RCR|9BPWR|aBEXP
93	14473 21216	   	269.26	DCR|2LIT|3VULN|2DMG	19DMG|2MBVNT|379VULN|4ERES|5LWND|69LIT|8RCR|9BPWR|aLHND
94	14133 41212	   	269.16	DCR|2LIT|3VULN|2DMG|1DUR	19DMG|2MBVNT|39LIT|4ERES|5DUR|679VULN|8RCR|9BPWR|aCGEN
95	14133 41214	   	269.16	DCR|2LIT|3VULN|2DMG|1DUR	19DMG|2MBVNT|39LIT|4ERES|5DUR|679VULN|8RCR|9BPWR|aFEWX
96	14133 41215	   	269.16	DCR|2LIT|3VULN|2DMG|1DUR	19DMG|2MBVNT|39LIT|4ERES|5DUR|679VULN|8RCR|9BPWR|aBEXP
97	14133 41216	   	269.16	DCR|2LIT|3VULN|2DMG|1DUR	19DMG|2MBVNT|39LIT|4ERES|5DUR|679VULN|8RCR|9BPWR|aLHND
98	14421 81217	   	269.16	DCR|2LIT|3VULN|2DMG	19DMG|2MBVNT|379VULN|4aLIT|5FEWX|69ERES|8RCR|9BPWR
99	14473 21218	   	269.16	DCR|2LIT|3VULN|2DMG	19DMG|2MBVNT|379VULN|4ERES|5LWND|69LIT|8RCR|9BPWR|aDUST
100	61233 51262	   	269.09	ACR|2LIT|3VULN|2FLTARM	1aBASICY|2RCR|35FLTARM|45aVULN|5aBPWR|6DUST|7FEWX|8RPLT|9aLIT
101	14133 41218	   	269.06	DCR|2LIT|3VULN|2DMG|1DUR	19DMG|2MBVNT|39LIT|4ERES|5DUR|679VULN|8RCR|9BPWR|aDUST
102	14424 81217	   	269.06	DCR|2LIT|3VULN|2DMG|1DUR	19DMG|2MBVNT|379VULN|4aLIT|5DUR|69ERES|8RCR|9BPWR
103	61233 21523	   	268.99	ACR|2LIT|3VULN|2FLTARM	1BASICY|2RCR|35FLTARM|45aVULN|5BPWR|6ERES|7LWND|89LIT
104	61233 22523	   	268.99	ACR|2LIT|3VULN|2FLTARM	1BASICY|2RCR|35FLTARM|45aVULN|5BPWR|6ERES|7FEWX|89LIT
105	61233 26523	   	268.89	ACR|2LIT|3VULN|2FLTARM	1BASICY|2RCR|35FLTARM|45aVULN|5BPWR|6ERES|7LEGI|89LIT
106	61233 53523	   	268.89	ACR|2LIT|3VULN|2FLTARM	1BASICY|2RCR|35FLTARM|45aVULN|5BPWR|6DUST|7ERES|89LIT
107	24142 31721	   	268.76	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	1ASPD|2MBVNT|36LIT|4CGEN|59VULN|7CDMG|8RCR|aMLV
108	24421 52274	   	268.76	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	1ASPD|2MBVNT|39VULN|47LIT|5FEWX|6CDMG|8RCR|aMLV
109	24422 31721	   	268.76	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	1ASPD|2MBVNT|39VULN|46LIT|5CGEN|7CDMG|8RCR|aMLV
110	23155 12335	 * 	268.73	ACR|2LIT|2VULN|1MLV|2ASPD|1DMG	18ASPD|2RCR|38LIT|4LWND|5AART|6DMG|78VULN|8BPWR|9LHND|aMLV
111	13314 31625	   	268.70	ACR|3VULN|1LIT|1MLV|2CDMG|1DMG	1DMG|2RCR|3AART|46CDMG|569VULN|6BPWR|7LIT|8ZMB|aMLV
112	24424 52274	   	268.67	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD|1DUR	1ASPD|2MBVNT|39VULN|47LIT|5DUR|6CDMG|8RCR|aMLV
113	24418 21721	   	268.03	DCR|3VULN|1LIT|1MLV|1CDMG|1ASPD	1ASPD|2MBVNT|359VULN|4CGEN|6LIT|7CDMG|8RCR|aMLV
114	14183 71324	   	267.85	DCR|2LIT|2MLV|1VULN|1DMG|1CDMG	1DMG|2MBVNT|34LIT|5aMLV|6RCR|7CDMG|8TLV|9VULN
115	23313 15226	 * 	267.80	ACR|3VULN|1LIT|1MLV|2ASPD|2CDMG	15ASPD|2RCR|3AART|45CDMG|5BPWR|69aVULN|7MLV|8LIT
116	61231 16124	   	267.43	ACR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG	1BASICY|2RCR|3FLTARM|4VULN|59LIT|6DMG|7ERES|8MLV|aCDMG
117	61211 31326	   	267.36	ACR|3LIT|1FLTARM|1MLV|1VULN|1AART	1BASICY|2RCR|3FLTARM|4LHND|569LIT|7MLV|8VULN|aAART
118	61231 31126	   	267.36	ACR|3LIT|1FLTARM|1MLV|1VULN|1AART	1BASICY|2RCR|3FLTARM|4VULN|569LIT|7MLV|8LHND|aAART
119	61231 36226	   	267.36	ACR|3LIT|1FLTARM|1MLV|1VULN|1AART	1BASICY|2RCR|3FLTARM|4VULN|569LIT|7LWND|8MLV|aAART
120	61231 31621	   	267.26	ACR|3LIT|1FLTARM|1MLV|1VULN|1AART	1BASICY|2RCR|3FLTARM|4VULN|569LIT|7MLV|8DUST|aAART
121	61231 33221	   	267.26	ACR|3LIT|1FLTARM|1MLV|1VULN|1AART	1BASICY|2RCR|3FLTARM|4VULN|569LIT|7DUST|8MLV|aAART
122	13112 24335	   	267.15	ACR|2LIT|2VULN|2DMG|1MLV	18DMG|2RCR|38LIT|4ZMB|5AART|6BEXP|78VULN|8BPWR|9LHND|aMLV
123	13112 42335	   	267.15	ACR|2LIT|2VULN|2DMG|1MLV	18DMG|2RCR|38LIT|4ZMB|5AART|6LWND|78VULN|8BPWR|9LHND|aMLV
124	13112 42365	   	267.15	ACR|2LIT|2VULN|2DMG|1MLV	18DMG|2RCR|38LIT|4ZMB|5AART|6LWND|78VULN|8BPWR|9BEXP|aMLV
125	13112 24355	   	267.05	ACR|2LIT|2VULN|2DMG|1MLV	18DMG|2RCR|38LIT|4ZMB|5AART|6BEXP|78VULN|8BPWR|9DUST|aMLV
126	13112 42355	   	267.05	ACR|2LIT|2VULN|2DMG|1MLV	18DMG|2RCR|38LIT|4ZMB|5AART|6LWND|78VULN|8BPWR|9DUST|aMLV
127	16234 44177	   	267.02	DCR|2LIT|3VULN|1DMG|1CDMG	1DMG|2CDMG|3MBVNT|48LIT|59aVULN|6LHND|7RCR
128	61231 31211	   	266.95	ACR|2LIT|2VULN|1FLTARM|1MLV	1BASICY|2RCR|3FLTARM|49VULN|56LIT|7MLV|8ZMB|aLHND
129	61231 31213	   	266.95	ACR|2LIT|2VULN|1FLTARM|1MLV	1BASICY|2RCR|3FLTARM|49VULN|56LIT|7MLV|8ZMB|aCGEN
130	61231 31315	   	266.95	ACR|2LIT|2VULN|1FLTARM|1MLV	1BASICY|2RCR|3FLTARM|48VULN|56LIT|7MLV|9TLV|aZMB
131	61231 31415	   	266.95	ACR|2LIT|2VULN|1FLTARM|1MLV	1BASICY|2RCR|3FLTARM|49VULN|56LIT|7MLV|8CGEN|aZMB
132	61231 32315	   	266.95	ACR|2LIT|2VULN|1FLTARM|1MLV	1BASICY|2RCR|3FLTARM|48VULN|56LIT|7CGEN|9MLV|aZMB
133	13314 13624	   	266.91	ACR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG	1DMG|2RCR|3AART|4CDMG|58VULN|6TLV|7FLTARM|9MLV|aLIT
134	61231 12324	   	266.91	ACR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG	1BASICY|2RCR|3FLTARM|49VULN|5LIT|6DMG|7LHND|8CDMG|aMLV
135	61231 14324	   	266.91	ACR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG	1BASICY|2RCR|3FLTARM|49VULN|5LIT|6DMG|7LWND|8CDMG|aMLV
136	61234 23353	   	266.91	ACR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG	1BASICY|2RCR|3FLTARM|49VULN|5BELT|6LIT|7DMG|8CDMG|aMLV
137	61231 31214	   	266.85	ACR|2LIT|2VULN|1FLTARM|1MLV	1BASICY|2RCR|3FLTARM|49VULN|56LIT|7MLV|8ZMB|aMBVNT
138	61231 31216	   	266.85	ACR|2LIT|2VULN|1FLTARM|1MLV	1BASICY|2RCR|3FLTARM|49VULN|56LIT|7MLV|8ZMB|aERES
139	61231 31515	   	266.85	ACR|2LIT|2VULN|1FLTARM|1MLV	1BASICY|2RCR|3FLTARM|49VULN|56LIT|7MLV|8ERES|aZMB
140	61231 11324	   	266.81	ACR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG	1BASICY|2RCR|3FLTARM|49VULN|5LIT|6DMG|7DUST|8CDMG|aMLV
141	14113 47532	   	266.57	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1DMG|2MBVNT|3aLIT|4ZMB|5DUR|68VULN|7MLV|9RCR
142	14142 31771	   	266.56	DCR|2LIT|2DMG|1VULN|1MLV|1CDMG	19DMG|2MBVNT|36LIT|4CGEN|5VULN|7CDMG|8RCR|aMLV
143	14422 31771	   	266.56	DCR|2LIT|2DMG|1VULN|1MLV|1CDMG	19DMG|2MBVNT|3VULN|46LIT|5CGEN|7CDMG|8RCR|aMLV
144	16234 24771	   	266.56	DCR|2LIT|2DMG|1VULN|1MLV|1CDMG	19DMG|2CDMG|3MBVNT|46LIT|5VULN|7CGEN|8RCR|aMLV
145	62411 11133	 * 	266.29	DCR|1LIT|2VULN|1FLTARM|1MLV|1CDMG|1DUR	1BASICY|2LIT|35VULN|4DUR|6FLTARM|7MLV|8LHND|9CDMG|aRCR
146	62411 16233	   	266.29	DCR|1LIT|2VULN|1FLTARM|1MLV|1CDMG|1DUR	1BASICY|2LIT|35VULN|4DUR|6FLTARM|7LWND|8MLV|9CDMG|aRCR
147	14428 84243	 * 	266.27	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD	1DMG|2MBVNT|3VULN|459LIT|6FEWX|7ASPD|8RCR|aMLV
148	14364 32442	 * 	266.24	DCR|2LIT|3MLV|2DMG|2CDMG	1aDMG|2MBVNT|3AART|46aMLV|56CDMG|6aBPWR|7ZMB|8RCR|9aLIT
149	14182 34243	   	266.17	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD|1DUR	1DMG|2MBVNT|349LIT|5DUR|6VULN|7ASPD|8RCR|aMLV
150	33114 35313	   	266.16	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	16FEWX|2AART|3DMG|4CDMG|56VULN|6BPWR|7MLV|8RCR|9ASPD|aLIT
151	14113 47531	   	265.83	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	1DMG|2MBVNT|3LIT|4ZMB|5DUR|68aVULN|7MLV|9RCR
152	23155 12312	 * 	265.72	ACR|2LIT|3VULN|2ASPD|1DMG	18ASPD|2RCR|38LIT|4LWND|5AART|6DMG|789VULN|8BPWR|aZMB
153	13133 21214	 * 	265.72	ACR|2LIT|3VULN|3DMG|1DUR	19aDMG|2RCR|3aLIT|489ERES|5DUR|6LHND|79aVULN|9aBPWR
154	14142 31726	   	265.22	DCR|2LIT|3VULN|1DMG|1CDMG	1DMG|2MBVNT|36LIT|4CGEN|59aVULN|7CDMG|8RCR
155	14422 31726	   	265.22	DCR|2LIT|3VULN|1DMG|1CDMG	1DMG|2MBVNT|39aVULN|46LIT|5CGEN|7CDMG|8RCR
156	16234 22277	   	265.22	DCR|2LIT|3VULN|1DMG|1CDMG	1DMG|2CDMG|3MBVNT|46LIT|59aVULN|7LHND|8RCR
157	16234 24726	   	265.22	DCR|2LIT|3VULN|1DMG|1CDMG	1DMG|2CDMG|3MBVNT|46LIT|59aVULN|7CGEN|8RCR
