0	Index      	 *	Score 	Summary	Detail	
1	25214 24131	 * 	249.76	紫3易伤3攻速3伤害1基地爆炸	189攻速289易伤3喷火对黄4掉矿5核6平台789伤害89序列升级a基地爆炸
16	33211 26562	   	224.44	紫1基础对甲1易伤1攻速1伤害1基地爆炸1暴击	1挖尘2易伤3核4攻速5时间6暴击7双倍矿8伤害9基地爆炸a基础对甲
17	33213 26532	   	224.44	紫1基础对甲1易伤1攻速1伤害1基地爆炸1暴击	1挖尘2易伤3核4攻速5基地爆炸6暴击7双倍矿8伤害9时间a基础对甲
18	33213 26552	   	224.44	紫1基础对甲1易伤1攻速1伤害1基地爆炸1暴击	1挖尘2易伤3核4攻速5基地爆炸6暴击7双倍矿8伤害9低血量敌人a基础对甲
19	33235 33513	 * 	224.14	紫2基础对甲2易伤1攻速1全技能	1挖尘2a易伤3核4低血量敌人5全技能6攻速7a时间8最后敌人9a基础对甲a序列升级
20	41166 12131	   	223.53	紫2易伤1基础对甲2基地爆炸1全技能1暴击	16易伤26基地爆炸3全技能4双倍秒伤5核6序列升级7基础对甲8随机矿9暴击a最后敌人
21	41166 12132	   	223.53	紫2易伤1基础对甲2基地爆炸1全技能1暴击	16易伤26基地爆炸3全技能4双倍秒伤5核6序列升级7基础对甲8随机矿9暴击a雷电
22	41166 12133	   	223.53	紫2易伤1基础对甲2基地爆炸1全技能1暴击	16易伤26基地爆炸3全技能4双倍秒伤5核6序列升级7基础对甲8随机矿9暴击a金币生成
23	41166 12331	   	223.53	紫2易伤1基础对甲2基地爆炸1全技能1暴击	16易伤26基地爆炸3全技能4双倍秒伤5核6序列升级7基础对甲8金币生成9暴击a最后敌人
24	41166 12332	   	223.53	紫2易伤1基础对甲2基地爆炸1全技能1暴击	16易伤26基地爆炸3全技能4双倍秒伤5核6序列升级7基础对甲8金币生成9暴击a雷电
25	41166 12333	   	223.53	紫2易伤1基础对甲2基地爆炸1全技能1暴击	16易伤26基地爆炸3全技能4双倍秒伤5核6序列升级7基础对甲8a金币生成9暴击
26	33211 24552	   	223.42	紫2易伤1基础对甲1攻速1伤害1暴击	1挖尘27易伤3核4攻速5时间6暴击8伤害9低血量敌人a基础对甲
27	33214 24532	   	223.42	紫2易伤1基础对甲1攻速1伤害1暴击	1挖尘27易伤3核4攻速5低血量敌人6暴击8伤害9时间a基础对甲
28	33211 55511	   	223.21	紫1基础对甲1易伤2基地爆炸1攻速1全技能	1挖尘2易伤3核4攻速5时间6a基地爆炸7全技能8最后敌人9基础对甲
29	41166 12212	   	222.46	紫2基础对甲2易伤2基地爆炸1全技能	16易伤26基地爆炸3全技能4双倍秒伤5核6序列升级7a基础对甲8双倍矿9最后敌人
30	41166 12222	   	222.36	紫2基础对甲2易伤2基地爆炸1全技能	16易伤26基地爆炸3全技能4双倍秒伤5核6序列升级7a基础对甲8双倍矿9挖尘
31	33211 52511	   	222.21	紫1基础对甲1易伤2基地爆炸1攻速1全技能	1挖尘2易伤3核4攻速5时间6a基地爆炸7低血量敌人8全技能9基础对甲
32	41211 21652	   	222.06	紫1基础对甲2攻速1易伤1基地爆炸1暴击	1易伤2基地爆炸3核48攻速5时间6暴击7策反9低血量敌人a基础对甲
33	41211 23652	   	222.06	紫1基础对甲2攻速1易伤1基地爆炸1暴击	1易伤2基地爆炸3核48攻速5时间6暴击7随机矿9低血量敌人a基础对甲
34	33211 21632	   	221.96	紫1基础对甲2攻速1易伤1基地爆炸1暴击	1挖尘2易伤3核48攻速5时间6暴击7策反9基地爆炸a基础对甲
35	33211 23632	   	221.96	紫1基础对甲2攻速1易伤1基地爆炸1暴击	1挖尘2易伤3核48攻速5时间6暴击7随机矿9基地爆炸a基础对甲
36	33213 21652	   	221.96	紫1基础对甲2攻速1易伤1基地爆炸1暴击	1挖尘2易伤3核48攻速5基地爆炸6暴击7策反9低血量敌人a基础对甲
37	33213 23652	   	221.96	紫1基础对甲2攻速1易伤1基地爆炸1暴击	1挖尘2易伤3核48攻速5基地爆炸6暴击7随机矿9低血量敌人a基础对甲
38	41211 21622	   	221.96	紫1基础对甲2攻速1易伤1基地爆炸1暴击	1易伤2基地爆炸3核48攻速5时间6暴击7策反9挖尘a基础对甲
39	41211 23622	   	221.96	紫1基础对甲2攻速1易伤1基地爆炸1暴击	1易伤2基地爆炸3核48攻速5时间6暴击7随机矿9挖尘a基础对甲
40	41235 12523	 * 	220.68	紫1基础对甲1易伤1伤害1全技能1基地爆炸1技能	1易伤2基地爆炸3核4低血量敌人5全技能6最后敌人7基础对甲8立即金币9伤害a技能
