0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14361 32363	5	 * 	309.05	橙4易伤3伤害2时间2暴击	1全技能268a易伤35暴击45a伤害5a序列升级7a时间9核
24	33133 22432	9	   	282.77	橙4易伤3伤害2等级	1挖青258伤害3589易伤4立即金币58序列升级6核78等级a金币生成
25	33133 22432	10	   	282.77	橙4易伤3伤害2等级	1挖青258伤害3589易伤4立即金币58序列升级6核78等级a基地爆炸
26	33133 22433	10	   	282.77	橙4易伤3伤害2等级	1挖青258伤害3589易伤4立即金币58序列升级6核78等级a金币生成
27	33133 22434	10	   	282.77	橙4易伤3伤害2等级	1挖青258伤害3589易伤4立即金币58序列升级6核78等级a最后敌人
28	33133 22436	9	   	282.77	橙4易伤3伤害2等级	1挖青258伤害3589易伤4立即金币58序列升级6核78等级a低血量敌人
29	33133 22444	9	   	282.77	橙4易伤3伤害2等级	1挖青258伤害358a易伤4立即金币58序列升级6核78等级9基地爆炸
30	33133 22444	8	   	282.77	橙4易伤3伤害2等级	1挖青258伤害358a易伤4立即金币58序列升级6核78等级9敌人爆炸
31	33133 22451	10	   	282.77	橙4易伤3伤害2等级	1挖青258伤害358a易伤4立即金币58序列升级6核78等级9矿等
32	33133 22456	9	   	282.77	橙4易伤3伤害2等级	1挖青258伤害358a易伤4立即金币58序列升级6核78等级9矿等
33	33133 22461	10	   	282.77	橙4易伤3伤害2等级	1挖青258伤害358a易伤4立即金币58序列升级6核78等级9金币生成
34	33133 41336	9	   	282.77	橙4易伤3伤害2等级	1挖青25a伤害356a易伤4立即金币5a序列升级7a等级8核9额外掉落
35	33133 22146	7	   	282.67	橙4易伤3伤害2等级	1挖青259伤害359a易伤4立即金币59序列升级6核79等级8赏金邻近
36	33133 22416	8	   	282.67	橙4易伤3伤害2等级	1挖青258伤害358a易伤4立即金币58序列升级6核78等级9赏金塔
37	33133 22426	8	   	282.67	橙4易伤3伤害2等级	1挖青258伤害358a易伤4立即金币58序列升级6核78等级9赏金邻近
38	33133 22431	9	   	282.67	橙4易伤3伤害2等级	1挖青258伤害3589易伤4立即金币58序列升级6核78等级a挖尘
39	33133 22434	9	 * 	282.67	橙4易伤3伤害3等级	1挖青258伤害3589易伤4立即金币58序列升级6核78a等级
40	33133 22436	10	   	282.67	橙4易伤3伤害3等级	1挖青258伤害3589易伤4立即金币58序列升级6核78a等级
41	33133 22435	9	   	282.53	橙4易伤3伤害2等级1卖塔	1挖青258伤害3589易伤4立即金币58序列升级6核78等级a卖塔
42	14362 12453	8	   	280.70	橙5易伤2伤害2暴击	1全技能2579a易伤3a暴击4a伤害6加一8核a序列升级
43	14362 12453	9	   	280.70	橙5易伤2伤害2暴击	1全技能2579a易伤3a暴击4a伤害6加一8核a序列升级
44	33164 12363	7	   	280.70	橙5易伤2伤害2暴击	1挖青2a伤害3678a易伤4全技能5a暴击9核a序列升级
45	33133 21354	10	   	280.38	橙5易伤3伤害1暴击	1挖青259伤害35789易伤4立即金币59序列升级6核a暴击
46	14333 34363	6	   	279.16	橙3易伤3时间2伤害1暴击	1全技能28a易伤3暴击46a时间5a伤害7立即金币9核a序列升级
