0	Index      	 *	Score 	Summary	Detail	
1	22633 41532	 * 	285.41	ACR|DCR|3VULN|1TLV|1MLV	1ERES|2aRCR|3CGEN|459VULN|6TLV|7BEXP|8MLV
31	61222 12642	   	262.72	DCR|DCR|2VULN|1ASPD	1ZMB|23DUST|48VULN|5ERES|6RAT|7ASPD|9aRCR
32	32212 64313	   	262.41	DCR|DCR|1VULN|1TLV|1AAC	1MDPS|2TBNT|3SNIFST|4TLV|5FEWX|6BBNT|7AAC|8aRCR|9VULN
33	32251 64313	   	262.41	DCR|DCR|1VULN|1TLV|1AAC	1MDPS|2TBNT|3SNIFST|4LHND|5TLV|6BBNT|7AAC|8aRCR|9VULN
34	32211 64313	   	262.31	DCR|DCR|1VULN|1TLV|1AAC	1MDPS|2TBNT|3SNIFST|4TLV|5DUST|6BBNT|7AAC|8aRCR|9VULN
35	31621 16132	   	261.59	DCR|DCR|2VULN|1CDMG	1MDPS|2FEWX|3BELT|4DUST|57VULN|6aRCR|8CDMG|9AART
36	31663 16132	   	261.59	DCR|DCR|2VULN|1CDMG	1MDPS|2FEWX|3BELT|47VULN|5DUST|6aRCR|8CDMG|9AART
37	51632 15313	 * 	261.58	DCR|2VULN|2ASPD|1MLV|1DMG|1AAC|1CDMG|1SELL	1SELL|28VULN|3CDMG|4MLV|5AAC|6aASPD|7RCR|9DMG
38	31152 13325	   	261.37	DCR|3VULN|2MLV|1AAC|1ASPD	1MDPS|2FEWX|367VULN|4aMLV|5AAC|8RCR|9ASPD
39	33152 13325	   	261.27	DCR|3VULN|2MLV|1AAC|1ASPD	1MDPS|2DUST|367VULN|4aMLV|5AAC|8RCR|9ASPD
40	33143 53316	   	260.77	DCR|DCR|1VULN|1TLV	1MDPS|2DUST|3VULN|4LIT|5DUR|6RAT|79RCR|8CGEN|aTLV
41	23612 63143	   	260.04	DCR|2VULN|2MLV|1TLV|1CDMG	1ERES|2BEXP|3TLV|4DUR|57MLV|6CDMG|8RCR|9aVULN
42	63366 32122	   	258.62	ACR|DCR|2VULN|1TLV|1AAC	1ZMB|2CGEN|3aRCR|4AAC|5RAT|67VULN|8TLV|9ERES
43	26433 22123	   	258.15	DCR|DCR|1VULN|1DMG|1ASPD	1ERES|2FEWX|3VULN|4ASPD|5LIT|6AART|7LWND|8aRCR|9DMG
44	26433 62123	   	258.15	DCR|DCR|1VULN|1DMG|1ASPD	1ERES|2FEWX|3VULN|4ASPD|5LIT|6LHND|7AART|8aRCR|9DMG
45	31611 12341	   	258.15	DCR|DCR|1VULN|1DMG|1ASPD	1MDPS|2FEWX|3BELT|4DUR|5VULN|6aRCR|7DMG|8RPLT|9ASPD
46	21433 22123	   	258.05	DCR|DCR|1VULN|1DMG|1ASPD	1ERES|2DUST|3VULN|4ASPD|5LIT|6AART|7LWND|8aRCR|9DMG
47	21433 25123	   	258.05	DCR|DCR|1VULN|1DMG|1ASPD	1ERES|2DUST|3VULN|4ASPD|5LIT|6AART|7FEWX|8aRCR|9DMG
48	21433 62123	   	258.05	DCR|DCR|1VULN|1DMG|1ASPD	1ERES|2DUST|3VULN|4ASPD|5LIT|6LHND|7AART|8aRCR|9DMG
49	23423 22123	   	258.05	DCR|DCR|1VULN|1DMG|1ASPD	1ERES|2BEXP|3VULN|4ASPD|5LIT|6AART|7LWND|8aRCR|9DMG
50	23423 25123	   	258.05	DCR|DCR|1VULN|1DMG|1ASPD	1ERES|2BEXP|3VULN|4ASPD|5LIT|6AART|7FEWX|8aRCR|9DMG
51	23423 62123	   	258.05	DCR|DCR|1VULN|1DMG|1ASPD	1ERES|2BEXP|3VULN|4ASPD|5LIT|6LHND|7AART|8aRCR|9DMG
52	26433 52123	   	258.05	DCR|DCR|1VULN|1DMG|1ASPD	1ERES|2FEWX|3VULN|4ASPD|5LIT|6LEGI|7AART|8aRCR|9DMG
53	21433 52123	   	257.95	DCR|DCR|1VULN|1DMG|1ASPD	1ERES|2DUST|3VULN|4ASPD|5LIT|6LEGI|7AART|8aRCR|9DMG
54	23423 52123	   	257.95	DCR|DCR|1VULN|1DMG|1ASPD	1ERES|2BEXP|3VULN|4ASPD|5LIT|6LEGI|7AART|8aRCR|9DMG
55	36112 52631	   	257.36	DCR|DCR|1VULN|1MLV	1MDPS|29LWND|3VULN|4CGEN|5AART|68RCR|7MLV|aRAT
56	22633 41132	   	256.82	ACR|DCR|3VULN|1TLV	1ERES|2aRCR|3CGEN|459VULN|6TLV|7BEXP|8AME
57	22633 41432	   	256.82	ACR|DCR|3VULN|1TLV	1ERES|2aRCR|3CGEN|458VULN|6TLV|7BEXP|9RMIN
58	33155 13321	 * 	256.22	DCR|3VULN|2DMG|1MLV|1ASPD	1MDPS|2DUST|367VULN|4MLV|5aDMG|8RCR|9ASPD
59	31152 13321	   	255.63	DCR|3VULN|1MLV|1DMG|1AAC|1ASPD	1MDPS|2FEWX|367VULN|4MLV|5AAC|8RCR|9ASPD|aDMG
60	12625 23282	   	255.57	DCR|DCR|1VULN|1MLV|2RAT	1AEBURN|2DMSP|3LHND|4VULN|59RAT|6MLV|7MBVNT|8aRCR
61	33152 13321	   	255.53	DCR|3VULN|1MLV|1DMG|1AAC|1ASPD	1MDPS|2DUST|367VULN|4MLV|5AAC|8RCR|9ASPD|aDMG
