0	Index      	 *	Score 	Summary	Detail	
1	42321 52161	 * 	284.69	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1DUST|2LIT|3VULN|4ZMB|5MDPS|6ASPD|7TLV|8aRCR|9DMG
14	13111 56336	   	273.03	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1ZMB|2AAC|3ERES|4VULN|5MDPS|6CDMG|7RPLT|8aRCR|9MLV
15	21221 32652	   	269.94	DCR|DCR|1VULN|1ASPD|1CDMG	1BBNT|2DUR|3FEWX|4ASPD|5AART|6RAT|7aRCR|8VULN|9CDMG
16	31221 32652	   	269.94	DCR|DCR|1VULN|1ASPD|1CDMG	1TBNT|2DUR|3FEWX|4ASPD|5AART|6RAT|7aRCR|8VULN|9CDMG
17	13431 11161	 * 	268.78	DCR|DCR|2MLV|1DMG|1AAC	1ZMB|2AAC|3LIT|47MLV|5LEGI|6BBNT|8aRCR|9DMG
18	21552 13423	   	268.11	DCR|DCR|2VULN	1BBNT|2DUR|3LIT|4AART|5TBNT|69RCR|7RAT|8aVULN
19	31552 13423	   	268.11	DCR|DCR|2VULN	1TBNT|2DUR|3LIT|4AART|5BBNT|69RCR|7RAT|8aVULN
20	13422 35531	   	265.27	DCR|DCR|1VULN|1TLV|1AAC|1NUKE	1ZMB|2AAC|3LIT|4LWND|5MDPS|6TLV|7NUKE|8VULN|9aRCR
21	11611 25531	   	265.17	DCR|DCR|1VULN|1TLV|1AAC|1NUKE	1ZMB|2BEXP|3TLV|4AAC|5MDPS|6LIT|7NUKE|8VULN|9aRCR
22	22343 31256	 * 	264.33	DCR|DCR|2VULN|1DMG|1NUKE	1BBNT|2DMG|3RCVC|46VULN|5BLAICY|7aRCR|8MDPS|9NUKE
23	32343 31256	   	264.33	DCR|DCR|2VULN|1DMG|1NUKE	1TBNT|2DMG|3RCVC|46VULN|5BLAICY|7aRCR|8MDPS|9NUKE
24	13436 11422	 * 	263.66	DCR|DCR|1TLV|1MLV|1AAC	1ZMB|2AAC|3LIT|4MLV|5CGEN|69RCR|7RAT|8TLV|aTBNT
25	13436 11423	   	263.66	DCR|DCR|1TLV|1MLV|1AAC	1ZMB|2AAC|3LIT|4MLV|5CGEN|69RCR|7RAT|8TLV|aLWND
26	13434 11422	   	263.56	DCR|DCR|1TLV|1MLV|1AAC	1ZMB|2AAC|3LIT|4MLV|5ERES|69RCR|7RAT|8TLV|aTBNT
27	13434 11423	   	263.56	DCR|DCR|1TLV|1MLV|1AAC	1ZMB|2AAC|3LIT|4MLV|5ERES|69RCR|7RAT|8TLV|aLWND
28	13436 11421	   	263.56	DCR|DCR|1TLV|1MLV|1AAC	1ZMB|2AAC|3LIT|4MLV|5CGEN|69RCR|7RAT|8TLV|aCANSTR
29	13434 11421	   	263.46	DCR|DCR|1TLV|1MLV|1AAC	1ZMB|2AAC|3LIT|4MLV|5ERES|69RCR|7RAT|8TLV|aCANSTR
30	23343 63312	   	262.13	DCR|DCR|1VULN|1TLV|1CDMG	1BBNT|2TBNT|3FEWX|4TLV|5BLAICY|6CDMG|7VULN|8LWND|9aRCR
31	23343 63412	   	262.13	DCR|DCR|1VULN|1TLV|1CDMG	1BBNT|2TBNT|3FEWX|4TLV|5BLAICY|6CDMG|7VULN|8LHND|9aRCR
32	23344 34312	   	262.13	DCR|DCR|1VULN|1TLV|1CDMG	1BBNT|2TBNT|3FEWX|4TLV|5VULN|6BASHEA|7CDMG|8LWND|9aRCR
33	33343 63312	   	262.13	DCR|DCR|1VULN|1TLV|1CDMG	1TBNT|2BBNT|3FEWX|4TLV|5BLAICY|6CDMG|7VULN|8LWND|9aRCR
34	33343 63412	   	262.13	DCR|DCR|1VULN|1TLV|1CDMG	1TBNT|2BBNT|3FEWX|4TLV|5BLAICY|6CDMG|7VULN|8LHND|9aRCR
35	33344 34312	   	262.13	DCR|DCR|1VULN|1TLV|1CDMG	1TBNT|2BBNT|3FEWX|4TLV|5VULN|6BASHEA|7CDMG|8LWND|9aRCR
36	13541 31161	   	261.65	DCR|DCR|1VULN|1DMG|1AAC	1ZMB|2AAC|3MDPS|4AME|5VULN|6DUR|7LIT|8aRCR|9DMG
37	13111 31161	   	261.55	DCR|DCR|1VULN|1DMG|1AAC	1ZMB|2AAC|3ERES|4VULN|5MDPS|6DUR|7LIT|8aRCR|9DMG
38	14156 12131	   	261.55	DCR|DCR|1VULN|1DMG|1AAC	1ZMB|2VULN|3DUR|4DMG|5AAC|6ERES|7LIT|8MDPS|9aRCR
39	13451 51311	   	261.45	DCR|DCR|2VULN|1AAC	1ZMB|2AAC|3LIT|4BBNT|5FRZICY|6aRCR|79VULN|8RCVC
40	42362 36221	   	261.45	DCR|DCR|1VULN|1DMG|1AAC	1DUST|2LIT|3VULN|4MSLREG|5DMG|6DUR|7AAC|8aRCR|9LEGI
41	42362 36231	   	261.45	DCR|DCR|1VULN|1DMG|1AAC	1DUST|2LIT|3VULN|4MSLREG|5DMG|6DUR|7AAC|8aRCR|9BEXP
42	22141 45212	 * 	260.94	DCR|DCR|3DMG|1MLV	1BBNT|26aDMG|3LIT|4MLV|5VENFST|78RCR|9FEWX
43	32141 45212	   	260.94	DCR|DCR|3DMG|1MLV	1TBNT|26aDMG|3LIT|4MLV|5VENFST|78RCR|9FEWX
44	22141 45232	   	260.84	DCR|DCR|3DMG|1MLV	1BBNT|26aDMG|3LIT|4MLV|5VENFST|78RCR|9BEXP
45	32141 45232	   	260.84	DCR|DCR|3DMG|1MLV	1TBNT|26aDMG|3LIT|4MLV|5VENFST|78RCR|9BEXP
46	42362 33411	   	260.80	DCR|DCR|1VULN|1DMG|1ASPD	1DUST|2LIT|3VULN|4MSLREG|5DMG|6DUR|7aRCR|8BEXP|9ASPD
47	42252 13423	   	259.71	DCR|DCR|2VULN	1DUST|2LIT|3BBNT|4AART|5TBNT|69RCR|7RAT|8aVULN
48	22141 45213	   	258.94	DCR|DCR|2DMG|1MLV|1CDMG	1BBNT|26DMG|3LIT|4MLV|5VENFST|78RCR|9FEWX|aCDMG
49	32141 45213	   	258.94	DCR|DCR|2DMG|1MLV|1CDMG	1TBNT|26DMG|3LIT|4MLV|5VENFST|78RCR|9FEWX|aCDMG
50	22141 45233	   	258.84	DCR|DCR|2DMG|1MLV|1CDMG	1BBNT|26DMG|3LIT|4MLV|5VENFST|78RCR|9BEXP|aCDMG
51	32141 45233	   	258.84	DCR|DCR|2DMG|1MLV|1CDMG	1TBNT|26DMG|3LIT|4MLV|5VENFST|78RCR|9BEXP|aCDMG
52	14253 82343	 * 	257.55	DCR|5VULN|1MLV|2RAT	1ZMB|2567aVULN|36RAT|4MBVNT|6BPWR|8RCR|9MLV
53	22632 62326	   	257.50	DCR|DCR|1MLV|1DMG|1ASPD|1CDMG	1BBNT|2DMG|3ASPD|4MLV|5RPLT|6aRCR|79ERES|8CDMG
54	32632 62326	   	257.50	DCR|DCR|1MLV|1DMG|1ASPD|1CDMG	1TBNT|2DMG|3ASPD|4MLV|5RPLT|6aRCR|79ERES|8CDMG
55	14165 31331	   	256.78	DCR|DCR|1VULN|1TLV	1ZMB|2VULN|3DUR|4MBVNT|5LIT|6FEWX|7TLV|8LWND|9aRCR
56	16261 81331	   	256.78	DCR|DCR|1VULN|1TLV	1ZMB|2DUR|3LWND|4MBVNT|5VULN|6LIT|7TLV|8LHND|9aRCR
57	16265 31331	   	256.78	DCR|DCR|1VULN|1TLV	1ZMB|2DUR|3LWND|4MBVNT|5LIT|6VULN|7TLV|8LHND|9aRCR
58	11161 21331	   	256.68	DCR|DCR|1VULN|1TLV	1ZMB|2BEXP|3DUR|4MBVNT|5VULN|6LIT|7TLV|8LWND|9aRCR
59	11165 31331	   	256.68	DCR|DCR|1VULN|1TLV	1ZMB|2BEXP|3DUR|4MBVNT|5LIT|6VULN|7TLV|8LWND|9aRCR
60	14166 21331	   	256.68	DCR|DCR|1VULN|1TLV	1ZMB|2VULN|3DUR|4MBVNT|5BEXP|6LIT|7TLV|8LWND|9aRCR
61	44231 13222	 * 	256.21	DCR|2MLV|2TLV|1VULN|1ASPD|2DUR	17DUST|27DUR|3BELT|48MLV|5VULN|67TLV|7BPWR|9RCR|aASPD
62	14253 82344	   	256.14	DCR|4VULN|1MLV|1ASPD|2RAT	1ZMB|2567VULN|36RAT|4MBVNT|6BPWR|8RCR|9MLV|aASPD
63	42331 15531	   	256.04	DCR|DCR|1VULN|1MLV|1CDMG	14DUST|2LIT|3VULN|5RPLT|6MLV|7MDPS|8CDMG|9aRCR
64	14251 44533	   	255.32	DCR|DCR|1VULN|1TLV	1ZMB|2VULN|3RAT|4MBVNT|5TBNT|6ERES|79RCR|8TLV|aBBNT
65	14251 44531	   	255.22	DCR|DCR|1VULN|1TLV	1ZMB|2VULN|3RAT|4MBVNT|5TBNT|6ERES|79RCR|8TLV|aSPLREG
66	14251 44532	   	255.22	DCR|DCR|1VULN|1TLV	1ZMB|2VULN|3RAT|4MBVNT|5TBNT|6aERES|79RCR|8TLV
67	14251 44534	   	255.22	DCR|DCR|1VULN|1TLV	1ZMB|2VULN|3RAT|4MBVNT|5TBNT|6ERES|79RCR|8TLV|aBASICY
68	13332 63154	 * 	255.05	DCR|2VULN|2TLV|2AAC|1DMG	19ZMB|26AAC|39VULN|45RMIN|79TLV|8RCR|9BPWR|aDMG
69	22315 32443	 * 	254.80	DCR|DCR|2TLV|1DMG	1BBNT|2DMG|3RCVC|4CGEN|5RAT|68TLV|7aRCR|9LHND
70	32315 32443	   	254.80	DCR|DCR|2TLV|1DMG	1TBNT|2DMG|3RCVC|4CGEN|5RAT|68TLV|7aRCR|9LHND
71	22315 32433	   	254.70	DCR|DCR|2TLV|1DMG	1BBNT|2DMG|3RCVC|4CGEN|5RAT|68TLV|7aRCR|9DUST
72	32315 32433	   	254.70	DCR|DCR|2TLV|1DMG	1TBNT|2DMG|3RCVC|4CGEN|5RAT|68TLV|7aRCR|9DUST
