0	Index      	 *	Score 	Summary	Detail	
1	15111 53343	 * 	234.65	紫3攻速2基础对冰2基地爆炸1伤害1技能	1双倍秒伤2核38基础对冰4双倍矿58a攻速6技能78基地爆炸8序列升级9伤害
31	15111 53322	   	212.48	紫2攻速2基础对冰2基地爆炸1全技能1技能	1双倍秒伤2核38基础对冰4双倍矿58攻速6技能78基地爆炸8序列升级9导弹对黄a全技能
32	15112 33266	   	211.78	紫2基地爆炸1基础对冰1伤害1攻速1全技能1暴击	1双倍秒伤2核3基础对冰4双倍矿58基地爆炸6伤害7暴击9全技能a攻速
33	15112 33142	   	211.57	紫1基础对甲1基础对冰1伤害1基地爆炸1暴击	1双倍秒伤2核3基础对冰4双倍矿5基地爆炸6伤害7暴击8立即金币9等级a基础对甲
34	15112 33622	   	211.57	紫1基础对甲1基础对冰1伤害1基地爆炸1暴击	1双倍秒伤2核3基础对冰4双倍矿5基地爆炸6伤害7暴击8等级9立即金币a基础对甲
35	15125 52211	   	211.37	紫1基础对甲1基础对冰1伤害1攻速	1双倍秒伤2核3基础对冰4时间5攻速6伤害7易伤8双倍矿9基础对甲a平台
36	15125 52213	   	211.37	紫1基础对甲1基础对冰1伤害1攻速	1双倍秒伤2核3基础对冰4时间5攻速6伤害7易伤8双倍矿9基础对甲a矿等
37	15126 36121	 * 	211.31	紫3伤害2基础对冰2暴击1全技能	19双倍秒伤2核3a基础对冰4时间58a伤害6全技能7a暴击a序列升级
38	15126 52313	 * 	211.31	紫3伤害2基础对冰1攻速1全技能	1双倍秒伤2核38基础对冰4时间568伤害78掉矿8序列升级9全技能a攻速
39	15135 13622	   	210.35	紫2攻速2基础对冰2基地爆炸1伤害1卖塔	1双倍秒伤2核39基础对冰4卖塔59基地爆炸6挖尘7矿等89攻速9序列升级a伤害
40	15135 22622	   	210.35	紫2攻速2基础对冰2基地爆炸1伤害1卖塔	1双倍秒伤2核39基础对冰4卖塔59基地爆炸6时间7技能点89攻速9序列升级a伤害
41	15122 32352	 * 	210.14	紫1基础对甲2伤害2基础对冰1卖塔	1双倍秒伤2核38基础对冰45时间68伤害78掉矿8序列升级9卖塔a基础对甲
42	15111 53321	 * 	210.10	紫3基地爆炸2攻速2基础对冰1技能	1双倍秒伤2核38基础对冰4双倍矿58攻速6技能78a基地爆炸8序列升级9导弹对黄
43	15163 35212	   	209.92	紫1基础对甲2伤害1基础对冰1技能1卖塔	1双倍秒伤2核3基础对冰4矿等5核弹67伤害8卖塔9技能a基础对甲
44	15112 33161	   	209.40	紫2伤害2基础对冰2暴击1全技能1基地爆炸	1双倍秒伤2核3a基础对冰4双倍矿5基地爆炸6a伤害7a暴击8立即金币9全技能a序列升级
45	15111 45313	 * 	208.10	紫2伤害2攻速2基础对冰1技能	1双倍秒伤2核38基础对冰4双倍矿5a攻速68低血量敌人78伤害8序列升级9技能
46	15112 33256	 * 	206.92	紫3基地爆炸2伤害1基础对冰1暴击	1双倍秒伤2核3基础对冰4双倍矿589基地爆炸6a伤害7暴击
47	15111 53311	   	206.78	紫2攻速2基础对冰2基地爆炸2技能	1双倍秒伤2核38基础对冰4双倍矿58攻速69技能78基地爆炸8序列升级a时间
48	15111 53314	   	206.68	紫2攻速2基础对冰2基地爆炸2技能	1双倍秒伤2核38基础对冰4双倍矿58攻速69技能78基地爆炸8序列升级a掉矿
49	15111 53315	   	206.68	紫2攻速2基础对冰2基地爆炸2技能	1双倍秒伤2核38基础对冰4双倍矿58攻速69技能78基地爆炸8序列升级a挖尘
50	15112 53232	   	206.44	紫1基础对甲2基地爆炸1基础对冰1暴击	1双倍秒伤2核3基础对冰4双倍矿58基地爆炸6策反7暴击9矿等a基础对甲
51	15112 53242	   	206.34	紫1基础对甲2基地爆炸1基础对冰1暴击	1双倍秒伤2核3基础对冰4双倍矿58基地爆炸6策反7暴击9等级a基础对甲
52	15112 63222	   	206.34	紫1基础对甲2基地爆炸1基础对冰1暴击	1双倍秒伤2核3基础对冰4双倍矿58基地爆炸6掉矿7暴击9策反a基础对甲
53	15221 21516	   	206.33	紫1基础对甲1伤害1攻速1全技能1技能	1双倍秒伤2核3敌人爆炸4时间5全技能6金币生成7伤害8攻速9技能a基础对甲
54	15125 11262	   	206.23	紫1基础对甲1基础对冰1攻速1暴击1技能	1双倍秒伤2核3基础对冰4时间5攻速6掉矿7暴击8敌人爆炸9技能a基础对甲
55	15125 11342	   	206.23	紫1基础对甲1基础对冰1攻速1暴击1技能	1双倍秒伤2核3基础对冰4时间5攻速6掉矿7暴击8技能9低血量敌人a基础对甲
56	15125 13632	   	206.23	紫1基础对甲1基础对冰1攻速1基地爆炸1技能	1双倍秒伤2核3基础对冰4时间5攻速6掉矿7金币生成8基地爆炸9技能a基础对甲
57	15126 11262	   	206.23	紫1基础对甲1基础对冰1伤害1暴击1技能	1双倍秒伤2核3基础对冰4时间5伤害6掉矿7暴击8敌人爆炸9技能a基础对甲
58	15126 11342	   	206.23	紫1基础对甲1基础对冰1伤害1暴击1技能	1双倍秒伤2核3基础对冰4时间5伤害6掉矿7暴击8技能9低血量敌人a基础对甲
59	15126 13632	   	206.23	紫1基础对甲1基础对冰1伤害1基地爆炸1技能	1双倍秒伤2核3基础对冰4时间5伤害6掉矿7金币生成8基地爆炸9技能a基础对甲
60	15221 11516	   	206.23	紫1基础对甲1伤害1攻速1全技能1技能	1双倍秒伤2核3敌人爆炸4时间5全技能6技能点7伤害8攻速9技能a基础对甲
61	15321 21516	   	206.23	紫1基础对甲1伤害1攻速1全技能1技能	1双倍秒伤2核3挖尘4时间5全技能6金币生成7伤害8攻速9技能a基础对甲
62	15321 11516	   	206.13	紫1基础对甲1伤害1攻速1全技能1技能	1双倍秒伤2核3挖尘4时间5全技能6技能点7伤害8攻速9技能a基础对甲
63	12234 23122	   	205.61	紫1基础对甲2攻速2暴击1全技能	1双倍秒伤29矿等3全技能4核5掉矿69暴击7立即金币89攻速9序列升级a基础对甲
64	12234 23422	   	205.61	紫1基础对甲2伤害2暴击1全技能	1双倍秒伤29矿等3全技能4核5掉矿69暴击7立即金币89伤害9序列升级a基础对甲
65	12234 51122	   	205.61	紫1基础对甲2攻速2暴击1全技能	1双倍秒伤29矿等3全技能4核5掉矿6立即金币79暴击89攻速9序列升级a基础对甲
66	12234 51422	   	205.61	紫1基础对甲2伤害2暴击1全技能	1双倍秒伤29矿等3全技能4核5掉矿6立即金币79暴击89伤害9序列升级a基础对甲
67	15221 21214	   	205.26	紫1基础对甲1伤害1全技能1基地爆炸1暴击	1双倍秒伤2核3敌人爆炸4时间5全技能6金币生成7伤害8暴击9基地爆炸a基础对甲
68	15231 21224	   	205.26	紫1基础对甲1伤害1全技能1基地爆炸1暴击	1双倍秒伤2核3敌人爆炸4基地爆炸5全技能6金币生成7伤害8暴击9时间a基础对甲
69	15231 21244	   	205.26	紫1基础对甲1伤害1全技能1基地爆炸1暴击	1双倍秒伤2核3敌人爆炸4基地爆炸5全技能6金币生成7伤害8暴击9低血量敌人a基础对甲
70	15231 21254	   	205.26	紫1基础对甲1伤害1全技能1基地爆炸1暴击	1双倍秒伤2核3敌人爆炸4基地爆炸5全技能6金币生成7伤害8暴击9最后敌人a基础对甲
71	15331 21224	   	205.16	紫1基础对甲1伤害1全技能1基地爆炸1暴击	1双倍秒伤2核3挖尘4基地爆炸5全技能6金币生成7伤害8暴击9时间a基础对甲
72	15331 21244	   	205.16	紫1基础对甲1伤害1全技能1基地爆炸1暴击	1双倍秒伤2核3挖尘4基地爆炸5全技能6金币生成7伤害8暴击9低血量敌人a基础对甲
73	15331 21254	   	205.16	紫1基础对甲1伤害1全技能1基地爆炸1暴击	1双倍秒伤2核3挖尘4基地爆炸5全技能6金币生成7伤害8暴击9最后敌人a基础对甲
74	15221 11214	   	205.16	紫1基础对甲1伤害1全技能1基地爆炸1暴击	1双倍秒伤2核3敌人爆炸4时间5全技能6技能点7伤害8暴击9基地爆炸a基础对甲
75	15231 11224	   	205.16	紫1基础对甲1伤害1全技能1基地爆炸1暴击	1双倍秒伤2核3敌人爆炸4基地爆炸5全技能6技能点7伤害8暴击9时间a基础对甲
76	15231 11244	   	205.16	紫1基础对甲1伤害1全技能1基地爆炸1暴击	1双倍秒伤2核3敌人爆炸4基地爆炸5全技能6技能点7伤害8暴击9低血量敌人a基础对甲
77	15231 11254	   	205.16	紫1基础对甲1伤害1全技能1基地爆炸1暴击	1双倍秒伤2核3敌人爆炸4基地爆炸5全技能6技能点7伤害8暴击9最后敌人a基础对甲
78	15231 21234	   	205.16	紫1基础对甲1伤害1全技能1基地爆炸1暴击	1双倍秒伤2核3敌人爆炸4基地爆炸5全技能6金币生成7伤害8暴击9挖尘a基础对甲
79	15251 21214	   	205.16	紫1基础对甲1伤害1全技能1基地爆炸1暴击	1双倍秒伤2核3敌人爆炸4挖尘5全技能6金币生成7伤害8暴击9基地爆炸a基础对甲
80	15321 21214	   	205.16	紫1基础对甲1伤害1全技能1基地爆炸1暴击	1双倍秒伤2核3挖尘4时间5全技能6金币生成7伤害8暴击9基地爆炸a基础对甲
81	15331 11224	   	205.06	紫1基础对甲1伤害1全技能1基地爆炸1暴击	1双倍秒伤2核3挖尘4基地爆炸5全技能6技能点7伤害8暴击9时间a基础对甲
82	15331 11244	   	205.06	紫1基础对甲1伤害1全技能1基地爆炸1暴击	1双倍秒伤2核3挖尘4基地爆炸5全技能6技能点7伤害8暴击9低血量敌人a基础对甲
83	15331 11254	   	205.06	紫1基础对甲1伤害1全技能1基地爆炸1暴击	1双倍秒伤2核3挖尘4基地爆炸5全技能6技能点7伤害8暴击9最后敌人a基础对甲
84	15231 11234	   	205.06	紫1基础对甲1伤害1全技能1基地爆炸1暴击	1双倍秒伤2核3敌人爆炸4基地爆炸5全技能6技能点7伤害8暴击9挖尘a基础对甲
85	15251 11214	   	205.06	紫1基础对甲1伤害1全技能1基地爆炸1暴击	1双倍秒伤2核3敌人爆炸4挖尘5全技能6技能点7伤害8暴击9基地爆炸a基础对甲
86	15321 11214	   	205.06	紫1基础对甲1伤害1全技能1基地爆炸1暴击	1双倍秒伤2核3挖尘4时间5全技能6技能点7伤害8暴击9基地爆炸a基础对甲
87	12116 51162	   	204.98	紫1基础对甲1基础对冰1伤害1基地爆炸1暴击1技能	1双倍秒伤2矿等3基础对冰4敌人爆炸5核6伤害7暴击8基地爆炸9技能a基础对甲
88	14222 13116	   	204.89	紫1基础对甲2基地爆炸1伤害1全技能1暴击	1双倍秒伤23基地爆炸4全技能5核6技能点7等级8基础对甲9暴击a伤害
89	12126 51162	   	204.88	紫1基础对甲1基础对冰1伤害1基地爆炸1暴击1技能	1双倍秒伤2矿等3基础对冰4挖尘5核6伤害7暴击8基地爆炸9技能a基础对甲
90	15112 34511	   	204.86	紫1基础对甲1基础对冰1伤害1基地爆炸	1双倍秒伤2核3基础对冰4双倍矿5基地爆炸6伤害7易伤8核弹9基础对甲a平台
91	15112 34513	   	204.86	紫1基础对甲1基础对冰1伤害1基地爆炸	1双倍秒伤2核3基础对冰4双倍矿5基地爆炸6伤害7易伤8核弹9基础对甲a矿等
92	15112 35143	   	204.72	紫2伤害2攻速1基础对冰1基地爆炸	1双倍秒伤2核3基础对冰4双倍矿5基地爆炸67伤害8掉矿9a攻速
