0	Index      	 *	Score 	Summary	Detail	
1	22612 36512	 * 	270.42	橙橙1易伤1喷火对甲2雷电1伤害	1策反2易伤3金币生成4最后敌人5a雷电6喷火对甲78核9伤害
47	35332 13143	   	244.64	橙橙2易伤1矿等	15最后敌人24易伤3额外掉落69核7加一8矿等a基地爆炸
48	35332 13144	   	244.64	橙橙2易伤1矿等	15最后敌人24易伤3额外掉落69核7加一8矿等a金币生成
49	21326 22542	 * 	244.56	紫橙3易伤1暴击1攻速	1策反2烈焰减费39核47a易伤5暴击6基地爆炸8攻速
50	35331 13647	   	244.54	橙橙2易伤1矿等	1最后敌人24易伤3额外掉落5烈焰减费69核7加一8随机矿a矿等
51	35333 13647	   	244.54	橙橙2易伤1矿等	1最后敌人24易伤3额外掉落5火球减费69核7加一8随机矿a矿等
52	35331 13143	   	244.54	橙橙2易伤1矿等	1最后敌人24易伤3额外掉落5烈焰减费69核7加一8矿等a基地爆炸
53	35331 13144	   	244.54	橙橙2易伤1矿等	1最后敌人24易伤3额外掉落5烈焰减费69核7加一8矿等a金币生成
54	35332 13141	   	244.54	橙橙2易伤1矿等	15最后敌人24易伤3额外掉落69核7加一8矿等a双倍秒伤
55	35332 13147	   	244.54	橙橙2易伤1矿等	15最后敌人24易伤3额外掉落69核7加一8矿等a基础对冰
56	35332 13148	   	244.54	橙橙2易伤1矿等	15最后敌人24易伤3额外掉落69核7加一8矿等a防空对甲
57	35333 13143	   	244.54	橙橙2易伤1矿等	1最后敌人24易伤3额外掉落5火球减费69核7加一8矿等a基地爆炸
58	35333 13144	   	244.54	橙橙2易伤1矿等	1最后敌人24易伤3额外掉落5火球减费69核7加一8矿等a金币生成
59	35336 13143	   	244.54	橙橙2易伤1矿等	1最后敌人24易伤3额外掉落5暴雪减费69核7加一8矿等a基地爆炸
60	35336 13144	   	244.54	橙橙2易伤1矿等	1最后敌人24易伤3额外掉落5暴雪减费69核7加一8矿等a金币生成
61	35331 13141	   	244.44	橙橙2易伤1矿等	1最后敌人24易伤3额外掉落5烈焰减费69核7加一8矿等a双倍秒伤
62	35331 13147	   	244.44	橙橙2易伤1矿等	1最后敌人24易伤3额外掉落5烈焰减费69核7加一8矿等a基础对冰
63	35331 13148	   	244.44	橙橙2易伤1矿等	1最后敌人24易伤3额外掉落5烈焰减费69核7加一8矿等a防空对甲
64	35333 13141	   	244.44	橙橙2易伤1矿等	1最后敌人24易伤3额外掉落5火球减费69核7加一8矿等a双倍秒伤
65	35333 13147	   	244.44	橙橙2易伤1矿等	1最后敌人24易伤3额外掉落5火球减费69核7加一8矿等a基础对冰
66	35333 13148	   	244.44	橙橙2易伤1矿等	1最后敌人24易伤3额外掉落5火球减费69核7加一8矿等a防空对甲
67	35336 13141	   	244.44	橙橙2易伤1矿等	1最后敌人24易伤3额外掉落5暴雪减费69核7加一8矿等a双倍秒伤
68	35336 13147	   	244.44	橙橙2易伤1矿等	1最后敌人24易伤3额外掉落5暴雪减费69核7加一8矿等a基础对冰
69	35336 13148	   	244.44	橙橙2易伤1矿等	1最后敌人24易伤3额外掉落5暴雪减费69核7加一8矿等a防空对甲
70	21334 32263	   	243.01	紫橙2易伤1全技能1暴击1攻速	1策反2烈焰减费39核4攻速5时间6暴击7全技能8a易伤
71	24334 32263	   	243.01	紫橙2易伤1全技能1暴击1攻速	1策反2风暴减费39核4攻速5时间6暴击7全技能8a易伤
72	35332 13342	   	242.69	橙橙2易伤1攻速	15最后敌人24易伤3额外掉落69核7加一8金币生成a攻速
73	35332 13347	   	242.69	橙橙2易伤1全技能	15最后敌人24易伤3额外掉落69核7加一8金币生成a全技能
74	35332 13642	   	242.69	橙橙2易伤1攻速	15最后敌人24易伤3额外掉落69核7加一8随机矿a攻速
75	35362 13442	   	242.69	橙橙1易伤1等级1攻速	15最后敌人2易伤3额外掉落4双倍矿69核7加一8等级a攻速
76	35331 13342	   	242.59	橙橙2易伤1攻速	1最后敌人24易伤3额外掉落5烈焰减费69核7加一8金币生成a攻速
77	35331 13347	   	242.59	橙橙2易伤1全技能	1最后敌人24易伤3额外掉落5烈焰减费69核7加一8金币生成a全技能
78	35331 13642	   	242.59	橙橙2易伤1攻速	1最后敌人24易伤3额外掉落5烈焰减费69核7加一8随机矿a攻速
79	35333 13342	   	242.59	橙橙2易伤1攻速	1最后敌人24易伤3额外掉落5火球减费69核7加一8金币生成a攻速
80	35333 13347	   	242.59	橙橙2易伤1全技能	1最后敌人24易伤3额外掉落5火球减费69核7加一8金币生成a全技能
81	35333 13642	   	242.59	橙橙2易伤1攻速	1最后敌人24易伤3额外掉落5火球减费69核7加一8随机矿a攻速
82	35336 13342	   	242.59	橙橙2易伤1攻速	1最后敌人24易伤3额外掉落5暴雪减费69核7加一8金币生成a攻速
83	35336 13347	   	242.59	橙橙2易伤1全技能	1最后敌人24易伤3额外掉落5暴雪减费69核7加一8金币生成a全技能
84	35336 13642	   	242.59	橙橙2易伤1攻速	1最后敌人24易伤3额外掉落5暴雪减费69核7加一8随机矿a攻速
85	35361 13442	   	242.59	橙橙1易伤1等级1攻速	1最后敌人2易伤3额外掉落4双倍矿5烈焰减费69核7加一8等级a攻速
86	35363 13442	   	242.59	橙橙1易伤1等级1攻速	1最后敌人2易伤3额外掉落4双倍矿5火球减费69核7加一8等级a攻速
87	35366 13442	   	242.59	橙橙1易伤1等级1攻速	1最后敌人2易伤3额外掉落4双倍矿5暴雪减费69核7加一8等级a攻速
88	22431 12442	 * 	241.56	橙3易伤1等级1伤害1矿等1攻速	1策反29a易伤3赏金塔4矿等5伤害6核7等级8攻速
