0	Index      	 *	Score 	Summary	Detail	
1	13111 65153	 * 	297.44	DCR|DCR|2TLV|1VULN|2DUR	16DUR|2LWND|3AAC|4RAT|56TLV|6BPWR|7aRCR|8CGEN|9VULN
25	41156 32311	 * 	275.17	ACR|DCR|1TLV|1DMG|1AEBURN|1ASPD|1CDMG	1BEXP|2FEWX|3AAC|48RCR|5DMG|6ASPD|7AEBURN|9CDMG|aTLV
26	41156 33311	 * 	275.17	ACR|DCR|1TLV|1DMG|1AEPOI|1ASPD|1CDMG	1BEXP|2FEWX|3AAC|48RCR|5DMG|6ASPD|7AEPOI|9CDMG|aTLV
27	22631 15232	   	275.15	ACR|DCR|2VULN|1TLV	1DUST|2RMIN|3RPLT|49RCR|56VULN|7TLV|8BEXP|aLSRHEA
28	22631 15233	   	275.15	ACR|DCR|2VULN|1TLV	1aDUST|2RMIN|3RPLT|49RCR|56VULN|7TLV|8BEXP
29	22631 15236	   	275.15	ACR|DCR|2VULN|1TLV	1DUST|2RMIN|3RPLT|49RCR|56VULN|7TLV|8BEXP|aLEGI
30	22631 15432	   	275.15	ACR|DCR|2VULN|1TLV	1DUST|2RMIN|3RPLT|49RCR|56VULN|7TLV|8FEWX|aLSRHEA
31	22631 15433	   	275.15	ACR|DCR|2VULN|1TLV	1aDUST|2RMIN|3RPLT|49RCR|56VULN|7TLV|8FEWX
32	22631 15532	   	275.15	ACR|DCR|2VULN|1TLV	1DUST|2RMIN|3RPLT|49RCR|56VULN|7TLV|8LHND|aLSRHEA
33	22631 15533	   	275.15	ACR|DCR|2VULN|1TLV	1aDUST|2RMIN|3RPLT|49RCR|56VULN|7TLV|8LHND
34	22631 34532	   	275.15	ACR|DCR|2VULN|1TLV	1DUST|2RMIN|3RPLT|49RCR|57VULN|6BEXP|8TLV|aLSRHEA
35	22631 34533	   	275.15	ACR|DCR|2VULN|1TLV	1aDUST|2RMIN|3RPLT|49RCR|57VULN|6BEXP|8TLV
36	12631 36532	   	275.11	ACR|DCR|1TLV|1VULN|1AEFBLL	1DUR|2RMIN|3RPLT|49RCR|5VULN|6BEXP|7AEFBLL|8TLV|aLSRHEA
37	12631 36533	   	275.11	ACR|DCR|1TLV|1VULN|1AEFBLL	1DUR|2RMIN|3RPLT|49RCR|5VULN|6BEXP|7AEFBLL|8TLV|aDUST
38	12635 12531	 * 	275.11	ACR|DCR|1TLV|1VULN|1AEBURN	1DUR|2RMIN|3RPLT|49RCR|5DUST|6VULN|7AEBURN|8TLV|aLWND
39	12631 15632	   	275.02	ACR|3VULN|2TLV|1AART	1DUR|2RMIN|3RPLT|4RCR|568VULN|79TLV|aAART
40	12635 12532	   	275.01	ACR|DCR|1TLV|1VULN|1AEBURN	1DUR|2RMIN|3RPLT|49RCR|5DUST|6VULN|7AEBURN|8TLV|aLSRHEA
41	12635 12533	   	275.01	ACR|DCR|1TLV|1VULN|1AEBURN	1DUR|2RMIN|3RPLT|49RCR|5aDUST|6VULN|7AEBURN|8TLV
42	12631 34336	   	273.16	ACR|3VULN|2TLV|2DUR	1aDUR|2RMIN|3RPLT|4RCR|57aVULN|6BEXP|8SPLREG|9aTLV|aBPWR
43	36111 13632	 * 	273.11	DCR|DCR|2VULN|2ASPD|2AEFBLL|2ZMB|1SELL	1aZMB|24AEFBLL|3aASPD|5SELL|69RCR|7MDPS|8aVULN|aBPWR
44	36111 16632	 * 	273.11	DCR|DCR|2VULN|2ASPD|2AEFBLL|2ZMB|1SELL	1aZMB|24AEFBLL|3aASPD|5SELL|69RCR|7aVULN|8MDPS|aBPWR
45	36111 62632	 * 	273.11	DCR|DCR|2VULN|2ASPD|2AEFBLL|2ZMB|1SELL	1aZMB|24AEFBLL|3aASPD|5SELL|6aVULN|79RCR|8MDPS|aBPWR
46	11522 11164	 * 	273.04	DCR|2TLV|2VULN|1AEFBLL|1CDMG	1DUR|2FEWX|38VULN|4CGEN|5AEFBLL|6aTLV|7RCR|9CDMG
47	13522 11164	 * 	273.04	DCR|2TLV|2VULN|1AEPOI|1CDMG	1DUR|2LWND|38VULN|4CGEN|5AEPOI|6aTLV|7RCR|9CDMG
48	22631 32534	   	272.39	ACR|DCR|1TLV|1VULN|1AEBURN	1DUST|2RMIN|3RPLT|49RCR|5VULN|6BEXP|7AEBURN|8TLV|aRAT
49	11162 11163	   	271.52	DCR|3VULN|1TLV|1AEFBLL|1CDMG	1DUR|2FEWX|3AAC|48aVULN|5AEFBLL|6TLV|7RCR|9CDMG
50	11162 11524	   	271.52	DCR|3VULN|1TLV|1AEFBLL|1ASPD	1DUR|2FEWX|3AAC|49aVULN|5AEFBLL|6TLV|7RCR|8ASPD
51	11522 11163	   	271.52	DCR|3VULN|1TLV|1AEFBLL|1CDMG	1DUR|2FEWX|38aVULN|4CGEN|5AEFBLL|6TLV|7RCR|9CDMG
52	11522 11524	   	271.52	DCR|3VULN|1TLV|1AEFBLL|1ASPD	1DUR|2FEWX|39aVULN|4CGEN|5AEFBLL|6TLV|7RCR|8ASPD
53	13522 11524	 * 	271.52	DCR|3VULN|1TLV|1AEPOI|1ASPD	1DUR|2LWND|39aVULN|4CGEN|5AEPOI|6TLV|7RCR|8ASPD
54	12236 62123	 * 	271.52	DCR|3VULN|1TLV|1DMG|1CDMG	1DUR|2RMIN|3CDMG|4AME|5DMG|67aVULN|8RCR|9TLV
55	15162 11163	   	271.42	DCR|3VULN|1TLV|1AEFBLL|1CDMG	1DUR|2DUST|3AAC|48aVULN|5AEFBLL|6TLV|7RCR|9CDMG
56	15522 11163	   	271.42	DCR|3VULN|1TLV|1AEFBLL|1CDMG	1DUR|2DUST|38aVULN|4CGEN|5AEFBLL|6TLV|7RCR|9CDMG
57	41156 32321	 * 	270.73	ACR|DCR|2VULN|1DMG|1AEBURN|1ASPD	1BEXP|2FEWX|3AAC|48RCR|5DMG|6ASPD|7AEBURN|9aVULN
58	41156 33321	 * 	270.73	ACR|DCR|2VULN|1DMG|1AEPOI|1ASPD	1BEXP|2FEWX|3AAC|48RCR|5DMG|6ASPD|7AEPOI|9aVULN
59	12631 15231	   	269.71	ACR|DCR|2VULN|1TLV|1MSE	1DUR|2RMIN|3RPLT|49RCR|56VULN|7TLV|8MSE|aLWND
60	12631 15232	   	269.61	ACR|DCR|2VULN|1TLV|1MSE	1DUR|2RMIN|3RPLT|49RCR|56VULN|7TLV|8MSE|aLSRHEA
61	12631 15233	   	269.61	ACR|DCR|2VULN|1TLV|1MSE	1DUR|2RMIN|3RPLT|49RCR|56VULN|7TLV|8MSE|aDUST
62	12631 15236	   	269.61	ACR|DCR|2VULN|1TLV|1MSE	1DUR|2RMIN|3RPLT|49RCR|56VULN|7TLV|8MSE|aLEGI
63	53313 62134	 * 	269.26	ACR|4VULN|1TLV|1AEBURN	1LWND|2LHND|3RCR|4BEXP|568aVULN|7AEBURN|9TLV
64	13332 25651	   	268.78	DCR|3VULN|1TLV|1AEFBLL|1AART	1DUR|2LWND|3MDPS|4AEFBLL|5AART|6TLV|7RCR|89aVULN
65	35152 13521	   	268.70	DCR|3VULN|1TLV|1DMG|1ASPD	1ZMB|2LIT|3DMG|4MBVNT|589VULN|6ASPD|7RCR|aTLV
66	42331 51353	   	268.70	ACR|DCR|1TLV|1VULN|2RAT	1BEXP|2RMIN|3TLV|4aRCR|56RAT|7DUR|8AAC|9VULN
67	13152 36521	 * 	268.53	ACR|2TLV|2VULN|1AEFBLL|2DUR	1aDUR|2LWND|3AAC|4RCR|5aTLV|6CGEN|7AEFBLL|8AETHUN|9aVULN|aBPWR
68	13332 25461	 * 	268.43	DCR|DCR|1TLV|1AEFBLL|1DMG|1AART	1DUR|2LWND|3MDPS|4AEFBLL|5AART|6TLV|79RCR|8DMG|aAAC
69	11522 11541	 * 	268.43	DCR|2VULN|1TLV|2ASPD|2AEFBLL|2DUR	1aDUR|2FEWX|3aVULN|4CGEN|59AEFBLL|6TLV|7RCR|8aASPD|aBPWR
70	13332 25462	   	268.33	DCR|DCR|1TLV|1AEFBLL|1DMG|1AART	1DUR|2LWND|3MDPS|4AEFBLL|5AART|6TLV|79RCR|8DMG|aDUST
71	13332 25463	   	268.33	DCR|DCR|1TLV|1AEFBLL|1DMG|1AART|1MSE	1DUR|2LWND|3MDPS|4AEFBLL|5AART|6TLV|79RCR|8DMG|aMSE
72	14122 51631	 * 	268.33	DCR|2VULN|1TLV|2ASPD|3RAT|2DUR	18DUR|2RPLT|38ASPD|457RAT|68VULN|8BPWR|9TLV|aRCR
73	53313 62132	 * 	268.28	ACR|3VULN|1TLV|1DMG|1AEBURN	1LWND|2LHND|3RCR|4BEXP|568VULN|7AEBURN|9TLV|aDMG
74	23665 32123	 * 	267.93	DCR|3VULN|1TLV|1DMG|1AEPOI|1SELL	1DUST|2LWND|3DMG|47aVULN|5SELL|6AEPOI|8RCR|9TLV
