0	Index      	 *	Score 	Summary	Detail	
1	12363 12533	 * 	301.87	ACR|3VULN|2TLV|3ASPD	17AME|27aVULN|3RCR|4DUR|5BEXP|67aASPD|7aBPWR|8DUST|9aTLV
27	25332 13533	   	277.74	ACR|DCR|1TLV|1VULN|2DUR|1ASPD	1LHND|2ASPD|39RCR|4CGEN|5TLV|6ERES|78DUR|aVULN
28	24223 42124	   	276.73	DCR|2TLV|2VULN|1DMG|1AEPOI	1LHND|2FEWX|3RAT|48VULN|5DMG|6aTLV|7AEPOI|9RCR
29	22223 42124	   	276.63	DCR|2TLV|2VULN|1DMG|1AEPOI	1LHND|2DUST|3RAT|48VULN|5DMG|6aTLV|7AEPOI|9RCR
30	36324 21435	   	276.36	ACR|DCR|1TLV|1VULN|1AEBURN|1AART	1AAC|2DUST|38RCR|4MBVNT|5AART|6TLV|7LIT|9VULN|aAEBURN
31	33521 13415	   	275.47	ACR|DCR|1TLV|1DMG|1AEPOI|1AART	1AAC|2AEPOI|3AART|49RCR|5DMG|6DUR|7CGEN|8RAT|aTLV
32	14332 63433	   	275.25	ACR|DCR|2VULN|1TLV	1AME|2DUST|39RCR|4CGEN|5TLV|6AAC|7DMSP|8aVULN
33	12354 33236	   	275.22	ACR|3VULN|1TLV|1AEFBLL|1DMG	1AME|257VULN|3RCR|4RAT|6AEFBLL|8LIT|9TLV|aDMG
34	14332 61633	   	275.15	ACR|DCR|2VULN|1TLV	1AME|2DUST|39RCR|4CGEN|5TLV|6AAC|7aVULN|8AEFRZ
35	12361 13142	   	273.04	ACR|2TLV|2VULN|1AEFBLL|1ASPD	1AME|28VULN|3RCR|4DUR|5ASPD|6RPLT|7AEFBLL|9aTLV
36	12332 25136	   	272.49	ACR|DCR|1TLV|1VULN|1DMG	1AME|2VULN|39RCR|4CGEN|5TLV|6DMSP|7LHND|8DMG|aRAT
37	12332 21136	   	272.39	ACR|DCR|1TLV|1VULN|1DMG	1AME|2VULN|39RCR|4CGEN|5TLV|6DMSP|7DUST|8DMG|aRAT
38	12332 31136	   	272.39	ACR|DCR|1TLV|1VULN|1DMG	17AME|2VULN|39RCR|4CGEN|5TLV|6LEGI|8DMG|aRAT
