0	Index      	 *	Score 	Summary	Detail	
1	12153 23131	 * 	324.00	ACR|DCR|2VULN|1TLV|2DMG|1AART	19DUST|2RPLT|37RCR|4CGEN|59DMG|6AART|89VULN|9BPWR|aTLV
13	21124 23658	   	301.55	ACR|DCR|2TLV|2VULN	17BELT|2MBVNT|38RCR|4RMIN|59VULN|69TLV|9BPWR|aLWND
14	21124 27652	   	301.55	ACR|DCR|2TLV|2VULN	1BELT|2MBVNT|38RCR|47RMIN|59VULN|69TLV|9BPWR|aBEXP
15	21124 27653	   	301.55	ACR|DCR|2TLV|2VULN	1BELT|2MBVNT|38RCR|47RMIN|59VULN|69TLV|9BPWR|aLHND
16	21132 23652	   	301.55	ACR|DCR|2TLV|2VULN	17BELT|2MBVNT|38RCR|49VULN|5RMIN|69TLV|9BPWR|aBEXP
17	21132 23653	   	301.55	ACR|DCR|2TLV|2VULN	17BELT|2MBVNT|38RCR|49VULN|5RMIN|69TLV|9BPWR|aLHND
18	21132 23655	   	301.55	ACR|DCR|2TLV|2VULN	17BELT|2MBVNT|38RCR|49VULN|5RMIN|69TLV|9BPWR|aRPLT
19	21132 23658	   	301.55	ACR|DCR|2TLV|2VULN	17BELT|2MBVNT|38RCR|49VULN|5RMIN|69TLV|9BPWR|aLWND
20	21132 27652	   	301.55	ACR|DCR|2TLV|2VULN	1BELT|2MBVNT|38RCR|49VULN|57RMIN|69TLV|9BPWR|aBEXP
21	21132 27653	   	301.55	ACR|DCR|2TLV|2VULN	1BELT|2MBVNT|38RCR|49VULN|57RMIN|69TLV|9BPWR|aLHND
22	21134 24225	   	301.45	ACR|DCR|2TLV|2VULN	1BELT|2MBVNT|3aRCR|47VULN|56TLV|89BEXP
23	21134 24335	   	301.45	ACR|DCR|2TLV|2VULN	1BELT|2MBVNT|3aRCR|47VULN|56TLV|89LWND
24	21134 24815	   	301.45	ACR|DCR|2TLV|2VULN	1BELT|2MBVNT|3aRCR|47VULN|56TLV|8AME|9CGEN
25	21124 23654	   	301.45	ACR|DCR|2TLV|2VULN|1MSE	17BELT|2MBVNT|38RCR|4RMIN|59VULN|69TLV|9BPWR|aMSE
26	21124 23656	   	301.45	ACR|DCR|2TLV|2VULN	17BELT|2MBVNT|38RCR|4RMIN|59VULN|69TLV|9BPWR|aMDPS
27	21124 27654	   	301.45	ACR|DCR|2TLV|2VULN|1MSE	1BELT|2MBVNT|38RCR|47RMIN|59VULN|69TLV|9BPWR|aMSE
28	21132 23654	   	301.45	ACR|DCR|2TLV|2VULN|1MSE	17BELT|2MBVNT|38RCR|49VULN|5RMIN|69TLV|9BPWR|aMSE
29	21132 23656	   	301.45	ACR|DCR|2TLV|2VULN	17BELT|2MBVNT|38RCR|49VULN|5RMIN|69TLV|9BPWR|aMDPS
30	21132 27654	   	301.45	ACR|DCR|2TLV|2VULN|1MSE	1BELT|2MBVNT|38RCR|49VULN|57RMIN|69TLV|9BPWR|aMSE
31	21134 24735	   	301.35	ACR|DCR|2TLV|2VULN	1BELT|2MBVNT|3aRCR|47VULN|56TLV|8DMSP|9DUST
32	21134 34225	 * 	299.94	ACR|DCR|3VULN|1TLV	1BELT|2MBVNT|3aRCR|467VULN|5TLV|89BEXP
33	21134 34335	   	299.94	ACR|DCR|3VULN|1TLV	1BELT|2MBVNT|3aRCR|467VULN|5TLV|89LWND
34	21134 34815	   	299.94	ACR|DCR|3VULN|1TLV	1BELT|2MBVNT|3aRCR|467VULN|5TLV|8AME|9CGEN
35	21134 34735	   	299.84	ACR|DCR|3VULN|1TLV	1BELT|2MBVNT|3aRCR|467VULN|5TLV|8DMSP|9DUST
36	21134 21366	   	299.12	ACR|DCR|2TLV|1VULN|1CDMG	1BELT|2MBVNT|3aRCR|4VULN|56TLV|7FLTARM|8CDMG|9RAT
37	21134 24151	 * 	299.07	ACR|3TLV|3VULN|2CDMG|1AART	1BELT|2MBVNT|3RCR|47aVULN|56aTLV|8aCDMG|9AART|aBPWR
38	21131 31142	 * 	296.87	ACR|3VULN|1TLV|2DMG|2AEBURN|1AART	1BELT|2MBVNT|3RCR|489VULN|58AEBURN|6AART|78DMG|8BPWR|aTLV
39	21184 31142	   	296.87	ACR|3VULN|1TLV|2DMG|2AEPOI|1AART	1BELT|2MBVNT|3RCR|48AEPOI|589VULN|6AART|78DMG|8BPWR|aTLV
40	21133 83366	   	295.74	ACR|DCR|2VULN|1TLV|1CDMG	1BELT|2MBVNT|3aRCR|47VULN|5SPLREG|6TLV|8CDMG|9RAT
41	21134 13366	   	295.74	ACR|DCR|2VULN|1TLV|1CDMG	1BELT|2MBVNT|3aRCR|47VULN|5TLV|6AIRHEA|8CDMG|9RAT
42	21134 83366	   	295.74	ACR|DCR|2VULN|1TLV|1CDMG	1BELT|2MBVNT|3aRCR|47VULN|5TLV|6LSRREG|8CDMG|9RAT
43	21134 38225	   	295.31	ACR|DCR|2VULN|1TLV|1AEBURN	1BELT|2MBVNT|3aRCR|46VULN|5TLV|7AEBURN|89BEXP
44	21134 38335	   	295.31	ACR|DCR|2VULN|1TLV|1AEBURN	1BELT|2MBVNT|3aRCR|46VULN|5TLV|7AEBURN|89LWND
45	21134 38815	   	295.31	ACR|DCR|2VULN|1TLV|1AEBURN	1BELT|2MBVNT|3aRCR|46VULN|5TLV|7AEBURN|8AME|9CGEN
46	21134 38735	   	295.21	ACR|DCR|2VULN|1TLV|1AEBURN	1BELT|2MBVNT|3aRCR|46VULN|5TLV|7AEBURN|8DMSP|9DUST
