0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11216 33225	10	 * 	279.46	DCR|3VULN|3DMG|1TLV|2ASPD|1AART	1aASPD|2AART|3TLV|4RPLT|58aVULN|69aDMG|7RCR|aBPWR
13	46222 36323	10	   	266.58	DCR|3VULN|3DMG|2DUR	139DMG|26DMSP|39BPWR|459VULN|7RCR|89DUR|aASPD
14	13236 13315	3	   	266.09	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1ASPD|2aDMG|3BELT|4TLV|5CDMG|6aVULN|7ZMB|8RCR|9aDUR|aBPWR
15	13531 24144	10	   	265.89	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1ASPD|2aDMG|3MBVNT|4CDMG|5TLV|6aVULN|7DUST|8RCR|9aDUR|aBPWR
16	11216 33235	10	   	263.80	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	1aASPD|2AART|3TLV|49RPLT|58aVULN|6aDMG|7RCR|aBPWR
17	13563 52233	2	   	263.70	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	19ASPD|26DMG|3AART|456VULN|6BPWR|7BEXP|8RCR|aTLV
18	16122 46321	9	 * 	262.83	DCR|4VULN|3DUR|3ASPD	139ASPD|2DMSP|4569VULN|7RCR|89aDUR|9BPWR
19	13531 22216	7	 * 	262.56	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG|2ASPD	1aASPD|2DMG|3MBVNT|4aCDMG|5TLV|68VULN|7RCR|9aDUR|aBPWR
20	13413 63253	4	 * 	262.29	DCR|2VULN|3DMG|1TLV|3ASPD|1AART	149ASPD|234DMG|49BPWR|59VULN|6RCR|7AART|89CGEN|aTLV
21	43113 63253	4	   	262.29	DCR|2VULN|3DMG|1TLV|3ASPD|1AART	124DMG|349ASPD|49BPWR|59VULN|6RCR|7AART|89CGEN|aTLV
22	43241 33134	10	 * 	261.72	DCR|3VULN|3DMG|2TLV	123DMG|38BPWR|48TLV|568LWND|789VULN|aRCR
23	64312 43123	3	 * 	261.22	DCR|4VULN|1TLV|3LIT|2CDMG	19CDMG|249LIT|3479VULN|49BPWR|5TBNT|6RCR|8RPLT|aTLV
24	13113 11232	10	   	261.15	DCR|3VULN|2DMG|1TLV|2LIT	1ASPD|29DMG|3LHND|4TLV|59LIT|6LWND|789VULN|9BPWR|aRCR
25	13113 51232	10	   	261.15	DCR|3VULN|2DMG|1TLV|2LIT	1ASPD|29DMG|3LHND|4TLV|59LIT|6FEWX|789VULN|9BPWR|aRCR
26	13412 26236	10	   	261.15	DCR|2VULN|3DMG|1TLV|2ASPD|1DUR	14ASPD|234DMG|4BPWR|5DUST|6TLV|7RCR|8aVULN|9DUR
27	13413 56212	8	   	261.15	DCR|2VULN|3DMG|1TLV|2ASPD|1DUR	14ASPD|234DMG|4BPWR|5DUR|6TLV|7RCR|8aVULN|9ERES
28	43112 26236	10	   	261.15	DCR|2VULN|3DMG|1TLV|2ASPD|1DUR	124DMG|34ASPD|4BPWR|5DUST|6TLV|7RCR|8aVULN|9DUR
29	43113 56212	8	   	261.15	DCR|2VULN|3DMG|1TLV|2ASPD|1DUR	124DMG|34ASPD|4BPWR|5DUR|6TLV|7RCR|8aVULN|9ERES
30	13113 46232	10	   	260.55	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|2LIT	17ASPD|29DMG|3LHND|4TLV|59LIT|6DUR|89VULN|9BPWR|aRCR
31	13516 22216	7	   	259.94	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD|1SELL	1aASPD|2aDMG|3MBVNT|4TLV|5SELL|68VULN|7RCR|9aDUR|aBPWR
32	13571 22216	7	   	259.94	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD|1SELL	1aASPD|2aDMG|3MBVNT|4SELL|5TLV|68VULN|7RCR|9aDUR|aBPWR
33	43236 21113	9	   	259.71	DCR|2VULN|3DMG|1TLV|2ASPD|2LIT|1SELL	123DMG|38BPWR|48LIT|58VULN|68ASPD|7SELL|9TLV|aRCR
34	43236 21163	8	   	259.71	DCR|2VULN|3DMG|1TLV|2ASPD|2LIT|1SELL	123DMG|38BPWR|48LIT|58VULN|68ASPD|7SELL|9TLV|aRCR
35	13413 22453	9	   	259.63	DCR|3DMG|1VULN|2DUR|1TLV|2ASPD|1CDMG	14ASPD|234DMG|4BPWR|58DUR|6CDMG|7TLV|9RCR|aVULN
36	13413 22623	8	   	259.63	DCR|3DMG|1VULN|2DUR|1TLV|2ASPD|1CDMG	14ASPD|234DMG|4BPWR|59DUR|6CDMG|7TLV|8RCR|aVULN
37	13413 56323	8	   	259.63	DCR|3DMG|1VULN|2DUR|1TLV|2ASPD|1CDMG	14ASPD|234DMG|4BPWR|59DUR|6TLV|7RCR|8CDMG|aVULN
38	43113 22453	9	   	259.63	DCR|3DMG|1VULN|2DUR|1TLV|2ASPD|1CDMG	124DMG|34ASPD|4BPWR|58DUR|6CDMG|7TLV|9RCR|aVULN
39	43113 22623	8	   	259.63	DCR|3DMG|1VULN|2DUR|1TLV|2ASPD|1CDMG	124DMG|34ASPD|4BPWR|59DUR|6CDMG|7TLV|8RCR|aVULN
40	43113 56323	8	   	259.63	DCR|3DMG|1VULN|2DUR|1TLV|2ASPD|1CDMG	124DMG|34ASPD|4BPWR|59DUR|6TLV|7RCR|8CDMG|aVULN
41	43223 43222	9	   	259.59	DCR|2VULN|3DMG|2DUR|1TLV	123DMG|3BPWR|4BEXP|56DUR|7aVULN|8TLV|9RCR
42	43223 43223	10	   	259.59	DCR|2VULN|3DMG|2DUR|1TLV	123DMG|3BPWR|4BEXP|56DUR|7aVULN|8TLV|9RCR
43	13131 42225	6	   	259.58	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1ASPD|2aDMG|3LHND|4CDMG|5aTLV|6RCR|7DUR|8aVULN|9RCVC|aBPWR
44	16122 46212	7	   	259.26	DCR|4VULN|2DUR|3ASPD|1AART	13aASPD|2DMSP|456aVULN|7RCR|8aDUR|9AART|aBPWR
45	16122 46312	8	   	259.26	DCR|4VULN|2DUR|3ASPD|1AART	13aASPD|2DMSP|456aVULN|7RCR|8aDUR|9AART|aBPWR
46	41263 12624	3	 * 	258.89	DCR|4VULN|2TLV|1DMG|1AART	1DMG|2AART|39TLV|4578VULN|6MBVNT|aRCR
47	13413 22222	2	   	258.77	DCR|3VULN|2DMG|2DUR|2ASPD	17ASPD|27DMG|3RPLT|49DUR|5ZMB|678VULN|7BPWR|aRCR
48	41263 12644	3	   	258.58	DCR|4VULN|1TLV|1DMG|2AART	1DMG|29AART|3TLV|4578VULN|6MBVNT|aRCR
49	13531 22214	7	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1ASPD|2DMG|3MBVNT|4CDMG|5TLV|68aVULN|7RCR|9DUR
50	46222 36322	10	   	258.27	DCR|3VULN|3DMG|2DUR	139DMG|26DMSP|39BPWR|459VULN|7RCR|89DUR|aLWND
51	13234 23121	3	   	258.18	DCR|3VULN|2TLV|1DMG|2ASPD|1CDMG	17ASPD|2DMG|3BELT|47TLV|5MBVNT|679VULN|7BPWR|8RCR|aCDMG
52	13514 23121	4	   	258.18	DCR|3VULN|2TLV|1DMG|2ASPD|1CDMG	17ASPD|2DMG|3MBVNT|47TLV|5BELT|679VULN|7BPWR|8RCR|aCDMG
53	46222 36321	10	   	258.17	DCR|3VULN|3DMG|2DUR	139DMG|26DMSP|39BPWR|459VULN|7RCR|89DUR|aERES
54	46222 36322	9	   	258.17	DCR|3VULN|3DMG|2DUR	139DMG|26DMSP|39BPWR|459VULN|7RCR|89DUR|aTBNT
55	46222 36323	9	   	258.17	DCR|3VULN|3DMG|2DUR	139DMG|26DMSP|39BPWR|459VULN|7RCR|89DUR|aERES
56	41333 42315	1	   	257.78	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1aDMG|2CDMG|3BELT|4RMIN|5aVULN|6RCR|7TLV|8ZMB|9aDUR|aBPWR
57	13333 36415	2	   	257.77	DCR|4VULN|1TLV|1DMG	1ASPD|2DMG|3LIT|4579VULN|6ERES|8RCR|aTLV
58	13113 41431	9	 * 	257.72	DCR|2VULN|2DMG|1TLV|3LIT|1DUR	1ASPD|29DMG|3LHND|4TLV|589LIT|6DUR|79VULN|9BPWR|aRCR
59	11263 12636	3	 * 	257.40	DCR|5VULN|1TLV|1AART	1ASPD|2AART|3TLV|45789VULN|6MBVNT|aRCR
60	52223 52231	3	   	257.39	DCR|4VULN|2DMG|1DUR	189BEXP|2359VULN|4LIT|6DUR|79DMG|9BPWR|aRCR
61	52266 33331	8	   	257.19	DCR|4VULN|2DMG|1DUR	1BEXP|237aVULN|48DMG|5DUR|6ASPD|9RCR
62	43262 12131	2	 * 	256.90	DCR|4VULN|3DMG	127DMG|3RPLT|479LHND|5789VULN|6RCR|79BPWR|aLIT
63	46222 53111	9	   	256.60	DCR|4VULN|3DMG	138DMG|2DMSP|3BPWR|457aVULN|6ASPD|9RCR
64	16122 46133	7	 * 	256.32	DCR|4VULN|2DMG|3ASPD	13aASPD|2DMSP|456aVULN|7RCR|8aDMG|9BBNT|aBPWR
65	13563 52223	2	   	255.86	DCR|3VULN|2DMG|1TLV|1AART	1ASPD|26DMG|3AART|456VULN|6BPWR|79BEXP|8RCR|aTLV
66	41263 14145	3	   	255.86	DCR|3VULN|2DMG|1TLV|1AART	18DMG|2AART|3TLV|458VULN|6MBVNT|78CGEN|8BPWR|9ASPD|aRCR
67	41263 12324	3	   	255.43	DCR|3VULN|2DMG|2TLV|1AART	18DMG|2AART|39TLV|457VULN|6MBVNT|aRCR
68	12525 23326	7	 * 	255.40	DCR|3VULN|2TLV|2DUR|2ASPD	19ASPD|2LHND|39TLV|48DUR|5MLV|679VULN|9BPWR|aRCR
69	41263 12344	3	   	255.12	DCR|3VULN|2DMG|1TLV|2AART	18DMG|29AART|3TLV|457VULN|6MBVNT|aRCR
70	13413 22611	10	   	254.71	DCR|3DMG|1VULN|1TLV|2ASPD|1DUR|1CDMG|1AART	14ASPD|234DMG|4BPWR|5DUR|6CDMG|7TLV|8RCR|9AART|aVULN
71	13413 56311	10	   	254.71	DCR|3DMG|1VULN|1TLV|2ASPD|1DUR|1CDMG|1AART	14ASPD|234DMG|4BPWR|5DUR|6TLV|7RCR|8CDMG|9AART|aVULN
72	43113 22611	10	   	254.71	DCR|3DMG|1VULN|1TLV|2ASPD|1DUR|1CDMG|1AART	124DMG|34ASPD|4BPWR|5DUR|6CDMG|7TLV|8RCR|9AART|aVULN
73	43113 56311	10	   	254.71	DCR|3DMG|1VULN|1TLV|2ASPD|1DUR|1CDMG|1AART	124DMG|34ASPD|4BPWR|5DUR|6TLV|7RCR|8CDMG|9AART|aVULN
74	13413 63362	4	   	254.71	DCR|3DMG|1VULN|1TLV|2ASPD|1DUR|1CDMG|1AART	14ASPD|234DMG|4BPWR|5VULN|6RCR|7AART|8CDMG|9DUR|aTLV
75	43113 63362	4	   	254.71	DCR|3DMG|1VULN|1TLV|2ASPD|1DUR|1CDMG|1AART	124DMG|34ASPD|4BPWR|5VULN|6RCR|7AART|8CDMG|9DUR|aTLV
76	13411 56211	10	   	254.66	DCR|2VULN|3DMG|1TLV|2ASPD|1AART	14ASPD|234DMG|4BPWR|5LWND|6TLV|7RCR|8aVULN|9AART
77	43111 56211	10	   	254.66	DCR|2VULN|3DMG|1TLV|2ASPD|1AART	124DMG|34ASPD|4BPWR|5LWND|6TLV|7RCR|8aVULN|9AART
78	52263 41231	7	   	254.39	DCR|4VULN|2DUR|1DMG	189BEXP|2379VULN|4DMG|5LIT|69DUR|9BPWR|aRCR
79	52263 41231	8	   	254.39	DCR|4VULN|2DUR|1DMG	189BEXP|2379VULN|4DMG|5LIT|69DUR|9BPWR|aRCR
80	32211 13634	6	   	254.38	DCR|3VULN|2DMG|2TLV	1LHND|23aVULN|4MLV|5CGEN|6aTLV|7LIT|8RCR|9aDMG|aBPWR
81	52211 13634	6	   	254.38	DCR|3VULN|2DMG|2TLV	1BEXP|23aVULN|4MLV|5CGEN|6aTLV|7LIT|8RCR|9aDMG|aBPWR
82	13413 56231	10	   	254.29	DCR|3DMG|1VULN|2DUR|1TLV|2ASPD	14ASPD|234DMG|4BPWR|59DUR|6TLV|7RCR|8VULN|aLIT
83	43113 56231	10	   	254.29	DCR|3DMG|1VULN|2DUR|1TLV|2ASPD	124DMG|34ASPD|4BPWR|59DUR|6TLV|7RCR|8VULN|aLIT
84	42563 11232	10	   	254.28	DCR|3VULN|2DMG|2TLV|1NUKE	19DMG|2LHND|39TLV|4NUKE|5LIT|6LWND|789VULN|9BPWR|aRCR
85	44113 11232	10	   	254.28	DCR|3VULN|2DMG|2TLV	19DMG|2MLV|3LEGI|49TLV|5LIT|6LWND|789VULN|9BPWR|aRCR
86	44113 51232	10	   	254.28	DCR|3VULN|2DMG|2TLV	19DMG|2MLV|3LEGI|49TLV|5LIT|6FEWX|789VULN|9BPWR|aRCR
87	52266 33231	8	   	254.19	DCR|4VULN|2DUR|1DMG	1BEXP|237aVULN|4DMG|58DUR|6ASPD|9RCR
88	52261 11316	6	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1BEXP|237VULN|49DMG|5CGEN|6TLV|8DUR|aRCR
89	46212 23531	10	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	13DMG|2DMSP|3BPWR|4DUST|578VULN|6TLV|9DUR|aRCR
90	13517 83124	9	   	253.94	DCR|3VULN|2DMG|1TLV|2ASPD	18ASPD|28DMG|3MBVNT|4TLV|5LEGI|6CGEN|78aVULN|8BPWR|9RCR
91	52262 11316	6	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1BEXP|237VULN|49DMG|5ERES|6TLV|8DUR|aRCR
92	43522 51323	10	   	253.44	DCR|3VULN|3DMG|1TLV	128DMG|3LHND|4DMSP|56aVULN|7TLV|9RCR
93	43532 51323	10	   	253.44	DCR|3VULN|3DMG|1TLV	128DMG|34LHND|56aVULN|7TLV|9RCR
94	46222 21323	10	   	253.44	DCR|3VULN|3DMG|1TLV	138DMG|2DMSP|3BPWR|45aVULN|6LHND|7TLV|9RCR
95	46222 61323	10	   	253.44	DCR|3VULN|3DMG|1TLV	138DMG|2DMSP|3BPWR|45aVULN|6BEXP|7TLV|9RCR
96	46223 51323	10	   	253.44	DCR|3VULN|3DMG|1TLV	138DMG|2DMSP|3BPWR|46aVULN|5LHND|7TLV|9RCR
97	46232 51323	10	   	253.44	DCR|3VULN|3DMG|1TLV	138DMG|2DMSP|3BPWR|4LHND|56aVULN|7TLV|9RCR
98	13413 22661	8	   	253.35	DCR|3DMG|1VULN|1TLV|2ASPD|1DUR|1CDMG	14ASPD|234DMG|4BPWR|5DUR|6CDMG|7TLV|8RCR|9VULN|aLIT
99	43113 22661	8	   	253.35	DCR|3DMG|1VULN|1TLV|2ASPD|1DUR|1CDMG	124DMG|34ASPD|4BPWR|5DUR|6CDMG|7TLV|8RCR|9VULN|aLIT
100	46212 23323	10	   	253.34	DCR|3VULN|3DMG|1TLV	138DMG|2DMSP|3BPWR|4DUST|57aVULN|6TLV|9RCR
101	46212 51323	10	   	253.34	DCR|3VULN|3DMG|1TLV	138DMG|2DMSP|3BPWR|4DUST|56aVULN|7TLV|9RCR
102	13414 31315	10	   	253.31	DCR|2VULN|3DMG|1TLV|2ASPD	14ASPD|234DMG|4BPWR|5RPLT|6TLV|7RCR|8aVULN|9LIT
103	43114 31315	10	   	253.31	DCR|2VULN|3DMG|1TLV|2ASPD	124DMG|34ASPD|4BPWR|5RPLT|6TLV|7RCR|8aVULN|9LIT
104	43231 56124	8	   	253.21	DCR|2VULN|3DMG|1TLV|1DUR	123DMG|3BPWR|4LIT|5DUR|6MBVNT|7RCR|8aVULN|9TLV
105	13413 22633	8	   	253.12	DCR|3DMG|1VULN|2TLV|2ASPD|1DUR|1CDMG	14ASPD|234DMG|4BPWR|5DUR|6CDMG|79TLV|8RCR|aVULN
106	13413 56333	8	   	253.12	DCR|3DMG|1VULN|2TLV|2ASPD|1DUR|1CDMG	14ASPD|234DMG|4BPWR|5DUR|69TLV|7RCR|8CDMG|aVULN
107	43113 22633	8	   	253.12	DCR|3DMG|1VULN|2TLV|2ASPD|1DUR|1CDMG	124DMG|34ASPD|4BPWR|5DUR|6CDMG|79TLV|8RCR|aVULN
108	43113 56333	8	   	253.12	DCR|3DMG|1VULN|2TLV|2ASPD|1DUR|1CDMG	124DMG|34ASPD|4BPWR|5DUR|69TLV|7RCR|8CDMG|aVULN
109	13234 23124	3	   	252.84	DCR|3VULN|2TLV|1DMG|2ASPD	17ASPD|2DMG|3BELT|47TLV|5MBVNT|679VULN|7BPWR|8RCR|aLIT
110	13514 23124	4	   	252.84	DCR|3VULN|2TLV|1DMG|2ASPD	17ASPD|2DMG|3MBVNT|47TLV|5BELT|679VULN|7BPWR|8RCR|aLIT
111	13113 43232	10	   	252.71	DCR|2VULN|2DMG|1TLV|1DUR|2LIT	1ASPD|29DMG|3LHND|4TLV|59LIT|6DUR|7RCVC|89VULN|9BPWR|aRCR
112	52223 36251	3	 * 	252.57	DCR|5VULN|2DUR	19BEXP|23579VULN|4LIT|6ERES|89DUR|9BPWR|aRCR
113	13333 13245	2	   	252.45	DCR|3VULN|2DMG|2ASPD|2LIT|1AART	17ASPD|2aDMG|37LIT|457VULN|6AART|7BPWR|8FEWX|9RCR
114	13333 13345	2	   	252.45	DCR|3VULN|2DMG|2ASPD|2LIT|1AART	17ASPD|2aDMG|37LIT|457VULN|6AART|7BPWR|8LHND|9RCR
115	13143 16343	9	   	252.24	DCR|2VULN|2DMG|2DUR|1TLV	1ASPD|28DMG|3LHND|45DUR|6aVULN|7TLV|9RCR
116	22611 21325	8	 * 	251.98	DCR|4VULN|2DUR|1TLV|1SELL	1aLWND|246aVULN|3SELL|5TLV|7RCR|8BEXP|9aDUR|aBPWR
117	22611 21425	7	 * 	251.98	DCR|4VULN|2DUR|1TLV|1SELL	1aLWND|246aVULN|3SELL|5TLV|7RCR|8FEWX|9aDUR|aBPWR
118	22611 21616	7	 * 	251.98	DCR|4VULN|2DUR|1TLV|1SELL	1aLWND|246aVULN|3SELL|5TLV|7RCR|8CGEN|9aDUR|aBPWR
119	22612 21416	8	 * 	251.98	DCR|4VULN|2DUR|1TLV|1SELL	1aLWND|246aVULN|3SELL|5CGEN|7RCR|8TLV|9aDUR|aBPWR
120	32611 21325	8	 * 	251.98	DCR|4VULN|2DUR|1TLV|1SELL	1aLHND|246aVULN|3SELL|5TLV|7RCR|8BEXP|9aDUR|aBPWR
121	32611 21425	7	 * 	251.98	DCR|4VULN|2DUR|1TLV|1SELL	1aLHND|246aVULN|3SELL|5TLV|7RCR|8FEWX|9aDUR|aBPWR
122	32611 21616	7	 * 	251.98	DCR|4VULN|2DUR|1TLV|1SELL	1aLHND|246aVULN|3SELL|5TLV|7RCR|8CGEN|9aDUR|aBPWR
123	32612 21416	8	 * 	251.98	DCR|4VULN|2DUR|1TLV|1SELL	1aLHND|246aVULN|3SELL|5CGEN|7RCR|8TLV|9aDUR|aBPWR
124	13234 23127	3	 * 	251.96	DCR|3VULN|2TLV|3ASPD|1DMG	17aASPD|2DMG|3BELT|47TLV|5MBVNT|679VULN|7BPWR|8RCR
125	13514 23127	4	   	251.96	DCR|3VULN|2TLV|3ASPD|1DMG	17aASPD|2DMG|3MBVNT|47TLV|5BELT|679VULN|7BPWR|8RCR
126	13513 47233	9	   	251.82	DCR|2VULN|2TLV|3ASPD|1DMG|1DUR	179ASPD|2DMG|3MBVNT|49TLV|5LIT|6DUR|89VULN|9BPWR|aRCR
127	22223 12632	3	   	251.80	DCR|3VULN|3DMG|1DUR	1LWND|235VULN|4LIT|6DUR|79aDMG|8RCR
128	32223 12632	3	   	251.80	DCR|3VULN|3DMG|1DUR	1LHND|235VULN|4LIT|6DUR|79aDMG|8RCR
129	52223 52632	3	   	251.80	DCR|3VULN|3DMG|1DUR	1BEXP|235VULN|4LIT|6DUR|79aDMG|8RCR
130	13531 22584	10	   	251.40	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1ASPD|2aDMG|3MBVNT|4CDMG|5TLV|6aVULN|7RCR|8DUR|9aLHND|aBPWR
131	13413 22663	8	 * 	251.36	DCR|3DMG|1VULN|1TLV|2CDMG|2ASPD|1DUR	14ASPD|234DMG|4BPWR|5DUR|6aCDMG|7TLV|8RCR|9VULN
132	43113 22663	8	   	251.36	DCR|3DMG|1VULN|1TLV|2CDMG|2ASPD|1DUR	124DMG|34ASPD|4BPWR|5DUR|6aCDMG|7TLV|8RCR|9VULN
133	43423 25233	2	   	251.30	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	12DMG|3TLV|4MLV|58VULN|6DUR|7CDMG|9RCR|aLIT
134	45311 23113	7	 * 	251.26	ACR|4VULN|2DMG|1TLV|2LIT|1AART	17DMG|2RCR|3AART|4MLV|5789VULN|67LIT|7BPWR|aTLV
135	13231 23346	5	 * 	251.22	DCR|3VULN|3DMG|3ASPD	178ASPD|278DMG|3BELT|4BEXP|5MLV|678VULN|78BPWR|9RPLT|aRCR
136	13531 22534	10	   	251.20	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1ASPD|2aDMG|3MBVNT|4CDMG|5TLV|6aVULN|7RCR|8DUR|9aDUST|aBPWR
137	13531 22584	8	   	251.20	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1ASPD|29DMG|3MBVNT|4CDMG|5TLV|6aVULN|7RCR|8DUR
138	22231 61342	7	   	251.19	DCR|4VULN|1TLV|2ASPD|1CDMG	169LWND|239aVULN|4CDMG|5TLV|7RCR|89ASPD|9BPWR
139	13211 23346	5	   	251.12	DCR|3VULN|3DMG|3ASPD	178ASPD|278DMG|3BELT|4DUST|5MLV|678VULN|78BPWR|9RPLT|aRCR
140	13231 23337	5	   	251.12	DCR|3VULN|3DMG|3ASPD	178ASPD|278DMG|3BELT|4BEXP|5MLV|678VULN|78BPWR|9MBVNT|aRCR
141	22231 11625	8	 * 	251.04	DCR|3VULN|2DUR|1TLV|2CDMG	1aLWND|23aVULN|46CDMG|5TLV|7RCR|8LEGI|9aDUR|aBPWR
142	32231 11625	8	   	251.04	DCR|3VULN|2DUR|1TLV|2CDMG	1aLHND|23aVULN|46CDMG|5TLV|7RCR|8LEGI|9aDUR|aBPWR
143	13211 23337	5	   	251.02	DCR|3VULN|3DMG|3ASPD	178ASPD|278DMG|3BELT|4DUST|5MLV|678VULN|78BPWR|9MBVNT|aRCR
144	52263 41231	6	   	250.93	DCR|3VULN|2DMG|2DUR	189BEXP|239VULN|47DMG|5LIT|69DUR|9BPWR|aRCR
145	41263 12224	3	   	250.81	DCR|4VULN|1TLV|1DMG|1AART	1DMG|2AART|3TLV|457aVULN|6MBVNT|8RCR|9BEXP
146	41263 12264	3	   	250.81	DCR|4VULN|1TLV|1DMG|1AART	1DMG|2AART|3TLV|457aVULN|6MBVNT|8RCR|9LHND
147	41263 12274	3	   	250.81	DCR|4VULN|1TLV|1DMG|1AART	1DMG|2AART|3TLV|457aVULN|6MBVNT|8RCR|9LWND
148	41263 13634	3	   	250.81	DCR|4VULN|1TLV|1DMG|1AART	1DMG|2AART|3TLV|4589VULN|6MBVNT|7RCVC|aRCR
149	22223 12633	3	   	250.73	DCR|3VULN|2DMG|2DUR	1LWND|235VULN|4LIT|6aDUR|79DMG|8RCR
150	32223 12633	3	   	250.73	DCR|3VULN|2DMG|2DUR	1LHND|235VULN|4LIT|6aDUR|79DMG|8RCR
151	52223 52633	3	   	250.73	DCR|3VULN|2DMG|2DUR	1BEXP|235VULN|4LIT|6aDUR|79DMG|8RCR
152	41263 12234	3	   	250.71	DCR|4VULN|1TLV|1DMG|1AART	1DMG|2AART|3TLV|457aVULN|6MBVNT|8RCR|9LEGI
153	41263 12284	3	   	250.71	DCR|4VULN|1TLV|1DMG|1AART	1DMG|2AART|3TLV|457aVULN|6MBVNT|8RCR|9DUST
154	13416 12261	2	   	250.67	DCR|2VULN|2TLV|2DUR|1DMG|2ASPD	17ASPD|2DMG|3RPLT|47DUR|57TLV|6RCR|7BPWR|8aVULN|9BBNT
155	13131 45225	6	 * 	250.62	DCR|1VULN|2DMG|2TLV|2DUR|2CDMG	1ASPD|2aDMG|3LHND|47CDMG|5aTLV|6RCR|8VULN|9aDUR|aBPWR
156	13534 27318	6	   	250.43	DCR|2VULN|2DMG|1TLV|3ASPD|1CDMG	178ASPD|27DMG|3MBVNT|4CDMG|5MLV|67VULN|7BPWR|9RCR|aTLV
157	13531 22243	7	   	250.37	DCR|3VULN|1TLV|1DMG|1CDMG	1ASPD|2DMG|3MBVNT|4CDMG|5TLV|689VULN|7RCR|aLIT
158	13531 22286	7	   	250.37	DCR|3VULN|1TLV|1DMG|1CDMG	1ASPD|2DMG|3MBVNT|4CDMG|5TLV|68aVULN|7RCR|9LIT
159	13531 22486	9	   	250.37	DCR|3VULN|1TLV|1DMG|1CDMG	1ASPD|2DMG|3MBVNT|4CDMG|5TLV|69aVULN|7RCR|8LIT
160	43333 13244	1	   	249.95	DCR|3VULN|2DMG|2LIT|1CDMG|1AART	17DMG|2ZMB|37LIT|457VULN|6AART|7BPWR|8FEWX|9RCR|aCDMG
161	43333 13344	1	   	249.95	DCR|3VULN|2DMG|2LIT|1CDMG|1AART	17DMG|2ZMB|37LIT|457VULN|6AART|7BPWR|8LHND|9RCR|aCDMG
162	13531 22248	7	   	249.90	DCR|3VULN|1TLV|1DMG|2ASPD|1CDMG	1aASPD|2DMG|3MBVNT|4CDMG|5TLV|689VULN|7RCR
