0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63134 12214	2	 * 	311.42	DCR|5VULN|3DMG|2DUR	13479VULN|2RCVC|49BPWR|589DMG|69DUR|aRCR
15	64325 23222	10	   	288.44	DCR|4VULN|3ASPD|1DMG|1DUR|1CDMG	134aVULN|234ASPD|34BPWR|5DMG|6CDMG|7RCR|8DUR|9RMIN
16	64325 23223	8	   	288.44	DCR|4VULN|3ASPD|1DMG|1DUR|1CDMG	134aVULN|234ASPD|34BPWR|5DMG|6CDMG|7RCR|8DUR|9RPLT
17	64325 23233	8	   	288.44	DCR|4VULN|3ASPD|1DMG|1DUR|1CDMG	134aVULN|234ASPD|34BPWR|5DMG|6CDMG|7RCR|8DUR|9RCVC
18	64325 23323	7	   	288.44	DCR|4VULN|3ASPD|1DMG|1TLV|1CDMG	134aVULN|234ASPD|34BPWR|5DMG|6CDMG|7RCR|8MLV|9TLV
19	64322 41311	4	   	288.44	DCR|4VULN|3ASPD|1DMG|1DUR|1CDMG	1345VULN|234ASPD|34BPWR|6BEXP|7DUR|8DMG|9CDMG|aRCR
20	64323 12311	5	   	288.44	DCR|4VULN|3ASPD|1DMG|1DUR|1CDMG	1347VULN|234ASPD|34BPWR|5FEWX|6DUR|8DMG|9CDMG|aRCR
21	64323 12311	4	   	288.44	DCR|4VULN|3ASPD|1DMG|1DUR|1CDMG	1347VULN|234ASPD|34BPWR|5FEWX|6DUR|8DMG|9CDMG|aRCR
22	64323 22311	6	   	288.44	DCR|4VULN|3ASPD|1DMG|1DUR|1CDMG	1347VULN|234ASPD|34BPWR|5FEWX|6DUR|8DMG|9CDMG|aRCR
23	64322 21311	4	   	288.34	DCR|4VULN|3ASPD|1DMG|1DUR|1CDMG	1345VULN|234ASPD|34BPWR|6LEGI|7DUR|8DMG|9CDMG|aRCR
24	64322 63311	4	   	288.34	DCR|4VULN|3ASPD|1DMG|1DUR|1CDMG	1345VULN|234ASPD|34BPWR|6DUR|7DUST|8DMG|9CDMG|aRCR
25	64325 23233	9	   	288.34	DCR|4VULN|3ASPD|1DMG|1DUR|1CDMG	134aVULN|234ASPD|34BPWR|5DMG|6CDMG|7RCR|8DUR|9DUST
26	64324 32132	5	   	287.64	DCR|5VULN|3ASPD|1DMG	13489VULN|234ASPD|34BPWR|5AART|6DMG|7BBNT|aRCR
27	63422 12116	5	 * 	286.14	DCR|5VULN|2DMG|2ASPD	14789VULN|2RCVC|3RMIN|49BPWR|59ASPD|69DMG|aRCR
28	32633 21632	10	   	285.50	DCR|4VULN|3DMG|1DUR	1RPLT|2LIT|358DMG|459aVULN|5BPWR|6DUR|7RCR
29	64325 31332	8	   	284.63	DCR|4VULN|2DMG|3ASPD	1349VULN|234ASPD|349BPWR|59DMG|679FEWX|8RCR|aLIT
30	64325 22231	7	   	283.38	DCR|3VULN|2DMG|3ASPD|1DUR|1CDMG	134VULN|234ASPD|34BPWR|58DMG|6CDMG|7BEXP|9DUR|aRCR
31	54223 32321	10	   	283.16	DCR|3VULN|3DUR|2DMG|1TLV	1BELT|267VULN|3aMLV|47DMG|567DUR|67BPWR|8RCR|9TLV
32	54223 32322	9	   	283.16	DCR|3VULN|3DUR|2DMG|1TLV	1BELT|267VULN|3MLV|47DMG|567DUR|67BPWR|8RCR|9TLV|aFEWX
33	54223 32323	10	   	283.16	DCR|3VULN|3DUR|2DMG|1TLV	1BELT|267VULN|3MLV|47DMG|567DUR|67BPWR|8RCR|9TLV|aDMSP
34	54223 32324	10	   	283.16	DCR|3VULN|3DUR|2DMG|1TLV	1BELT|267VULN|3MLV|47DMG|567DUR|67BPWR|8RCR|9TLV|aCGEN
35	54223 32322	10	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	1BELT|267VULN|3MLV|47DMG|567DUR|67BPWR|8RCR|9TLV|aERES
36	54223 32323	9	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	1BELT|267VULN|3MLV|47DMG|567DUR|67BPWR|8RCR|9TLV|aTBNT
37	54223 32324	9	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	1BELT|267VULN|3MLV|47DMG|567DUR|67BPWR|8RCR|9TLV|aERES
38	54223 32325	9	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	1BELT|267VULN|3MLV|47DMG|567DUR|67BPWR|8RCR|9TLV|aDUST
39	63126 12135	10	 * 	282.97	DCR|4VULN|3DUR|2ASPD	149aVULN|2RCVC|34ASPD|49aBPWR|5AART|69aCGEN|7RCR|89aDUR
40	64323 25331	9	   	282.96	DCR|4VULN|3ASPD|2DUR|1CDMG	1348VULN|234ASPD|34BPWR|5FEWX|67DUR|9RCR|aCDMG
41	64323 25333	10	   	282.96	DCR|4VULN|3ASPD|2DUR|1CDMG	1348VULN|234ASPD|34BPWR|5FEWX|67DUR|9RCR|aCDMG
42	63123 12514	5	 * 	282.63	DCR|4VULN|3DUR|3ASPD	1479VULN|25RCVC|349ASPD|49BPWR|689DUR|aRCR
43	54223 32334	10	 * 	282.56	DCR|3VULN|3DMG|3DUR	1BELT|267VULN|39MLV|47aDMG|567DUR|67BPWR|8RCR
44	54223 32335	9	   	282.56	DCR|3VULN|3DMG|3DUR	1BELT|267VULN|39MLV|47aDMG|567DUR|67BPWR|8RCR
45	63121 61134	4	   	282.53	DCR|4VULN|3DUR|3ASPD	1489VULN|2RCVC|346ASPD|49BPWR|579DUR|aRCR
46	63122 61134	5	   	282.53	DCR|4VULN|3DUR|3ASPD	1489VULN|2RCVC|345ASPD|49BPWR|679DUR|aRCR
47	64321 26121	7	   	282.05	DCR|3VULN|3ASPD|1DMG|1TLV|1DUR|1CDMG	134VULN|234ASPD|34BPWR|5RMIN|6CDMG|7DMG|8DUR|9TLV|aRCR
48	64322 51311	6	   	282.05	DCR|3VULN|3ASPD|1DMG|1TLV|1DUR|1CDMG	134VULN|234ASPD|34BPWR|5CGEN|6TLV|7DUR|8DMG|9CDMG|aRCR
49	61334 33513	3	   	281.70	DCR|4VULN|2DMG|2CDMG|1DUR	137aVULN|236LWND|37BPWR|47DMG|57CDMG|8RCR|9DUR
