0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13633 24116	5	 * 	296.73	DCR|5VULN|3DMG|1DUR|1CDMG	15678VULN|2DUR|3LHND|456DMG|56BPWR|9CDMG|aRCR
29	13633 41312	8	   	281.19	DCR|4VULN|3DMG|2ASPD|1DUR	157aVULN|2DUR|367aLHND|457DMG|57aBPWR|8RCR|9aASPD
30	11131 65231	9	 * 	281.10	DCR|4VULN|2DUR|2CDMG|1DMG|2LIT	1679VULN|27CDMG|39CGEN|4DMG|57DUR|79BPWR|89LIT|aRCR
31	11631 65231	9	   	280.90	DCR|4VULN|2DUR|1DMG|2CDMG|2LIT	1679VULN|27CDMG|39ERES|4DMG|57DUR|79BPWR|89LIT|aRCR
32	13631 31614	5	 * 	280.37	DCR|4VULN|2TLV|2DUR|1DMG	1789VULN|27DUR|3LHND|4DMG|57TLV|6RMIN|7BPWR|aRCR
33	13633 31614	4	   	280.37	DCR|4VULN|2TLV|2DUR|1DMG	1789VULN|27DUR|3LHND|4DMG|57TLV|6RMIN|7BPWR|aRCR
34	13633 41362	8	   	279.63	DCR|4VULN|3DMG|2DUR	157aVULN|2aDUR|367aLHND|457DMG|57aBPWR|8RCR|9RMIN
35	13633 41162	7	   	279.43	DCR|4VULN|3DMG|2DUR	1578VULN|2aDUR|367LHND|457DMG|57BPWR|9RCR
36	13633 41314	10	   	279.43	DCR|4VULN|3DMG|2DUR	157aVULN|29DUR|367LHND|457DMG|57BPWR|8RCR
37	13633 41352	8	   	279.43	DCR|4VULN|3DMG|2DUR	1579VULN|2aDUR|367LHND|457DMG|57BPWR|8RCR
38	13633 25162	5	   	279.33	DCR|4VULN|3DMG|2DUR	1568VULN|2aDUR|37LHND|456DMG|56BPWR|9RCR
39	13226 11616	4	 * 	278.55	DCR|5VULN|2TLV|2DUR	16789VULN|27DUR|3DUST|4LHND|57TLV|7BPWR|aRCR
40	14262 52132	5	   	278.53	DCR|4VULN|2DMG|2DUR|2LIT	1457VULN|2MLV|37DMG|67DUR|7BPWR|8aLIT|9RCR
41	13633 41363	10	 * 	278.30	DCR|3VULN|3DMG|1TLV|1DUR	157VULN|2DUR|367LHND|457DMG|57BPWR|8RCR|9LIT|aTLV
42	11624 32248	2	   	277.22	DCR|4VULN|2DMG|2DUR|1CDMG	149aVULN|2CDMG|3RPLT|5aDUR|6aDMG|7MBVNT|8RCR|aBPWR
43	15124 32248	2	   	277.22	DCR|4VULN|2DMG|2DUR|1CDMG	149aVULN|2RPLT|3CDMG|5aDUR|6aDMG|7MBVNT|8RCR|aBPWR
44	12343 11314	1	   	277.13	DCR|3VULN|2DMG|2DUR|1TLV	179VULN|2TLV|37DMG|48DUR|5ASPD|67FEWX|7BPWR|aRCR
45	12262 41314	6	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	179VULN|2RMIN|37DMG|48DUR|5FEWX|67TLV|7BPWR|aRCR
46	12341 62214	1	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR	157VULN|26TLV|37DMG|47DUR|7BPWR|8DUST|9MLV|aRCR
47	13462 14111	9	   	276.80	DCR|4VULN|3DUR|2DMG	147aVULN|248DUR|3BELT|4aBPWR|5aDMG|6RCR|9aERES
48	31253 35332	10	   	275.88	DCR|2VULN|3DUR|1TLV|1DMG|2CDMG|2ASPD	167DUR|27CDMG|3TLV|48ASPD|57VULN|7BPWR|9DMG|aRCR
49	11443 32114	1	   	275.29	DCR|4VULN|2DMG|1TLV|1DUR	1479VULN|27LWND|3TLV|5DUR|67DMG|7BPWR|8RMIN|aRCR
50	12562 52132	5	   	275.16	DCR|4VULN|2TLV|2DUR|2LIT	1457VULN|2RMIN|37TLV|67DUR|7BPWR|8aLIT|9RCR
51	13633 41163	7	   	274.50	DCR|4VULN|3DMG|1DUR	1578VULN|2DUR|367LHND|457DMG|57BPWR|9RCR|aAART
52	13633 41353	8	   	274.50	DCR|4VULN|3DMG|1DUR	1579VULN|2DUR|367LHND|457DMG|57BPWR|8RCR|aAART
53	31213 35322	10	   	274.44	DCR|3VULN|3DUR|2TLV|1CDMG	167DUR|2CDMG|37TLV|4RMIN|57aVULN|7BPWR|8ASPD|9RCR
54	13633 25163	5	   	274.40	DCR|4VULN|3DMG|1DUR	1568VULN|2DUR|37LHND|456DMG|56BPWR|9RCR|aAART
55	13631 11614	6	   	273.85	DCR|4VULN|1TLV|1DMG|2ASPD|1DUR	1789VULN|2DUR|37LHND|4DMG|5TLV|67ASPD|7BPWR|aRCR
56	14262 42122	8	   	273.33	DCR|4VULN|2DMG|2DUR	1458VULN|2MLV|38DMG|6AART|78DUR|8BPWR|9RPLT|aRCR
57	13633 41161	7	   	273.15	DCR|4VULN|3DMG|1DUR	1578VULN|2DUR|367LHND|457DMG|57BPWR|9RCR|aASPD
58	13633 41351	8	   	273.15	DCR|4VULN|3DMG|1DUR	1579VULN|2DUR|367LHND|457DMG|57BPWR|8RCR|aASPD
59	13633 25161	5	   	273.05	DCR|4VULN|3DMG|1DUR	1568VULN|2DUR|37LHND|456DMG|56BPWR|9RCR|aASPD
60	14262 12312	6	   	273.05	DCR|4VULN|3DMG|1DUR	1457VULN|27MLV|378DMG|6RCR|7BPWR|9DUR|aASPD
61	31352 21614	2	 * 	272.86	DCR|4VULN|3DUR|3LIT|1CDMG	19aDUR|2CDMG|39aLIT|4RPLT|5TBNT|689aVULN|7RCR|9aBPWR
62	31123 35632	10	   	272.67	DCR|3VULN|3DUR|1TLV|2CDMG	167DUR|27CDMG|3CGEN|4TLV|578VULN|7BPWR|9ASPD|aRCR
63	12511 35322	10	   	272.67	DCR|3VULN|3DUR|1TLV|2CDMG	17aVULN|2RMIN|3TLV|47CDMG|567DUR|7BPWR|8ASPD|9RCR
64	31123 35322	10	   	272.67	DCR|3VULN|3DUR|1TLV|2CDMG	167DUR|27CDMG|3CGEN|4TLV|57aVULN|7BPWR|8ASPD|9RCR
65	31243 35322	10	   	272.67	DCR|3VULN|3DUR|1TLV|2CDMG	167DUR|27CDMG|3TLV|4ZMB|57aVULN|7BPWR|8ASPD|9RCR
66	31323 35322	10	   	272.67	DCR|3VULN|3DUR|1TLV|2CDMG	167DUR|27CDMG|3ZMB|4TLV|57aVULN|7BPWR|8ASPD|9RCR
67	32513 35322	10	   	272.67	DCR|3VULN|3DUR|1TLV|2CDMG	167DUR|2RMIN|3TLV|47CDMG|57aVULN|7BPWR|8ASPD|9RCR
68	31623 35322	10	   	272.57	DCR|3VULN|3DUR|1TLV|2CDMG	167DUR|27CDMG|3ERES|4TLV|57aVULN|7BPWR|8ASPD|9RCR
69	31623 35632	10	   	272.57	DCR|3VULN|3DUR|1TLV|2CDMG	167DUR|27CDMG|3ERES|4TLV|578VULN|7BPWR|9ASPD|aRCR
70	31123 65334	9	 * 	272.19	DCR|4VULN|2DUR|1TLV|2CDMG	17DUR|27CDMG|3CGEN|4TLV|567aVULN|7BPWR|8RPLT|9RCR
71	31323 65324	9	   	272.19	DCR|4VULN|2DUR|1TLV|2CDMG	17DUR|27CDMG|3ZMB|4TLV|567aVULN|7BPWR|8RPLT|9RCR
72	13631 31212	4	   	272.11	DCR|3VULN|2DMG|1TLV|1DUR	168VULN|2DUR|3LHND|46DMG|5AART|6BPWR|7TLV|9RCR|aLIT
73	33132 25512	3	   	272.11	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2AART|356VULN|46DMG|6BPWR|7TLV|8BEXP|9RCR|aLIT
74	33132 26322	3	   	272.11	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2AART|356VULN|46DMG|6BPWR|7RCR|8LWND|9TLV|aLIT
75	33132 26622	3	   	272.11	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2AART|356VULN|46DMG|6BPWR|7RCR|8LHND|9TLV|aLIT
76	33532 25512	2	   	272.11	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2AART|356VULN|46DMG|6BPWR|7TLV|8BEXP|9RCR|aLIT
77	33532 26322	2	   	272.11	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2AART|356VULN|46DMG|6BPWR|7RCR|8LWND|9TLV|aLIT
78	33532 26622	2	   	272.11	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2AART|356VULN|46DMG|6BPWR|7RCR|8LHND|9TLV|aLIT
79	33132 26122	3	   	272.01	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2AART|356VULN|46DMG|6BPWR|7RCR|8LEGI|9TLV|aLIT
80	33532 26122	2	   	272.01	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2AART|356VULN|46DMG|6BPWR|7RCR|8LEGI|9TLV|aLIT
81	14262 52133	5	   	271.98	DCR|4VULN|2DMG|2DUR	1457VULN|2MLV|37DMG|67DUR|7BPWR|8LIT|9RCR|aRMIN
82	12242 42512	1	 * 	271.93	DCR|3VULN|2DMG|3TLV|3CDMG|1SELL	179VULN|279TLV|3SELL|4aDMG|5MLV|679CDMG|79BPWR|8RCR
83	14262 52131	5	   	271.88	DCR|4VULN|2DMG|2DUR	1457VULN|2MLV|37DMG|67DUR|7BPWR|8LIT|9RCR|aDUST
84	14262 12324	6	   	271.80	DCR|4VULN|3DMG|1CDMG	1457VULN|27MLV|378DMG|6RCR|7BPWR|9AART|aCDMG
85	13633 41362	7	   	271.60	DCR|3VULN|3DMG|3DUR	157VULN|28aDUR|367LHND|457DMG|57BPWR|9RCR
86	13633 41312	9	   	271.60	DCR|3VULN|3DMG|3DUR	157VULN|29aDUR|367LHND|457DMG|57BPWR|8RCR
87	33131 25622	3	   	271.57	DCR|3VULN|2DMG|1TLV|2AART|1DUR	1DUR|25AART|368VULN|46DMG|6BPWR|7TLV|9RPLT|aRCR
88	33531 25622	2	   	271.57	DCR|3VULN|2DMG|1TLV|2AART|1DUR	1DUR|25AART|368VULN|46DMG|6BPWR|7TLV|9RPLT|aRCR
89	13631 31213	4	   	271.57	DCR|3VULN|2DMG|1TLV|2AART|1DUR	168VULN|2DUR|3LHND|46DMG|5aAART|6BPWR|7TLV|9RCR
90	33132 26323	3	   	271.57	DCR|3VULN|2DMG|1TLV|2AART|1DUR	1DUR|2aAART|356VULN|46DMG|6BPWR|7RCR|8LWND|9TLV
91	33132 26623	3	   	271.57	DCR|3VULN|2DMG|1TLV|2AART|1DUR	1DUR|2aAART|356VULN|46DMG|6BPWR|7RCR|8LHND|9TLV
92	33532 26323	2	   	271.57	DCR|3VULN|2DMG|1TLV|2AART|1DUR	1DUR|2aAART|356VULN|46DMG|6BPWR|7RCR|8LWND|9TLV
93	33532 26623	2	   	271.57	DCR|3VULN|2DMG|1TLV|2AART|1DUR	1DUR|2aAART|356VULN|46DMG|6BPWR|7RCR|8LHND|9TLV
94	13633 25362	5	   	271.50	DCR|3VULN|3DMG|3DUR	156VULN|28aDUR|37LHND|456DMG|56BPWR|9RCR
95	33132 26123	3	   	271.47	DCR|3VULN|2DMG|1TLV|2AART|1DUR	1DUR|2aAART|356VULN|46DMG|6BPWR|7RCR|8LEGI|9TLV
96	33532 26123	2	   	271.47	DCR|3VULN|2DMG|1TLV|2AART|1DUR	1DUR|2aAART|356VULN|46DMG|6BPWR|7RCR|8LEGI|9TLV
97	31123 65332	9	   	271.20	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	17DUR|27CDMG|3CGEN|4TLV|567VULN|7BPWR|8RPLT|9RCR|aDMG
98	32263 46232	10	   	270.91	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	145DUR|2RMIN|37DMG|67VULN|7BPWR|8TLV|9CDMG|aRCR
99	33316 23256	8	   	270.45	DCR|3VULN|3DUR|3TLV	178DUR|2AART|3ERES|478TLV|5RPLT|678VULN|78BPWR|9ASPD|aRCR
100	12343 11614	1	   	270.39	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	179VULN|2TLV|37DMG|4DUR|58ASPD|67FEWX|7BPWR|aRCR
101	13461 16133	8	   	270.06	DCR|4VULN|2TLV|2DUR	149aVULN|24DUR|3BELT|49BPWR|59CGEN|6RCR|79TLV|8AART
102	12312 32136	10	   	269.96	DCR|4VULN|2TLV|2DUR	1589VULN|26RMIN|3AART|48TLV|78DUR|8BPWR|aRCR
103	12532 42136	10	   	269.96	DCR|4VULN|2TLV|2DUR	1589VULN|24RMIN|38TLV|6AART|78DUR|8BPWR|aRCR
104	33412 43622	5	   	269.96	DCR|4VULN|2TLV|2DUR	17DUR|2AART|3ZMB|47TLV|5678VULN|7BPWR|9RPLT|aRCR
105	33413 43622	4	   	269.96	DCR|4VULN|2TLV|2DUR	17DUR|2AART|3ZMB|47TLV|5678VULN|7BPWR|9RPLT|aRCR
106	33151 23216	4	   	269.91	DCR|3VULN|3DUR|3TLV|2AART	157DUR|28AART|367VULN|467TLV|67BPWR|9MLV|aRCR
107	33151 23263	4	   	269.91	DCR|3VULN|3DUR|3TLV|2AART	157DUR|28AART|367VULN|467TLV|67BPWR|9RMIN|aRCR
108	33341 23216	2	   	269.91	DCR|3VULN|3DUR|3TLV|2AART	157DUR|28AART|367TLV|467VULN|67BPWR|9MLV|aRCR
109	33341 23263	2	   	269.91	DCR|3VULN|3DUR|3TLV|2AART	157DUR|28AART|367TLV|467VULN|67BPWR|9RMIN|aRCR
110	12552 42112	9	   	269.86	DCR|4VULN|3TLV|2DUR|1NUKE	1458VULN|2RMIN|348TLV|48BPWR|6AART|78DUR|9NUKE|aRCR
111	12663 13434	1	   	269.86	DCR|4VULN|2TLV|2DUR	1479VULN|27TLV|3DMSP|5AART|67DUR|7BPWR|8MBVNT|aRCR
112	12552 12131	6	   	269.67	DCR|5VULN|3TLV|1CDMG	1457aVULN|2RMIN|347TLV|47BPWR|6RCR|8CDMG|9ASPD
113	33152 13115	9	   	269.00	DCR|3VULN|2DUR|1TLV|1DMG	17DUR|2AART|38aVULN|4TLV|5DMG|6LIT|9RCR
114	13462 11163	10	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	149VULN|24DUR|3BELT|49BPWR|59DMG|6RCR|7DLOT|89LWND|aTLV
115	13441 31351	2	   	268.78	DCR|3VULN|2TLV|2DUR|1DMG	147VULN|27DUR|37TLV|5DLOT|6BBNT|7BPWR|8DMG|9RCR|aAART
116	13463 31351	2	   	268.78	DCR|3VULN|2TLV|2DUR|1DMG	157VULN|27DUR|37TLV|4BBNT|6DLOT|7BPWR|8DMG|9RCR|aAART
117	13464 11221	6	   	268.73	DCR|3VULN|3DUR|2TLV|2ASPD	14aVULN|249DUR|3BELT|4aBPWR|5RMIN|6RCR|7aASPD|8aTLV
118	13462 11263	10	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	149VULN|24DUR|3BELT|49BPWR|59DMG|6RCR|7DLOT|89DUST|aTLV
119	15263 32248	5	 * 	268.62	DCR|3VULN|2DMG|2DUR|3CDMG	19aVULN|2RPLT|35DUR|45aCDMG|5aBPWR|6aDMG|7MBVNT|8RCR
120	12562 52133	5	   	268.61	DCR|4VULN|2TLV|2DUR	1457VULN|2aRMIN|37TLV|67DUR|7BPWR|8LIT|9RCR
121	12562 52131	5	   	268.51	DCR|4VULN|2TLV|2DUR	1457VULN|2RMIN|37TLV|67DUR|7BPWR|8LIT|9RCR|aDUST
122	33131 21652	3	   	268.26	DCR|3VULN|2DMG|2DUR|2AART	19DUR|25AART|368VULN|46DMG|6BPWR|7ASPD|aRCR
123	33531 21652	2	   	268.26	DCR|3VULN|2DMG|2DUR|2AART	19DUR|25AART|368VULN|46DMG|6BPWR|7ASPD|aRCR
124	13125 15132	9	 * 	268.18	DCR|3VULN|3DUR|1TLV|3ASPD	19aVULN|29aDUR|3RMIN|4RPLT|5FEWX|6TLV|7RCR|89aASPD|9aBPWR
125	13126 15132	9	   	268.18	DCR|3VULN|3DUR|1TLV|3ASPD	19aVULN|29aDUR|3RMIN|4RPLT|5LWND|6TLV|7RCR|89aASPD|9aBPWR
126	15212 15132	9	   	268.18	DCR|3VULN|3DUR|1TLV|3ASPD	19aVULN|2RPLT|39aDUR|4FEWX|5RMIN|6TLV|7RCR|89aASPD|9aBPWR
127	31243 35312	10	   	268.04	DCR|2VULN|3DUR|1TLV|1DMG|2CDMG	167DUR|27CDMG|3TLV|4ZMB|57VULN|7BPWR|8ASPD|9DMG|aRCR
128	31253 35532	10	   	268.04	DCR|2VULN|3DUR|1TLV|1DMG|2CDMG	167DUR|27CDMG|3TLV|4ASPD|57VULN|7BPWR|8DMSP|9DMG|aRCR
129	31323 35312	10	   	268.04	DCR|2VULN|3DUR|1TLV|1DMG|2CDMG	167DUR|27CDMG|3ZMB|4TLV|57VULN|7BPWR|8ASPD|9DMG|aRCR
130	13633 41363	7	   	268.04	DCR|3VULN|3DMG|2DUR	157VULN|28DUR|367LHND|457DMG|57BPWR|9RCR|aAART
131	13633 41313	9	   	268.04	DCR|3VULN|3DMG|2DUR	157VULN|29DUR|367LHND|457DMG|57BPWR|8RCR|aAART
132	14252 52121	5	   	268.04	DCR|3VULN|3DMG|2DUR	157VULN|24MLV|347DMG|47BPWR|67DUR|8RPLT|9AART|aRCR
133	33132 26236	3	   	268.04	DCR|3VULN|3DMG|2DUR	1aDUR|2AART|356VULN|46aDMG|6aBPWR|7RCR|8aCGEN|9RCVC
134	33532 26236	2	   	268.04	DCR|3VULN|3DMG|2DUR	1aDUR|2AART|356VULN|46aDMG|6aBPWR|7RCR|8aCGEN|9RCVC
135	13633 25363	5	   	267.94	DCR|3VULN|3DMG|2DUR	156VULN|28DUR|37LHND|456DMG|56BPWR|9RCR|aAART
136	33154 23336	4	   	267.84	DCR|3VULN|3TLV|1DMG|1DUR|1CDMG	1DUR|2AART|36aVULN|456TLV|6BPWR|7RCR|8DMG|9CDMG
137	33344 23336	2	   	267.84	DCR|3VULN|3TLV|1DMG|1DUR|1CDMG	1DUR|2AART|356TLV|46aVULN|6BPWR|7RCR|8DMG|9CDMG
138	15263 53323	5	 * 	267.81	DCR|2VULN|3DUR|2TLV|1DMG|2CDMG	1aVULN|2RPLT|35aDUR|45CDMG|5aBPWR|6TBNT|7DMG|8RCR|9aTLV
139	13633 45222	10	   	267.79	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	159VULN|2DUR|36LHND|45DMG|5BPWR|7TLV|8RCR|aCDMG
140	12552 12135	6	   	267.58	DCR|4VULN|3TLV|1DUR|1CDMG	1457VULN|2RMIN|347TLV|47BPWR|6RCR|8CDMG|9ASPD|aDUR
141	13462 16211	7	   	267.52	DCR|3VULN|2TLV|2DUR|1DMG	149VULN|24DUR|3BELT|4BPWR|5DMG|6RCR|78TLV|aASPD
142	12333 11614	1	   	267.35	DCR|4VULN|2DMG|1TLV	1789VULN|2TLV|37DMG|4LHND|5ASPD|67FEWX|7BPWR|aRCR
143	14262 12511	6	   	267.25	DCR|4VULN|2DMG|1TLV	1457VULN|27MLV|37DMG|6RCR|7BPWR|8BBNT|9TLV|aASPD
144	12232 41614	6	   	267.12	DCR|4VULN|2DMG|2TLV	1789VULN|2RMIN|37DMG|4LHND|5FEWX|67TLV|7BPWR|aRCR
145	12233 41614	6	   	267.12	DCR|4VULN|2DMG|2TLV	1789VULN|2RMIN|37DMG|4LHND|5LWND|67TLV|7BPWR|aRCR
146	14252 12131	6	   	267.10	DCR|3VULN|3DMG|1DUR|1CDMG	157VULN|247MLV|347DMG|47BPWR|6RCR|8CDMG|9DUR|aAART
147	12315 62132	1	   	267.07	DCR|2VULN|2DMG|2TLV|2DUR|2LIT	17VULN|26TLV|37DMG|4DMSP|57DUR|7BPWR|8aLIT|9RCR
148	33132 21622	3	   	266.95	DCR|4VULN|2DMG|1DUR	1DUR|2AART|3568VULN|46DMG|6BPWR|7ASPD|9RPLT|aRCR
149	33132 26245	3	   	266.95	DCR|4VULN|2DMG|1DUR	1DUR|2AART|356aVULN|46DMG|6BPWR|7RCR|8CGEN|9LIT
150	33532 21622	2	   	266.95	DCR|4VULN|2DMG|1DUR	1DUR|2AART|3568VULN|46DMG|6BPWR|7ASPD|9RPLT|aRCR
151	14262 12333	6	   	266.83	DCR|5VULN|3DMG	1457aVULN|27MLV|378DMG|6RCR|7BPWR|9FEWX
152	14262 12353	6	   	266.83	DCR|5VULN|3DMG	1457aVULN|27MLV|378DMG|6RCR|7BPWR|9BEXP
