0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11316 15521	4	 * 	292.25	DCR|4VULN|2DUR|1TLV|1DMG|2CDMG	1DMSP|2457VULN|37CDMG|67DUR|7BPWR|8TLV|9DMG|aRCR
48	51216 31151	8	   	267.15	DCR|4VULN|2DMG|1TLV	1458VULN|2RCVC|3LIT|6RCR|7aDMG|9TLV
49	51216 31251	7	   	267.15	DCR|4VULN|2DMG|1TLV	1458VULN|2RCVC|3LIT|6RCR|7aDMG|9TLV
50	54212 31151	8	   	267.15	DCR|4VULN|2DMG|1TLV	1248VULN|3LIT|5RCVC|6RCR|7aDMG|9TLV
51	54212 31251	7	   	267.15	DCR|4VULN|2DMG|1TLV	1248VULN|3LIT|5RCVC|6RCR|7aDMG|9TLV
52	55112 31151	8	   	267.15	DCR|4VULN|2DMG|1TLV	1348VULN|2LIT|5RCVC|6RCR|7aDMG|9TLV
53	55112 31251	7	   	267.15	DCR|4VULN|2DMG|1TLV	1348VULN|2LIT|5RCVC|6RCR|7aDMG|9TLV
54	13452 42222	8	 * 	266.92	DCR|4VULN|2DMG|2TLV	1DMSP|24TLV|34DMG|4BPWR|589aVULN|6RCR|7DUST
55	13452 43222	8	   	266.92	DCR|4VULN|2DMG|2TLV	1DMSP|24TLV|34DMG|4BPWR|589aVULN|6RCR|7MBVNT
56	54216 31132	9	   	266.25	DCR|5VULN|1DMG|1DUR	12458VULN|3LIT|6RCR|7DMG|9DUR|aASPD
57	55116 31132	9	   	266.25	DCR|5VULN|1DMG|1DUR	13458VULN|2LIT|6RCR|7DMG|9DUR|aASPD
58	54311 32224	10	   	266.22	DCR|4VULN|2CDMG|1DMG|1DUR|2LIT	1249VULN|36CDMG|56LIT|6BPWR|7DUR|8DMG|aRCR
59	54332 32224	10	   	266.22	DCR|4VULN|2CDMG|1DMG|1DUR|2LIT	1259VULN|36CDMG|46LIT|6BPWR|7DUR|8DMG|aRCR
60	11316 15361	4	   	266.05	DCR|4VULN|2DUR|1DMG|2CDMG	1DMSP|2457VULN|37CDMG|67DUR|7BPWR|8DMG|9CGEN|aRCR
61	11316 15421	4	   	266.05	DCR|4VULN|2DUR|1DMG|2CDMG	1DMSP|2457VULN|37CDMG|67DUR|7BPWR|8RMIN|9DMG|aRCR
62	11316 15621	4	   	266.05	DCR|4VULN|2DUR|1DMG|2CDMG	1DMSP|2457VULN|37CDMG|67DUR|7BPWR|8CGEN|9DMG|aRCR
63	11316 15221	4	   	265.95	DCR|4VULN|2DUR|1DMG|2CDMG	1DMSP|2457VULN|37CDMG|67DUR|7BPWR|8ERES|9DMG|aRCR
64	51316 15221	4	   	265.95	DCR|4VULN|2DUR|1DMG|2CDMG	1457VULN|2RCVC|37CDMG|67DUR|7BPWR|8ERES|9DMG|aRCR
65	11266 31135	8	   	265.87	DCR|4VULN|1TLV|1DMG|2LIT|1AART	1DMSP|2458VULN|34LIT|4BPWR|6RCR|7DMG|9AART|aTLV
66	11266 31235	7	   	265.87	DCR|4VULN|1TLV|1DMG|2LIT|1AART	1DMSP|2458VULN|34LIT|4BPWR|6RCR|7DMG|9AART|aTLV
67	33114 22433	5	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1RMIN|2DMG|3ASPD|4578VULN|6DUR|9TLV|aRCR
68	51512 12362	1	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1237VULN|23BPWR|4LHND|5DUR|6DMG|8ASPD|9TLV|aRCR
69	51522 12262	1	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1237VULN|23BPWR|4FEWX|5DUR|6DMG|8ASPD|9TLV|aRCR
70	54112 51233	8	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1245VULN|3ASPD|6DUR|7RMIN|8DMG|9TLV|aRCR
71	54131 12433	5	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1278VULN|3ASPD|4MLV|5DUR|6DMG|9TLV|aRCR
72	54132 12433	4	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1278VULN|3ASPD|4MLV|5DUR|6DMG|9TLV|aRCR
73	13262 26621	9	   	265.58	DCR|4VULN|2TLV|1DMG|2ASPD	1DMSP|26TLV|38ASPD|4DMG|569aVULN|6BPWR|7RCR
74	33114 26262	8	   	265.58	DCR|4VULN|2TLV|1DMG|2ASPD	1RMIN|2DMG|36ASPD|456aVULN|6BPWR|7RCR|89TLV
75	55231 12111	7	   	265.45	DCR|3VULN|3DMG|1DUR|1CDMG	158VULN|2LIT|3CDMG|469DMG|7RCR|aDUR
76	55231 12235	8	   	265.37	DCR|3VULN|3DMG|2CDMG|1AART	15aVULN|2LIT|3aCDMG|46aDMG|7RCR|8AART|9DMSP|aBPWR
77	55231 12262	8	   	265.37	DCR|3VULN|3DMG|2CDMG|1AART	159VULN|2LIT|39CDMG|469DMG|7RCR|8AART|9BPWR|aRCVC
78	55231 12263	8	   	265.37	DCR|3VULN|3DMG|2CDMG|1AART	159VULN|2LIT|39CDMG|469DMG|7RCR|8AART|9BPWR|aMLV
79	51152 23632	1	   	265.35	DCR|4VULN|3DUR|1TLV	1247VULN|27BPWR|357DUR|67CGEN|8RCR|9TLV|aERES
80	55231 12261	8	   	265.27	DCR|3VULN|3DMG|2CDMG|1AART	159VULN|2LIT|39CDMG|469DMG|7RCR|8AART|9BPWR|aERES
81	11111 35661	10	   	265.24	DCR|4VULN|2DMG|2ASPD|1DUR	1DMSP|2489VULN|39ASPD|5BELT|6RCR|79DMG|9BPWR|aDUR
82	11112 46161	10	   	265.24	DCR|4VULN|2DMG|2ASPD|1DUR	1DMSP|2459VULN|39ASPD|69DMG|7BELT|8RCR|9BPWR|aDUR
83	54111 12632	3	   	265.14	DCR|4VULN|2DMG|2ASPD|1DUR	129aVULN|39ASPD|4BELT|5ERES|6DUR|7RCR|89DMG|9BPWR
84	51124 52321	1	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	12aVULN|2BPWR|39DUR|4LHND|5TLV|6DMG|7CDMG|8RCR
85	11266 31125	9	   	264.60	DCR|5VULN|1DMG|1DUR|2LIT	1DMSP|24589VULN|34LIT|4BPWR|6RCR|7DMG|aDUR
86	62365 13121	9	   	264.09	DCR|5VULN|1TLV|1DUR	1ASPD|2DUR|3LHND|4589aVULN|6RCR|7TLV
87	43846 24411	1	   	264.05	DCR|3VULN|3DUR|2DMG	1MBVNT|238VULN|38BPWR|489DUR|5ASPD|6FEWX|78DMG|aRCR
88	51214 12632	1	 * 	263.57	DCR|4VULN|2DMG|2DUR	129aVULN|29BPWR|3ERES|4BELT|5RMIN|69DUR|7RCR|89DMG
89	54216 31121	6	   	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	1245VULN|3LIT|6RCR|7CDMG|8FEWX|9DMG|aTLV
90	54216 31221	6	   	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	1245VULN|3LIT|6RCR|7CDMG|8RCVC|9DMG|aTLV
91	55116 31121	6	   	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	1345VULN|2LIT|6RCR|7CDMG|8FEWX|9DMG|aTLV
92	55116 31221	6	   	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	1345VULN|2LIT|6RCR|7CDMG|8RCVC|9DMG|aTLV
93	54113 31521	7	   	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	1247VULN|3ASPD|5CGEN|6CDMG|8TLV|9DMG|aRCR
94	54312 21521	7	   	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	1247VULN|3CDMG|5CGEN|6ASPD|8TLV|9DMG|aRCR
95	54112 32322	5	   	263.11	DCR|4VULN|1TLV|1DMG|1CDMG	1245VULN|3ASPD|6TBNT|7CDMG|8RCR|9TLV|aDMG
96	11315 25231	9	   	262.54	DCR|4VULN|2DMG|2ASPD|1CDMG	1DMSP|2479VULN|3CDMG|57DMG|67ASPD|7BPWR|8LEGI|aRCR
97	51315 25231	9	   	262.54	DCR|4VULN|2DMG|2ASPD|1CDMG	1479VULN|2RCVC|3CDMG|57DMG|67ASPD|7BPWR|8LEGI|aRCR
98	33232 61514	10	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1RMIN|2aDMG|3LIT|4aERES|5TLV|6DUR|78aVULN|9RCR|aBPWR
