0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62333 31847	7	 * 	286.77	DCR|3VULN|3DUR|2DMG|2TLV	1aTLV|2MBVNT|3RCVC|469DUR|56aVULN|6aBPWR|7aDMG|8RCR
15	61312 23635	2	   	265.90	DCR|4VULN|1TLV|1DUR|2LIT|1ASPD	1TLV|2346VULN|57LIT|8DUR|9ASPD|aRCR
16	63312 23635	1	   	265.90	DCR|4VULN|1TLV|1DUR|2LIT|1ASPD	1TLV|2346VULN|57LIT|8DUR|9ASPD|aRCR
17	62333 33274	10	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|2MBVNT|3RCVC|46DUR|567VULN|6BPWR|8CDMG|9RCR|aDMG
18	62333 33457	10	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|2MBVNT|3RCVC|46DUR|567VULN|6BPWR|8DMG|9RCR|aCDMG
19	62333 31843	7	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	1TLV|2MBVNT|3RCVC|469DUR|56aVULN|6BPWR|7DMG|8RCR
20	62421 47434	7	   	264.57	DCR|3VULN|2DMG|2TLV|1CDMG	18TLV|2MBVNT|3LIT|48DMG|5CDMG|6FEWX|789VULN|8BPWR|aRCR
21	66133 23121	7	 * 	263.39	DCR|5VULN|2TLV|1DUR	16TLV|2RCVC|3LWND|4DUR|5689aVULN|6BPWR|7RCR
22	66133 23521	8	   	263.39	DCR|5VULN|2TLV|1DUR	16TLV|2RCVC|3LWND|4DUR|5689aVULN|6BPWR|7RCR
23	61351 32533	2	   	263.18	DCR|3VULN|2DMG|2TLV|1ASPD|1AART	19TLV|239VULN|4TBNT|5AART|6BBNT|79DMG|8RCR|9BPWR|aASPD
24	61361 32533	2	   	263.18	DCR|3VULN|2DMG|2TLV|1ASPD|1AART	19TLV|239VULN|4BBNT|5AART|6TBNT|79DMG|8RCR|9BPWR|aASPD
25	63351 32533	1	   	263.18	DCR|3VULN|2DMG|2TLV|1ASPD|1AART	19TLV|239VULN|4TBNT|5AART|6BBNT|79DMG|8RCR|9BPWR|aASPD
26	63361 32533	1	   	263.18	DCR|3VULN|2DMG|2TLV|1ASPD|1AART	19TLV|239VULN|4BBNT|5AART|6TBNT|79DMG|8RCR|9BPWR|aASPD
27	61312 22535	2	   	263.16	DCR|4VULN|1DMG|1TLV|1ASPD	1TLV|2346VULN|5LIT|7DMG|8RMIN|9ASPD|aRCR
28	63312 22535	1	   	263.16	DCR|4VULN|1DMG|1TLV|1ASPD	1TLV|2346VULN|5LIT|7DMG|8RMIN|9ASPD|aRCR
29	61312 13365	2	   	262.83	DCR|4VULN|2DUR|1TLV|1NUKE	1TLV|2348VULN|5LIT|69DUR|7NUKE|aRCR
30	63312 13365	1	   	262.83	DCR|4VULN|2DUR|1TLV|1NUKE	1TLV|2348VULN|5LIT|69DUR|7NUKE|aRCR
31	61312 36533	2	   	262.00	DCR|4VULN|1TLV|1DUR|1CDMG	1TLV|2347VULN|5LIT|6CDMG|8DUR|9LWND|aRCR
32	63312 36533	1	   	262.00	DCR|4VULN|1TLV|1DUR|1CDMG	1TLV|2347VULN|5LIT|6CDMG|8DUR|9LWND|aRCR
33	61312 36253	2	   	261.90	DCR|4VULN|1DUR|1TLV|1CDMG	1TLV|2347VULN|5LIT|6CDMG|8LEGI|9DUR|aRCR
34	63312 36253	1	   	261.90	DCR|4VULN|1DUR|1TLV|1CDMG	1TLV|2347VULN|5LIT|6CDMG|8LEGI|9DUR|aRCR
35	61226 23432	3	 * 	261.00	ACR|5VULN|1DMG|1TLV|1DUR|1CDMG	1TLV|25789VULN|3RCR|4CDMG|6DMG|aDUR
36	12421 83314	6	   	260.86	DCR|3VULN|2DMG|1TLV|1CDMG	19MLV|2MBVNT|3LIT|49DMG|5CDMG|6TLV|789VULN|9BPWR|aRCR
37	32322 23356	1	   	260.09	DCR|2VULN|2DMG|2DUR|2TLV|1CDMG	1aDUST|25TLV|3aDUR|4CDMG|69DMG|7aVULN|8RCR|aBPWR
38	62331 43455	6	 * 	259.76	DCR|2VULN|3DUR|2DMG|3TLV	156TLV|2MBVNT|3RCVC|456DUR|56aBPWR|7aVULN|8aDMG|9RCR
39	62331 43735	7	   	259.76	DCR|2VULN|3DUR|2DMG|3TLV	156TLV|2MBVNT|3RCVC|456DUR|56aBPWR|7RCR|8aVULN|9aDMG
40	61313 33125	2	   	259.48	DCR|5VULN|1TLV|1DUR	1TLV|23489VULN|5DUST|6LWND|7DUR|aRCR
41	61313 53125	2	   	259.48	DCR|5VULN|1TLV|1DUR	1TLV|23489VULN|5DUST|6BEXP|7DUR|aRCR
42	63313 33125	1	   	259.48	DCR|5VULN|1TLV|1DUR	1TLV|23489VULN|5DUST|6LWND|7DUR|aRCR
43	63313 53125	1	   	259.48	DCR|5VULN|1TLV|1DUR	1TLV|23489VULN|5DUST|6BEXP|7DUR|aRCR
44	62423 67122	10	   	259.32	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1TLV|2MBVNT|3LIT|4DMG|58aVULN|6DUR|7RCR|9CDMG
45	61343 12321	2	 * 	258.67	DCR|3VULN|2ASPD|1DMG|1TLV|1DUR	1TLV|23aVULN|4DMG|58ASPD|6DMSP|7RCR|9DUR
46	63343 12321	1	   	258.67	DCR|3VULN|2ASPD|1DMG|1TLV|1DUR	1TLV|23aVULN|4DMG|58ASPD|6DMSP|7RCR|9DUR
47	66133 23321	8	 * 	258.44	DCR|4VULN|2DUR|2TLV	16TLV|2RCVC|3LWND|48DUR|569aVULN|6BPWR|7RCR
48	66133 23351	9	   	258.44	DCR|4VULN|2DUR|2TLV	16TLV|2RCVC|3LWND|48DUR|569aVULN|6BPWR|7RCR
49	66133 23511	9	   	258.44	DCR|4VULN|2DUR|2TLV	16TLV|2RCVC|3LWND|49DUR|568aVULN|6BPWR|7RCR
50	62213 24374	8	   	258.34	DCR|4VULN|2DUR|2TLV	19TLV|2MBVNT|3RMIN|4ERES|589aVULN|6RCR|79DUR|9BPWR
51	62213 24874	7	   	258.34	DCR|4VULN|2DUR|2TLV	19TLV|2MBVNT|3RMIN|4ERES|589aVULN|6RCR|79DUR|9BPWR
52	61651 13121	6	   	258.34	DCR|4VULN|2DUR|2TLV	14TLV|289aVULN|37DUR|5LWND|6RCR
53	11312 52365	2	   	257.68	DCR|4VULN|2DUR|1ASPD	1MLV|2348VULN|5LIT|6ASPD|79DUR|aRCR
54	13312 52365	1	   	257.68	DCR|4VULN|2DUR|1ASPD	1MLV|2348VULN|5LIT|6ASPD|79DUR|aRCR
55	41312 52335	2	   	257.68	DCR|4VULN|2DUR|1ASPD	1CGEN|2348VULN|5LIT|6ASPD|79DUR|aRCR
56	43312 52335	1	   	257.68	DCR|4VULN|2DUR|1ASPD	1CGEN|2348VULN|5LIT|6ASPD|79DUR|aRCR
57	36212 22626	4	 * 	257.11	DCR|3VULN|2DUR|2ASPD|1DMG	1DUST|2aDUR|3BEXP|4LHND|59aVULN|6RCR|7DMG|8aASPD|aBPWR
58	41314 32532	2	   	256.88	DCR|5VULN|1TLV|1CDMG|1NUKE	1CGEN|2349aVULN|5TLV|6NUKE|7RCR|8CDMG
59	43314 32532	1	   	256.88	DCR|5VULN|1TLV|1CDMG|1NUKE	1CGEN|2349aVULN|5TLV|6NUKE|7RCR|8CDMG
