0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33236 23134	8	 * 	305.70	DCR|4VULN|3DUR|2DMG|1TLV	168aVULN|24aDUR|3BEXP|5TLV|7RCR|9aDMG|aBPWR
18	33262 11245	4	   	278.90	DCR|3VULN|3DMG|2DUR	18aVULN|2aDUR|3BEXP|4CGEN|59aDMG|6AART|7RCR|aBPWR
19	33112 11245	3	   	278.80	DCR|3VULN|3DMG|2DUR	18aVULN|2aDUR|3ERES|4BEXP|59aDMG|6AART|7RCR|aBPWR
20	33152 11245	3	   	278.80	DCR|3VULN|3DMG|2DUR	18aVULN|2aDUR|3ERES|4FEWX|59aDMG|6AART|7RCR|aBPWR
21	33312 11245	2	   	278.80	DCR|3VULN|3DMG|2DUR	18aVULN|2aDUR|3ERES|4BEXP|59aDMG|6AART|7RCR|aBPWR
22	33352 11245	2	   	278.80	DCR|3VULN|3DMG|2DUR	18aVULN|2aDUR|3ERES|4FEWX|59aDMG|6AART|7RCR|aBPWR
23	36312 11245	1	   	278.80	DCR|3VULN|3DMG|2DUR	18aVULN|2aDUR|3ERES|4BEXP|59aDMG|6AART|7RCR|aBPWR
24	33112 11245	4	   	278.70	DCR|3VULN|3DMG|2DUR	18aVULN|2aDUR|3ERES|4DUST|59aDMG|6AART|7RCR|aBPWR
25	33551 22131	8	   	278.18	DCR|3VULN|2DMG|2ASPD|1DUR	17aVULN|2DUR|3aASPD|4AART|5LWND|6RCR|8LIT|9aDMG|aBPWR
26	33551 22631	7	   	278.18	DCR|3VULN|2DMG|2ASPD|1DUR	17aVULN|2DUR|3aASPD|4AART|5LWND|6RCR|8LIT|9aDMG|aBPWR
27	33555 22131	8	   	278.18	DCR|3VULN|2DMG|2ASPD|1DUR	17aVULN|2DUR|3aASPD|4AART|5BEXP|6RCR|8LIT|9aDMG|aBPWR
28	33632 16631	4	   	278.18	DCR|3VULN|2DMG|2ASPD|1DUR	13aVULN|2DUR|4AART|5aASPD|6LHND|7RCR|8LIT|9aDMG|aBPWR
29	34222 26631	1	   	278.18	DCR|3VULN|2DMG|2ASPD|1DUR	13aVULN|2AART|4LWND|5aASPD|6DUR|7RCR|8LIT|9aDMG|aBPWR
30	33362 23663	1	   	278.08	DCR|3VULN|2DMG|2ASPD|1DUR	148VULN|2TBNT|38ASPD|5DUR|6LIT|78DMG|8BPWR|9AART|aRCR
31	16222 23436	10	   	276.50	DCR|4VULN|2DMG|1TLV|2LIT	17LIT|27DMG|3RCVC|4RPLT|567aVULN|7BPWR|8TLV|9RCR
32	33221 16365	2	   	276.22	DCR|4VULN|2DMG|2DUR	1678VULN|2aDUR|37DMG|4RPLT|57LHND|7BPWR|9RCR
33	33113 23144	8	   	275.92	DCR|4VULN|2DMG|2DUR	168aVULN|2aDUR|3ERES|45DUST|7RCR|9aDMG|aBPWR
34	33621 63342	5	   	275.92	DCR|3VULN|2DUR|2TLV|1DMG|2CDMG	137VULN|27DUR|48CDMG|5LWND|67TLV|7BPWR|9RCR|aDMG
35	33623 63342	4	   	275.92	DCR|3VULN|2DUR|2TLV|1DMG|2CDMG	137VULN|27DUR|48CDMG|5LWND|67TLV|7BPWR|9RCR|aDMG
36	33623 63342	5	   	275.92	DCR|3VULN|2DUR|2TLV|1DMG|2CDMG	137VULN|27DUR|48CDMG|5LHND|67TLV|7BPWR|9RCR|aDMG
37	33342 43433	1	   	275.83	DCR|5VULN|2DMG|1ASPD	1589aVULN|2TBNT|3ASPD|49CGEN|6RCR|79DMG|9BPWR
