0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12323 51416	4	 * 	275.29	DCR|4VULN|2DMG|1TLV|1DUR	1aLHND|2MLV|347aVULN|5TLV|6RCR|8DUR|9aDMG|aBPWR
37	15321 56322	7	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	15LHND|2DMG|3DUR|469VULN|7TLV|8CDMG|aRCR
38	23156 16322	7	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	12FEWX|359VULN|4TLV|6DMG|7DUR|8CDMG|aRCR
39	61151 41322	4	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1RCVC|2DUR|379VULN|4TLV|5DMG|6LWND|8CDMG|aRCR
40	11326 51411	5	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|2CGEN|357VULN|4TLV|6RCR|8DUR|9DMG|aCDMG
41	12323 51411	4	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|2MLV|347VULN|5TLV|6RCR|8DUR|9DMG|aCDMG
42	13633 16422	1	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|2CDMG|379VULN|4DMG|5TLV|6RCVC|8DUR|aRCR
43	13633 41522	1	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	17LHND|2CDMG|389VULN|4DMG|5TLV|6DUR|aRCR
44	23633 12422	1	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1FEWX|2CDMG|379VULN|4DMG|5TLV|6RCVC|8DUR|aRCR
45	13122 35142	1	   	249.51	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1LHND|28CDMG|3MLV|4BEXP|58VULN|6TLV|78DMG|8BPWR|9DUR|aRCR
46	13222 35142	1	   	249.51	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1LHND|28CDMG|3CGEN|4BEXP|58VULN|6TLV|78DMG|8BPWR|9DUR|aRCR
47	43122 35142	1	   	249.51	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1LWND|28CDMG|3MLV|4BEXP|58VULN|6TLV|78DMG|8BPWR|9DUR|aRCR
48	43222 35142	1	   	249.51	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1LWND|28CDMG|3CGEN|4BEXP|58VULN|6TLV|78DMG|8BPWR|9DUR|aRCR
49	13322 35112	1	   	249.41	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1LHND|28CDMG|3DUR|4ERES|58VULN|6TLV|78DMG|8BPWR|9BEXP|aRCR
50	13322 35131	1	   	249.41	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1LHND|28CDMG|3DUR|4ERES|58VULN|6TLV|78DMG|8BPWR|9RCR|aBEXP
51	13322 35132	1	   	249.41	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1aLHND|28CDMG|3DUR|4ERES|58VULN|6TLV|78DMG|8BPWR|9RCR
52	13322 35135	1	   	249.41	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1LHND|28CDMG|3DUR|4ERES|58VULN|6TLV|78DMG|8BPWR|9RCR|aMLV
53	13322 35136	1	   	249.41	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1LHND|28CDMG|3DUR|4ERES|58VULN|6TLV|78DMG|8BPWR|9RCR|aFEWX
54	43322 35112	1	   	249.41	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1LWND|28CDMG|3DUR|4ERES|58VULN|6TLV|78DMG|8BPWR|9BEXP|aRCR
55	43322 35122	1	   	249.41	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	19LWND|28CDMG|3DUR|4ERES|58VULN|6TLV|78DMG|8BPWR|aRCR
56	15322 45211	8	 * 	249.33	DCR|2VULN|3DUR|1TLV|1DMG|1AART	16LHND|2DMG|39aDUR|46VULN|5AART|6BPWR|7RCR|8TLV
57	13322 35133	1	   	249.31	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1LHND|28CDMG|3DUR|4ERES|58VULN|6TLV|78DMG|8BPWR|9RCR|aLEGI
58	13322 35134	1	   	249.31	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1LHND|28CDMG|3DUR|4ERES|58VULN|6TLV|78DMG|8BPWR|9RCR|aBBNT
59	43322 35132	1	   	249.31	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1LWND|28CDMG|3DUR|49ERES|58VULN|6TLV|78DMG|8BPWR|aRCR
60	13633 45122	1	   	249.31	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1LHND|28CDMG|39VULN|47DMG|5TLV|6DUR|aRCR
61	23633 45122	1	   	249.31	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1FEWX|28CDMG|39VULN|47DMG|5TLV|6DUR|aRCR
62	31342 12443	9	   	249.13	DCR|2VULN|3DUR|1TLV|1DMG|1AART	1ERES|237DUR|4DMG|58VULN|6TLV|9RCR|aAART
63	11333 51416	5	   	248.99	DCR|4VULN|2DMG|1DUR	1aLHND|2CGEN|357aVULN|4ERES|6RCR|8DUR|9aDMG|aBPWR
64	15322 51251	10	   	247.31	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1LHND|27DMG|3DUR|4aVULN|5AART|6RCR|8TLV|9ASPD
65	15322 53211	10	   	247.31	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1LHND|29DMG|3DUR|4aVULN|5AART|6RCR|7ASPD|8TLV
66	15322 53216	9	   	247.31	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1LHND|29DMG|3DUR|4aVULN|5AART|6RCR|7ASPD|8TLV
67	15333 22246	5	 * 	246.61	DCR|2VULN|3DMG|3DUR	1LHND|246DMG|368DUR|5LEGI|6BPWR|79VULN|aRCR
68	13632 65132	1	   	246.31	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG	1LHND|27CDMG|35VULN|4DMG|68DUR|9TLV|aRCR
69	32331 83717	6	   	246.31	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG	1ERES|2MBVNT|39DUR|4DMG|5CGEN|69VULN|7TLV|89CDMG|9BPWR|aRCR
70	15322 45211	10	   	246.21	DCR|3VULN|1TLV|1DMG|1DUR|1AART	16LHND|2DMG|3DUR|46aVULN|5AART|6BPWR|7RCR|8TLV|9MLV
71	15322 45212	9	   	246.21	DCR|3VULN|1TLV|1DMG|1DUR|1AART	16LHND|2DMG|3DUR|46aVULN|5AART|6BPWR|7RCR|8TLV|9MLV
72	15322 45232	9	   	246.21	DCR|3VULN|1TLV|1DMG|1DUR|1AART	16LHND|2DMG|3DUR|46aVULN|5AART|6BPWR|7RCR|8TLV|9BELT
73	15322 45222	8	   	246.11	DCR|3VULN|1TLV|1DMG|1DUR|1AART	16LHND|2DMG|3DUR|46aVULN|5AART|6BPWR|7RCR|8TLV|9LEGI
74	12323 51415	4	   	246.11	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1LHND|2MLV|347VULN|5TLV|6RCR|8DUR|9DMG|aAART
75	34112 66133	9	 * 	245.52	DCR|4VULN|2TLV|1DUR	17ERES|25ZMB|3578VULN|4DLOT|57BPWR|67TLV|9DUR|aRCR
76	32328 27182	9	   	245.32	DCR|4VULN|2TLV|1DUR	169ERES|2MBVNT|3DUR|4589VULN|79TLV|9BPWR|aRCR
