0	Index      	Bounty	 *	Score 	Summary	Detail	
1	64152 43421	1	 * 	291.30	DCR|5VULN|3DUR|2CDMG	1358aVULN|2MBVNT|48aDUR|6RCR|7RMIN|8aBPWR|9aCDMG
13	64152 43434	1	   	271.34	DCR|5VULN|3DUR	1358aVULN|2MBVNT|48aDUR|6RCR|7RMIN|8aBPWR|9aLWND
14	61132 32436	9	   	271.30	DCR|4VULN|2DMG|1TLV|1AART	1569VULN|2FEWX|39LWND|4AART|7RCR|89DMG|9BPWR|aTLV
15	62132 32436	9	   	271.30	DCR|4VULN|2DMG|1TLV|1AART	1569VULN|2BEXP|39LWND|4AART|7RCR|89DMG|9BPWR|aTLV
16	41223 32513	10	   	271.10	DCR|4VULN|2DMG|1TLV|1AART	1TLV|2689VULN|3LWND|4aDMG|5AART|7RCR
17	41633 32513	10	   	271.10	DCR|4VULN|2DMG|1TLV|1AART	1TLV|2689VULN|3aDMG|4LHND|5AART|7RCR
18	61322 31452	6	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1689VULN|2FEWX|38ERES|48DMG|5AART|7RCR|8BPWR|aDUR
19	62322 31452	6	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1689VULN|2BEXP|38ERES|48DMG|5AART|7RCR|8BPWR|aDUR
20	41122 32513	10	   	271.00	DCR|4VULN|2DMG|1TLV|1AART	1TLV|2689VULN|3DUST|4aDMG|5AART|7RCR
21	31533 41126	10	   	270.91	DCR|4VULN|3DMG|1AART	189LHND|2FEWX|389aVULN|4AART|589DMG|6RCR|7RPLT|89BPWR
22	32533 41122	10	   	270.91	DCR|4VULN|3DMG|1AART	189LHND|2BEXP|389aVULN|4AART|589DMG|6RCR|7RPLT|89BPWR
23	62133 43432	9	   	270.91	DCR|4VULN|3DMG|1AART	179aVULN|2aBEXP|39aLWND|4AART|589DMG|6RCR|9aBPWR
24	31533 43132	9	   	270.81	DCR|4VULN|3DMG|1AART	19aLHND|2FEWX|379aVULN|4AART|59aDMG|6RCR|8LEGI|9aBPWR
25	32533 43132	9	   	270.81	DCR|4VULN|3DMG|1AART	19aLHND|2BEXP|379aVULN|4AART|59aDMG|6RCR|8LEGI|9aBPWR
26	65223 43132	9	   	270.81	DCR|4VULN|3DMG|1AART	179aVULN|2LHND|3AART|49aFEWX|59aDMG|6RCR|8LEGI|9aBPWR
27	61133 43433	9	   	270.71	DCR|4VULN|3DMG|1AART	179aVULN|2FEWX|39LWND|4AART|589DMG|6RCR|9BPWR
28	61152 16133	2	 * 	269.83	DCR|3VULN|2DMG|2DUR|1TLV	139VULN|29FEWX|48DMG|5LHND|6RCR|79DUR|9BPWR|aTLV
29	61531 16133	5	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	139VULN|29FEWX|4LHND|58DMG|6RCR|79DUR|9BPWR|aTLV
30	64122 32236	9	   	269.77	DCR|3VULN|2DMG|2ASPD|1TLV|1AART	169VULN|2RMIN|3DUST|49DMG|5AART|7RCR|89ASPD|9BPWR|aTLV
31	41223 32512	9	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1TLV|2689VULN|3LWND|4DMG|5AART|7RCR|aDUR
32	41223 32516	10	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1TLV|2689VULN|3LWND|4DMG|5AART|7RCR|aDUR
33	41223 32552	8	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1TLV|2689VULN|3LWND|4DMG|5AART|7RCR|aDUR
34	41633 32512	9	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1TLV|2689VULN|3DMG|4LHND|5AART|7RCR|aDUR
35	41142 13633	9	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	1TLV|289VULN|3DUST|4ZMB|58DUR|6CGEN|78DMG|8BPWR|aRCR
36	41122 32512	9	   	269.66	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1TLV|2689VULN|3DUST|4DMG|5AART|7RCR|aDUR
37	41122 32516	10	   	269.66	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1TLV|2689VULN|3DUST|4DMG|5AART|7RCR|aDUR
38	41122 32536	10	   	269.66	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1TLV|268aVULN|3DUST|4DMG|5AART|7RCR|9DUR
39	41122 32552	8	   	269.66	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1TLV|2689VULN|3DUST|4DMG|5AART|7RCR|aDUR
40	41641 11321	9	 * 	269.60	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	1TLV|28VULN|35DMG|47aDUR|6CDMG|9RCR
41	41641 11322	10	   	269.60	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	1TLV|28VULN|35DMG|47aDUR|6CDMG|9RCR
42	64122 32234	10	 * 	269.18	DCR|3VULN|3DMG|2ASPD|1AART	169VULN|2RMIN|3DUST|49aDMG|5AART|7RCR|89ASPD|9BPWR
43	41223 31452	6	 * 	268.62	DCR|3VULN|2DMG|2TLV|1DUR|1AART	18TLV|269VULN|38LWND|48DMG|5AART|7RCR|8BPWR|aDUR
44	41223 32452	7	   	268.62	DCR|3VULN|2DMG|2TLV|1DUR|1AART	18TLV|269VULN|38LWND|48DMG|5AART|7RCR|8BPWR|aDUR
45	41122 31452	6	   	268.42	DCR|3VULN|2DMG|2TLV|1DUR|1AART	18TLV|269VULN|38DUST|48DMG|5AART|7RCR|8BPWR|aDUR
46	41122 32452	7	   	268.42	DCR|3VULN|2DMG|2TLV|1DUR|1AART	18TLV|269VULN|38DUST|48DMG|5AART|7RCR|8BPWR|aDUR
47	41642 32313	10	   	268.42	DCR|3VULN|2DMG|2TLV|1DUR|1AART	18TLV|269VULN|3aDMG|4DUR|5AART|7RCR
48	64152 43422	1	   	268.27	DCR|4VULN|2DUR|1TLV|1CDMG	1358VULN|2MBVNT|48DUR|6RCR|7RMIN|8BPWR|9CDMG|aTLV
49	64117 31331	1	   	268.17	DCR|4VULN|2DUR|1TLV|1CDMG	139aVULN|2MBVNT|4aERES|5TLV|6CDMG|7aDUR|8RCR|aBPWR
50	61121 12521	5	 * 	267.31	DCR|5VULN|1DMG|2CDMG	1478aVULN|2aFEWX|3LWND|5DMG|6RCR|9aCDMG|aBPWR
51	62121 12521	5	   	267.31	DCR|5VULN|1DMG|2CDMG	1478aVULN|2aBEXP|3LWND|5DMG|6RCR|9aCDMG|aBPWR
52	42114 32324	8	 * 	267.27	DCR|3VULN|2DMG|2CDMG|1TLV	1TLV|2aCDMG|3FEWX|4LHND|59aVULN|6LIT|7aDMG|8RCR|aBPWR
53	21222 62624	5	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	18CGEN|278VULN|3LWND|4aDMG|58DUR|6RCR|8BPWR|9CDMG
54	64133 17331	1	   	267.17	DCR|3VULN|2DMG|2CDMG|1DUR	13aVULN|2MBVNT|4LIT|5aDMG|6DUR|7BEXP|8RCR|9aCDMG|aBPWR
55	64133 21331	1	   	267.17	DCR|3VULN|2DMG|2CDMG|1DUR	13aVULN|2MBVNT|4LIT|5aDMG|6BEXP|7DUR|8RCR|9aCDMG|aBPWR
56	64161 21142	1	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	139VULN|2MBVNT|49DMG|5CDMG|6ZMB|79DUR|8TBNT|9BPWR|aRCR
57	41222 62633	5	   	266.96	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	18TLV|278VULN|39LWND|4DMG|58DUR|6RCR|8BPWR|aASPD
58	21222 11653	5	   	266.96	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1CGEN|28aVULN|3LWND|4DMG|58DUR|6ASPD|78TLV|8BPWR|9RCR
59	21632 11653	5	   	266.96	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1CGEN|28aVULN|3DMG|4LHND|58DUR|6ASPD|78TLV|8BPWR|9RCR
60	21126 11653	5	   	266.86	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1CGEN|28aVULN|3DUST|4DMG|58DUR|6ASPD|78TLV|8BPWR|9RCR
61	21351 42331	3	 * 	266.86	DCR|3VULN|2DUR|1DMG|2CDMG|1ASPD	1CGEN|29aVULN|3ERES|4DMG|5aCDMG|6RCR|7ASPD|8aDUR|aBPWR
62	21411 42331	2	   	266.86	DCR|3VULN|2DUR|1DMG|2CDMG|1ASPD	1CGEN|29aVULN|3DMG|4ERES|5aCDMG|6RCR|7ASPD|8aDUR|aBPWR
63	21611 42331	3	   	266.86	DCR|3VULN|2DUR|1DMG|2CDMG|1ASPD	1CGEN|29aVULN|3DMG|4ERES|5aCDMG|6RCR|7ASPD|8aDUR|aBPWR
64	21661 42331	4	   	266.86	DCR|3VULN|2DUR|1DMG|2CDMG|1ASPD	1CGEN|29aVULN|3DMG|4ERES|5aCDMG|6RCR|7ASPD|8aDUR|aBPWR
65	15532 32431	10	   	266.05	DCR|4VULN|2DMG|1ASPD|1AART	19BEXP|2LWND|3569VULN|4AART|7RCR|89DMG|9BPWR|aASPD
66	61132 32431	10	   	266.05	DCR|4VULN|2DMG|1ASPD|1AART	1569VULN|2FEWX|39LWND|4AART|7RCR|89DMG|9BPWR|aASPD
67	62132 32431	10	   	266.05	DCR|4VULN|2DMG|1ASPD|1AART	1569VULN|2BEXP|39LWND|4AART|7RCR|89DMG|9BPWR|aASPD
68	41641 11323	10	   	266.04	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	1TLV|28VULN|35DMG|47DUR|6CDMG|9RCR|aAART
69	41211 13524	3	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|278VULN|3LWND|45DUR|6RCR|9CDMG|aDMG
70	41341 13522	5	   	265.60	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|278VULN|3ERES|4aDUR|5DMG|6RCR|9CDMG
71	62121 11663	5	 * 	265.45	DCR|4VULN|2DMG|3TLV	148aVULN|289BEXP|3LWND|5aDMG|6RCR|78aTLV|8aBPWR
72	41642 32312	9	   	265.42	DCR|3VULN|2DUR|2TLV|1DMG|1AART	18TLV|269VULN|3DMG|4aDUR|5AART|7RCR
73	41411 12232	6	   	265.35	DCR|4VULN|2DMG|2TLV	19TLV|2789VULN|3RPLT|49DMG|5RCVC|6RMIN|9BPWR|aRCR
74	61121 12441	5	 * 	265.35	DCR|4VULN|2DMG|2CDMG	147aVULN|2aFEWX|3LWND|59DMG|6RCR|8aCDMG|aBPWR
75	62121 12441	5	   	265.35	DCR|4VULN|2DMG|2CDMG	147aVULN|2aBEXP|3LWND|59DMG|6RCR|8aCDMG|aBPWR
76	61315 12522	1	   	265.25	DCR|4VULN|3DUR|1CDMG	1578VULN|2BEXP|3ERES|45aDUR|5BPWR|6RCR|9CDMG
77	61315 12522	2	   	265.25	DCR|4VULN|3DUR|1CDMG	1578VULN|2FEWX|3ERES|45aDUR|5BPWR|6RCR|9CDMG
78	61315 12522	3	   	265.25	DCR|4VULN|3DUR|1CDMG	1578VULN|2FEWX|3ERES|45aDUR|5BPWR|6RCR|9CDMG
79	62315 12522	2	   	265.25	DCR|4VULN|3DUR|1CDMG	1578VULN|2BEXP|3ERES|45aDUR|5BPWR|6RCR|9CDMG
80	62315 12522	3	   	265.25	DCR|4VULN|3DUR|1CDMG	1578VULN|2BEXP|3ERES|45aDUR|5BPWR|6RCR|9CDMG
81	41223 32412	9	   	264.71	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1TLV|269VULN|3LWND|48DMG|5AART|7RCR|aDUR
82	41223 32416	10	   	264.71	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1TLV|269VULN|3LWND|48DMG|5AART|7RCR|aDUR
83	41223 32452	8	   	264.71	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1TLV|269VULN|3LWND|48DMG|5AART|7RCR|aDUR
84	41633 32412	9	   	264.71	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1TLV|269VULN|38DMG|4LHND|5AART|7RCR|aDUR
85	41122 32412	9	   	264.61	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1TLV|269VULN|3DUST|48DMG|5AART|7RCR|aDUR
86	41122 32416	10	   	264.61	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1TLV|269VULN|3DUST|48DMG|5AART|7RCR|aDUR
87	41122 32436	10	   	264.61	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1TLV|26aVULN|3DUST|48DMG|5AART|7RCR|9DUR
88	41122 32452	8	   	264.61	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1TLV|269VULN|3DUST|48DMG|5AART|7RCR|aDUR
89	41122 32533	10	   	264.61	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1TLV|268VULN|3DUST|4aDMG|5AART|7RCR|9DUR
90	61133 41122	10	   	264.51	DCR|3VULN|3DMG|1DUR|1AART	189VULN|2FEWX|389LWND|4AART|589DMG|6RCR|7RPLT|89BPWR|aDUR
91	61133 41126	9	   	264.51	DCR|3VULN|3DMG|1DUR|1AART	189VULN|2FEWX|389LWND|4AART|589DMG|6RCR|7RPLT|89BPWR|aDUR
92	62133 41122	10	   	264.51	DCR|3VULN|3DMG|1DUR|1AART	189VULN|2BEXP|389LWND|4AART|589DMG|6RCR|7RPLT|89BPWR|aDUR
93	62133 41126	9	   	264.51	DCR|3VULN|3DMG|1DUR|1AART	189VULN|2BEXP|389LWND|4AART|589DMG|6RCR|7RPLT|89BPWR|aDUR
94	61132 32356	10	   	264.48	DCR|4VULN|2DUR|1TLV|1AART	156aVULN|2aFEWX|3LWND|4AART|7RCR|8TLV|9aDUR|aBPWR
95	62132 32356	10	   	264.48	DCR|4VULN|2DUR|1TLV|1AART	156aVULN|2aBEXP|3LWND|4AART|7RCR|8TLV|9aDUR|aBPWR
96	61133 43433	10	   	264.31	DCR|3VULN|3DMG|1DUR|1AART	179VULN|2FEWX|39LWND|4AART|589DMG|6RCR|9BPWR|aDUR
97	62133 43433	10	   	264.31	DCR|3VULN|3DMG|1DUR|1AART	179VULN|2BEXP|39LWND|4AART|589DMG|6RCR|9BPWR|aDUR
98	41222 62622	5	   	264.17	DCR|3VULN|2DUR|2TLV|1DMG	18TLV|278VULN|3LWND|4DMG|58DUR|6RCR|8BPWR|9DUST|aLIT
99	41223 32413	10	   	264.11	DCR|3VULN|3DMG|1TLV|1AART	1TLV|269VULN|3LWND|48aDMG|5AART|7RCR
100	41633 32413	10	   	264.11	DCR|3VULN|3DMG|1TLV|1AART	1TLV|269VULN|38aDMG|4LHND|5AART|7RCR
101	61241 12521	5	   	264.02	DCR|4VULN|1DMG|2CDMG|1DUR	178aVULN|2aFEWX|3DMSP|4DUR|5DMG|6RCR|9aCDMG|aBPWR
102	61541 12321	5	   	264.02	DCR|4VULN|1DMG|2CDMG|1DUR	137aVULN|28aFEWX|4DUR|5DMG|6RCR|9aCDMG|aBPWR
103	62241 12521	5	   	264.02	DCR|4VULN|1DMG|2CDMG|1DUR	178aVULN|2aBEXP|3DMSP|4DUR|5DMG|6RCR|9aCDMG|aBPWR
104	41122 32413	10	   	264.01	DCR|3VULN|3DMG|1TLV|1AART	1TLV|269VULN|3DUST|48aDMG|5AART|7RCR
105	41323 25331	1	 * 	263.72	DCR|4VULN|2TLV|2CDMG|1DUR	1aTLV|2aCDMG|3MBVNT|4DUR|5ERES|679aVULN|8RCR|aBPWR
106	42323 25331	2	   	263.72	DCR|4VULN|2TLV|2CDMG|1DUR	1aTLV|2aCDMG|3MBVNT|4DUR|5ERES|679aVULN|8RCR|aBPWR
107	61422 31431	6	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	168VULN|2FEWX|38CGEN|48DMG|5AART|7RCR|8BPWR|9aDUR
108	61422 32431	7	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	168VULN|2FEWX|38CGEN|48DMG|5AART|7RCR|8BPWR|9aDUR
109	62422 31431	6	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	168VULN|2BEXP|38CGEN|48DMG|5AART|7RCR|8BPWR|9aDUR
110	62422 32431	7	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	168VULN|2BEXP|38CGEN|48DMG|5AART|7RCR|8BPWR|9aDUR
111	41112 61324	1	   	263.16	DCR|2VULN|2DMG|2CDMG|1DUR|1TLV|2LIT	1TLV|2aCDMG|3DUR|49VULN|5aLIT|6RCR|7LHND|8aDMG|aBPWR
112	41112 62324	1	   	263.16	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|2LIT	1TLV|2aCDMG|3DUR|49VULN|5aLIT|6RCR|7BEXP|8aDMG|aBPWR
113	42112 61324	2	   	263.16	DCR|2VULN|2DMG|2CDMG|1DUR|1TLV|2LIT	1TLV|2aCDMG|3DUR|49VULN|5aLIT|6RCR|7LHND|8aDMG|aBPWR
114	42112 62324	2	   	263.16	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|2LIT	1TLV|2aCDMG|3DUR|49VULN|5aLIT|6RCR|7BEXP|8aDMG|aBPWR
115	61322 31431	6	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	168VULN|2FEWX|38ERES|48DMG|5AART|7RCR|8BPWR|9aDUR
116	62322 31431	6	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	168VULN|2BEXP|38ERES|48DMG|5AART|7RCR|8BPWR|9aDUR
117	64122 32231	10	 * 	263.04	DCR|3VULN|2DMG|3ASPD|1AART	169VULN|2RMIN|3DUST|49DMG|5AART|7RCR|89aASPD|9BPWR
118	61132 32436	10	   	262.82	DCR|4VULN|2DMG|2AART	1569VULN|2FEWX|39LWND|4aAART|7RCR|89DMG|9BPWR
119	62132 32436	10	   	262.82	DCR|4VULN|2DMG|2AART	1569VULN|2BEXP|39LWND|4aAART|7RCR|89DMG|9BPWR
120	41116 23215	1	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1TLV|2CDMG|3DUR|468VULN|5DMG|7ASPD|9RPLT|aRCR
121	41116 23232	1	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1TLV|2CDMG|3DUR|468VULN|5DMG|7ASPD|9LWND|aRCR
122	41116 23252	1	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1TLV|2CDMG|3DUR|468VULN|5DMG|7ASPD|9RCVC|aRCR
123	41442 33232	2	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1TLV|258VULN|3DMG|4DUR|6CDMG|7ASPD|9LWND|aRCR
124	41642 33232	4	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1TLV|258VULN|3DMG|4DUR|6CDMG|7ASPD|9LWND|aRCR
125	41642 33232	3	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1TLV|258VULN|3DMG|4DUR|6CDMG|7ASPD|9LWND|aRCR
126	42116 23215	2	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1TLV|2CDMG|3DUR|468VULN|5DMG|7ASPD|9RPLT|aRCR
127	42116 23232	2	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1TLV|2CDMG|3DUR|468VULN|5DMG|7ASPD|9LWND|aRCR
128	42116 23252	2	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1TLV|2CDMG|3DUR|468VULN|5DMG|7ASPD|9RCVC|aRCR
129	42616 23232	3	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1TLV|2CDMG|3DUR|468VULN|5DMG|7ASPD|9LWND|aRCR
130	41112 65311	1	   	262.00	DCR|4VULN|1DUR|1TLV|1CDMG	1TLV|2CDMG|3DUR|478aVULN|5LIT|6RCR|9RCVC
131	42112 65311	2	   	262.00	DCR|4VULN|1DUR|1TLV|1CDMG	1TLV|2CDMG|3DUR|478aVULN|5LIT|6RCR|9RCVC
132	61133 41124	9	   	261.91	DCR|3VULN|3DMG|1CDMG|1AART	189VULN|2FEWX|389LWND|4AART|589DMG|6RCR|7RPLT|89BPWR|aCDMG
133	62133 41124	9	   	261.91	DCR|3VULN|3DMG|1CDMG|1AART	189VULN|2BEXP|389LWND|4AART|589DMG|6RCR|7RPLT|89BPWR|aCDMG
134	36221 31415	7	   	261.82	DCR|4VULN|1DMG|1DUR|1AART	1LHND|2LIT|3AART|478aVULN|5DMG|6RCR|9DUR
135	36221 32415	6	   	261.82	DCR|4VULN|1DMG|1DUR|1AART	1LHND|2LIT|3AART|478aVULN|5DMG|6RCR|9DUR
136	32525 25443	6	   	261.64	DCR|4VULN|2DMG|1TLV	18LHND|26BEXP|3468VULN|5MBVNT|68BPWR|78DMG|9TLV|aRCR
137	41122 32531	9	   	261.61	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1TLV|268VULN|3DUST|4DMG|5AART|7RCR|9aDUR
138	41122 32531	8	   	261.61	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1TLV|268VULN|3DUST|4DMG|5AART|7RCR|9aDUR
139	41221 15432	7	 * 	261.57	DCR|2VULN|2DMG|2ASPD|2CDMG|1TLV	1TLV|2aVULN|3LWND|45DMG|6aCDMG|7LIT|8RCR|9aASPD|aBPWR
140	31521 52733	5	   	261.54	DCR|4VULN|2DMG|1TLV	19LHND|2FEWX|3479VULN|59DMG|6MBVNT|8RCR|9BPWR|aTLV
141	32521 52443	5	   	261.54	DCR|4VULN|2DMG|1TLV	18LHND|2BEXP|3478VULN|58DMG|6MBVNT|8BPWR|9TLV|aRCR
142	61152 52443	1	   	261.54	DCR|4VULN|2DMG|1TLV	1378VULN|2BEXP|48DMG|58LHND|6MBVNT|8BPWR|9TLV|aRCR
143	62152 52443	2	   	261.54	DCR|4VULN|2DMG|1TLV	1378VULN|2BEXP|48DMG|58LHND|6MBVNT|8BPWR|9TLV|aRCR
144	62531 52443	5	   	261.54	DCR|4VULN|2DMG|1TLV	1378VULN|2BEXP|48LHND|58DMG|6MBVNT|8BPWR|9TLV|aRCR
145	41121 15432	7	   	261.47	DCR|2VULN|2DMG|2ASPD|2CDMG|1TLV	1TLV|2aVULN|3DUST|45DMG|6aCDMG|7LIT|8RCR|9aASPD|aBPWR
