0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12553 21632	5	 * 	274.07	DCR|3VULN|2TLV|2DUR|1DMG|2LIT	19LIT|2aTLV|379VULN|4DUST|5DMG|69DUR|8RCR|9BPWR
29	33311 26126	1	   	259.21	DCR|4VULN|3DUR|1DMG	156DUR|2DUST|3LWND|4569VULN|56BPWR|7DMSP|8RCR|aDMG
30	16233 21632	1	   	258.99	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	19LIT|27VULN|39DMG|4FEWX|5CGEN|69DUR|8RCR|9BPWR|aTLV
31	31415 11632	3	   	258.89	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	19DUR|2ERES|39DMG|4LWND|57VULN|69LIT|8RCR|9BPWR|aTLV
32	12313 22441	8	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LIT|2TLV|3CDMG|4LHND|5DUR|67aVULN|8DMG|9RCR
33	33422 33364	2	 * 	258.22	DCR|3VULN|3DUR|1DMG|2CDMG	12aDUR|2aBPWR|35aVULN|4RPLT|6DMG|7CGEN|8RCR|9aCDMG
34	34122 41332	5	 * 	257.60	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|26CGEN|3569VULN|4RCVC|6BPWR|7DMG|8TLV|aRCR
35	31423 14325	3	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1aDUR|2ERES|3aDMG|4RPLT|5TLV|6TBNT|7CDMG|8RCR|9aVULN|aBPWR
36	34122 11332	5	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2CGEN|3569VULN|4RCVC|7DMG|8TLV|aRCR
37	34122 25332	6	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2CGEN|3579VULN|4RCVC|6DMG|8TLV|aRCR
38	33522 35351	8	 * 	257.39	DCR|5VULN|3DUR	124DUR|2BPWR|3RCVC|56789VULN|aRCR
39	12255 31621	10	   	257.25	DCR|3VULN|2DUR|1TLV|1AART	1LIT|2TLV|3ASPD|4AART|56aVULN|79DUR|8RCR
40	14211 22362	4	   	257.12	DCR|3VULN|2TLV|2DUR|1AART	1LIT|25DUR|3RCVC|45TLV|5BPWR|679VULN|8AART|aRCR
41	14261 22362	3	   	257.12	DCR|3VULN|2TLV|2DUR|1AART	1LIT|25DUR|3RCVC|45TLV|5BPWR|679VULN|8AART|aRCR
42	12441 22362	3	   	257.12	DCR|3VULN|2TLV|2DUR|1AART	1LIT|25TLV|35DUR|4RCVC|5BPWR|679VULN|8AART|aRCR
43	16223 11421	1	 * 	256.70	DCR|4VULN|3DMG	1LIT|267aVULN|356DMG|4RMIN|6BPWR|8LHND|9RCR
44	16223 12121	1	   	256.70	DCR|4VULN|3DMG	1LIT|268aVULN|356DMG|4RMIN|6BPWR|7FEWX|9RCR
45	16223 11221	1	   	256.60	DCR|4VULN|3DMG	1LIT|267aVULN|356DMG|4RMIN|6BPWR|8LEGI|9RCR
46	16223 14121	1	   	256.60	DCR|4VULN|3DMG	1LIT|268aVULN|356DMG|4RMIN|6BPWR|7DUST|9RCR
47	12323 51426	8	   	256.32	DCR|3VULN|1TLV|3LIT|2CDMG|1DUR	147LIT|2TLV|37CDMG|567VULN|7BPWR|8DUR|9TBNT|aRCR
48	12323 51626	7	   	256.32	DCR|3VULN|1TLV|3LIT|2CDMG|1DUR	147LIT|2TLV|37CDMG|567VULN|7BPWR|8DUR|9TBNT|aRCR
49	33216 25631	6	   	256.06	DCR|2VULN|3DUR|2TLV|1DMG	129DUR|29BPWR|3LIT|49TLV|5DMG|6FEWX|79VULN|8RCR|aDUST
50	33216 25631	7	   	256.06	DCR|2VULN|3DUR|2TLV|1DMG	129DUR|29BPWR|3LIT|49TLV|5DMG|6FEWX|79VULN|8RCR|aDUST
51	33216 25632	6	   	256.06	DCR|2VULN|3DUR|2TLV|1DMG	129DUR|29BPWR|3LIT|49TLV|5DMG|6FEWX|79VULN|8RCR|aLEGI
52	33216 25632	7	   	256.06	DCR|2VULN|3DUR|2TLV|1DMG	129DUR|29BPWR|3LIT|49TLV|5DMG|6FEWX|79VULN|8RCR|aLEGI
53	33216 35631	5	   	256.06	DCR|2VULN|3DUR|2TLV|1DMG	129DUR|29BPWR|3LIT|49TLV|5DMG|6FEWX|79VULN|8RCR|aDUST
54	33216 35632	5	   	256.06	DCR|2VULN|3DUR|2TLV|1DMG	129DUR|29BPWR|3LIT|49TLV|5DMG|6FEWX|79VULN|8RCR|aLEGI
55	33163 52422	5	 * 	255.65	DCR|3VULN|3DUR|2DMG	12aDUR|2aBPWR|3LHND|4aDMG|56aVULN|7RCR|8TBNT|9BBNT
56	33211 22362	5	   	255.49	DCR|3VULN|2DUR|1TLV|2LIT|1AART	12DUR|2BPWR|35LIT|4TLV|679VULN|8AART|aRCR
57	33225 22362	5	   	255.49	DCR|3VULN|2DUR|1TLV|2LIT|1AART	12DUR|2BPWR|34LIT|5TLV|679VULN|8AART|aRCR
58	12146 12362	2	   	255.41	DCR|4VULN|1TLV|1DUR|1AART	1LIT|2TLV|3579VULN|4RCVC|6DUR|8AART|aRCR
59	32163 11214	9	 * 	254.85	DCR|3VULN|2DUR|1TLV|3ASPD	1aDUR|2RMIN|35aVULN|45LHND|5aBPWR|6TLV|7RCR|89aASPD
60	35311 26315	1	   	254.06	DCR|3VULN|3DUR|1TLV|1AART	156DUR|2LHND|3LWND|456VULN|56BPWR|7AART|8TLV|9BEXP|aRCR
61	12563 31632	7	   	253.91	DCR|3VULN|2TLV|2DUR|2LIT|1NUKE	19LIT|2aTLV|379VULN|4NUKE|59DUR|6LEGI|8RCR|9BPWR
62	12563 31632	6	   	253.91	DCR|3VULN|2TLV|2DUR|2LIT|1NUKE	19LIT|2aTLV|379VULN|4NUKE|59DUR|6LEGI|8RCR|9BPWR
63	33223 55143	3	   	253.90	DCR|4VULN|3DUR|2LIT|1NUKE	124DUR|24BPWR|34LIT|5678VULN|9NUKE|aRCR
64	12323 52361	7	 * 	253.72	DCR|3VULN|1TLV|3LIT|1DMG|1CDMG	148LIT|2TLV|3CDMG|569VULN|7DMG|aRCR
65	33332 42122	5	   	253.12	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	123DUR|23BPWR|4DUST|5TLV|6DMG|79VULN|8RCR|aCDMG
66	33466 33232	2	   	253.12	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	127DUR|2BPWR|39VULN|4DMG|5TBNT|6CDMG|8TLV|aRCR
67	33211 13664	1	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	15DUR|2DUST|3FEWX|45aVULN|5BPWR|6LIT|7TLV|8RCR|9CDMG
68	33311 13664	1	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	15DUR|2DUST|3LWND|45aVULN|5BPWR|6LIT|7TLV|8RCR|9CDMG
69	35211 26122	1	   	252.90	DCR|4VULN|3DUR|1CDMG	156DUR|2LHND|3FEWX|4569VULN|56BPWR|7DMSP|8RCR|aCDMG
70	33311 26122	1	   	252.80	DCR|4VULN|3DUR|1CDMG	156DUR|2DUST|3LWND|4569VULN|56BPWR|7DMSP|8RCR|aCDMG
71	35211 26152	1	   	252.71	DCR|3VULN|3DUR|1TLV	156DUR|2LHND|3FEWX|456VULN|56BPWR|7DMSP|8RCR|9ASPD|aTLV
72	12231 62146	4	   	252.61	DCR|2VULN|2DMG|1TLV|1DUR|2LIT	15LIT|2TLV|3ASPD|45DMG|5BPWR|6RCR|79VULN|8BELT|aDUR
73	12231 62525	4	   	252.61	DCR|2VULN|2DMG|1TLV|1DUR|2LIT	15LIT|2TLV|3ASPD|45DMG|5BPWR|6RCR|7aVULN|8DUR|9LWND
74	12231 62535	4	   	252.61	DCR|2VULN|2DMG|1TLV|1DUR|2LIT	15LIT|2TLV|3ASPD|45DMG|5BPWR|6RCR|7aVULN|8DUR|9FEWX
75	33311 26152	1	   	252.61	DCR|3VULN|3DUR|1TLV	156DUR|2DUST|3LWND|456VULN|56BPWR|7DMSP|8RCR|9ASPD|aTLV
76	33143 22211	2	 * 	252.48	DCR|3VULN|3DUR|3TLV	124DUR|249BPWR|349TLV|5CGEN|679VULN|89BEXP|aRCR
77	33143 22411	2	   	252.48	DCR|3VULN|3DUR|3TLV	124DUR|249BPWR|349TLV|5CGEN|679VULN|89LHND|aRCR
78	33143 23511	2	   	252.48	DCR|3VULN|3DUR|3TLV	124DUR|249BPWR|349TLV|5CGEN|689VULN|79LWND|aRCR
79	33143 24511	2	   	252.48	DCR|3VULN|3DUR|3TLV	124DUR|249BPWR|349TLV|5CGEN|689VULN|79BEXP|aRCR
80	33143 42511	2	   	252.48	DCR|3VULN|3DUR|3TLV	124DUR|249BPWR|349TLV|5CGEN|69LHND|789VULN|aRCR
81	33143 62511	2	   	252.48	DCR|3VULN|3DUR|3TLV	124DUR|249BPWR|349TLV|5CGEN|69LWND|789VULN|aRCR
82	33141 22211	2	   	252.38	DCR|3VULN|3DUR|3TLV	124DUR|249BPWR|349TLV|5ERES|679VULN|89BEXP|aRCR
83	33141 22411	2	   	252.38	DCR|3VULN|3DUR|3TLV	124DUR|249BPWR|349TLV|5ERES|679VULN|89LHND|aRCR
84	33141 23511	2	   	252.38	DCR|3VULN|3DUR|3TLV	124DUR|249BPWR|349TLV|5ERES|689VULN|79LWND|aRCR
85	33141 24511	2	   	252.38	DCR|3VULN|3DUR|3TLV	124DUR|249BPWR|349TLV|5ERES|689VULN|79BEXP|aRCR
86	33141 42511	2	   	252.38	DCR|3VULN|3DUR|3TLV	124DUR|249BPWR|349TLV|5ERES|69LHND|789VULN|aRCR
87	33141 62511	2	   	252.38	DCR|3VULN|3DUR|3TLV	124DUR|249BPWR|349TLV|5ERES|69LWND|789VULN|aRCR
88	33143 21511	2	   	252.28	DCR|3VULN|3DUR|3TLV	124DUR|249BPWR|349TLV|5CGEN|689VULN|79DUST|aRCR
89	33143 22311	2	   	252.28	DCR|3VULN|3DUR|3TLV	124DUR|249BPWR|349TLV|5CGEN|679VULN|89DUST|aRCR
90	33141 21511	2	   	252.18	DCR|3VULN|3DUR|3TLV	124DUR|249BPWR|349TLV|5ERES|689VULN|79DUST|aRCR
91	33141 22311	2	   	252.18	DCR|3VULN|3DUR|3TLV	124DUR|249BPWR|349TLV|5ERES|679VULN|89DUST|aRCR
92	31122 12362	5	   	251.92	DCR|4VULN|2DUR|1TLV	1aDUR|2ERES|3567VULN|4RCVC|8TLV|9RCR
93	31122 42362	5	   	251.92	DCR|4VULN|2DUR|1TLV	1aDUR|26ERES|3567VULN|4RCVC|6BPWR|8TLV|9RCR
94	34132 65332	5	   	251.92	DCR|4VULN|2DUR|1TLV	15DUR|2CGEN|3679VULN|4ERES|8TLV|aRCR
95	16223 11426	1	   	251.90	DCR|3VULN|3DMG|1DUR	1LIT|267VULN|356DMG|4RMIN|6BPWR|8LHND|9RCR|aDUR
96	16223 12126	1	   	251.90	DCR|3VULN|3DMG|1DUR	1LIT|268VULN|356DMG|4RMIN|6BPWR|7FEWX|9RCR|aDUR
97	31132 12362	5	   	251.82	DCR|4VULN|2DUR|1TLV	1aDUR|24ERES|3567VULN|8TLV|9RCR
98	31136 24412	1	   	251.81	DCR|3VULN|3DUR|1DMG|1CDMG	179DUR|278VULN|3BBNT|4DMG|5CDMG|67MLV|7BPWR|aRCR
99	32415 26122	3	   	251.81	DCR|3VULN|3DUR|1DMG|1CDMG	167DUR|2RMIN|3DMG|4LWND|569VULN|6BPWR|8RCR|aCDMG
100	16223 11226	1	   	251.80	DCR|3VULN|3DMG|1DUR	1LIT|267VULN|356DMG|4RMIN|6BPWR|8LEGI|9RCR|aDUR
101	16223 14126	1	   	251.80	DCR|3VULN|3DMG|1DUR	1LIT|268VULN|356DMG|4RMIN|6BPWR|7DUST|9RCR|aDUR
102	15253 12321	2	 * 	251.79	DCR|2VULN|3DMG|2TLV|2LIT	16LIT|2LHND|357DMG|46TLV|6BPWR|8aVULN|9RCR
103	31136 14412	1	   	251.61	DCR|3VULN|3DUR|1DMG|1CDMG	179DUR|278VULN|3BBNT|4DMG|5CDMG|67ERES|7BPWR|aRCR
104	11363 53533	7	   	251.41	DCR|3VULN|1TLV|2CDMG|1DUR|2LIT	17LIT|2RMIN|37CDMG|4TLV|5MLV|679VULN|7BPWR|8DUR|aRCR
105	12333 51133	8	   	251.41	DCR|3VULN|1TLV|2CDMG|1DUR|2LIT	17LIT|2TLV|37CDMG|4DMSP|567VULN|7BPWR|8LHND|9DUR|aRCR
106	12333 51163	9	   	251.41	DCR|3VULN|1TLV|2CDMG|1DUR|2LIT	17LIT|2TLV|37CDMG|4DMSP|567VULN|7BPWR|8LHND|9DUR|aRCR
107	12333 51263	9	   	251.41	DCR|3VULN|1TLV|2CDMG|1DUR|2LIT	17LIT|2TLV|37CDMG|4DMSP|567VULN|7BPWR|8BEXP|9DUR|aRCR
108	12333 51343	9	   	251.41	DCR|3VULN|1TLV|2CDMG|1DUR|2LIT	17LIT|2TLV|37CDMG|4DMSP|567VULN|7BPWR|8DUR|9LHND|aRCR
109	12333 51353	9	   	251.41	DCR|3VULN|1TLV|2CDMG|1DUR|2LIT	17LIT|2TLV|37CDMG|4DMSP|567VULN|7BPWR|8DUR|9BEXP|aRCR
110	12333 51353	8	   	251.41	DCR|3VULN|1TLV|2CDMG|1DUR|2LIT	17LIT|2TLV|37CDMG|4DMSP|567VULN|7BPWR|8DUR|9BEXP|aRCR
111	12333 51433	8	   	251.41	DCR|3VULN|1TLV|2CDMG|1DUR|2LIT	17LIT|2TLV|37CDMG|4DMSP|567VULN|7BPWR|8LWND|9DUR|aRCR
112	12333 51633	7	   	251.41	DCR|3VULN|1TLV|2CDMG|1DUR|2LIT	17LIT|2TLV|37CDMG|4DMSP|567VULN|7BPWR|8LHND|9DUR|aRCR
113	33216 12354	5	 * 	251.36	DCR|3DMG|3DUR|1VULN|1TLV	126DUR|26BPWR|3LIT|4TLV|568DMG|7BELT|9RCR|aVULN
114	11361 53533	7	   	251.31	DCR|3VULN|1TLV|2CDMG|1DUR|2LIT	17LIT|2RMIN|37CDMG|4TLV|5ERES|679VULN|7BPWR|8DUR|aRCR
115	12333 51313	9	   	251.31	DCR|3VULN|1TLV|2CDMG|1DUR|2LIT	17LIT|2TLV|37CDMG|4DMSP|567VULN|7BPWR|8DUR|9DUST|aRCR
116	12313 22451	9	   	251.30	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1LIT|2TLV|3CDMG|4LHND|5DUR|67VULN|89DMG|aRCR
117	12313 22455	10	   	251.30	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1LIT|2TLV|3CDMG|4LHND|5DUR|67VULN|89DMG|aRCR
118	13266 13431	7	   	251.30	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1LIT|2FEWX|3DUR|45DMG|6CDMG|7aVULN|8RCR|9TLV
119	33621 41332	4	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	12DUR|26BPWR|36CGEN|4RCVC|569VULN|7DMG|8TLV|aRCR
120	33623 41332	5	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	12DUR|26BPWR|36CGEN|4RCVC|569VULN|7DMG|8TLV|aRCR
121	34122 41362	5	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	19DUR|26CGEN|356VULN|4RCVC|6BPWR|7DMG|8TLV|aRCR
122	34621 41332	4	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	13DUR|26CGEN|4RCVC|569VULN|6BPWR|7DMG|8TLV|aRCR
123	34623 41332	5	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	13DUR|26CGEN|4RCVC|569VULN|6BPWR|7DMG|8TLV|aRCR
124	51341 11332	1	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	14CGEN|2RCVC|34DUR|4BPWR|569VULN|7DMG|8TLV|aRCR
125	52341 11332	1	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	124CGEN|34DUR|4BPWR|569VULN|7DMG|8TLV|aRCR
126	53341 11332	1	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	14CGEN|2DMSP|34DUR|4BPWR|569VULN|7DMG|8TLV|aRCR
127	54341 11332	1	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	124CGEN|24BPWR|34DUR|569VULN|7DMG|8TLV|aRCR
128	33541 11632	4	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	12DUR|2BPWR|3RCVC|4TLV|569VULN|7DMG|8CGEN|aRCR
129	33543 11632	5	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	12DUR|2BPWR|3RCVC|4TLV|569VULN|7DMG|8CGEN|aRCR
130	33551 11632	3	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	12DUR|2BPWR|3RCVC|4TLV|569VULN|7DMG|8CGEN|aRCR
131	34122 11362	5	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	19DUR|2CGEN|356VULN|4RCVC|7DMG|8TLV|aRCR
132	34122 25362	6	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	19DUR|2CGEN|357VULN|4RCVC|6DMG|8TLV|aRCR
133	33621 11332	4	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	12DUR|2BPWR|3CGEN|4RCVC|569VULN|7DMG|8TLV|aRCR
134	33623 11332	5	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	12DUR|2BPWR|3CGEN|4RCVC|569VULN|7DMG|8TLV|aRCR
135	33623 25332	6	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	12DUR|2BPWR|3CGEN|4RCVC|579VULN|6DMG|8TLV|aRCR
136	34621 11332	4	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	13DUR|2CGEN|4RCVC|569VULN|7DMG|8TLV|aRCR
137	34623 11332	5	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	13DUR|2CGEN|4RCVC|569VULN|7DMG|8TLV|aRCR
138	34623 25332	6	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	13DUR|2CGEN|4RCVC|579VULN|6DMG|8TLV|aRCR
139	31122 11362	5	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	19DUR|2ERES|356VULN|4RCVC|7DMG|8TLV|aRCR
140	31122 26362	7	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	19DUR|2ERES|357VULN|4RCVC|6DMG|8TLV|aRCR
141	31122 41362	5	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	19DUR|26ERES|356VULN|4RCVC|6BPWR|7DMG|8TLV|aRCR
142	31132 11362	5	   	250.84	DCR|3VULN|2DUR|1TLV|1DMG	19DUR|24ERES|356VULN|7DMG|8TLV|aRCR
143	31132 26362	7	   	250.84	DCR|3VULN|2DUR|1TLV|1DMG	19DUR|24ERES|357VULN|6DMG|8TLV|aRCR
144	32342 22366	8	   	250.83	DCR|3VULN|2DMG|2DUR	1aDUR|2RMIN|3RPLT|4ASPD|59aVULN|6LEGI|7RCR|8aDMG|aBPWR
145	12231 21122	5	 * 	250.52	DCR|1VULN|2DMG|2TLV|2DUR|3LIT	156LIT|29TLV|3ASPD|49DMG|79DUR|8RCR|9BPWR|aVULN
146	16223 15362	1	   	250.50	DCR|3VULN|3DMG|2LIT	18LIT|268VULN|356DMG|4RMIN|68BPWR|7DLOT|9RCR|aASPD
147	12231 62145	4	   	250.01	DCR|2VULN|2DMG|1TLV|2LIT|1CDMG	15LIT|2TLV|3ASPD|45DMG|5BPWR|6RCR|79VULN|8BELT|aCDMG
148	12323 52423	10	   	249.93	DCR|2VULN|1TLV|1DMG|1DUR|2LIT|1CDMG|1AART	14LIT|2TLV|3CDMG|56VULN|7DMG|8AART|9DUR|aRCR
149	12231 64243	4	   	249.91	DCR|2VULN|2DMG|1TLV|2LIT|1CDMG	15LIT|2TLV|3ASPD|45DMG|5BPWR|6RCR|7TBNT|8aVULN|9CDMG
150	12231 66243	4	   	249.91	DCR|2VULN|2DMG|1TLV|2LIT|1CDMG	15LIT|2TLV|3ASPD|45DMG|5BPWR|6RCR|7BBNT|8aVULN|9CDMG
151	12433 25632	5	   	249.48	DCR|2VULN|2TLV|2DUR|1DMG|2LIT	19LIT|2aTLV|39DUR|4LWND|5DMG|6RCVC|79VULN|8RCR|9BPWR
152	12533 24632	5	   	249.48	DCR|2VULN|2TLV|2DUR|1DMG|2LIT	19LIT|2aTLV|39VULN|4LWND|5DMG|6RCVC|79DUR|8RCR|9BPWR
153	12533 34632	6	   	249.48	DCR|2VULN|2TLV|2DUR|1DMG|2LIT	19LIT|2aTLV|39VULN|4LWND|5DMG|6DMSP|79DUR|8RCR|9BPWR
154	12231 62152	4	 * 	249.40	DCR|2VULN|2DMG|2TLV|3LIT|1SELL	15aLIT|2aTLV|3ASPD|45DMG|5aBPWR|6RCR|7aVULN|8BELT|9SELL
155	12423 51612	3	   	249.38	DCR|2VULN|2TLV|2DUR|1DMG|2LIT	1aLIT|2aTLV|37DUR|4RMIN|5DMG|6TBNT|8RCR|9aVULN|aBPWR
156	12323 52326	10	   	248.71	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG	14LIT|2TLV|3CDMG|568VULN|7DMG|9RCVC|aRCR
157	12323 51223	8	   	248.47	DCR|3VULN|1TLV|3LIT|2CDMG	147LIT|2TLV|37CDMG|567VULN|7BPWR|8RMIN|9ASPD|aRCR
158	12323 51523	8	   	248.47	DCR|3VULN|1TLV|3LIT|2CDMG	147LIT|2TLV|37CDMG|567VULN|7BPWR|8ZMB|9ASPD|aRCR
159	12323 51423	7	   	248.37	DCR|3VULN|1TLV|3LIT|2CDMG	147LIT|2TLV|37CDMG|567VULN|7BPWR|8ERES|9ASPD|aRCR
160	12313 24441	8	   	248.30	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1LIT|2TLV|3CDMG|4LHND|57DUR|6aVULN|8DMG|9RCR
161	33211 13665	1	   	248.30	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	15DUR|2DUST|3FEWX|45VULN|5BPWR|6LIT|7TLV|8RCR|9CDMG|aDMG
162	33243 53333	8	   	248.30	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	12DUR|2BPWR|3LIT|4CDMG|5TLV|69VULN|7MLV|8DMG|aRCR
163	33311 13665	1	   	248.30	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	15DUR|2DUST|3LWND|45VULN|5BPWR|6LIT|7TLV|8RCR|9CDMG|aDMG
164	12323 51362	7	 * 	248.25	DCR|3VULN|2TLV|3LIT|2CDMG	147LIT|29TLV|37CDMG|567VULN|7BPWR|8BELT|aRCR
165	12166 22324	2	 * 	248.15	DCR|3VULN|3TLV|3LIT|1DMG	168LIT|248TLV|358VULN|7BBNT|8BPWR|9DMG|aRCR
166	33163 16432	10	   	248.07	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	12DUR|2BPWR|3LHND|4DMG|59VULN|68TLV|7CDMG|aRCR
