0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62152 62212	10	 * 	289.11	DCR|4VULN|3DUR|3LIT|2ASPD|1CDMG	157LIT|28ASPD|3478VULN|678DUR|78BPWR|9RCR|aCDMG
30	41216 53232	9	   	275.33	DCR|4VULN|2DMG|3TLV	134TLV|2345VULN|34BPWR|6ASPD|7RCR|8aDMG|9FEWX
31	41216 53222	8	   	275.23	DCR|4VULN|2DMG|3TLV	134TLV|2345VULN|34BPWR|6ASPD|7RCR|8aDMG|9LEGI
32	41432 63231	4	   	275.23	DCR|4VULN|2DMG|2TLV	18TLV|258aVULN|3LIT|4DUST|6TBNT|78DMG|8BPWR|9RCR
33	34316 22343	9	 * 	274.35	DCR|2VULN|3DMG|2DUR|2ASPD|2LIT|1NUKE|1AART	1NUKE|279DMG|3AART|49DUR|57LIT|67VULN|79BPWR|89ASPD|aRCR
34	41216 11341	9	   	273.99	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6LWND|7RCR|8DUR|9ASPD|aDMG
35	41216 11342	10	   	273.99	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6LWND|7RCR|8DUR|9ASPD|aDMG
36	41216 53212	8	   	273.89	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6ASPD|7RCR|8DMG|9TBNT|aDUR
37	41216 11316	9	   	273.85	DCR|4VULN|3TLV|2DUR|1CDMG	134TLV|2345VULN|34BPWR|6LWND|7RCR|8aDUR|9CDMG
38	41216 23133	6	   	273.62	DCR|5VULN|3TLV|1DUR|1AART	134TLV|23458VULN|34BPWR|6FEWX|7AART|9RCR|aDUR
39	41512 23622	5	   	273.62	DCR|5VULN|2TLV|1DUR|1AART	14TLV|2347aVULN|4BPWR|5LWND|6AART|8RCR|9DUR
40	41216 11325	10	 * 	273.43	DCR|4VULN|3DUR|3TLV	134TLV|2345VULN|34BPWR|6LWND|7RCR|89aDUR
41	56312 51313	4	   	273.25	DCR|4VULN|3DMG|1DUR	189LWND|2LIT|3589VULN|489DMG|6BELT|7RCR|89BPWR|aDUR
42	31452 62212	10	   	272.76	DCR|4VULN|3DUR|3LIT|1CDMG|1NUKE	1NUKE|2478VULN|357LIT|678DUR|78BPWR|9RCR|aCDMG
43	43224 22432	6	 * 	272.59	DCR|4VULN|2TLV|2CDMG|2LIT	18TLV|28LIT|3ASPD|45CDMG|6789VULN|8BPWR|aRCR
44	41211 23641	9	   	272.27	DCR|5VULN|3TLV|1DUR	134TLV|23469VULN|34BPWR|5CGEN|7LIT|8DUR|aRCR
45	41216 11343	10	   	272.27	DCR|5VULN|3TLV|1DUR	134TLV|2345aVULN|34BPWR|6LWND|7RCR|8DUR|9ASPD
46	41216 41221	5	   	272.27	DCR|5VULN|3TLV|1DUR	134TLV|23456VULN|34BPWR|7LIT|8DUR|9CGEN|aRCR
47	41216 41231	5	   	272.27	DCR|5VULN|3TLV|1DUR	134TLV|23456VULN|34BPWR|7LIT|8DUR|9MLV|aRCR
48	41216 23131	6	   	271.02	DCR|5VULN|3TLV|1CDMG|1AART	134TLV|23458VULN|34BPWR|6FEWX|7AART|9RCR|aCDMG
49	42532 23214	8	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	1aTLV|2DUR|36aVULN|4ASPD|5LWND|7RCR|8aDMG|9TBNT|aBPWR
50	33312 45612	8	   	270.11	DCR|3VULN|3DUR|1TLV|2ASPD|1NUKE|1AART	1NUKE|29ASPD|3AART|469DUR|589VULN|7RCR|9BPWR|aTLV
51	41211 42222	7	   	270.06	DCR|4VULN|3TLV|2DUR|1AART	134TLV|2347VULN|347BPWR|57CGEN|67DUR|8AART|9RMIN|aRCR
52	41216 11323	10	   	269.86	DCR|4VULN|3TLV|2DUR|1AART	134TLV|2345VULN|34BPWR|6LWND|7RCR|89DUR|aAART
53	41213 42213	7	   	269.82	DCR|4VULN|3TLV|2DUR|1AART|1SELL	134TLV|2347VULN|347BPWR|57ZMB|67DUR|8AART|9SELL|aRCR
54	41213 23615	10	   	269.67	DCR|5VULN|3TLV|1CDMG	134TLV|23468VULN|34BPWR|5ZMB|7RCR|9LIT|aCDMG
55	41216 53323	7	   	269.57	DCR|5VULN|3TLV|1CDMG	134TLV|2345aVULN|34BPWR|6ASPD|7RCR|8CDMG|9DUST
56	31132 33214	8	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV|1NUKE	1NUKE|26aVULN|3aDUR|4TLV|56LWND|6aBPWR|7RCR|8aDMG|9TBNT
57	41213 42611	7	   	268.71	DCR|4VULN|3TLV|2DUR	134TLV|2347VULN|347BPWR|57ZMB|67DUR|8RCR|9LIT|aCGEN
58	31132 23214	8	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV|1NUKE	1NUKE|26aVULN|3aDUR|4TLV|5LWND|7RCR|8aDMG|9TBNT|aBPWR
59	41213 42612	7	   	268.61	DCR|4VULN|3TLV|2DUR	134TLV|2347VULN|347BPWR|57ZMB|67DUR|8RCR|9LIT|aDUST
60	41213 42631	7	   	268.61	DCR|4VULN|3TLV|2DUR	134TLV|2347VULN|347BPWR|57ZMB|67DUR|8RCR|9ASPD|aBBNT
61	41213 42632	7	   	268.61	DCR|4VULN|3TLV|2DUR	134TLV|2347VULN|347BPWR|57ZMB|67DUR|8RCR|9ASPD|aTBNT
62	41216 11324	10	   	268.51	DCR|4VULN|3TLV|2DUR	134TLV|2345VULN|34BPWR|6LWND|7RCR|89DUR|aASPD
63	41216 11325	9	   	268.51	DCR|4VULN|3TLV|2DUR	134TLV|2345VULN|34BPWR|6LWND|7RCR|89DUR|aASPD
64	41216 11326	10	   	268.51	DCR|4VULN|3TLV|2DUR	134TLV|2345VULN|34BPWR|6LWND|7RCR|89DUR|aLIT
65	41216 21335	7	   	268.51	DCR|4VULN|3TLV|2DUR	134TLV|2345VULN|34BPWR|6FEWX|7RCR|89DUR|aASPD
66	62162 62212	10	   	268.06	DCR|3VULN|3DUR|3LIT|2ASPD|1CDMG	157LIT|28ASPD|378VULN|4RCVC|678DUR|78BPWR|9RCR|aCDMG
67	41216 14121	3	   	267.94	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG|1AART	13TLV|237VULN|3BPWR|4CDMG|5DUR|6BELT|8DMG|9AART|aRCR
68	41212 15262	4	   	267.77	DCR|5VULN|3TLV|1DMG	134TLV|23467VULN|34BPWR|5ZMB|8LHND|9RCR|aDMG
69	41213 15262	5	   	267.77	DCR|5VULN|3TLV|1DMG	134TLV|23467VULN|34BPWR|5ZMB|8LHND|9RCR|aDMG
70	41213 23632	8	   	267.77	DCR|5VULN|3TLV|1DMG	134TLV|23468VULN|34BPWR|5ZMB|7RCR|9BEXP|aDMG
71	41213 23641	10	   	267.77	DCR|5VULN|3TLV|1DMG	134TLV|23468VULN|34BPWR|5ZMB|7RCR|9RMIN|aDMG
72	41213 23642	8	   	267.77	DCR|5VULN|3TLV|1DMG	134TLV|23468VULN|34BPWR|5ZMB|7RCR|9LHND|aDMG
73	41213 25262	6	   	267.77	DCR|5VULN|3TLV|1DMG	134TLV|23467VULN|34BPWR|5ZMB|8LHND|9RCR|aDMG
74	41216 21162	8	   	267.77	DCR|5VULN|3TLV|1DMG	134TLV|23459VULN|34BPWR|6FEWX|7RCR|8MLV|aDMG
75	41216 33611	10	   	267.77	DCR|5VULN|3TLV|1DMG	134TLV|23458VULN|34BPWR|6RMIN|7RCR|9CGEN|aDMG
76	11264 11151	4	 * 	267.77	DCR|5VULN|2TLV|2CDMG	13CGEN|2356aVULN|36BPWR|46TLV|78CDMG|9RCR
77	41212 13252	4	   	267.77	DCR|5VULN|3TLV|1DMG	134TLV|23468VULN|34BPWR|5ZMB|7CGEN|9DMG|aRCR
78	41213 13252	5	   	267.77	DCR|5VULN|3TLV|1DMG	134TLV|23468VULN|34BPWR|5ZMB|7CGEN|9DMG|aRCR
79	41213 22252	7	   	267.77	DCR|5VULN|3TLV|1DMG	134TLV|23468VULN|34BPWR|5ZMB|7CGEN|9DMG|aRCR
80	41213 23232	10	   	267.77	DCR|5VULN|3TLV|1DMG	134TLV|2346aVULN|34BPWR|5ZMB|7RCR|8DMG|9FEWX
81	41213 23252	6	   	267.77	DCR|5VULN|3TLV|1DMG	134TLV|23468VULN|34BPWR|5ZMB|7CGEN|9DMG|aRCR
82	41216 26221	5	   	267.77	DCR|5VULN|3TLV|1DMG	134TLV|23456VULN|346BPWR|7MLV|8DMG|9DMSP|aRCR
83	41216 33232	10	   	267.77	DCR|5VULN|3TLV|1DMG	134TLV|2345aVULN|34BPWR|6RMIN|7RCR|8DMG|9BELT
84	41216 33242	10	   	267.77	DCR|5VULN|3TLV|1DMG	134TLV|2345aVULN|34BPWR|6RMIN|7RCR|8DMG|9FEWX
85	41224 11151	3	   	267.77	DCR|5VULN|2TLV|2CDMG	13TLV|2356aVULN|36BPWR|46CGEN|78CDMG|9RCR
86	41511 11151	5	   	267.77	DCR|5VULN|2TLV|2CDMG	14TLV|2346aVULN|46BPWR|56CGEN|78CDMG|9RCR
87	41212 15612	4	   	267.67	DCR|5VULN|3TLV|1DMG	134TLV|23467VULN|34BPWR|5ZMB|8DMG|9ERES|aRCR
88	41213 15612	5	   	267.67	DCR|5VULN|3TLV|1DMG	134TLV|23467VULN|34BPWR|5ZMB|8DMG|9ERES|aRCR
89	41213 23632	9	   	267.67	DCR|5VULN|3TLV|1DMG	134TLV|23468VULN|34BPWR|5ZMB|7RCR|9MBVNT|aDMG
90	41213 23638	10	   	267.67	DCR|5VULN|3TLV|1DMG	134TLV|23468VULN|34BPWR|5ZMB|7RCR|9MBVNT|aDMG
91	41213 23652	9	   	267.67	DCR|5VULN|3TLV|1DMG	134TLV|23468VULN|34BPWR|5ZMB|7RCR|9DUST|aDMG
92	41213 23661	10	   	267.67	DCR|5VULN|3TLV|1DMG	134TLV|23468VULN|34BPWR|5ZMB|7RCR|9ERES|aDMG
93	41213 25612	6	   	267.67	DCR|5VULN|3TLV|1DMG	134TLV|23467VULN|34BPWR|5ZMB|8DMG|9ERES|aRCR
94	41216 33622	8	   	267.67	DCR|5VULN|3TLV|1DMG	134TLV|23458VULN|34BPWR|6RMIN|7RCR|9DUST|aDMG
95	41213 23213	8	   	267.67	DCR|5VULN|3TLV|1DMG	134TLV|2346aVULN|34BPWR|5ZMB|7RCR|8DMG|9TBNT
96	41216 31222	10	   	267.67	DCR|5VULN|3TLV|1DMG	134TLV|2345aVULN|34BPWR|6RMIN|7DUST|8DMG|9RCR
97	41216 33213	8	   	267.67	DCR|5VULN|3TLV|1DMG	134TLV|2345aVULN|34BPWR|6RMIN|7RCR|8DMG|9TBNT
98	41211 24353	9	 * 	267.63	DCR|5VULN|3TLV|2CDMG|1SELL	134TLV|2346aVULN|34aBPWR|5aCGEN|7SELL|8aCDMG|9RCR
99	41216 53312	7	   	267.58	DCR|4VULN|3TLV|1DUR|1CDMG	134TLV|2345VULN|34BPWR|6ASPD|7RCR|8CDMG|9LHND|aDUR
100	41224 11151	4	   	267.57	DCR|5VULN|2TLV|2CDMG	13TLV|2356aVULN|36BPWR|46ERES|78CDMG|9RCR
101	41216 53332	7	   	267.48	DCR|4VULN|3TLV|1DUR|1CDMG	134TLV|2345VULN|34BPWR|6ASPD|7RCR|8CDMG|9TBNT|aDUR
102	31126 11232	10	 * 	267.43	DCR|5VULN|2DMG|1DUR|1NUKE	1NUKE|2689aVULN|3DUR|48DMG|568ZMB|68BPWR|7RCR
103	41216 53233	10	   	267.40	DCR|4VULN|3TLV|1DMG|1AART	134TLV|2345VULN|34BPWR|6ASPD|7RCR|8DMG|9FEWX|aAART
104	41214 42131	9	   	267.40	DCR|4VULN|3TLV|1DMG|1AART	134TLV|2347VULN|34BPWR|5LIT|6AART|8DMG|9RCR|aLHND
105	41214 42132	9	   	267.40	DCR|4VULN|3TLV|1DMG|1AART	134TLV|2347VULN|34BPWR|5LIT|6AART|8DMG|9RCR|aRCVC
106	41214 42133	9	   	267.40	DCR|4VULN|3TLV|1DMG|1AART	134TLV|2347VULN|34BPWR|5LIT|6AART|8DMG|9RCR|aBELT
107	41214 42131	10	   	267.30	DCR|4VULN|3TLV|1DMG|1AART	134TLV|2347VULN|34BPWR|5LIT|6AART|8DMG|9RCR|aDUST
108	41213 23232	8	   	267.02	DCR|4VULN|2DMG|3TLV	134TLV|2346VULN|34BPWR|5ZMB|7RCR|8aDMG|9LWND
109	41213 23232	9	   	267.02	DCR|4VULN|2DMG|3TLV	134TLV|2346VULN|34BPWR|5ZMB|7RCR|8aDMG|9FEWX
110	41213 23246	8	   	267.02	DCR|4VULN|2DMG|3TLV	134TLV|2346VULN|34BPWR|5ZMB|7RCR|8aDMG|9BEXP
111	41213 23253	10	   	267.02	DCR|4VULN|2DMG|3TLV	134TLV|2346VULN|34BPWR|5aZMB|7RCR|89DMG
112	41213 23253	9	   	267.02	DCR|4VULN|2DMG|3TLV	134TLV|2346VULN|34BPWR|5ZMB|7RCR|89DMG|aMLV
113	41213 23255	10	   	267.02	DCR|4VULN|2DMG|3TLV	134TLV|2346VULN|34BPWR|5ZMB|7RCR|89DMG|aRPLT
114	41213 23256	9	   	267.02	DCR|4VULN|2DMG|3TLV	134TLV|2346VULN|34BPWR|5ZMB|7RCR|89DMG|aCGEN
115	41216 11631	7	   	267.02	DCR|4VULN|2DMG|3TLV	134TLV|2345VULN|34BPWR|6LWND|7RCR|8aDMG|9BEXP
116	41216 21631	7	   	267.02	DCR|4VULN|2DMG|3TLV	134TLV|2345VULN|34BPWR|6FEWX|7RCR|8aDMG|9BEXP
117	41216 33224	9	   	267.02	DCR|4VULN|2DMG|3TLV	134TLV|2345VULN|34BPWR|69RMIN|7RCR|8aDMG
118	41216 33231	10	   	267.02	DCR|4VULN|2DMG|3TLV	134TLV|2345VULN|34BPWR|6RMIN|7RCR|8aDMG|9BELT
119	41216 33232	8	   	267.02	DCR|4VULN|2DMG|3TLV	134TLV|2345VULN|34BPWR|6RMIN|7RCR|8aDMG|9LWND
120	41216 33242	9	   	267.02	DCR|4VULN|2DMG|3TLV	134TLV|2345VULN|34BPWR|6RMIN|7RCR|8aDMG|9FEWX
121	41216 33253	10	   	267.02	DCR|4VULN|2DMG|3TLV	134TLV|2345VULN|34BPWR|6RMIN|7RCR|89DMG|aZMB
122	41216 33253	9	   	267.02	DCR|4VULN|2DMG|3TLV	134TLV|2345VULN|34BPWR|6RMIN|7RCR|89DMG|aMLV
123	41213 23222	8	   	266.92	DCR|4VULN|2DMG|3TLV	134TLV|2346VULN|34BPWR|5ZMB|7RCR|8aDMG|9LEGI
124	41213 23251	9	   	266.92	DCR|4VULN|2DMG|3TLV	134TLV|2346VULN|34BPWR|5ZMB|7RCR|89DMG|aTBNT
125	41216 11622	7	   	266.92	DCR|4VULN|2DMG|3TLV	134TLV|2345VULN|34BPWR|6LWND|7RCR|8aDMG|9ERES
126	41216 21622	7	   	266.92	DCR|4VULN|2DMG|3TLV	134TLV|2345VULN|34BPWR|6FEWX|7RCR|8aDMG|9ERES
127	41216 31222	9	   	266.92	DCR|4VULN|2DMG|3TLV	134TLV|2345VULN|34BPWR|6RMIN|7DUST|8aDMG|9RCR
128	41216 33222	8	   	266.92	DCR|4VULN|2DMG|3TLV	134TLV|2345VULN|34BPWR|6RMIN|7RCR|8aDMG|9LEGI
129	41216 33251	9	   	266.92	DCR|4VULN|2DMG|3TLV	134TLV|2345VULN|34BPWR|6RMIN|7RCR|89DMG|aTBNT
130	41512 22431	8	   	266.59	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	14TLV|234VULN|4BPWR|5LWND|6DMG|7DUR|8LIT|9RCR|aCDMG
131	33316 22243	9	 * 	266.12	DCR|2VULN|2DMG|2DUR|3ASPD|2LIT|1NUKE|1AART	1NUKE|279ASPD|3AART|49DUR|57LIT|67VULN|79BPWR|89DMG|aRCR
132	41216 11631	9	   	266.05	DCR|4VULN|3TLV|1DMG	134TLV|2345VULN|34BPWR|6LWND|7RCR|8LIT|9ASPD|aDMG
133	41132 33633	10	   	265.91	DCR|4VULN|1TLV|1DMG|1DUR	1TLV|2689VULN|3DUR|4ASPD|56LWND|6BPWR|7RCR|aDMG
134	41132 23633	10	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1TLV|2689VULN|3DUR|4ASPD|5LWND|7RCR|aDMG
135	42532 23633	10	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1TLV|2DUR|3689VULN|4ASPD|5LWND|7RCR|aDMG
136	41213 23235	10	   	265.68	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2346VULN|34BPWR|5ZMB|7RCR|8DMG|9FEWX|aDUR
137	41213 23243	8	   	265.68	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2346VULN|34BPWR|5ZMB|7RCR|8DMG|9BEXP|aDUR
138	41213 23631	7	   	265.68	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2346VULN|34BPWR|5ZMB|7RCR|8DUR|9BEXP|aDMG
139	41213 23642	7	   	265.68	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2346VULN|34BPWR|5ZMB|7RCR|8DUR|9MLV|aDMG
140	41216 11222	9	   	265.68	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6LWND|7RCR|8FEWX|9DUR|aDMG
141	41216 11232	8	   	265.68	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6LWND|7RCR|8FEWX|9DUR|aDMG
142	41216 11312	8	   	265.68	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6LWND|7RCR|8DUR|9BEXP|aDMG
143	41216 11332	8	   	265.68	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6LWND|7RCR|8DUR|9LHND|aDMG
144	41216 11332	9	   	265.68	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6LWND|7RCR|8DUR|9BEXP|aDMG
145	41216 21232	7	   	265.68	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6FEWX|7RCR|8LWND|9DUR|aDMG
146	41216 21312	7	   	265.68	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6FEWX|7RCR|8DUR|9BEXP|aDMG
147	41216 21322	7	   	265.68	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6FEWX|7RCR|8DUR|9RCVC|aDMG
148	41216 21532	7	   	265.68	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6FEWX|7RCR|8LHND|9DUR|aDMG
149	41216 21622	9	   	265.68	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6FEWX|7RCR|8BEXP|9DUR|aDMG
150	41216 33221	10	   	265.68	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|69RMIN|7RCR|8DMG|aDUR
151	41216 33233	10	   	265.68	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6RMIN|7RCR|8DMG|9BELT|aDUR
152	41216 33234	9	   	265.68	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6RMIN|7RCR|8DMG|9BELT|aDUR
153	41216 33243	8	   	265.68	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6RMIN|7RCR|8DMG|9BEXP|aDUR
154	41216 33631	7	   	265.68	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6RMIN|7RCR|8DUR|9BEXP|aDMG
155	11266 36221	6	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	13CGEN|2358VULN|35BPWR|45TLV|6DUR|7RCR|9BBNT|aDMG
156	41211 16161	7	   	265.68	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2349VULN|34BPWR|5CGEN|6BEXP|7DUR|8RCR|aDMG
157	41213 16161	7	   	265.68	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2349VULN|34BPWR|5ZMB|6BEXP|7DUR|8RCR|aDMG
158	41213 23616	9	   	265.68	DCR|5VULN|3TLV|1AART	134TLV|23468VULN|34BPWR|5ZMB|7RCR|9LIT|aAART
159	41211 41161	7	   	265.58	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2349VULN|34BPWR|5CGEN|6DUR|7DUST|8RCR|aDMG
160	41211 42161	6	   	265.58	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2349VULN|34BPWR|5CGEN|6DUR|7DUST|8RCR|aDMG
161	41213 23212	8	   	265.58	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2346VULN|34BPWR|5ZMB|7RCR|8DMG|9TBNT|aDUR
162	41213 23622	7	   	265.58	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2346VULN|34BPWR|5ZMB|7RCR|8DUR|9ERES|aDMG
163	41213 41161	7	   	265.58	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2349VULN|34BPWR|5ZMB|6DUR|7DUST|8RCR|aDMG
164	41213 42161	6	   	265.58	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2349VULN|34BPWR|5ZMB|6DUR|7DUST|8RCR|aDMG
165	41216 11342	8	   	265.58	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6LWND|7RCR|8DUR|9DUST|aDMG
166	41216 11351	9	   	265.58	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6LWND|7RCR|8DUR|9ERES|aDMG
167	41216 11352	10	   	265.58	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6LWND|7RCR|8DUR|9ERES|aDMG
168	41216 11363	8	   	265.58	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6LWND|7RCR|8DUR|9BBNT|aDMG
169	41216 21342	7	   	265.58	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6FEWX|7RCR|8DUR|9DUST|aDMG
170	41216 21363	7	   	265.58	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6FEWX|7RCR|8DUR|9BBNT|aDMG
171	41216 31225	10	   	265.58	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6RMIN|7DUST|8DMG|9RCR|aDUR
172	41216 33212	8	   	265.58	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6RMIN|7RCR|8DMG|9TBNT|aDUR
173	41216 33622	7	   	265.58	DCR|4VULN|3TLV|1DMG|1DUR	134TLV|2345VULN|34BPWR|6RMIN|7RCR|8DUR|9ERES|aDMG
174	41511 36221	6	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	14TLV|2348VULN|4BPWR|5CGEN|6DUR|7RCR|9BBNT|aDMG
