0	Index      	Bounty	 *	Score 	Summary	Detail	
1	46161 21212	7	 * 	295.48	DCR|4VULN|3DMG|2DUR|2ASPD	1aDUR|2348VULN|5aASPD|67aDMG|9RCR|aBPWR
14	41135 31511	7	   	280.61	DCR|3VULN|3DUR|1TLV|1DMG|2ASPD	167DUR|2FEWX|357VULN|47ASPD|7BPWR|8TLV|9DMG|aRCR
15	46121 22212	7	   	279.82	DCR|4VULN|2DMG|2DUR|2ASPD	1aDUR|2378VULN|4RCVC|5aASPD|6aDMG|9RCR|aBPWR
16	46121 22412	8	   	279.82	DCR|4VULN|2DMG|2DUR|2ASPD	1aDUR|2378VULN|4RCVC|5aASPD|6aDMG|9RCR|aBPWR
17	46121 23212	6	   	279.82	DCR|4VULN|2DMG|2DUR|2ASPD	1aDUR|2378VULN|4RCVC|5aASPD|6aDMG|9RCR|aBPWR
18	13423 11525	1	 * 	277.67	DCR|4VULN|1TLV|1DMG|2CDMG|1DUR	1aLHND|2DMG|389aVULN|4TLV|5DUR|6aCDMG|7RCR|aBPWR
19	43535 13123	10	 * 	277.55	DCR|5VULN|3DUR|2CDMG	168DUR|28CDMG|3578aVULN|4RMIN|8BPWR|9RCR
20	46133 16312	7	   	276.90	DCR|4VULN|3DUR|2DMG	14aDUR|239aVULN|5FEWX|6BEXP|7aDMG|8RCR|aBPWR
21	46213 13232	6	   	276.90	DCR|4VULN|3DUR|2DMG	16aDUR|248aVULN|3LHND|5LWND|7RCR|9aDMG|aBPWR
22	16522 33231	5	 * 	276.80	DCR|3VULN|2DMG|2TLV|2DUR	1LHND|248VULN|34TLV|4BPWR|59DMG|6aDUR|7RCR
23	16523 22214	7	   	276.08	DCR|5VULN|2TLV|1DMG	1LHND|24578VULN|34TLV|4BPWR|6DMG|9RCR|aASPD
24	16523 23214	6	   	276.08	DCR|5VULN|2TLV|1DMG	1LHND|24578VULN|34TLV|4BPWR|6DMG|9RCR|aASPD
25	46121 21212	7	   	274.42	DCR|3VULN|3DMG|2DUR|2ASPD	1aDUR|238VULN|4RCVC|5aASPD|67aDMG|9RCR|aBPWR
26	46121 21412	8	   	274.42	DCR|3VULN|3DMG|2DUR|2ASPD	1aDUR|238VULN|4RCVC|5aASPD|67aDMG|9RCR|aBPWR
27	13423 11425	1	 * 	274.20	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	1aLHND|28DMG|39aVULN|4TLV|5DUR|6aCDMG|7RCR|aBPWR
28	46131 22512	8	   	272.57	DCR|3VULN|3DUR|1TLV|1DMG	148DUR|237VULN|5ASPD|6DMG|9RCR|aTLV
29	46521 22132	7	 * 	272.44	DCR|3VULN|3DUR|2TLV|1DMG	159DUR|247VULN|34TLV|4BPWR|6DMG|8LWND|aRCR
30	46521 23132	6	   	272.44	DCR|3VULN|3DUR|2TLV|1DMG	159DUR|247VULN|34TLV|4BPWR|6DMG|8LWND|aRCR
31	66522 33221	5	   	272.44	DCR|3VULN|3DUR|2TLV|1DMG	1BEXP|248VULN|34TLV|4BPWR|5DMG|69aDUR|7RCR
32	66521 23232	4	   	272.27	DCR|5VULN|2TLV|1DUR	1BEXP|24578VULN|34TLV|4BPWR|6ASPD|9DUR|aRCR
33	66523 23232	5	   	272.27	DCR|5VULN|2TLV|1DUR	1BEXP|24578VULN|34TLV|4BPWR|6ASPD|9DUR|aRCR
34	16131 42323	7	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	1LHND|2358VULN|45DUR|5BPWR|6RPLT|7DMG|9RCR|aTLV
35	16131 44123	6	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	1LHND|2357VULN|45DUR|5BPWR|6RPLT|8DMG|9RCR|aTLV
36	16131 45123	7	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	1LHND|2357VULN|45DUR|5BPWR|6RPLT|8DMG|9RCR|aTLV
37	46121 22212	6	   	272.00	DCR|3VULN|3DUR|2DMG|2ASPD	17aDUR|238VULN|4RCVC|5aASPD|6aDMG|9RCR|aBPWR
38	46121 22512	8	   	272.00	DCR|3VULN|3DUR|2DMG|2ASPD	18aDUR|237VULN|4RCVC|5aASPD|6aDMG|9RCR|aBPWR
39	46161 22211	7	   	271.60	DCR|5VULN|1DMG|1DUR|1CDMG	1DUR|23478VULN|5ASPD|6DMG|9RCR|aCDMG
40	46161 23211	6	   	271.60	DCR|5VULN|1DMG|1DUR|1CDMG	1DUR|23478VULN|5ASPD|6DMG|9RCR|aCDMG
41	13362 11525	1	 * 	271.20	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	1aLHND|2DMG|3aDUR|489VULN|5TLV|6aCDMG|7RCR|aBPWR
42	43352 52223	1	 * 	270.96	4VULN|3DMG|3DUR|3TLV|2ASPD	137DUR|278DMG|49ASPD|589TLV|6789VULN|789BPWR|aLIT
43	13462 63231	1	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	1LHND|29DMG|348VULN|5aDUR|6TLV|7RCR
44	41111 61522	7	   	268.47	DCR|4VULN|2DUR|1TLV|2ASPD	17DUR|258FEWX|3457VULN|57BPWR|67ASPD|9TLV|aRCR
45	16161 22215	7	   	267.90	DCR|5VULN|1TLV|1DMG	1LHND|23478VULN|5ASPD|6DMG|9RCR|aTLV
46	16161 23215	6	   	267.90	DCR|5VULN|1TLV|1DMG	1LHND|23478VULN|5ASPD|6DMG|9RCR|aTLV
47	46131 22214	7	   	267.84	DCR|4VULN|2DUR|1DMG|1CDMG	14DUR|2378VULN|5ASPD|6DMG|9RCR|aCDMG
48	46131 23214	6	   	267.84	DCR|4VULN|2DUR|1DMG|1CDMG	14DUR|2378VULN|5ASPD|6DMG|9RCR|aCDMG
49	16523 22212	7	   	267.77	DCR|5VULN|2TLV|1DMG	1LHND|24578VULN|34TLV|4BPWR|6DMG|9RCR|aRMIN
50	16523 22213	7	   	267.77	DCR|5VULN|2TLV|1DMG	1aLHND|24578VULN|34TLV|4BPWR|6DMG|9RCR
51	16523 22215	7	   	267.77	DCR|5VULN|2TLV|1DMG	1LHND|24578VULN|34TLV|4BPWR|6DMG|9RCR|aLWND
52	16523 22412	8	   	267.77	DCR|5VULN|2TLV|1DMG	1LHND|24578VULN|34TLV|4BPWR|6DMG|9RCR|aRMIN
53	16523 22413	8	   	267.77	DCR|5VULN|2TLV|1DMG	1aLHND|24578VULN|34TLV|4BPWR|6DMG|9RCR
54	16523 23212	6	   	267.77	DCR|5VULN|2TLV|1DMG	1LHND|24578VULN|34TLV|4BPWR|6DMG|9RCR|aRMIN
55	16523 23213	6	   	267.77	DCR|5VULN|2TLV|1DMG	1aLHND|24578VULN|34TLV|4BPWR|6DMG|9RCR
56	16523 23215	6	   	267.77	DCR|5VULN|2TLV|1DMG	1LHND|24578VULN|34TLV|4BPWR|6DMG|9RCR|aLWND
57	66523 22212	7	   	267.77	DCR|5VULN|2TLV|1DMG	1BEXP|24578VULN|34TLV|4BPWR|6DMG|9RCR|aRMIN
58	66523 22213	7	   	267.77	DCR|5VULN|2TLV|1DMG	1BEXP|24578VULN|34TLV|4BPWR|6DMG|9RCR|aLHND
59	66523 23212	6	   	267.77	DCR|5VULN|2TLV|1DMG	1BEXP|24578VULN|34TLV|4BPWR|6DMG|9RCR|aRMIN
60	66523 23213	6	   	267.77	DCR|5VULN|2TLV|1DMG	1BEXP|24578VULN|34TLV|4BPWR|6DMG|9RCR|aLHND
61	16523 22252	7	   	267.77	DCR|5VULN|2TLV|1DMG	1LHND|24578VULN|34TLV|4BPWR|6DMG|9BEXP|aRCR
62	16523 23252	6	   	267.77	DCR|5VULN|2TLV|1DMG	1LHND|24578VULN|34TLV|4BPWR|6DMG|9BEXP|aRCR
63	16523 22216	7	   	267.67	DCR|5VULN|2TLV|1DMG	1LHND|24578VULN|34TLV|4BPWR|6DMG|9RCR|aBBNT
64	16523 22412	9	   	267.67	DCR|5VULN|2TLV|1DMG	1LHND|24578VULN|34TLV|4BPWR|6DMG|9DUST|aRCR
65	16523 23216	6	   	267.67	DCR|5VULN|2TLV|1DMG	1LHND|24578VULN|34TLV|4BPWR|6DMG|9RCR|aBBNT
66	16523 22211	7	   	267.53	DCR|5VULN|2TLV|1DMG|1SELL	1LHND|24578VULN|34TLV|4BPWR|6DMG|9RCR|aSELL
67	16523 22411	8	   	267.53	DCR|5VULN|2TLV|1DMG|1SELL	1LHND|24578VULN|34TLV|4BPWR|6DMG|9RCR|aSELL
68	16523 23211	6	   	267.53	DCR|5VULN|2TLV|1DMG|1SELL	1LHND|24578VULN|34TLV|4BPWR|6DMG|9RCR|aSELL
69	66523 22211	7	   	267.53	DCR|5VULN|2TLV|1DMG|1SELL	1BEXP|24578VULN|34TLV|4BPWR|6DMG|9RCR|aSELL
70	66523 23211	6	   	267.53	DCR|5VULN|2TLV|1DMG|1SELL	1BEXP|24578VULN|34TLV|4BPWR|6DMG|9RCR|aSELL
71	63441 23212	1	   	267.33	DCR|5VULN|2DMG|2ASPD	1aBEXP|24DMG|3578aVULN|6aASPD|9RCR|aBPWR
72	46151 31441	7	   	267.25	DCR|5VULN|3DUR|1AART	157DUR|23578VULN|4MBVNT|57BPWR|67CGEN|9AART|aRCR
73	46151 32441	6	   	267.25	DCR|5VULN|3DUR|1AART	157DUR|23578VULN|4MBVNT|57BPWR|67CGEN|9AART|aRCR
74	13462 31433	1	   	267.16	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1LHND|2DMG|349aVULN|5DUR|6AART|7TLV|8RCR
75	16523 25122	6	 * 	267.02	DCR|4VULN|2DMG|2TLV	1LHND|2459VULN|34TLV|4BPWR|68DMG|7RPLT|aRCR
76	61162 52312	7	   	266.93	DCR|5VULN|3DMG	17aBEXP|2FEWX|3579aVULN|4LEGI|67aDMG|7aBPWR|8RCR
