0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61422 11112	10	 * 	298.91	DCR|3VULN|3DMG|3DUR|1TLV	18aDUR|2aLHND|378DMG|4LWND|5TLV|68aVULN|8aBPWR|9RCR
36	25262 31224	7	   	275.36	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|24aVULN|3CDMG|5AART|6DMG|79DUR|8RCR
37	25262 31324	8	   	275.36	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|24aVULN|3CDMG|5AART|6DMG|79DUR|8RCR
38	66216 21321	7	   	275.12	DCR|3VULN|3DUR|2DMG	138DUR|238VULN|38BPWR|4LHND|5LWND|6RCR|78DMG|9BBNT|aLIT
39	66212 26113	7	   	274.79	DCR|4VULN|2DUR|1DMG|1TLV	13DUR|2357VULN|35BPWR|45LHND|6RCR|8BBNT|9DMG|aTLV
40	66212 41113	6	   	274.79	DCR|4VULN|2DUR|1DMG|1TLV	13DUR|2356VULN|35BPWR|45LHND|7RCR|8BBNT|9DMG|aTLV
41	66212 26123	7	   	274.26	DCR|5VULN|2DUR|1TLV	13DUR|23579VULN|35BPWR|45LHND|6RCR|8BBNT|aTLV
42	66212 41123	6	   	274.26	DCR|5VULN|2DUR|1TLV	13DUR|23569VULN|35BPWR|45LHND|7RCR|8BBNT|aTLV
43	66233 52312	3	   	273.68	DCR|3VULN|3DUR|1DMG|1TLV	139DUR|234VULN|3BPWR|5LIT|6TLV|7RCR|8DMG|aLHND
44	66233 52323	3	   	273.68	DCR|3VULN|3DUR|1DMG|1TLV	13aDUR|234VULN|3BPWR|5LIT|6TLV|7RCR|8DMG|9CGEN
45	66233 52311	3	   	273.58	DCR|3VULN|3DUR|1DMG|1TLV	139DUR|234VULN|3BPWR|5LIT|6TLV|7RCR|8DMG|aERES
46	66222 63331	9	   	273.55	DCR|3VULN|2DMG|2DUR|2CDMG	13DUR|239VULN|39BPWR|4CGEN|5FEWX|69CDMG|7ERES|89DMG|aRCR
47	66232 24213	9	   	273.48	DCR|2VULN|3DUR|2DMG|2AART|1TLV	137DUR|23VULN|3BPWR|46AART|5TLV|8RCR|9aDMG
48	66232 24233	8	   	273.48	DCR|2VULN|3DUR|2DMG|2AART|1TLV	137DUR|23VULN|3BPWR|46AART|5TLV|8RCR|9aDMG
49	36131 36313	1	   	273.46	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	17ZMB|26DUR|37ASPD|457VULN|7BPWR|8DMG|9TLV|aRCR
50	66261 12321	6	 * 	273.35	DCR|3VULN|2DMG|2DUR|3LIT	13DUR|23aVULN|3BPWR|459LIT|68DMG|7RCR
51	63115 32511	1	   	272.89	DCR|3VULN|2DMG|2DUR|1ASPD	18DUR|28DMG|3ASPD|4LIT|5BELT|6RCR|78aVULN|8BPWR|9LWND
52	63115 32531	1	   	272.89	DCR|3VULN|2DMG|2DUR|1ASPD	18DUR|28DMG|3ASPD|4LIT|5BELT|6RCR|78aVULN|8BPWR|9BEXP
53	63121 32511	1	   	272.89	DCR|3VULN|2DMG|2DUR|1ASPD	18DUR|28DMG|3ASPD|4BELT|5LIT|6RCR|78aVULN|8BPWR|9LWND
54	63121 32531	1	   	272.89	DCR|3VULN|2DMG|2DUR|1ASPD	18DUR|28DMG|3ASPD|4BELT|5LIT|6RCR|78aVULN|8BPWR|9BEXP
55	63121 32541	1	   	272.89	DCR|3VULN|2DMG|2DUR|1ASPD	18DUR|28DMG|3ASPD|4BELT|5LIT|6RCR|78aVULN|8BPWR|9LHND
56	63121 32561	1	   	272.89	DCR|3VULN|2DMG|2DUR|1ASPD	18DUR|28DMG|3ASPD|4BELT|5LIT|6RCR|789VULN|8BPWR|aLHND
57	65243 21111	10	   	272.89	DCR|3VULN|2DMG|2DUR|1ASPD	1aDUR|2LIT|35aVULN|4ASPD|6RMIN|7RCR|8FEWX|9aDMG|aBPWR
58	63121 32551	1	   	272.79	DCR|3VULN|2DMG|2DUR|1ASPD	18DUR|28DMG|3ASPD|4BELT|5LIT|6RCR|78aVULN|8BPWR|9DUST
59	66233 62331	3	   	272.79	DCR|3VULN|2DMG|2DUR|1ASPD	13DUR|234VULN|3BPWR|5LIT|68DMG|7RCR|9ASPD|aLWND
60	66233 62332	3	   	272.69	DCR|3VULN|2DMG|2DUR|1ASPD	13DUR|234VULN|3BPWR|5LIT|68DMG|7RCR|9ASPD|aDUST
61	63234 22413	3	   	272.34	DCR|4VULN|2DMG|1DUR|1ASPD	1DUR|2ASPD|3MBVNT|4689VULN|57DMG|aRCR
62	63251 22413	4	   	272.34	DCR|4VULN|2DMG|1DUR|1ASPD	1DUR|2ASPD|3MBVNT|47DMG|5689VULN|aRCR
63	63253 12413	6	   	272.34	DCR|4VULN|2DMG|1DUR|1ASPD	1DUR|2ASPD|3MBVNT|47DMG|5689VULN|aRCR
64	63253 13313	7	   	272.34	DCR|4VULN|2DMG|1DUR|1ASPD	1DUR|2ASPD|3MBVNT|48DMG|5679VULN|aRCR
65	63253 22413	5	   	272.34	DCR|4VULN|2DMG|1DUR|1ASPD	1DUR|2ASPD|3MBVNT|47DMG|5689VULN|aRCR
66	66212 26321	8	   	272.19	DCR|4VULN|2DUR|1DMG|1CDMG	13DUR|2357VULN|35BPWR|45LHND|6RCR|8DMG|9ERES|aCDMG
67	25231 14251	6	 * 	271.82	DCR|3VULN|3DMG|3TLV|1CDMG	158TLV|278VULN|3CDMG|4ERES|689DMG|8BPWR|aRCR
68	45112 31284	6	   	271.76	DCR|4VULN|3DUR|1DMG	19LWND|2589VULN|345DUR|59BPWR|6MBVNT|7RCR|aDMG
69	41462 11112	10	   	271.10	DCR|3VULN|3DMG|1TLV|1DUR	18aLWND|2aLHND|378DMG|4DUR|5TLV|68aVULN|8aBPWR|9RCR
70	25135 51112	2	   	271.01	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1TLV|245aVULN|3ASPD|6DUR|7RCR|8BBNT|9DMG
71	25135 51121	2	   	270.48	DCR|5VULN|1TLV|1DUR|1ASPD	1TLV|2459aVULN|3ASPD|6DUR|7RCR|8BBNT
72	66233 12362	8	   	270.21	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	13DUR|235VULN|3BPWR|4AART|6ASPD|7LWND|8RCR|9CDMG|aDMG
73	66233 14211	10	   	269.79	DCR|3VULN|3DUR|1DMG|1ASPD	137DUR|235VULN|3BPWR|4AART|6ASPD|8RCR|9DMG|aBEXP
74	66233 14212	9	   	269.79	DCR|3VULN|3DUR|1DMG|1ASPD	137DUR|235VULN|3BPWR|4AART|6ASPD|8RCR|9DMG|aLWND
75	66233 14212	10	   	269.79	DCR|3VULN|3DUR|1DMG|1ASPD	137DUR|235VULN|3BPWR|4AART|6ASPD|8RCR|9DMG|aMLV
76	66233 14232	8	   	269.79	DCR|3VULN|3DUR|1DMG|1ASPD	137DUR|235VULN|3BPWR|4AART|6ASPD|8RCR|9DMG|aLWND
77	66233 24211	9	   	269.79	DCR|3VULN|3DUR|1DMG|1ASPD	137DUR|235VULN|3BPWR|4AART|6CGEN|8RCR|9DMG|aASPD
78	66233 24231	8	   	269.79	DCR|3VULN|3DUR|1DMG|1ASPD	137DUR|235VULN|3BPWR|4AART|6CGEN|8RCR|9DMG|aASPD
79	66233 14213	9	   	269.69	DCR|3VULN|3DUR|1DMG|1ASPD	137DUR|235VULN|3BPWR|4AART|6ASPD|8RCR|9DMG|aDUST
80	66233 14233	8	   	269.69	DCR|3VULN|3DUR|1DMG|1ASPD	137DUR|235VULN|3BPWR|4AART|6ASPD|8RCR|9DMG|aDUST
81	66212 26321	10	   	269.64	DCR|4VULN|2DUR|1DMG|1ASPD	13DUR|2357VULN|35BPWR|459LHND|6RCR|8DMG|aASPD
82	66212 26332	10	   	269.64	DCR|4VULN|2DUR|1DMG|1ASPD	13DUR|2357VULN|35BPWR|45LHND|6RCR|8DMG|9FEWX|aASPD
83	61422 11115	10	   	269.58	DCR|2VULN|3DMG|2DUR|1TLV|1ASPD	18DUR|2LHND|378DMG|4LWND|5TLV|68VULN|8BPWR|9RCR|aASPD
84	66212 26322	8	   	269.54	DCR|4VULN|2DUR|1DMG|1ASPD	13DUR|2357VULN|35BPWR|45LHND|6RCR|8DMG|9ERES|aASPD
85	66223 41112	6	   	269.44	DCR|4VULN|2DUR|1DMG|1ASPD	13DUR|236aVULN|3BPWR|4CGEN|5ASPD|7RCR|8BBNT|9DMG
86	63234 24413	3	   	269.34	DCR|4VULN|2DUR|1DMG|1ASPD	17DUR|2ASPD|3MBVNT|4689VULN|5DMG|aRCR
87	63251 24413	4	   	269.34	DCR|4VULN|2DUR|1DMG|1ASPD	17DUR|2ASPD|3MBVNT|4DMG|5689VULN|aRCR
88	63253 14413	6	   	269.34	DCR|4VULN|2DUR|1DMG|1ASPD	17DUR|2ASPD|3MBVNT|4DMG|5689VULN|aRCR
89	63253 24413	5	   	269.34	DCR|4VULN|2DUR|1DMG|1ASPD	17DUR|2ASPD|3MBVNT|4DMG|5689VULN|aRCR
90	63253 63413	7	   	269.34	DCR|4VULN|2DUR|1DMG|1ASPD	16DUR|2ASPD|3MBVNT|4DMG|5789VULN|aRCR
91	25262 42132	7	   	269.08	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1TLV|246VULN|3CDMG|5AART|7DUR|8DMG|9LIT|aRCR
92	25263 21362	9	 * 	269.00	DCR|5VULN|3TLV|1CDMG	19aTLV|2489aVULN|3CDMG|5LIT|69aERES|7RCR|9aBPWR
93	25232 22553	3	 * 	268.99	DCR|3VULN|3DUR|2TLV|2CDMG	19TLV|25aVULN|39CDMG|4BBNT|6RCR|789DUR|9BPWR
94	66223 41121	6	   	268.92	DCR|5VULN|2DUR|1ASPD	13DUR|2369aVULN|3BPWR|4CGEN|5ASPD|7RCR|8BBNT
