0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36221 13136	10	 * 	292.51	DCR|5VULN|3DUR|1DMG|2LIT	17LIT|2DMG|378DUR|4567aVULN|7BPWR|9RCR
19	36221 13136	9	   	274.17	DCR|4VULN|3DUR|1DMG|2LIT	17LIT|2DMG|378DUR|4567VULN|7BPWR|9RCR|aCGEN
20	36234 13136	10	   	274.17	DCR|4VULN|3DUR|1DMG|2LIT	17LIT|2DMG|378DUR|4RCVC|567aVULN|7BPWR|9RCR
21	36221 13131	10	   	274.07	DCR|4VULN|3DUR|1DMG|2LIT	17LIT|2DMG|378DUR|4567VULN|7BPWR|9RCR|aERES
22	36221 13134	9	   	274.07	DCR|4VULN|3DUR|1DMG|2LIT	17LIT|2DMG|378DUR|4567VULN|7BPWR|9RCR|aERES
23	33221 15115	7	 * 	273.98	DCR|4VULN|2DUR|1TLV|1CDMG	1LIT|2TLV|39DUR|4568VULN|7CDMG|aRCR
24	33221 15435	9	   	273.98	DCR|4VULN|2DUR|1TLV|1CDMG	1LIT|2TLV|38DUR|4569VULN|7CDMG|aRCR
25	33341 36153	3	 * 	273.14	DCR|2VULN|3DMG|2TLV|3LIT|2ASPD	19aLIT|29TLV|3aASPD|4aVULN|569DMG|7RCR|8TBNT|9aBPWR
26	31362 43153	5	 * 	272.49	DCR|2VULN|3DMG|1TLV|3ASPD|3LIT	19aLIT|239ASPD|4TLV|5aVULN|6RCR|79aDMG|8TBNT|9aBPWR
27	31362 63153	6	   	272.49	DCR|2VULN|3DMG|1TLV|3ASPD|3LIT	19aLIT|239ASPD|4TLV|5aVULN|6RCR|79aDMG|8TBNT|9aBPWR
28	36221 15135	7	   	270.84	DCR|4VULN|2DMG|1DUR|1CDMG	1LIT|29DMG|3DUR|4568VULN|7CDMG|aRCR
29	31221 13635	7	   	270.68	DCR|4VULN|2DUR|2ASPD|2LIT|1CDMG	17LIT|28ASPD|37DUR|4567VULN|7BPWR|9CDMG|aRCR
30	36221 13431	10	   	270.60	DCR|4VULN|2DUR|1DMG|2LIT|1AART	17LIT|2DMG|37DUR|4567VULN|7BPWR|8BEXP|9RCR|aAART
31	43221 13431	7	   	270.44	DCR|4VULN|2DUR|1DMG|2ASPD	17ASPD|2LIT|37DUR|4567VULN|7BPWR|8ERES|9DMG|aRCR
32	43221 13583	9	   	270.44	DCR|4VULN|2DUR|1DMG|2ASPD	17ASPD|2LIT|37DUR|4567VULN|7BPWR|8MBVNT|9DMG|aRCR
33	31221 53136	10	   	270.25	DCR|4VULN|3DUR|2ASPD|2LIT	17LIT|26ASPD|378DUR|457aVULN|7BPWR|9RCR
34	43221 13135	10	   	270.25	DCR|4VULN|3DUR|2ASPD|2LIT	17ASPD|2aLIT|378DUR|4567VULN|7BPWR|9RCR
35	43225 13136	10	   	270.25	DCR|4VULN|3DUR|2ASPD|2LIT	17ASPD|25LIT|378DUR|467aVULN|7BPWR|9RCR
36	33616 22334	1	 * 	269.30	DCR|4VULN|2TLV|3LIT|1DMG	139LIT|2569VULN|45TLV|59BPWR|7DMG|89ERES|aRCR
37	31221 53132	9	   	269.27	DCR|3VULN|3DUR|1DMG|2ASPD|2LIT	17LIT|26ASPD|378DUR|457VULN|7BPWR|9RCR|aDMG
38	43225 13132	9	   	269.27	DCR|3VULN|3DUR|1DMG|2ASPD|2LIT	17ASPD|25LIT|378DUR|467VULN|7BPWR|9RCR|aDMG
39	36221 13432	9	   	269.25	DCR|4VULN|2DUR|1DMG|2LIT	17LIT|2DMG|37DUR|4567VULN|7BPWR|8BEXP|9RCR|aASPD
40	36221 13631	7	   	269.25	DCR|4VULN|2DUR|1DMG|2LIT	17LIT|2DMG|37DUR|4567VULN|7BPWR|8ASPD|9MLV|aRCR
41	36221 13661	7	   	269.25	DCR|4VULN|2DUR|1DMG|2LIT	17LIT|2DMG|37DUR|4567VULN|7BPWR|8ASPD|9CGEN|aRCR
42	36221 13611	7	   	269.15	DCR|4VULN|2DUR|1DMG|2LIT	17LIT|2DMG|37DUR|4567VULN|7BPWR|8ASPD|9ERES|aRCR
43	31221 13431	7	   	269.15	DCR|4VULN|2DUR|1DMG|2LIT	17LIT|2ASPD|37DUR|4567VULN|7BPWR|8ERES|9DMG|aRCR
44	31221 13583	9	   	269.15	DCR|4VULN|2DUR|1DMG|2LIT	17LIT|2ASPD|37DUR|4567VULN|7BPWR|8MBVNT|9DMG|aRCR
45	33363 26152	5	 * 	269.13	DCR|3VULN|2DMG|2TLV|2LIT	19LIT|29TLV|3ASPD|45DMG|69aVULN|7RCR|8TBNT|9BPWR
46	33253 63235	1	   	268.75	DCR|3VULN|2DMG|1TLV|1DUR|2LIT|1SELL	17LIT|27aVULN|3DUR|4TLV|5BBNT|67DMG|7BPWR|8SELL|9RCR
47	36221 15115	7	   	267.84	DCR|4VULN|2DUR|1DMG|1CDMG	1LIT|2DMG|39DUR|4568VULN|7CDMG|aRCR
48	31221 13135	10	   	267.42	DCR|4VULN|3DUR|3LIT	17aLIT|2ASPD|378DUR|4567VULN|7BPWR|9RCR
49	33221 15543	10	   	266.72	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LIT|2TLV|3DUR|456VULN|7CDMG|8ASPD|9RCR|aDMG
50	36221 13435	9	   	265.95	DCR|4VULN|2DUR|3LIT|1DMG	17aLIT|2DMG|37DUR|4567VULN|7BPWR|8BEXP|9RCR
51	33221 15165	7	   	265.95	DCR|4VULN|1TLV|1DUR|2LIT|1CDMG	19LIT|2TLV|3DUR|4568VULN|7CDMG|aRCR
52	33213 36436	10	 * 	264.36	DCR|3VULN|3DUR|1TLV|3LIT	18aLIT|2TLV|38aDUR|4LWND|5MBVNT|6FEWX|78aVULN|8aBPWR|9RCR
53	43221 13235	9	   	264.13	DCR|4VULN|2DUR|2ASPD|1CDMG	17ASPD|2LIT|37DUR|4567VULN|7BPWR|8DMSP|9CDMG|aRCR
54	43221 13235	8	   	264.13	DCR|4VULN|2DUR|2ASPD|1CDMG	17ASPD|2LIT|37DUR|4567VULN|7BPWR|8DMSP|9CDMG|aRCR
55	43221 13435	10	   	264.13	DCR|4VULN|2DUR|2ASPD|1CDMG	17ASPD|2LIT|37DUR|4567VULN|7BPWR|8BEXP|9RCR|aCDMG
56	43221 13535	7	   	264.13	DCR|4VULN|2DUR|2ASPD|1CDMG	17ASPD|2LIT|37DUR|4567VULN|7BPWR|8RCVC|9CDMG|aRCR
57	32261 23146	8	 * 	263.85	DCR|4VULN|2DUR|2CDMG|1AART	1LIT|24CDMG|34DUR|4BPWR|5AART|678aVULN|9RCR
58	36213 14122	9	   	263.84	DCR|4VULN|2DMG|1DUR|2LIT	19LIT|29DMG|3DUR|4LWND|5MBVNT|689aVULN|7RCR|9BPWR
59	36213 16722	9	   	263.84	DCR|4VULN|2DMG|1DUR|2LIT	19LIT|29DMG|3DUR|4LWND|5MBVNT|679aVULN|8RCR|9BPWR
60	43221 13132	10	   	263.70	DCR|4VULN|3DUR|2ASPD	17ASPD|2LIT|378DUR|4567VULN|7BPWR|9RCR|aRCVC
61	43221 13133	9	   	263.70	DCR|4VULN|3DUR|2ASPD	17ASPD|2LIT|378DUR|4567VULN|7BPWR|9RCR|aLWND
62	43221 13133	10	   	263.70	DCR|4VULN|3DUR|2ASPD	17ASPD|2LIT|378DUR|4567VULN|7BPWR|9RCR|aLWND
63	43221 13134	10	   	263.70	DCR|4VULN|3DUR|2ASPD	17ASPD|2LIT|378DUR|4567VULN|7BPWR|9RCR|aRPLT
64	43221 13135	9	   	263.70	DCR|4VULN|3DUR|2ASPD	17ASPD|2LIT|378DUR|4567VULN|7BPWR|9RCR|aLHND
65	43221 13136	9	   	263.70	DCR|4VULN|3DUR|2ASPD	17ASPD|2LIT|378DUR|4567VULN|7BPWR|9RCR|aCGEN
66	43234 13136	10	   	263.70	DCR|4VULN|3DUR|2ASPD	17ASPD|2LIT|378DUR|4RCVC|567aVULN|7BPWR|9RCR
67	43221 13131	10	   	263.60	DCR|4VULN|3DUR|2ASPD	17ASPD|2LIT|378DUR|4567VULN|7BPWR|9RCR|aERES
68	43221 13134	9	   	263.60	DCR|4VULN|3DUR|2ASPD	17ASPD|2LIT|378DUR|4567VULN|7BPWR|9RCR|aERES
69	35222 32354	6	   	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	1LIT|2478VULN|3BELT|5CDMG|6RCR|9TLV|aDMG
70	33226 23211	5	 * 	262.88	ACR|4VULN|3DUR|1TLV|3LIT|1AART	19aLIT|2TLV|39aDUR|489aVULN|5RCR|6RPLT|7AART|9aBPWR
71	33226 33211	6	   	262.88	ACR|4VULN|3DUR|1TLV|3LIT|1AART	19aLIT|2TLV|39aDUR|489aVULN|5RCR|6RPLT|7AART|9aBPWR
72	31221 13235	8	   	262.83	DCR|4VULN|2DUR|2LIT|1CDMG	17LIT|2ASPD|37DUR|4567VULN|7BPWR|8DMSP|9CDMG|aRCR
73	31221 13235	9	   	262.83	DCR|4VULN|2DUR|2LIT|1CDMG	17LIT|2ASPD|37DUR|4567VULN|7BPWR|8DMSP|9CDMG|aRCR
74	31221 13435	10	   	262.83	DCR|4VULN|2DUR|2LIT|1CDMG	17LIT|2ASPD|37DUR|4567VULN|7BPWR|8BEXP|9RCR|aCDMG
75	31221 13535	7	   	262.83	DCR|4VULN|2DUR|2LIT|1CDMG	17LIT|2ASPD|37DUR|4567VULN|7BPWR|8RCVC|9CDMG|aRCR
76	43234 13132	9	   	262.72	DCR|3VULN|3DUR|1DMG|2ASPD	17ASPD|2LIT|378DUR|4RCVC|567VULN|7BPWR|9RCR|aDMG
77	36111 42152	6	   	262.68	DCR|3VULN|2DMG|2TLV	1LIT|29DMG|3LWND|4LHND|59aVULN|6RCR|7ASPD|89TLV|9BPWR
