0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11332 31666	9	 * 	277.98	DCR|5VULN|2DUR|3LIT	1RCVC|24579VULN|37DUR|678LIT|7BPWR|aRCR
13	31334 51236	8	   	271.15	DCR|4VULN|2DMG|2LIT|1ASPD	19LIT|2BEXP|3DLOT|49DMG|5789VULN|6RCR|9BPWR|aASPD
14	15332 22246	9	 * 	270.33	DCR|3VULN|3DUR|2ASPD|1DMG	1RCVC|24ASPD|347DUR|4BPWR|5DMG|68aVULN|9RCR
15	11313 12631	9	 * 	270.06	DCR|4VULN|3CDMG|3LIT|1DUR	1RCVC|279aVULN|3DUR|4RMIN|59aCDMG|6RCR|89aLIT|9aBPWR
16	11332 21214	7	   	269.44	DCR|4VULN|2DUR|1DMG|1ASPD	1RCVC|2456VULN|37DUR|8ASPD|9DMG|aRCR
17	32454 21331	4	 * 	268.88	DCR|4VULN|2ASPD|3LIT|2CDMG	12aLIT|358aVULN|45CDMG|5aBPWR|6BEXP|7aASPD|9RCR
18	33224 65233	3	 * 	268.54	DCR|3VULN|2DMG|2DUR|2LIT	1aLIT|26DUR|3RCVC|46aVULN|5BELT|6aBPWR|7RMIN|8RCR|9aDMG
19	33134 12131	9	 * 	266.70	DCR|2VULN|3DUR|3ASPD|3LIT|1CDMG	19aLIT|29aDUR|3CDMG|4DMSP|58VULN|6RCR|79aASPD|9aBPWR
20	11332 31231	8	   	266.66	DCR|4VULN|3DUR|2LIT	1RCVC|2457VULN|379DUR|67LIT|7BPWR|8FEWX|aRCR
21	11332 21244	7	   	265.63	DCR|4VULN|2DUR|1TLV|1ASPD	1RCVC|2456VULN|37DUR|8ASPD|9TLV|aRCR
22	33331 66532	3	 * 	265.27	DCR|3VULN|3DUR|3LIT|1TLV	19aLIT|29aDUR|3DLOT|4RCVC|5TLV|6RCR|7ERES|89aVULN|9aBPWR
23	46321 42484	3	 * 	264.83	DCR|5VULN|2DMG	138FEWX|2489aVULN|5MBVNT|6RCR|78DMG|8BPWR
24	46331 42484	4	   	264.83	DCR|5VULN|2DMG	138FEWX|2489aVULN|5MBVNT|6RCR|78DMG|8BPWR
25	33223 51635	3	   	264.62	DCR|3VULN|3DUR|1TLV|1ASPD	1LIT|259DUR|3RCVC|458VULN|5BPWR|6TLV|7ASPD|aRCR
26	11336 24342	9	   	264.59	DCR|3VULN|2DMG|2DUR|1ASPD	1RCVC|249VULN|39DUR|5ASPD|68BEXP|79DMG|9BPWR|aRCR
27	32413 15336	7	   	264.49	DCR|3VULN|3LIT|1DMG|1DUR|1CDMG|1AART	124LIT|347VULN|4BPWR|5DMG|6AART|8CDMG|9RCR|aDUR
28	11336 63143	7	   	264.02	DCR|3VULN|3DUR|2ASPD|1CDMG	1RCVC|247VULN|379DUR|57ASPD|6BELT|7BPWR|8RCR|aCDMG
29	33463 33334	8	 * 	263.56	ACR|5VULN|3DUR|2LIT|1AART	1aLIT|28aDUR|3RCR|4679aVULN|5AART|aBPWR
30	33322 61223	3	   	263.32	DCR|3VULN|2DMG|1DUR|2LIT|1AART	18LIT|2DUR|3DLOT|4TBNT|58DMG|6AART|789VULN|8BPWR|aRCR
31	33362 61223	3	   	263.32	DCR|3VULN|2DMG|1DUR|2LIT|1AART	18LIT|2DUR|3DLOT|4BBNT|58DMG|6AART|789VULN|8BPWR|aRCR
32	32452 21331	4	   	262.47	DCR|4VULN|2ASPD|3LIT|1CDMG	12aLIT|358aVULN|4CDMG|6BEXP|7aASPD|9RCR|aBPWR
33	32454 21331	5	   	262.47	DCR|4VULN|2ASPD|3LIT|1CDMG	12aLIT|358aVULN|4CDMG|6BEXP|7aASPD|9RCR|aBPWR
34	32413 51632	6	 * 	261.85	5VULN|3DMG|2DUR|3LIT|1ASPD	124LIT|34689VULN|468BPWR|568DMG|78DUR|aASPD
35	11321 45547	3	   	261.79	DCR|3VULN|2DMG|2DUR	1RCVC|24aVULN|3aDUR|5MBVNT|6RCR|7LWND|8LIT|9aDMG|aBPWR
36	11331 45547	4	   	261.79	DCR|3VULN|2DMG|2DUR	1RCVC|24aVULN|3aDUR|5MBVNT|6RCR|7LWND|8LIT|9aDMG|aBPWR
37	11313 36447	3	   	261.79	DCR|3VULN|2DMG|2DUR	1RCVC|25aVULN|3aDUR|4LWND|6LIT|7RCR|8MBVNT|9aDMG|aBPWR
38	11323 36447	3	   	261.79	DCR|3VULN|2DMG|2DUR	1RCVC|24aVULN|3aDUR|5LWND|6LIT|7RCR|8MBVNT|9aDMG|aBPWR
39	11323 36447	4	   	261.79	DCR|3VULN|2DMG|2DUR	1RCVC|25aVULN|3aDUR|4LWND|6LIT|7RCR|8MBVNT|9aDMG|aBPWR
40	11333 36447	4	   	261.79	DCR|3VULN|2DMG|2DUR	1RCVC|24aVULN|3aDUR|5LWND|6LIT|7RCR|8MBVNT|9aDMG|aBPWR
41	45621 42432	1	   	261.54	DCR|4VULN|2DMG|1DUR	18FEWX|2348VULN|5MBVNT|6RCR|78DMG|8BPWR|9DUR|aRPLT
42	45621 42433	1	   	261.54	DCR|4VULN|2DMG|1DUR	18FEWX|2348VULN|5MBVNT|6RCR|78DMG|8BPWR|9DUR|aCGEN
43	46621 42432	2	   	261.54	DCR|4VULN|2DMG|1DUR	18FEWX|2348VULN|5MBVNT|6RCR|78DMG|8BPWR|9DUR|aRPLT
44	46621 42433	2	   	261.54	DCR|4VULN|2DMG|1DUR	18FEWX|2348VULN|5MBVNT|6RCR|78DMG|8BPWR|9DUR|aCGEN
45	46321 42483	3	   	261.54	DCR|4VULN|2DMG|1TLV	138FEWX|2489VULN|5MBVNT|6RCR|78DMG|8BPWR|aTLV
46	46331 42483	4	   	261.54	DCR|4VULN|2DMG|1TLV	138FEWX|2489VULN|5MBVNT|6RCR|78DMG|8BPWR|aTLV
47	45621 42431	1	   	261.44	DCR|4VULN|2DMG|1DUR	18FEWX|2348VULN|5MBVNT|6RCR|78DMG|8BPWR|9DUR|aBBNT
48	46313 11263	1	   	261.44	DCR|4VULN|2DMG|1DUR	1FEWX|2LHND|345aVULN|6RCR|7DUR|89DMG
49	46621 42431	2	   	261.44	DCR|4VULN|2DMG|1DUR	18FEWX|2348VULN|5MBVNT|6RCR|78DMG|8BPWR|9DUR|aBBNT
50	33134 14141	7	 * 	260.19	DCR|2VULN|2DMG|2DUR|3LIT|1CDMG	18aLIT|2aDUR|3CDMG|4DMSP|57VULN|6RCR|9aDMG|aBPWR
51	31334 51232	8	   	260.15	DCR|4VULN|2DMG|2LIT	19LIT|2BEXP|3DLOT|49DMG|5789VULN|6RCR|9BPWR|aLHND
52	31334 51231	8	   	260.05	DCR|4VULN|2DMG|2LIT	19LIT|2BEXP|3DLOT|49DMG|5789VULN|6RCR|9BPWR|aTBNT
53	31334 51234	8	   	260.05	DCR|4VULN|2DMG|2LIT	19LIT|2BEXP|3DLOT|49DMG|5789VULN|6RCR|9BPWR|aERES
54	33223 46531	3	   	260.01	DCR|4VULN|3DUR	1LIT|258DUR|3RCVC|459aVULN|5BPWR|6LWND|7RCR
55	15336 13262	9	   	259.93	DCR|3VULN|3DUR|2ASPD|1AART	1RCVC|24ASPD|345DUR|4BPWR|6RCR|78aVULN|9AART
56	31334 51233	8	   	259.90	DCR|4VULN|2DMG|2LIT|1SELL	19LIT|2BEXP|3DLOT|49DMG|5789VULN|6RCR|9BPWR|aSELL
57	15336 13213	8	 * 	259.79	DCR|3VULN|3DUR|3ASPD	1RCVC|24aASPD|345DUR|4aBPWR|6RCR|78aVULN|9TBNT
58	11336 63116	10	 * 	259.79	DCR|4VULN|2DUR|2ASPD	1RCVC|2478VULN|37DUR|57ASPD|6BELT|7BPWR|9LWND|aRCR
59	15233 33143	10	   	259.79	DCR|4VULN|2DUR|2ASPD	13RCVC|27ASPD|4789VULN|5BELT|67DUR|7BPWR|aRCR
60	15313 53143	10	   	259.79	DCR|4VULN|2DUR|2ASPD	14RCVC|27ASPD|37DUR|5BELT|6789VULN|7BPWR|aRCR
61	11336 63126	10	   	259.69	DCR|4VULN|2DUR|2ASPD	1RCVC|2478VULN|37DUR|57ASPD|6BELT|7BPWR|9LEGI|aRCR
62	15332 22243	10	   	259.68	DCR|2VULN|3DUR|2ASPD|1DMG|1TLV	1RCVC|24ASPD|347DUR|4BPWR|5DMG|68VULN|9RCR|aTLV
63	33134 15114	6	   	259.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1LIT|2DUR|3CDMG|4DMSP|59aVULN|6RCR|7DMG|8TLV
64	25414 23223	6	   	259.31	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	19CGEN|2CDMG|39DUR|4LWND|5DMG|69aVULN|7AART|8RCR|9BPWR
65	32413 25321	6	   	258.86	DCR|3VULN|2DMG|3LIT|1TLV	124LIT|348VULN|48BPWR|58DMG|68LHND|7BBNT|9RCR|aTLV
66	32413 45321	5	   	258.86	DCR|3VULN|2DMG|3LIT|1TLV	124LIT|348VULN|48BPWR|58DMG|68LHND|7BBNT|9RCR|aTLV
67	32413 53326	10	   	258.86	DCR|3VULN|2DMG|3LIT|1DUR	124LIT|346VULN|46BPWR|56DMG|7FEWX|8MLV|9DUR|aRCR
68	32413 56121	6	   	258.76	DCR|3VULN|2DMG|3LIT|1TLV	124LIT|346VULN|46BPWR|56DMG|7BBNT|8LHND|9RCR|aTLV
69	33312 25626	4	   	258.58	DCR|3VULN|3DUR|3LIT|1AART	15aLIT|245DUR|3DLOT|5aBPWR|69aVULN|7RCR|8AART
70	11213 12142	10	 * 	258.54	DCR|4VULN|2DUR|2CDMG	1RCVC|279aVULN|3LWND|4RMIN|5aCDMG|6RCR|8aDUR|aBPWR
71	11213 43442	10	   	258.54	DCR|4VULN|2DUR|2CDMG	1RCVC|269aVULN|3LWND|4RMIN|5aCDMG|7aDUR|8RCR|aBPWR
72	11213 46142	10	   	258.54	DCR|4VULN|2DUR|2CDMG	1RCVC|269aVULN|3LWND|4RMIN|5aCDMG|7RCR|8aDUR|aBPWR
73	11323 23442	10	   	258.54	DCR|4VULN|2DUR|2CDMG	1RCVC|269aVULN|3aDUR|4LWND|5ZMB|7aCDMG|8RCR|aBPWR
74	13113 42442	10	   	258.54	DCR|4VULN|2DUR|2CDMG	1RCVC|2aDUR|3LHND|4RMIN|5aCDMG|679aVULN|8RCR|aBPWR
75	13126 52236	3	   	258.54	DCR|4VULN|2DUR|2TLV	1RCVC|27DUR|3LHND|479aVULN|57TLV|6RCR|7BPWR|8RPLT
76	13136 52236	4	   	258.54	DCR|4VULN|2DUR|2TLV	1RCVC|27DUR|3LHND|479aVULN|57TLV|6RCR|7BPWR|8RPLT
77	11113 12142	10	   	258.44	DCR|4VULN|2DUR|2CDMG	1RCVC|279aVULN|3LEGI|4RMIN|5aCDMG|6RCR|8aDUR|aBPWR
78	11313 12542	10	   	258.44	DCR|4VULN|2DUR|2CDMG	1RCVC|279aVULN|3aDUR|4RMIN|5aCDMG|6RCR|8LEGI|aBPWR
79	42313 11533	2	   	258.44	DCR|4VULN|2DUR|1DMG	1FEWX|2BEXP|345aVULN|6RCR|79DUR|8DMG
80	45613 11233	1	   	258.44	DCR|4VULN|2DUR|1DMG	1FEWX|235aVULN|4LWND|6RCR|79DUR|8DMG
81	45623 11233	1	   	258.44	DCR|4VULN|2DUR|1DMG	1FEWX|234aVULN|5LWND|6RCR|79DUR|8DMG
82	46313 11233	1	   	258.44	DCR|4VULN|2DUR|1DMG	1FEWX|2LHND|345aVULN|6RCR|79DUR|8DMG
83	46613 11233	2	   	258.44	DCR|4VULN|2DUR|1DMG	1FEWX|235aVULN|4LWND|6RCR|79DUR|8DMG
84	46623 11233	2	   	258.44	DCR|4VULN|2DUR|1DMG	1FEWX|234aVULN|5LWND|6RCR|79DUR|8DMG
85	11113 43442	10	   	258.44	DCR|4VULN|2DUR|2CDMG	1RCVC|269aVULN|3LEGI|4RMIN|5aCDMG|7aDUR|8RCR|aBPWR
86	11113 46142	10	   	258.44	DCR|4VULN|2DUR|2CDMG	1RCVC|269aVULN|3LEGI|4RMIN|5aCDMG|7RCR|8aDUR|aBPWR
87	11332 21614	8	   	258.44	DCR|4VULN|2DUR|1DMG	1RCVC|2456VULN|37DUR|8CGEN|9DMG|aRCR
88	11332 31646	10	   	258.44	DCR|4VULN|2DUR|3LIT	1RCVC|2457VULN|37DUR|678LIT|7BPWR|9LHND|aRCR
89	11332 33641	8	   	258.38	DCR|5VULN|1DUR|2LIT	1RCVC|24589VULN|3DUR|68LIT|78LHND|8BPWR|aRCR
90	11532 31341	7	   	258.38	DCR|5VULN|1DUR|2LIT	1RCVC|24579VULN|37BEXP|67LIT|7BPWR|8DUR|aRCR
91	11332 31426	7	   	258.34	DCR|4VULN|2DUR|3LIT	1RCVC|2457VULN|37DUR|679LIT|7BPWR|8TBNT|aRCR
92	45113 11533	1	   	258.34	DCR|4VULN|2DUR|1DMG	1FEWX|245aVULN|3DUST|6RCR|79DUR|8DMG
93	46113 11533	2	   	258.34	DCR|4VULN|2DUR|1DMG	1FEWX|245aVULN|3DUST|6RCR|79DUR|8DMG
94	11332 65511	7	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1RCVC|245VULN|3DUR|6TLV|7ASPD|8DMG|9AART|aRCR
95	11336 31511	6	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1RCVC|246VULN|3DUR|5ASPD|7TLV|8DMG|9AART|aRCR
96	11336 31552	6	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1RCVC|246VULN|3DUR|5ASPD|7TLV|8DMG|9RCR|aAART
97	11242 21344	9	   	258.11	DCR|5VULN|2DUR	1RCVC|24569VULN|3LWND|79DUR|89LHND|9BPWR|aRCR
98	11242 21443	9	   	258.11	DCR|5VULN|2DUR	1RCVC|24569VULN|3LWND|79DUR|89BEXP|9BPWR|aRCR
99	11242 25143	9	   	258.11	DCR|5VULN|2DUR	1RCVC|24569VULN|3LWND|79BEXP|89DUR|9BPWR|aRCR
100	11532 21443	9	   	258.11	DCR|5VULN|2DUR	1RCVC|24569VULN|3BEXP|79DUR|89FEWX|9BPWR|aRCR
101	11132 21344	9	   	258.01	DCR|5VULN|2DUR	1RCVC|24569VULN|3LEGI|79DUR|89LWND|9BPWR|aRCR
102	11132 21443	9	   	258.01	DCR|5VULN|2DUR	1RCVC|24569VULN|3LEGI|79DUR|89BEXP|9BPWR|aRCR
103	11132 25143	9	   	258.01	DCR|5VULN|2DUR	1RCVC|24569VULN|3LEGI|79BEXP|89DUR|9BPWR|aRCR
104	11132 26144	9	   	258.01	DCR|5VULN|2DUR	1RCVC|24569VULN|3LEGI|79FEWX|89DUR|9BPWR|aRCR
105	11242 23151	10	   	258.01	DCR|5VULN|2DUR	1RCVC|24569VULN|39LWND|7MBVNT|89DUR|9BPWR|aRCR
106	11532 23151	10	   	258.01	DCR|5VULN|2DUR	1RCVC|24569VULN|39BEXP|7MBVNT|89DUR|9BPWR|aRCR
107	11514 12336	2	 * 	258.01	DCR|2VULN|2DMG|3CDMG|2ASPD|2LIT	1RCVC|2aVULN|356CDMG|45LIT|5aBPWR|7aDMG|8RCR|9aASPD
108	11332 21242	10	   	257.91	DCR|5VULN|2DUR	1RCVC|24568VULN|37DUR|9CGEN|aRCR
109	11532 21343	9	   	257.91	DCR|5VULN|2DUR	1RCVC|24569VULN|3BEXP|79DUR|89DUST|9BPWR|aRCR
110	11132 23151	10	   	257.81	DCR|5VULN|2DUR	1RCVC|24569VULN|3LEGI|7MBVNT|89DUR|9BPWR|aRCR
111	62425 22121	1	   	257.81	DCR|5VULN|2DUR	1ZMB|2458aVULN|3TBNT|69DUR|7RCR
112	15332 25324	10	 * 	257.51	DCR|2VULN|2DMG|3ASPD|2DUR	1RCVC|248ASPD|34DUR|48BPWR|58DMG|68VULN|7RPLT|9CGEN|aRCR
113	32413 16621	5	   	257.32	DCR|3VULN|3LIT|1DMG|1TLV|1DUR	124LIT|346VULN|4BPWR|5DMG|7BBNT|8DUR|9RCR|aTLV
114	11332 23244	7	   	257.26	DCR|4VULN|1DMG|1DUR|1CDMG|1SELL	1RCVC|2456VULN|3DUR|7CDMG|8DMG|9SELL|aRCR
115	11512 21331	2	   	257.22	DCR|4VULN|2ASPD|2CDMG	1RCVC|258aVULN|3aCDMG|4LIT|6BEXP|7aASPD|9RCR|aBPWR
116	15232 25142	9	   	257.21	DCR|3VULN|2DUR|2ASPD|1DMG	13RCVC|29ASPD|469VULN|5DMG|7BEXP|89DUR|9BPWR|aRCR
117	15232 26142	9	   	257.21	DCR|3VULN|2DUR|2ASPD|1DMG	13RCVC|29ASPD|469VULN|5DMG|7FEWX|89DUR|9BPWR|aRCR
118	11336 26522	10	 * 	257.11	DCR|3VULN|2DUR|2ASPD|2CDMG	1RCVC|24aVULN|3aDUR|59ASPD|6BEXP|7RCR|8aCDMG|aBPWR
119	46132 12114	7	   	256.75	DCR|4VULN|1TLV|1CDMG|1ASPD	1FEWX|259aVULN|3LIT|4CDMG|6RCR|7ASPD|8TLV
120	46132 12224	9	   	256.75	DCR|4VULN|1DUR|1CDMG|1ASPD	1FEWX|259aVULN|3LIT|4CDMG|6RCR|7ASPD|8DUR
121	11246 31242	9	   	256.39	DCR|4VULN|2DMG|1ASPD	1RCVC|2469VULN|39LWND|5ASPD|7FEWX|89DMG|9BPWR|aRCR
122	11536 31242	9	   	256.39	DCR|4VULN|2DMG|1ASPD	1RCVC|2469VULN|39BEXP|5ASPD|7FEWX|89DMG|9BPWR|aRCR
123	11536 32242	9	   	256.39	DCR|4VULN|2DMG|1ASPD	1RCVC|2469VULN|39BEXP|5ASPD|7LWND|89DMG|9BPWR|aRCR
124	33563 33351	10	   	256.34	DCR|4VULN|2DUR|1AART	1LIT|28DUR|3FEWX|467aVULN|5AART|9RCR
125	11136 31242	9	   	256.29	DCR|4VULN|2DMG|1ASPD	1RCVC|2469VULN|3LEGI|5ASPD|79FEWX|89DMG|9BPWR|aRCR
126	11136 32242	9	   	256.29	DCR|4VULN|2DMG|1ASPD	1RCVC|2469VULN|3LEGI|5ASPD|79LWND|89DMG|9BPWR|aRCR
127	11136 34242	9	   	256.29	DCR|4VULN|2DMG|1ASPD	1RCVC|2469VULN|3LEGI|5ASPD|79BEXP|89DMG|9BPWR|aRCR
128	45621 42444	1	   	256.29	DCR|4VULN|2DMG|1ASPD	18FEWX|2348VULN|5MBVNT|6RCR|78DMG|8BPWR|9LWND|aASPD
129	46621 42444	2	   	256.29	DCR|4VULN|2DMG|1ASPD	18FEWX|2348VULN|5MBVNT|6RCR|78DMG|8BPWR|9LWND|aASPD
130	32413 55121	10	   	256.26	DCR|3VULN|2DMG|3LIT|1CDMG	124LIT|346VULN|46BPWR|56DMG|7CDMG|8aLHND|9RCR
131	32413 55123	9	   	256.26	DCR|3VULN|2DMG|3LIT|1CDMG	124LIT|346VULN|46BPWR|56DMG|7CDMG|8LHND|9RCR|aFEWX
132	32413 53224	10	   	256.26	DCR|3VULN|2DMG|3LIT|1CDMG	124LIT|346VULN|46BPWR|56DMG|7FEWX|8CDMG|9CGEN|aRCR
133	45621 42414	1	   	256.19	DCR|4VULN|2DMG|1ASPD	18FEWX|2348VULN|5MBVNT|6RCR|78DMG|8BPWR|9DUST|aASPD
134	46621 42414	2	   	256.19	DCR|4VULN|2DMG|1ASPD	18FEWX|2348VULN|5MBVNT|6RCR|78DMG|8BPWR|9DUST|aASPD
135	32413 55121	9	   	256.16	DCR|3VULN|2DMG|3LIT|1CDMG	124LIT|346VULN|46BPWR|56DMG|7CDMG|8LHND|9RCR|aLEGI
136	32413 55122	10	   	256.16	DCR|3VULN|2DMG|3LIT|1CDMG	124LIT|346VULN|46BPWR|56DMG|7CDMG|8LHND|9RCR|aERES
137	32413 55122	9	   	256.16	DCR|3VULN|2DMG|3LIT|1CDMG	124LIT|346VULN|46BPWR|56DMG|7CDMG|8LHND|9RCR|aERES
138	32413 55123	10	   	256.16	DCR|3VULN|2DMG|3LIT|1CDMG	124LIT|346VULN|46BPWR|56DMG|7CDMG|8LHND|9RCR|aDUST
139	32451 12136	10	   	256.07	DCR|3VULN|2ASPD|3LIT|1DUR|1CDMG	129LIT|389VULN|4CDMG|5LHND|6RCR|79ASPD|9BPWR|aDUR
140	32432 26611	3	 * 	255.99	DCR|3VULN|3LIT|1DMG|2CDMG|1ASPD	12aLIT|38aVULN|4ASPD|5DMG|6RCR|7RMIN|9aCDMG|aBPWR
141	13126 52235	3	 * 	255.96	DCR|3VULN|2DUR|2TLV|1DMG	1RCVC|27DUR|3LHND|479VULN|57TLV|6RCR|7BPWR|8RPLT|aDMG
142	13136 52235	4	   	255.96	DCR|3VULN|2DUR|2TLV|1DMG	1RCVC|27DUR|3LHND|479VULN|57TLV|6RCR|7BPWR|8RPLT|aDMG
143	11363 12226	6	 * 	255.76	DCR|3VULN|2DUR|1DMG|2CDMG	1RCVC|279VULN|3aDUR|47ERES|57CDMG|6RCR|7BPWR|8DMG
144	32413 42511	10	 * 	255.76	DCR|3VULN|2DUR|3LIT|1DMG	124LIT|348VULN|4BPWR|5DMG|6aDUR|7RPLT|9RCR
145	33463 33431	7	 * 	255.34	ACR|5VULN|2DUR|3LIT|1AART	18aLIT|28DUR|3RCR|46789VULN|5AART|8BPWR
146	33121 43236	5	   	255.10	DCR|3VULN|2DUR|2LIT|1CDMG|1ASPD|1SELL	19LIT|29DUR|3CDMG|4ASPD|569VULN|7TBNT|8SELL|9BPWR|aRCR
147	33121 52236	5	   	255.10	DCR|3VULN|2DUR|2LIT|1CDMG|1ASPD|1SELL	19LIT|29DUR|3CDMG|4ASPD|579VULN|6TBNT|8SELL|9BPWR|aRCR
148	33125 43236	4	   	255.10	DCR|3VULN|2DUR|2LIT|1CDMG|1ASPD|1SELL	19LIT|29DUR|3CDMG|4ASPD|569VULN|7TBNT|8SELL|9BPWR|aRCR
149	33125 52236	4	   	255.10	DCR|3VULN|2DUR|2LIT|1CDMG|1ASPD|1SELL	19LIT|29DUR|3CDMG|4ASPD|579VULN|6TBNT|8SELL|9BPWR|aRCR
150	33134 12133	9	   	254.99	DCR|2VULN|2DUR|2ASPD|1TLV|2LIT|1CDMG	19LIT|29DUR|3CDMG|4DMSP|58VULN|6RCR|79ASPD|9BPWR|aTLV
151	45621 42422	1	   	254.95	DCR|4VULN|2DMG|1AART	18FEWX|2348VULN|5MBVNT|6RCR|78DMG|8BPWR|9AART|aLWND
152	45621 42424	1	   	254.95	DCR|4VULN|2DMG|1AART	18aFEWX|2348VULN|5MBVNT|6RCR|78DMG|8BPWR|9AART
153	46621 42422	2	   	254.95	DCR|4VULN|2DMG|1AART	18FEWX|2348VULN|5MBVNT|6RCR|78DMG|8BPWR|9AART|aLWND
154	46621 42424	2	   	254.95	DCR|4VULN|2DMG|1AART	18aFEWX|2348VULN|5MBVNT|6RCR|78DMG|8BPWR|9AART
155	33116 53331	2	   	254.89	DCR|4VULN|1DUR|1TLV|2LIT	18LIT|2DUR|3TLV|479aVULN|5LHND|6RCR
156	33166 53331	2	   	254.89	DCR|4VULN|1DUR|1TLV|2LIT	18LIT|2DUR|3TLV|4LHND|579aVULN|6RCR
157	36116 53331	1	   	254.89	DCR|4VULN|1DUR|1TLV|2LIT	18LIT|2DUR|3TLV|479aVULN|5LHND|6RCR
158	11332 21214	6	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	17RCVC|2456VULN|3DUR|8ASPD|9DMG|aRCR
159	11332 25614	6	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	18RCVC|2456VULN|3DUR|7ASPD|9DMG|aRCR
160	15232 21244	8	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	13RCVC|2ASPD|4689VULN|5DMG|7DUR|aRCR
161	45621 42421	1	   	254.85	DCR|4VULN|2DMG|1AART	18FEWX|2348VULN|5MBVNT|6RCR|78DMG|8BPWR|9AART|aBBNT
162	46621 42421	2	   	254.85	DCR|4VULN|2DMG|1AART	18FEWX|2348VULN|5MBVNT|6RCR|78DMG|8BPWR|9AART|aBBNT
163	32413 25126	10	   	254.82	DCR|3VULN|3LIT|1DMG|1DUR|1CDMG	124LIT|348VULN|4BPWR|5DMG|6LHND|7CDMG|9RCR|aDUR
164	11332 65234	9	   	254.76	DCR|4VULN|2TLV|1DUR|1ASPD	1RCVC|2458VULN|3DUR|69TLV|7ASPD|aRCR
165	62221 51632	1	 * 	254.65	DCR|3VULN|3DMG|1DUR	18aZMB|28aVULN|3DUR|4LEGI|5LHND|6RCR|78aDMG|8aBPWR|9TBNT
166	33432 32134	9	 * 	254.42	ACR|4VULN|3DUR|1DMG|2LIT	1aLIT|25aDUR|3RCR|4DMG|6CGEN|789aVULN|aBPWR
167	46132 12226	10	   	254.17	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1FEWX|259VULN|3LIT|4CDMG|6RCR|7ASPD|8DUR|aDMG
168	11311 66323	9	   	253.85	DCR|3VULN|2DMG|1DUR|2LIT	1RCVC|28aVULN|3DUR|4RMIN|5BELT|6aLIT|7RCR|9aDMG|aBPWR
169	11311 66333	7	   	253.85	DCR|3VULN|2DMG|1DUR|2LIT	1RCVC|28aVULN|3DUR|4RMIN|5BELT|6aLIT|7RCR|9aDMG|aBPWR
170	11311 66333	8	   	253.85	DCR|3VULN|2DMG|1DUR|2LIT	1RCVC|28aVULN|3DUR|4RMIN|5BELT|6aLIT|7RCR|9aDMG|aBPWR
171	11334 66233	6	   	253.85	DCR|3VULN|2DMG|1DUR|2LIT	1RCVC|24aVULN|3DUR|5RMIN|6BELT|7aLIT|8RCR|9aDMG|aBPWR
