0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31223 53625	1	 * 	293.50	DCR|4VULN|2DUR|2ASPD|1DMG|1CDMG	17DUR|2DMG|37ASPD|478aVULN|5RCVC|6RCR|7BPWR|9CDMG
40	31223 53623	1	   	270.86	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	17DUR|2DMG|37ASPD|478VULN|5RCVC|6RCR|7BPWR|9CDMG|aBEXP
41	31223 53624	1	   	270.86	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	17DUR|2DMG|37ASPD|478VULN|5RCVC|6RCR|7BPWR|9CDMG|aCGEN
42	31223 53626	1	   	270.86	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	17DUR|2DMG|37ASPD|478VULN|5RCVC|6RCR|7BPWR|9CDMG|aFEWX
43	31223 53653	1	   	270.86	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	17DUR|2DMG|37ASPD|478VULN|5RCVC|6RCR|7BPWR|9BEXP|aCDMG
44	31223 53621	1	   	270.76	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	17DUR|2DMG|37ASPD|478VULN|5RCVC|6RCR|7BPWR|9CDMG|aERES
45	31223 53622	1	   	270.76	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	17DUR|2DMG|37ASPD|478VULN|5RCVC|6RCR|7BPWR|9CDMG|aBBNT
46	31223 53633	1	   	270.76	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	17DUR|2DMG|37ASPD|478VULN|5RCVC|6RCR|7BPWR|9DUST|aCDMG
47	31223 53111	1	   	270.43	DCR|3VULN|3DUR|2ASPD|1DMG	179DUR|2DMG|37ASPD|47aVULN|5RCVC|6RCR|7BPWR|8CGEN
48	31223 53411	1	   	270.43	DCR|3VULN|3DUR|2ASPD|1DMG	178DUR|2DMG|37ASPD|47aVULN|5RCVC|6RCR|7BPWR|9ZMB
49	31223 53451	1	   	270.43	DCR|3VULN|3DUR|2ASPD|1DMG	178DUR|2DMG|37ASPD|47aVULN|5RCVC|6RCR|7BPWR|9MLV
50	31223 53311	1	   	270.33	DCR|3VULN|3DUR|2ASPD|1DMG	179DUR|2DMG|37ASPD|47aVULN|5RCVC|6RCR|7BPWR|8ERES
51	31223 53636	1	   	270.33	DCR|3VULN|3DUR|2ASPD|1DMG	17aDUR|2DMG|37ASPD|478VULN|5RCVC|6RCR|7BPWR|9DUST
52	34361 23413	5	   	269.77	DCR|4VULN|3DUR|1AART	147DUR|27FEWX|3579VULN|6RCR|7BPWR|8LIT|aAART
53	32121 13544	1	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	1aDUR|2TBNT|35aVULN|4TLV|6LHND|7RCR|8aDMG|9DMSP|aBPWR
54	32123 13534	1	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	1aDUR|2TBNT|39aVULN|4TLV|5LWND|6RCVC|7RCR|8aDMG|aBPWR
55	32123 53534	1	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	1aDUR|2TBNT|39aVULN|4TLV|56LWND|7RCR|8aDMG|aBPWR
56	32361 23413	5	   	269.57	DCR|4VULN|3DUR|1AART	147DUR|27DUST|3579VULN|6RCR|7BPWR|8LIT|aAART
57	32311 36443	2	   	269.35	DCR|4VULN|2DUR|2ASPD|1AART	18DUR|2DUST|3AART|48ASPD|578aVULN|6RPLT|8BPWR|9RCR
58	33311 36443	1	   	269.35	DCR|4VULN|2DUR|2ASPD|1AART	18DUR|2DUST|3AART|48ASPD|578aVULN|6RPLT|8BPWR|9RCR
59	62511 21325	5	   	268.17	DCR|4VULN|2DUR|1TLV|1CDMG	1TLV|2ERES|358aVULN|47DUR|6RCR|9CDMG
60	31241 53613	2	   	267.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1ASPD	17DUR|27CGEN|3ASPD|4TLV|57DMG|6RCR|7BPWR|89VULN|aCDMG
61	14241 53313	1	   	267.38	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1ASPD	17ERES|27DUR|3ASPD|4TLV|57DMG|6RCR|7BPWR|89VULN|aCDMG
62	35241 53313	2	   	267.38	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1ASPD	17DUR|27ERES|3ASPD|4TLV|57DMG|6RCR|7BPWR|89VULN|aCDMG
63	31223 53433	1	   	266.84	DCR|2VULN|3DUR|2ASPD|1DMG|1CDMG|1AART	178DUR|2DMG|37ASPD|47VULN|5RCVC|6RCR|7BPWR|9CDMG|aAART
64	35331 23316	4	   	266.81	DCR|3VULN|3DUR|2DMG	17aDUR|2aERES|3DMSP|47LWND|57DMG|6RCR|7aBPWR|89aVULN
65	32116 13534	1	   	266.71	DCR|3VULN|3DUR|2DMG	16aDUR|2TBNT|39aVULN|4BEXP|5CGEN|7RCR|8aDMG|aBPWR
66	32141 43334	1	   	266.71	DCR|3VULN|3DUR|2DMG	14aDUR|2TBNT|39aVULN|5LWND|6MLV|7RCR|8aDMG|aBPWR
67	32143 43334	1	   	266.71	DCR|3VULN|3DUR|2DMG	14aDUR|2TBNT|39aVULN|5BEXP|6MLV|7RCR|8aDMG|aBPWR
68	31223 53421	1	 * 	266.70	DCR|2VULN|3DUR|3ASPD|1DMG|1CDMG	178DUR|2DMG|379ASPD|47VULN|5RCVC|6RCR|7BPWR|aCDMG
69	32141 23534	1	   	266.61	DCR|3VULN|3DUR|2DMG	14aDUR|2TBNT|39aVULN|5LWND|6ERES|7RCR|8aDMG|aBPWR
70	32143 23534	1	   	266.61	DCR|3VULN|3DUR|2DMG	14aDUR|2TBNT|39aVULN|5BEXP|6ERES|7RCR|8aDMG|aBPWR
71	33526 61333	5	 * 	266.56	DCR|2VULN|3DMG|3DUR|1ASPD	148DUR|25ZMB|358DMG|58BPWR|68VULN|7TBNT|9RCR|aASPD
72	32121 13334	1	   	266.52	DCR|3VULN|3DUR|2ASPD|1TLV	18aDUR|2TBNT|35aVULN|4TLV|6LHND|7RCR|9aASPD|aBPWR
73	32361 24242	8	   	266.37	DCR|3VULN|3DUR|2DMG|1AART|1SELL	148DUR|2DUST|358VULN|6AART|78DMG|8BPWR|9RCR|aSELL
74	62511 21342	5	   	265.60	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|2ERES|358VULN|47DUR|6RCR|9DMG|aCDMG
75	31223 53215	1	   	265.51	DCR|3VULN|2DUR|2ASPD|1DMG	17DUR|2DMG|37ASPD|479VULN|5RCVC|6RCR|7BPWR|8LHND|aLIT
76	31223 53542	1	   	265.51	DCR|3VULN|2DUR|2ASPD|1DMG	17DUR|2DMG|37ASPD|479VULN|5RCVC|6RCR|7BPWR|8LIT|aLHND
77	31223 53434	1	   	265.48	DCR|2VULN|3DUR|2ASPD|1DMG|1CDMG	178DUR|2DMG|37ASPD|47VULN|5RCVC|6RCR|7BPWR|9CDMG|aLIT
78	34361 23214	5	   	265.45	DCR|4VULN|3DUR|1CDMG	147DUR|27FEWX|3579VULN|6RCR|7BPWR|8LHND|aCDMG
79	31223 53635	1	   	265.41	DCR|3VULN|2DUR|2ASPD|1DMG	17DUR|2DMG|37ASPD|478VULN|5RCVC|6RCR|7BPWR|9DUST|aLIT
80	32361 23214	5	   	265.25	DCR|4VULN|3DUR|1CDMG	147DUR|27DUST|3579VULN|6RCR|7BPWR|8LHND|aCDMG
81	32361 23614	5	   	265.25	DCR|4VULN|3DUR|1CDMG	147DUR|27DUST|3579VULN|6RCR|7BPWR|8BEXP|aCDMG
82	32133 36215	2	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	16DUR|2DUST|379VULN|46DMG|5RPLT|6BPWR|8ASPD|aRCR
83	32333 36215	3	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	16DUR|2DUST|379VULN|46DMG|5RPLT|6BPWR|8ASPD|aRCR
84	33133 36215	1	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	16DUR|2DUST|379VULN|46DMG|5RPLT|6BPWR|8ASPD|aRCR
