0	Index      	 *	Score 	Summary	Detail	
1	32326 12345	 * 	361.59	3MDPS|2VULN|1DUR	1FLTARM|25VULN|34DUST|6DUR|79aMDPS|8MULHEA
12	12331 26163	 * 	353.19	DCR|1MDPS|1VULN|2TLV|2DUR|1DMG	1FEWX|28TLV|37DUR|4RCVC|5VULN|6DMG|9RCR|aMDPS
13	62331 26163	   	353.19	DCR|1MDPS|1VULN|2TLV|2DUR|1DMG	18TLV|2FEWX|37DUR|4RCVC|5VULN|6DMG|9RCR|aMDPS
14	21632 32164	 * 	351.31	DCR|2VULN|1MDPS|1DMG|1DUR	1LHND|2FEWX|3DMG|4RCVC|5DUR|6RCR|7LWND|89VULN|aMDPS
15	61261 33633	 * 	348.80	3VULN|1MDPS|1CDMG|1TLV|1DMG|1DUR	1TLV|2CGEN|3MLV|4DUR|578VULN|6CDMG|9DMG|aMDPS
16	61361 33633	   	348.70	3VULN|1MDPS|1CDMG|1TLV|1DMG|1DUR	1TLV|2CGEN|3ASPD|4DUR|578VULN|6CDMG|9DMG|aMDPS
17	12342 66323	 * 	347.97	DCR|1MDPS|1VULN|2TLV|1CDMG|1DUR	1FEWX|27TLV|3DUR|4CDMG|5AEWIND|6RCR|8VULN|9MLV|aMDPS
18	12311 43514	   	347.87	DCR|1MDPS|1VULN|2TLV|1CDMG|1DUR	1FEWX|29TLV|3DUR|4ERES|5CDMG|6VULN|7TBNT|8RCR|aMDPS
19	12342 66233	   	347.87	DCR|1MDPS|1VULN|2TLV|1CDMG|1DUR	1FEWX|27TLV|3DUR|4CDMG|5AEWIND|6RCR|8AME|9VULN|aMDPS
20	32334 31366	   	344.79	DCR|2VULN|1MDPS|1DUR|1AART	1FLTARM|29VULN|3DUST|4DUR|5FEWX|6BEXP|7RCR|8AART|aMDPS
21	12342 61323	 * 	343.53	DCR|1MDPS|1VULN|1CDMG|2DUR|1TLV	1FEWX|2TLV|37DUR|4CDMG|5AEWIND|6RCR|8VULN|9MLV|aMDPS
22	12342 64323	 * 	343.53	DCR|1MDPS|1VULN|2CDMG|1TLV|1DUR	1FEWX|2TLV|3DUR|47CDMG|5AEWIND|6RCR|8VULN|9MLV|aMDPS
23	62342 61323	   	343.53	DCR|1MDPS|1VULN|1CDMG|2DUR|1TLV	1TLV|2FEWX|37DUR|4CDMG|5AEWIND|6RCR|8VULN|9MLV|aMDPS
24	12342 61233	   	343.43	DCR|1MDPS|1VULN|1CDMG|2DUR|1TLV	1FEWX|2TLV|37DUR|4CDMG|5AEWIND|6RCR|8AME|9VULN|aMDPS
25	12342 61363	   	343.43	DCR|1MDPS|1VULN|1CDMG|2DUR|1TLV	1FEWX|2TLV|37DUR|4CDMG|5AEWIND|6RCR|8VULN|9AME|aMDPS
26	12342 64233	   	343.43	DCR|1MDPS|1VULN|2CDMG|1TLV|1DUR	1FEWX|2TLV|3DUR|47CDMG|5AEWIND|6RCR|8AME|9VULN|aMDPS
27	62342 61233	   	343.43	DCR|1MDPS|1VULN|1CDMG|2DUR|1TLV	1TLV|2FEWX|37DUR|4CDMG|5AEWIND|6RCR|8AME|9VULN|aMDPS
28	12331 25163	   	340.64	DCR|1MDPS|1VULN|2TLV|1DMG|1DUR	1FEWX|28TLV|3DUR|4RCVC|5VULN|6DMG|7AEFRZ|9RCR|aMDPS
29	62331 25163	   	340.64	DCR|1MDPS|1VULN|2TLV|1DMG|1DUR	18TLV|2FEWX|3DUR|4RCVC|5VULN|6DMG|7AEFRZ|9RCR|aMDPS
30	14621 32331	 * 	338.61	ACR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1FEWX|2BOSS|3LEGI|4RCR|59VULN|6DMG|7DUR|8CDMG|aMDPS
31	63462 12223	 * 	337.41	ACR|2VULN|1MDPS|1TLV|1DMG|1DUR	1TLV|29ERES|3AEPOI|4DUR|5RCR|69MLV|7DMG|89VULN|9BPWR|aMDPS
