0	Index      	 *	Score 	Summary	Detail	
1	33631 35623	 * 	275.77	橙橙2矿等1伤害1暴击1攻速1平台	14矿等2金币生成3暴击5攻速68核7平台9赏金塔a伤害
21	33631 33143	   	254.35	橙橙2矿等1暴击1攻速	14矿等2金币生成3暴击5攻速69核7赏金塔8低血量敌人a时间
22	33631 33243	   	254.35	橙橙2矿等1暴击1攻速	14矿等2金币生成3暴击5攻速69核7赏金塔8最后敌人a时间
23	23271 83216	   	253.36	橙橙2易伤1全技能	1导弹对黄2加一3立即金币4随机矿59易伤6a核7喷火对愈8全技能
24	23544 64634	   	253.16	橙橙2易伤1平台	1导弹对黄2加一3平台4多重对甲5双倍秒伤68核7金币生成9a易伤
25	23371 83216	   	253.16	橙橙2易伤1全技能	1导弹对黄2加一3掉矿4双倍矿59易伤6a核7激光对绿8全技能
26	23364 83216	   	253.06	橙橙2易伤1全技能	1导弹对黄2加一35掉矿49易伤6a核7激光对绿8全技能
27	23221 83266	   	252.36	橙橙1易伤1矿等2全技能	1导弹对黄2加一3立即金币4矿等5易伤6a核7激光对绿89全技能
28	33631 33141	   	252.36	橙橙2矿等2暴击1攻速	14矿等2金币生成3a暴击5攻速69核7赏金塔8低血量敌人
29	33631 33241	   	252.36	橙橙2矿等2暴击1攻速	14矿等2金币生成3a暴击5攻速69核7赏金塔8最后敌人
30	33631 33641	   	252.26	橙橙2矿等2暴击1攻速	14矿等2金币生成3a暴击5攻速69核7赏金塔8挖尘
31	51635 33332	   	252.10	橙橙2易伤	1赏金邻近2赏金塔37金币生成49易伤5爆破对壮68核a时间
32	46213 12234	 * 	250.83	橙橙2矿等1易伤	17金币生成2基础对冰37低血量敌人4双倍秒伤5赏金塔67矿等7序列升级8a核9易伤
33	36213 12234	   	250.63	橙橙2矿等1易伤	17矿等2基础对冰37低血量敌人4双倍秒伤5赏金塔67技能点7序列升级8a核9易伤
34	13433 31145	   	250.40	橙橙1伤害1矿等1暴击1攻速	1激光减费2矿等3敌人爆炸4伤害5暴击69核7赏金塔8等级a攻速
35	33316 42141	 * 	249.95	橙4易伤2矿等1伤害	17矿等2金币生成3456易伤8挖尘9核a伤害
36	33323 33242	   	249.75	橙2易伤2伤害2矿等1攻速1平台	19矿等27金币生成39易伤4掉矿5平台6攻速89伤害9序列升级a核
37	51121 13222	   	249.11	橙橙1易伤1暴击1平台	1赏金邻近2赏金塔3核弹4暴击5时间6电塔对甲79核8平台a易伤
38	33342 63362	   	248.68	橙橙1易伤1矿等1攻速	1矿等2金币生成3易伤4基础对愈5挖尘6额外掉落79核8低血量敌人a攻速
39	13131 32345	 * 	246.21	橙橙3时间1矿等1暴击1全技能	1激光减费2矿等357时间4全技能6赏金邻近8a核9暴击
40	33631 33142	   	246.04	橙橙2矿等1暴击1攻速	14矿等2金币生成3暴击5攻速69核7赏金塔8低血量敌人a额外掉落
41	33631 33144	   	246.04	橙橙2矿等1暴击1攻速	14矿等2金币生成3暴击5攻速69核7赏金塔8低血量敌人a雷电
42	33631 33146	   	246.04	橙橙2矿等1暴击1攻速	14矿等2金币生成3暴击5攻速69核7赏金塔8低血量敌人a敌人爆炸
43	33631 33242	   	246.04	橙橙2矿等1暴击1攻速	14矿等2金币生成3暴击5攻速69核7赏金塔8最后敌人a额外掉落
44	33631 33244	   	246.04	橙橙2矿等1暴击1攻速	14矿等2金币生成3暴击5攻速69核7赏金塔8最后敌人a雷电
45	33631 33246	   	246.04	橙橙2矿等1暴击1攻速	14矿等2金币生成3暴击5攻速69核7赏金塔8最后敌人a敌人爆炸
46	33631 33642	   	245.94	橙橙2矿等1暴击1攻速	14矿等2金币生成3暴击5攻速69核7赏金塔8挖尘a立即金币
47	33631 33643	   	245.94	橙橙2矿等1暴击1攻速	14矿等2a金币生成3暴击5攻速69核7赏金塔8挖尘
48	32632 31142	   	245.80	橙橙2矿等1暴击1攻速1策反	14矿等2策反3暴击5基地爆炸69核7赏金塔8等级a攻速
49	33633 33142	   	245.80	橙橙2矿等1暴击1攻速1策反	14矿等2金币生成3暴击5策反69核7赏金塔8低血量敌人a攻速
50	33633 33242	   	245.80	橙橙2矿等1暴击1攻速1策反	14矿等2金币生成3暴击5策反69核7赏金塔8最后敌人a攻速
