0	Index      	 *	Score 	Summary	Detail	
1	52333 12424	 * 	299.87	橙橙2易伤1伤害1矿等1攻速	1伤害28易伤3攻速4赏金邻近5技能69核7赏金塔a矿等
26	13332 62366	   	279.61	橙橙2易伤1矿等1暴击	15易伤2暴击38最后敌人4掉矿6矿等7激光减费9a核
27	13332 55412	   	279.46	橙橙2易伤1矿等1暴击1策反	15易伤2暴击3最后敌人4掉矿6策反7金币生成8a核9矿等
28	16232 53412	   	279.36	橙橙2易伤1矿等1暴击1策反	15易伤2挖尘3暴击4掉矿6策反7金币生成8a核9矿等
29	52214 62221	 * 	278.26	橙3易伤3矿等2伤害	14伤害23a易伤5平台679矿等8核
30	52633 12423	   	276.75	橙橙2易伤1伤害1策反	1伤害28易伤3策反4赏金邻近5技能69核7赏金塔a时间
31	52333 11461	   	276.22	橙橙1易伤1伤害1攻速1暴击	1伤害2易伤3攻速4赏金邻近5技能69核7等级8暴击a时间
32	52333 12323	   	275.02	橙橙1易伤2攻速1伤害	1伤害2易伤38攻速4赏金邻近5技能69核7赏金塔a时间
33	15212 14214	 * 	274.79	橙3易伤2伤害2攻速1矿等	137易伤27攻速47伤害5平台6赏金塔7序列升级8技能点9核a矿等
34	15635 12323	   	274.78	橙橙1易伤2攻速1伤害1策反	1易伤28攻速3策反4赏金邻近5伤害69核7赏金塔a时间
35	12343 12818	   	274.37	橙橙2易伤1矿等	19易伤2时间3最后敌人4加一57金币生成68核a矿等
36	13214 21462	   	272.03	橙橙1易伤1伤害1暴击	1易伤2暴击3双倍秒伤4伤害5全技能68核7防空对愈9时间a最后敌人
37	13214 21463	   	272.03	橙橙1易伤1伤害1暴击	1易伤2暴击3双倍秒伤4伤害5全技能68核7防空对愈9时间a赏金邻近
38	13214 21434	   	271.93	橙橙1易伤1伤害1暴击	1易伤2暴击3双倍秒伤4伤害5全技能68核7防空对愈9掉矿a时间
39	13214 21452	   	271.93	橙橙1易伤1伤害1暴击	1易伤2暴击3双倍秒伤4伤害5全技能68核7防空对愈9毒液对冰a时间
40	13214 21461	   	271.93	橙橙1易伤1伤害1暴击	1易伤2暴击3双倍秒伤4伤害5全技能68核7防空对愈9时间a激光对绿
41	16623 24321	   	271.74	橙橙2易伤1暴击	13易伤236挖尘3序列升级4敌人爆炸5暴击79核8平台a立即金币
42	16623 24322	   	271.74	橙橙2易伤1暴击	13易伤236挖尘3序列升级4敌人爆炸5暴击79核8平台a金币生成
43	16623 24323	   	271.74	橙橙2易伤1暴击	13易伤236挖尘3序列升级4敌人爆炸5暴击79核8平台a最后敌人
44	13214 23166	 * 	271.26	橙4易伤2伤害2暴击	179a易伤27暴击3双倍秒伤47伤害5全技能6核7序列升级8寒冰对冰
45	15212 14413	   	271.00	橙3易伤2伤害2攻速1暴击	137易伤27攻速47伤害5平台6赏金塔7序列升级8等级9核a暴击
46	15212 14213	   	270.90	橙3易伤2伤害2攻速1暴击	137易伤27攻速47伤害5平台6赏金塔7序列升级8技能点9核a暴击
47	15633 12423	   	270.34	橙橙2易伤1攻速1策反	18易伤2攻速3策反4赏金邻近5技能69核7赏金塔a时间
48	13223 16561	   	270.24	橙橙2易伤1暴击1卖塔	18易伤2暴击3双倍秒伤4卖塔5最后敌人69核7时间a双倍矿
49	13223 16562	   	270.24	橙橙2易伤1暴击1卖塔	18易伤2暴击3双倍秒伤4卖塔5最后敌人69核7时间a基地爆炸
50	13223 16563	   	270.24	橙橙2易伤1暴击1卖塔	18易伤2暴击3双倍秒伤4卖塔5a最后敌人69核7时间
