0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22344 33225	6	 * 	272.40	橙2易伤2伤害2时间1等级2暴击	1低血量敌人29伤害35易伤4雷电69时间7等级89暴击9序列升级a核
97	22312 33435	9	 * 	254.04	橙3易伤2伤害1等级1时间	1低血量敌人29伤害34a易伤5随机矿6等级7核8时间
98	22312 33455	7	   	254.04	橙3易伤2伤害1等级1时间	1低血量敌人28伤害34a易伤5随机矿6等级7核9时间
99	22312 33466	7	 * 	253.44	橙3易伤3伤害1等级	1低血量敌人28a伤害349易伤5随机矿6等级7核
100	34412 35333	10	   	253.26	橙4易伤1伤害1时间1暴击	1基地爆炸2345易伤6时间7暴击8伤害9核a雷电
101	24413 61122	9	   	253.18	橙5易伤1等级1暴击	1低血量敌人23489易伤5随机矿6等级7核a暴击
102	24413 61122	8	   	253.18	橙5易伤1等级1暴击	1低血量敌人23489易伤5随机矿6等级7核a暴击
103	24413 61122	7	   	253.18	橙5易伤1等级1暴击	1低血量敌人23489易伤5随机矿6等级7核a暴击
104	24115 32122	4	   	253.08	橙5易伤1等级1暴击	1低血量敌人24589易伤3掉矿6核7等级a暴击
105	24413 32122	4	   	253.08	橙5易伤1等级1暴击	1低血量敌人23489易伤5掉矿6核7等级a暴击
106	24423 32122	3	   	253.08	橙5易伤1等级1暴击	1低血量敌人23489易伤5掉矿6核7等级a暴击
107	34115 32122	4	   	253.08	橙5易伤1等级1暴击	1基地爆炸24589易伤3掉矿6核7等级a暴击
108	34413 32122	4	   	253.08	橙5易伤1等级1暴击	1基地爆炸23489易伤5掉矿6核7等级a暴击
109	54115 32122	4	   	253.08	橙5易伤1等级1暴击	1最后敌人24589易伤3掉矿6核7等级a暴击
110	54413 32122	4	   	253.08	橙5易伤1等级1暴击	1最后敌人23489易伤5掉矿6核7等级a暴击
111	54423 32122	3	   	253.08	橙5易伤1等级1暴击	1最后敌人23489易伤5掉矿6核7等级a暴击
112	24412 31332	9	   	252.70	橙4易伤3时间1暴击	1低血量敌人2345易伤689时间7核a暴击
113	24412 31133	7	   	252.47	橙5易伤2时间	1低血量敌人23458易伤69时间7核a攻速
114	24412 31133	8	   	252.47	橙5易伤2时间	1低血量敌人23458易伤69时间7核a攻速
115	24412 31253	10	   	252.47	橙5易伤2时间	1低血量敌人2345a易伤69时间7核8雷电
116	24412 31323	8	   	252.47	橙5易伤2时间	1低血量敌人23459易伤68时间7核a攻速
117	24412 31623	7	   	252.47	橙5易伤2时间	1低血量敌人23459易伤68时间7核a攻速
118	34412 31133	8	   	252.47	橙5易伤2时间	1基地爆炸23458易伤69时间7核a攻速
119	34412 31133	7	   	252.47	橙5易伤2时间	1基地爆炸23458易伤69时间7核a攻速
120	34412 31141	9	   	252.47	橙5易伤2时间	1基地爆炸23458易伤6a时间7核9攻速
121	34412 31623	7	   	252.47	橙5易伤2时间	1基地爆炸23459易伤68时间7核a攻速
122	34412 31431	10	   	252.02	橙4易伤2时间1等级	1基地爆炸2345易伤69时间7核8等级a金币生成
123	34412 31432	10	   	252.02	橙4易伤2时间1等级	1基地爆炸2345易伤69时间7核8等级a随机矿
124	34412 31433	9	   	252.02	橙4易伤2时间1等级	1基地爆炸2345易伤69时间7核8等级a金币生成
125	34412 31432	9	   	251.92	橙4易伤2时间1等级	1基地爆炸2345易伤69时间7核8等级a加一
126	34412 33432	10	   	251.92	橙4易伤2时间1等级	1基地爆炸2345易伤69时间7挖尘8等级a核
127	22312 13432	10	   	251.24	橙3易伤2时间1等级1伤害	17低血量敌人2伤害347易伤5随机矿67时间7序列升级8等级9立即金币a核
128	22312 13442	10	   	251.24	橙3易伤2时间1等级1伤害	17低血量敌人2伤害347易伤5随机矿67时间7序列升级8等级9最后敌人a核
129	24412 31413	9	   	251.09	橙4易伤1等级1时间1暴击	1a低血量敌人2345易伤6时间7核8等级9暴击
130	34412 31413	9	   	251.09	橙4易伤1等级1时间1暴击	1基地爆炸2345易伤6时间7核8等级9暴击a低血量敌人
131	24411 21411	9	   	251.09	橙4易伤1等级1时间1暴击	1低血量敌人2346易伤5最后敌人7核8等级9暴击a时间
132	24512 31412	9	   	251.09	橙4易伤1等级1时间1暴击	13低血量敌人245a易伤6时间7核8等级9暴击
133	24413 23252	5	   	251.04	橙3易伤2时间1等级1伤害	1低血量敌人234易伤5随机矿6等级7伤害8核9a时间
134	22312 33415	9	   	251.04	橙3易伤2时间1等级1伤害	1低血量敌人2伤害34a易伤5随机矿6等级7核89时间
135	22312 33435	8	   	251.04	橙3易伤2时间1等级1伤害	1低血量敌人2伤害34a易伤5随机矿6等级7核89时间
136	22312 33462	9	   	251.04	橙3易伤2时间1等级1伤害	1低血量敌人2伤害349易伤5随机矿6等级7核8a时间
137	24412 31412	10	   	250.99	橙4易伤1等级1时间1暴击	1低血量敌人2345易伤6时间7核8等级9暴击a掉矿
138	34412 31412	10	   	250.99	橙4易伤1等级1时间1暴击	1基地爆炸2345易伤6时间7核8等级9暴击a掉矿
139	34115 23252	4	   	250.94	橙3易伤2时间1等级1伤害	1基地爆炸245易伤3掉矿6等级7伤害8核9a时间
140	34413 23252	4	   	250.94	橙3易伤2时间1等级1伤害	1基地爆炸234易伤5掉矿6等级7伤害8核9a时间
141	24412 31411	10	   	250.85	橙4易伤1等级1时间1暴击1卖塔	1低血量敌人2345易伤6时间7核8等级9暴击a卖塔
142	34412 31411	10	   	250.85	橙4易伤1等级1时间1暴击1卖塔	1基地爆炸2345易伤6时间7核8等级9暴击a卖塔
143	51131 53533	1	   	250.19	橙3易伤2等级2时间	1a最后敌人25时间3额外掉落4随机矿6a等级78a易伤9核a序列升级
144	43141 23325	1	   	250.11	橙3易伤2等级1时间2雷电1核弹1卖塔	1核弹2卖塔359易伤49等级6时间7低血量敌人89雷电9序列升级a核
145	22311 23416	9	   	250.10	橙3易伤1等级1伤害1时间1暴击	1低血量敌人2伤害346易伤5矿等7时间8等级9暴击a核
146	22313 23465	9	   	249.64	橙5易伤1伤害1时间	1低血量敌人2伤害3469a易伤5最后敌人7核8时间
147	24412 23261	5	   	249.64	橙5易伤1伤害1时间	1低血量敌人23459易伤6基地爆炸7伤害8核a时间
148	34412 13261	5	   	249.64	橙5易伤1伤害1时间	1基地爆炸23459易伤6低血量敌人7伤害8核a时间
149	24413 23261	5	   	249.56	橙4易伤1等级1伤害	1低血量敌人2349易伤5随机矿6等级7伤害8核a攻速
150	22313 26255	9	   	249.56	橙4易伤1等级1伤害	1低血量敌人2伤害346a易伤5最后敌人7雷电8等级9核
151	34412 31226	7	   	249.54	橙5易伤1伤害1时间	1基地爆炸23459易伤6时间7核8挖尘a伤害
152	24412 34322	5	   	249.54	橙5易伤1伤害1时间	1低血量敌人23456易伤7赏金塔8时间9伤害a核
153	22344 13253	9	   	249.46	橙4易伤1等级1伤害	1低血量敌人2伤害356a易伤4雷电7挖尘8等级9核
154	34115 23261	4	   	249.46	橙4易伤1等级1伤害	1基地爆炸2459易伤3掉矿6等级7伤害8核a攻速
155	34413 23261	4	   	249.46	橙4易伤1等级1伤害	1基地爆炸2349易伤5掉矿6等级7伤害8核a攻速
156	22316 34521	4	   	249.09	橙4易伤2伤害1时间	159低血量敌人29伤害3489易伤6核7平台9序列升级a时间
157	22316 34521	5	   	249.09	橙4易伤2伤害1时间	159低血量敌人29伤害3489易伤6核7平台9序列升级a时间
158	21253 24622	9	   	249.01	橙3易伤2等级1时间1暴击1卖塔	1a低血量敌人2最后敌人3卖塔46a易伤5时间7暴击8a等级9核a序列升级
159	24512 31126	9	   	248.89	橙4易伤2伤害1时间	13低血量敌人2458易伤6时间7核9a伤害
160	24213 22526	7	   	248.84	橙4易伤2伤害1时间1卖塔	19低血量敌人2689易伤3卖塔4最后敌人5时间79伤害9序列升级a核
161	24311 21424	3	   	248.81	橙4易伤3等级	18a低血量敌人278a易伤3矿等4雷电5随机矿68a等级8a序列升级9核
162	34311 21424	3	   	248.81	橙4易伤3等级	18a基地爆炸278a易伤3矿等4雷电5随机矿68a等级8a序列升级9核
163	24412 33216	6	   	248.79	橙4易伤2伤害1时间	1低血量敌人2345易伤6时间7a伤害8核9掉矿
164	24111 21424	3	   	248.71	橙4易伤3等级	18a低血量敌人278a易伤3掉矿4雷电5随机矿68a等级8a序列升级9核
165	34111 21424	3	   	248.71	橙4易伤3等级	18a基地爆炸278a易伤3掉矿4雷电5随机矿68a等级8a序列升级9核
166	24412 31334	10	   	248.71	橙4易伤3时间1全技能	1低血量敌人2345易伤689时间7核a全技能
167	21342 16122	5	   	248.61	橙4易伤2等级	1a低血量敌人2最后敌人3a等级4雷电5掉矿689a易伤7核a序列升级
168	31413 22662	3	 * 	248.59	橙4易伤3伤害	178基地爆炸2a最后敌人389a易伤48a伤害5赏金塔6核8a序列升级
169	31413 22662	4	   	248.59	橙4易伤3伤害	178基地爆炸2a最后敌人389a易伤48a伤害5赏金塔6核8a序列升级
170	22353 33433	7	   	248.56	橙2易伤2等级2伤害1时间	18低血量敌人2a伤害38易伤4敌人爆炸5金币生成68等级7核8序列升级9时间
171	26413 33433	7	   	248.56	橙2易伤2等级2伤害1时间	18低血量敌人2敌人爆炸38易伤4a伤害5金币生成68等级7核8序列升级9时间
172	31316 14422	9	   	248.56	橙2易伤2等级2伤害1时间	1a基地爆炸28最后敌人3a等级46易伤5时间7a伤害9核a序列升级
173	25342 16122	5	   	248.51	橙4易伤2等级	1a低血量敌人2挖青3a等级4雷电5掉矿689a易伤7核a序列升级
174	26311 44552	4	   	248.46	橙2易伤2等级2伤害1时间	1a低血量敌人2敌人爆炸3a等级48易伤5加一6时间7核9a伤害a序列升级
175	26421 44452	4	   	248.46	橙2易伤2等级2伤害1时间	1a低血量敌人2敌人爆炸3a易伤48等级5加一6时间7核9a伤害a序列升级
176	33116 26132	7	 * 	248.46	橙2易伤3等级2伤害1时间	123基地爆炸23a序列升级4a易伤5时间6核7a伤害89a等级
177	36136 13342	1	   	248.46	橙2易伤3等级2伤害1时间	1基地爆炸23a等级4时间5低血量敌人6核7a易伤8敌人爆炸9a伤害a序列升级
178	22122 13225	2	   	248.12	橙2易伤2伤害1等级2暴击2雷电	1低血量敌人29伤害3等级46易伤59雷电7敌人爆炸89暴击9序列升级a核
179	22342 13225	3	   	248.12	橙2易伤2伤害1等级2暴击2雷电	1低血量敌人29伤害36易伤4等级59雷电7敌人爆炸89暴击9序列升级a核
180	25122 13225	1	   	248.12	橙2易伤2伤害1等级2暴击2雷电	1低血量敌人29伤害3等级46易伤59雷电7敌人爆炸89暴击9序列升级a核
181	55122 13225	1	   	248.12	橙2易伤2伤害1等级2暴击2雷电	1最后敌人29伤害3等级46易伤59雷电7敌人爆炸89暴击9序列升级a核
182	22122 16225	2	   	248.02	橙2易伤2伤害1等级2暴击2雷电	1低血量敌人29伤害3等级46易伤59雷电7挖尘89暴击9序列升级a核
183	22342 16225	3	   	248.02	橙2易伤2伤害1等级2暴击2雷电	1低血量敌人29伤害36易伤4等级59雷电7挖尘89暴击9序列升级a核
184	25122 16225	1	   	248.02	橙2易伤2伤害1等级2暴击2雷电	1低血量敌人29伤害3等级46易伤59雷电7挖尘89暴击9序列升级a核
185	34631 33412	5	   	248.01	橙3易伤1等级1时间1暴击1全技能	1基地爆炸27a易伤3雷电4全技能5等级6暴击8时间9核
186	34631 33412	6	   	248.01	橙3易伤1等级1时间1暴击1全技能	1基地爆炸27a易伤3雷电4全技能5等级6暴击8时间9核
187	44262 32322	7	 * 	247.90	橙3易伤2伤害2暴击1时间1核弹	1核弹29暴击3立即金币4时间5随机矿69a易伤79伤害8核9序列升级
188	22344 32251	9	   	247.88	橙2易伤3时间1等级1伤害	1低血量敌人2伤害35易伤4雷电67a时间8等级9核
189	51512 26122	7	   	247.87	橙2易伤3伤害2等级	123最后敌人4a易伤5挖尘6核79a伤害8a等级a序列升级
190	51512 36122	7	   	247.87	橙2易伤3伤害2等级	123最后敌人4a易伤5挖尘6a等级79a伤害8核a序列升级
191	24413 26123	10	   	247.84	橙5易伤1等级	1低血量敌人2348a易伤5随机矿6核7雷电9等级
192	24413 26213	10	   	247.84	橙5易伤1等级	1低血量敌人2349a易伤5随机矿6核7雷电8等级
193	24413 61213	10	   	247.84	橙5易伤1等级	1低血量敌人2349a易伤5随机矿6等级7核8雷电
194	24413 61123	7	   	247.84	橙5易伤1等级	1低血量敌人23489易伤5随机矿6等级7核a攻速
195	24413 61123	8	   	247.84	橙5易伤1等级	1低血量敌人23489易伤5随机矿6等级7核a攻速
196	24413 61123	9	   	247.84	橙5易伤1等级	1低血量敌人23489易伤5随机矿6等级7核a攻速
197	24115 32123	4	   	247.74	橙5易伤1等级	1低血量敌人24589易伤3掉矿6核7等级a攻速
198	24413 32123	4	   	247.74	橙5易伤1等级	1低血量敌人23489易伤5掉矿6核7等级a攻速
199	24423 32123	3	   	247.74	橙5易伤1等级	1低血量敌人23489易伤5掉矿6核7等级a攻速
200	34115 32123	4	   	247.74	橙5易伤1等级	1基地爆炸24589易伤3掉矿6核7等级a攻速
201	34413 32123	4	   	247.74	橙5易伤1等级	1基地爆炸23489易伤5掉矿6核7等级a攻速
202	54115 32123	4	   	247.74	橙5易伤1等级	1最后敌人24589易伤3掉矿6核7等级a攻速
203	54413 32123	4	   	247.74	橙5易伤1等级	1最后敌人23489易伤5掉矿6核7等级a攻速
204	54423 32123	3	   	247.74	橙5易伤1等级	1最后敌人23489易伤5掉矿6核7等级a攻速
205	22313 21422	3	   	247.72	橙3易伤2等级1伤害	18a低血量敌人2伤害378易伤4雷电5矿等68等级8序列升级9核
206	22313 21423	3	   	247.72	橙3易伤2等级1伤害	18低血量敌人2伤害378易伤4雷电5矿等68等级8序列升级9核a立即金币
207	22313 21425	3	   	247.72	橙3易伤2等级1伤害	18低血量敌人2伤害378易伤4雷电5矿等68等级8序列升级9核a策反
208	22343 21422	4	   	247.72	橙3易伤2等级1伤害	18a低血量敌人2伤害378易伤4雷电5矿等68等级8序列升级9核
209	22343 21423	4	   	247.72	橙3易伤2等级1伤害	18低血量敌人2伤害378易伤4雷电5矿等68等级8序列升级9核a立即金币
210	22343 21425	4	   	247.72	橙3易伤2等级1伤害	18低血量敌人2伤害378易伤4雷电5矿等68等级8序列升级9核a策反
211	22313 21421	3	   	247.62	橙3易伤2等级1伤害	18低血量敌人2伤害378易伤4雷电5矿等68等级8序列升级9核a掉矿
212	22313 21426	3	   	247.62	橙3易伤2等级1伤害	18低血量敌人2伤害378易伤4雷电5矿等68等级8序列升级9核a双倍物品
213	22332 21423	4	   	247.62	橙3易伤2等级1伤害	18低血量敌人2伤害378易伤4掉矿5雷电68等级8序列升级9核a最后敌人
214	22332 21425	4	   	247.62	橙3易伤2等级1伤害	18低血量敌人2伤害378易伤4掉矿5雷电68等级8序列升级9核a策反
215	22342 21423	5	   	247.62	橙3易伤2等级1伤害	18低血量敌人2伤害378易伤4雷电5掉矿68等级8序列升级9核a最后敌人
216	22342 21425	5	   	247.62	橙3易伤2等级1伤害	18低血量敌人2伤害378易伤4雷电5掉矿68等级8序列升级9核a策反
217	22343 21421	4	   	247.62	橙3易伤2等级1伤害	18低血量敌人2伤害378易伤4雷电5矿等68等级8序列升级9核a掉矿
218	22343 21426	4	   	247.62	橙3易伤2等级1伤害	18低血量敌人2伤害378易伤4雷电5矿等68等级8序列升级9核a双倍物品
219	22313 23422	3	   	247.62	橙3易伤3等级1伤害	18低血量敌人2伤害38a易伤4雷电5矿等678等级8序列升级9核
220	22343 23422	4	   	247.62	橙3易伤3等级1伤害	18低血量敌人2伤害38a易伤4雷电5矿等678等级8序列升级9核
221	22332 21421	4	   	247.52	橙3易伤2等级1伤害	18低血量敌人2伤害378易伤4a掉矿5雷电68等级8序列升级9核
222	22332 21426	4	   	247.52	橙3易伤2等级1伤害	18低血量敌人2伤害378易伤4掉矿5雷电68等级8序列升级9核a双倍物品
223	22332 23422	4	   	247.52	橙3易伤3等级1伤害	18低血量敌人2伤害38a易伤4掉矿5雷电678等级8序列升级9核
224	22342 21421	5	   	247.52	橙3易伤2等级1伤害	18低血量敌人2伤害378易伤4雷电5a掉矿68等级8序列升级9核
