0	Index      	Bounty	 *	Score 	Summary	Detail	
1	53253 32226	9	 * 	304.70	橙5易伤2等级2伤害	1258a易伤28序列升级38伤害4敌人爆炸6雷电78等级9核
23	26313 32226	9	   	287.12	橙5易伤2等级1伤害	18敌人爆炸2358a易伤4伤害6雷电78等级8序列升级9核
24	53253 32221	9	   	286.36	橙4易伤2等级2伤害	1258易伤28序列升级38伤害4敌人爆炸6雷电78等级9核a立即金币
25	53253 32223	9	   	286.36	橙4易伤2等级2伤害	1258易伤28序列升级38伤害4敌人爆炸6雷电78等级9核a基地爆炸
26	53253 32223	10	   	286.36	橙4易伤2等级2伤害	1258易伤28序列升级38伤害4敌人爆炸6雷电78等级9核a矿等
27	53253 32224	10	   	286.36	橙4易伤2等级2伤害	1258易伤28序列升级38伤害4敌人爆炸6雷电78等级9核a低血量敌人
28	26312 32226	9	   	286.36	橙4易伤2等级2伤害	18敌人爆炸238a易伤45伤害6雷电78等级8序列升级9核
29	53251 32226	9	   	286.36	橙4易伤2等级2伤害	128a易伤28序列升级38伤害45敌人爆炸6雷电78等级9核
30	53253 32225	9	   	286.26	橙4易伤2等级2伤害	1258易伤28序列升级38伤害4敌人爆炸6雷电78等级9核a挖青
31	53253 32225	10	   	286.12	橙4易伤2等级2伤害1卖塔	1258易伤28序列升级38伤害4敌人爆炸6雷电78等级9核a卖塔
32	53342 32211	10	   	285.95	橙4易伤2等级2时间2雷电1卖塔	125a易伤25a序列升级3卖塔45雷电6核7随机矿8a等级9a时间
33	26313 32221	10	   	285.02	橙4易伤2等级1伤害1时间	18敌人爆炸2358易伤4伤害6雷电78等级8序列升级9核a时间
34	53261 14331	6	 * 	284.28	橙3易伤3伤害2时间1等级	127易伤27序列升级347伤害5加一67时间8核9挖尘a等级
35	53261 64331	5	   	284.28	橙3易伤3伤害2时间1等级	127易伤27序列升级347伤害5加一67时间8核9挖尘a等级
36	53233 14433	6	 * 	283.48	橙3易伤2等级3时间1伤害	128易伤28序列升级3伤害48a时间5策反6敌人爆炸78等级9核
37	51211 41142	9	   	282.79	橙3易伤3伤害2时间2雷电	15a易伤2全技能39时间4a雷电68a伤害7核a序列升级
38	51311 32332	9	   	282.74	橙3易伤2等级2伤害2全技能	13a易伤27全技能4a等级5策反6攻速8a伤害9核a序列升级
39	53232 22436	4	   	282.01	橙5易伤2伤害2时间	1269a易伤2a序列升级3a伤害4a时间5双倍矿7核8额外掉落
40	53233 22426	4	   	282.01	橙5易伤2伤害2时间	1256a易伤2a序列升级3a伤害4a时间7核8额外掉落9立即金币
41	51313 56121	9	   	281.96	橙5易伤2等级1暴击	1358a易伤2全技能45等级5序列升级6基地爆炸7核9暴击
42	53241 32431	3	   	281.91	橙5易伤2伤害2时间	12459易伤25序列升级35伤害6a时间7核8额外掉落
43	51313 36121	9	   	281.86	橙5易伤2等级1暴击	1358a易伤2全技能45等级5序列升级6挖青7核9暴击
44	51313 36161	8	   	281.86	橙5易伤2等级1暴击	1358a易伤2全技能45等级5序列升级6挖青7核9暴击
45	26312 32221	10	   	281.56	橙3易伤2等级2伤害1时间	18敌人爆炸238易伤45伤害6雷电78等级8序列升级9核a时间
46	53251 32221	10	   	281.56	橙3易伤2等级2伤害1时间	128易伤28序列升级38伤害45敌人爆炸6雷电78等级9核a时间
47	54253 32221	10	   	281.56	橙3易伤2等级2伤害1时间	158易伤2立即金币38伤害4敌人爆炸6雷电78等级8序列升级9核a时间
48	53241 32333	3	   	280.98	橙5易伤2伤害1时间1暴击	12459易伤25序列升级35伤害6时间7核8金币生成a暴击
49	53241 32633	3	   	280.88	橙5易伤2伤害1时间1暴击	12459易伤25序列升级35伤害6时间7核8掉矿a暴击
50	51313 61331	5	   	280.80	橙4易伤2等级2时间	135a易伤2全技能45等级5序列升级68时间7平台9核
51	51311 15132	2	 * 	280.22	橙3易伤3等级2伤害1暴击	157易伤2全技能3赏金塔457等级57序列升级67伤害8基地爆炸9核a暴击
52	51313 36162	5	   	280.22	橙3易伤2等级2伤害1暴击	135易伤2全技能45等级5序列升级69伤害7金币生成8暴击a核
53	51313 55221	10	   	279.86	橙4易伤2等级1时间1暴击	1357易伤2全技能45等级5序列升级6基地爆炸8时间9暴击a核
54	51313 34361	10	   	279.76	橙4易伤2等级1时间1暴击	1359易伤2全技能45等级5序列升级6挖青7暴击8时间a核
55	51313 36131	7	   	279.76	橙4易伤2等级1时间1暴击	135a易伤2全技能45等级5序列升级6挖青7核8时间9暴击
56	53261 14374	6	   	279.71	橙3易伤3伤害3时间	127易伤27序列升级347伤害5加一679时间8核a雷电
57	53263 41131	10	   	279.43	橙4易伤3伤害2时间	1269易伤269序列升级346伤害5随机矿79时间89基地爆炸a核
58	53261 14416	6	   	279.23	橙4易伤3伤害2时间	1278易伤27序列升级347伤害5加一67时间9低血量敌人a核
59	53261 14323	6	   	279.13	橙4易伤3伤害2时间	127a易伤27序列升级347伤害5加一67时间8核9赏金邻近
60	53261 64323	5	   	279.13	橙4易伤3伤害2时间	127a易伤27序列升级347伤害5加一67时间8核9赏金邻近
61	53313 16231	10	 * 	278.76	橙4易伤3时间1等级1暴击1卖塔	1257易伤257序列升级3卖塔457时间67掉矿8暴击9核a等级
62	51212 41252	9	   	278.61	橙4易伤2伤害3雷电1时间	189a易伤2全技能3时间45a雷电6a伤害7核a序列升级
63	26313 32226	10	   	278.43	橙4易伤2等级1伤害	18敌人爆炸2358易伤4伤害6雷电78等级8序列升级9核a全技能
64	53113 12135	7	   	278.05	橙4易伤2等级2伤害	127a易伤2a序列升级3低血量敌人4a伤害5策反6敌人爆炸8a等级9核
65	53111 26135	7	   	278.05	橙4易伤2等级2伤害	126a易伤2a序列升级3低血量敌人4a伤害5敌人爆炸7策反8a等级9核
66	53113 43135	6	   	278.05	橙4易伤2等级2伤害	126a易伤2a序列升级3低血量敌人4a伤害5策反7基地爆炸8a等级9核
67	53113 41135	7	   	277.95	橙4易伤2等级2伤害	126a易伤2a序列升级3低血量敌人4a伤害5策反7挖尘8a等级9核
68	53211 26135	7	   	277.95	橙4易伤2等级2伤害	126a易伤2a序列升级3a伤害4挖青5敌人爆炸7策反8a等级9核
69	53213 12135	7	   	277.95	橙4易伤2等级2伤害	127a易伤2a序列升级3a伤害4挖青5策反6敌人爆炸8a等级9核
70	53213 43135	6	   	277.95	橙4易伤2等级2伤害	126a易伤2a序列升级3a伤害4挖青5策反7基地爆炸8a等级9核
71	26312 22535	5	   	277.85	橙4易伤2等级2伤害	1敌人爆炸2369易伤45伤害7核8a等级
72	26313 22525	4	   	277.85	橙4易伤2等级2伤害	1敌人爆炸2356易伤49伤害7核8a等级
73	26313 22525	5	   	277.85	橙4易伤2等级2伤害	1敌人爆炸2356易伤49伤害7核8a等级
74	53213 41135	7	   	277.85	橙4易伤2等级2伤害	126a易伤2a序列升级3a伤害4挖青5策反7挖尘8a等级9核
75	51313 24111	10	   	277.55	橙4易伤2等级1伤害2全技能1卖塔	135a易伤27全技能45等级5序列升级6卖塔8核9伤害
76	54223 24223	1	   	277.42	橙3易伤2等级1伤害1时间1暴击	14a易伤25等级3暴击6伤害7时间8核9雷电
77	55223 24223	2	   	277.42	橙3易伤2等级1伤害1时间1暴击	14a易伤25等级3暴击6伤害7时间8核9雷电
78	53241 23413	3	   	277.28	橙5易伤2伤害1等级	12457易伤25序列升级35伤害6矿等8等级9敌人爆炸a核
79	53241 23433	3	   	277.28	橙5易伤2伤害1等级	12457易伤25序列升级35伤害6矿等8等级9最后敌人a核
80	53241 23162	3	   	277.04	橙5易伤2伤害1等级1卖塔	12457易伤25序列升级35伤害6矿等8卖塔9核a等级
81	51342 35332	9	   	277.01	橙4易伤2伤害1等级	137a易伤2全技能4a策反5等级6攻速8a伤害9核a序列升级
82	51121 41153	2	 * 	276.49	橙5易伤3伤害	1579a易伤2全技能357伤害4赏金塔57序列升级67基地爆炸8核
83	51131 41153	2	   	276.49	橙5易伤3伤害	1579a易伤2全技能357伤害4赏金邻近57序列升级67基地爆炸8核
84	55111 33433	5	 * 	276.27	橙2易伤2等级3时间2伤害1核弹	18易伤28等级39伤害4核弹5敌人爆炸678时间8序列升级a核
85	53242 22532	3	   	275.74	橙5易伤1等级1伤害1时间	12469易伤2序列升级3伤害5挖尘7核8等级a时间
86	53243 22532	4	   	275.74	橙5易伤1等级1伤害1时间	12569易伤2序列升级3伤害4挖尘7核8等级a时间
87	51335 61313	4	   	275.43	橙4易伤2时间1等级1暴击	1357易伤2全技能47时间6核7序列升级8暴击9最后敌人a等级
88	51225 61313	4	   	275.43	橙4易伤2时间1等级1暴击	1457易伤2全技能37时间6核7序列升级8暴击9最后敌人a等级
89	26313 32222	10	   	275.32	橙4易伤2等级1伤害2雷电	18敌人爆炸2358易伤4伤害6a雷电78等级8序列升级9核
90	53313 42143	9	   	275.22	橙5易伤2时间2攻速2雷电1卖塔	1259a易伤259序列升级3卖塔45时间69雷电7核89攻速
91	53241 32115	3	   	275.19	橙4易伤2伤害1等级1时间	1245易伤25序列升级35伤害6时间7核89策反a等级
92	53241 32235	3	   	275.19	橙4易伤2伤害1等级1时间	1245易伤25序列升级35伤害6时间7核8敌人爆炸9基地爆炸a等级
93	53233 22325	4	   	275.09	橙4易伤2伤害1等级1时间	1256易伤2序列升级39伤害4时间7核8金币生成a等级
94	53243 22522	3	   	275.09	橙4易伤2伤害1等级1时间	1246易伤2序列升级39伤害5基地爆炸7核8等级a时间
95	53263 22532	4	   	275.09	橙4易伤2伤害1等级1时间	1269易伤2序列升级34伤害5基地爆炸7核8等级a时间
96	53233 22625	4	   	274.99	橙4易伤2伤害1等级1时间	1256易伤2序列升级39伤害4时间7核8掉矿a等级
97	26312 32226	10	   	274.97	橙3易伤2等级2伤害	18敌人爆炸238易伤45伤害6雷电78等级8序列升级9核a全技能
98	53251 32226	10	   	274.97	橙3易伤2等级2伤害	128易伤28序列升级38伤害45敌人爆炸6雷电78等级9核a全技能
99	51311 15131	2	   	274.87	橙3易伤3等级2伤害	157易伤2全技能3赏金塔457等级57序列升级67伤害8基地爆炸9核a攻速
