0	Index      	 *	Score 	Summary	Detail	
1	31122 55336	 * 	278.15	DCR|DCR|2VULN|1DMG|1RPLT	18RCVC|2DMG|37VULN|46DUST|5RPLT|9aRCR
47	54133 41223	   	250.80	ACR|DCR|2VULN|1MLV|1ASPD	1MLV|29VULN|3RCVC|4CGEN|58RCR|6DUST|7LHND|aASPD
48	54133 43223	   	250.80	ACR|DCR|2VULN|1MLV|1ASPD	1MLV|29VULN|3RCVC|4CGEN|58RCR|6DUST|7LWND|aASPD
49	54113 41223	   	250.70	ACR|DCR|2VULN|1MLV|1ASPD	1MLV|29VULN|3RCVC|4ERES|58RCR|6DUST|7LHND|aASPD
50	54113 43223	   	250.70	ACR|DCR|2VULN|1MLV|1ASPD	1MLV|29VULN|3RCVC|4ERES|58RCR|6DUST|7LWND|aASPD
51	51353 13263	   	250.70	ACR|DCR|2VULN|1MLV|1ASPD	1MLV|23ERES|49VULN|58RCR|6FEWX|7LWND|aASPD
52	53613 63223	   	250.70	ACR|DCR|2VULN|1MLV|1ASPD	1MLV|2LHND|3LEGI|4AME|58RCR|6DMSP|79VULN|aASPD
53	53325 32441	 * 	250.68	DCR|DCR|3MLV|1RPLT	189MLV|2LHND|3DUR|4RPLT|5MBVNT|6TBNT|7aRCR
54	51353 41223	   	250.60	ACR|DCR|2VULN|1MLV|1ASPD	1MLV|23ERES|49VULN|58RCR|6DUST|7LHND|aASPD
55	51353 43223	   	250.60	ACR|DCR|2VULN|1MLV|1ASPD	1MLV|23ERES|49VULN|58RCR|6DUST|7LWND|aASPD
56	52613 13223	   	250.60	ACR|DCR|2VULN|1MLV|1ASPD	1MLV|26DUST|3LHND|4AME|58RCR|79VULN|aASPD
57	22252 51233	   	250.27	DCR|DCR|1VULN|1DMG|1RPLT	1LIT|2FEWX|3BBNT|4TBNT|5RPLT|6RCVC|79RCR|8VULN|aDMG
58	22452 51233	   	250.27	DCR|DCR|1VULN|1DMG|1RPLT	1LIT|2FEWX|3TBNT|4BBNT|5RPLT|6RCVC|79RCR|8VULN|aDMG
59	33533 66223	   	249.35	ACR|DCR|2VULN|1DMG|1RPLT	1RCVC|2FEWX|3LHND|47VULN|58RCR|6LEGI|9RPLT|aDMG
60	21333 41523	   	248.82	DCR|DCR|1VULN|1DMG	1LIT|2VULN|3BLAICY|4DUR|5CGEN|6TLV|7BEXP|89RCR|aDMG
61	21353 42523	   	248.82	DCR|DCR|1VULN|1DMG	1LIT|2VULN|3BLAICY|4LHND|5CGEN|6TLV|7DUR|89RCR|aDMG
62	21432 21333	   	248.57	DCR|DCR|1VULN|1DMG|1SELL	1LIT|2VULN|3TBNT|4SELL|5BBNT|6MBVNT|79RCR|8DUR|aDMG
