0	Index      	 *	Score 	Summary	Detail	
1	51132 36351	 * 	293.65	DCR|DCR|1VULN|2MLV|2ASPD|1CDMG	1aASPD|2TBNT|3LHND|4aMLV|5VULN|6CDMG|78RCR|9aLIT|aBPWR
15	51132 36325	   	280.00	DCR|DCR|1VULN|2CDMG|1MLV|1ASPD	1ASPD|2TBNT|3LHND|4MLV|5VULN|69CDMG|78RCR|aDUR
16	22515 11122	   	279.76	DCR|DCR|1VULN|1DMG|1MLV|1CDMG|1AART|1SELL	1CDMG|2MLV|3AART|4VULN|5DUR|6SELL|78RCR|9TLV|aDMG
17	14331 45351	   	279.61	DCR|DCR|2VULN|1MLV|1ASPD	1TBNT|2MBVNT|3MSLREG|4ASPD|5FEWX|67VULN|89RCR|aMLV
18	14431 45351	   	279.61	DCR|DCR|2VULN|1MLV|1ASPD	1TBNT|2MBVNT|3LSRHEA|4ASPD|5FEWX|67VULN|89RCR|aMLV
19	22512 11142	   	279.46	DCR|DCR|2VULN|1MLV|1CDMG|1AART|1SELL	1CDMG|2MLV|3AART|4aVULN|5BEXP|6SELL|78RCR|9LWND
20	22512 11152	   	279.46	DCR|DCR|2VULN|1MLV|1CDMG|1AART|1SELL	1CDMG|2MLV|3AART|4aVULN|5BEXP|6SELL|78RCR|9LHND
21	11132 36323	   	278.11	DCR|DCR|1VULN|1DMG|2CDMG|1MLV	1TBNT|2LWND|3AAC|4MLV|5VULN|69CDMG|78RCR|aDMG
22	22511 11166	   	276.66	DCR|DCR|1VULN|2MLV|1CDMG|1AART|1RPLT|1SELL	1CDMG|29MLV|3AART|4VULN|5LWND|6SELL|78RCR|aRPLT
23	14341 45352	   	275.43	DCR|DCR|2VULN|1DMG	1TBNT|2MBVNT|3MSLREG|4DMG|5FEWX|67VULN|89RCR|aNUKE
24	14441 45352	   	275.43	DCR|DCR|2VULN|1DMG	1TBNT|2MBVNT|3LSRHEA|4DMG|5FEWX|67VULN|89RCR|aNUKE
25	22511 12155	   	275.30	DCR|DCR|1VULN|2MLV|1CDMG|1AART|1SELL	1CDMG|28MLV|3AART|4VULN|5LWND|6SELL|7DUR|9aRCR
26	22515 11113	   	275.20	DCR|DCR|1VULN|2MLV|1CDMG|1AART|1SELL	1CDMG|2aMLV|3AART|4VULN|5DUR|6SELL|78RCR|9MDPS
27	51142 36323	   	274.23	DCR|DCR|1VULN|1DMG|2CDMG|1ASPD	1ASPD|2TBNT|3LHND|4TLV|5VULN|69CDMG|78RCR|aDMG
28	51132 36313	   	273.69	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2TBNT|3LHND|4MLV|5VULN|6CDMG|78RCR|9FEWX|aDUR
29	51132 36333	   	273.69	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2TBNT|3LHND|4MLV|5VULN|6CDMG|78RCR|9BEXP|aDUR
30	51432 36313	   	273.69	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2TBNT|3LWND|4MLV|5VULN|6CDMG|78RCR|9FEWX|aDUR
31	51432 36333	   	273.69	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2TBNT|3LWND|4MLV|5VULN|6CDMG|78RCR|9BEXP|aDUR
32	22225 46312	   	273.69	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2MLV|3BEXP|4ASPD|5TBNT|6VULN|78RCR|9FEWX|aDUR
33	51132 36343	   	273.59	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2TBNT|3LHND|4MLV|5VULN|6CDMG|78RCR|9LEGI|aDUR
34	53135 21142	   	271.74	DCR|DCR|2VULN|1ASPD|1AART	1ASPD|2LHND|3AART|46ERES|5aVULN|78RCR|9LWND
35	53135 21114	   	271.64	DCR|DCR|2VULN|1ASPD|1AART	1ASPD|2LHND|3AART|46ERES|5aVULN|78RCR|9MDPS
36	53135 21162	   	271.64	DCR|DCR|2VULN|1ASPD|1AART	1ASPD|2LHND|3AART|46ERES|5aVULN|78RCR|9LEGI
37	51132 36321	   	271.60	DCR|DCR|1VULN|2CDMG|1MLV|1ASPD	1ASPD|2TBNT|3LHND|4MLV|5VULN|69CDMG|78RCR|aERES
38	51132 36322	   	271.60	DCR|DCR|1VULN|2CDMG|1MLV|1ASPD|1ZMB	1ASPD|2TBNT|3LHND|4MLV|5VULN|69CDMG|78RCR|aZMB
39	51132 36324	   	271.60	DCR|DCR|1VULN|2CDMG|1MLV|1ASPD	1ASPD|2TBNT|3LHND|4MLV|5VULN|69CDMG|78RCR|aDUST
40	51132 36326	   	271.60	DCR|DCR|1VULN|2CDMG|1MLV|1ASPD	1ASPD|2TBNT|3LHND|4MLV|5VULN|69CDMG|78RCR|aMDPS
41	51432 36321	   	271.60	DCR|DCR|1VULN|2CDMG|1MLV|1ASPD	1ASPD|2TBNT|3LWND|4MLV|5VULN|69CDMG|78RCR|aERES
42	51432 36322	   	271.60	DCR|DCR|1VULN|2CDMG|1MLV|1ASPD|1ZMB	1ASPD|2TBNT|3LWND|4MLV|5VULN|69CDMG|78RCR|aZMB
43	22225 46321	   	271.60	DCR|DCR|1VULN|2CDMG|1MLV|1ASPD	19CDMG|2MLV|3BEXP|4ASPD|5TBNT|6VULN|78RCR|aERES
44	22225 46322	   	271.60	DCR|DCR|1VULN|2CDMG|1MLV|1ASPD|1ZMB	19CDMG|2MLV|3BEXP|4ASPD|5TBNT|6VULN|78RCR|aZMB
45	22512 11122	   	271.45	DCR|DCR|1VULN|1DMG|1MLV|1CDMG|1AART|1SELL	1CDMG|2MLV|3AART|4VULN|5BEXP|6SELL|78RCR|9TLV|aDMG
46	26512 11162	   	270.24	DCR|DCR|2VULN|1CDMG|1AART|1SELL	1CDMG|2CGEN|3AART|4aVULN|5BEXP|6SELL|78RCR|9DUR
47	23512 11162	   	270.14	DCR|DCR|2VULN|1CDMG|1AART|1SELL	1CDMG|2ERES|3AART|4aVULN|5BEXP|6SELL|78RCR|9DUR
48	23515 11142	   	270.14	DCR|DCR|2VULN|1CDMG|1AART|1SELL	1CDMG|2ERES|3AART|4aVULN|5DUR|6SELL|78RCR|9LWND
49	23515 11152	   	270.14	DCR|DCR|2VULN|1CDMG|1AART|1SELL	1CDMG|2ERES|3AART|4aVULN|5DUR|6SELL|78RCR|9LHND
50	23515 11114	   	270.04	DCR|DCR|2VULN|1CDMG|1AART|1SELL	1CDMG|2ERES|3AART|4aVULN|5DUR|6SELL|78RCR|9MDPS
51	14331 45352	   	269.02	DCR|DCR|2VULN|1ASPD	1TBNT|2MBVNT|3MSLREG|4ASPD|5FEWX|67VULN|89RCR|aNUKE
52	14431 45352	   	269.02	DCR|DCR|2VULN|1ASPD	1TBNT|2MBVNT|3LSRHEA|4ASPD|5FEWX|67VULN|89RCR|aNUKE
53	14341 45354	   	268.49	DCR|DCR|2VULN|1DMG	1TBNT|2MBVNT|3MSLREG|4DMG|5FEWX|67VULN|89RCR|aBELT
54	14441 45354	   	268.49	DCR|DCR|2VULN|1DMG	1TBNT|2MBVNT|3LSRHEA|4DMG|5FEWX|67VULN|89RCR|aBELT
55	14341 45353	   	268.39	DCR|DCR|2VULN|1DMG	1TBNT|2MBVNT|3MSLREG|4DMG|5FEWX|67VULN|89RCR|aDUST
56	14441 45353	   	268.39	DCR|DCR|2VULN|1DMG	1TBNT|2MBVNT|3LSRHEA|4DMG|5FEWX|67VULN|89RCR|aDUST
57	14127 24434	   	268.25	DCR|DCR|2VULN|1DMG|1ZMB	1TBNT|2MBVNT|3BEXP|4ZMB|56VULN|7aRCR|8NUKE|9DMG
58	14147 24434	   	268.25	DCR|DCR|2VULN|1DMG|1ZMB	1TBNT|2MBVNT|3BEXP|45VULN|6ZMB|7aRCR|8NUKE|9DMG
59	52332 14751	 * 	267.74	DCR|4VULN|2DMG|2ASPD	1aASPD|2CGEN|349aVULN|5aDMG|6MBVNT|7AAC|8RCR|aBPWR
60	11132 36322	   	267.71	DCR|DCR|1VULN|2CDMG|1MLV|1RPLT	1TBNT|2LWND|3AAC|4MLV|5VULN|69CDMG|78RCR|aRPLT
61	14372 43733	   	267.61	DCR|DCR|1VULN|1DMG|1MLV|1AART	1TBNT|2MBVNT|3MSLREG|4LIT|5MLV|68RCR|7VULN|9DMG|aAART
62	14472 43733	   	267.61	DCR|DCR|1VULN|1DMG|1MLV|1AART	1TBNT|2MBVNT|3LSRHEA|4LIT|5MLV|68RCR|7VULN|9DMG|aAART
63	53142 13234	 * 	267.56	DCR|DCR|3ASPD|1VULN|1AART	149ASPD|2LHND|3AART|5VULN|6DUST|7aRCR|8ERES
64	11132 36351	   	267.54	DCR|DCR|1VULN|2MLV|1CDMG	1TBNT|2aLWND|3AAC|4aMLV|5VULN|6CDMG|78RCR|9aLIT|aBPWR
65	11132 36356	   	267.34	DCR|DCR|1VULN|2MLV|1CDMG	1TBNT|2LWND|3AAC|4aMLV|5VULN|6CDMG|78RCR|9LIT
66	22511 11161	   	267.00	DCR|DCR|1VULN|2MLV|1CDMG|1AART|1SELL	1CDMG|29MLV|3AART|4VULN|5LWND|6SELL|78RCR|aBEXP
67	22511 11162	   	267.00	DCR|DCR|1VULN|2MLV|1CDMG|1AART|1SELL	1CDMG|29MLV|3AART|4VULN|5LWND|6SELL|78RCR|aTLV
68	22511 11164	   	267.00	DCR|DCR|1VULN|2MLV|1CDMG|1AART|1SELL	1CDMG|29MLV|3AART|4VULN|5aLWND|6SELL|78RCR
69	22511 13155	   	267.00	DCR|DCR|1VULN|2MLV|1CDMG|1AART|1SELL	1CDMG|28MLV|3AART|4VULN|5LWND|6SELL|7BEXP|9aRCR
70	22511 11113	   	266.90	DCR|DCR|1VULN|2MLV|1CDMG|1AART|1SELL	1CDMG|2aMLV|3AART|4VULN|5LWND|6SELL|78RCR|9MDPS
71	22511 11163	   	266.90	DCR|DCR|1VULN|2MLV|1CDMG|1AART|1SELL	1CDMG|29MLV|3AART|4VULN|5LWND|6SELL|78RCR|aVENICY
72	22511 11165	   	266.90	DCR|DCR|1VULN|2MLV|1CDMG|1AART|1ZMB|1SELL	1CDMG|29MLV|3AART|4VULN|5LWND|6SELL|78RCR|aZMB
73	22512 11113	   	266.90	DCR|DCR|1VULN|2MLV|1CDMG|1AART|1SELL	1CDMG|2aMLV|3AART|4VULN|5BEXP|6SELL|78RCR|9MDPS
74	11131 36366	   	266.59	DCR|DCR|1VULN|1MLV|2DUR|1CDMG	1TBNT|2LWND|3AAC|4MLV|59DUR|6CDMG|78RCR|aVULN
75	11131 36326	   	266.35	DCR|DCR|1VULN|2CDMG|1MLV	1TBNT|2LWND|3AAC|4MLV|5DUR|69CDMG|78RCR|aVULN
76	11132 36325	   	266.35	DCR|DCR|1VULN|2CDMG|1MLV	1TBNT|2LWND|3AAC|4MLV|5VULN|69CDMG|78RCR|aDUR
77	22515 11161	   	266.24	DCR|DCR|1VULN|1MLV|2DUR|1CDMG|1AART|1SELL	1CDMG|2MLV|3AART|4VULN|59DUR|6SELL|78RCR|aBEXP
78	22515 11162	   	266.24	DCR|DCR|1VULN|1MLV|2DUR|1CDMG|1AART|1SELL	1CDMG|2MLV|3AART|4VULN|59DUR|6SELL|78RCR|aTLV
79	16342 23611	   	266.16	DCR|DCR|2VULN|1MLV	1TBNT|2LIT|37TLV|4MLV|56VULN|8aRCR|9DMSP
80	16342 23621	   	266.16	DCR|DCR|2VULN|1MLV	1TBNT|2LIT|37TLV|4MLV|56VULN|8aRCR|9RCVC
81	16631 23611	   	266.16	DCR|DCR|2VULN|1MLV	1TBNT|2LIT|36VULN|4MLV|57TLV|8aRCR|9DMSP
82	16631 23621	   	266.16	DCR|DCR|2VULN|1MLV	1TBNT|2LIT|36VULN|4MLV|57TLV|8aRCR|9RCVC
83	22515 11163	   	266.14	DCR|DCR|1VULN|1MLV|2DUR|1CDMG|1AART|1SELL	1CDMG|2MLV|3AART|4VULN|59DUR|6SELL|78RCR|aVENICY
84	22515 11123	   	266.01	DCR|DCR|1VULN|2CDMG|1MLV|1AART|1SELL	1aCDMG|2MLV|3AART|4VULN|5DUR|6SELL|78RCR|9TLV
85	14137 24174	   	265.96	DCR|DCR|2VULN|1MLV	1TBNT|2MBVNT|3BEXP|4ERES|56VULN|7aRCR|8MLV|9LIT
86	22515 11115	   	265.91	DCR|DCR|1VULN|2CDMG|1MLV|1AART|1SELL	1aCDMG|2MLV|3AART|4VULN|5DUR|6SELL|78RCR|9MDPS
87	51132 36311	   	265.38	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2TBNT|3LHND|4MLV|5VULN|6CDMG|78RCR|9FEWX|aLIT
88	51132 36312	   	265.38	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2TBNT|3LHND|4MLV|5VULN|6CDMG|78RCR|9FEWX|aRCVC
89	51132 36331	   	265.38	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2TBNT|3LHND|4MLV|5VULN|6CDMG|78RCR|9BEXP|aLIT
90	51132 36332	   	265.38	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2TBNT|3LHND|4MLV|5VULN|6CDMG|78RCR|9BEXP|aRCVC
91	51132 36353	   	265.38	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2TBNT|3LHND|4MLV|5VULN|6CDMG|78RCR|9LIT|aFEWX
92	51432 36311	   	265.38	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2TBNT|3LWND|4MLV|5VULN|6CDMG|78RCR|9FEWX|aLIT
93	51432 36312	   	265.38	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2TBNT|3LWND|4MLV|5VULN|6CDMG|78RCR|9FEWX|aRCVC
94	51432 36331	   	265.38	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2TBNT|3LWND|4MLV|5VULN|6CDMG|78RCR|9BEXP|aLIT
95	51432 36332	   	265.38	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2TBNT|3LWND|4MLV|5VULN|6CDMG|78RCR|9BEXP|aRCVC
96	11132 36315	   	265.38	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1TBNT|2LWND|3AAC|4MLV|5VULN|6CDMG|78RCR|9FEWX|aASPD
97	11132 36335	   	265.38	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1TBNT|2LWND|3AAC|4MLV|5VULN|6CDMG|78RCR|9BEXP|aASPD
98	22225 46311	   	265.38	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2MLV|3BEXP|4ASPD|5TBNT|6VULN|78RCR|9FEWX|aLIT
99	25325 26322	   	265.38	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2LHND|3RMIN|4ASPD|5TBNT|6BEXP|78RCR|9MLV|aVULN
100	51132 36314	   	265.28	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2TBNT|3LHND|4MLV|5VULN|6CDMG|78RCR|9FEWX|aMULARM
101	51132 36334	   	265.28	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2TBNT|3LHND|4MLV|5VULN|6CDMG|78RCR|9BEXP|aMULARM
102	51132 36341	   	265.28	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2TBNT|3LHND|4MLV|5VULN|6CDMG|78RCR|9LEGI|aLIT
103	51132 36342	   	265.28	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2TBNT|3LHND|4MLV|5VULN|6CDMG|78RCR|9LEGI|aRCVC
104	51132 36352	   	265.28	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2TBNT|3LHND|4MLV|5VULN|6CDMG|78RCR|9LIT|aERES
105	11132 36345	   	265.28	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1TBNT|2LWND|3AAC|4MLV|5VULN|6CDMG|78RCR|9LEGI|aASPD
106	22225 46313	   	265.28	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2MLV|3BEXP|4ASPD|5TBNT|6VULN|78RCR|9FEWX|aMDPS
107	22225 46331	   	265.28	DCR|DCR|1VULN|1MLV|1CDMG|1ASPD	1CDMG|2MLV|39BEXP|4ASPD|5TBNT|6VULN|78RCR|aERES
108	22225 46332	   	265.28	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1ZMB	1CDMG|2MLV|39BEXP|4ASPD|5TBNT|6VULN|78RCR|aZMB
109	51132 36361	   	265.18	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1MSE	1ASPD|2TBNT|3LHND|4MLV|5VULN|6CDMG|78RCR|9MSE|aLIT
110	51132 36362	   	265.18	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1MSE	1ASPD|2TBNT|3LHND|4MLV|5VULN|6CDMG|78RCR|9MSE|aRCVC
111	51132 36363	   	265.18	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1MSE	1ASPD|2TBNT|3LHND|4MLV|5VULN|6CDMG|78RCR|9MSE|aDUR
112	22242 46323	   	265.12	DCR|DCR|1DMG|2CDMG|1MLV|1ASPD	19CDMG|2MLV|3BEXP|4TBNT|5DUR|6ASPD|78RCR|aDMG
113	22262 46323	   	265.12	DCR|DCR|1DMG|2CDMG|1MLV|1ASPD	19CDMG|2MLV|3BEXP|4BBNT|5DUR|6ASPD|78RCR|aDMG
114	51131 36323	   	265.12	DCR|DCR|1DMG|2CDMG|1MLV|1ASPD	1ASPD|2TBNT|3LHND|4MLV|5DUR|69CDMG|78RCR|aDMG
115	51431 36323	   	265.12	DCR|DCR|1DMG|2CDMG|1MLV|1ASPD	1ASPD|2TBNT|3LWND|4MLV|5DUR|69CDMG|78RCR|aDMG
116	14331 48351	   	263.99	DCR|DCR|1VULN|2ASPD|1MLV	1TBNT|2MBVNT|3MSLREG|47ASPD|5FEWX|6VULN|89RCR|aMLV
117	14431 48351	   	263.99	DCR|DCR|1VULN|2ASPD|1MLV	1TBNT|2MBVNT|3LSRHEA|47ASPD|5FEWX|6VULN|89RCR|aMLV
118	12536 32342	   	263.72	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1TBNT|2RPLT|3SNITOX|4RCVC|5CDMG|6VULN|7DUST|89RCR|aDMG
