0	Index      	 *	Score 	Summary	Detail	
1	24111 43411	 * 	299.77	DCR|DCR|2VULN|1DMG|1MLV|1CDMG	1DUST|2CDMG|3DMG|4BELT|56VULN|7BEXP|89RCR|aMLV
16	25311 43411	   	279.46	DCR|DCR|2VULN|1MLV|1ASPD|1SELL	1DUST|2SELL|3ASPD|4BELT|56VULN|7BEXP|89RCR|aMLV
17	61255 11222	   	279.27	ACR|DCR|2VULN|1DMG|1MLV|1CDMG	12BELT|3CDMG|48VULN|56RCR|7DMG|9DUR|aMLV
18	24111 63411	 * 	278.01	DCR|DCR|1VULN|1DMG|2CDMG|1MLV	1DUST|26CDMG|3DMG|4BELT|5VULN|7BEXP|89RCR|aMLV
19	24311 43412	   	275.83	DCR|DCR|2VULN|1ASPD|1CDMG	1DUST|2CDMG|3ASPD|4BELT|56VULN|7BEXP|89RCR|aLHND
20	16233 33333	 * 	275.80	ACR|4VULN|3DMG|3MLV	1RCR|289aVULN|3ERES|48aDMG|5CGEN|6LHND|78aMLV|8aBPWR
21	16233 63333	   	275.80	ACR|4VULN|3DMG|3MLV	1RCR|289aVULN|3ERES|48aDMG|5CGEN|6LWND|78aMLV|8aBPWR
22	24311 43413	   	275.73	DCR|DCR|2VULN|1ASPD|1CDMG	1DUST|2CDMG|3ASPD|4BELT|56VULN|7BEXP|89RCR|aAME
23	34236 71442	   	275.72	DCR|DCR|2VULN|1MLV	1AAC|2MBVNT|38VULN|4LWND|5RMIN|6MLV|7RPLT|9aRCR
24	34412 21442	   	275.72	DCR|DCR|2VULN|1MLV	1AAC|2MBVNT|3LHND|4MLV|58VULN|6RMIN|7RPLT|9aRCR
25	34416 31442	   	275.72	DCR|DCR|2VULN|1MLV	1AAC|2MBVNT|3LHND|4MLV|5RMIN|68VULN|7RPLT|9aRCR
26	34417 31482	   	275.72	DCR|DCR|2VULN|1MLV	1AAC|2MBVNT|3LHND|4MLV|5TLV|68VULN|7RPLT|9aRCR
27	32443 71442	   	275.62	DCR|DCR|2VULN|1MLV	1AAC|2RMIN|3DUST|48VULN|5MBVNT|6MLV|7RPLT|9aRCR
28	34112 21442	   	275.62	DCR|DCR|2VULN|1MLV	1AAC|2MBVNT|3DUST|4MLV|58VULN|6RMIN|7RPLT|9aRCR
29	34254 71442	   	275.62	DCR|DCR|2VULN|1MLV	1AAC|2MBVNT|38VULN|4DUST|5TLV|6MLV|7RPLT|9aRCR
30	34821 21436	   	275.62	DCR|DCR|2VULN|1MLV	1AAC|2MBVNT|3ERES|4aVULN|5RPLT|69RCR|7FEWX|8MLV
31	13125 44336	   	275.19	ACR|DCR|2VULN|1DMG|1MLV	19RCR|2MBVNT|3MLV|4RMIN|5DMG|6aVULN|7DUR|8RPLT
32	13132 84336	   	275.09	ACR|DCR|2VULN|1DMG|1MLV	19RCR|2MBVNT|3MLV|4DMG|5aVULN|6ERES|7DUR|8RPLT
33	33211 44411	   	274.22	DCR|DCR|2VULN|1MLV|1SELL	1AAC|2SELL|3FEWX|4BELT|56VULN|7DUR|89RCR|aMLV
34	24311 14411	   	273.49	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	16DUST|2CDMG|3ASPD|4BELT|5VULN|7DUR|89RCR|aMLV
35	34672 31442	   	273.04	DCR|DCR|2VULN|2DUR	1AAC|2MBVNT|34DUR|5FEWX|68VULN|7RPLT|9aRCR
36	61123 25411	   	271.80	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	12BELT|3DMG|4BEXP|5FEWX|6VULN|7CDMG|89RCR|aMLV
37	23443 21442	   	271.74	DCR|DCR|2VULN|1ASPD	1DUST|2ASPD|3TLV|48VULN|5MBVNT|6RMIN|7RPLT|9aRCR
38	61113 25411	   	271.70	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	12BELT|3DMG|4DUST|5FEWX|6VULN|7CDMG|89RCR|aMLV
39	62113 25411	   	271.70	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1BELT|2DMG|3LHND|4AELOIC|5FEWX|6VULN|7CDMG|89RCR|aMLV
40	62313 25411	   	271.70	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1BELT|2DMG|3LWND|4AELOIC|5FEWX|6VULN|7CDMG|89RCR|aMLV
41	24214 81435	   	271.64	DCR|DCR|2VULN|1CDMG	1DUST|2CDMG|3MBVNT|4LIT|5VENICY|68VULN|7RPLT|9aRCR
42	24311 63411	   	271.60	DCR|DCR|1VULN|2CDMG|1MLV|1ASPD	1DUST|26CDMG|3ASPD|4BELT|5VULN|7BEXP|89RCR|aMLV
43	62213 25411	   	271.60	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1BELT|2DMG|3DUST|4AELOIC|5FEWX|6VULN|7CDMG|89RCR|aMLV
44	24111 13411	   	271.60	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	16DUST|2CDMG|3DMG|4BELT|5VULN|7BEXP|89RCR|aMLV
45	24111 25411	   	271.60	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	17DUST|2CDMG|3DMG|4BELT|5VULN|6LHND|89RCR|aMLV
46	24111 33411	   	271.60	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1DUST|2CDMG|3DMG|4BELT|5VULN|6RMIN|7AME|89RCR|aMLV
