0	Index      	 *	Score 	Summary	Detail	
1	52325 52311	 * 	272.91	橙橙1易伤1伤害1矿等1全技能1策反	1技能2时间3易伤4全技能5伤害6矿等7a核8策反9毒液对毒
17	23545 53231	 * 	256.57	橙橙2矿等1伤害1全技能	1喷火对黄2伤害3加一47矿等5全技能6a核8时间9基地爆炸
18	23134 34823	   	255.52	橙橙1易伤1伤害1全技能	1喷火对黄2伤害3时间4额外掉落5全技能6加一7基地爆炸8易伤9a核
19	23134 35823	   	255.42	橙橙1易伤1伤害1全技能	1喷火对黄2伤害3时间4额外掉落5全技能6加一7挖尘8易伤9a核
20	52325 32311	   	255.38	橙橙1易伤1伤害1全技能1策反	1技能2时间3易伤4全技能5伤害6等级7a核8策反9毒液对毒
21	23522 47621	   	253.43	紫橙2伤害1易伤1矿等1全技能	1喷火对黄29伤害3加一4a核5低血量敌人6易伤7矿等8全技能
22	23341 32426	   	251.31	橙橙1易伤1伤害1暴击	1喷火对黄2伤害3激光对冰4低血量敌人5雷电69核7赏金邻近8易伤a暴击
23	23411 32426	   	251.21	橙橙1易伤1伤害1暴击	1喷火对黄2伤害3最后敌人4爆破对壮5雷电69核7赏金邻近8易伤a暴击
24	23211 32426	   	251.11	橙橙1易伤1伤害1暴击	1喷火对黄2伤害3挖青4爆破对壮5雷电69核7赏金邻近8易伤a暴击
25	23211 36426	   	251.11	橙橙1易伤1伤害1暴击	1喷火对黄2伤害3挖青4爆破对壮5雷电69核7赏金塔8易伤a暴击
26	23241 32426	   	251.11	橙橙1易伤1伤害1暴击	1喷火对黄2伤害3挖青4基础对冰5雷电69核7赏金邻近8易伤a暴击
27	23251 32426	   	251.11	橙橙1易伤1伤害1暴击	1喷火对黄2伤害3挖青4防空对甲5雷电69核7赏金邻近8易伤a暴击
28	23545 51321	 * 	250.14	橙橙2伤害1矿等1全技能	1喷火对黄29伤害3加一4矿等5全技能6a核7挖尘8敌人爆炸
29	23545 51421	   	250.04	橙橙2伤害1矿等1全技能	1喷火对黄29伤害3加一4矿等5全技能6a核7挖尘8挖青
30	22662 44111	   	248.91	橙橙1易伤1攻速1全技能	12喷火对黄2序列升级3时间4攻速5加一6易伤7a核8全技能9技能点
31	14221 32262	   	248.68	橙橙1易伤1矿等1暴击	14敌人爆炸2易伤3掉矿5毒液对黄69核7基地爆炸8暴击a矿等
32	15321 32262	   	248.68	橙橙1易伤1矿等1暴击	14敌人爆炸2掉矿3易伤5毒液对黄69核7基地爆炸8暴击a矿等
33	14221 36262	   	248.58	橙橙1易伤1矿等1暴击	14敌人爆炸2易伤3掉矿5毒液对黄69核7挖尘8暴击a矿等
34	15321 36262	   	248.58	橙橙1易伤1矿等1暴击	14敌人爆炸2掉矿3易伤5毒液对黄69核7挖尘8暴击a矿等
35	22125 32262	   	248.48	橙橙1易伤1矿等1暴击	12喷火对黄2序列升级3易伤4掉矿5挖尘69核7敌人爆炸8暴击a矿等
36	22125 33262	   	248.48	橙橙1易伤1矿等1暴击	12喷火对黄2序列升级3易伤4掉矿5挖尘69核7基地爆炸8暴击a矿等
37	23544 24134	 * 	248.38	橙3易伤2伤害2矿等	19喷火对黄29伤害3加一45矿等6基地爆炸789易伤9序列升级a核
38	23548 47134	   	248.38	橙3易伤2伤害2矿等	19喷火对黄29伤害3加一47矿等5最后敌人689易伤9序列升级a核
39	13221 11566	   	247.22	橙橙1易伤1伤害1平台	1敌人爆炸2挖尘3掉矿4额外掉落5平台6金币生成78核9伤害a易伤
40	23536 43223	   	247.12	橙橙1易伤1伤害1全技能	1喷火对黄2伤害3加一4挖尘5额外掉落6敌人爆炸7易伤8全技能9a核
41	51325 32311	   	246.97	橙橙1易伤1伤害1全技能1策反	1技能2挖尘3易伤4全技能5伤害6等级7a核8策反9毒液对毒
42	51322 52311	   	246.87	橙橙1易伤1伤害1全技能1策反	1技能2挖尘3易伤4全技能5掉矿6伤害7a核8策反9毒液对毒
43	14163 22631	 * 	246.51	紫橙2易伤1暴击1平台	13敌人爆炸2a易伤4平台59核6掉矿7暴击8时间
44	23311 32422	   	245.96	橙橙1易伤1伤害	1喷火对黄2伤害3激光对冰4时间5雷电69核7赏金邻近8易伤a随机矿
45	23311 32423	   	245.96	橙橙1易伤1伤害	1喷火对黄2伤害3激光对冰4时间5雷电69核7赏金邻近8易伤a金币生成
46	23311 32424	   	245.96	橙橙1易伤1伤害	1喷火对黄2伤害3激光对冰4时间5雷电69核7赏金邻近8易伤a敌人爆炸
47	23311 32425	   	245.96	橙橙1易伤1伤害	1喷火对黄2伤害3激光对冰4时间5雷电69核7赏金邻近8易伤a额外掉落
48	23311 36422	   	245.96	橙橙1易伤1伤害	1喷火对黄2伤害3激光对冰4时间5雷电69核7赏金塔8易伤a随机矿
49	23311 36423	   	245.96	橙橙1易伤1伤害	1喷火对黄2伤害3激光对冰4时间5雷电69核7赏金塔8易伤a金币生成
50	23311 36424	   	245.96	橙橙1易伤1伤害	1喷火对黄2伤害3激光对冰4时间5雷电69核7赏金塔8易伤a敌人爆炸
51	23311 36425	   	245.96	橙橙1易伤1伤害	1喷火对黄2伤害3激光对冰4时间5雷电69核7赏金塔8易伤a额外掉落
52	23111 32422	   	245.86	橙橙1易伤1伤害	1喷火对黄2伤害3时间4爆破对壮5雷电69核7赏金邻近8易伤a随机矿
53	23111 32423	   	245.86	橙橙1易伤1伤害	1喷火对黄2伤害3时间4爆破对壮5雷电69核7赏金邻近8易伤a金币生成
54	23111 32424	   	245.86	橙橙1易伤1伤害	1喷火对黄2伤害3时间4爆破对壮5雷电69核7赏金邻近8易伤a敌人爆炸
55	23111 32425	   	245.86	橙橙1易伤1伤害	1喷火对黄2伤害3时间4爆破对壮5雷电69核7赏金邻近8易伤a额外掉落
56	23111 36422	   	245.86	橙橙1易伤1伤害	1喷火对黄2伤害3时间4爆破对壮5雷电69核7赏金塔8易伤a随机矿
57	23111 36423	   	245.86	橙橙1易伤1伤害	1喷火对黄2伤害3时间4爆破对壮5雷电69核7赏金塔8易伤a金币生成
58	23111 36424	   	245.86	橙橙1易伤1伤害	1喷火对黄2伤害3时间4爆破对壮5雷电69核7赏金塔8易伤a敌人爆炸
59	23111 36425	   	245.86	橙橙1易伤1伤害	1喷火对黄2伤害3时间4爆破对壮5雷电69核7赏金塔8易伤a额外掉落
60	23141 32422	   	245.86	橙橙1易伤1伤害	1喷火对黄2伤害3时间4基础对冰5雷电69核7赏金邻近8易伤a随机矿
61	23141 32423	   	245.86	橙橙1易伤1伤害	1喷火对黄2伤害3时间4基础对冰5雷电69核7赏金邻近8易伤a金币生成
62	23141 32424	   	245.86	橙橙1易伤1伤害	1喷火对黄2伤害3时间4基础对冰5雷电69核7赏金邻近8易伤a敌人爆炸
63	23141 32425	   	245.86	橙橙1易伤1伤害	1喷火对黄2伤害3时间4基础对冰5雷电69核7赏金邻近8易伤a额外掉落
64	23141 36422	   	245.86	橙橙1易伤1伤害	1喷火对黄2伤害3时间4基础对冰5雷电69核7赏金塔8易伤a随机矿
65	23141 36423	   	245.86	橙橙1易伤1伤害	1喷火对黄2伤害3时间4基础对冰5雷电69核7赏金塔8易伤a金币生成
66	23151 32422	   	245.86	橙橙1易伤1伤害	1喷火对黄2伤害3时间4防空对甲5雷电69核7赏金邻近8易伤a随机矿
67	23151 32423	   	245.86	橙橙1易伤1伤害	1喷火对黄2伤害3时间4防空对甲5雷电69核7赏金邻近8易伤a金币生成
68	23151 32424	   	245.86	橙橙1易伤1伤害	1喷火对黄2伤害3时间4防空对甲5雷电69核7赏金邻近8易伤a敌人爆炸
69	23151 32425	   	245.86	橙橙1易伤1伤害	1喷火对黄2伤害3时间4防空对甲5雷电69核7赏金邻近8易伤a额外掉落
70	23151 36422	   	245.86	橙橙1易伤1伤害	1喷火对黄2伤害3时间4防空对甲5雷电69核7赏金塔8易伤a随机矿
71	23151 36423	   	245.86	橙橙1易伤1伤害	1喷火对黄2伤害3时间4防空对甲5雷电69核7赏金塔8易伤a金币生成
72	23311 32421	   	245.86	橙橙1易伤1伤害	1喷火对黄2伤害3激光对冰4时间5雷电69核7赏金邻近8易伤a双倍秒伤
73	23311 36421	   	245.86	橙橙1易伤1伤害	1喷火对黄2伤害3激光对冰4时间5雷电69核7赏金塔8易伤a双倍秒伤
74	23111 32421	   	245.76	橙橙1易伤1伤害	1喷火对黄2伤害3时间4爆破对壮5雷电69核7赏金邻近8易伤a双倍秒伤
75	23111 36421	   	245.76	橙橙1易伤1伤害	1喷火对黄2伤害3时间4爆破对壮5雷电69核7赏金塔8易伤a双倍秒伤
76	23141 32421	   	245.76	橙橙1易伤1伤害	1喷火对黄2伤害3时间4基础对冰5雷电69核7赏金邻近8易伤a双倍秒伤
77	23141 36421	   	245.76	橙橙1易伤1伤害	1喷火对黄2伤害3时间4基础对冰5雷电69核7赏金塔8易伤a双倍秒伤
78	23151 32421	   	245.76	橙橙1易伤1伤害	1喷火对黄2伤害3时间4防空对甲5雷电69核7赏金邻近8易伤a双倍秒伤
79	23151 36421	   	245.76	橙橙1易伤1伤害	1喷火对黄2伤害3时间4防空对甲5雷电69核7赏金塔8易伤a双倍秒伤
80	51331 13346	   	243.60	橙橙2易伤	1技能29挖尘39易伤4低血量敌人5基地爆炸69毒液对黄7双倍秒伤8a核9序列升级
81	11111 43253	 * 	243.45	橙橙1易伤2攻速1策反	1敌人爆炸2赏金塔3导弹对黄4策反57攻速6a核8易伤9赏金邻近
82	21311 43253	 * 	243.45	橙橙1易伤2攻速1策反	1喷火对黄2赏金邻近3敌人爆炸4策反57攻速6a核8易伤9赏金塔
83	21111 43553	 * 	243.35	橙橙1易伤2攻速1策反	1喷火对黄2赏金邻近3易伤4策反57攻速6a核8挖尘9赏金塔
84	21211 43253	 * 	243.35	橙橙1易伤2攻速1策反	1喷火对黄2赏金邻近3挖尘4策反57攻速6a核8易伤9赏金塔
85	61111 43253	 * 	243.35	橙橙1易伤2攻速1策反	1挖尘2赏金塔3导弹对黄4策反57攻速6a核8易伤9赏金邻近
