0	Index      	 *	Score 	Summary	Detail	
1	45315 13311	 * 	212.39	DCR|4VULN|3DMG	145aVULN|249DMG|3LEGI|4BPWR|6RCR|7RCVC|8AELBLL
51	42234 52312	 * 	196.65	DCR|3VULN|1MDPS|1AART|2DUR|1ZMB	159VULN|25DUR|3BELT|4AART|5BPWR|6MBVNT|7RCR|8ZMB|aMDPS
52	45315 11132	   	196.61	DCR|3VULN|2DMG|1CDMG	145VULN|24DMG|3LEGI|4BPWR|6RCR|7BEXP|8RCVC|9ERES|aCDMG
53	45315 13312	   	196.54	DCR|3VULN|3DMG	145VULN|249DMG|3LEGI|4BPWR|6RCR|7RCVC|8AELBLL|aBEXP
54	45315 13313	   	196.54	DCR|3VULN|3DMG	145VULN|249DMG|3LEGI|4BPWR|6RCR|7RCVC|8AELBLL|aAME
55	45315 11111	   	196.31	DCR|4VULN|2DMG	145aVULN|24DMG|3LEGI|4BPWR|6RCR|7BEXP|8RCVC|9LHND
56	15242 53111	   	196.08	DCR|4VULN|1DMG|1AAC|1ZMB|1DUR	1BEXP|2DMG|3AAC|459aVULN|6RCR|7ZMB|8DUR
57	45212 53111	   	196.08	DCR|4VULN|1DMG|1AAC|1ZMB|1DUR	159aVULN|2DMG|3AAC|4FEWX|6RCR|7ZMB|8DUR
58	45232 53111	   	195.98	DCR|4VULN|1DMG|1AAC|1ZMB|1DUR	159aVULN|2DMG|3AAC|4DUST|6RCR|7ZMB|8DUR
59	66521 32232	   	195.48	DCR|2VULN|2DMG|1AART|1CDMG	1aLIT|27DMG|3AART|46VULN|5CDMG|8BEXP|9RCR
60	66521 32231	   	195.38	DCR|2VULN|2DMG|1AART|1CDMG	1LIT|27DMG|3AART|46VULN|5CDMG|8BEXP|9RCR|aERES
61	66521 32233	   	195.38	DCR|2VULN|2DMG|1AART|1CDMG|1MSE	1LIT|27DMG|3AART|46VULN|5CDMG|8BEXP|9RCR|aMSE
62	62323 33251	 * 	195.26	DCR|4VULN|1AART|1CDMG|1SELL	18LIT|2CDMG|3SELL|4689VULN|58DUST|7RCR|8BPWR|aAART
63	12412 43123	 * 	195.10	DCR|2VULN|1MDPS|2ASPD|1AART|1NUKE|1DUR|1RMIN	1aBEXP|2DUR|3MDPS|4RMIN|5AART|6aVULN|7RCR|8NUKE|9aASPD|aBPWR
64	35362 25232	 * 	195.06	DCR|3VULN|2DMG|1AART	16LWND|28DMG|3LEGI|4AME|567VULN|6BPWR|9AART|aRCR
65	45315 11312	   	195.03	DCR|4VULN|2DMG	1459VULN|24DMG|3LEGI|4BPWR|6RCR|7aBEXP|8DUST
66	45315 11231	   	194.93	DCR|4VULN|2DMG	145aVULN|24DMG|3LEGI|4BPWR|6RCR|7BEXP|8TLV|9ERES
67	45315 11313	   	194.93	DCR|4VULN|2DMG|1MSE	1459VULN|24DMG|3LEGI|4BPWR|6RCR|7BEXP|8DUST|aMSE
68	13311 46161	 * 	194.88	DCR|3DMG|2VULN|2CDMG	126BEXP|38CDMG|48VULN|5LEGI|78aDMG|8BPWR|9RCR
69	42335 13334	 * 	194.81	DCR|4VULN|2CDMG|2DUR	145aVULN|2aDUR|3CGEN|6RCR|7BELT|8DUST|9aCDMG|aBPWR
70	42234 51312	   	194.65	DCR|3VULN|1MDPS|1AART|2DUR|1ZMB	159VULN|25DUR|3BELT|4AART|5BPWR|6MBVNT|7ZMB|8RCR|aMDPS
71	13431 16261	   	194.39	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	12BEXP|3AART|4ZMB|5CDMG|6RMIN|7DMG|8RCR|9aVULN
72	43335 12633	   	193.78	DCR|3VULN|1AART|1ASPD|1DUR	145VULN|2BEXP|3CGEN|6RCR|7AART|8FEWX|9DUR|aASPD
73	45232 53322	   	193.75	DCR|2VULN|2AART|1DMG|1AAC|1ZMB	15VULN|2DMG|3AAC|4DUST|6RCR|7ZMB|8ERES|9aAART
74	62225 35313	 * 	193.59	DCR|4VULN|1DMG|1CDMG	1LIT|2CDMG|3DUST|4TLV|579aVULN|6RCR|8DMG
75	42241 15131	   	193.39	DCR|2VULN|2ASPD|1DMG|1DUR|1RMIN	15VULN|2DUR|3BELT|4RMIN|6RCR|78ASPD|9DMG|aLWND
76	42241 15132	   	193.39	DCR|2VULN|2ASPD|1DMG|1DUR|1RMIN	15VULN|2DUR|3BELT|4RMIN|6RCR|78ASPD|9DMG|aBEXP
77	42241 15333	   	193.39	DCR|2VULN|2ASPD|1DMG|1DUR|1RMIN	15VULN|2DUR|3BELT|4RMIN|6RCR|7aASPD|8DMSP|9DMG
78	42234 32152	   	193.31	DCR|3VULN|1AART|1CDMG|2DUR	158VULN|25DUR|3BELT|4AART|5BPWR|6LIT|7RCR|9RPLT|aCDMG
79	42241 15224	   	193.09	DCR|3VULN|1ASPD|1CDMG|1DUR|1RMIN	15aVULN|2DUR|3BELT|4RMIN|6RCR|7ASPD|8MBVNT|9CDMG
80	41241 13134	   	192.41	DCR|3VULN|2CDMG|1ASPD|1RMIN	15aVULN|2aLHND|3BELT|4RMIN|6RCR|7TLV|8ASPD|9aCDMG|aBPWR
81	42234 52313	   	192.34	DCR|3VULN|1AART|3DUR|1ZMB	159VULN|25aDUR|3BELT|4AART|5BPWR|6MBVNT|7RCR|8ZMB
82	41335 13533	   	192.09	DCR|3VULN|1ASPD|1DMG|1ZMB	145VULN|2LHND|3CGEN|6RCR|7BELT|8ZMB|9DMG|aASPD
83	42231 53143	   	192.02	DCR|2VULN|2AART|1ASPD|1DUR	18VULN|2DUR|3BELT|47AART|5LIT|6RCR|9ASPD|aBEXP
84	42231 53151	   	192.02	DCR|2VULN|2AART|1ASPD|1DUR	18VULN|2DUR|3BELT|47AART|5LIT|6RCR|9RPLT|aASPD
85	42231 53343	   	192.02	DCR|2VULN|2AART|1ASPD|1DUR	19VULN|2DUR|3BELT|47AART|5LIT|6RCR|8ASPD|aBEXP
86	35531 21321	   	191.93	DCR|3DMG|1VULN|1AART|1CDMG	13LWND|267DMG|4AART|5CDMG|8RCVC|9RCR|aVULN
87	21342 21321	   	191.93	DCR|3DMG|1AART|1VULN|1CDMG	12LHND|3CDMG|4AART|567DMG|8RCVC|9RCR|aVULN
88	42231 53141	   	191.92	DCR|2VULN|2AART|1ASPD|1DUR	18VULN|2DUR|3BELT|47AART|5LIT|6RCR|9ASPD|aERES
89	42231 53142	   	191.92	DCR|2VULN|2AART|1ASPD|1DUR	18VULN|2DUR|3BELT|47AART|5LIT|6RCR|9ASPD|aTLV
90	42231 53161	   	191.92	DCR|2VULN|2AART|1DMG|1DUR	18VULN|2DUR|3BELT|47AART|5LIT|6RCR|9DUST|aDMG
91	42231 53341	   	191.92	DCR|2VULN|2AART|1ASPD|1DUR	19VULN|2DUR|3BELT|47AART|5LIT|6RCR|8ASPD|aERES
92	42231 53342	   	191.92	DCR|2VULN|2AART|1ASPD|1DUR	19VULN|2DUR|3BELT|47AART|5LIT|6RCR|8ASPD|aTLV
93	42231 53332	 * 	191.70	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1VULN|2DUR|3BELT|47AART|5LIT|6RCR|8ASPD|9RPLT|aDMG
94	42231 53352	   	191.70	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1VULN|2DUR|3BELT|47AART|5LIT|6RCR|8ASPD|9LHND|aDMG
95	42231 53311	   	191.60	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1VULN|2DUR|3BELT|47AART|5LIT|6RCR|8ASPD|9TLV|aDMG
96	42231 53361	   	191.60	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1VULN|2DUR|3BELT|47AART|5LIT|6RCR|8ASPD|9ERES|aDMG
97	45311 26311	 * 	191.42	DCR|2VULN|2DMG|1ASPD|1CDMG|1SELL	14VULN|24DMG|3LEGI|4BPWR|5BEXP|6SELL|7BASFIG|8ASPD|9RCR|aCDMG
98	45313 26311	 * 	191.42	DCR|2VULN|2DMG|1ASPD|1CDMG|1SELL	14VULN|24DMG|3LEGI|4BPWR|5FEWX|6SELL|7BASFIG|8ASPD|9RCR|aCDMG
99	42241 16123	   	191.16	DCR|3VULN|2ASPD|1DUR|1RMIN	159VULN|2DUR|3BELT|4RMIN|6RCR|7CGEN|8aASPD
100	42241 12123	   	191.06	DCR|3VULN|2ASPD|1AAC|1DUR|1RMIN	159VULN|2DUR|3BELT|4RMIN|6RCR|7AAC|8aASPD
101	42241 13123	   	191.06	DCR|3VULN|2ASPD|1DUR|1RMIN	159VULN|2DUR|3BELT|4RMIN|6RCR|7TLV|8aASPD
102	21342 21621	   	190.75	DCR|3DMG|1VULN|1AART|1CDMG	12LHND|3CDMG|4AART|567DMG|8AELBLL|9RCR|aVULN
103	35531 21621	   	190.75	DCR|3DMG|1VULN|1AART|1CDMG	13LWND|267DMG|4AART|5CDMG|8AELBLL|9RCR|aVULN
104	41241 15311	   	190.73	DCR|2VULN|1AART|1ASPD|1CDMG|1RMIN	15VULN|2LHND|3BELT|4RMIN|6RCR|7ASPD|8AART|9TLV|aCDMG
105	43525 12223	   	190.65	DCR|2VULN|2AART|1DMG|1RMIN	15VULN|2BEXP|3AELBLL|4RMIN|6RCR|79AART|8AME|aDMG
106	43525 12323	   	190.55	DCR|2VULN|2AART|1DMG|1RMIN	15VULN|2BEXP|3AELBLL|4RMIN|6RCR|79AART|8TLV|aDMG
107	21342 21524	 * 	190.47	DCR|3DMG|2AART|2CDMG	12LHND|38CDMG|4aAART|567DMG|9RCR
108	42234 51313	   	190.34	DCR|3VULN|1AART|3DUR|1ZMB	159VULN|25aDUR|3BELT|4AART|5BPWR|6MBVNT|7ZMB|8RCR
109	13431 25261	   	190.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	12BEXP|3AART|4ZMB|5CDMG|6DMG|7CGEN|8RCR|9aVULN
110	13423 32636	   	190.15	DCR|2VULN|2AART|1DMG|1ZMB	125BEXP|39AART|45VULN|5BPWR|6ZMB|7LIT|8RCR|aDMG
111	42622 63132	 * 	190.06	ACR|5VULN|1DMG|1CDMG|1DUR	14589VULN|2DUR|3RCR|6BELT|7DMG|aCDMG
112	45315 13112	   	190.05	DCR|4VULN|2DMG|1MDPS	1459VULN|24DMG|3LEGI|4BPWR|6RCR|7RCVC|8MDPS|aBEXP
113	45315 13113	   	190.05	DCR|4VULN|2DMG|1MDPS	1459VULN|24DMG|3LEGI|4BPWR|6RCR|7RCVC|8MDPS|aAME
114	45315 13121	   	190.05	DCR|3VULN|1MDPS|2DMG	145VULN|24DMG|3LEGI|4BPWR|6RCR|7RCVC|8MDPS|9MLV|aRPLT
115	45315 13122	   	190.05	DCR|3VULN|2DMG|1MDPS|1MSE	145VULN|24DMG|3LEGI|4BPWR|6RCR|7RCVC|8MDPS|9MLV|aMSE
116	45315 13123	   	190.05	DCR|3VULN|2DMG|1MDPS	145VULN|24DMG|3LEGI|4BPWR|6RCR|7RCVC|8MDPS|9MLV|aFEWX
117	45315 13131	   	190.05	DCR|3VULN|1MDPS|2DMG	145VULN|24DMG|3LEGI|4BPWR|6RCR|7RCVC|8MDPS|9ERES|aRPLT
118	45315 13132	   	190.05	DCR|3VULN|1MDPS|2DMG|1MSE	145VULN|24DMG|3LEGI|4BPWR|6RCR|7RCVC|8MDPS|9ERES|aMSE
119	45315 13133	   	190.05	DCR|3VULN|2DMG|1MDPS	145VULN|24DMG|3LEGI|4BPWR|6RCR|7RCVC|8MDPS|9ERES|aFEWX
120	41234 52311	   	189.99	DCR|3VULN|1AART|1CDMG|1ZMB	159VULN|25LHND|3BELT|4AART|5BPWR|6MBVNT|7RCR|8ZMB|aCDMG
121	41234 52324	   	189.99	DCR|3VULN|1AART|1CDMG|1ZMB	15aVULN|25LHND|3BELT|4AART|5BPWR|6MBVNT|7RCR|8ZMB|9CDMG
122	62323 33433	   	189.85	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1LIT|2CDMG|3SELL|46VULN|5DUST|7RCR|8AART|9DMG|aDUR
123	42231 52141	   	189.79	DCR|3VULN|2AART|1DUR	19aVULN|2DUR|3BELT|48AART|5LIT|6RCR|7CGEN
124	43335 12233	   	189.64	DCR|3VULN|1AART|1ASPD	145VULN|2BEXP|3CGEN|6RCR|7AART|8AME|9RMIN|aASPD
125	42241 16133	 * 	189.57	DCR|2VULN|2ASPD|1CDMG|1DUR|1RMIN	15VULN|2DUR|3BELT|4RMIN|6RCR|7CGEN|8aASPD|9CDMG
126	43335 12333	   	189.54	DCR|3VULN|1AART|1ASPD	145VULN|2BEXP|3CGEN|6RCR|7AART|8TLV|9RMIN|aASPD
127	33623 13463	   	189.53	DCR|2VULN|2DMG|1AART|1DUR	1LWND|2BEXP|3DUR|49VULN|5RPLT|6aDMG|7AART|8RCR
128	42241 12133	   	189.47	DCR|2VULN|2ASPD|1CDMG|1AAC|1DUR|1RMIN	15VULN|2DUR|3BELT|4RMIN|6RCR|7AAC|8aASPD|9CDMG
129	42241 13133	   	189.47	DCR|2VULN|2ASPD|1CDMG|1DUR|1RMIN	15VULN|2DUR|3BELT|4RMIN|6RCR|7TLV|8aASPD|9CDMG
130	64213 33352	   	189.38	DCR|3VULN|1AART|1CDMG|1RMIN	1LIT|2RMIN|369VULN|4RCVC|5DUST|7RCR|8CDMG|aAART
131	12246 31313	   	189.22	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1RMIN	1BEXP|2DUR|3BELT|4RMIN|5AART|6DMG|7ZMB|8RCR|9aVULN
132	33623 13426	 * 	189.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1LWND|2BEXP|3DUR|4VULN|5RPLT|69DMG|7AART|8RCR|aASPD
133	45315 13322	   	189.19	DCR|3VULN|2DMG|1DUR	145VULN|24DMG|3LEGI|4BPWR|6RCR|7RCVC|8AELBLL|9DMSP|aDUR
134	42431 23133	 * 	189.09	DCR|4VULN|2MDPS|1ASPD|2DUR	158aVULN|28DUR|36MDPS|48LIT|7RCR|8BPWR|9ASPD
135	64213 33251	   	189.08	DCR|4VULN|1AART|1RMIN	18LIT|2RMIN|3689VULN|4RCVC|58DUST|7RCR|8BPWR|aAART
136	62323 33346	 * 	188.97	DCR|2VULN|1AART|2CDMG|1DMG|1SELL	1LIT|28CDMG|3SELL|46VULN|5DUST|7RCR|9AART|aDMG
137	42234 32321	   	188.94	DCR|2VULN|1AART|1ASPD|1DMG|2DUR|1AAC	15VULN|25DUR|3BELT|4AART|5BPWR|6LIT|7RCR|8ASPD|9AAC|aDMG
138	62323 33245	 * 	188.78	DCR|3VULN|1MDPS|1AART|1CDMG|1SELL	18LIT|2CDMG|3SELL|468VULN|58DUST|7RCR|8BPWR|9AART|aMDPS
139	43525 12221	   	188.42	DCR|3VULN|2AART|1RMIN	15aVULN|2BEXP|3AELBLL|4RMIN|6RCR|79AART|8AME
140	63242 11432	   	188.36	DCR|3VULN|1AART|1DMG	17LIT|2BELT|3AART|4RCVC|58aVULN|6RCR|9DMG
141	45315 12231	 * 	188.34	DCR|3VULN|1MDPS|2DMG|1CDMG|1MSE	145VULN|24DMG|3LEGI|4BPWR|6RCR|7MSE|8TLV|9MDPS|aCDMG
142	45315 12232	   	188.34	DCR|3VULN|2DMG|1MDPS|1MSE	145VULN|24DMG|3LEGI|4BPWR|6RCR|7MSE|8TLV|9MDPS|aFEWX
143	45315 12233	   	188.34	DCR|3VULN|1MDPS|2DMG|1MSE	145VULN|24DMG|3LEGI|4BPWR|6RCR|7MSE|8TLV|9MDPS|aAELBLL
144	43525 12321	   	188.32	DCR|3VULN|2AART|1RMIN	15aVULN|2BEXP|3AELBLL|4RMIN|6RCR|79AART|8TLV
145	42231 22324	   	188.26	DCR|2VULN|2ASPD|1AART|1AAC|1DUR	1aVULN|2DUR|3BELT|4AART|56aLIT|7RCR|8aASPD|9AAC|aBPWR
146	42231 53152	 * 	188.21	DCR|2VULN|2AART|1CDMG|1DUR	18VULN|2DUR|3BELT|47AART|5LIT|6RCR|9RPLT|aCDMG
147	42631 15132	   	188.04	ACR|3DMG|2VULN|1AART|2DUR	18VULN|25DUR|3RCR|48BASFIG|689DMG|7AART|8BPWR|aERES
148	41234 51311	   	187.99	DCR|3VULN|1AART|1CDMG|1ZMB	159VULN|25LHND|3BELT|4AART|5BPWR|6MBVNT|7ZMB|8RCR|aCDMG
149	41234 51324	   	187.99	DCR|3VULN|1AART|1CDMG|1ZMB	15aVULN|25LHND|3BELT|4AART|5BPWR|6MBVNT|7ZMB|8RCR|9CDMG
150	43234 51311	   	187.99	DCR|3VULN|1AART|1CDMG|1ZMB	159VULN|25BEXP|3BELT|4AART|5BPWR|6MBVNT|7ZMB|8RCR|aCDMG
151	43234 51324	   	187.99	DCR|3VULN|1AART|1CDMG|1ZMB	15aVULN|25BEXP|3BELT|4AART|5BPWR|6MBVNT|7ZMB|8RCR|9CDMG
152	63223 22322	   	187.90	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1LIT|2BELT|3AART|4RPLT|5VULN|6CDMG|7ZMB|8ASPD|9RCR|aDMG
153	42234 52412	 * 	187.86	DCR|2VULN|1AART|2CDMG|3DUR	15VULN|258DUR|3BELT|4AART|5BPWR|6MBVNT|7RCR|9aCDMG
154	32523 45213	   	187.78	DCR|3VULN|1AART|1ASPD|1DUR	1LWND|2DUR|348VULN|5FEWX|6CGEN|7AART|9RCR|aASPD
155	41333 55213	   	187.78	DCR|3VULN|1AART|1ASPD|1DUR	148VULN|2LHND|3CGEN|5FEWX|6DUR|7AART|9RCR|aASPD
156	15242 53211	   	187.67	DCR|4VULN|1DMG|1AAC|1ZMB	1BEXP|2DMG|3AAC|459aVULN|6RCR|7ZMB|8DUST
157	25242 53311	   	187.67	DCR|4VULN|1DMG|1AAC|1ZMB	1LHND|2DMG|3AAC|459aVULN|6RCR|7ZMB|8DUST
158	35242 53311	   	187.67	DCR|4VULN|1DMG|1AAC|1ZMB	1LWND|2DMG|3AAC|459aVULN|6RCR|7ZMB|8DUST
159	45212 53211	   	187.67	DCR|4VULN|1DMG|1AAC|1ZMB	159aVULN|2DMG|3AAC|4FEWX|6RCR|7ZMB|8DUST
160	63211 11441	   	187.60	DCR|2VULN|1AART|1ASPD|1DMG	17LIT|2BELT|3AART|4ERES|5DMG|6RCR|8aVULN|9ASPD
161	12442 34221	 * 	187.50	DCR|2DMG|1MDPS|1VULN|1AART|1CDMG|1DUR	1aBEXP|2DUR|3MDPS|4aAME|5AART|6CDMG|7RCR|8VULN|9aDMG|aBPWR
162	13431 25253	   	187.43	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	12BEXP|3AART|4ZMB|5CDMG|69DMG|7CGEN|8RCR|aVULN
163	41241 15332	   	187.28	DCR|2VULN|1MDPS|1AART|1ASPD|1AAC|1RMIN	15VULN|2LHND|3BELT|4RMIN|6RCR|7ASPD|8AART|9AAC|aMDPS
164	42241 16113	   	187.27	DCR|3VULN|1ASPD|1ZMB|1DUR|1RMIN	15aVULN|2DUR|3BELT|4RMIN|6RCR|7CGEN|8ASPD|9ZMB
165	11412 43123	   	186.80	DCR|2VULN|1MDPS|2ASPD|1AART|1NUKE|1RMIN	1aBEXP|2LHND|3MDPS|4RMIN|5AART|6aVULN|7RCR|8NUKE|9aASPD|aBPWR
166	62323 33351	 * 	186.74	DCR|3VULN|1AART|2CDMG|1SELL	1LIT|28CDMG|3SELL|469VULN|5DUST|7RCR|aAART
