0	Index      	 *	Score 	Summary	Detail	
1	31323 46351	 * 	246.67	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD|1CDMG|1DUR	12DMG|3CDMG|45VULN|6DUR|7RCR|8ASPD|9AART|aMDPS
31	33461 52223	   	226.56	DCR|3VULN|3DMG|1AART|2ZMB	17aDMG|24aVULN|348FEWX|4aBPWR|5aZMB|6AART|9RCR
32	33324 42113	   	226.47	DCR|3DMG|2VULN|1AART|2DUR|1ZMB	18aDMG|2aVULN|3DUST|4ZMB|5aDUR|6RCR|7RCVC|9AART|aBPWR
33	33361 52623	   	226.26	DCR|3VULN|3DMG|1AART|2ZMB	17aDMG|24aVULN|348DUST|4aBPWR|5aZMB|6AART|9RCR
34	31323 24226	   	225.36	DCR|3DMG|2VULN|1AART|1CDMG|1ZMB	12aDMG|3CDMG|45VULN|6ZMB|7RCR|8DLOT|9AART
35	31424 34714	   	225.03	DCR|3DMG|2VULN|2ASPD|2ZMB	129DMG|3MBVNT|49ZMB|5aASPD|6RCR|7LIT|89VULN|9BPWR
36	33123 52136	   	224.36	DCR|3VULN|3DMG|1AART|2ZMB	157DMG|289VULN|3LWND|45ZMB|5BPWR|6AART|aRCR
37	33423 52136	   	224.36	DCR|3VULN|3DMG|1AART|2ZMB	157DMG|289VULN|3FEWX|45ZMB|5BPWR|6AART|aRCR
38	33323 52136	   	224.26	DCR|3VULN|3DMG|1AART|2ZMB	157DMG|289VULN|3DUST|45ZMB|5BPWR|6AART|aRCR
39	31424 34718	 * 	223.27	DCR|3DMG|2VULN|3ZMB|1ASPD	129DMG|3MBVNT|49aZMB|5ASPD|6RCR|7LIT|89VULN|9BPWR
40	31635 12316	   	223.02	DCR|3DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	128DMG|3TLV|4VULN|5CDMG|6DUR|7RCR|9ASPD|aAART
41	33123 52116	   	222.61	DCR|3DMG|2VULN|2AART|2ZMB	157DMG|28VULN|3LWND|45ZMB|5BPWR|69AART|aRCR
42	33423 52116	   	222.61	DCR|3DMG|2VULN|2AART|2ZMB	157DMG|28VULN|3FEWX|45ZMB|5BPWR|69AART|aRCR
43	33423 53336	   	222.61	DCR|3DMG|2VULN|2AART|2ZMB	158DMG|29VULN|3FEWX|45ZMB|5BPWR|67AART|aRCR
44	31424 37542	   	222.57	DCR|3DMG|2VULN|2ASPD|1ZMB	128DMG|3MBVNT|4ZMB|58ASPD|6RCR|78VULN|8BPWR|9RCVC|aLWND
45	31313 12321	   	222.56	DCR|3DMG|2VULN|1AART|2CDMG	128DMG|39CDMG|4BEXP|59VULN|69TLV|7RCR|9BPWR|aAART
46	33323 52116	   	222.51	DCR|3DMG|2VULN|2AART|2ZMB	157DMG|28VULN|3DUST|45ZMB|5BPWR|69AART|aRCR
47	31424 37541	   	222.47	DCR|3DMG|2VULN|2ASPD|1ZMB	128DMG|3MBVNT|4ZMB|58ASPD|6RCR|78VULN|8BPWR|9RCVC|aDUST
48	31424 37543	   	222.47	DCR|3DMG|2VULN|2ASPD|1ZMB	128DMG|3MBVNT|4ZMB|58ASPD|6RCR|78VULN|8BPWR|9RCVC|aERES
49	31424 37544	   	222.47	DCR|3DMG|2VULN|2ASPD|1ZMB	128DMG|3MBVNT|4ZMB|58ASPD|6RCR|78VULN|8BPWR|9RCVC|aTSLFST
50	31313 66333	   	222.02	DCR|2VULN|2DMG|1MDPS|2CDMG|1ASPD	12DMG|36CDMG|4BEXP|59VULN|7RCR|8ASPD|aMDPS
51	31324 66333	   	222.02	DCR|2VULN|2DMG|1MDPS|2CDMG|1ASPD	12DMG|36CDMG|49VULN|5LWND|7RCR|8ASPD|aMDPS
52	31325 66333	   	222.02	DCR|2VULN|2DMG|1MDPS|2CDMG|1ASPD	12DMG|36CDMG|49VULN|5BEXP|7RCR|8ASPD|aMDPS
53	31323 46335	   	221.90	DCR|3VULN|2DMG|1ASPD|1CDMG|1DUR	12DMG|3CDMG|459VULN|6DUR|7RCR|8ASPD|aRMIN
54	31323 46336	   	221.90	DCR|3VULN|2DMG|1ASPD|1CDMG|1DUR	12DMG|3CDMG|459VULN|6DUR|7RCR|8ASPD|aCGEN
55	31313 26351	   	221.85	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG|1DUR	12DMG|3CDMG|4BEXP|58VULN|6DUR|7ASPD|9AART|aRCR
56	31325 26351	   	221.85	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG|1DUR	12DMG|3CDMG|48VULN|5BEXP|6DUR|7ASPD|9AART|aRCR
57	31424 37511	   	221.82	DCR|3DMG|2VULN|2ASPD|1ZMB	128DMG|3MBVNT|4ZMB|58ASPD|6RCR|78VULN|8BPWR|9LHND|aLWND
58	31424 37512	   	221.82	DCR|3DMG|2VULN|2ASPD|1ZMB	128DMG|3MBVNT|4ZMB|58ASPD|6RCR|78VULN|8BPWR|9LHND|aAME
59	31424 37513	   	221.82	DCR|3DMG|2VULN|2ASPD|1ZMB	128DMG|3MBVNT|4ZMB|58ASPD|6RCR|78VULN|8BPWR|9LHND|aRMIN
60	31424 37514	   	221.82	DCR|3DMG|2VULN|2ASPD|1ZMB	128DMG|3MBVNT|4ZMB|58ASPD|6RCR|78VULN|8BPWR|9LHND|aBELT
61	31424 37521	   	221.82	DCR|3DMG|2VULN|2ASPD|1ZMB	128DMG|3MBVNT|4ZMB|58ASPD|6RCR|78VULN|8BPWR|9MLV|aLIT
62	31424 37523	   	221.82	DCR|3DMG|2VULN|2ASPD|1ZMB	128DMG|3MBVNT|4ZMB|58ASPD|6RCR|78VULN|8BPWR|9MLV|aSNIFST
63	31424 37531	   	221.82	DCR|3DMG|2VULN|2ASPD|1ZMB	128DMG|3MBVNT|4ZMB|58ASPD|6RCR|78VULN|8BPWR|9RPLT|aAME
64	31424 37532	   	221.82	DCR|3DMG|2VULN|2ASPD|1ZMB	128DMG|3MBVNT|4ZMB|58ASPD|6RCR|78VULN|8BPWR|9RPLT|aFEWX
65	31424 37533	   	221.82	DCR|3DMG|2VULN|2ASPD|1ZMB	128DMG|3MBVNT|4ZMB|58ASPD|6RCR|78VULN|8BPWR|9RPLT|aMLV
66	31424 37534	   	221.82	DCR|3DMG|2VULN|2ASPD|1ZMB	128DMG|3MBVNT|4ZMB|58ASPD|6RCR|78VULN|8BPWR|9RPLT|aRMIN
67	31323 46331	   	221.80	DCR|3VULN|2DMG|1ASPD|1CDMG|1DUR	12DMG|3CDMG|459VULN|6DUR|7RCR|8ASPD|aERES
68	33422 52336	   	221.05	DCR|3VULN|3DMG|1AART|1ZMB	178DMG|259VULN|3FEWX|4ZMB|6AART|aRCR
69	31313 66334	 * 	221.02	DCR|3VULN|2DMG|2CDMG|1ASPD	12DMG|36CDMG|4BEXP|59aVULN|7RCR|8ASPD
70	31221 52136	   	220.95	DCR|3VULN|3DMG|1AART|1ZMB	127DMG|3DUST|4ZMB|589VULN|6AART|aRCR
71	46136 31223	 * 	220.47	DCR|3VULN|3ASPD|1AART|2ZMB	1AART|258FEWX|36aVULN|46aASPD|6aBPWR|7aZMB|9RCR
72	31323 23621	   	219.78	DCR|2VULN|2AART|2DMG|1CDMG|1ZMB	12DMG|3CDMG|45VULN|6ZMB|79AART|8DUST|aRCR
73	31323 24334	   	219.71	DCR|4VULN|2DMG|1CDMG|1ZMB	12DMG|3CDMG|459aVULN|6ZMB|7RCR|8LHND
74	31323 24634	   	219.71	DCR|4VULN|2DMG|1CDMG|1ZMB	12DMG|3CDMG|459aVULN|6ZMB|7RCR|8LWND
75	31111 23433	   	219.64	DCR|3DMG|2VULN|1AART|2CDMG	129DMG|3RMIN|4RCVC|59VULN|69CDMG|7AART|8RPLT|9BPWR|aRCR
76	31323 24134	   	219.61	DCR|4VULN|2DMG|1CDMG|1ZMB	12DMG|3CDMG|459aVULN|6ZMB|7RCR|8DUST
77	33323 53536	 * 	219.30	DCR|2VULN|2AART|2DMG|3ZMB	15DMG|29VULN|3DUST|458ZMB|5BPWR|67AART|aRCR
78	33422 52316	   	219.29	DCR|3DMG|2VULN|2AART|1ZMB	178DMG|25VULN|3FEWX|4ZMB|69AART|aRCR
79	31221 52116	   	219.19	DCR|3DMG|2VULN|2AART|1ZMB	127DMG|3DUST|4ZMB|58VULN|69AART|aRCR
80	33311 54113	   	219.03	DCR|3VULN|2AART|2DMG	1aDMG|28aVULN|3aDUST|4RMIN|5MBVNT|6RCR|79AART|aBPWR
81	33551 54113	   	219.03	DCR|3VULN|2AART|2DMG	1aDMG|28aVULN|3RMIN|4aDUST|5MBVNT|6RCR|79AART|aBPWR
82	31135 26332	 * 	219.03	DCR|4VULN|3DMG|1CDMG	126DMG|3RMIN|4789VULN|5CDMG|aRCR
83	31131 21332	   	219.03	DCR|4VULN|3DMG|1CDMG	127DMG|3RMIN|4589VULN|6CDMG|aRCR
84	31323 51232	   	218.93	DCR|4VULN|3DMG|1CDMG	127DMG|3CDMG|4589VULN|6TLV|aRCR
85	31635 26232	   	218.93	DCR|4VULN|3DMG|1CDMG	126DMG|3TLV|4789VULN|5CDMG|aRCR
86	31631 21232	   	218.93	DCR|4VULN|3DMG|1CDMG	127DMG|3TLV|4589VULN|6CDMG|aRCR
87	32312 11213	   	218.91	DCR|4VULN|2DMG|1AART	1aDMG|2FEWX|3aDUST|4RMIN|578aVULN|6RCR|9AART|aBPWR
88	31423 27336	   	218.86	DCR|3DMG|2VULN|1AART|2DUR|1ZMB	128DMG|3MBVNT|4ZMB|5RPLT|68DUR|78VULN|8BPWR|9RCR|aAART
89	31323 52243	   	218.83	DCR|3VULN|3DMG|1CDMG|2ZMB	12aDMG|3CDMG|45aVULN|6TLV|7LIT|8aZMB|9RCR|aBPWR
90	31631 22243	   	218.83	DCR|3VULN|3DMG|1CDMG|2ZMB	12aDMG|3TLV|45aVULN|6CDMG|7LIT|8aZMB|9RCR|aBPWR
91	33311 51213	   	218.81	DCR|4VULN|2DMG|1AART	1aDMG|278aVULN|3aDUST|4RMIN|5MBVNT|6RCR|9AART|aBPWR
92	33311 54133	   	218.81	DCR|4VULN|2DMG|1AART	1aDMG|289aVULN|3aDUST|4RMIN|5MBVNT|6RCR|7AART|aBPWR
93	33551 51213	   	218.81	DCR|4VULN|2DMG|1AART	1aDMG|278aVULN|3RMIN|4aDUST|5MBVNT|6RCR|9AART|aBPWR
94	33551 54133	   	218.81	DCR|4VULN|2DMG|1AART	1aDMG|289aVULN|3RMIN|4aDUST|5MBVNT|6RCR|7AART|aBPWR
95	32312 11113	   	218.71	DCR|3VULN|3DMG|1AART	18aDMG|2FEWX|3aDUST|4RMIN|57aVULN|6RCR|9AART|aBPWR
96	33311 51113	   	218.61	DCR|3VULN|3DMG|1AART	18aDMG|27aVULN|3aDUST|4RMIN|5MBVNT|6RCR|9AART|aBPWR
97	33551 51113	   	218.61	DCR|3VULN|3DMG|1AART	18aDMG|27aVULN|3RMIN|4aDUST|5MBVNT|6RCR|9AART|aBPWR
98	31343 46332	   	218.27	DCR|2VULN|2DMG|2CDMG|1ASPD|1AAC|1DUR	12DMG|34CDMG|59VULN|6DUR|7RCR|8ASPD|aAAC
99	31131 23321	   	217.86	DCR|2VULN|2AART|2DMG|1CDMG|1DUR	12DMG|3RMIN|45VULN|6CDMG|79AART|8DUR|aRCR
100	31323 43121	   	217.76	DCR|2VULN|2AART|2DMG|1CDMG|1DUR	12DMG|3CDMG|45VULN|6DUR|79AART|8ERES|aRCR
101	31635 63321	   	217.76	DCR|2VULN|2AART|2DMG|1CDMG|1DUR	12DMG|3TLV|47VULN|5CDMG|69AART|8DUR|aRCR
102	31135 12334	   	217.68	DCR|4VULN|2DMG|1CDMG|1DUR	12DMG|3RMIN|489aVULN|5CDMG|6DUR|7RCR
103	31323 46234	   	217.58	DCR|4VULN|2DMG|1CDMG|1AAC|1DUR	12DMG|3CDMG|459aVULN|6DUR|7RCR|8AAC
104	31323 46631	   	217.58	DCR|4VULN|2DMG|1CDMG|1DUR	12DMG|3CDMG|459aVULN|6DUR|7RCR|8ERES
105	31635 12234	   	217.58	DCR|4VULN|2DMG|1CDMG|1DUR	12DMG|3TLV|489aVULN|5CDMG|6DUR|7RCR
106	31323 23341	   	217.36	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1ZMB	12DMG|3CDMG|45VULN|6ZMB|7AART|89DUR|aRCR
107	31131 24221	   	217.21	DCR|3VULN|2DMG|1AART|1CDMG	12DMG|3RMIN|45aVULN|6CDMG|7RCR|8DLOT|9AART
108	31322 66343	   	217.14	DCR|3VULN|3DMG|2CDMG	129DMG|36CDMG|489VULN|59LHND|7RCR|9BPWR|aRCVC
109	31343 24221	   	217.14	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	12DMG|34CDMG|5aVULN|6ZMB|7RCR|8DLOT|9AART
110	31323 54221	   	217.11	DCR|3VULN|2DMG|1AART|1CDMG	12DMG|3CDMG|45aVULN|6TLV|7RCR|8DLOT|9AART
111	31631 24221	   	217.11	DCR|3VULN|2DMG|1AART|1CDMG	12DMG|3TLV|45aVULN|6CDMG|7RCR|8DLOT|9AART
112	31323 46251	   	217.05	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG|1AAC|1DUR	12DMG|3CDMG|45VULN|6DUR|7RCR|8AAC|9AART|aMDPS
113	31322 66342	   	216.81	DCR|3VULN|3DMG|2CDMG	129DMG|36CDMG|489VULN|59LHND|7RCR|9BPWR|aCGEN
114	33515 23433	   	216.76	DCR|3DMG|2VULN|1AART|2CDMG	169DMG|29VULN|34RMIN|59CDMG|7AART|8RPLT|9BPWR|aRCR
115	34135 23433	   	216.76	DCR|3DMG|2VULN|1AART|2CDMG	169DMG|2AELBLL|3RMIN|49VULN|59CDMG|7AART|8RPLT|9BPWR|aRCR
116	31322 66341	   	216.71	DCR|3VULN|3DMG|2CDMG	129DMG|36CDMG|489VULN|59LHND|7RCR|9BPWR|aERES
117	32322 45213	   	216.71	DCR|3VULN|2DMG|1AART|2ZMB	1aDMG|2aFEWX|3DUST|47ZMB|58aVULN|6RCR|9AART|aBPWR
118	33144 13623	   	216.71	DCR|3VULN|2DMG|1AART|2DUR	18DMG|289VULN|3LWND|4ERES|58DUR|6RCR|7AART|8BPWR|aBEXP
119	33151 62623	   	216.71	DCR|3VULN|2DMG|1AART|2DUR	18DMG|289VULN|3LWND|4AART|5TLV|6RCR|78DUR|8BPWR|aBEXP
120	33244 11621	   	216.71	DCR|3VULN|2DMG|1AART|2DUR	19DMG|279VULN|3BEXP|4ERES|59DUR|6RCR|8RPLT|9BPWR|aAART
