0	Index      	 *	Score 	Summary	Detail	
1	11136 32163	 * 	215.18	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	19LWND|2ERES|39aVULN|4AART|5DMG|6ASPD|79DUR|8RCR|9BPWR
13	13136 32164	   	198.76	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	19LWND|2MLV|39VULN|4AART|5DMG|6ASPD|79DUR|8RCR|9BPWR|aRCVC
14	11136 32164	   	198.66	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	19LWND|2ERES|39VULN|4AART|5DMG|6ASPD|79DUR|8RCR|9BPWR|aRCVC
15	13136 32162	   	197.45	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	19LWND|2MLV|39VULN|4AART|5DMG|6ASPD|79DUR|8RCR|9BPWR|aAELBLL
16	13136 32163	   	197.45	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	19LWND|2MLV|39VULN|4AART|5DMG|6ASPD|79DUR|8RCR|9BPWR|aBEXP
17	13136 32165	   	197.45	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	19LWND|2MLV|39VULN|4AART|5DMG|6ASPD|79DUR|8RCR|9BPWR|aLIT
18	11136 32165	   	197.35	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	19LWND|2ERES|39VULN|4AART|5DMG|6ASPD|79DUR|8RCR|9BPWR|aLIT
19	13136 32166	   	197.35	DCR|2VULN|1AART|1ASPD|1DMG|2DUR|1SELL	19LWND|2MLV|39VULN|4AART|5DMG|6ASPD|79DUR|8RCR|9BPWR|aSELL
20	11136 32162	   	197.25	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	19LWND|2ERES|39VULN|4AART|5DMG|6ASPD|79DUR|8RCR|9BPWR|aTLV
21	11136 32166	   	197.25	DCR|2VULN|1AART|1ASPD|1DMG|2DUR|1SELL	19LWND|2ERES|39VULN|4AART|5DMG|6ASPD|79DUR|8RCR|9BPWR|aSELL
22	33643 21533	 * 	196.84	DCR|3VULN|1AART|2CDMG|2DUR	178VULN|2MLV|38CDMG|4BEXP|5LWND|68DUR|8BPWR|9RCR|aAART
23	31643 21533	   	196.74	DCR|3VULN|1AART|2CDMG|2DUR	178VULN|2ERES|38CDMG|4BEXP|5LWND|68DUR|8BPWR|9RCR|aAART
24	33633 21533	   	196.74	DCR|3VULN|1AART|2CDMG|2DUR	178VULN|2MLV|38CDMG|4DUST|5LWND|68DUR|8BPWR|9RCR|aAART
25	31633 21533	   	196.64	DCR|3VULN|1AART|2CDMG|2DUR	178VULN|2ERES|38CDMG|4DUST|5LWND|68DUR|8BPWR|9RCR|aAART
26	35235 43112	   	195.90	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	13VULN|2RCVC|4CDMG|5AART|6RCR|7DUR|89CGEN|aASPD
27	33122 26525	 * 	195.54	DCR|4VULN|3ZMB|1ASPD	1357VULN|2MLV|489ZMB|6ASPD|aRCR
28	25235 23321	 * 	195.52	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1ERES|27CDMG|3BELT|4DMG|5AART|69VULN|8RCR|aDUR
29	34231 51162	 * 	194.07	DCR|4VULN|2ASPD|1DUR	168aVULN|2DUR|34ASPD|5LHND|7LIT|9RCR
30	31263 22141	 * 	193.91	DCR|3VULN|1ASPD|1DMG|1CDMG	14aVULN|2ERES|3ASPD|5DMSP|6CDMG|7MULARM|8RCR|9DMG
31	31261 22141	   	193.81	DCR|3VULN|1ASPD|1DMG|1CDMG	14aVULN|25ERES|3ASPD|6CDMG|7MULARM|8RCR|9DMG
32	32463 26141	 * 	193.66	DCR|3ASPD|2VULN|1CDMG|1DUR	18VULN|28FEWX|3LWND|4CDMG|5MBVNT|68aASPD|7RCR|8BPWR|9DUR
33	35235 43133	   	193.60	DCR|2VULN|1AART|2CDMG|1ZMB|1DUR	13VULN|2RCVC|49CDMG|5AART|6RCR|7DUR|8CGEN|aZMB
34	35235 43213	   	193.60	DCR|2VULN|1AART|2CDMG|1ZMB|1DUR	13VULN|2RCVC|48CDMG|5AART|6RCR|7DUR|9CGEN|aZMB
35	32531 21145	 * 	193.32	DCR|4VULN|1AART|1DMG	1368VULN|2FEWX|4DMG|5LHND|7LIT|9AART|aRCR
36	32533 21145	   	193.32	DCR|4VULN|1AART|1DMG	1368VULN|2FEWX|4DMG|5LWND|7LIT|9AART|aRCR
37	33623 41531	 * 	193.12	DCR|3VULN|2CDMG|1ASPD|2DUR	178VULN|2MLV|38CDMG|4FEWX|5LWND|68DUR|8BPWR|9RCR|aASPD
38	33643 21531	   	193.12	DCR|3VULN|2CDMG|1ASPD|2DUR	178VULN|2MLV|38CDMG|4BEXP|5LWND|68DUR|8BPWR|9RCR|aASPD
39	31623 41531	   	193.02	DCR|3VULN|2CDMG|1ASPD|2DUR	178VULN|2ERES|38CDMG|4FEWX|5LWND|68DUR|8BPWR|9RCR|aASPD
40	31643 21531	   	193.02	DCR|3VULN|2CDMG|1ASPD|2DUR	178VULN|2ERES|38CDMG|4BEXP|5LWND|68DUR|8BPWR|9RCR|aASPD
41	33621 41531	   	193.02	DCR|3VULN|2CDMG|1ASPD|2DUR	178VULN|2MLV|38CDMG|4FEWX|5DUST|68DUR|8BPWR|9RCR|aASPD
42	33633 21531	   	193.02	DCR|3VULN|2CDMG|1ASPD|2DUR	178VULN|2MLV|38CDMG|4DUST|5LWND|68DUR|8BPWR|9RCR|aASPD
43	33641 21531	   	193.02	DCR|3VULN|2CDMG|1ASPD|2DUR	178VULN|2MLV|38CDMG|4BEXP|5DUST|68DUR|8BPWR|9RCR|aASPD
44	31621 41531	   	192.92	DCR|3VULN|2CDMG|1ASPD|2DUR	178VULN|2ERES|38CDMG|4FEWX|5DUST|68DUR|8BPWR|9RCR|aASPD
45	31633 21531	   	192.92	DCR|3VULN|2CDMG|1ASPD|2DUR	178VULN|2ERES|38CDMG|4DUST|5LWND|68DUR|8BPWR|9RCR|aASPD
46	31641 21531	   	192.92	DCR|3VULN|2CDMG|1ASPD|2DUR	178VULN|2ERES|38CDMG|4BEXP|5DUST|68DUR|8BPWR|9RCR|aASPD
47	13136 35161	   	192.21	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	19LWND|2MLV|39VULN|4AART|5DMG|6ASPD|79BEXP|8RCR|9BPWR|aDUR
48	11136 35161	   	192.11	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	19LWND|2ERES|39VULN|4AART|5DMG|6ASPD|79BEXP|8RCR|9BPWR|aDUR
49	13136 32111	   	192.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2MLV|3aVULN|4AART|5DMG|6ASPD|7DUR|8RCR|9LHND
50	34531 16112	   	192.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	13VULN|2DUR|4DMG|59LHND|6FEWX|7AART|8RCR|aASPD
51	35516 22332	   	191.93	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	14VULN|2RCVC|3LIT|5ZMB|6CDMG|7AART|8MULFIG|9RCR|aDMG
52	35533 42332	   	191.93	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	16VULN|2RCVC|3LIT|4CDMG|5ZMB|7AART|8MULFIG|9RCR|aDMG
53	35216 22332	   	191.93	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	13VULN|2RCVC|4LIT|5ZMB|6CDMG|7AART|8MULFIG|9RCR|aDMG
54	11136 32111	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2ERES|3aVULN|4AART|5DMG|6ASPD|7DUR|8RCR|9LHND
55	11136 32143	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	19LWND|2ERES|3aVULN|4AART|5DMG|6ASPD|7DUR|8RCR
56	11136 32153	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2ERES|3aVULN|4AART|5DMG|6ASPD|7DUR|8RCR|9AELBLL
57	11131 66521	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2ERES|3aVULN|4AART|5ASPD|6LHND|7DUR|8RCR|9DMG
58	13136 32131	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2MLV|3aVULN|4AART|5DMG|6ASPD|7DUR|8RCR|9DUST
59	32243 31521	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1aVULN|2FEWX|3ASPD|4DUST|5DUR|6AART|7CGEN|8RCR|9DMG
60	11136 32131	   	191.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2ERES|3aVULN|4AART|5DMG|6ASPD|7DUR|8RCR|9DUST
61	32231 21145	 * 	191.69	DCR|3VULN|2ASPD|1AART	168VULN|2FEWX|34ASPD|5LHND|7LIT|9AART|aRCR
62	32233 21145	   	191.69	DCR|3VULN|2ASPD|1AART	168VULN|2FEWX|34ASPD|5LWND|7LIT|9AART|aRCR
63	32531 21164	 * 	191.60	DCR|4VULN|1ASPD|1DMG	1368VULN|2FEWX|4DMG|5LHND|7LIT|9RCR|aASPD
64	32533 21164	   	191.60	DCR|4VULN|1ASPD|1DMG	1368VULN|2FEWX|4DMG|5LWND|7LIT|9RCR|aASPD
65	14221 16151	   	191.51	DCR|2VULN|2ASPD|1AART|2DUR	1LWND|24DUR|34ASPD|4BPWR|5LHND|6FEWX|7AART|8RCR|9aVULN
66	14222 26111	   	191.51	DCR|2VULN|2ASPD|1AART|2DUR	1LWND|24DUR|34ASPD|4BPWR|5FEWX|6aVULN|7AART|8RCR|9LHND
67	33422 41533	   	191.49	DCR|3VULN|1AART|2CDMG|1DUR	178VULN|28MLV|3LEGI|4LWND|5DUR|68CDMG|8BPWR|9RCR|aAART
68	14222 26131	   	191.41	DCR|2VULN|2ASPD|1AART|2DUR	1LWND|24DUR|34ASPD|4BPWR|5FEWX|6aVULN|7AART|8RCR|9DUST
69	23122 41534	   	191.39	DCR|3VULN|1AART|2CDMG|1DUR	18ERES|2DUR|378VULN|4LWND|5FEWX|68CDMG|8BPWR|9RCR|aAART
70	23126 41533	   	191.39	DCR|3VULN|1AART|2CDMG|1DUR	18ERES|2DUR|378VULN|4LWND|5BEXP|68CDMG|8BPWR|9RCR|aAART
71	31422 41533	   	191.29	DCR|3VULN|1AART|2CDMG|1DUR	178VULN|28ERES|3LEGI|4LWND|5DUR|68CDMG|8BPWR|9RCR|aAART
72	35235 43233	   	190.32	DCR|2VULN|3CDMG|1AART|1DUR	13VULN|2RCVC|489CDMG|5AART|6RCR|7DUR|aBEXP
73	31634 62133	   	190.02	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1aVULN|2ERES|3CDMG|4DUST|5AART|6ASPD|7LWND|8RCR|9ZMB
74	13136 32321	   	190.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2MLV|3aVULN|4AART|5DMG|6ASPD|7DUR|8FEWX|9RCR
75	13136 35521	   	190.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2MLV|3aVULN|4AART|5DMG|6ASPD|7BEXP|8DUR|9RCR
76	13136 34331	   	189.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1LWND|2MLV|37VULN|4AART|5DMG|6ASPD|8ZMB|9DUST|aRCR
77	32534 12341	   	189.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	13VULN|2FEWX|4DMG|5ZMB|6AART|7LWND|8ERES|9ASPD|aRCR
78	11136 32321	   	189.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2ERES|3aVULN|4AART|5DMG|6ASPD|7DUR|8FEWX|9RCR
79	11136 35521	   	189.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2ERES|3aVULN|4AART|5DMG|6ASPD|7BEXP|8DUR|9RCR
80	13136 36521	   	189.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2MLV|3aVULN|4AART|5DMG|6ASPD|7LEGI|8DUR|9RCR
81	11136 36521	   	189.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2ERES|3aVULN|4AART|5DMG|6ASPD|7LEGI|8DUR|9RCR
82	31263 22165	 * 	189.69	DCR|4VULN|1ASPD|1CDMG	149aVULN|2ERES|3ASPD|5DMSP|6CDMG|7MULARM|8RCR
83	34531 16131	   	189.68	DCR|3VULN|1AART|1DMG|1DUR	13aVULN|2DUR|4DMG|5LHND|6FEWX|7AART|8RCR|9DUST
84	31261 22165	   	189.59	DCR|4VULN|1ASPD|1CDMG	149aVULN|25ERES|3ASPD|6CDMG|7MULARM|8RCR
85	32512 46232	 * 	189.51	DCR|5VULN|1AART	13678VULN|25FEWX|4RMIN|9RCR|aAART
86	32523 22243	 * 	189.23	DCR|4VULN|2DMG	136aVULN|2aFEWX|4AME|5LWND|7aDMG|8MBVNT|9RCR|aBPWR
87	32543 22243	   	189.13	DCR|4VULN|2DMG	136aVULN|2aFEWX|4ERES|5LWND|7aDMG|8MBVNT|9RCR|aBPWR
88	31163 22243	   	189.03	DCR|4VULN|2DMG	136aVULN|2aERES|4FEWX|5LWND|7aDMG|8MBVNT|9RCR|aBPWR
89	14223 25313	 * 	189.00	DCR|3ASPD|1AART|1VULN|3DUR	1LWND|247DUR|346ASPD|4BPWR|5ERES|8RCR|9VULN|aAART
90	34226 24427	 * 	188.85	DCR|3VULN|1ASPD|3DUR|1CDMG	178VULN|278DUR|3ASPD|4LWND|578FEWX|6MBVNT|78BPWR|9CDMG|aRCR
91	25235 23325	   	188.52	DCR|2VULN|1AART|2CDMG|1DMG	1ERES|27CDMG|3BELT|4DMG|5AART|69VULN|8RCR|aRCVC
92	25111 35632	   	188.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1ERES|2CDMG|3DMSP|48VULN|5DMG|6RCR|7RMIN|9DUR|aASPD
93	25111 32634	   	188.28	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1ERES|2CDMG|3DMSP|48VULN|5DMG|6RCR|7AAC|9DUR|aASPD
94	35533 24131	   	188.21	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1aVULN|2RCVC|3LIT|4CDMG|5ZMB|6ASPD|7BEXP|8DMG|9RCR
95	35533 21131	   	188.11	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1aVULN|2RCVC|3LIT|4CDMG|5ZMB|6ASPD|7DUST|8DMG|9RCR
96	11131 64125	   	188.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1LWND|2ERES|3aVULN|4AART|5ASPD|6LHND|7CDMG|8RCR|9DUR
97	25235 15321	   	188.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2CDMG|3BELT|4DMG|5AART|6DMSP|79VULN|8RCR|aDUR
98	23556 21121	 * 	188.05	DCR|3DMG|1VULN|1AART|2DUR	1ERES|24DUR|346DMG|4BPWR|5LIT|7AART|8CGEN|9RCR|aVULN
99	34531 16111	 * 	188.02	DCR|2VULN|2AART|1DMG|1DUR	13VULN|2DUR|4DMG|59LHND|6FEWX|7aAART|8RCR
100	25235 24321	   	187.99	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	17ERES|2CDMG|3BELT|4DMG|5AART|69VULN|8RCR|aDUR
101	34322 41531	   	187.88	DCR|3VULN|2CDMG|1ASPD|1DUR	178VULN|2DUR|38CGEN|4LWND|5FEWX|68CDMG|8BPWR|9RCR|aASPD
102	33624 61113	   	187.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1VULN|2MLV|3CDMG|4FEWX|5AART|6ASPD|7DUR|8RCR|9BEXP|aDMG
103	34533 21241	   	187.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	13VULN|2DUR|4DMG|5ERES|6ASPD|7LIT|8DUST|9AART|aRCR
104	33422 41531	   	187.78	DCR|3VULN|2CDMG|1ASPD|1DUR	178VULN|28MLV|3LEGI|4LWND|5DUR|68CDMG|8BPWR|9RCR|aASPD
105	11131 64123	   	187.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LWND|2ERES|3VULN|4AART|5ASPD|6LHND|7CDMG|8RCR|9DUR|aDMG
106	11136 64123	   	187.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LWND|2ERES|3VULN|4AART|5DMG|6LHND|7CDMG|8RCR|9DUR|aASPD
107	31624 61113	   	187.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1VULN|2ERES|3CDMG|4FEWX|5AART|6ASPD|7DUR|8RCR|9BEXP|aDMG
108	33634 61113	   	187.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1VULN|2MLV|3CDMG|4DUST|5AART|6ASPD|7DUR|8RCR|9BEXP|aDMG
109	34214 31125	 * 	187.78	DCR|2VULN|2AART|1ASPD|1DUR|1SELL	1aVULN|2DUR|3ASPD|4SELL|59AART|6LWND|7CGEN|8RCR
110	23122 41531	   	187.68	DCR|3VULN|2CDMG|1ASPD|1DUR	18ERES|2DUR|378VULN|4LWND|5FEWX|68CDMG|8BPWR|9RCR|aASPD
111	23126 41531	   	187.68	DCR|3VULN|2CDMG|1ASPD|1DUR	18ERES|2DUR|378VULN|4LWND|5BEXP|68CDMG|8BPWR|9RCR|aASPD
112	31266 11633	   	187.68	DCR|3VULN|1AART|1ASPD|1DUR	147VULN|2ERES|3ASPD|5LIT|6LWND|8AART|9RCR|aDUR
113	32563 32531	   	187.68	DCR|3VULN|2CDMG|1ASPD|1DUR	138VULN|2FEWX|48CDMG|5MLV|6DUR|78DUST|8BPWR|9RCR|aASPD
114	22624 61133	   	187.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ERES|2DUST|3CDMG|4FEWX|5AART|6ASPD|7DUR|8RCR|9VULN|aDMG
115	31634 61113	   	187.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1VULN|2ERES|3CDMG|4DUST|5AART|6ASPD|7DUR|8RCR|9BEXP|aDMG
116	35235 42131	   	187.59	DCR|2VULN|1AART|1DMG|1CDMG	13VULN|2RCVC|4CDMG|5AART|6RCR|7RPLT|8AME|9AELBLL|aDMG
117	35235 42231	   	187.59	DCR|2VULN|1AART|1DMG|1CDMG	13VULN|2RCVC|4CDMG|5AART|6RCR|7RPLT|8MLV|9AELBLL|aDMG
118	31422 41531	   	187.58	DCR|3VULN|2CDMG|1ASPD|1DUR	178VULN|28ERES|3LEGI|4LWND|5DUR|68CDMG|8BPWR|9RCR|aASPD
119	35235 42332	   	187.49	DCR|2VULN|1AART|1ASPD|1CDMG	13VULN|2RCVC|4CDMG|5AART|6RCR|7RPLT|8BEXP|9DUST|aASPD
120	14222 26143	   	187.38	DCR|2ASPD|1VULN|1AART|1CDMG|2DUR	19LWND|24DUR|34ASPD|4BPWR|5FEWX|6VULN|7AART|8RCR|aCDMG
121	14222 26153	   	187.38	DCR|2ASPD|1AART|1VULN|1CDMG|2DUR	1LWND|24DUR|34ASPD|4BPWR|5FEWX|6VULN|7AART|8RCR|9AELBLL|aCDMG
122	14222 26161	   	187.28	DCR|2ASPD|1AART|1VULN|1CDMG|2DUR	1LWND|24DUR|34ASPD|4BPWR|5FEWX|6VULN|7AART|8RCR|9TSLARM|aCDMG
123	25235 23322	   	187.22	DCR|2VULN|1AART|2CDMG|1DMG	1ERES|27CDMG|3BELT|4DMG|5AART|69VULN|8RCR|aRPLT
124	25235 23323	   	187.22	DCR|2VULN|1AART|2CDMG|1DMG	1ERES|27CDMG|3BELT|4DMG|5AART|69VULN|8RCR|aLWND
125	25235 23326	   	187.22	DCR|2VULN|1AART|2CDMG|1DMG	1ERES|27CDMG|3BELT|4DMG|5AART|69VULN|8RCR|aRMIN
126	33122 21624	   	187.21	DCR|3VULN|1ASPD|1CDMG|1ZMB	135VULN|2MLV|4ZMB|6ASPD|7SPLREG|8CDMG|9FEWX|aRCR
127	33122 21634	   	187.21	DCR|3VULN|1ASPD|1CDMG|1ZMB	135VULN|2MLV|4ZMB|6ASPD|7SPLREG|8CDMG|9BEXP|aRCR
128	33122 41624	   	187.21	DCR|3VULN|1DMG|1CDMG|1ZMB	135VULN|2MLV|4ZMB|6DMG|7SPLREG|8CDMG|9FEWX|aRCR
129	33122 41634	   	187.21	DCR|3VULN|1DMG|1CDMG|1ZMB	135VULN|2MLV|4ZMB|6DMG|7SPLREG|8CDMG|9BEXP|aRCR
130	14222 26141	 * 	187.20	DCR|2AART|2ASPD|1VULN|2DUR	19LWND|24DUR|34ASPD|4BPWR|5FEWX|6VULN|7aAART|8RCR
131	14222 26151	   	187.20	DCR|2AART|2ASPD|1VULN|2DUR	1LWND|24DUR|34ASPD|4BPWR|5FEWX|6VULN|7aAART|8RCR|9AELBLL
132	33122 21614	   	187.11	DCR|3VULN|1ASPD|1CDMG|1ZMB	135VULN|2MLV|4ZMB|6ASPD|7SPLREG|8CDMG|9LEGI|aRCR
133	33122 41614	   	187.11	DCR|3VULN|1DMG|1CDMG|1ZMB	135VULN|2MLV|4ZMB|6DMG|7SPLREG|8CDMG|9LEGI|aRCR
134	33122 21651	   	186.97	DCR|3VULN|1ASPD|1CDMG|1ZMB|1SELL	135VULN|2MLV|4ZMB|6ASPD|7SPLREG|8CDMG|9SELL|aRCR
135	33122 41651	   	186.97	DCR|3VULN|1DMG|1CDMG|1ZMB|1SELL	135VULN|2MLV|4ZMB|6DMG|7SPLREG|8CDMG|9SELL|aRCR
136	25235 23316	 * 	186.90	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG	1ERES|27CDMG|3BELT|4DMG|5AART|6VULN|8RCR|9RPLT|aASPD
137	25235 23352	   	186.90	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG	1ERES|27CDMG|3BELT|4DMG|5AART|6VULN|8RCR|9ASPD|aRMIN
138	34234 31331	   	186.87	DCR|2VULN|2ASPD|1CDMG|1AAC|1ZMB|1DUR	1aVULN|2DUR|34ASPD|5ZMB|6AAC|7LIT|8CDMG|9RCR
139	25235 23351	   	186.80	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1MSE	1ERES|27CDMG|3BELT|4DMG|5AART|6VULN|8RCR|9ASPD|aMSE
140	25235 23353	   	186.80	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1SELL	1ERES|27CDMG|3BELT|4DMG|5AART|6VULN|8RCR|9ASPD|aSELL
141	34131 26261	 * 	186.74	DCR|2VULN|1AART|1ASPD|1NUKE|2DUR|2ZMB	18VULN|28DUR|3NUKE|4ASPD|5FEWX|68ZMB|7AART|8BPWR|9TLV|aRCR
142	33624 32125	   	186.23	DCR|2VULN|2AART|1CDMG|1ZMB	1aVULN|2MLV|3CDMG|4FEWX|59AART|6ZMB|7LWND|8RCR
143	35235 43113	   	186.17	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	13VULN|2RCVC|4CDMG|5AART|6RCR|7DUR|89CGEN|aZMB
144	13132 36161	   	186.16	DCR|2VULN|2ASPD|1AART|1AAC|1DUR	19LWND|2MLV|39VULN|4AART|5AAC|69ASPD|7LEGI|8RCR|9BPWR|aDUR
145	34226 16111	   	186.16	DCR|2VULN|2ASPD|1AART|1DUR	1aVULN|2DUR|36ASPD|4LWND|5FEWX|7AART|8RCR|9LHND
146	34231 16141	   	186.16	DCR|2VULN|2ASPD|1AART|1DUR	1aVULN|2DUR|34ASPD|5LHND|6FEWX|7AART|8RCR|9LWND
147	34232 66111	   	186.16	DCR|2VULN|2ASPD|1AART|1DUR	1aVULN|2DUR|34ASPD|5FEWX|6LWND|7AART|8RCR|9LHND
148	13133 34125	   	186.13	DCR|2VULN|2AART|1CDMG|1ZMB	1LWND|2MLV|3aVULN|49AART|5DUST|6ZMB|7CDMG|8RCR
149	31624 32125	   	186.13	DCR|2VULN|2AART|1CDMG|1ZMB	1aVULN|2ERES|3CDMG|4FEWX|59AART|6ZMB|7LWND|8RCR
150	11132 36161	   	186.06	DCR|2VULN|2ASPD|1AART|1AAC|1DUR	19LWND|2ERES|39VULN|4AART|5AAC|69ASPD|7LEGI|8RCR|9BPWR|aDUR
151	34226 16131	   	186.06	DCR|2VULN|2ASPD|1AART|1DUR	1aVULN|2DUR|36ASPD|4LWND|5FEWX|7AART|8RCR|9DUST
152	34231 16131	   	186.06	DCR|2VULN|2ASPD|1AART|1DUR	1aVULN|2DUR|34ASPD|5LHND|6FEWX|7AART|8RCR|9DUST
153	34232 66131	   	186.06	DCR|2VULN|2ASPD|1AART|1DUR	1aVULN|2DUR|34ASPD|5FEWX|6LWND|7AART|8RCR|9DUST
154	34251 16131	   	186.06	DCR|2VULN|2ASPD|1AART|1DUR	1aVULN|2DUR|36ASPD|4FEWX|5LHND|7AART|8RCR|9DUST
155	11133 34125	   	186.03	DCR|2VULN|2AART|1CDMG|1ZMB	1LWND|2ERES|3aVULN|49AART|5DUST|6ZMB|7CDMG|8RCR
156	13136 36161	 * 	185.95	DCR|2ASPD|1AART|1VULN|1DMG|1DUR	19LWND|29MLV|3VULN|4AART|5DMG|69ASPD|7LEGI|8RCR|9BPWR|aDUR
157	32512 46233	 * 	185.80	DCR|5VULN|1ASPD	13678VULN|25FEWX|4RMIN|9RCR|aASPD
158	32531 21162	 * 	185.80	DCR|5VULN|1DMG	1368aVULN|2FEWX|4DMG|5LHND|7LIT|9RCR
159	32533 21162	   	185.80	DCR|5VULN|1DMG	1368aVULN|2FEWX|4DMG|5LWND|7LIT|9RCR
160	34532 23231	   	185.78	DCR|3VULN|1AART|1DMG|1DUR	136VULN|2DUR|4DMG|5FEWX|7LWND|8LIT|9AART|aRCR
