0	Index      	 *	Score 	Summary	Detail	
1	21236 44323	 * 	210.60	DCR|3ASPD|2VULN|1AART|1DMG|1SELL	1BEXP|23aASPD|45VULN|6SELL|7AART|8RCR|9DMG
87	25244 21111	   	196.96	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1BEXP|24DMG|3ASPD|5ERES|6DUST|7CDMG|8RCR|9AART|aVULN
88	13631 13742	   	196.96	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|2BEXP|34DMG|5DUST|6ASPD|7MBVNT|8RCR|9CDMG|aVULN
89	13631 53742	   	196.96	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|2BEXP|34DMG|5DUST|6MBVNT|7ASPD|8RCR|9CDMG|aVULN
90	35266 31112	   	196.96	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	16DUST|2aDMG|3ASPD|4RMIN|5VULN|7CDMG|8RCR|9AART
91	25336 21112	 * 	196.54	DCR|3DMG|2VULN|1AART|1SELL	1BEXP|23aDMG|45VULN|6DUST|7SELL|8RCR|9AART
92	35336 42112	 * 	196.54	DCR|3DMG|2VULN|1AART|1SELL	1DUST|23aDMG|45VULN|6SELL|7BEXP|8RCR|9AART
93	55336 21112	 * 	196.54	DCR|3DMG|2VULN|1AART|1SELL	1FEWX|23aDMG|45VULN|6DUST|7SELL|8RCR|9AART
94	35222 31344	   	196.28	DCR|2ASPD|1VULN|1DMG|1NUKE|1CDMG|1DUR	1DUST|2DMG|35ASPD|4MLV|6DUR|7CDMG|8VULN|9RCR|aNUKE
95	31236 31164	   	196.12	DCR|3VULN|2ASPD|1CDMG|1DUR|1SELL	1DUST|23ASPD|45aVULN|6DUR|7SELL|8RCR|9CDMG
96	21331 36526	   	196.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1BEXP|2ASPD|3AELBLL|49VULN|5MLV|6ZMB|7RCR|8DMG|aAART
97	31331 36526	   	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1DUST|2ASPD|3AELBLL|49VULN|5MLV|6ZMB|7RCR|8DMG|aAART
98	35236 36311	   	195.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	16DUST|2DMG|3ASPD|4ZMB|5aVULN|7RCR|8AART|9LHND
99	35236 36321	   	195.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	16DUST|2DMG|3ASPD|4ZMB|5aVULN|7RCR|8AART|9FEWX
100	51236 42111	   	195.45	DCR|3VULN|2ASPD|1AART|1SELL	1FEWX|23ASPD|45aVULN|6SELL|7BEXP|8RCR|9AART
101	21236 21111	   	195.35	DCR|3VULN|2ASPD|1AART|1SELL	1BEXP|23ASPD|45aVULN|6DUST|7SELL|8RCR|9AART
102	31236 42111	   	195.35	DCR|3VULN|2ASPD|1AART|1SELL	1DUST|23ASPD|45aVULN|6SELL|7BEXP|8RCR|9AART
103	51236 21111	   	195.35	DCR|3VULN|2ASPD|1AART|1SELL	1FEWX|23ASPD|45aVULN|6DUST|7SELL|8RCR|9AART
104	21231 36521	   	194.78	DCR|2VULN|2ASPD|1DMG|1ZMB|1DUR	1BEXP|23ASPD|49VULN|5MLV|6ZMB|7RCR|8DMG|aDUR
105	31231 36521	   	194.68	DCR|2VULN|2ASPD|1DMG|1ZMB|1DUR	1DUST|23ASPD|49VULN|5MLV|6ZMB|7RCR|8DMG|aDUR
106	61136 63311	   	194.40	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	13LHND|2ASPD|45aVULN|6ZMB|7DMG|8DUR|9RCR
107	21542 51112	 * 	194.39	DCR|2AART|2ASPD|1DMG|1CDMG|1DUR	1BEXP|25ASPD|3MLV|4DMG|6DUR|7CDMG|8RCR|9aAART
108	24242 51112	   	194.39	DCR|2AART|2ASPD|1DMG|1CDMG|1DUR	1BEXP|2MLV|35ASPD|4DMG|6DUR|7CDMG|8RCR|9aAART
109	31542 31112	   	194.29	DCR|2AART|2ASPD|1DMG|1CDMG|1DUR	1DUST|25ASPD|3MLV|4DMG|6DUR|7CDMG|8RCR|9aAART
110	34242 31112	   	194.29	DCR|2AART|2ASPD|1DMG|1CDMG|1DUR	1DUST|2MLV|35ASPD|4DMG|6DUR|7CDMG|8RCR|9aAART
111	35222 31112	   	194.29	DCR|2AART|2ASPD|1DMG|1CDMG|1DUR	1DUST|2DMG|35ASPD|4MLV|6DUR|7CDMG|8RCR|9aAART
112	13633 55222	   	194.02	DCR|2DMG|1AART|1ASPD|1CDMG|1ZMB|1DUR	1AART|2BEXP|34DMG|5DUR|6RPLT|7RCR|8ASPD|9CDMG|aZMB
113	13226 33424	 * 	194.01	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	1AART|27BEXP|3CDMG|47DUST|5MDPS|67VULN|7BPWR|8RCR|9aASPD
114	35236 32511	   	193.95	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	16DUST|28DMG|3ASPD|4ZMB|5aVULN|7DUR|9RCR
115	14363 33352	   	193.93	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2RCVC|3CDMG|4RMIN|5aVULN|6DMG|7LIT|8RCR|9ZMB
116	21542 31131	   	193.79	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1BEXP|25ASPD|3MLV|4DMG|6LHND|7CDMG|8RCR|9AART|aVULN
117	24242 31131	   	193.79	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1BEXP|2MLV|35ASPD|4DMG|6LHND|7CDMG|8RCR|9AART|aVULN
118	51542 31131	   	193.79	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1FEWX|25ASPD|3MLV|4DMG|6LHND|7CDMG|8RCR|9AART|aVULN
119	54242 31131	   	193.79	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1FEWX|2MLV|35ASPD|4DMG|6LHND|7CDMG|8RCR|9AART|aVULN
120	21236 21166	   	193.76	DCR|2VULN|2ASPD|1AART|1CDMG|1SELL	1BEXP|23ASPD|45VULN|6DUST|7SELL|8RCR|9CDMG|aAART
121	21542 21111	   	193.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1BEXP|25ASPD|3MLV|4DMG|6DUST|7CDMG|8RCR|9AART|aVULN
122	24242 21111	   	193.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1BEXP|2MLV|35ASPD|4DMG|6DUST|7CDMG|8RCR|9AART|aVULN
123	35265 31111	   	193.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1DUST|2DMG|36ASPD|4RMIN|5BEXP|7CDMG|8RCR|9AART|aVULN
124	51542 21111	   	193.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1FEWX|25ASPD|3MLV|4DMG|6DUST|7CDMG|8RCR|9AART|aVULN
125	54242 21111	   	193.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1FEWX|2MLV|35ASPD|4DMG|6DUST|7CDMG|8RCR|9AART|aVULN
126	61342 21131	   	193.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1LHND|25ASPD|3MLV|4DMG|6DUST|7CDMG|8RCR|9AART|aVULN
127	11263 16423	   	193.62	DCR|3VULN|1AART|1ASPD|1CDMG	1AART|2AME|3ERES|4CDMG|579VULN|6ASPD|8DMSP|aRCR
128	25331 36311	   	193.56	DCR|2VULN|2DMG|1AART|1ZMB	1BEXP|23DMG|4aVULN|5MLV|6ZMB|7RCR|8AART|9LHND
129	25331 36321	   	193.56	DCR|2VULN|2DMG|1AART|1ZMB	1BEXP|23DMG|4aVULN|5MLV|6ZMB|7RCR|8AART|9FEWX
130	35331 36311	   	193.46	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|23DMG|4aVULN|5MLV|6ZMB|7RCR|8AART|9LHND
131	35331 36321	   	193.46	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|23DMG|4aVULN|5MLV|6ZMB|7RCR|8AART|9FEWX
132	25331 36341	 * 	193.14	DCR|2DMG|1VULN|1AART|1NUKE|1ZMB	1BEXP|23DMG|4VULN|5MLV|6ZMB|7RCR|8AART|9NUKE|aRMIN
133	25331 36342	   	193.14	DCR|2DMG|1VULN|1AART|1NUKE|1ZMB	1BEXP|23DMG|4VULN|5MLV|6ZMB|7RCR|8AART|9NUKE|aBELT
134	25331 36343	   	193.14	DCR|2DMG|1VULN|1AART|1NUKE|1ZMB	1BEXP|23DMG|4VULN|5aMLV|6ZMB|7RCR|8AART|9NUKE
135	35331 36341	   	193.04	DCR|2DMG|1VULN|1AART|1NUKE|1ZMB	1DUST|23DMG|4VULN|5MLV|6ZMB|7RCR|8AART|9NUKE|aRMIN
136	35331 36342	   	193.04	DCR|2DMG|1VULN|1AART|1NUKE|1ZMB	1DUST|23DMG|4VULN|5MLV|6ZMB|7RCR|8AART|9NUKE|aBELT
137	35331 36343	   	193.04	DCR|2DMG|1VULN|1AART|1NUKE|1ZMB	1DUST|23DMG|4VULN|5aMLV|6ZMB|7RCR|8AART|9NUKE
138	13631 13188	   	192.96	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|2BEXP|34DMG|5DUST|6ASPD|7MBVNT|8CDMG|9VULN|aRCR
139	21236 51115	   	192.70	DCR|2VULN|2ASPD|1AART|1AAC|1DUR|1SELL	1BEXP|23ASPD|45VULN|6DUR|7SELL|8RCR|9AART|aAAC
140	21331 36351	   	192.22	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1BEXP|2ASPD|3AELBLL|4aVULN|5MLV|6ZMB|7RCR|8AART|9CDMG
141	25331 36521	   	192.21	DCR|3DMG|2VULN|1AAC|1ZMB	1BEXP|238DMG|49VULN|5MLV|6ZMB|7RCR|aAAC
142	31331 36351	   	192.12	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1DUST|2ASPD|3AELBLL|4aVULN|5MLV|6ZMB|7RCR|8AART|9CDMG
143	35331 36521	   	192.11	DCR|3DMG|2VULN|1AAC|1ZMB	1DUST|238DMG|49VULN|5MLV|6ZMB|7RCR|aAAC
144	13633 15222	   	192.02	DCR|2DMG|1AART|1ASPD|1CDMG|1ZMB|1DUR	1AART|2BEXP|34DMG|5DUR|6ASPD|7RPLT|8RCR|9CDMG|aZMB
145	35336 31162	   	191.99	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1SELL	1DUST|23DMG|45VULN|6DUR|7SELL|8RCR|9CDMG|aZMB
146	21231 36534	   	191.99	DCR|2DMG|2ASPD|1VULN|1ZMB|1DUR	1BEXP|23ASPD|4VULN|5MLV|6ZMB|7RCR|8aDMG|9DUR
147	21331 36352	   	191.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1BEXP|2ASPD|3AELBLL|4VULN|5MLV|6ZMB|7RCR|8AART|9CDMG|aDMG
148	31231 36534	   	191.89	DCR|2DMG|2ASPD|1VULN|1ZMB|1DUR	1DUST|23ASPD|4VULN|5MLV|6ZMB|7RCR|8aDMG|9DUR
149	31331 36352	   	191.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DUST|2ASPD|3AELBLL|4VULN|5MLV|6ZMB|7RCR|8AART|9CDMG|aDMG
150	13345 22341	 * 	191.80	DCR|2AART|2ASPD|1VULN|1CDMG	1aAART|2BEXP|3LIT|48ASPD|5LWND|6VULN|7RCR|9CDMG
151	21336 51112	   	191.76	DCR|2VULN|1AART|1ASPD|1DMG|1DUR|1SELL	1BEXP|2ASPD|3AELBLL|45VULN|6DUR|7SELL|8RCR|9AART|aDMG
152	51336 51112	   	191.76	DCR|2VULN|1AART|1ASPD|1DMG|1DUR|1SELL	1FEWX|2ASPD|3AELBLL|45VULN|6DUR|7SELL|8RCR|9AART|aDMG
153	13341 22365	   	191.68	DCR|3VULN|1AART|1ASPD|1DUR	1AART|2BEXP|3LIT|4ASPD|5DUST|68aVULN|7RCR|9DUR
154	15341 22335	   	191.68	DCR|3VULN|1AART|1ASPD|1DUR	1AART|2FEWX|3LIT|4ASPD|5DUST|68aVULN|7RCR|9DUR
155	31336 31112	   	191.66	DCR|2VULN|1AART|1ASPD|1DMG|1DUR|1SELL	1DUST|2ASPD|3AELBLL|45VULN|6DUR|7SELL|8RCR|9AART|aDMG
156	21246 23126	 * 	191.21	ACR|2VULN|2DMG|2ASPD|1AART	1BEXP|23ASPD|4RCR|59VULN|6FEWX|78DMG|aAART
157	25242 36331	   	191.21	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1BEXP|24DMG|3ASPD|5CGEN|6LHND|7RCR|8AART|9DUR|aVULN
158	25243 36331	   	191.21	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1BEXP|24DMG|3ASPD|5RMIN|6LHND|7RCR|8AART|9DUR|aVULN
