0	Index      	 *	Score 	Summary	Detail	
1	61111 26413	 * 	220.78	DCR|3VULN|2DMG|1AART|1ASPD|1AAC|1SELL	169VULN|29DUST|3AAC|4SELL|5AART|7RCR|89DMG|9BPWR|aASPD
30	33212 34134	 * 	199.85	DCR|5VULN|1AART|1ZMB	1LWND|2678aVULN|3BEXP|4ZMB|5AART|9RCR
31	62242 11115	 * 	199.20	DCR|3VULN|2DMG|1MDPS|1ASPD|1SELL	18aVULN|2aAME|3LIT|4ASPD|5aDMG|6RCR|7MDPS|9SELL|aBPWR
32	24272 27122	   	198.50	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG|1DUR	1MDPS|2MBVNT|3CDMG|46ASPD|56VULN|6BPWR|7TLV|8RCR|9DMG|aDUR
33	63121 61413	   	198.41	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	15VULN|2AELBLL|38ASPD|4AART|6DUR|7CDMG|9RPLT|aRCR
34	63123 41512	 * 	197.54	DCR|2VULN|2ASPD|1AART|2CDMG|1NUKE	19VULN|2AELBLL|39ASPD|4AART|5DUST|6NUKE|7BEXP|89CDMG|9BPWR|aRCR
35	63123 42512	   	197.54	DCR|2VULN|2ASPD|1AART|2CDMG|1NUKE	19VULN|2AELBLL|39ASPD|4AART|5DUST|6NUKE|7LHND|89CDMG|9BPWR|aRCR
36	64321 32111	   	197.14	DCR|4VULN|1AART|2ZMB|1DUR	1258VULN|2BPWR|39ZMB|4AART|6RCVC|7DUR|aRCR
37	24272 23263	 * 	196.37	DCR|3VULN|1MDPS|2ASPD|1CDMG|1DUR	1MDPS|2MBVNT|3CDMG|46ASPD|569VULN|6BPWR|7DUR|8RCR|aMLV
38	24272 23264	   	196.37	DCR|3VULN|1MDPS|2ASPD|1CDMG|1DUR	1MDPS|2MBVNT|3CDMG|46ASPD|569VULN|6BPWR|7DUR|8RCR|aLIT
39	24272 23282	   	196.37	DCR|3VULN|1MDPS|2ASPD|1CDMG|1DUR	1MDPS|2MBVNT|3CDMG|46ASPD|56aVULN|6BPWR|7DUR|8RCR|9LIT
40	24272 23261	   	196.27	DCR|3VULN|1MDPS|2ASPD|1CDMG|1DUR	1MDPS|2MBVNT|3CDMG|46ASPD|569VULN|6BPWR|7DUR|8RCR|aTLV
41	24272 23262	   	196.27	DCR|3VULN|1MDPS|2ASPD|1CDMG|1DUR	1MDPS|2MBVNT|3CDMG|46ASPD|569VULN|6BPWR|7DUR|8RCR|aDUST
42	24272 23211	   	196.12	DCR|3VULN|1MDPS|2ASPD|1CDMG|1DUR|1SELL	1MDPS|2MBVNT|3CDMG|46ASPD|56aVULN|6BPWR|7DUR|8RCR|9SELL
43	64116 22132	   	196.00	DCR|4VULN|1ASPD|1CDMG|1DUR	1278VULN|2BPWR|3ASPD|4BEXP|5DUR|6DLOT|9RCR|aCDMG
44	62152 12236	   	195.72	DCR|3VULN|1AART|1DMG|1CDMG	168VULN|2AME|3BEXP|4LIT|5AART|7CDMG|9RCR|aDMG
45	63121 16132	   	195.62	DCR|3VULN|1AART|1ASPD|1CDMG	158VULN|2AELBLL|3ASPD|4AART|6BEXP|7DUST|9RCR|aCDMG
46	64121 16131	   	195.22	DCR|4VULN|1AART|1ASPD	1258VULN|2BPWR|3ASPD|4AART|6BEXP|7DUST|9RCR|aCGEN
47	64121 16133	   	195.22	DCR|4VULN|1AART|1ASPD	1258VULN|2BPWR|3ASPD|4AART|6BEXP|7DUST|9RCR|aFEWX
48	63121 16134	   	195.22	DCR|4VULN|1AART|1ASPD	158aVULN|2AELBLL|3ASPD|4AART|6BEXP|7DUST|9RCR
49	63321 22151	   	195.11	DCR|4VULN|1AART|2ZMB|1DUR	1589VULN|2AELBLL|36ZMB|4AART|7DUR|aRCR
50	63321 42111	   	195.11	DCR|4VULN|1AART|2ZMB|1DUR	1568VULN|2AELBLL|39ZMB|4AART|7DUR|aRCR
51	42354 34425	   	195.04	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1RMIN|2TLV|3ZMB|4MBVNT|5ASPD|6RCR|79DMG|8VULN|aAART
52	63133 61134	   	194.78	DCR|3ASPD|2VULN|1AART	19VULN|2AELBLL|378ASPD|4DMSP|5FEWX|6RCR|aAART
53	63321 62234	   	194.43	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1ZMB|1DUR	15VULN|2AELBLL|3ZMB|4AART|6DUR|7DMG|8AAC|9CDMG|aRCR
54	64321 13432	   	194.30	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	125VULN|2BPWR|3ZMB|4AART|67BEXP|8DUR|9RCR|aCDMG
55	63321 63132	   	194.30	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	158VULN|2AELBLL|3ZMB|4AART|6DUR|7BEXP|9RCR|aCDMG
56	64332 61212	   	194.22	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	12VULN|2BPWR|3ZMB|4DMSP|5LWND|6RCR|7ASPD|8AME|9AART|aCDMG
57	64332 63212	   	194.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	12VULN|2BPWR|3ZMB|4DMSP|5LWND|6RCR|7DMG|8AME|9AART|aCDMG
58	64333 61212	   	194.22	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	12VULN|2BPWR|3ZMB|4DMSP|5FEWX|6RCR|7ASPD|8AME|9AART|aCDMG
59	24272 28134	   	194.01	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	1MDPS|2MBVNT|3CDMG|46ASPD|56VULN|6BPWR|7MLV|8RCR|9MULFIG|aAART
60	63321 32151	   	193.93	DCR|4VULN|1AART|1ZMB|1DUR	1589VULN|2AELBLL|3ZMB|4AART|6RCVC|7DUR|aRCR
61	64321 63131	   	193.90	DCR|4VULN|1AART|1ZMB|1DUR	1258VULN|2BPWR|3ZMB|4AART|6DUR|7BEXP|9RCR|aCGEN
62	64321 63133	   	193.90	DCR|4VULN|1AART|1ZMB|1DUR	1258VULN|2BPWR|3ZMB|4AART|6DUR|7BEXP|9RCR|aFEWX
63	63321 63134	   	193.90	DCR|4VULN|1AART|1ZMB|1DUR	158aVULN|2AELBLL|3ZMB|4AART|6DUR|7BEXP|9RCR
64	63121 11652	 * 	193.75	2SPLARM|3VULN|2AART|2ASPD|1CDMG	15aVULN|2AELBLL|3aASPD|49AART|6BEXP|7CDMG|8aSPLARM|aBPWR
65	63121 11563	   	193.72	DCR|3VULN|1AART|1ASPD|1CDMG	159VULN|2AELBLL|3ASPD|4AART|6BEXP|7CDMG|8RPLT|aRCR
66	64121 31313	   	193.72	DCR|3VULN|1AART|1ASPD|1CDMG	125VULN|2BPWR|3ASPD|4AART|6AME|7MLV|8CDMG|9RPLT|aRCR
67	64121 34313	   	193.72	DCR|3VULN|1AART|1ASPD|1CDMG	125VULN|2BPWR|3ASPD|4AART|6AME|7CGEN|8CDMG|9RPLT|aRCR
68	24542 43433	 * 	193.62	DCR|2VULN|1MDPS|2ASPD|2CDMG|1DMG|1AAC	1MDPS|2MBVNT|38ASPD|4AAC|5ERES|68VULN|78CDMG|8BPWR|9DMG|aRCR
69	64123 13163	   	193.59	DCR|3VULN|2ASPD|1AART	12aVULN|2BPWR|37ASPD|4AART|5DUST|6RPLT|8LIT|9RCR
70	22222 41616	 * 	193.58	DCR|2VULN|1MDPS|2DMG|1AART|1CDMG	1MDPS|29LIT|3BEXP|4AART|59VULN|6FEWX|7CDMG|89DMG|9BPWR|aRCR
71	62321 42262	 * 	193.55	DCR|3VULN|2AART|1ASPD	168VULN|2AME|3ASPD|4BEXP|5RPLT|79AART|aRCR
72	64121 11322	   	193.52	DCR|3VULN|1AART|1ASPD|1CDMG	125VULN|2BPWR|3ASPD|4AART|6BEXP|7CDMG|8MBVNT|9ERES|aRCR
73	64121 11332	   	193.52	DCR|3VULN|1AART|1ASPD|1CDMG	125VULN|2BPWR|3ASPD|4AART|6BEXP|7CDMG|8MBVNT|9TLV|aRCR
74	33122 12783	   	193.45	DCR|3VULN|2AART|1ASPD|1AAC	16LWND|267VULN|3AAC|4MBVNT|59AART|6BPWR|8ASPD|aRCR
75	24323 71744	 * 	193.35	DCR|3VULN|2AART|1MDPS|1ASPD	1MDPS|2MBVNT|368VULN|47AART|5LIT|9ASPD|aRCR
76	33122 32783	   	193.35	DCR|3VULN|2AART|1ASPD|1AAC	1LWND|267VULN|3AAC|4MBVNT|59AART|8ASPD|aRCR
77	63121 31151	   	193.32	DCR|4VULN|1AART|1ASPD	1589VULN|2AELBLL|3ASPD|4AART|6AME|7MLV|aRCR
78	63121 33351	   	193.32	DCR|4VULN|1AART|1ASPD	1579VULN|2AELBLL|3ASPD|4AART|6AME|8MLV|aRCR
79	63121 33451	   	193.32	DCR|4VULN|1AART|1ASPD	1579VULN|2AELBLL|3ASPD|4AART|6AME|8CGEN|aRCR
80	63121 34151	   	193.32	DCR|4VULN|1AART|1ASPD	1589VULN|2AELBLL|3ASPD|4AART|6AME|7CGEN|aRCR
81	63121 41351	   	193.32	DCR|4VULN|1AART|1ASPD	1569VULN|2AELBLL|3ASPD|4AART|7CGEN|8MLV|aRCR
82	64121 33361	   	193.32	DCR|4VULN|1AART|1ASPD	1257VULN|2BPWR|3ASPD|4AART|69AME|8MLV|aRCR
83	64121 31161	   	193.32	DCR|4VULN|1AART|1ASPD	1258VULN|2BPWR|3ASPD|4AART|69AME|7MLV|aRCR
84	65122 12153	   	193.22	DCR|4VULN|1AART|1ASPD|1AAC	1678VULN|26BEXP|3AAC|4MBVNT|5AART|6BPWR|9ASPD|aRCR
85	33122 12153	   	193.22	DCR|4VULN|1AART|1ASPD|1AAC	16LWND|2678VULN|3AAC|4MBVNT|5AART|6BPWR|9ASPD|aRCR
86	33122 12773	   	193.22	DCR|4VULN|1AART|1ASPD|1AAC	16LWND|2679VULN|3AAC|4MBVNT|5AART|6BPWR|8ASPD|aRCR
87	63121 41631	   	193.22	DCR|4VULN|1AART|1ASPD	1568VULN|2AELBLL|3ASPD|4AART|7CGEN|9ERES|aRCR
88	63121 43351	   	193.22	DCR|4VULN|1AART|1ASPD	1569VULN|2AELBLL|3ASPD|4AART|7TLV|8MLV|aRCR
89	33122 32153	   	193.12	DCR|4VULN|1AART|1ASPD|1AAC	1LWND|2678VULN|3AAC|4MBVNT|5AART|9ASPD|aRCR
90	33122 32773	   	193.12	DCR|4VULN|1AART|1ASPD|1AAC	1LWND|2679VULN|3AAC|4MBVNT|5AART|8ASPD|aRCR
91	65122 32153	   	193.12	DCR|4VULN|1AART|1ASPD|1AAC	1678VULN|2BEXP|3AAC|4MBVNT|5AART|9ASPD|aRCR
92	62242 12336	   	193.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1VULN|2AME|3LIT|4ASPD|59DMG|6RCR|7DUST|8DUR|aAART
93	61122 12123	   	193.02	DCR|4VULN|1AART|1ASPD|1AAC	1678VULN|26DUST|3AAC|4MBVNT|5AART|6BPWR|9ASPD|aRCR
94	61122 12773	   	193.02	DCR|4VULN|1AART|1ASPD|1AAC	1679VULN|26DUST|3AAC|4MBVNT|5AART|6BPWR|8ASPD|aRCR
95	61122 32123	   	193.02	DCR|4VULN|1AART|1ASPD|1AAC	1678VULN|2DUST|3AAC|4MBVNT|5AART|9ASPD|aRCR
96	61122 32773	   	193.02	DCR|4VULN|1AART|1ASPD|1AAC	1679VULN|2DUST|3AAC|4MBVNT|5AART|8ASPD|aRCR
97	24313 63454	 * 	192.22	DCR|2VULN|1MDPS|2ASPD|2CDMG|3DUR|1SELL	1MDPS|2MBVNT|38VULN|46ASPD|568DUR|68BPWR|78CDMG|9SELL|aRCR
98	64321 61322	   	192.10	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	125VULN|2BPWR|3ZMB|4AART|6DUR|7CDMG|8MBVNT|9ERES|aRCR
99	64321 61332	   	192.10	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	125VULN|2BPWR|3ZMB|4AART|6DUR|7CDMG|8MBVNT|9TLV|aRCR
100	64333 63112	 * 	192.09	DCR|3VULN|1ASPD|1DMG|1ZMB	127VULN|2BPWR|3ZMB|4DMSP|5FEWX|6RCR|8ASPD|9CGEN|aDMG
101	64333 63132	   	192.09	DCR|3VULN|1ASPD|1DMG|1ZMB	127VULN|2BPWR|3ZMB|4DMSP|5FEWX|6RCR|8ASPD|9MLV|aDMG
102	62331 41126	   	192.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	16VULN|2AME|3ASPD|4DUR|5RPLT|7LHND|8RCR|9DMG|aAART
103	64333 63122	   	191.99	DCR|3VULN|1ASPD|1DMG|1ZMB	127VULN|2BPWR|3ZMB|4DMSP|5FEWX|6RCR|8ASPD|9ERES|aDMG
104	33111 52264	   	191.85	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR|1SELL	1LWND|27VULN|3AAC|4SELL|5DUR|6RCR|8DMG|9CDMG|aAART
105	62242 11135	   	191.74	DCR|2VULN|2DMG|1MDPS|1ASPD|1ZMB	18VULN|2AME|3LIT|4ASPD|59DMG|6RCR|7MDPS|aZMB
106	63321 22116	   	191.72	DCR|3VULN|3ZMB|1AART|1DUR	158VULN|2AELBLL|369ZMB|4AART|7DUR|aRCR
107	35152 32613	 * 	191.63	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR	1LWND|2RCVC|3ASPD|4RPLT|5DUR|6RCR|7VULN|8aAART|9CDMG
108	33122 12753	   	191.59	DCR|3VULN|2ASPD|1AART|1AAC	16LWND|267VULN|3AAC|4MBVNT|5AART|6BPWR|89ASPD|aRCR
109	33122 32753	   	191.49	DCR|3VULN|2ASPD|1AART|1AAC	1LWND|267VULN|3AAC|4MBVNT|5AART|89ASPD|aRCR
110	66124 23451	 * 	191.49	DCR|3VULN|2ASPD|2CDMG|1AAC	168VULN|2FEWX|3AAC|4MBVNT|58ASPD|78CDMG|8BPWR|9DLOT|aRCR
111	56124 32133	 * 	191.44	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG	1AME|2ERES|3ASPD|46AART|5MDPS|7VULN|8DMG|9CDMG|aRCR
112	65122 12142	   	191.40	DCR|4VULN|1AART|1CDMG|1AAC	1678VULN|26BEXP|3AAC|4MBVNT|5AART|6BPWR|9RCR|aCDMG
113	33122 12142	   	191.40	DCR|4VULN|1AART|1CDMG|1AAC	16LWND|2678VULN|3AAC|4MBVNT|5AART|6BPWR|9RCR|aCDMG
114	61122 12753	   	191.39	DCR|3VULN|2ASPD|1AART|1AAC	167VULN|26DUST|3AAC|4MBVNT|5AART|6BPWR|89ASPD|aRCR
115	61122 32753	   	191.39	DCR|3VULN|2ASPD|1AART|1AAC	167VULN|2DUST|3AAC|4MBVNT|5AART|89ASPD|aRCR
116	33122 32142	   	191.30	DCR|4VULN|1AART|1CDMG|1AAC	1LWND|2678VULN|3AAC|4MBVNT|5AART|9RCR|aCDMG
117	65122 32142	   	191.30	DCR|4VULN|1AART|1CDMG|1AAC	1678VULN|2BEXP|3AAC|4MBVNT|5AART|9RCR|aCDMG
118	65142 32132	   	191.30	DCR|4VULN|1AART|1CDMG|1AAC	1678VULN|2BEXP|3AAC|4DUST|5AART|9RCR|aCDMG
