0	Index      	 *	Score 	Summary	Detail	
1	53221 11452	 * 	209.50	DCR|1SPLARM|2VULN|2DMG|1ASPD|1CDMG|1AAC	1AAC|25DMG|3RCVC|4CDMG|68VULN|7SPLARM|9RCR|aASPD
30	43413 26113	   	194.96	DCR|3VULN|1ASPD|1DMG|2DUR|1AAC|1SELL	12DUR|3AAC|4DMG|58aVULN|6RCR|7SELL|9ASPD
31	53623 26113	   	194.96	DCR|3VULN|1ASPD|1DMG|2DUR|1AAC|1SELL	1AAC|2DMG|34DUR|58aVULN|6RCR|7SELL|9ASPD
32	46313 21363	   	194.84	DCR|3VULN|1MDPS|1DMG|2DUR|1AAC|1ZMB	13DUR|2ZMB|4DMG|589VULN|6RCR|7AAC|aMDPS
33	41413 21363	   	194.84	DCR|3VULN|1MDPS|1DMG|2DUR|1AAC|1ZMB	12DUR|2BPWR|3AAC|4DMG|589VULN|6RCR|7ZMB|aMDPS
34	43413 21363	   	194.84	DCR|3VULN|1MDPS|1DMG|2DUR|1AAC|1ZMB	12DUR|3AAC|4DMG|589VULN|6RCR|7ZMB|aMDPS
35	52623 21363	 * 	194.84	DCR|3VULN|1MDPS|1ASPD|2DUR|1AAC|1ZMB	1AAC|2ASPD|34DUR|589VULN|6RCR|7ZMB|aMDPS
36	53623 21363	   	194.84	DCR|3VULN|1MDPS|1DMG|2DUR|1AAC|1ZMB	1AAC|2DMG|34DUR|589VULN|6RCR|7ZMB|aMDPS
37	52313 23112	   	194.29	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|29ASPD|3CGEN|4DMG|58VULN|6RCR|7CDMG|aFEWX
38	52313 23114	   	194.29	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|29ASPD|3CGEN|4DMG|58VULN|6RCR|7CDMG|aBEXP
39	52313 23453	   	194.29	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|28ASPD|3CGEN|4DMG|5aVULN|6RCR|7CDMG|9MLV
40	53343 23112	   	194.29	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|2DMG|3CGEN|49ASPD|58VULN|6RCR|7CDMG|aFEWX
41	53343 23114	   	194.29	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|2DMG|3CGEN|49ASPD|58VULN|6RCR|7CDMG|aBEXP
42	52221 51351	 * 	194.24	DCR|2DMG|2ASPD|1AART|2CDMG|1AAC	1AAC|29ASPD|3RCVC|47CDMG|58DMG|6AART|aRCR
43	52513 23112	   	194.19	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|29ASPD|3ERES|4DMG|58VULN|6RCR|7CDMG|aFEWX
44	52513 23114	   	194.19	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|29ASPD|3ERES|4DMG|58VULN|6RCR|7CDMG|aBEXP
45	53543 23112	   	194.19	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|2DMG|3ERES|49ASPD|58VULN|6RCR|7CDMG|aFEWX
46	52313 23113	   	194.19	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|29ASPD|3CGEN|4DMG|58VULN|6RCR|7CDMG|aLEGI
47	52313 23115	   	194.19	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|29ASPD|3CGEN|4DMG|58VULN|6RCR|7CDMG|aERES
48	53343 23113	   	194.19	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|2DMG|3CGEN|49ASPD|58VULN|6RCR|7CDMG|aLEGI
49	53343 23115	   	194.19	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|2DMG|3CGEN|49ASPD|58VULN|6RCR|7CDMG|aERES
50	52513 23113	   	194.09	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|29ASPD|3ERES|4DMG|58VULN|6RCR|7CDMG|aLEGI
51	52513 23115	   	194.09	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|29ASPD|3aERES|4DMG|58VULN|6RCR|7CDMG
52	52513 23116	   	194.09	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|29ASPD|3ERES|4DMG|58VULN|6RCR|7CDMG|aTLV
53	53543 23113	   	194.09	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|2DMG|3ERES|49ASPD|58VULN|6RCR|7CDMG|aLEGI
54	53432 11432	   	194.06	ACR|3ASPD|2DMG|1AART|2CDMG|1AAC|1DUR	1AAC|28DMG|3RCR|4BEXP|589ASPD|6AART|78CDMG|8BPWR|aDUR
55	41413 22121	   	193.85	DCR|2DMG|2ASPD|1VULN|3DUR|1AAC	128DUR|2aBPWR|3AAC|4aDMG|5VULN|6RCR|7aBASARM|9aASPD
56	43413 22121	   	193.85	DCR|2DMG|2ASPD|1VULN|3DUR|1AAC	128DUR|3AAC|4aDMG|5VULN|6RCR|7aBASARM|9aASPD|aBPWR
57	53623 22121	   	193.85	DCR|2DMG|2ASPD|1VULN|3DUR|1AAC	1AAC|2aDMG|348DUR|5VULN|6RCR|7aBASARM|9aASPD|aBPWR
58	52623 22151	   	193.85	DCR|2DMG|2ASPD|1VULN|3DUR|1AAC	1AAC|2aASPD|348DUR|5VULN|6RCR|7aBASARM|9aDMG|aBPWR
59	16413 12223	 * 	193.63	DCR|2DMG|1MDPS|1VULN|1AART|1CDMG|1ZMB|1DUR	1CDMG|2MDPS|3FEWX|4DUR|5aDMG|6VULN|7AART|8ZMB|9RCR
60	52222 11452	 * 	193.49	DCR|1SPLARM|2VULN|2ASPD|2CDMG|1AAC	1AAC|2aASPD|3RCVC|45CDMG|68VULN|7SPLARM|9RCR
61	51362 52132	   	193.48	DCR|3VULN|1MDPS|1AART|1DMG|1AAC|1DUR	1AAC|2DUST|3DUR|4AART|58aVULN|6RCR|7MDPS|9DMG
62	16223 11772	 * 	193.33	DCR|3VULN|1MDPS|2DMG|1CDMG	1CDMG|2MDPS|3MBVNT|46aVULN|59DMG|7RCR|8CGEN
63	33662 12413	   	193.05	DCR|2VULN|2AART|1CDMG|1DUR|1RMIN	1DUST|2DUR|3RMIN|4aAART|58VULN|6BEXP|7RCR|9CDMG
64	53521 21353	 * 	192.97	DCR|2AART|2DMG|1VULN|1CDMG|1AAC	1AAC|2aDMG|3ERES|49AART|5VULN|6LHND|7CDMG|8RCR
65	16223 11236	 * 	192.77	DCR|4VULN|1MDPS|1DMG|1CDMG	1CDMG|2MDPS|3MBVNT|469aVULN|5DMG|7RCR|8RCVC
66	51362 51112	   	191.99	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1AAC|2DUST|3DUR|4AART|57VULN|6RCR|8BEXP|9CDMG|aDMG
67	51362 51212	   	191.89	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1AAC|2DUST|3DUR|4AART|57VULN|6RCR|8LEGI|9CDMG|aDMG
68	51362 52133	   	191.89	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1AAC|1DUR	1AAC|2DUST|3DUR|4AART|58VULN|6RCR|7MDPS|9DMG|aCDMG
69	42313 26331	 * 	191.88	DCR|3VULN|2DMG|3DUR|1AAC	137DUR|2ERES|47DMG|57aVULN|6AAC|7BPWR|8BELT|9RCR
70	36312 51115	 * 	191.62	DCR|3VULN|3ZMB|1AART|1DUR	1DUST|267ZMB|3DUR|4TLV|568VULN|6BPWR|9AART|aRCR
71	16223 11336	   	191.59	DCR|4VULN|1MDPS|1DMG|1CDMG	1CDMG|2MDPS|3MBVNT|469aVULN|5DMG|7RCR|8AELBLL
72	16223 11436	   	191.59	DCR|4VULN|1MDPS|1DMG|1CDMG	1CDMG|2MDPS|3MBVNT|469aVULN|5DMG|7RCR|8DMSP
73	52313 23411	 * 	191.47	DCR|3ASPD|1MDPS|1VULN|1DMG|1CDMG|1AAC	1AAC|289ASPD|3CGEN|4DMG|5VULN|6RCR|7CDMG|aMDPS
74	53343 23411	   	191.47	DCR|3ASPD|1MDPS|1VULN|1DMG|1CDMG|1AAC	1AAC|2DMG|3CGEN|489ASPD|5VULN|6RCR|7CDMG|aMDPS
75	46313 21262	   	191.42	DCR|2VULN|1AART|1DMG|2DUR|1AAC|1ZMB	13DUR|2ZMB|4DMG|59VULN|6RCR|7AAC|8FEWX|aAART
76	41413 21262	   	191.42	DCR|2VULN|1AART|1DMG|2DUR|1AAC|1ZMB	12DUR|2BPWR|3AAC|4DMG|59VULN|6RCR|7ZMB|8FEWX|aAART
77	43413 21262	   	191.42	DCR|2VULN|1AART|1DMG|2DUR|1AAC|1ZMB	12DUR|3AAC|4DMG|59VULN|6RCR|7ZMB|8FEWX|aAART
78	52623 21262	   	191.42	DCR|2VULN|1AART|1ASPD|2DUR|1AAC|1ZMB	1AAC|2ASPD|34DUR|59VULN|6RCR|7ZMB|8FEWX|aAART
79	53623 21262	   	191.42	DCR|2VULN|1AART|1DMG|2DUR|1AAC|1ZMB	1AAC|2DMG|34DUR|59VULN|6RCR|7ZMB|8FEWX|aAART
80	52513 23411	   	191.37	DCR|3ASPD|1MDPS|1VULN|1DMG|1CDMG|1AAC	1AAC|289ASPD|3ERES|4DMG|5VULN|6RCR|7CDMG|aMDPS
81	36362 52131	   	191.32	DCR|2VULN|1MDPS|1AART|1DMG|2DUR|1ZMB	1DUST|2ZMB|3aDUR|4AART|58VULN|6RCR|7MDPS|9DMG
82	53333 26325	   	191.05	DCR|2AART|2DMG|1VULN|1AAC|1ZMB	1AAC|2aDMG|3CGEN|4TLV|5VULN|6RCR|79AART|8ZMB
83	42235 22232	 * 	191.05	DCR|2VULN|2DMG|1NUKE|1CDMG|2DUR	1aDUR|2ERES|3aTLV|4NUKE|57VULN|6RCR|8CDMG|9aDMG|aBPWR
84	46313 23326	   	191.02	DCR|2VULN|1ASPD|1DMG|2DUR|2ZMB	13DUR|29ZMB|4DMG|58VULN|6RCR|7CGEN|aASPD
85	33665 13123	   	190.95	DCR|2VULN|2AART|1CDMG|1DUR|1RMIN	1DUST|2DUR|3RMIN|46AART|5CDMG|7ERES|8RCR|9aVULN
86	41413 21326	   	190.92	DCR|2VULN|1ASPD|1DMG|2DUR|2ZMB|1AAC	12DUR|2BPWR|3AAC|4DMG|58VULN|6RCR|79ZMB|aASPD
87	43413 21326	   	190.92	DCR|2VULN|1ASPD|1DMG|2DUR|2ZMB|1AAC	12DUR|3AAC|4DMG|58VULN|6RCR|79ZMB|aASPD
88	46313 21326	   	190.92	DCR|2VULN|1ASPD|1DMG|2DUR|2ZMB|1AAC	13DUR|29ZMB|4DMG|58VULN|6RCR|7AAC|aASPD
89	53623 21326	   	190.92	DCR|2VULN|1ASPD|1DMG|2DUR|2ZMB|1AAC	1AAC|2DMG|34DUR|58VULN|6RCR|79ZMB|aASPD
90	46343 22123	 * 	190.23	DCR|2VULN|2ASPD|3DUR|2ZMB	138DUR|2aZMB|49ASPD|5aVULN|6RCR|7aBASARM|aBPWR
91	33262 12412	   	190.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2DUR|3AME|4AART|58VULN|6BEXP|7RCR|9CDMG|aDMG
92	33262 62412	   	190.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2DUR|3AME|4AART|58VULN|6LHND|7RCR|9CDMG|aDMG
93	52222 11453	   	189.61	DCR|1SPLARM|2VULN|2CDMG|1ASPD|1AAC|1ZMB	1AAC|2ASPD|3RCVC|45CDMG|68VULN|7SPLARM|9RCR|aZMB
94	41443 22123	 * 	189.51	DCR|3ASPD|2VULN|3DUR|1AAC	128DUR|2aBPWR|3AAC|49aASPD|5aVULN|6RCR|7aBASARM
95	43443 22123	   	189.51	DCR|3ASPD|2VULN|3DUR|1AAC	128DUR|3AAC|49aASPD|5aVULN|6RCR|7aBASARM|aBPWR
96	52623 22123	   	189.51	DCR|3ASPD|2VULN|3DUR|1AAC	1AAC|29aASPD|348DUR|5aVULN|6RCR|7aBASARM|aBPWR
97	22115 23562	 * 	189.50	DCR|4VULN|1DMG|1ASPD	1TLV|2689VULN|3DMSP|4DMG|5LIT|7ASPD|aRCR
98	53221 11451	   	189.43	DCR|1SPLARM|2VULN|2DMG|1CDMG|1AAC	1AAC|25DMG|3RCVC|4CDMG|68VULN|7SPLARM|9RCR|aFEWX
99	53221 11453	   	189.33	DCR|1SPLARM|2VULN|2DMG|1CDMG|1AAC|1MSE	1AAC|25DMG|3RCVC|4CDMG|68VULN|7SPLARM|9RCR|aMSE
100	34225 23363	   	188.64	DCR|2VULN|1AART|1DMG|1CDMG|2RCVC	1DUST|23RCVC|4CDMG|5AART|6aVULN|7RCR|8ERES|9DMG
101	34225 23613	   	188.64	DCR|2VULN|1AART|1ASPD|1CDMG|2RCVC	1DUST|23RCVC|4CDMG|5AART|6aVULN|7RCR|8ASPD|9ERES
102	42343 26331	 * 	188.51	DCR|3VULN|2ASPD|3DUR|1AAC	137DUR|2ERES|47ASPD|57aVULN|6AAC|7BPWR|8BELT|9RCR
103	53432 11412	 * 	188.39	ACR|3DMG|2ASPD|1AART|2CDMG|1AAC	1AAC|28aDMG|3RCR|4BEXP|58ASPD|6AART|78CDMG|8BPWR|9ERES
104	52313 23141	   	188.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|2ASPD|3CGEN|4DMG|58VULN|6RCR|7CDMG|9FEWX|aDUR
105	52313 23161	   	188.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|2ASPD|3CGEN|4DMG|58VULN|6RCR|7CDMG|9BEXP|aDUR
106	53343 23141	   	188.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|2DMG|3CGEN|4ASPD|58VULN|6RCR|7CDMG|9FEWX|aDUR
107	53343 23161	   	188.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|2DMG|3CGEN|4ASPD|58VULN|6RCR|7CDMG|9BEXP|aDUR
108	52513 23141	   	188.28	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|2ASPD|3ERES|4DMG|58VULN|6RCR|7CDMG|9FEWX|aDUR
109	52513 23161	   	188.28	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|2ASPD|3ERES|4DMG|58VULN|6RCR|7CDMG|9BEXP|aDUR
110	52313 23121	   	188.28	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|2ASPD|3CGEN|4DMG|58VULN|6RCR|7CDMG|9DUST|aDUR
111	53343 23121	   	188.28	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|2DMG|3CGEN|4ASPD|58VULN|6RCR|7CDMG|9DUST|aDUR
112	52513 23121	   	188.18	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|2ASPD|3ERES|4DMG|58VULN|6RCR|7CDMG|9DUST|aDUR
113	53543 23121	   	188.18	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|2DMG|3ERES|4ASPD|58VULN|6RCR|7CDMG|9DUST|aDUR
114	16223 14371	   	188.14	DCR|2VULN|1MDPS|2DMG|1CDMG|1ZMB|1DUR	1CDMG|2MDPS|3MBVNT|46VULN|59DMG|7ZMB|8DUR|aRCR
115	16223 14411	   	188.14	DCR|2VULN|1MDPS|2DMG|1CDMG|1ZMB|1DUR	1CDMG|2MDPS|3MBVNT|46VULN|58DMG|7ZMB|9DUR|aRCR
116	51362 51113	   	188.01	DCR|2VULN|2AART|1CDMG|1AAC|1DUR	1AAC|2DUST|3DUR|4aAART|57VULN|6RCR|8BEXP|9CDMG
117	11325 23143	   	187.99	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1CDMG|23TLV|4ASPD|5AART|6aVULN|7BEXP|8RCR|9DUR
118	11325 21143	   	187.89	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1CDMG|23TLV|4ASPD|5AART|6aVULN|7DUST|8RCR|9DUR
119	14362 21326	 * 	187.88	DCR|1VULN|1AART|1ASPD|1NUKE|1CDMG|1DUR	1CDMG|2RPLT|3DUR|4AART|5VULN|6AME|7VENFST|8RCR|9ASPD|aNUKE
120	22115 23512	 * 	187.87	DCR|3VULN|2ASPD|1DMG	1TLV|268VULN|3DMSP|4DMG|5LIT|79ASPD|aRCR
121	33262 12414	 * 	187.86	DCR|3VULN|1AART|1CDMG|1DUR	1DUST|2DUR|3AME|4AART|58aVULN|6BEXP|7RCR|9CDMG
122	53563 21233	   	187.83	DCR|2VULN|2DMG|1CDMG|1AAC|1ZMB	1AAC|29DMG|3ERES|4CGEN|5aVULN|6RCR|7ZMB|8CDMG
123	46313 23336	   	187.81	DCR|2VULN|1ASPD|1DMG|2DUR|1ZMB	13DUR|2ZMB|4DMG|58VULN|6RCR|79CGEN|aASPD
124	53533 21233	   	187.73	DCR|2VULN|2DMG|1CDMG|1AAC|1ZMB	1AAC|29DMG|3ERES|4TLV|5aVULN|6RCR|7ZMB|8CDMG
125	46313 21263	   	187.71	DCR|2VULN|1ASPD|1DMG|2DUR|1AAC|1ZMB	13DUR|2ZMB|4DMG|59VULN|6RCR|7AAC|8FEWX|aASPD
126	41413 21263	   	187.71	DCR|2VULN|1ASPD|1DMG|2DUR|1AAC|1ZMB	12DUR|2BPWR|3AAC|4DMG|59VULN|6RCR|7ZMB|8FEWX|aASPD
127	43413 21263	   	187.71	DCR|2VULN|1ASPD|1DMG|2DUR|1AAC|1ZMB	12DUR|3AAC|4DMG|59VULN|6RCR|7ZMB|8FEWX|aASPD
128	53623 21263	   	187.71	DCR|2VULN|1ASPD|1DMG|2DUR|1AAC|1ZMB	1AAC|2DMG|34DUR|59VULN|6RCR|7ZMB|8FEWX|aASPD
129	52312 23141	   	187.63	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1AAC	1AAC|2ASPD|3CGEN|4DMG|5LHND|6RCR|7CDMG|8VULN|9AART|aRMIN
130	53342 23141	   	187.63	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1AAC	1AAC|2DMG|3CGEN|4ASPD|5LHND|6RCR|7CDMG|8VULN|9AART|aRMIN
131	46313 26111	   	187.56	DCR|2VULN|1ASPD|1DMG|2DUR|1ZMB|1SELL	13DUR|2ZMB|4DMG|58VULN|6RCR|7SELL|9ASPD|aFEWX
132	46313 26112	   	187.56	DCR|2VULN|1ASPD|1DMG|2DUR|1ZMB|1SELL	13DUR|2ZMB|4DMG|58VULN|6RCR|7SELL|9ASPD|aBEXP
133	52512 23141	   	187.53	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AAC|2ASPD|3ERES|4DMG|5LHND|6RCR|7CDMG|8VULN|9AART|aRMIN
134	36362 51213	   	187.51	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	1DUST|2ZMB|3aDUR|4AART|57VULN|6RCR|8LEGI|9CDMG
135	22512 51222	   	187.43	DCR|2VULN|2DMG|1AART|1DUR	17TLV|27VULN|3RPLT|4DUST|5LWND|67DMG|7BPWR|8AART|9RCR|aDUR
136	22515 51222	   	187.43	DCR|2VULN|2DMG|1AART|1DUR	17TLV|27VULN|3RPLT|4DUST|5LHND|67DMG|7BPWR|8AART|9RCR|aDUR
137	53432 11423	 * 	187.10	ACR|2DMG|2ASPD|2AAC|1VULN|1AART|2CDMG	19AAC|28DMG|3RCR|4BEXP|58ASPD|6AART|78CDMG|8BPWR|aVULN
138	52312 23412	   	186.84	DCR|3ASPD|1VULN|1DMG|1CDMG|1AAC	1AAC|289ASPD|3CGEN|4DMG|5LHND|6RCR|7CDMG|aVULN
139	53342 23412	   	186.84	DCR|3ASPD|1VULN|1DMG|1CDMG|1AAC	1AAC|2DMG|3CGEN|489ASPD|5LHND|6RCR|7CDMG|aVULN
140	52313 23413	   	186.84	DCR|3ASPD|1VULN|1DMG|1CDMG|1AAC	1AAC|289ASPD|3CGEN|4DMG|5VULN|6RCR|7CDMG|aLWND
141	52313 23415	   	186.84	DCR|3ASPD|1VULN|1DMG|1CDMG|1AAC	1AAC|289ASPD|3aCGEN|4DMG|5VULN|6RCR|7CDMG
142	52313 23416	   	186.84	DCR|3ASPD|1VULN|1DMG|1CDMG|1AAC	1AAC|289ASPD|3CGEN|4DMG|5VULN|6RCR|7CDMG|aFEWX
143	53343 23413	   	186.84	DCR|3ASPD|1VULN|1DMG|1CDMG|1AAC	1AAC|2DMG|3CGEN|489ASPD|5VULN|6RCR|7CDMG|aLWND
144	12345 26123	   	186.83	DCR|2VULN|1AART|1ASPD|1CDMG|1RMIN	1CDMG|2FEWX|3AELBLL|4ASPD|5RMIN|6BEXP|7AART|8RCR|9aVULN
145	52221 36522	 * 	186.81	DCR|2DMG|2ASPD|1VULN|1CDMG|1AAC	1AAC|27ASPD|3RCVC|4CDMG|57DMG|67ERES|7BPWR|8VULN|9BELT|aRCR
146	52512 23412	   	186.74	DCR|3ASPD|1VULN|1DMG|1CDMG|1AAC	1AAC|289ASPD|3ERES|4DMG|5LHND|6RCR|7CDMG|aVULN
147	52513 23413	   	186.74	DCR|3ASPD|1VULN|1DMG|1CDMG|1AAC	1AAC|289ASPD|3ERES|4DMG|5VULN|6RCR|7CDMG|aLWND
148	41225 23153	   	186.70	DCR|1VULN|1AART|1NUKE|1CDMG|2DUR|1ZMB	12DUR|2BPWR|3RCVC|4CDMG|5AART|6VULN|7BEXP|8RCR|9ZMB|aNUKE
149	43225 23153	   	186.70	DCR|1VULN|1AART|1NUKE|1CDMG|2DUR|1ZMB	12DUR|3RCVC|4CDMG|5AART|6VULN|7BEXP|8RCR|9ZMB|aNUKE
150	16213 18215	 * 	186.61	DCR|2VULN|2DMG|1MDPS|2CDMG|1DUR	17CDMG|2MDPS|3MBVNT|4DUR|57DMG|67VULN|7BPWR|8RCVC|9CGEN|aRCR
151	46313 22124	   	186.60	DCR|2ASPD|1VULN|1DMG|3DUR|1ZMB	138DUR|2ZMB|4DMG|5VULN|6RCR|7BASARM|9aASPD
152	46343 22122	   	186.60	DCR|2ASPD|1VULN|1DMG|3DUR|1ZMB	138DUR|2ZMB|49ASPD|5VULN|6RCR|7BASARM|aDMG
153	16123 16422	 * 	186.54	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2MDPS|3LWND|46VULN|5DMG|7ASPD|8DUR|9RCR|aRMIN
