0	Index      	 *	Score 	Summary	Detail	
1	42154 28133	 * 	322.72	ACR|4VULN|2TLV|3ASPD	167ASPD|279aVULN|3RCR|4MBVNT|57TLV|7BPWR|8DUR
32	42112 11344	   	305.42	ACR|2TLV|2VULN|3ASPD|1AEPOI|1AART	149ASPD|29VULN|3RCR|5AEPOI|6ZMB|7AART|89TLV|9BPWR|aCGEN
33	42113 51343	   	305.42	ACR|2TLV|2VULN|3ASPD|1AEPOI|1AART	149ASPD|29VULN|3RCR|5ZMB|6AEPOI|7AART|89TLV|9BPWR|aRCVC
34	42112 11341	   	305.32	ACR|2TLV|2VULN|3ASPD|1AEPOI|1AART	149ASPD|29VULN|3RCR|5AEPOI|6ZMB|7AART|89TLV|9BPWR|aDUST
35	42112 11342	   	305.32	ACR|2TLV|2VULN|3ASPD|1AEPOI|1AART	149ASPD|29VULN|3RCR|5AEPOI|6ZMB|7AART|89TLV|9BPWR|aERES
36	42112 11346	   	305.32	ACR|2TLV|2VULN|3ASPD|1AEPOI|1AART	149ASPD|29VULN|3RCR|5AEPOI|6ZMB|7AART|89TLV|9BPWR|aAEWIND
37	42113 51341	   	305.32	ACR|2TLV|2VULN|3ASPD|1AEPOI|1AART	149ASPD|29VULN|3RCR|5ZMB|6AEPOI|7AART|89TLV|9BPWR|aDUST
38	42113 51342	   	305.32	ACR|2TLV|2VULN|3ASPD|1AEPOI|1AART	149ASPD|29VULN|3RCR|5ZMB|6AEPOI|7AART|89TLV|9BPWR|aERES
39	42154 48232	   	305.11	ACR|3TLV|3VULN|2ASPD|1AART	17ASPD|267VULN|3RCR|4MBVNT|579TLV|7BPWR|8DUST|aAART
40	42154 24831	 * 	304.86	ACR|2TLV|2VULN|3ASPD|2DMG	16aASPD|2aVULN|3RCR|4MBVNT|59TLV|7ERES|8aDMG|aBPWR
41	42154 28122	   	303.98	ACR|2TLV|2VULN|3ASPD|1DMG	167ASPD|27VULN|3RCR|4MBVNT|57TLV|7BPWR|8DUR|9ZMB|aDMG
42	42154 48141	   	303.87	ACR|3VULN|2TLV|2ASPD|1CDMG	17ASPD|267VULN|3RCR|4MBVNT|57TLV|7BPWR|8AAC|9DUR|aCDMG
43	22116 34331	   	302.24	ACR|2TLV|2VULN|1DMG|2AEPOI|2DUR|1ASPD	1DMG|2aVULN|3RCR|4ASPD|5AME|6aDUR|79TLV|8aAEPOI|aBPWR
44	22154 46631	   	302.24	ACR|3VULN|2TLV|2DMG	1aDMG|28aVULN|3RCR|4MBVNT|59TLV|6ERES|7aZMB|aBPWR
45	42154 28132	   	301.67	ACR|3VULN|2TLV|3ASPD	167ASPD|279VULN|3RCR|4MBVNT|57TLV|7BPWR|8DUR|aDMSP
46	42154 48332	   	301.61	ACR|4VULN|2TLV|2ASPD	17ASPD|2679VULN|3RCR|4MBVNT|57TLV|7BPWR|8LIT|aRPLT
47	42154 48433	   	301.61	ACR|4VULN|2TLV|2ASPD	17ASPD|267aVULN|3RCR|4MBVNT|57TLV|7BPWR|8LWND|9LHND
48	42154 28131	   	301.57	ACR|3VULN|2TLV|3ASPD	167ASPD|279VULN|3RCR|4MBVNT|57TLV|7BPWR|8DUR|aERES
49	42154 48331	   	301.51	ACR|4VULN|2TLV|2ASPD	17ASPD|2679VULN|3RCR|4MBVNT|57TLV|7BPWR|8LIT|aDUST
50	42154 48333	   	301.51	ACR|4VULN|2TLV|2ASPD	17ASPD|2679VULN|3RCR|4MBVNT|57TLV|7BPWR|8LIT|aAETHUN
51	42154 48334	   	301.51	ACR|4VULN|2TLV|2ASPD	17ASPD|2679VULN|3RCR|4MBVNT|57TLV|7BPWR|8LIT|aBASICY
52	22154 13836	   	301.13	ACR|3TLV|2VULN|2DMG|1AEBURN	17DMG|2aVULN|3RCR|4MBVNT|579TLV|67LHND|7BPWR|8AEBURN
53	42125 16311	   	300.62	ACR|3VULN|2TLV|2ASPD|2CDMG	18ASPD|268VULN|3RCR|4aTLV|5LIT|78CDMG|8BPWR|9CGEN
54	42154 48113	   	300.62	ACR|3VULN|2TLV|2ASPD|1AEFBLL	17ASPD|267VULN|3RCR|4MBVNT|57TLV|7BPWR|8AAC|9AEFBLL|aDMSP
55	22115 11132	   	300.55	ACR|2TLV|2VULN|2DMG|2ASPD	19DMG|26VULN|3RCR|49ASPD|5LIT|7LWND|89TLV|9BPWR|aRAT
56	22115 14132	   	300.55	ACR|2TLV|2VULN|2DMG|2ASPD	19DMG|26VULN|3RCR|49ASPD|5LIT|7BEXP|89TLV|9BPWR|aRAT
57	22115 23132	   	300.55	ACR|2TLV|2VULN|2DMG|2ASPD	19DMG|27VULN|3RCR|49ASPD|5LIT|6FEWX|89TLV|9BPWR|aRAT
58	42154 48111	   	300.52	ACR|3VULN|2TLV|2ASPD|1AEFBLL	17ASPD|267VULN|3RCR|4MBVNT|57TLV|7BPWR|8AAC|9AEFBLL|aLEGI
59	42154 48112	   	300.52	ACR|3VULN|2TLV|2ASPD|1AEFBLL	17ASPD|267VULN|3RCR|4MBVNT|57TLV|7BPWR|8AAC|9AEFBLL|aSPLJET
60	22136 23253	   	300.16	ACR|3VULN|1TLV|3DMG|2DUR	178DMG|279VULN|3RCR|47DUR|5AETHUN|6MDPS|7BPWR|aTLV
61	42154 28142	   	297.04	ACR|2TLV|2VULN|3ASPD|1DMG	167ASPD|27VULN|3RCR|4MBVNT|57TLV|7BPWR|8DUR|9CGEN|aDMG
62	42154 28432	   	297.04	ACR|2TLV|2VULN|3ASPD|1DMG	167ASPD|27VULN|3RCR|4MBVNT|57TLV|7BPWR|8AME|9DUR|aDMG
63	42154 28112	   	296.94	ACR|2TLV|2VULN|3ASPD|1DMG	167ASPD|27VULN|3RCR|4MBVNT|57TLV|7BPWR|8DUR|9ERES|aDMG
64	22154 13737	 * 	296.72	ACR|3TLV|2VULN|3DMG	17aDMG|28VULN|3RCR|4MBVNT|579TLV|67LHND|7BPWR
65	22115 66131	   	296.62	ACR|2TLV|2VULN|3DMG|1ASPD|1MSE	169DMG|29VULN|3RCR|4ASPD|5LIT|7MBVNT|89TLV|9BPWR|aMSE
66	22115 66133	   	296.62	ACR|2TLV|2VULN|3DMG|1ASPD	169DMG|29VULN|3RCR|4ASPD|5LIT|7MBVNT|89TLV|9BPWR|aAETHUN
67	22154 37161	 * 	296.52	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1AART	1DMG|2VULN|39RCR|4MBVNT|5TLV|6AART|7RPLT|8AEPOI|aTSLHEL
68	22154 37162	   	296.52	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1AART	1DMG|2VULN|39RCR|4MBVNT|5TLV|6AART|7RPLT|8AEPOI|aRCVC
69	22154 37163	   	296.42	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1AART	1DMG|2VULN|39RCR|4MBVNT|5TLV|6AART|7RPLT|8AEPOI|aDUST
70	22154 37164	   	296.42	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1AART	1DMG|2VULN|39RCR|4MBVNT|5TLV|6AART|7RPLT|8AEPOI|aERES
71	22321 54631	 * 	295.99	DCR|2TLV|2VULN|2ASPD|2AEFBLL|1DMG	1DMG|2aVULN|3CGEN|4LHND|5aASPD|6RCR|79TLV|8aAEFBLL|aBPWR
72	12531 54331	   	295.79	DCR|2TLV|2VULN|2ASPD|1DMG|2AEPOI	1ERES|2aVULN|3DMG|4DUST|5aASPD|6RCR|79TLV|8aAEPOI|aBPWR
73	22631 54331	   	295.79	DCR|2TLV|2VULN|2ASPD|1DMG|2AEPOI	1DMG|2aVULN|3ERES|4DUST|5aASPD|6RCR|79TLV|8aAEPOI|aBPWR
74	42125 16313	   	294.48	ACR|3VULN|1TLV|2ASPD|1AEPOI|2CDMG	18ASPD|268VULN|3RCR|4TLV|5LIT|78CDMG|8BPWR|9CGEN|aAEPOI
75	42125 16323	   	294.48	ACR|3VULN|1TLV|2ASPD|1AEPOI|2CDMG	18ASPD|268VULN|3RCR|4TLV|59LIT|78CDMG|8BPWR|aAEPOI
76	42154 48131	   	294.21	ACR|3VULN|2TLV|2ASPD|1CDMG	17ASPD|267VULN|3RCR|4MBVNT|57TLV|7BPWR|8AAC|9BEXP|aCDMG
77	42154 48421	   	294.21	ACR|3VULN|2TLV|2ASPD|1CDMG	17ASPD|267VULN|3RCR|4MBVNT|57TLV|7BPWR|8LWND|9CGEN|aCDMG
78	42154 48121	   	294.11	ACR|3VULN|2TLV|2ASPD|1CDMG	17ASPD|267VULN|3RCR|4MBVNT|57TLV|7BPWR|8AAC|9DUST|aCDMG
79	42154 48221	   	294.11	ACR|3VULN|2TLV|2ASPD|1CDMG	17ASPD|267VULN|3RCR|4MBVNT|57TLV|7BPWR|8DUST|9AAC|aCDMG
80	42154 48241	   	294.11	ACR|3VULN|2TLV|2ASPD|1CDMG	17ASPD|267VULN|3RCR|4MBVNT|57TLV|7BPWR|8DUST|9MLV|aCDMG
81	42154 48233	   	294.11	ACR|3TLV|3VULN|2ASPD	17ASPD|267VULN|3RCR|4MBVNT|579TLV|7BPWR|8DUST|aRMIN
82	42154 42331	   	294.01	ACR|3VULN|2TLV|2ASPD|2RAT	19ASPD|26aVULN|3RCR|4MBVNT|59TLV|79RAT|8LEGI|9BPWR
83	42154 48231	   	294.01	ACR|3TLV|3VULN|2ASPD	17ASPD|267VULN|3RCR|4MBVNT|579TLV|7BPWR|8DUST|aERES
84	42154 48234	   	294.01	ACR|3TLV|3VULN|2ASPD	17ASPD|267VULN|3RCR|4MBVNT|579TLV|7BPWR|8DUST|aAEWIND
85	44125 13233	   	293.97	ACR|2TLV|2VULN|3DMG|2ASPD|1MSE	19ASPD|2MSE|3RCR|49TLV|5LIT|6aVULN|789DMG|9BPWR
86	24115 13133	   	293.97	ACR|2TLV|2VULN|3DMG|2ASPD|1MSE	179DMG|2MSE|3RCR|49ASPD|5LIT|6aVULN|89TLV|9BPWR
87	42163 42231	   	293.77	ACR|2VULN|1TLV|2ASPD|1AEFBLL|1DMG|1CDMG	17ASPD|27VULN|3RCR|4FRZFST|5DMG|67ZMB|7BPWR|8CDMG|9AEFBLL|aTLV
88	22115 11131	   	293.62	ACR|2TLV|2VULN|2DMG|2ASPD	19DMG|26VULN|3RCR|49ASPD|5LIT|7LWND|89TLV|9BPWR|aAME
89	22115 11133	   	293.62	ACR|2TLV|2VULN|2DMG|2ASPD	19DMG|26VULN|3RCR|49ASPD|5LIT|7LWND|89TLV|9BPWR|aCGEN
90	22115 11135	   	293.62	ACR|2TLV|2VULN|2DMG|2ASPD	19DMG|26VULN|3RCR|49ASPD|5LIT|7LWND|89TLV|9BPWR|aBEXP
91	22115 14131	   	293.62	ACR|2TLV|2VULN|2DMG|2ASPD	19DMG|26VULN|3RCR|49ASPD|5LIT|7BEXP|89TLV|9BPWR|aAME
92	22115 14133	   	293.62	ACR|2TLV|2VULN|2DMG|2ASPD	19DMG|26VULN|3RCR|49ASPD|5LIT|7BEXP|89TLV|9BPWR|aCGEN
93	22115 14135	   	293.62	ACR|2TLV|2VULN|2DMG|2ASPD	19DMG|26VULN|3RCR|49ASPD|5LIT|7aBEXP|89TLV|9BPWR
94	22115 23131	   	293.62	ACR|2TLV|2VULN|2DMG|2ASPD	19DMG|27VULN|3RCR|49ASPD|5LIT|6FEWX|89TLV|9BPWR|aAME
95	22115 23133	   	293.62	ACR|2TLV|2VULN|2DMG|2ASPD	19DMG|27VULN|3RCR|49ASPD|5LIT|6FEWX|89TLV|9BPWR|aCGEN
96	22115 23135	   	293.62	ACR|2TLV|2VULN|2DMG|2ASPD	19DMG|27VULN|3RCR|49ASPD|5LIT|6FEWX|89TLV|9BPWR|aBEXP
97	22115 11134	   	293.52	ACR|2TLV|2VULN|2DMG|2ASPD	19DMG|26VULN|3RCR|49ASPD|5LIT|7LWND|89TLV|9BPWR|aERES
98	22115 11136	   	293.52	ACR|2TLV|2VULN|2DMG|2ASPD	19DMG|26VULN|3RCR|49ASPD|5LIT|7LWND|89TLV|9BPWR|aAETHUN
99	22115 14134	   	293.52	ACR|2TLV|2VULN|2DMG|2ASPD	19DMG|26VULN|3RCR|49ASPD|5LIT|7BEXP|89TLV|9BPWR|aERES
100	22115 14136	   	293.52	ACR|2TLV|2VULN|2DMG|2ASPD	19DMG|26VULN|3RCR|49ASPD|5LIT|7BEXP|89TLV|9BPWR|aAEWIND
101	22115 23134	   	293.52	ACR|2TLV|2VULN|2DMG|2ASPD	19DMG|27VULN|3RCR|49ASPD|5LIT|6FEWX|89TLV|9BPWR|aERES
102	22115 23136	   	293.52	ACR|2TLV|2VULN|2DMG|2ASPD	19DMG|27VULN|3RCR|49ASPD|5LIT|6FEWX|89TLV|9BPWR|aAETHUN
103	22116 34632	   	293.10	ACR|2TLV|2VULN|1AEFBLL|1DMG|1ASPD	1DMG|28VULN|3RCR|4ASPD|5AME|6DUR|79TLV|aAEFBLL
104	22321 54313	   	292.85	DCR|DCR|1TLV|1VULN|1DMG|1ASPD|1CDMG	1DMG|2VULN|3CGEN|49LHND|5ASPD|6aRCR|7TLV|8CDMG
105	22321 54323	   	292.85	DCR|DCR|1TLV|1VULN|1DMG|1ASPD|1CDMG	1DMG|2VULN|39CGEN|4LHND|5ASPD|6aRCR|7TLV|8CDMG
106	42321 54313	   	292.85	DCR|DCR|1TLV|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2VULN|3CGEN|49LHND|5DMG|6aRCR|7TLV|8CDMG
107	42321 54323	   	292.85	DCR|DCR|1TLV|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2VULN|39CGEN|4LHND|5DMG|6aRCR|7TLV|8CDMG
108	22116 61313	   	292.75	ACR|DCR|1TLV|1VULN|1DMG|1ASPD|1CDMG	1DMG|2VULN|3aRCR|4ASPD|5AME|6AEWIND|7CDMG|8TLV|9LWND
