0	Index      	 *	Score 	Summary	Detail	
1	13615 63313	 * 	333.74	DCR|4VULN|3TLV|2DMG	17aTLV|2RAT|37DMG|4789VULN|5LEGI|6RCR|7BPWR
13	13615 63333	   	319.30	DCR|3TLV|3VULN|2DMG|2RAT	17aTLV|29RAT|37DMG|478VULN|5LEGI|6RCR|7BPWR
14	33321 41432	 * 	318.31	DCR|3VULN|2TLV|2DMG|2ASPD	149VULN|2FEWX|39TLV|5LIT|6RCR|7aASPD|89DMG|9BPWR
15	13151 45223	 * 	318.15	ACR|DCR|2TLV|2VULN	14TLV|2RAT|3DUR|56RCR|7aVULN|8RMIN|9FEWX
16	13151 45123	   	318.05	ACR|DCR|2TLV|2VULN	14TLV|2RAT|3DUR|56RCR|7aVULN|8ERES|9FEWX
17	13151 45233	   	318.05	ACR|DCR|2TLV|2VULN	14TLV|2RAT|3DUR|56RCR|7aVULN|8RMIN|9CANHEL
18	13151 42316	 * 	317.60	ACR|DCR|3TLV|1VULN|2DUR|2RAT	14aTLV|28RAT|37DUR|56RCR|9VULN
19	13151 42431	   	317.40	ACR|DCR|2TLV|1VULN|1AEBURN|2DUR	14TLV|2RAT|37DUR|56RCR|8VULN|9AEBURN|aLIT
20	13151 42433	   	317.30	ACR|DCR|2TLV|1VULN|1AEBURN|2DUR	14TLV|2RAT|37DUR|56RCR|8VULN|9AEBURN|aDUST
21	13251 45233	   	315.33	ACR|DCR|2TLV|2VULN	14TLV|2RAT|3DUST|56RCR|7aVULN|8RMIN|9FLTHEA
22	13151 43432	   	314.87	ACR|DCR|2TLV|1VULN|1AEBURN|2RAT	14TLV|28RAT|3DUR|56RCR|7AIRHEA|9AEBURN|aVULN
23	12332 24626	   	314.66	DCR|3TLV|2VULN|3DMG|1AART	168TLV|2ZMB|3AART|48VULN|58aDMG|7LEGI|8BPWR|9RCR
24	13151 46131	   	312.95	ACR|DCR|2TLV|1VULN|1CDMG|1AART	14TLV|2RAT|3DUR|56RCR|7AART|8CDMG|9AAC|aVULN
25	13251 46313	   	312.85	ACR|DCR|3TLV|1VULN|1AART	14aTLV|2RAT|3DUST|56RCR|7AART|8DUR|9VULN
26	33321 41433	   	312.79	DCR|3VULN|2TLV|2DMG|1ASPD	149VULN|2FEWX|39TLV|5LIT|6RCR|7ASPD|89DMG|9BPWR|aRAT
27	13615 63321	   	312.69	DCR|3VULN|2TLV|2DMG|1CDMG	17TLV|2RAT|37DMG|478VULN|5LEGI|6RCR|7BPWR|9CDMG|aLWND
28	13615 63322	   	312.69	DCR|3VULN|2TLV|2DMG|1CDMG	17TLV|2RAT|37DMG|478VULN|5LEGI|6RCR|7BPWR|9CDMG|aCGEN
29	13615 63131	   	312.59	DCR|3TLV|3VULN|2DMG	179TLV|2RAT|37DMG|47aVULN|5LEGI|6RCR|7BPWR|8AETHUN
30	13121 42451	   	311.46	ACR|DCR|1TLV|1VULN|1DMG|2DUR|1ASPD|2RAT	1TLV|24RAT|37DUR|56RCR|8VULN|9DMG|aASPD
31	13151 42421	   	310.99	ACR|DCR|2TLV|1VULN|2DUR|1ASPD	14TLV|2RAT|37DUR|56RCR|8VULN|9AAC|aASPD
32	31522 12142	   	310.99	ACR|DCR|3TLV|1VULN|2DUR	1VULN|2RAT|34DUR|59RCR|678TLV|aBEXP
33	31522 12143	   	310.99	ACR|DCR|3TLV|1VULN|2DUR	1VULN|2RAT|34DUR|59RCR|678TLV|aRCVC
34	31522 12144	   	310.99	ACR|DCR|3TLV|1VULN|2DUR	1VULN|2RAT|34DUR|59RCR|678TLV|aFEWX
35	31522 12145	   	310.99	ACR|DCR|3TLV|1VULN|2DUR	1VULN|2RAT|34DUR|59RCR|678TLV|aCGEN
36	61512 12142	   	310.99	ACR|DCR|3TLV|1VULN|2DUR	1RAT|23DUR|4VULN|59RCR|678TLV|aBEXP
37	61512 12143	   	310.99	ACR|DCR|3TLV|1VULN|2DUR	1RAT|23DUR|4VULN|59RCR|678TLV|aRCVC
38	62522 12142	   	310.99	ACR|DCR|3TLV|1VULN|2DUR	1RAT|2VULN|34DUR|59RCR|678TLV|aBEXP
39	62522 12143	   	310.99	ACR|DCR|3TLV|1VULN|2DUR	1RAT|2VULN|34DUR|59RCR|678TLV|aRCVC
40	13151 42352	   	310.89	ACR|DCR|2TLV|1VULN|2DUR|2RAT	14TLV|28RAT|37DUR|56RCR|9BLAICY|aVULN
41	31522 12141	   	310.89	ACR|DCR|3TLV|1VULN|2DUR	1VULN|2RAT|34DUR|59RCR|678TLV|aMDPS
42	31522 12146	   	310.89	ACR|DCR|3TLV|1VULN|2DUR|1MSE	1VULN|2RAT|34DUR|59RCR|678TLV|aMSE
43	61512 12141	   	310.89	ACR|DCR|3TLV|1VULN|2DUR	1RAT|23DUR|4VULN|59RCR|678TLV|aMDPS
44	62522 12141	   	310.89	ACR|DCR|3TLV|1VULN|2DUR	1RAT|2VULN|34DUR|59RCR|678TLV|aMDPS
45	13151 42312	   	310.26	ACR|DCR|2TLV|1VULN|3RAT|2DUR	14TLV|28aRAT|37DUR|56RCR|9VULN
46	13561 42312	   	310.26	ACR|DCR|2TLV|1VULN|3RAT|2DUR	13TLV|28aRAT|47DUR|56RCR|9VULN
47	13151 45333	   	309.79	ACR|DCR|2TLV|2VULN|1MSE	14TLV|2RAT|3DUR|56RCR|7aVULN|8MSE|9ZMB
48	13151 41431	   	308.56	ACR|DCR|2TLV|1VULN|1ASPD|2RAT	14TLV|28RAT|3DUR|56RCR|7MLV|9VULN|aASPD
49	61212 12142	   	308.56	ACR|DCR|3TLV|1VULN|2RAT	13RAT|2DUR|4VULN|59RCR|678TLV|aBEXP
50	61212 12143	   	308.56	ACR|DCR|3TLV|1VULN|2RAT	13RAT|2DUR|4VULN|59RCR|678TLV|aRCVC
51	61212 12144	   	308.56	ACR|DCR|3TLV|1VULN|2RAT	13RAT|2DUR|4VULN|59RCR|678TLV|aFEWX
52	61212 12145	   	308.56	ACR|DCR|3TLV|1VULN|2RAT	13RAT|2DUR|4VULN|59RCR|678TLV|aCGEN
53	11151 45213	   	308.49	ACR|DCR|2TLV|2VULN	14TLV|2LWND|3RAT|56RCR|7aVULN|8RMIN|9LIT
54	11151 45223	   	308.49	ACR|DCR|2TLV|2VULN	14TLV|2LWND|3RAT|56RCR|7aVULN|8RMIN|9FEWX
55	31252 12143	   	308.46	ACR|DCR|3TLV|1VULN|2RAT	1VULN|23RAT|4DUST|59RCR|678TLV|aDUR
56	61212 12141	   	308.46	ACR|DCR|3TLV|1VULN|2RAT	13RAT|2DUR|4VULN|59RCR|678TLV|aMDPS
57	61212 12146	   	308.46	ACR|DCR|3TLV|1VULN|2RAT|1MSE	13RAT|2DUR|4VULN|59RCR|678TLV|aMSE
58	62252 12143	   	308.46	ACR|DCR|3TLV|1VULN|2RAT	13RAT|2VULN|4DUST|59RCR|678TLV|aDUR
59	13251 45213	   	308.39	ACR|DCR|2TLV|2VULN	14TLV|2RAT|3DUST|56RCR|7aVULN|8RMIN|9LIT
60	11151 45113	   	308.39	ACR|DCR|2TLV|2VULN	14TLV|2LWND|3RAT|56RCR|7aVULN|8ERES|9LIT
61	11151 45123	   	308.39	ACR|DCR|2TLV|2VULN	14TLV|2LWND|3RAT|56RCR|7aVULN|8ERES|9FEWX
62	11151 45233	   	308.39	ACR|DCR|2TLV|2VULN	14TLV|2LWND|3RAT|56RCR|7aVULN|8RMIN|9CANHEL
63	13251 45113	   	308.29	ACR|DCR|2TLV|2VULN	14TLV|2RAT|3DUST|56RCR|7aVULN|8ERES|9LIT
64	13151 45133	   	308.16	ACR|DCR|2TLV|1VULN|1DMG	14TLV|2RAT|3DUR|56RCR|7VULN|8ERES|9VENICY|aDMG
65	12333 24626	 * 	307.52	DCR|3TLV|2VULN|2ASPD|1DMG|1AART	168TLV|2ZMB|3AART|48VULN|58ASPD|7LEGI|8BPWR|9RCR|aDMG
66	13121 42345	 * 	307.31	ACR|DCR|2TLV|3DUR|2ASPD|3RAT	1aTLV|248RAT|37aDUR|56RCR|9aASPD|aBPWR
67	13361 23152	   	306.78	ACR|DCR|2TLV|1VULN|2AART	19TLV|2RAT|3RMIN|4ZMB|5aRCR|67AART|8VULN
68	13121 46613	   	305.91	ACR|DCR|2TLV|1VULN|2RAT|1AART	1aTLV|24RAT|3DUR|56RCR|7AART|8BEXP|9VULN
69	13421 46313	   	305.91	ACR|DCR|2TLV|1VULN|2RAT|1AART	1aTLV|24RAT|3FEWX|56RCR|7AART|8DUR|9VULN
70	14121 46313	   	305.91	ACR|DCR|2TLV|1VULN|2RAT|1AART	1aTLV|2FEWX|34RAT|56RCR|7AART|8DUR|9VULN
71	33321 41434	   	305.85	DCR|3VULN|2TLV|2DMG|1ASPD	149VULN|2aFEWX|39TLV|5LIT|6RCR|7ASPD|89DMG|9BPWR
72	13151 42623	 * 	305.83	ACR|DCR|2TLV|1VULN|3DUR	14TLV|2RAT|378DUR|56RCR|9LIT|aVULN
73	13221 46313	   	305.81	ACR|DCR|2TLV|1VULN|2RAT|1AART	1aTLV|24RAT|3DUST|56RCR|7AART|8DUR|9VULN
74	33321 41431	   	305.75	DCR|3VULN|2TLV|2DMG|1ASPD|1MSE	149VULN|2FEWX|39TLV|5LIT|6RCR|7ASPD|89DMG|9BPWR|aMSE
75	33321 41435	   	305.75	DCR|3VULN|2TLV|2DMG|1ASPD|1SELL	149VULN|2FEWX|39TLV|5LIT|6RCR|7ASPD|89DMG|9BPWR|aSELL
76	33321 41436	   	305.75	DCR|3VULN|2TLV|2DMG|1ASPD	149VULN|2FEWX|39TLV|5LIT|6RCR|7ASPD|89DMG|9BPWR|aCANARM
77	13151 42413	   	305.73	ACR|DCR|2TLV|1VULN|3DUR	14TLV|2RAT|37aDUR|56RCR|8VULN|9MDPS
78	16336 42133	   	305.68	DCR|3VULN|2TLV|1DMG|1AEPOI|1AART	1aTLV|2RMIN|3AART|49aVULN|5AEPOI|6DMG|7RCR|8aLIT|aBPWR
79	13615 63211	   	305.65	DCR|3VULN|2TLV|2DMG|2RAT	17TLV|28RAT|37DMG|479VULN|5LEGI|6RCR|7BPWR|aFEWX
80	13615 63331	   	305.65	DCR|3VULN|2TLV|2DMG|2RAT	17TLV|29RAT|37DMG|478VULN|5LEGI|6RCR|7BPWR|aFEWX
81	13615 63212	   	305.55	DCR|3VULN|2TLV|2DMG|2RAT|1MSE	17TLV|28RAT|37DMG|479VULN|5LEGI|6RCR|7BPWR|aMSE
82	13615 63332	   	305.55	DCR|3VULN|2TLV|2DMG|2RAT|1MSE	17TLV|29RAT|37DMG|478VULN|5LEGI|6RCR|7BPWR|aMSE
83	13151 46123	   	305.47	ACR|DCR|2TLV|2AART|1AEBURN|1CDMG	14TLV|2RAT|3DUR|56RCR|79AART|8CDMG|aAEBURN
84	13251 43142	   	305.43	ACR|DCR|2TLV|1VULN|1AEFBLL	14TLV|2RAT|3DUST|56RCR|7AEFRZ|8FRZARM|9AEFBLL|aVULN
85	13121 45433	   	305.40	ACR|DCR|2VULN|1TLV|2RAT	1TLV|24RAT|3DUR|56RCR|7aVULN|8AETHUN|9ZMB
86	11121 43436	   	305.21	ACR|DCR|2TLV|1VULN|1AEBURN|2RAT	1aTLV|2LWND|34RAT|56RCR|7AEFRZ|8VULN|9AEBURN
87	11151 43432	   	305.21	ACR|DCR|2TLV|1VULN|1AEBURN|2RAT	14TLV|2LWND|3aRAT|56RCR|7AEFRZ|8VULN|9AEBURN
88	14151 43332	   	305.21	ACR|DCR|3TLV|1VULN|3RAT	149TLV|2FEWX|389RAT|56RCR|79AEFRZ|9BPWR|aVULN
89	13221 43436	   	305.11	ACR|DCR|2TLV|1VULN|1AEBURN|2RAT	1aTLV|24RAT|3DUST|56RCR|7AEFRZ|8VULN|9AEBURN
90	13251 43432	   	305.11	ACR|DCR|2TLV|1VULN|1AEBURN|2RAT	14TLV|2aRAT|3DUST|56RCR|7AEFRZ|8VULN|9AEBURN
91	13121 42132	   	304.75	ACR|DCR|1TLV|1VULN|1AEBURN|2DUR|2RAT	1TLV|24RAT|37DUR|56RCR|8FRZARM|9AEBURN|aVULN
92	13121 42142	   	304.75	ACR|DCR|1TLV|1VULN|1AEFBLL|2DUR|2RAT	1TLV|24RAT|37DUR|56RCR|8FRZARM|9AEFBLL|aVULN
93	13121 42154	   	304.75	ACR|DCR|1TLV|1VULN|1AEPOI|2DUR|2RAT	1TLV|24RAT|37DUR|56RCR|8FRZARM|9VULN|aAEPOI
94	33341 41432	   	304.47	DCR|3TLV|2VULN|2DMG|1ASPD	19VULN|2FEWX|349TLV|5LIT|6RCR|7ASPD|89DMG|9BPWR|aDUR
95	13151 42153	   	304.27	ACR|DCR|2TLV|1VULN|2DUR	14TLV|2RAT|37DUR|56RCR|8FRZARM|9VULN|aCGEN
96	13151 43261	   	304.22	ACR|DCR|2TLV|1DMG|1AEPOI|1ASPD	14TLV|2RAT|3DUR|56RCR|7AIRHEA|8DMG|9AEPOI|aASPD
97	13151 42112	   	304.17	ACR|DCR|2TLV|1VULN|2DUR	14TLV|2RAT|37DUR|56RCR|8FRZARM|9AEFRZ|aVULN
98	13151 42151	   	304.17	ACR|DCR|2TLV|1VULN|2DUR	14TLV|2RAT|37DUR|56RCR|8FRZARM|9VULN|aMBVNT
99	13151 42152	   	304.17	ACR|DCR|2TLV|1VULN|2DUR	14TLV|2RAT|37DUR|56RCR|8FRZARM|9VULN|aERES
100	13561 42112	   	304.17	ACR|DCR|2TLV|1VULN|2DUR	13TLV|2RAT|47DUR|56RCR|8FRZARM|9AEFRZ|aVULN
101	13121 42432	   	304.12	ACR|DCR|1TLV|1VULN|3RAT|1AEBURN|2DUR	1TLV|24aRAT|37DUR|56RCR|8VULN|9AEBURN
102	13151 42311	   	303.95	ACR|DCR|2TLV|1VULN|2DUR|2RAT	14TLV|28RAT|37DUR|56RCR|9VULN|aLIT
103	13151 42315	   	303.95	ACR|DCR|2TLV|1VULN|2DUR|2RAT	14TLV|28RAT|37DUR|56RCR|9VULN|aAAC
104	13151 42332	   	303.95	ACR|DCR|2TLV|1VULN|2DUR|2RAT	14TLV|28RAT|37DUR|56RCR|9FLTFST|aVULN
105	13561 42311	   	303.95	ACR|DCR|2TLV|1VULN|2DUR|2RAT	13TLV|28RAT|47DUR|56RCR|9VULN|aLIT
106	13561 42332	   	303.95	ACR|DCR|2TLV|1VULN|2DUR|2RAT	13TLV|28RAT|47DUR|56RCR|9FLTFST|aVULN
107	13151 42313	   	303.85	ACR|DCR|2TLV|1VULN|2DUR|2RAT	14TLV|28RAT|37DUR|56RCR|9VULN|aDUST
108	13151 42314	   	303.85	ACR|DCR|2TLV|1VULN|2DUR|2RAT	14TLV|28RAT|37DUR|56RCR|9VULN|aERES
109	13151 43422	   	303.85	ACR|DCR|2TLV|1VULN|2DUR|2RAT	14TLV|28RAT|39DUR|56RCR|7AIRHEA|aVULN
110	13561 42313	   	303.85	ACR|DCR|2TLV|1VULN|2DUR|2RAT	13TLV|28RAT|47DUR|56RCR|9VULN|aDUST
