0	Index      	 *	Score 	Summary	Detail	
1	53333 43133	 * 	267.51	DCR|3VULN|1TLV|2ASPD|1AAC|2RAT	1RPLT|2aRAT|37aVULN|4TLV|5AAC|6RCR|8LWND|9aASPD|aBPWR
19	53322 11462	 * 	252.20	DCR|4VULN|1TLV|1DMG	1RPLT|2RAT|3589VULN|4RCVC|6RCR|7DMG|aTLV
20	53312 11462	   	252.10	DCR|4VULN|1TLV|1DMG	1RPLT|2RAT|3589VULN|4AEPOI|6RCR|7DMG|aTLV
21	41232 36213	   	251.84	DCR|2VULN|2MLV|1TLV|1CDMG	1ERES|2LIT|37MLV|4CGEN|5aVULN|6RCR|8TLV|9CDMG
22	24452 11212	   	251.63	DCR|2VULN|2TLV|1DMG|1AAC	1AART|25VULN|35TLV|4BBNT|5BPWR|6MBVNT|7DMG|8RCR|9AAC|aDUR
23	42133 51353	   	251.27	DCR|4VULN|1DMG|1ASPD|1CDMG	1ERES|256aVULN|3DUR|4CDMG|7RCR|8ASPD|9DMG
24	53322 11662	 * 	250.62	DCR|3VULN|2DMG|1TLV	1RPLT|2RAT|359VULN|4RCVC|6RCR|78DMG|aTLV
25	42134 31143	   	250.56	DCR|2VULN|2TLV|1AAC|2RAT|1CDMG	1ERES|2aVULN|3DUR|4CDMG|5aRAT|6RCR|7AAC|8LWND|9aTLV|aBPWR
26	63113 11166	   	250.52	DCR|DCR|1TLV|1MLV	1BELT|2MLV|3FEWX|4TLV|5LWND|68CGEN|7AART|9aRCR
27	53312 11662	   	250.52	DCR|3VULN|2DMG|1TLV	1RPLT|2RAT|359VULN|4AEPOI|6RCR|78DMG|aTLV
28	24313 25511	   	250.40	DCR|2VULN|2TLV|1MLV	1AART|27VULN|37CGEN|4RAT|5MLV|67TLV|7BPWR|8DUR|9BBNT|aRCR
29	15324 13215	 * 	249.96	DCR|4VULN|1MLV|1DMG	1DUST|2DMG|3BBNT|4679VULN|5DUR|8MLV|aRCR
30	33322 51543	 * 	249.80	DCR|3MLV|1VULN|3CDMG|3RAT	178CDMG|23CGEN|4RPLT|578MLV|678RAT|78BPWR|9VULN|aRCR
31	24365 32111	 * 	249.52	DCR|2VULN|2MLV|1DMG|2DUR	1AART|29VULN|3CGEN|49DUR|5ERES|6DMG|79MLV|8RCR|9BPWR|aLHND
32	24365 32112	   	249.52	DCR|2VULN|2MLV|1DMG|2DUR	1AART|29VULN|3CGEN|49DUR|5ERES|6DMG|79MLV|8RCR|9BPWR|aRCVC
33	26345 32111	   	249.52	DCR|2VULN|2MLV|1DMG|2DUR	1AART|29DUR|3CGEN|49VULN|5ERES|6DMG|79MLV|8RCR|9BPWR|aLHND
34	26345 32112	   	249.52	DCR|2VULN|2MLV|1DMG|2DUR	1AART|29DUR|3CGEN|49VULN|5ERES|6DMG|79MLV|8RCR|9BPWR|aRCVC
35	24365 32113	   	249.42	DCR|2VULN|2MLV|1DMG|2DUR	1AART|29VULN|3CGEN|49DUR|5ERES|6DMG|79MLV|8RCR|9BPWR|aDUST
36	26345 32113	   	249.42	DCR|2VULN|2MLV|1DMG|2DUR	1AART|29DUR|3CGEN|49VULN|5ERES|6DMG|79MLV|8RCR|9BPWR|aDUST
37	56232 53443	 * 	249.36	DCR|2VULN|2TLV|2DMG|2RAT	1RPLT|2MBVNT|3aRAT|4aTLV|5AME|6RCR|79VULN|8aDMG|aBPWR
38	53333 44231	 * 	249.17	DCR|3TLV|2DMG|1VULN|1AAC|2RAT	1RPLT|29RAT|3VULN|489TLV|5AAC|6RCR|79DMG|9BPWR|aLIT
39	53333 44232	   	249.17	DCR|3TLV|2DMG|1VULN|1AAC|2RAT	1RPLT|29RAT|3VULN|489TLV|5AAC|6RCR|79DMG|9BPWR|aLHND
40	53333 44233	   	249.17	DCR|3TLV|2DMG|1VULN|1AAC|2RAT	1RPLT|29RAT|3VULN|489TLV|5AAC|6RCR|79DMG|9BPWR|aZMB
41	13143 32142	 * 	248.66	DCR|2MLV|1VULN|1TLV|1DMG	1DUST|2RMIN|3AART|4VULN|5TLV|6DMG|79MLV|8RCR|aDUR
42	15143 12142	   	248.66	DCR|2MLV|1VULN|1TLV|1DMG	1DUST|2DMG|3AART|4VULN|5TLV|6ZMB|79MLV|8RCR|aDUR
43	24452 11224	 * 	248.47	DCR|3VULN|2TLV|1DMG	1AART|25aVULN|35TLV|4BBNT|5BPWR|6MBVNT|7DMG|8RCR|9DUST
44	23126 54122	   	248.28	DCR|2DMG|1VULN|1TLV|1MLV|1ASPD	1AART|2ERES|3ASPD|4BEXP|5MLV|6VULN|7aDMG|8RCR|9TLV
45	36212 52151	   	248.11	DCR|2MLV|2TLV|1VULN|1CDMG	1CDMG|2RCVC|3AEFBLL|4AART|59TLV|67MLV|8VULN|aRCR
46	65222 43213	   	247.79	DCR|1VULN|1TLV|1MLV|1DMG|1AAC|1ASPD	1BELT|2DUR|3LWND|4VULN|5TLV|6AAC|7DMG|8ASPD|9MLV|aRCR
47	15143 31142	 * 	247.79	DCR|3DMG|1VULN|1TLV|1MLV	1DUST|26aDMG|3AART|4VULN|5TLV|7FEWX|8RCR|9MLV
48	53312 12335	   	247.50	DCR|3VULN|2TLV|2RAT|1CDMG	1RPLT|29RAT|359VULN|4AEPOI|6RCR|7LWND|89TLV|9BPWR|aCDMG
49	53333 43134	   	246.11	DCR|3VULN|1TLV|1AAC|1ASPD	1RPLT|2RAT|37aVULN|4TLV|5AAC|6RCR|8LWND|9ASPD
50	53322 11451	   	245.78	DCR|3VULN|1MLV|1DMG|1ASPD	1RPLT|2RAT|358VULN|4RCVC|6RCR|7DMG|9ASPD|aMLV
51	61323 21156	 * 	245.72	DCR|DCR|1VULN|1TLV	1BELT|2RPLT|37DMSP|4CGEN|5VULN|6TLV|8LIT|9aRCR
52	53312 11451	   	245.68	DCR|3VULN|1MLV|1DMG|1ASPD	1RPLT|2RAT|358VULN|4AEPOI|6RCR|7DMG|9ASPD|aMLV
53	15336 13315	   	245.16	DCR|4VULN|1TLV|1DMG	1DUST|2DMG|3BBNT|4FEWX|5679VULN|8TLV|aRCR
54	24236 34323	   	245.12	DCR|DCR|1VULN|1ASPD	1AART|2VULN|3LIT|4ZMB|5RAT|6aRCR|7RMIN|8BBNT|9ASPD
55	15316 13315	   	245.06	DCR|4VULN|1TLV|1DMG	1DUST|2DMG|3BBNT|4BEXP|5679VULN|8TLV|aRCR
56	24266 32312	   	245.04	DCR|2VULN|2MLV|1AAC|2RAT	1AART|2aVULN|3LIT|4AAC|5aRAT|6RCR|7DUST|8CGEN|9aMLV|aBPWR
57	24236 36323	   	245.02	DCR|DCR|1VULN|1ASPD	1AART|2VULN|3LIT|4ZMB|5RAT|6aRCR|7TBNT|8ERES|9ASPD
58	42156 34332	   	244.98	DCR|DCR|1VULN|1AAC|2DUR	14ERES|2VULN|38DUR|5MBVNT|6AAC|7aRCR|9BEXP
59	42156 34342	   	244.98	DCR|DCR|1VULN|1AAC|2DUR	14ERES|2VULN|38DUR|5MBVNT|6AAC|7aRCR|9DUST
60	42166 34332	   	244.98	DCR|DCR|1VULN|1AAC|2DUR	1ERES|2VULN|38DUR|4AEPOI|5MBVNT|6AAC|7aRCR|9BEXP
61	42166 34342	   	244.98	DCR|DCR|1VULN|1AAC|2DUR	1ERES|2VULN|38DUR|4AEPOI|5MBVNT|6AAC|7aRCR|9DUST
62	36162 33142	   	244.54	DCR|3VULN|1MLV|1DMG|1CDMG	1CDMG|2RCVC|345VULN|6DUR|7RCR|8BBNT|9DMG|aMLV
63	53333 11163	   	244.52	DCR|2VULN|1TLV|1MLV|1AAC	1RPLT|2RAT|38VULN|4TLV|5AAC|6DUR|7MLV|9DLOT|aRCR
64	23162 54123	   	244.44	DCR|1VULN|1TLV|1MLV|1DMG|1ASPD|1CDMG	1AART|2ERES|3ASPD|4LHND|5MLV|6VULN|7DMG|8RCR|9TLV|aCDMG
65	36162 33216	   	244.44	DCR|3VULN|1MLV|1DMG|1CDMG	1CDMG|2RCVC|345VULN|6DUR|7RCR|8AEPOI|9DMG|aMLV
66	21346 23643	   	244.44	DCR|1VULN|1TLV|1MLV|1DMG|1ASPD|1CDMG	1AART|2LIT|3ASPD|4MBVNT|5CDMG|6TLV|7DMG|8MLV|9RCR|aVULN
67	24452 11223	   	243.92	DCR|2VULN|2TLV|2DMG	1AART|25VULN|35TLV|4BBNT|5BPWR|6MBVNT|7aDMG|8RCR|9DUST
68	63233 25433	 * 	243.83	DCR|3MLV|1VULN|1TLV	1BELT|27aMLV|3AETHUN|4VULN|5LHND|6TLV|8RCR|9AART
69	42133 51532	   	243.54	DCR|4VULN|1MLV|1CDMG	1ERES|2569VULN|3DUR|4CDMG|7RCR|8BBNT|aMLV
70	24452 11213	   	243.33	DCR|2VULN|2TLV|1DMG|1AAC	1AART|25VULN|35TLV|4BBNT|5BPWR|6MBVNT|7DMG|8RCR|9AAC|aLHND
71	24452 13242	   	243.26	DCR|2VULN|2TLV|1MLV	1AART|25VULN|35TLV|4BBNT|5BPWR|6MBVNT|7ZMB|8RCR|9MLV|aDUR
72	24441 22123	   	243.23	DCR|2VULN|2TLV|1DMG|1AAC	1AART|24VULN|39TLV|5AAC|6DUST|7LHND|8RCR|aDMG
73	24452 11211	   	243.23	DCR|2VULN|2TLV|1DMG|1AAC	1AART|25VULN|35TLV|4BBNT|5BPWR|6MBVNT|7DMG|8RCR|9AAC|aMDPS
74	24452 11214	   	243.23	DCR|2VULN|2TLV|1DMG|1AAC	1AART|25VULN|35TLV|4BBNT|5BPWR|6MBVNT|7DMG|8RCR|9AAC|aERES
75	21635 22152	   	243.15	DCR|1VULN|1TLV|1MLV|1DMG|2AART|1CDMG	18AART|2LIT|3DUR|4DMG|5CDMG|6TLV|7MLV|9RCR|aVULN
76	26235 22152	   	243.15	DCR|1VULN|1TLV|1MLV|1DMG|2AART|1CDMG	18AART|2DUR|3LIT|4DMG|5CDMG|6TLV|7MLV|9RCR|aVULN
77	24136 13242	   	242.80	DCR|2VULN|1TLV|1DMG|1AAC|1CDMG	1AART|25VULN|3BELT|4LIT|6AAC|7TLV|8CDMG|9DMG|aRCR
78	36162 23531	   	242.77	DCR|3VULN|1TLV|1ASPD|1CDMG	1CDMG|2RCVC|345VULN|6DUST|7RCR|8TLV|9ASPD|aRAT
79	15142 33142	   	242.67	DCR|2VULN|2MLV|1DMG	1DUST|2DMG|3AART|46VULN|5LEGI|79MLV|8RCR|aDUR
80	24452 11222	   	242.58	DCR|2VULN|2TLV|1DMG|1ASPD	1AART|25VULN|35TLV|4BBNT|5BPWR|6MBVNT|7DMG|8RCR|9DUST|aASPD
81	31335 15313	   	242.53	DCR|2MLV|1VULN|1TLV|1AAC|1CDMG	1CDMG|2LIT|3FEWX|4DUST|5AAC|6aMLV|7RCR|8VULN|9TLV
82	41256 33333	   	242.53	DCR|2MLV|1VULN|1TLV|1AAC|1CDMG	1ERES|2LIT|36MLV|4CDMG|5AAC|7LHND|8TLV|9RCR|aVULN
83	32436 12235	   	242.42	DCR|DCR|1TLV|1CDMG	1CDMG|2MDPS|3RAT|4TLV|5FEWX|6TBNT|7DUR|8LIT|9aRCR
84	32321 62123	   	242.37	DCR|2TLV|1VULN|1MLV|1DMG|1CDMG	1CDMG|2MDPS|3RPLT|4MLV|5AART|67TLV|8RCR|9DMG|aVULN
85	33113 22552	   	242.35	DCR|2MLV|1VULN|1TLV|1CDMG	1CDMG|2CGEN|3DUR|4AART|5LIT|6TLV|78MLV|9RCR|aVULN
86	33134 22552	   	242.35	DCR|2MLV|1VULN|1TLV|1CDMG	1CDMG|2CGEN|3DUR|4LIT|5AART|6TLV|78MLV|9RCR|aVULN
87	32431 22235	   	242.32	DCR|DCR|1TLV|1CDMG	1CDMG|2MDPS|3RAT|4TLV|5BBNT|6DUST|7DUR|8LIT|9aRCR
88	42334 31143	   	242.26	DCR|2VULN|2TLV|1AAC|2RAT|1CDMG	1ERES|2aVULN|3FEWX|4CDMG|5aRAT|6RCR|7AAC|8LWND|9aTLV|aBPWR
89	31234 22552	   	242.25	DCR|2MLV|1VULN|1TLV|1CDMG	1CDMG|2LIT|3ERES|4DUR|5AART|6TLV|78MLV|9RCR|aVULN
90	61323 31156	   	242.22	DCR|DCR|1VULN|1MLV	1BELT|2RPLT|3DMSP|46CGEN|5VULN|7MLV|8LIT|9aRCR
91	36161 51312	   	242.16	DCR|2VULN|1TLV|1DMG|1ASPD|1CDMG	1CDMG|2RCVC|34VULN|5DMG|6LWND|7RCR|8ASPD|9AART|aTLV
92	36161 26112	 * 	241.70	DCR|2VULN|2DMG|1TLV|2CDMG	1aCDMG|2RCVC|34VULN|5aDMG|6ZMB|7TLV|8aLIT|9RCR|aBPWR
93	15321 13215	   	241.65	DCR|4VULN|1MLV|1DMG	1DUST|2DMG|3BBNT|4679VULN|5LHND|8MLV|aRCR
94	15336 13215	   	241.65	DCR|4VULN|1MLV|1DMG	1DUST|2DMG|3BBNT|4FEWX|5679VULN|8MLV|aRCR
95	15316 13215	   	241.55	DCR|4VULN|1MLV|1DMG	1DUST|2DMG|3BBNT|4BEXP|5679VULN|8MLV|aRCR
96	42131 34132	 * 	241.44	DCR|2VULN|2ASPD|1DMG|1AAC|1CDMG	1ERES|2aVULN|3DUR|4CDMG|5DMG|69ASPD|7AAC|8RCR
97	53322 11651	   	241.22	DCR|2VULN|2DMG|1MLV|1ASPD	1RPLT|2RAT|35VULN|4RCVC|6RCR|78DMG|9ASPD|aMLV
98	53312 11651	   	241.12	DCR|2VULN|2DMG|1MLV|1ASPD	1RPLT|2RAT|35VULN|4AEPOI|6RCR|78DMG|9ASPD|aMLV
99	15144 33121	   	240.75	DCR|2VULN|1TLV|1MLV|1DMG	1DUST|2DMG|3AART|46VULN|5FEWX|7MLV|8RCR|9TLV|aLHND
100	15146 33121	   	240.75	DCR|2VULN|1TLV|1MLV|1DMG	1DUST|2DMG|3AART|46VULN|5aLHND|7MLV|8RCR|9TLV
101	15146 33122	   	240.75	DCR|2VULN|1TLV|1MLV|1DMG	1DUST|2DMG|3AART|46VULN|5LHND|7MLV|8RCR|9TLV|aRMIN
102	33245 33234	   	240.73	DCR|DCR|1VULN|2RAT|1CDMG	1CDMG|2CGEN|34RAT|5SPLARM|6AME|7VULN|8DUST|9aRCR
103	13142 34125	   	240.65	DCR|2VULN|1TLV|1MLV|1DMG	1DUST|2RMIN|3AART|46VULN|5LEGI|7DMG|8RCR|9TLV|aMLV
104	15142 33121	   	240.65	DCR|2VULN|1TLV|1MLV|1DMG	1DUST|2DMG|3AART|46VULN|5LEGI|7MLV|8RCR|9TLV|aLHND
105	15142 33124	   	240.65	DCR|2VULN|1TLV|1MLV|1DMG	1DUST|2DMG|3AART|46VULN|5LEGI|7MLV|8RCR|9TLV|aRCVC
106	15144 33123	   	240.65	DCR|2VULN|1TLV|1MLV|1DMG	1aDUST|2DMG|3AART|46VULN|5FEWX|7MLV|8RCR|9TLV
107	15146 33123	   	240.65	DCR|2VULN|1TLV|1MLV|1DMG|1SELL	1DUST|2DMG|3AART|46VULN|5LHND|7MLV|8RCR|9TLV|aSELL
108	15142 33123	   	240.55	DCR|2VULN|1TLV|1MLV|1DMG	1aDUST|2DMG|3AART|46VULN|5LEGI|7MLV|8RCR|9TLV
109	15142 33125	   	240.55	DCR|2VULN|1TLV|1MLV|1DMG	1DUST|2DMG|3AART|46VULN|5LEGI|7MLV|8RCR|9TLV|aBASICY
110	15142 33126	   	240.55	DCR|2VULN|1TLV|1MLV|1DMG	1DUST|2DMG|3AART|46VULN|5LEGI|7MLV|8RCR|9TLV|aBEXP
111	31131 72476	   	240.47	DCR|DCR|1MLV|1AAC|1CDMG	1CDMG|2LIT|37LWND|4DUST|5MBVNT|68RCR|9MLV|aAAC
112	53211 53215	   	240.43	DCR|DCR|1VULN|1DMG	1RPLT|2RAT|3LWND|4AETHUN|5LSRHEA|69RCR|7VULN|8ZMB|aDMG
113	31131 71476	   	240.37	DCR|DCR|1MLV|1AAC|1CDMG	1CDMG|2LIT|3LWND|47DUST|5MBVNT|68RCR|9MLV|aAAC
114	13143 32141	   	240.35	DCR|2MLV|1VULN|1TLV|1DMG	1DUST|2RMIN|3AART|4VULN|5TLV|6DMG|79MLV|8RCR|aLHND
115	13143 32144	   	240.35	DCR|2MLV|1VULN|1TLV|1DMG	1DUST|2RMIN|3AART|4VULN|5TLV|6DMG|79MLV|8RCR|aAME
116	13143 32145	   	240.35	DCR|2MLV|1VULN|1TLV|1DMG	1DUST|2RMIN|3AART|4VULN|5TLV|6DMG|79MLV|8RCR|aRPLT
117	13143 32146	   	240.35	DCR|2MLV|1VULN|1TLV|1DMG	1DUST|2RMIN|3AART|4VULN|5TLV|6DMG|79MLV|8RCR|aFEWX
118	15143 12141	   	240.35	DCR|2MLV|1VULN|1TLV|1DMG	1DUST|2DMG|3AART|4VULN|5TLV|6ZMB|79MLV|8RCR|aLHND
119	13162 31154	   	240.35	DCR|2MLV|1VULN|1TLV|1DMG	1DUST|2RMIN|3AART|4DMG|5aMLV|6TLV|7FEWX|8RCR|9VULN
120	13162 32154	   	240.35	DCR|2MLV|1VULN|1TLV|1DMG	1DUST|2RMIN|3AART|4DMG|5aMLV|6TLV|7LHND|8RCR|9VULN
121	13143 32143	   	240.25	DCR|2MLV|1VULN|1TLV|1DMG	1DUST|2RMIN|3AART|4VULN|5TLV|6DMG|79MLV|8RCR|aLEGI
122	15143 12143	   	240.25	DCR|2MLV|1VULN|1TLV|1DMG	1DUST|2DMG|3AART|4VULN|5TLV|6ZMB|79MLV|8RCR|aLEGI
123	53312 12331	 * 	240.17	DCR|3VULN|2TLV|3RAT	1RPLT|29aRAT|359VULN|4AEPOI|6RCR|7LWND|89TLV|9BPWR
124	53333 44311	   	240.15	DCR|2TLV|2DMG|1VULN|1AAC|2RAT	1RPLT|29RAT|3VULN|49TLV|5AAC|6RCR|79DMG|8RMIN|9BPWR|aDMSP
125	53333 44312	   	240.05	DCR|2TLV|2DMG|1VULN|1AAC|2RAT	1RPLT|29RAT|3VULN|49TLV|5AAC|6RCR|79DMG|8RMIN|9BPWR|aBEXP
126	53333 44313	   	240.05	DCR|2TLV|2DMG|1VULN|1AAC|2RAT|1SELL	1RPLT|29RAT|3VULN|49TLV|5AAC|6RCR|79DMG|8RMIN|9BPWR|aSELL
127	15143 22353	   	239.88	DCR|2VULN|2TLV|1DMG|1CDMG	1DUST|2DMG|3AART|48VULN|57TLV|6CDMG|9BEXP|aRCR
128	63364 13211	   	239.81	DCR|2VULN|2MLV|1DMG|2RAT	1BELT|23MLV|4FEWX|59RAT|68VULN|7DMG|aRCR
129	53322 11442	   	239.64	DCR|3VULN|1TLV|1DMG|2RAT	1RPLT|29RAT|358VULN|4RCVC|6RCR|7DMG|aTLV
130	53312 11442	   	239.54	DCR|3VULN|1TLV|1DMG|2RAT	1RPLT|29RAT|358VULN|4AEPOI|6RCR|7DMG|aTLV
131	64122 43213	   	239.48	DCR|1VULN|1TLV|1MLV|1DMG|1AAC|1ASPD	1BELT|2LWND|3FEWX|4VULN|5TLV|6AAC|7DMG|8ASPD|9MLV|aRCR
132	24441 22122	   	239.41	DCR|2VULN|2TLV|1AAC|1ASPD	1AART|24VULN|39TLV|5AAC|6DUST|7LHND|8RCR|aASPD
133	21625 22152	   	239.34	DCR|1VULN|1TLV|1MLV|1ASPD|2AART|1CDMG	18AART|2LIT|3DUR|4ASPD|5CDMG|6TLV|7MLV|9RCR|aVULN
134	26225 22152	   	239.34	DCR|1VULN|1TLV|1MLV|1ASPD|2AART|1CDMG	18AART|2DUR|3LIT|4ASPD|5CDMG|6TLV|7MLV|9RCR|aVULN
135	35131 34132	 * 	239.13	DCR|1VULN|1TLV|2ASPD|1DMG|1AAC|1CDMG	1CDMG|2LWND|3FEWX|4TLV|5DMG|69ASPD|7AAC|8RCR|aVULN
136	15143 33421	   	239.07	DCR|2DMG|1VULN|1TLV|1MLV	1DUST|26DMG|3AART|4VULN|5TLV|7TBNT|8MLV|9RAT|aRCR
137	35231 34132	   	239.03	DCR|1VULN|1TLV|2ASPD|1DMG|1AAC|1CDMG	1CDMG|2LWND|3LEGI|4TLV|5DMG|69ASPD|7AAC|8RCR|aVULN
138	33222 41634	   	238.92	DCR|DCR|1MLV|1CDMG	1CDMG|2CGEN|3RAT|4LHND|5DUR|6LSRREG|7RCVC|8MLV|9aRCR
139	33222 46134	   	238.92	DCR|DCR|1MLV|1CDMG	1CDMG|28CGEN|3RAT|4LHND|5DUR|6LSRREG|7MLV|9aRCR
140	33222 46234	   	238.92	DCR|DCR|1MLV|1CDMG	1CDMG|2CGEN|3RAT|4LHND|5DUR|6LSRREG|7MLV|8RCVC|9aRCR
141	33222 46324	   	238.82	DCR|DCR|1MLV|1CDMG	1CDMG|2CGEN|3RAT|4LHND|5DUR|6LSRREG|7MLV|8aRCR|9AEFBLL
142	33222 46334	   	238.82	DCR|DCR|1MLV|1CDMG	1CDMG|2CGEN|3RAT|4LHND|5DUR|6LSRREG|7MLV|8aRCR|9AEBURN
143	33232 41634	   	238.82	DCR|DCR|1MLV|1CDMG	1CDMG|2CGEN|3RAT|4DUST|5DUR|6LSRREG|7RCVC|8MLV|9aRCR
144	36162 23512	   	238.74	DCR|4VULN|1TLV|1CDMG	1CDMG|29RCVC|345aVULN|6DUST|7RCR|8TLV
145	42156 34412	   	238.53	DCR|DCR|1VULN|1AAC	14ERES|2VULN|3DUR|5MBVNT|6AAC|7aRCR|89FEWX
146	42156 34432	   	238.53	DCR|DCR|1VULN|1AAC	14ERES|2VULN|3DUR|5MBVNT|6AAC|7aRCR|8FEWX|9RCVC
147	42166 34412	   	238.53	DCR|DCR|1VULN|1AAC	1ERES|2VULN|3DUR|4AEPOI|5MBVNT|6AAC|7aRCR|89FEWX
148	42166 34432	   	238.53	DCR|DCR|1VULN|1AAC	1ERES|2VULN|3DUR|4AEPOI|5MBVNT|6AAC|7aRCR|8FEWX|9RCVC
149	55111 32315	   	238.22	DCR|2VULN|2TLV|1AAC|2DUR	1RPLT|2aTLV|3AART|4AEWIND|5TBNT|6aVULN|7RCR|8AAC|9aDUR|aBPWR
150	55311 32315	   	238.22	DCR|2VULN|2TLV|1AAC|2DUR	1RPLT|2aTLV|3AEFRZ|4AART|5TBNT|6aVULN|7RCR|8AAC|9aDUR|aBPWR
151	63133 25423	   	238.19	DCR|2VULN|2MLV|1TLV	1BELT|27MLV|3FEWX|4aVULN|5LHND|6TLV|8RCR|9ERES
152	21346 23644	   	238.16	DCR|2MLV|1TLV|1DMG|1ASPD|1CDMG	1AART|2LIT|3ASPD|4MBVNT|5CDMG|6TLV|7DMG|8aMLV|9RCR
153	14526 22212	   	238.09	DCR|2VULN|2MLV|1TLV	12DUST|2BPWR|35VULN|4BBNT|6LWND|78MLV|9RCR|aTLV
154	63233 25423	   	238.09	DCR|2VULN|2MLV|1TLV	1BELT|27MLV|3AETHUN|4aVULN|5LHND|6TLV|8RCR|9ERES
155	63232 24116	   	238.04	DCR|2VULN|2MLV|1TLV|1SELL	1BELT|29MLV|3AETHUN|49VULN|5SELL|6TLV|7LSRREG|89LHND|9BPWR|aRCR
156	14526 32212	   	237.99	DCR|2VULN|2MLV|1TLV	12DUST|2BPWR|35VULN|4BBNT|6BEXP|78MLV|9RCR|aTLV
