0	Index      	 *	Score 	Summary	Detail	
1	33564 22323	 * 	279.13	DCR|2MLV|2DMG|1VULN|1TLV|1AAC|1CDMG	1BBNT|2CDMG|3TLV|49DMG|57MLV|6VULN|8AAC|aRCR
46	35325 32126	   	255.18	DCR|3VULN|1TLV|1MLV|1AAC	1BBNT|25aVULN|3TLV|4LHND|6AME|7AAC|8RCR|9MLV
47	35335 32126	   	255.18	DCR|3VULN|1TLV|1MLV|1AAC	1BBNT|25aVULN|3TLV|4LWND|6AME|7AAC|8RCR|9MLV
48	36333 42126	   	255.08	DCR|3VULN|1TLV|1MLV|1AAC	1BBNT|2BEXP|3TLV|46aVULN|5CGEN|7AAC|8RCR|9MLV
49	36335 32126	   	255.08	DCR|3VULN|1TLV|1MLV|1AAC	1BBNT|2BEXP|3TLV|45aVULN|6AME|7AAC|8RCR|9MLV
50	26423 32224	   	254.98	DCR|3VULN|1TLV|1MLV|1AAC	1FEWX|23aVULN|4AEWIND|5TLV|6AAC|7RCR|8ERES|9MLV
51	35363 36213	   	254.20	DCR|2VULN|2TLV|2DMG|1CDMG	1BBNT|28VULN|38TLV|4RMIN|5CDMG|6AME|78DMG|8BPWR|9AEFRZ|aRCR
52	23213 25561	 * 	252.77	DCR|DCR|2VULN	1FEWX|2LWND|3DUR|4RCVC|5TBNT|68VULN|7aRCR|9MDPS
53	22241 35622	   	252.76	DCR|2VULN|2MLV|1TLV|1CDMG	158FEWX|2CGEN|38VULN|4BEXP|6CDMG|78MLV|8BPWR|9RCR|aTLV
54	22262 35622	   	252.76	DCR|2VULN|2MLV|1TLV|1CDMG	148FEWX|2CGEN|38VULN|5DUST|6CDMG|78MLV|8BPWR|9RCR|aTLV
55	22263 35622	   	252.76	DCR|2VULN|2MLV|1TLV|1CDMG	148FEWX|2CGEN|38VULN|5BEXP|6CDMG|78MLV|8BPWR|9RCR|aTLV
56	23223 25561	   	252.67	DCR|DCR|2VULN	1FEWX|2LWND|3DUR|4AEFRZ|5TBNT|68VULN|7aRCR|9MDPS
57	26113 35431	   	252.67	DCR|DCR|2VULN	1FEWX|29VULN|3DUST|4DUR|5TBNT|6BEXP|7aRCR|8LHND
58	25233 35431	   	252.57	DCR|DCR|2VULN	1FEWX|26BEXP|3DUR|49VULN|5TBNT|7aRCR|8MDPS
59	65314 32211	   	252.46	DCR|3VULN|2TLV|1MLV	19MULHEA|269VULN|3MLV|4LWND|59TLV|7RCR|8DMSP|9BPWR|aRPLT
60	65314 32212	   	252.46	DCR|3VULN|2TLV|1MLV	19MULHEA|269VULN|3MLV|4aLWND|59TLV|7RCR|8DMSP|9BPWR
61	42243 32622	   	252.46	DCR|2VULN|2MLV|1TLV|1CDMG	178DUST|2CGEN|38VULN|4BEXP|5CDMG|68MLV|8BPWR|9RCR|aTLV
62	65314 32213	   	252.36	DCR|3VULN|2TLV|1MLV	19MULHEA|269VULN|3MLV|4LWND|59TLV|7RCR|8DMSP|9BPWR|aLSRREG
63	35363 33261	   	251.88	DCR|2VULN|1TLV|1MLV|2CDMG|1AAC	1BBNT|29VULN|3TLV|4RMIN|59CDMG|69AME|7RCR|8AAC|9BPWR|aMLV
64	35225 32336	   	251.78	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1BBNT|25VULN|3DMG|4LHND|6TLV|7AAC|8MLV|9LIT|aRCR
65	35235 32336	   	251.78	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1BBNT|25VULN|3DMG|4LWND|6TLV|7AAC|8MLV|9LIT|aRCR
66	36235 32336	   	251.68	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1BBNT|2BEXP|3DMG|45VULN|6TLV|7AAC|8MLV|9LIT|aRCR
67	51263 52111	   	251.58	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1AEPOI|2DMG|3MLV|48VULN|5TLV|6ERES|7RCR|9AAC|aAME
68	51263 52113	   	251.48	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1AEPOI|2DMG|3MLV|48VULN|5TLV|6ERES|7RCR|9AAC|aMSLFST
69	51263 52122	   	250.94	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1AEPOI|2DMG|3MLV|48VULN|5TLV|6ERES|7RCR|9CGEN|aASPD
70	51263 52132	   	250.94	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1AEPOI|2DMG|3MLV|48VULN|5TLV|6ERES|7RCR|9ZMB|aASPD
71	32131 45511	   	250.90	DCR|DCR|1VULN|1MLV	1BBNT|23CGEN|3BPWR|4FEWX|5MDPS|6MLV|7aRCR|8VULN|9DUR
72	51211 11643	   	250.82	DCR|2VULN|2DMG|1MLV|1AAC|1CDMG	1AEPOI|26DMG|3MLV|4ERES|56VULN|6BPWR|7BBNT|8AAC|9CDMG|aRCR
73	32212 55511	   	250.80	DCR|DCR|1VULN|1MLV	1BBNT|2CGEN|3BEXP|4MLV|5LWND|6DUST|7aRCR|8VULN|9DUR
74	31231 45511	   	250.80	DCR|DCR|1VULN|1MLV	1BBNT|2AEBURN|3AME|4FEWX|5MDPS|6MLV|7aRCR|8VULN|9DUR
75	16231 11652	   	250.70	DCR|DCR|1VULN|1MLV	1aERES|2LWND|3VULN|4MLV|5SPLREG|6DUR|7BBNT|89RCR
76	16231 11653	   	250.70	DCR|DCR|1VULN|1MLV|1MSE	1ERES|2LWND|3VULN|4MLV|5SPLREG|6DUR|7BBNT|89RCR|aMSE
77	25221 15241	   	250.70	DCR|DCR|1VULN|1MLV	1FEWX|249BEXP|3DUR|5MLV|6CGEN|7aRCR|8VULN
78	32221 45511	   	250.70	DCR|DCR|1VULN|1MLV	1BBNT|2CGEN|34BEXP|5MDPS|6MLV|7aRCR|8VULN|9DUR
79	15231 11652	   	250.60	DCR|DCR|1VULN|1MLV	1aERES|2LEGI|3VULN|4MLV|5SPLREG|6DUR|7BBNT|89RCR
80	15231 11653	   	250.60	DCR|DCR|1VULN|1MLV|1MSE	1ERES|2LEGI|3VULN|4MLV|5SPLREG|6DUR|7BBNT|89RCR|aMSE
81	35363 33262	 * 	249.14	DCR|3VULN|1TLV|2CDMG|1AAC	1BBNT|29aVULN|3TLV|4RMIN|59CDMG|69AME|7RCR|8AAC|9BPWR
