0	Index      	 *	Score 	Summary	Detail	
1	12252 53311	 * 	225.37	ACR|4VULN|3BEXP|2ASPD|1AART	1389VULN|278BEXP|48ASPD|5RCR|6RCVC|8BPWR|aAART
16	12562 53323	   	215.37	ACR|3ASPD|2VULN|3BEXP|1AAC	18VULN|278BEXP|348ASPD|5RCR|6RCVC|8BPWR|9AAC|aCGEN
17	24544 44224	   	214.24	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1DUST|2BEXP|3ASPD|4MBVNT|5RCR|6DMG|7VULN|8MSLREG|9BASARM|aCDMG
18	12562 12142	 * 	213.64	ACR|3ASPD|2VULN|2BEXP|1AART	17VULN|29BEXP|34aASPD|5RCR|6DUST|8AART
19	11452 16322	 * 	213.41	ACR|3VULN|3ASPD|1AART|2AAC	189VULN|2ERES|3aAAC|489ASPD|5RCR|689DUST|7AART|89BPWR
20	12562 51323	   	213.01	ACR|3VULN|3ASPD|2BEXP|1AAC	178VULN|28BEXP|348ASPD|5RCR|6RCVC|8BPWR|9ERES|aAAC
21	42544 31331	 * 	212.92	ACR|1BASARM|1ASPD|1VULN|1AART|1BEXP|1CDMG	1LWND|2BEXP|3ASPD|4MBVNT|5RCR|6AME|7AART|8BASARM|9CDMG|aVULN
22	12562 63321	   	211.74	ACR|3ASPD|2VULN|2BEXP|1AART	18VULN|27BEXP|348ASPD|5RCR|68AEFBLL|8BPWR|9FEWX|aAART
23	12562 63331	   	211.74	ACR|3ASPD|2VULN|2BEXP|1AART	18VULN|27BEXP|348ASPD|5RCR|68AEFBLL|8BPWR|9DUR|aAART
24	12562 61321	   	207.91	ACR|3VULN|3ASPD|1AART|1BEXP	178VULN|2BEXP|348ASPD|5RCR|68AEFBLL|8BPWR|9FEWX|aAART
25	12562 61331	   	207.91	ACR|3VULN|3ASPD|1AART|1BEXP	178VULN|2BEXP|348ASPD|5RCR|68AEFBLL|8BPWR|9DUR|aAART
26	12562 53312	   	206.96	ACR|3ASPD|2VULN|3BEXP	18VULN|278BEXP|348ASPD|5RCR|6RCVC|8BPWR|9AEFBLL|aFEWX
27	12562 53313	   	206.96	ACR|3ASPD|2VULN|3BEXP	18VULN|278BEXP|348ASPD|5RCR|6RCVC|8BPWR|9AEFBLL|aDUR
28	12562 53331	   	206.96	ACR|3ASPD|2VULN|3BEXP	18VULN|278BEXP|348ASPD|5RCR|6RCVC|8BPWR|9ERES|aLHND
29	12562 53333	   	206.96	ACR|3ASPD|2VULN|3BEXP	18VULN|278BEXP|348ASPD|5RCR|6RCVC|8BPWR|9ERES|aCGEN
30	11452 16321	   	206.87	ACR|3VULN|3ASPD|1AART|1AAC	189VULN|2ERES|3AAC|489ASPD|5RCR|689DUST|7AART|89BPWR|aRCVC
31	12252 12142	 * 	205.99	ACR|3VULN|2ASPD|2BEXP|1AART	137VULN|29BEXP|4aASPD|5RCR|6DUST|8AART
32	11452 16323	   	205.56	ACR|3VULN|3ASPD|1AART|1AAC	189VULN|2ERES|3AAC|489ASPD|5RCR|689DUST|7AART|89BPWR|aDUR
33	15333 12324	 * 	205.10	ACR|2VULN|1BASARM|1DMG|1BEXP|1CDMG	12VULN|3CDMG|4LHND|5RCR|6LIT|7DUR|8DMG|9BASARM|aBEXP
34	15333 16324	   	205.00	ACR|2VULN|1BASARM|1DMG|1BEXP|1CDMG	12VULN|3CDMG|4LHND|5RCR|6LIT|7DMG|8LEGI|9BASARM|aBEXP
35	12562 51311	   	204.70	ACR|3VULN|3ASPD|2BEXP	178VULN|28BEXP|348ASPD|5RCR|6RCVC|8BPWR|9BELT|aERES
36	12562 51313	   	204.70	ACR|3VULN|3ASPD|2BEXP	178VULN|28BEXP|348ASPD|5RCR|6RCVC|8BPWR|9BELT|aDUST
37	12562 51322	   	204.70	ACR|3VULN|3ASPD|2BEXP	178VULN|28BEXP|348ASPD|5RCR|6RCVC|8BPWR|9ERES|aDUR
38	11252 54112	   	204.62	ACR|1BASARM|2DMG|1VULN|1ASPD	1VULN|2ERES|3AME|4ASPD|5RCR|6BELT|7CGEN|8BASARM|9aDMG
39	12562 51321	   	204.60	ACR|3VULN|3ASPD|2BEXP	178VULN|28BEXP|348ASPD|5RCR|6RCVC|8BPWR|9aERES
40	22544 44222	   	204.52	ACR|1BASARM|2DMG|1VULN|1ASPD	1DUST|2FEWX|3ASPD|4MBVNT|5RCR|6aDMG|7VULN|8MSLREG|9BASARM
41	11452 12122	   	204.46	ACR|3VULN|3ASPD|1AART|1AAC	179VULN|2ERES|3AAC|49aASPD|5RCR|69DUST|8AART|9BPWR
42	12532 25261	   	204.34	ACR|3ASPD|1VULN|1DMG|1BEXP|1CDMG	1VULN|2BEXP|389ASPD|4RCVC|5RCR|6ERES|7CDMG|aDMG
43	12562 12132	   	204.29	ACR|2VULN|2ASPD|2BEXP|1AART|1AAC	17VULN|2aBEXP|34ASPD|5RCR|6DUST|8AART|9AAC
44	12252 63312	   	204.09	ACR|3VULN|2ASPD|2BEXP|1AART	138VULN|27BEXP|48ASPD|5RCR|68AEFBLL|8BPWR|9FEWX|aAART
45	12252 63322	   	204.09	ACR|3VULN|2ASPD|2BEXP|1AART	138VULN|27BEXP|48ASPD|5RCR|68AEFBLL|8BPWR|9LHND|aAART
46	12562 12124	 * 	203.11	ACR|2VULN|2ASPD|1DMG|1AART|1BEXP	17VULN|2BEXP|34ASPD|5RCR|6DUST|8AART|9LSRICY|aDMG
47	12252 53313	   	202.72	ACR|4VULN|3BEXP|2ASPD	1389VULN|278BEXP|48ASPD|5RCR|6RCVC|8BPWR|aMLV
48	12252 53314	   	202.72	ACR|4VULN|3BEXP|2ASPD	1389VULN|278BEXP|48ASPD|5RCR|6RCVC|8BPWR|aDMSP
49	12252 53315	   	202.72	ACR|4VULN|3BEXP|2ASPD	1389VULN|278BEXP|48ASPD|5RCR|6RCVC|8BPWR|aDUR
50	12252 63343	   	202.10	ACR|3VULN|3ASPD|2BEXP	138VULN|27BEXP|48aASPD|5RCR|68AEFBLL|8BPWR|9CGEN
51	12252 63353	   	202.00	ACR|3VULN|3ASPD|2BEXP	138VULN|27BEXP|48aASPD|5RCR|68AEFBLL|8BPWR|9AME
52	12252 63363	   	202.00	ACR|3VULN|3ASPD|2BEXP	138VULN|27BEXP|48aASPD|5RCR|68AEFBLL|8BPWR|9ERES
53	11361 23642	 * 	201.47	DCR|1BASARM|1VULN|2BEXP|1ASPD|1AART|1CDMG	1VULN|2ERES|38BEXP|4ASPD|5AART|6BASARM|7CDMG|9RCVC|aRCR
54	22544 44224	   	200.59	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1DUST|2FEWX|3ASPD|4MBVNT|5RCR|6DMG|7VULN|8MSLREG|9BASARM|aCDMG
55	12532 53313	   	200.39	ACR|3VULN|3BEXP|2ASPD	189VULN|278BEXP|38ASPD|46RCVC|5RCR|8BPWR|aMLV
56	12532 53314	   	200.39	ACR|3VULN|3BEXP|2ASPD	189VULN|278BEXP|38ASPD|46RCVC|5RCR|8BPWR|aDMSP
57	12532 53315	   	200.39	ACR|3VULN|3BEXP|2ASPD	189VULN|278BEXP|38ASPD|46RCVC|5RCR|8BPWR|aDUR
58	11361 23542	 * 	200.26	DCR|2VULN|1BASARM|1ASPD|1AART|1BEXP|1CDMG	18VULN|2ERES|3BEXP|4ASPD|5AART|6BASARM|7CDMG|9RCVC|aRCR
59	11361 23662	   	199.76	DCR|1BASARM|1VULN|2BEXP|1ASPD|1AART|1CDMG	1VULN|29ERES|38BEXP|4ASPD|5AART|6BASARM|7CDMG|aRCR
60	42544 31342	 * 	199.70	ACR|1BASARM|2ASPD|1AART|1BEXP	1LWND|2BEXP|3aASPD|4MBVNT|5RCR|6AME|7AART|8BASARM|9RCVC
61	12252 51328	   	199.66	ACR|4VULN|2ASPD|2BEXP|1AAC	1378VULN|28BEXP|48ASPD|5RCR|6RCVC|8BPWR|9MBVNT|aAAC
62	24544 44221	   	199.59	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DUST|2BEXP|3ASPD|4MBVNT|5RCR|6DMG|7VULN|8MSLREG|9BASARM|aRPLT
63	24544 44223	   	199.59	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DUST|2BEXP|3ASPD|4MBVNT|5RCR|6DMG|7VULN|8MSLREG|9BASARM|aLWND
64	12562 12131	   	199.46	ACR|3VULN|2ASPD|1AART|1BEXP|1AAC	17aVULN|2BEXP|34ASPD|5RCR|6DUST|8AART|9AAC
65	12532 12142	   	199.09	ACR|2VULN|2ASPD|2BEXP|1AART	17VULN|29BEXP|3aASPD|4RCVC|5RCR|6DUST|8AART
66	12562 12162	   	198.70	ACR|3ASPD|2VULN|1AART|1BEXP	17VULN|2BEXP|34aASPD|5RCR|69DUST|8AART
67	12562 12152	 * 	198.60	ACR|2VULN|2ASPD|2AART|1BEXP	17VULN|2BEXP|34ASPD|5RCR|6DUST|8aAART|9RPLT
68	11361 23562	   	198.55	DCR|2VULN|1BASARM|1ASPD|1AART|1BEXP|1CDMG	18VULN|29ERES|3BEXP|4ASPD|5AART|6BASARM|7CDMG|aRCR
69	42544 31314	   	198.27	ACR|1BASARM|1ASPD|1AART|1VULN|1BEXP	1LWND|2BEXP|3ASPD|4MBVNT|5RCR|6AME|7AART|8BASARM|9RPLT|aVULN
70	63533 44362	   	198.21	ACR|1BASARM|2DMG|1VULN|1CDMG	1LIT|2MBVNT|3DUR|49DMG|5RCR|6TLV|7VULN|8BASARM|aCDMG
71	12252 15142	   	198.19	ACR|2VULN|2ASPD|2BEXP|1AART	13VULN|29BEXP|4aASPD|5RCR|6DUST|7RCVC|8AART
72	12252 53323	   	197.41	ACR|3VULN|3BEXP|2ASPD	138VULN|278BEXP|48ASPD|5RCR|6RCVC|8BPWR|9FEWX|aZMB
73	12252 53333	   	197.41	ACR|3VULN|3BEXP|2ASPD	138VULN|278BEXP|48ASPD|5RCR|6RCVC|8BPWR|9DUR|aZMB
74	12252 53362	   	197.41	ACR|3VULN|3BEXP|2ASPD	138VULN|278BEXP|48ASPD|5RCR|6RCVC|8BPWR|9LIT|aLHND
75	12252 53363	   	197.41	ACR|3VULN|3BEXP|2ASPD	138VULN|278BEXP|48ASPD|5RCR|6RCVC|8BPWR|9LIT|aLWND
76	12252 52363	   	197.40	ACR|2VULN|2ASPD|1AART|1BEXP|1CDMG	13VULN|2BEXP|49ASPD|5RCR|6RCVC|7MLV|8CDMG|aAART
77	12532 51328	   	197.33	ACR|3VULN|2ASPD|2BEXP|1AAC	178VULN|28BEXP|38ASPD|46RCVC|5RCR|8BPWR|9MBVNT|aAAC
78	12252 53321	   	197.31	ACR|3VULN|3BEXP|2ASPD	138VULN|278BEXP|48ASPD|5RCR|6RCVC|8BPWR|9FEWX|aAEMAG
79	12252 53322	   	197.31	ACR|3VULN|3BEXP|2ASPD	138VULN|278BEXP|48ASPD|5RCR|6RCVC|8BPWR|9FEWX|aMBVNT
80	12252 53324	   	197.31	ACR|3VULN|3BEXP|2ASPD	138VULN|278BEXP|48ASPD|5RCR|6RCVC|8BPWR|9FEWX|aDUST
81	12252 53326	   	197.31	ACR|3VULN|3BEXP|2ASPD	138VULN|278BEXP|48ASPD|5RCR|6RCVC|8BPWR|9FEWX|aAEFBLL
82	12252 53331	   	197.31	ACR|3VULN|3BEXP|2ASPD	138VULN|278BEXP|48ASPD|5RCR|6RCVC|8BPWR|9DUR|aAEMAG
83	12252 53332	   	197.31	ACR|3VULN|3BEXP|2ASPD	138VULN|278BEXP|48ASPD|5RCR|6RCVC|8BPWR|9DUR|aMBVNT
84	12252 53334	   	197.31	ACR|3VULN|3BEXP|2ASPD	138VULN|278BEXP|48ASPD|5RCR|6RCVC|8BPWR|9DUR|aDUST
85	12252 53336	   	197.31	ACR|3VULN|3BEXP|2ASPD	138VULN|278BEXP|48ASPD|5RCR|6RCVC|8BPWR|9DUR|aAEFBLL
86	12252 53353	   	197.31	ACR|3VULN|3BEXP|2ASPD	138VULN|278BEXP|48ASPD|5RCR|6RCVC|8BPWR|9DUST|aZMB
87	12252 53361	   	197.31	ACR|3VULN|3BEXP|2ASPD	138VULN|278BEXP|48ASPD|5RCR|6RCVC|8BPWR|9LIT|aAME
88	12252 53351	   	197.21	ACR|3VULN|3BEXP|2ASPD	138VULN|278BEXP|48ASPD|5RCR|6RCVC|8BPWR|9DUST|aAEMAG
89	12252 53352	   	197.21	ACR|3VULN|3BEXP|2ASPD	138VULN|278BEXP|48ASPD|5RCR|6RCVC|8BPWR|9DUST|aMBVNT
90	63533 44364	   	197.21	ACR|1BASARM|2DMG|1VULN|1BEXP	1LIT|2MBVNT|3DUR|49DMG|5RCR|6TLV|7VULN|8BASARM|aBEXP
91	12532 63312	   	197.19	ACR|2VULN|2ASPD|2BEXP|1AART	18VULN|27BEXP|38ASPD|4RCVC|5RCR|68AEFBLL|8BPWR|9FEWX|aAART
92	12532 63322	   	197.19	ACR|2VULN|2ASPD|2BEXP|1AART	18VULN|27BEXP|38ASPD|4RCVC|5RCR|68AEFBLL|8BPWR|9LHND|aAART
93	42544 31344	 * 	196.95	ACR|1BASARM|2BEXP|1ASPD|1AART	1LWND|2aBEXP|3ASPD|4MBVNT|5RCR|6AME|7AART|8BASARM|9RCVC
94	12252 61312	   	196.56	ACR|4VULN|2ASPD|1AART|1BEXP	1378VULN|2BEXP|48ASPD|5RCR|68AEFBLL|8BPWR|9FEWX|aAART
95	12252 61322	   	196.56	ACR|4VULN|2ASPD|1AART|1BEXP	1378VULN|2BEXP|48ASPD|5RCR|68AEFBLL|8BPWR|9LHND|aAART
96	12532 63343	   	196.19	ACR|3ASPD|2VULN|2BEXP	18VULN|27BEXP|38aASPD|4RCVC|5RCR|68AEFBLL|8BPWR|9CGEN
97	12532 63353	   	196.09	ACR|3ASPD|2VULN|2BEXP	18VULN|27BEXP|38aASPD|4RCVC|5RCR|68AEFBLL|8BPWR|9AME
98	12532 63363	   	196.09	ACR|3ASPD|2VULN|2BEXP	18VULN|27BEXP|38aASPD|4RCVC|5RCR|68AEFBLL|8BPWR|9ERES
99	12252 16142	   	195.99	ACR|2VULN|2ASPD|2BEXP|1AART	13VULN|29BEXP|4aASPD|5RCR|6DUST|7DMSP|8AART
100	12562 12115	   	195.99	ACR|2VULN|2ASPD|2BEXP|1AART	17VULN|2aBEXP|34ASPD|5RCR|6DUST|8AART|9LHND
101	12562 12141	   	195.99	ACR|2VULN|2ASPD|2BEXP|1AART	17VULN|29BEXP|34ASPD|5RCR|6DUST|8AART|aCGEN
102	12562 12121	   	195.89	ACR|2VULN|2ASPD|2BEXP|1AART	17VULN|2aBEXP|34ASPD|5RCR|6DUST|8AART|9LSRICY
103	12562 12143	   	195.89	ACR|2VULN|2ASPD|2BEXP|1AART	17VULN|29BEXP|34ASPD|5RCR|6DUST|8AART|aSPLREG
104	25252 13142	   	195.89	ACR|2VULN|2ASPD|2BEXP|1AART	16DUST|23VULN|4aASPD|5RCR|79BEXP|8AART
105	11452 15122	   	195.66	ACR|3ASPD|2VULN|1AART|1AAC	19VULN|2ERES|3AAC|49aASPD|5RCR|69DUST|7RCVC|8AART|9BPWR
