0	Index      	 *	Score 	Summary	Detail	
1	62422 52313	 * 	222.74	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1DUR|2VULN|3AAC|4ASPD|5RCR|6MDPS|7CDMG|8BEXP|9DMG|aBASARM
30	11343 35262	   	212.21	ACR|1BASARM|2ASPD|1VULN|1AART	1TLV|2VULN|3AART|4RCR|5aASPD|6RPLT|7CGEN|8BASARM|9ERES
31	11333 54624	 * 	210.58	ACR|1BASARM|1VULN|1AART|1BASICY|1CDMG|1AAC	1TLV|2VULN|3AART|4CDMG|5RCR|6AAC|7MBVNT|8BASICY|9DUR|aBASARM
32	11345 33261	   	210.46	ACR|2VULN|2BEXP|1AART|1DMG|1CDMG|1AAC	17TLV|27VULN|3AART|4RCR|57BEXP|6RMIN|7BPWR|8CDMG|9AAC|aDMG
33	11333 44631	 * 	210.21	ACR|2VULN|2DMG|1AART|1ASPD|1CDMG	1TLV|26VULN|3AART|4CDMG|5RCR|7ASPD|8DUR|9aDMG
34	11333 53542	 * 	209.94	ACR|3VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1TLV|279VULN|3AART|4CDMG|5RCR|6AAC|8ASPD|aDMG
35	16612 22234	 * 	209.60	ACR|2ASPD|2VULN|2BEXP|2CDMG	18TLV|2aASPD|3RCR|48LHND|5LWND|6aBEXP|78CDMG|8aBPWR|9aVULN
36	62422 52113	   	209.09	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG|1AAC	1DUR|2VULN|3AAC|4ASPD|5RCR|6MDPS|7CDMG|8LWND|9DMG|aBASARM
37	11333 44126	 * 	209.08	ACR|2VULN|2AART|1ASPD|1DMG|1CDMG	1TLV|26VULN|39AART|4CDMG|5RCR|7ASPD|8LHND|aDMG
38	11341 61351	 * 	209.08	ACR|1BASARM|2AART|1VULN|1ASPD	1TLV|2VULN|3aAART|4RCR|5LWND|6MSLREG|7CGEN|8BASARM|9ASPD
39	41345 23314	 * 	208.86	ACR|3VULN|2DMG|2AART	17ERES|279VULN|3aAART|4RCR|57DMG|6MBVNT|7BPWR|8RCVC
40	41345 21434	 * 	208.17	ACR|1BASARM|1VULN|1AART|1DMG|1CDMG	1ERES|2VULN|3AART|4RCR|5DMG|6MBVNT|7DUR|8LSRICY|9CDMG|aBASARM
41	11345 32631	 * 	207.91	ACR|2ASPD|2AART|1VULN|2BEXP	18TLV|2VULN|3aAART|4RCR|58BEXP|6RMIN|78ASPD|8BPWR|9CGEN
42	41343 26432	   	207.79	ACR|2DMG|1VULN|1AART|1ASPD|1CDMG|1AAC	1ERES|2VULN|3AART|4RCR|5ASPD|6MBVNT|7CDMG|8AAC|9aDMG
43	11343 25184	   	207.27	ACR|1BASARM|1VULN|1AART|1ASPD|1BEXP	1TLV|2VULN|3AART|4RCR|5ASPD|6MBVNT|7RPLT|8RMIN|9BEXP|aBASARM
44	11333 53562	 * 	207.24	ACR|2VULN|1AART|1ASPD|1DMG|2CDMG|1AAC	1TLV|27VULN|3AART|49CDMG|5RCR|6AAC|8ASPD|aDMG
45	11333 45422	   	207.05	ACR|3VULN|2BEXP|1AART|1DMG|1CDMG	1TLV|267VULN|3AART|4CDMG|5RCR|89BEXP|aDMG
46	41343 22514	 * 	206.86	ACR|3VULN|2ASPD|2AART	1ERES|289VULN|3aAART|4RCR|57ASPD|6MBVNT
47	62422 23114	   	206.82	ACR|2VULN|2DMG|1ASPD|1BEXP|1CDMG|1AAC	1DUR|2aVULN|3AAC|4ASPD|5RCR|6BEXP|7aCGEN|8CDMG|9aDMG|aBPWR
48	61143 63332	   	206.39	ACR|2AART|2DMG|1VULN|1ASPD	1DUR|2CGEN|36AART|4RCR|5ASPD|7VULN|8RCVC|9aDMG
49	11343 35221	   	206.35	ACR|1BASARM|2VULN|1AART|1ASPD	1TLV|29VULN|3AART|4RCR|5ASPD|6RPLT|7CGEN|8BASARM|aLWND
50	11343 35222	   	206.35	ACR|1BASARM|2VULN|1AART|1ASPD	1TLV|29VULN|3AART|4RCR|5ASPD|6RPLT|7CGEN|8BASARM|aFEWX
51	11343 35241	   	206.35	ACR|1BASARM|2VULN|1AART|1ASPD	1TLV|2aVULN|3AART|4RCR|5ASPD|6RPLT|7CGEN|8BASARM|9RMIN
52	43143 63332	   	206.29	ACR|2AART|2DMG|1VULN|1ASPD	1ERES|2DUR|36AART|4RCR|5ASPD|7VULN|8RCVC|9aDMG
53	11343 34221	   	206.25	ACR|1BASARM|2VULN|1AART|1ASPD	1TLV|29VULN|3AART|4RCR|5ASPD|6RPLT|7ERES|8BASARM|aLWND
54	11343 34222	   	206.25	ACR|1BASARM|2VULN|1AART|1ASPD	1TLV|29VULN|3AART|4RCR|5ASPD|6RPLT|7ERES|8BASARM|aFEWX
55	11343 34241	   	206.25	ACR|1BASARM|2VULN|1AART|1ASPD	1TLV|2aVULN|3AART|4RCR|5ASPD|6RPLT|7ERES|8BASARM|9RMIN
56	11343 34261	   	206.25	ACR|1BASARM|2VULN|1AART|1ASPD	1TLV|2aVULN|3AART|4RCR|5ASPD|6RPLT|7ERES|8BASARM|9CGEN
57	11343 35223	   	206.25	ACR|1BASARM|2VULN|1AART|1ASPD	1TLV|29VULN|3AART|4RCR|5ASPD|6RPLT|7CGEN|8BASARM|aERES
58	11343 35225	   	206.25	ACR|1BASARM|2VULN|1AART|1ASPD	1TLV|29VULN|3AART|4RCR|5ASPD|6RPLT|7CGEN|8BASARM|aAEFBLL
59	11343 35261	   	206.25	ACR|1BASARM|2VULN|1AART|1ASPD	1TLV|2aVULN|3AART|4RCR|5ASPD|6RPLT|7CGEN|8BASARM|9ERES
60	11333 44216	   	206.18	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP|1CDMG	1TLV|26VULN|3AART|4CDMG|5RCR|7ASPD|8RCVC|9BEXP|aDMG
61	11341 62316	 * 	206.15	ACR|2VULN|1BASARM|1AART|1DMG	18TLV|27VULN|3AART|4RCR|5LWND|6MSLREG|9BASARM|aDMG
62	11343 34223	   	206.15	ACR|1BASARM|2VULN|1AART|1ASPD	1TLV|29VULN|3AART|4RCR|5ASPD|6RPLT|7aERES|8BASARM
63	11343 34225	   	206.15	ACR|1BASARM|2VULN|1AART|1ASPD	1TLV|29VULN|3AART|4RCR|5ASPD|6RPLT|7ERES|8BASARM|aAEFBLL
64	11344 43313	   	206.15	ACR|1BASARM|2VULN|1AART|1ASPD	1TLV|2aVULN|3AART|4RCR|5AEMAG|6SNIHEL|7ASPD|8RMIN|9BASARM
65	11345 42232	   	206.07	ACR|2VULN|3BEXP|1AART|1DMG|1AAC	1TLV|26VULN|3AART|4RCR|567BEXP|6BPWR|8AAC|9DMG|aLHND
66	11345 42233	   	206.07	ACR|2VULN|3BEXP|1AART|1DMG|1AAC	1TLV|26VULN|3AART|4RCR|567BEXP|6BPWR|8AAC|9DMG|aLWND
67	11345 51232	   	206.07	ACR|2VULN|3BEXP|1AART|1DMG|1AAC	17TLV|27VULN|3AART|4RCR|567BEXP|7BPWR|8AAC|9DMG|aLHND
68	11345 51233	   	206.07	ACR|2VULN|3BEXP|1AART|1DMG|1AAC	17TLV|27VULN|3AART|4RCR|567BEXP|7BPWR|8AAC|9DMG|aLWND
69	11345 42231	   	205.97	ACR|2VULN|3BEXP|1AART|1DMG|1AAC	1TLV|26VULN|3AART|4RCR|567BEXP|6BPWR|8AAC|9DMG|aMULARM
70	11345 51231	   	205.97	ACR|2VULN|3BEXP|1AART|1DMG|1AAC	17TLV|27VULN|3AART|4RCR|567BEXP|7BPWR|8AAC|9DMG|aMULARM
71	13143 61612	   	204.38	ACR|2AART|2DMG|1VULN|1ASPD	1TLV|2DUR|36AART|4RCR|5ASPD|7aDMG|8VULN|9RMIN
72	13143 61632	   	204.28	ACR|2AART|2DMG|1VULN|1ASPD	1TLV|2DUR|36AART|4RCR|5ASPD|7aDMG|8VULN|9AEMAG
73	11333 13521	   	204.27	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP|1CDMG	1TLV|27VULN|3AART|4CDMG|5RCR|6CGEN|8ASPD|9BEXP|aDMG
74	11333 44152	   	204.27	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP|1CDMG	1TLV|26VULN|3AART|4CDMG|5RCR|7ASPD|8LHND|9BEXP|aDMG
75	11333 41521	   	204.17	ACR|2VULN|1AART|1ASPD|1DMG|1BEXP|1CDMG	1TLV|26VULN|3AART|4CDMG|5RCR|7ERES|8ASPD|9BEXP|aDMG
76	11345 33131	 * 	203.95	ACR|2VULN|2AART|2BEXP|1DMG	17TLV|27VULN|3aAART|4RCR|57BEXP|6RMIN|7BPWR|8DMG|9CGEN
77	11341 62511	   	203.54	ACR|2VULN|1BASARM|2AART	1TLV|27VULN|38AART|4RCR|5LWND|6MSLREG|9BASARM|aDUST
78	11341 62512	   	203.54	ACR|2VULN|1BASARM|2AART	1TLV|27VULN|38AART|4RCR|5LWND|6MSLREG|9BASARM|aMDPS
79	11343 34532	 * 	203.42	ACR|2DMG|2ASPD|1VULN|1AART	1TLV|2VULN|3AART|4RCR|58ASPD|6RPLT|7ERES|9aDMG
80	16612 22334	   	203.09	ACR|2ASPD|2VULN|2BEXP|1CDMG	1TLV|2aASPD|3RCR|4LHND|5LWND|6aBEXP|7CDMG|8RCVC|9aVULN|aBPWR
81	41345 23313	   	203.06	ACR|3VULN|2DMG|1AART|1BEXP	17ERES|279VULN|3AART|4RCR|57DMG|6MBVNT|7BPWR|8RCVC|aBEXP
82	11333 52531	   	202.79	ACR|2DMG|1VULN|1AART|1ASPD|1CDMG|1AAC	1TLV|2VULN|3AART|4CDMG|5RCR|6AAC|7ERES|8ASPD|9aDMG
83	62215 53313	 * 	202.55	ACR|2VULN|3BEXP|2DMG|1CDMG	1DUR|2aVULN|3ZMB|4LWND|5RCR|68aBEXP|7CDMG|9aDMG|aBPWR
84	11345 42221	   	202.46	ACR|2VULN|3BEXP|2AART|1AAC	1TLV|26VULN|39AART|4RCR|567BEXP|6BPWR|8AAC|aZMB
85	11345 51221	   	202.46	ACR|2VULN|3BEXP|2AART|1AAC	17TLV|27VULN|39AART|4RCR|567BEXP|7BPWR|8AAC|aZMB
86	11345 42223	   	202.36	ACR|2VULN|3BEXP|2AART|1AAC	1TLV|26VULN|39AART|4RCR|567BEXP|6BPWR|8AAC|aMDPS
87	11345 51223	   	202.36	ACR|2VULN|3BEXP|2AART|1AAC	17TLV|27VULN|39AART|4RCR|567BEXP|7BPWR|8AAC|aMDPS
88	11345 52222	   	202.36	ACR|2VULN|3BEXP|2AART|1AAC	1TLV|2aVULN|39AART|4RCR|567BEXP|8AAC
89	11345 33142	   	202.15	ACR|2VULN|2BEXP|1AART|1DMG|1CDMG	17TLV|27VULN|3AART|4RCR|57BEXP|6RMIN|7BPWR|8DMG|9CDMG|aZMB
90	11345 33226	   	202.15	ACR|2VULN|2BEXP|1AART|1DMG|1CDMG	17TLV|27VULN|3AART|4RCR|57BEXP|6RMIN|7BPWR|8CDMG|9DMSP|aDMG
91	11345 33232	   	202.15	ACR|2VULN|2BEXP|1AART|1DMG|1CDMG	17TLV|27VULN|3AART|4RCR|57BEXP|6RMIN|7BPWR|8CDMG|9DMG|aZMB
92	11345 33234	   	202.15	ACR|2VULN|2BEXP|1AART|1DMG|1CDMG	17TLV|27VULN|3AART|4RCR|57BEXP|6aRMIN|7BPWR|8CDMG|9DMG
93	11345 33143	   	202.05	ACR|2VULN|2BEXP|1AART|1DMG|1CDMG	17TLV|27VULN|3AART|4RCR|57BEXP|6RMIN|7BPWR|8DMG|9CDMG|aAEMAG
94	11345 33212	   	202.05	ACR|2VULN|2BEXP|1AART|1DMG|1CDMG	17TLV|27VULN|3AART|4RCR|57BEXP|6RMIN|7BPWR|8CDMG|9DUST|aDMG
95	11345 33233	   	202.05	ACR|2VULN|2BEXP|1AART|1DMG|1CDMG	17TLV|27VULN|3AART|4RCR|57BEXP|6RMIN|7BPWR|8CDMG|9DMG|aAEMAG
96	11345 33236	   	202.05	ACR|2VULN|2BEXP|1AART|1DMG|1CDMG	17TLV|27VULN|3AART|4RCR|57BEXP|6RMIN|7BPWR|8CDMG|9DMG|aERES
97	11343 35236	   	201.93	ACR|1BASARM|1VULN|1AART|1ASPD|1AAC	19TLV|2VULN|3AART|4RCR|5ASPD|6RPLT|7CGEN|8BASARM|aAAC
98	11343 34236	   	201.83	ACR|1BASARM|1VULN|1AART|1ASPD|1AAC	19TLV|2VULN|3AART|4RCR|5ASPD|6RPLT|7ERES|8BASARM|aAAC
99	11333 44511	   	201.80	ACR|2VULN|2ASPD|1AART|1BEXP|1CDMG	1TLV|26VULN|3AART|4CDMG|5RCR|78ASPD|9BEXP|aRPLT
100	11333 44512	   	201.80	ACR|2VULN|2ASPD|1AART|1BEXP|1CDMG	1TLV|26VULN|3AART|4CDMG|5RCR|78ASPD|9BEXP|aZMB
101	11333 44513	   	201.70	ACR|2VULN|2ASPD|1AART|1BEXP|1CDMG	1TLV|26VULN|3AART|4CDMG|5RCR|78ASPD|9BEXP|aAEMAG
102	62422 52323	   	201.68	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1AAC	1DUR|2VULN|3AAC|4ASPD|5RCR|6MDPS|7CDMG|8BEXP|9LHND|aBASARM
103	11333 13542	   	201.63	ACR|3VULN|1AART|1ASPD|1DMG|1CDMG	1TLV|279VULN|3AART|4CDMG|5RCR|6CGEN|8ASPD|aDMG
104	11333 44361	   	201.63	ACR|3VULN|1AART|1ASPD|1DMG|1CDMG	1TLV|26aVULN|3AART|4CDMG|5RCR|7ASPD|8LIT|9DMG
105	11333 41542	   	201.53	ACR|3VULN|1AART|1DMG|1ASPD|1CDMG	1TLV|269VULN|3AART|4CDMG|5RCR|7ERES|8ASPD|aDMG
106	41343 26231	   	201.39	ACR|2DMG|1VULN|1AART|1ASPD|1CDMG	1ERES|2VULN|3AART|4RCR|5ASPD|6MBVNT|7CDMG|8RCVC|9aDMG
107	62422 12214	   	201.28	ACR|2VULN|2DMG|1ASPD|2CDMG|1AAC	1DUR|2aVULN|3AAC|4ASPD|5RCR|6DUST|7aCDMG|8TLV|9aDMG|aBPWR
108	16612 22134	   	201.19	ACR|2ASPD|2VULN|2BEXP|1CDMG	1TLV|2aASPD|3RCR|4LHND|58LWND|6aBEXP|7CDMG|9aVULN|aBPWR
109	41343 12413	   	201.15	ACR|3VULN|2ASPD|1AART|1BEXP	1ERES|289VULN|3AART|4RCR|57ASPD|6LHND|aBEXP
110	41343 22513	   	201.05	ACR|3VULN|2ASPD|1AART|1BEXP	1ERES|289VULN|3AART|4RCR|57ASPD|6MBVNT|aBEXP
111	62222 52113	   	200.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1DUR|2VULN|3ZMB|4ASPD|5RCR|6MDPS|7CDMG|8LWND|9DMG|aBASARM
112	11343 22382	   	200.39	ACR|2ASPD|1VULN|1AART|1DMG|1BEXP	1TLV|2VULN|3AART|4RCR|57ASPD|6MBVNT|8RCVC|9BEXP|aDMG
113	41343 22354	   	200.39	ACR|2ASPD|1VULN|1AART|1DMG|1BEXP	1ERES|2VULN|3AART|4RCR|57ASPD|6MBVNT|8RCVC|9DMG|aBEXP
114	41343 22382	   	200.39	ACR|2ASPD|1VULN|1AART|1DMG|1BEXP	1ERES|2VULN|3AART|4RCR|57ASPD|6MBVNT|8RCVC|9BEXP|aDMG
115	13143 61211	 * 	200.24	ACR|3AART|1VULN|1ASPD|1DMG	1TLV|2DUR|36aAART|4RCR|5ASPD|7DMG|8CGEN|9VULN
116	61143 61111	   	200.24	ACR|3AART|1VULN|1ASPD|1DMG	1DUR|2CGEN|36aAART|4RCR|5ASPD|7DMG|8TLV|9VULN
117	16516 13111	 * 	200.20	ACR|2ASPD|1VULN|2CDMG|1DMG|1BEXP|1AAC	1TLV|27ASPD|3DMG|46CDMG|5RCR|8BEXP|9VULN|aAAC
118	43143 61111	   	200.14	ACR|3AART|1VULN|1DMG|1ASPD	1ERES|2DUR|36aAART|4RCR|5ASPD|7DMG|8TLV|9VULN
119	62422 51112	 * 	199.93	ACR|3ASPD|2DMG|1VULN|1AAC	1aDUR|2VULN|3AAC|48aASPD|5RCR|69MDPS|7aDMG|aBPWR
120	11341 32641	   	199.68	ACR|2ASPD|1VULN|1AART|1DMG|1CDMG	18TLV|2VULN|3AART|4RCR|58LWND|6RMIN|78ASPD|8BPWR|9CDMG|aDMG
121	11343 15332	   	199.58	ACR|2DMG|1VULN|1AART|1ASPD|1CDMG	1TLV|2VULN|3AART|4RCR|5ASPD|6LHND|7CDMG|8aDMG|9ZMB
122	11343 15351	   	199.58	ACR|2DMG|1VULN|1AART|1ASPD|1CDMG	1TLV|2VULN|3AART|4RCR|5ASPD|69LHND|7CDMG|8aDMG
123	41343 12431	 * 	199.56	ACR|2VULN|2ASPD|1AART|1DMG	1ERES|28VULN|3AART|4RCR|57ASPD|6LHND|9DMG|aDUR
124	11343 12141	   	199.48	ACR|2ASPD|1VULN|1AART|1DMG|1CDMG	1TLV|2VULN|3AART|4RCR|57ASPD|6LHND|8NUKE|9CDMG|aDMG
125	11343 12441	   	199.48	ACR|2ASPD|1VULN|1AART|1DMG|1CDMG	1TLV|2VULN|3AART|4RCR|57ASPD|6LHND|8ERES|9CDMG|aDMG
126	11343 15132	   	199.48	ACR|2DMG|1VULN|1AART|1ASPD|1CDMG	1TLV|2VULN|3AART|4RCR|5ASPD|6LHND|7CDMG|8ERES|9aDMG
127	11343 15322	   	199.48	ACR|2DMG|1VULN|1AART|1ASPD|1CDMG	1TLV|2VULN|3AART|4RCR|5ASPD|6LHND|7CDMG|8aDMG|9ERES
128	11343 26632	   	199.48	ACR|2DMG|1VULN|1AART|1ASPD|1CDMG	1TLV|2VULN|3AART|4RCR|5ASPD|6MBVNT|7CDMG|8aDMG|9ZMB
129	11343 26642	   	199.48	ACR|2DMG|1VULN|1AART|1ASPD|1CDMG	1TLV|2VULN|3AART|4RCR|5ASPD|6MBVNT|7CDMG|8aDMG|9CGEN
130	11343 51341	   	199.48	ACR|2ASPD|1VULN|1AART|1DMG|1CDMG	17TLV|2VULN|3AART|4RCR|57ASPD|67AME|7BPWR|8DUR|9CDMG|aDMG
131	11343 65132	   	199.48	ACR|2DMG|1VULN|1AART|1ASPD|1CDMG	1TLV|2VULN|3AART|4RCR|5ASPD|6DUR|7CDMG|8ERES|9aDMG
132	41343 12141	   	199.48	ACR|2ASPD|1VULN|1AART|1DMG|1CDMG	1ERES|2VULN|3AART|4RCR|57ASPD|6LHND|8NUKE|9CDMG|aDMG
133	41343 26332	   	199.48	ACR|2DMG|1VULN|1AART|1ASPD|1CDMG	1ERES|2VULN|3AART|4RCR|5ASPD|6MBVNT|7CDMG|8CGEN|9aDMG
134	11343 34432	   	199.46	ACR|2VULN|2DMG|1AART|1ASPD	1TLV|28VULN|3AART|4RCR|5ASPD|6RPLT|7ERES|9aDMG
135	41343 12432	   	199.46	ACR|2VULN|2ASPD|1AART|1DMG	1ERES|28VULN|3AART|4RCR|57ASPD|6LHND|9DMG|aDLOT
136	41343 12433	   	199.46	ACR|2VULN|2ASPD|1AART|1DMG	1aERES|28VULN|3AART|4RCR|57ASPD|6LHND|9DMG
137	41343 22522	   	199.46	ACR|2VULN|2ASPD|1AART|1DMG	1ERES|28VULN|3AART|4RCR|57ASPD|6MBVNT|9DUR|aDMG
138	11343 22151	   	199.38	ACR|2ASPD|1VULN|1AART|1DMG|1CDMG	1TLV|2VULN|3AART|4RCR|57ASPD|6MBVNT|8NUKE|9CDMG|aDMG
139	11343 22551	   	199.38	ACR|2ASPD|1VULN|1AART|1DMG|1CDMG	1TLV|2VULN|3AART|4RCR|57ASPD|6MBVNT|8ERES|9CDMG|aDMG
140	11343 26132	   	199.38	ACR|2DMG|1VULN|1AART|1ASPD|1CDMG	1TLV|2VULN|3AART|4RCR|5ASPD|6MBVNT|7CDMG|8ERES|9aDMG
141	11343 26622	   	199.38	ACR|2DMG|1VULN|1AART|1ASPD|1CDMG	1TLV|2VULN|3AART|4RCR|5ASPD|6MBVNT|7CDMG|8aDMG|9ERES
142	41343 22151	   	199.38	ACR|2ASPD|1VULN|1AART|1DMG|1CDMG	1ERES|2VULN|3AART|4RCR|57ASPD|6MBVNT|8NUKE|9CDMG|aDMG
143	41343 26131	   	199.38	ACR|2DMG|1VULN|1AART|1ASPD|1CDMG	18ERES|2VULN|3AART|4RCR|5ASPD|6MBVNT|7CDMG|9aDMG
144	11344 43123	   	199.36	ACR|2VULN|2ASPD|1AART|1DMG	1TLV|28VULN|3AART|4RCR|5AEMAG|6SNIHEL|7aASPD|9DMG
145	11343 51413	   	199.36	ACR|2VULN|2ASPD|1AART|1BEXP|1AAC	17TLV|29VULN|3AART|4RCR|57ASPD|67AME|7BPWR|8AAC|aBEXP
146	14613 23115	   	199.35	ACR|1BASARM|2VULN|1DMG|1BEXP	1TLV|2CGEN|3RCR|4LHND|5LIT|68VULN|7DMG|9BASARM|aBEXP
147	16652 22233	   	199.32	ACR|2ASPD|2DMG|1VULN|1CDMG	1TLV|26ASPD|3RCR|49ERES|5aDMG|7VULN|8CDMG
148	11333 13562	   	198.94	ACR|2VULN|1AART|1ASPD|1DMG|2CDMG	1TLV|27VULN|3AART|49CDMG|5RCR|6CGEN|8ASPD|aDMG
149	11333 44363	   	198.94	ACR|2VULN|1AART|1ASPD|2CDMG|1DMG	1TLV|26VULN|3AART|4aCDMG|5RCR|7ASPD|8LIT|9DMG
150	16516 13122	 * 	198.93	ACR|2ASPD|3CDMG|1DMG|1VULN|1BEXP	1TLV|27ASPD|3DMG|469CDMG|5RCR|8BEXP|aVULN
151	11333 53516	   	198.93	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1TLV|27VULN|3AART|4CDMG|5RCR|6AAC|8ASPD|9MLV|aDMG
152	11333 53531	   	198.93	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1TLV|27VULN|3AART|4CDMG|5RCR|6AAC|8ASPD|9FEWX|aDMG
153	11333 53551	   	198.93	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1TLV|27VULN|3AART|4CDMG|5RCR|6AAC|8ASPD|9LHND|aDMG
