0	Index      	 *	Score 	Summary	Detail	
1	52232 22313	 * 	238.39	ACR|3VULN|3DMG|1BASARM	13aDMG|2RCR|4MSLTOX|568VULN|7LWND|9BASARM
61	52212 34621	   	219.50	ACR|3DMG|1BASARM|1AART|1AAC	134DMG|2RCR|5AART|6ZMB|7AME|8BASARM|9LHND|aAAC
62	52232 22311	   	219.45	ACR|3VULN|1BASARM|2DMG	13DMG|2RCR|4MSLTOX|568VULN|7LWND|9BASARM|aLIT
63	52232 22312	   	219.45	ACR|3VULN|1BASARM|2DMG	13DMG|2RCR|4MSLTOX|568VULN|7LWND|9BASARM|aDUR
64	52232 22314	   	219.45	ACR|3VULN|1BASARM|2DMG	13DMG|2RCR|4MSLTOX|568VULN|7LWND|9BASARM|aCGEN
65	52232 22315	   	219.45	ACR|3VULN|1BASARM|2DMG	13DMG|2RCR|4MSLTOX|568VULN|7LWND|9BASARM|aRMIN
66	52212 26631	   	219.40	ACR|3DMG|1BASARM|1AART|1AAC	134DMG|2RCR|5AART|6ERES|7ZMB|8BASARM|9LEGI|aAAC
67	52212 34631	   	219.40	ACR|3DMG|1BASARM|1AART|1AAC	134DMG|2RCR|5AART|6ZMB|7AME|8BASARM|9LEGI|aAAC
68	52232 22316	   	219.35	ACR|3VULN|1BASARM|2DMG	13DMG|2RCR|4MSLTOX|568VULN|7LWND|9BASARM|aAME
69	52432 22313	   	219.35	ACR|3VULN|1BASARM|2DMG	1aDMG|2RCR|3AEFBLL|4MSLTOX|568VULN|7LWND|9BASARM
70	52252 61321	 * 	218.86	ACR|3DMG|3BEXP|1VULN|1CDMG	135DMG|2RCR|4CDMG|6VULN|7BELT|89aBEXP
71	52616 22132	   	218.43	ACR|2VULN|3DMG|1ASPD|1AART	168DMG|2RCR|3ERES|48VULN|5RPLT|78DUR|8BPWR|9AART|aASPD
72	33344 62331	 * 	218.04	ACR|3BEXP|1BASICY|2CDMG|1DMG|1ASPD	17LWND|2RCR|347BEXP|57CDMG|6RCVC|7BPWR|8ASPD|9BASICY|aDMG
73	52263 33241	   	218.04	ACR|3DMG|2ASPD|1VULN|1BEXP	136DMG|2RCR|4CGEN|59ASPD|7BEXP|8LIT|aVULN
74	52253 11361	   	217.71	ACR|3DMG|1VULN|1ASPD|1AART|1CDMG	139DMG|2RCR|4CDMG|5ERES|6AART|7ASPD|8RCVC|aVULN
75	52215 51212	   	217.71	ACR|3DMG|1BASARM|1ASPD	134DMG|2RCR|5FEWX|6BELT|7LIT|8BASARM|9LHND|aASPD
76	52215 63212	   	217.71	ACR|3DMG|1BASARM|1ASPD	134DMG|2RCR|5FEWX|6LIT|7BELT|8BASARM|9LHND|aASPD
77	52223 32551	   	217.51	ACR|3DMG|1BASARM|1ASPD	138DMG|2RCR|4AAC|5ASPD|6DUR|7MDPS|9BASARM|aCGEN
78	52223 32553	   	217.51	ACR|3DMG|1BASARM|1ASPD	138DMG|2RCR|4AAC|5ASPD|6DUR|7MDPS|9BASARM|aDMSP
79	52234 35333	   	217.51	ACR|3DMG|1BASARM|1ASPD	139DMG|2RCR|4MSLTOX|5DUR|6CGEN|7ASPD|8BASARM|aDUST
80	52614 13122	   	217.45	ACR|3VULN|2DMG|2CDMG|1AART	18DMG|2RCR|3ERES|468VULN|58CDMG|7MDPS|8BPWR|9AART|aFEWX
81	52213 23346	 * 	217.45	ACR|3DMG|2VULN|3BEXP	134DMG|2RCR|5aAEMAG|67aBEXP|8aVULN|9RMIN|aBPWR
82	52223 32552	   	217.41	ACR|3DMG|1BASARM|1ASPD	138DMG|2RCR|4AAC|5ASPD|6DUR|7MDPS|9BASARM|aAEMAG
83	52614 13123	   	217.35	ACR|3VULN|2DMG|2CDMG|1AART	18DMG|2RCR|3ERES|468VULN|58CDMG|7MDPS|8BPWR|9AART|aMBVNT
84	52232 51431	   	216.91	ACR|1BASARM|2DMG|1VULN|1ASPD	13DMG|2RCR|4MSLTOX|5VULN|6RMIN|7DUR|8BASARM|9ASPD|aBELT
85	52232 51432	   	216.91	ACR|1BASARM|2DMG|1VULN|1ASPD	13DMG|2RCR|4MSLTOX|5VULN|6RMIN|7DUR|8BASARM|9ASPD|aLHND
86	52234 15323	   	216.91	ACR|1BASARM|2DMG|1ASPD|1VULN	13DMG|2RCR|4MSLTOX|5DUR|69MLV|7ASPD|8BASARM|aVULN
87	52232 51413	   	216.81	ACR|1BASARM|2DMG|1VULN|1ASPD	13DMG|2RCR|4MSLTOX|5VULN|6RMIN|7DUR|8BASARM|9AME|aASPD
88	52252 51211	   	216.63	ACR|3DMG|1VULN|1ASPD|1CDMG|1AART	135DMG|2RCR|4CDMG|6DMSP|7ASPD|8AART|9RMIN|aVULN
89	33235 26161	 * 	216.50	ACR|1BASARM|2AART|1ASPD|1BEXP|1CDMG	1LWND|2RCR|3VENICY|4CGEN|57AART|6CDMG|8BASARM|9ASPD|aBEXP
90	52614 13112	   	216.28	ACR|3VULN|3DMG|2CDMG	18aDMG|2RCR|3ERES|468VULN|58CDMG|7MDPS|8BPWR|9TLV
91	52232 21126	   	216.23	ACR|2VULN|2DMG|1ASPD|1CDMG|1AART	13DMG|2RCR|4MSLTOX|56VULN|7ASPD|8AART|9RMIN|aCDMG
92	52253 11111	   	216.23	ACR|2VULN|2DMG|1ASPD|1AART|1CDMG	13DMG|2RCR|4CDMG|5ERES|6AART|7ASPD|8LWND|9aVULN
93	52253 11511	   	216.23	ACR|2VULN|2DMG|1ASPD|1AART|1CDMG	13DMG|2RCR|4CDMG|5ERES|6AART|7ASPD|8LHND|9aVULN
94	52333 41353	   	216.13	ACR|2VULN|2DMG|2CDMG|1AART|1BEXP	19DMG|2RCR|3DUST|49VULN|5MDPS|6BEXP|7ERES|89CDMG|9BPWR|aAART
95	52232 21111	 * 	215.96	ACR|2VULN|2DMG|2AART|1ASPD	13DMG|2RCR|4MSLTOX|56VULN|7ASPD|8aAART|9ERES
96	52211 66311	   	215.82	ACR|3DMG|2VULN|1ASPD|1CDMG|1SELL	134DMG|2RCR|5LIT|6CDMG|7SELL|89VULN|aASPD
97	52252 22621	   	215.82	ACR|3DMG|2VULN|1ASPD|1CDMG|1SELL	135DMG|2RCR|4CDMG|6SELL|78VULN|9LIT|aASPD
98	52213 23351	   	215.80	ACR|3DMG|2BEXP|1VULN|1CDMG|1AAC	134DMG|2RCR|5AEMAG|67BEXP|8VULN|9CDMG|aAAC
99	52232 11611	   	215.72	ACR|3DMG|2VULN|2CDMG|1BEXP|1SELL	13aDMG|2RCR|4MSLTOX|5aVULN|6SNITOX|7SELL|8BEXP|9aCDMG|aBPWR
100	52234 15322	   	215.61	ACR|1BASARM|2DMG|1ASPD|1AART	13DMG|2RCR|4MSLTOX|5DUR|69MLV|7ASPD|8BASARM|aAART
101	52234 35322	   	215.61	ACR|1BASARM|2DMG|1ASPD|1CDMG	13DMG|2RCR|4MSLTOX|5DUR|6CGEN|7ASPD|8BASARM|9MLV|aCDMG
102	52251 21147	 * 	215.41	ACR|1BASARM|2DMG|2CDMG|1BEXP	13DMG|2RCR|48CDMG|5BEXP|6TLV|7MBVNT|9RPLT|aBASARM
103	52212 11625	   	215.37	ACR|3DMG|1VULN|1ASPD|1AART|1BEXP	134DMG|2RCR|5AART|6LWND|7LHND|8VULN|9BEXP|aASPD
104	52212 12625	   	215.37	ACR|3DMG|1VULN|1ASPD|1AART|1BEXP	134DMG|2RCR|5AART|6LWND|7DUR|8VULN|9BEXP|aASPD
105	52216 62133	   	215.37	ACR|3DMG|1VULN|1ASPD|1BEXP|1AART	134DMG|2RCR|5CGEN|6LIT|7AART|8VULN|9BEXP|aASPD
106	52232 35136	   	215.27	ACR|3DMG|1VULN|1ASPD|1BEXP|1AART	137DMG|2RCR|4MSLTOX|5VULN|6BELT|8ASPD|9AART|aBEXP
107	52223 51261	   	215.26	ACR|1BASARM|2DMG|1ASPD|1CDMG|1SELL	13DMG|2RCR|4AAC|5ASPD|6CDMG|7SELL|8AIRARM|9LIT|aBASARM
108	52212 63341	 * 	215.20	ACR|3DMG|2ASPD|2BASICY|1AART|1SELL	134DMG|2RCR|5AART|6SELL|7aASPD|8aMLV|9aBASICY|aBPWR
109	52252 22413	 * 	215.13	ACR|3DMG|1VULN|1BASICY|1CDMG|1AART|1SELL	135DMG|2RCR|4CDMG|6SELL|7VULN|8BASICY|9FEWX|aAART
110	52612 23632	 * 	215.09	ACR|3DMG|1VULN|2BEXP|2CDMG	19aDMG|2RCR|39ERES|4VULN|5AAC|67BEXP|89CDMG|9BPWR
111	52252 22423	 * 	214.88	ACR|3DMG|1VULN|1BASICY|1CDMG|1AART|2SELL	135DMG|2RCR|4CDMG|69SELL|7VULN|8BASICY|aAART
112	52313 14353	   	214.36	ACR|2DMG|2BEXP|1VULN|2CDMG|1AART	19DMG|2RCR|3DUST|49BEXP|5MDPS|6ERES|7VULN|89CDMG|9BPWR|aAART
113	52313 61353	   	214.36	ACR|2DMG|2BEXP|1VULN|2CDMG|1AART	19DMG|2RCR|3DUST|49BEXP|5MDPS|6VULN|7ERES|89CDMG|9BPWR|aAART
114	52223 15411	   	214.06	ACR|3DMG|2ASPD|1BEXP|1CDMG	137DMG|2RCR|4AAC|58ASPD|6DMSP|8BPWR|9BEXP|aCDMG
115	52215 34233	   	214.01	ACR|3DMG|2BEXP|1VULN|1ASPD	134DMG|2RCR|5FEWX|6aBEXP|7RPLT|8VULN|9ASPD
116	52252 62132	   	214.00	ACR|3DMG|1VULN|1ASPD|1BEXP|1CDMG	135DMG|2RCR|4CDMG|6VULN|7BEXP|8MDPS|9ASPD|aZMB
117	52252 63133	   	214.00	ACR|3DMG|1VULN|1ASPD|1BEXP|1CDMG	135DMG|2RCR|4CDMG|6VULN|7LWND|8MDPS|9ASPD|aBEXP
118	52223 25411	   	213.96	ACR|3DMG|2ASPD|1BEXP|1CDMG	137DMG|2RCR|46AAC|58ASPD|8BPWR|9BEXP|aCDMG
119	52232 21663	   	213.86	ACR|2VULN|2DMG|1ASPD|1AART|1BEXP	13DMG|2RCR|4MSLTOX|56VULN|7ASPD|8BEXP|9MDPS|aAART
120	52211 62212	   	213.86	ACR|3DMG|1VULN|1ASPD|1BEXP|1CDMG|1SELL	134DMG|2RCR|5LIT|6CDMG|7BEXP|8SELL|9VULN|aASPD
121	52263 33611	   	213.75	ACR|3DMG|2VULN|1ASPD|1BEXP	136DMG|2RCR|4CGEN|5ASPD|7BEXP|8aVULN|9LWND
122	52214 22133	   	213.66	ACR|3DMG|2BEXP|1VULN|1ASPD|1SELL	134DMG|2RCR|5SELL|6VULN|7aBEXP|8MDPS|9ASPD
123	52263 33631	   	213.65	ACR|3DMG|2VULN|1ASPD|1BEXP	136DMG|2RCR|4CGEN|5ASPD|7BEXP|8aVULN|9LEGI
124	52313 43114	 * 	213.33	ACR|3BEXP|2DMG|1ASPD|1BASICY	17DMG|2RCR|37DUST|467BEXP|5MDPS|7BPWR|8LIT|9ASPD|aBASICY
125	52232 21511	   	213.33	ACR|3VULN|3DMG|1ASPD	13aDMG|2RCR|4MSLTOX|56aVULN|7ASPD|8LSRREG|9aDUR|aBPWR
126	52232 21561	   	213.33	ACR|3VULN|3DMG|1ASPD	13aDMG|2RCR|4MSLTOX|56aVULN|7ASPD|8LSRREG|9aFEWX|aBPWR
127	52251 61331	 * 	213.30	ACR|2DMG|2AART|2CDMG|1BASICY|1BEXP	13DMG|2RCR|49CDMG|5BEXP|67AART|8RCVC|aBASICY
128	52223 52611	   	213.27	ACR|2DMG|1VULN|1ASPD|1CDMG|1BEXP|1AART	13DMG|2RCR|4AAC|5ASPD|6CDMG|7BEXP|8LHND|9AART|aVULN
129	52222 35316	   	213.13	ACR|3DMG|1BASARM|1BEXP	137DMG|2RCR|4AAC|5MLV|6RCVC|8AEMAG|9BEXP|aBASARM
130	52232 21521	   	213.13	ACR|3VULN|3DMG|1ASPD	13aDMG|2RCR|4MSLTOX|56aVULN|7ASPD|8LSRREG|9aDUST|aBPWR
131	52215 51231	   	212.60	ACR|3DMG|1BASARM|1VULN	134DMG|2RCR|5FEWX|6aBELT|7LIT|8BASARM|9VULN
132	52215 51233	   	212.60	ACR|3DMG|1BASARM|1VULN	134DMG|2RCR|5FEWX|6BELT|7LIT|8BASARM|9VULN|aRMIN
133	52215 63231	   	212.60	ACR|3DMG|1BASARM|1VULN	134DMG|2RCR|5FEWX|6LIT|7aBELT|8BASARM|9VULN
134	52215 63233	   	212.60	ACR|3DMG|1BASARM|1VULN	134DMG|2RCR|5FEWX|6LIT|7BELT|8BASARM|9VULN|aRMIN
135	52232 42413	   	212.50	ACR|3DMG|1BASARM|1VULN	13aDMG|2RCR|4MSLTOX|5VULN|68LWND|7DMSP|9BASARM
136	52234 16311	   	212.50	ACR|3DMG|1BASARM|1VULN	139DMG|2RCR|4MSLTOX|5DUR|6MLV|7ZMB|8BASARM|aVULN
137	52234 36311	   	212.50	ACR|3DMG|1BASARM|1VULN	139DMG|2RCR|4MSLTOX|5DUR|6CGEN|7ZMB|8BASARM|aVULN
138	52215 33336	   	212.32	ACR|3DMG|3BEXP|1VULN|1AAC	134DMG|2RCR|57FEWX|678BEXP|7BPWR|9AAC|aVULN
139	52226 12311	   	212.30	ACR|3DMG|1BASARM|1VULN	139DMG|2RCR|4AAC|5DUR|6MULARM|7ERES|8BASARM|aVULN
140	52613 23361	   	212.12	ACR|2VULN|2AART|1ASPD|1DMG|1CDMG	1DMG|2RCR|3ERES|4aVULN|59AART|6CDMG|7ZMB|8ASPD
141	52613 31361	   	212.12	ACR|2VULN|2AART|1ASPD|1DMG|1CDMG	1DMG|2RCR|3ERES|4aVULN|59AART|6ZMB|7CDMG|8ASPD
142	52252 21336	   	211.81	ACR|3DMG|1BASARM|1CDMG|1SELL	135DMG|2RCR|4CDMG|6SELL|7FEWX|8MLV|9RCVC|aBASARM
143	52212 23313	   	211.72	ACR|3DMG|2VULN|1AART|1CDMG	134DMG|2RCR|5AART|6ERES|7DUST|89VULN|aCDMG
144	52232 22561	   	211.65	ACR|2VULN|2DMG|1ASPD|1CDMG|1BEXP	13DMG|2RCR|4MSLTOX|56VULN|7LWND|8BEXP|9CDMG|aASPD
145	52223 52313	   	211.65	ACR|2VULN|2DMG|1ASPD|1BEXP|1CDMG	13DMG|2RCR|4AAC|5ASPD|6CDMG|7BEXP|8CGEN|9aVULN
146	52223 52113	   	211.55	ACR|2VULN|2DMG|1ASPD|1BEXP|1CDMG	13DMG|2RCR|4AAC|5ASPD|6CDMG|7BEXP|8ERES|9aVULN
147	52212 32652	   	211.52	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ZMB|7CGEN|8BASARM|9MSLFST|aRCVC
148	23631 33524	 * 	211.49	ACR|1BASARM|3BEXP|1VULN|1ASPD	1FEWX|2LIT|3RCR|478BEXP|5DUR|6VULN|9BASARM|aASPD
149	33235 26121	 * 	211.48	ACR|1BASARM|2BEXP|2AART|1CDMG	1aLWND|2RCR|3VENICY|4aCGEN|57AART|6CDMG|8BASARM|9aBEXP|aBPWR
150	52212 32622	   	211.30	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ZMB|7CGEN|8BASARM|9LHND|aDUR
151	52212 32623	   	211.30	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ZMB|7CGEN|8BASARM|9LHND|aFEWX
152	52212 32662	   	211.30	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ZMB|7CGEN|8BASARM|9LWND|aDUR
153	52212 32663	   	211.30	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ZMB|7CGEN|8BASARM|9LWND|aFEWX
154	52212 42241	   	211.30	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6RPLT|7ZMB|8LWND|9RMIN|aBASARM
155	52215 51221	   	211.30	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5FEWX|6BELT|7LIT|8BASARM|9AART|aLWND
156	52215 63221	   	211.30	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5FEWX|6LIT|7BELT|8BASARM|9AART|aLWND
157	33255 26121	   	211.28	ACR|1BASARM|2BEXP|2AART|1CDMG	1aLWND|2RCR|3VENICY|4aTLV|57AART|6CDMG|8BASARM|9aBEXP|aBPWR
158	52223 52512	   	211.21	ACR|3DMG|2BEXP|1ASPD|1CDMG	13aDMG|2RCR|4AAC|5ASPD|6CDMG|78BEXP|9MDPS
159	52252 32143	   	211.21	ACR|3DMG|2BEXP|1ASPD|1CDMG	135DMG|2RCR|4CDMG|6LEGI|7aBEXP|8MDPS|9ASPD
160	52211 51124	   	211.20	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5LIT|6LWND|7AART|8AME|9CGEN|aBASARM
161	52212 26622	   	211.20	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ERES|7ZMB|8BASARM|9LHND|aDUR
162	52212 26623	   	211.20	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ERES|7ZMB|8BASARM|9LHND|aFEWX
163	52212 32611	   	211.20	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ZMB|7CGEN|8BASARM|9AEMAG|aLHND
164	52212 32612	   	211.20	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ZMB|7aCGEN|8BASARM|9AEMAG
165	52212 32616	   	211.20	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ZMB|7CGEN|8BASARM|9AEMAG|aFEWX
166	52212 32625	   	211.20	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ZMB|7CGEN|8BASARM|9LHND|aAEFBLL
167	52212 32626	   	211.20	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ZMB|7CGEN|8BASARM|9LHND|aERES
168	52212 32632	   	211.20	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ZMB|7CGEN|8BASARM|9LEGI|aDUR
