0	Index      	 *	Score 	Summary	Detail	
1	42251 22242	 * 	226.19	DCR|3VULN|2BASARM|2ASPD|1AART|1CDMG	189VULN|2CDMG|39BASARM|4LHND|5AART|6FLTFST|79ASPD|9BPWR|aRCR
13	13116 36433	 * 	212.88	ACR|1BASARM|1ASPD|2CDMG|1VULN|1BEXP	1AEMAG|2RCR|3ZMB|48CDMG|5BASARM|6FEWX|7BEXP|9ASPD|aVULN
14	13236 36433	   	212.78	ACR|1BASARM|1ASPD|2CDMG|1VULN|1BEXP	1AEMAG|2RCR|38CDMG|4AAC|5BASARM|6FEWX|7BEXP|9ASPD|aVULN
15	13116 23333	 * 	212.78	ACR|1BASARM|1ASPD|1DMG|1VULN|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8MBVNT|9ASPD|aVULN
16	13236 23333	   	212.68	ACR|1BASARM|1ASPD|1DMG|1VULN|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7TLV|8MBVNT|9ASPD|aVULN
17	32412 51241	 * 	212.22	ACR|3VULN|1BASARM|1BEXP|1AART|1CDMG	1DUST|2CDMG|34aVULN|5RCR|6AART|7BEXP|8RCVC|9BASARM
18	13116 21246	   	211.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7LHND|8AAC|9BEXP|aASPD
19	13116 21346	   	211.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7LHND|8ERES|9BEXP|aASPD
20	13116 23146	   	211.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8DUR|9BEXP|aASPD
21	13116 24335	   	211.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7CGEN|8MBVNT|9ASPD|aBEXP
22	13116 24347	   	211.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7CGEN|8MBVNT|9BEXP|aASPD
23	13236 23146	   	211.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7TLV|8DUR|9BEXP|aASPD
24	13236 24335	   	211.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7CGEN|8MBVNT|9ASPD|aBEXP
25	13236 24347	   	211.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7CGEN|8MBVNT|9BEXP|aASPD
26	13116 23334	   	211.47	ACR|1BASARM|1ASPD|1DMG|1AART|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8MBVNT|9ASPD|aAART
27	13116 23335	   	211.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8MBVNT|9ASPD|aBEXP
28	13116 23347	   	211.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8MBVNT|9BEXP|aASPD
29	13236 23334	   	211.37	ACR|1BASARM|1ASPD|1DMG|1AART|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7TLV|8MBVNT|9ASPD|aAART
30	13236 23335	   	211.37	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7TLV|8MBVNT|9ASPD|aBEXP
31	13236 23347	   	211.37	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7TLV|8MBVNT|9BEXP|aASPD
32	13315 26361	   	211.37	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1AEMAG|2RCR|3LEGI|4MBVNT|5ASPD|6AART|7MSLREG|8BEXP|9DMG|aBASARM
33	13116 21443	 * 	210.50	ACR|1BASARM|2DMG|1VULN|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|69DMG|7LHND|8LWND|aVULN
34	13116 21543	   	210.50	ACR|1BASARM|2DMG|1VULN|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|69DMG|7LHND|8FEWX|aVULN
35	13116 33643	   	210.50	ACR|1BASARM|2DMG|1VULN|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6FEWX|7DUR|89DMG|aVULN
36	13236 21443	   	210.40	ACR|1BASARM|2DMG|1VULN|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|69DMG|7LHND|8LWND|aVULN
37	13236 21543	   	210.40	ACR|1BASARM|2DMG|1VULN|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|69DMG|7LHND|8FEWX|aVULN
38	13236 33643	   	210.40	ACR|1BASARM|2DMG|1VULN|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6FEWX|7DUR|89DMG|aVULN
39	13543 16123	 * 	210.18	ACR|1BASARM|2DMG|2BEXP	1AEMAG|2RCR|3MDPS|4ERES|5aBEXP|6RPLT|78DMG|9BASARM
40	13543 16121	   	208.99	ACR|1BASARM|2DMG|1BEXP|1CDMG	1AEMAG|2RCR|3MDPS|4ERES|5BEXP|6RPLT|78DMG|9BASARM|aCDMG
41	32612 41126	   	207.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1DUST|2CDMG|3RCR|4VULN|5LHND|6DMG|7ASPD|8AME|9LWND|aBASARM
42	32613 41136	   	207.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1DUST|2CDMG|3RCR|4VULN|5LWND|6DMG|7ASPD|8AME|9DUR|aBASARM
43	32613 41336	   	207.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1DUST|2CDMG|3RCR|4VULN|5LWND|6DMG|7ASPD|8TLV|9DUR|aBASARM
44	13116 52335	   	207.86	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6RPLT|7MLV|8VULN|9ASPD|aAART
45	13236 52335	   	207.76	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6RPLT|7MLV|8VULN|9ASPD|aAART
46	13116 53235	   	207.76	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6RPLT|7VULN|8TLV|9ASPD|aAART
47	13116 53335	   	207.76	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6RPLT|7VULN|8AME|9ASPD|aAART
48	13236 53235	   	207.66	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6RPLT|7VULN|8TLV|9ASPD|aAART
49	13236 53335	   	207.66	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6RPLT|7VULN|8AME|9ASPD|aAART
50	13116 25222	 * 	207.66	ACR|1BASARM|1DMG|2AAC|1BEXP|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7AEFBLL|8BEXP|9aAAC
51	13326 62611	   	207.60	ACR|2VULN|2DMG|2BEXP|1AART	1aAEMAG|2RCR|3LEGI|4AART|57VULN|6aDMG|8RCVC|9aBEXP|aBPWR
52	44332 51331	 * 	207.48	ACR|2VULN|2ASPD|2BEXP|1AART|1CDMG	1aVULN|2aERES|38ASPD|4CDMG|5RCR|6AART|7aBEXP|9BELT|aBPWR
53	13116 36224	 * 	207.38	ACR|2BASARM|2BEXP|2CDMG	1AEMAG|2RCR|3ZMB|4aCDMG|5aBASARM|6FEWX|7aBEXP|8AME|9MLV|aBPWR
54	13236 33364	 * 	206.66	ACR|2BASARM|3VULN|1CDMG	1aAEMAG|2RCR|3CDMG|4AAC|5aBASARM|6FEWX|7DUR|89aVULN|aBPWR
55	13116 36132	   	206.44	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6FEWX|78BEXP|9ASPD|aCGEN
56	13116 25252	   	206.34	ACR|1BASARM|2BEXP|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7AEFBLL|89BEXP|aFEWX
57	13116 36126	   	206.34	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6FEWX|78BEXP|9DUST|aASPD
58	13116 36131	   	206.34	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6FEWX|78BEXP|9ASPD|aMDPS
59	13116 36135	   	206.34	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6FEWX|78BEXP|9ASPD|aAME
60	13236 36132	   	206.34	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6FEWX|78BEXP|9ASPD|aCGEN
61	13116 33626	   	206.33	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AAC	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6FEWX|7DUR|8DMG|9AAC|aASPD
62	13116 25253	   	206.24	ACR|1BASARM|2BEXP|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7AEFBLL|89BEXP|aTLV
63	13236 36126	   	206.24	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6FEWX|78BEXP|9DUST|aASPD
64	13236 36131	   	206.24	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6FEWX|78BEXP|9ASPD|aMDPS
65	13236 36135	   	206.24	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6FEWX|78BEXP|9ASPD|aAME
66	13116 23562	   	206.23	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AAC	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8CGEN|9ASPD|aAAC
67	13116 24262	   	206.23	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AAC	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7CGEN|8AME|9ASPD|aAAC
68	13116 25362	   	206.23	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AAC	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7AEFBLL|8LWND|9ASPD|aAAC
69	32612 41314	 * 	206.23	ACR|3VULN|2ASPD|1DMG|1CDMG	1aDUST|2CDMG|3RCR|48aVULN|5LHND|6DMG|7aASPD|9MDPS|aBPWR
70	13116 23262	   	206.13	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AAC	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8AME|9ASPD|aAAC
71	13241 33663	 * 	205.85	ACR|1ASPD|1DMG|1BASICY|2CDMG|1VULN|1BEXP	1AEMAG|2RCR|39CDMG|4BEXP|5FEWX|6BASICY|7ASPD|8DMG|aVULN
72	13236 23462	   	205.66	ACR|1BASARM|1ASPD|1DMG|1CDMG|2AAC	1AEMAG|2RCR|3CDMG|4aAAC|5BASARM|6DMG|7TLV|8ZMB|9ASPD
73	32612 23246	   	205.61	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1DUST|2CDMG|3RCR|4VULN|5LHND|6AART|78RCVC|9BASARM|aDMG
74	32613 23246	   	205.61	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1DUST|2CDMG|3RCR|4VULN|5LWND|6AART|78RCVC|9BASARM|aDMG
75	32621 26123	   	205.40	ACR|1BASARM|2DMG|1VULN|1CDMG	1DUST|2CDMG|3RCR|4FEWX|5MDPS|6CGEN|78DMG|9BASARM|aVULN
76	42251 12242	   	205.35	DCR|3VULN|2BASARM|1ASPD|1AART|1CDMG	189VULN|2CDMG|39BASARM|4LHND|5AART|6ASPD|79SNIFST|9BPWR|aRCR
77	32621 16123	   	205.30	ACR|1BASARM|2DMG|1VULN|1CDMG	1DUST|2CDMG|3RCR|4FEWX|5MDPS|6ERES|78DMG|9BASARM|aVULN
78	32612 23541	 * 	205.30	ACR|2VULN|1BASARM|2CDMG|1AART	1DUST|28CDMG|3RCR|4aVULN|5LHND|6AART|7RCVC|9BASARM
79	32613 23541	   	205.30	ACR|2VULN|1BASARM|2CDMG|1AART	1DUST|28CDMG|3RCR|4aVULN|5LWND|6AART|7RCVC|9BASARM
80	13116 52334	   	205.26	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6RPLT|7MLV|8VULN|9ASPD|aBEXP
81	42233 32242	   	205.25	DCR|3VULN|2BASARM|1ASPD|1CDMG|1AART	189VULN|2CDMG|39BASARM|4DUST|5ASPD|6AART|79SNIFST|9BPWR|aRCR
82	41231 16112	   	205.19	ACR|2VULN|1BASARM|1DMG|1AART|1BEXP	13VULN|2CGEN|4BEXP|5RCR|6LWND|7DMG|8BASARM|9AART|aMLV
83	41231 16115	   	205.19	ACR|2VULN|1BASARM|1DMG|1BEXP|1AART	13VULN|2CGEN|4BEXP|5RCR|6LWND|7DMG|8BASARM|9AART|aFEWX
84	13236 52334	   	205.16	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6RPLT|7MLV|8VULN|9ASPD|aBEXP
85	13242 43523	   	205.16	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4BEXP|5MDPS|6DMG|7LWND|8MLV|9BASARM|aVULN
86	13242 61223	   	205.16	ACR|1BASARM|1ASPD|1VULN|1BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4BEXP|5MDPS|6CGEN|7ASPD|8LHND|9BASARM|aVULN
87	13242 61423	   	205.16	ACR|1BASARM|1ASPD|1VULN|1BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4BEXP|5MDPS|6CGEN|7ASPD|8LWND|9BASARM|aVULN
88	13116 21343	   	205.16	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7LHND|8ERES|9BEXP|aVULN
89	13116 25213	   	205.16	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7AEFBLL|8BEXP|9LHND|aVULN
90	13116 25231	   	205.16	ACR|1BASARM|1DMG|1BEXP|1AART|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7AEFBLL|8BEXP|9AART|aDUR
91	13116 25233	   	205.16	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AART	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7AEFBLL|8BEXP|9AART|aLHND
92	13116 25235	   	205.16	ACR|1BASARM|1DMG|1BEXP|1AART|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7AEFBLL|8BEXP|9AART|aFEWX
93	13116 25353	   	205.16	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7AEFBLL|8LWND|9BEXP|aVULN
94	13116 53234	   	205.16	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6RPLT|7VULN|8TLV|9ASPD|aBEXP
95	13116 53334	   	205.16	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6RPLT|7VULN|8AME|9ASPD|aBEXP
96	13241 43323	   	205.16	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4BEXP|5FEWX|6CGEN|7MDPS|8DMG|9BASARM|aVULN
97	13242 63323	   	205.16	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4BEXP|5MDPS|6CGEN|7LWND|8DMG|9BASARM|aVULN
98	13242 64323	   	205.16	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4BEXP|5MDPS|6CGEN|7LHND|8DMG|9BASARM|aVULN
99	45231 16112	   	205.09	ACR|2VULN|1BASARM|1DMG|1BEXP|1AART	13VULN|2TLV|4BEXP|5RCR|6LWND|7DMG|8BASARM|9AART|aMLV
100	41231 16111	   	205.09	ACR|2VULN|1BASARM|1DMG|1BEXP|1AART	13VULN|2CGEN|4BEXP|5RCR|6LWND|7DMG|8BASARM|9AART|aAIRHEL
101	41231 16114	   	205.09	ACR|2VULN|1BASARM|1DMG|1AART|1BEXP	13VULN|2CGEN|4BEXP|5RCR|6LWND|7DMG|8BASARM|9AART|aERES
102	41231 16116	   	205.09	ACR|2VULN|1BASARM|1DMG|1AART|1BEXP	13VULN|2CGEN|4BEXP|5RCR|6LWND|7DMG|8BASARM|9AART|aAEMAG
103	41231 66112	   	205.09	ACR|2VULN|1BASARM|1DMG|1BEXP|1AART	13VULN|2CGEN|4BEXP|5RCR|6DUST|7DMG|8BASARM|9AART|aMLV
104	45241 22112	   	205.09	ACR|2VULN|1BASARM|1DMG|1BEXP|1AART	13VULN|2TLV|4LWND|5RCR|6DMG|7BEXP|8BASARM|9AART|aMLV
105	13236 23453	   	205.06	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7TLV|8ZMB|9BEXP|aVULN
106	13236 25213	   	205.06	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7AEFBLL|8BEXP|9LHND|aVULN
107	13236 53234	   	205.06	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6RPLT|7VULN|8TLV|9ASPD|aBEXP
108	13236 53334	   	205.06	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6RPLT|7VULN|8AME|9ASPD|aBEXP
109	13242 61623	   	205.06	ACR|1BASARM|1ASPD|1VULN|1BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4BEXP|5MDPS|6CGEN|7ASPD|8MBVNT|9BASARM|aVULN
110	13242 66323	   	205.06	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4BEXP|5MDPS|6CGEN|7DUST|8DMG|9BASARM|aVULN
111	13116 23253	   	205.06	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8AME|9BEXP|aVULN
112	13116 25263	   	205.06	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7AEFBLL|8BEXP|9LEGI|aVULN
113	13543 62323	   	205.06	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG	1AEMAG|2RCR|3MDPS|4ERES|5BEXP|6LWND|7CDMG|8DMG|9BASARM|aVULN
114	45231 16111	   	204.99	ACR|2VULN|1BASARM|1DMG|1AART|1BEXP	13VULN|2TLV|4BEXP|5RCR|6LWND|7DMG|8BASARM|9AART|aAIRHEL
115	41231 66111	   	204.99	ACR|2VULN|1BASARM|1DMG|1BEXP|1AART	13VULN|2CGEN|4BEXP|5RCR|6DUST|7DMG|8BASARM|9AART|aAIRHEL
116	45241 22111	   	204.99	ACR|2VULN|1BASARM|1DMG|1AART|1BEXP	13VULN|2TLV|4LWND|5RCR|6DMG|7BEXP|8BASARM|9AART|aAIRHEL
117	13332 22323	   	204.96	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG	1AEMAG|2RCR|3LEGI|4MDPS|5BEXP|6ERES|7CDMG|8DMG|9BASARM|aVULN
118	13236 34324	 * 	204.89	ACR|2BASARM|2VULN|2CDMG	1aAEMAG|2RCR|39CDMG|4AAC|5aBASARM|6FEWX|7LWND|8aVULN|aBPWR
119	52613 42212	 * 	204.72	ACR|3BEXP|2DMG|1VULN|2CDMG	1DUR|29CDMG|3RCR|4VULN|5LWND|69DMG|7LIT|89aBEXP|9BPWR
120	32654 11221	   	204.09	ACR|1BASARM|2DMG|1BEXP|1CDMG	1DUST|2CDMG|3RCR|4MDPS|5LIT|67DMG|8BEXP|9DUR|aBASARM
121	13116 65333	 * 	203.72	ACR|1BASARM|2VULN|1ASPD|1CDMG|1SELL	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6SELL|7aVULN|8AEFBLL|9ASPD
122	32612 26223	   	202.86	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1DUST|2CDMG|3RCR|4VULN|5LHND|6AART|7RPLT|8BELT|9BASARM|aDMG
123	32613 26223	   	202.86	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1DUST|2CDMG|3RCR|4VULN|5LWND|6AART|7RPLT|8BELT|9BASARM|aDMG
124	41431 16113	   	202.85	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART|1AAC	1VULN|2CGEN|3BEXP|4RCVC|5RCR|6LWND|7DMG|8BASARM|9AART|aAAC
125	41231 16143	   	202.81	ACR|2VULN|1BASARM|1DMG|1BEXP|1CDMG	13VULN|29CGEN|4BEXP|5RCR|6LWND|7DMG|8BASARM|aCDMG
126	41231 16135	   	202.71	ACR|2VULN|1BASARM|1DMG|1BEXP|1CDMG	13VULN|2CGEN|4BEXP|5RCR|6LWND|7DMG|8BASARM|9AME|aCDMG
127	32613 41236	 * 	202.39	ACR|2DMG|1VULN|1ASPD|2CDMG|1AART	1DUST|2aCDMG|3RCR|4VULN|5LWND|6aDMG|7ASPD|8aLHND|9AART|aBPWR
128	41231 25226	 * 	201.66	ACR|3VULN|2BEXP|2AART|1ASPD	137VULN|27CGEN|47BEXP|5RCR|69AART|7BPWR|8TLV|aASPD
129	41231 25326	   	201.66	ACR|3VULN|2BEXP|2AART|1ASPD	137VULN|27CGEN|47BEXP|5RCR|69AART|7BPWR|8ERES|aASPD
130	44332 53132	 * 	201.23	ACR|2VULN|2DMG|1ASPD|1AART|1CDMG	1aVULN|2ERES|3ASPD|4CDMG|5RCR|6AART|79DMG|8LWND
131	41231 25214	   	200.91	ACR|3VULN|2BEXP|1ASPD|1CDMG|1AART	137VULN|27CGEN|47BEXP|5RCR|6AART|7BPWR|8TLV|9CDMG|aASPD
132	41231 25314	   	200.91	ACR|3VULN|2BEXP|1ASPD|1AART|1CDMG	137VULN|27CGEN|47BEXP|5RCR|6AART|7BPWR|8ERES|9CDMG|aASPD
133	13241 33626	 * 	200.88	ACR|2ASPD|1DMG|1BASICY|1BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4BEXP|5FEWX|6BASICY|7aASPD|8DMG|9MLV
134	13241 33642	   	200.88	ACR|2DMG|1ASPD|1BASICY|1BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4BEXP|5FEWX|6BASICY|7ASPD|89DMG|aCGEN
135	13241 33246	   	200.78	ACR|2ASPD|1DMG|1BASICY|1BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4BEXP|5FEWX|6BASICY|7aASPD|8AME|9DMG
136	13241 33641	   	200.78	ACR|2DMG|1ASPD|1BASICY|1CDMG|1BEXP	1AEMAG|2RCR|3CDMG|4BEXP|5FEWX|6BASICY|7ASPD|89DMG|aMDPS
137	13354 26212	   	200.78	ACR|2ASPD|1DMG|1BASICY|1AART|1BEXP	1AEMAG|2RCR|3LEGI|4LWND|57ASPD|6DMG|8BASICY|9AART|aBEXP
138	42213 43124	 * 	200.61	DCR|1BASARM|2ASPD|1VULN|1DMG|1BEXP|1CDMG	1VULN|2CDMG|3BASARM|4BEXP|56ASPD|7RPLT|8LIT|9DMG|aRCR
139	32623 61623	   	200.26	ACR|1BASARM|1ASPD|1VULN|1BEXP|1CDMG	1DUST|2CDMG|3RCR|4FEWX|5LWND|6CGEN|7ASPD|8BEXP|9BASARM|aVULN
140	32612 11146	   	200.16	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1DUST|2CDMG|3RCR|4VULN|5LHND|6RMIN|7ASPD|8AME|9BEXP|aBASARM
141	32613 11146	   	200.16	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1DUST|2CDMG|3RCR|4VULN|5LWND|6RMIN|7ASPD|8AME|9BEXP|aBASARM
