0	Index      	 *	Score 	Summary	Detail	
1	54131 48224	 * 	199.28	ACR|2VULN|3BEXP|1ASPD|1DMG	148ZMB|2MBVNT|3RCR|48BPWR|5DMG|68aBEXP|78VULN|9ASPD
29	23433 25261	 * 	189.70	ACR|3VULN|2BEXP|1ASPD|1CDMG	189VULN|2RMIN|3RCR|48LWND|5FEWX|6ASPD|78BEXP|8BPWR|aCDMG
30	35332 34342	 * 	189.68	ACR|2ASPD|1DMG|1VULN|1AART|1CDMG	1DMSP|2CDMG|3FEWX|4BELT|5RCR|67ASPD|8AART|9DMG|aVULN
31	61124 23323	   	189.34	ACR|2ASPD|1VULN|1DMG|1AART|1AAC	1LWND|2FEWX|3MLV|4RCR|5VULN|6aASPD|7AART|8AAC|9DMG
32	14124 23323	   	189.24	ACR|2ASPD|1VULN|1DMG|1AART|1AAC	1DUST|2LWND|3MLV|4RCR|5VULN|6aASPD|7AART|8AAC|9DMG
33	61224 23323	   	189.24	ACR|2ASPD|1VULN|1DMG|1AART|1AAC	1LWND|2FEWX|3ERES|4RCR|5VULN|6aASPD|7AART|8AAC|9DMG
34	65124 23323	   	189.24	ACR|2ASPD|1VULN|1DMG|1AART|1AAC	1LWND|2DUST|3MLV|4RCR|5VULN|6aASPD|7AART|8AAC|9DMG
35	23432 28261	 * 	189.15	ACR|2VULN|2DMG|1BEXP|1CDMG	18VULN|2RMIN|3RCR|48LWND|5RCVC|6MBVNT|78DMG|8BPWR|9BEXP|aCDMG
36	14224 23323	   	189.14	ACR|2ASPD|1VULN|1DMG|1AART|1AAC	1DUST|2LWND|3ERES|4RCR|5VULN|6aASPD|7AART|8AAC|9DMG
37	65224 23323	   	189.14	ACR|2ASPD|1VULN|1DMG|1AART|1AAC	1LWND|2DUST|3ERES|4RCR|5VULN|6aASPD|7AART|8AAC|9DMG
38	13324 23234	 * 	188.74	ACR|2VULN|2ASPD|2BEXP|1AAC	18DUST|2RMIN|3aBEXP|4RCR|58VULN|68ASPD|7DMSP|8BPWR|9AAC
39	13324 21264	   	188.64	ACR|2VULN|2ASPD|2BEXP|1AAC	1DUST|2RMIN|3aBEXP|4RCR|59VULN|68ASPD|7AAC
40	23421 22165	   	188.62	ACR|1BASARM|1VULN|1ASPD|1BEXP	1VULN|2RMIN|3RCR|4MDPS|5DMSP|6ASPD|7LIT|8TLV|9BASARM|aBEXP
41	14561 34333	 * 	188.56	ACR|1BASARM|2ASPD|1VULN	1DUST|25LWND|3MBVNT|4RCR|6BASARM|78ASPD|9BELT|aVULN
42	54144 46141	 * 	188.55	ACR|3BEXP|1VULN|1ASPD|2CDMG	18ZMB|2MBVNT|3RCR|48CDMG|5VULN|6LWND|78aBEXP|8BPWR|9ASPD
43	61561 34341	 * 	188.28	ACR|2BASARM|2ASPD	15aLWND|2FEWX|3MBVNT|4RCR|6aBASARM|7RPLT|8aASPD|9RCVC|aBPWR
44	23446 23233	 * 	188.08	ACR|3VULN|1ASPD|1DMG|1AART	189VULN|2RMIN|3RCR|4CGEN|5ASPD|6RPLT|7DMG|aAART
45	23456 23233	   	188.08	ACR|3VULN|1ASPD|1DMG|1AART	189VULN|2RMIN|3RCR|4MLV|5ASPD|6RPLT|7DMG|aAART
46	13513 53162	 * 	188.03	ACR|1BASARM|1VULN|1DMG|1CDMG|1AAC	1DUST|2RMIN|3CDMG|4VULN|5RCR|6DUR|7DMG|8BELT|9AAC|aBASARM
47	54131 48221	   	188.01	ACR|2VULN|2BEXP|1ASPD|1DMG	148ZMB|2MBVNT|3RCR|48BPWR|5DMG|68BEXP|78VULN|9ASPD|aLIT
48	55431 12211	 * 	187.99	ACR|1BASARM|2BEXP|1DMG	14ZMB|24BEXP|3RCR|4BPWR|5DMG|6CGEN|7RPLT|8DUR|9BASARM|aLWND
49	55431 12213	   	187.99	ACR|1BASARM|2BEXP|1DMG	14ZMB|24BEXP|3RCR|4BPWR|5DMG|6CGEN|7RPLT|8DUR|9BASARM|aFEWX
50	23466 23233	   	187.98	ACR|3VULN|1ASPD|1DMG|1AART	189VULN|2RMIN|3RCR|4ERES|5ASPD|6RPLT|7DMG|aAART
51	23446 23211	   	187.91	ACR|2VULN|2BEXP|1ASPD|1DMG	18VULN|2RMIN|3RCR|4CGEN|5ASPD|6RPLT|7DMG|9aBEXP
52	23456 23211	   	187.91	ACR|2VULN|2BEXP|1ASPD|1DMG	18VULN|2RMIN|3RCR|4MLV|5ASPD|6RPLT|7DMG|9aBEXP
53	54131 48222	   	187.91	ACR|2VULN|2BEXP|1ASPD|1DMG	148ZMB|2MBVNT|3RCR|48BPWR|5DMG|68BEXP|78VULN|9ASPD|aDUST
54	55431 12212	   	187.89	ACR|1BASARM|2BEXP|1DMG	14ZMB|24BEXP|3RCR|4BPWR|5DMG|6CGEN|7RPLT|8DUR|9BASARM|aMDPS
55	23466 23211	   	187.81	ACR|2VULN|2BEXP|1ASPD|1DMG	18VULN|2RMIN|3RCR|4ERES|5ASPD|6RPLT|7DMG|9aBEXP
56	54151 23411	   	187.79	ACR|1BASARM|2BEXP|1DMG	1ZMB|2MBVNT|3RCR|4CGEN|5DMG|6RPLT|78BEXP|9BASARM|aLWND
57	54151 23412	   	187.79	ACR|1BASARM|2BEXP|1DMG	1ZMB|2MBVNT|3RCR|4CGEN|5DMG|6RPLT|78BEXP|9BASARM|aRMIN
58	54151 23413	   	187.79	ACR|1BASARM|2BEXP|1DMG	1ZMB|2MBVNT|3RCR|4CGEN|5DMG|6RPLT|78BEXP|9BASARM|aFEWX
59	54151 23414	   	187.79	ACR|1BASARM|2BEXP|1DMG	1ZMB|2MBVNT|3RCR|4CGEN|5DMG|6RPLT|78BEXP|9BASARM|aLIT
60	54161 23411	   	187.69	ACR|1BASARM|2BEXP|1DMG	1ZMB|2MBVNT|3RCR|4AME|5DMG|6RPLT|78BEXP|9BASARM|aLWND
61	54161 23412	   	187.69	ACR|1BASARM|2BEXP|1DMG	1ZMB|2MBVNT|3RCR|4AME|5DMG|6RPLT|78BEXP|9BASARM|aRMIN
62	54161 23413	   	187.69	ACR|1BASARM|2BEXP|1DMG	1ZMB|2MBVNT|3RCR|4AME|5DMG|6RPLT|78BEXP|9BASARM|aFEWX
63	54161 23414	   	187.69	ACR|1BASARM|2BEXP|1DMG	1ZMB|2MBVNT|3RCR|4AME|5DMG|6RPLT|78BEXP|9BASARM|aLIT
64	54171 23411	   	187.69	ACR|1BASARM|2BEXP|1DMG	1ZMB|2MBVNT|3RCR|4ERES|5DMG|6RPLT|78BEXP|9BASARM|aLWND
65	54171 23412	   	187.69	ACR|1BASARM|2BEXP|1DMG	1ZMB|2MBVNT|3RCR|4ERES|5DMG|6RPLT|78BEXP|9BASARM|aRMIN
66	54171 23413	   	187.69	ACR|1BASARM|2BEXP|1DMG	1ZMB|2MBVNT|3RCR|4ERES|5DMG|6RPLT|78BEXP|9BASARM|aFEWX
67	54171 23414	   	187.69	ACR|1BASARM|2BEXP|1DMG	1ZMB|2MBVNT|3RCR|4ERES|5DMG|6RPLT|78BEXP|9BASARM|aLIT
68	21166 32323	 * 	187.62	ACR|1BASARM|1VULN|1AART|1ASPD	1VULN|2FEWX|3VENICY|4AART|5RCR|6ERES|7CGEN|8ASPD|9RMIN|aBASARM
69	13324 23215	 * 	187.56	ACR|2VULN|2ASPD|1DMG|1BEXP	18DUST|2RMIN|3BEXP|4RCR|58VULN|68ASPD|7DMSP|8BPWR|9AIRARM|aDMG
70	23446 23232	 * 	187.49	ACR|3VULN|1ASPD|1DMG|1BASICY	189VULN|2RMIN|3RCR|4CGEN|5ASPD|6RPLT|7DMG|aBASICY
71	23456 23232	   	187.49	ACR|3VULN|1ASPD|1DMG|1BASICY	189VULN|2RMIN|3RCR|4MLV|5ASPD|6RPLT|7DMG|aBASICY
72	23466 23232	   	187.39	ACR|3VULN|1ASPD|1DMG|1BASICY	189VULN|2RMIN|3RCR|4ERES|5ASPD|6RPLT|7DMG|aBASICY
73	23421 23235	   	187.32	ACR|2VULN|2ASPD|1DMG|1AAC	18VULN|2RMIN|3RCR|4MDPS|57DMSP|68ASPD|8BPWR|9AAC|aDMG
74	54141 84244	 * 	187.31	ACR|1VULN|1ASPD|1DMG|2CDMG|1AART	1ZMB|2MBVNT|3RCR|4aCDMG|5RPLT|6DMG|7VULN|8ASPD|9AART
75	23421 21265	   	187.22	ACR|2VULN|2ASPD|1DMG|1AAC	19VULN|2RMIN|3RCR|4MDPS|5DMSP|68ASPD|7AAC|aDMG
76	61561 34321	   	186.68	ACR|2BASARM|2ASPD	15aLWND|29FEWX|3MBVNT|4RCR|6aBASARM|7RPLT|8aASPD|aBPWR
77	13563 12131	 * 	186.54	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1DUST|2RMIN|3CDMG|4MDPS|5RCR|6AART|7DMG|8VULN|9BEXP|aASPD
78	54143 84214	 * 	186.51	ACR|1BASARM|1DMG|1BEXP|1CDMG	1ZMB|2MBVNT|3RCR|4CDMG|5TLV|6DMG|7FEWX|8DUR|9BASARM|aBEXP
79	54141 21283	   	186.41	ACR|1BASARM|1DMG|1BEXP|1CDMG	1ZMB|2MBVNT|3RCR|4CDMG|5RPLT|6BEXP|7MDPS|8SPLARM|9BASARM|aDMG
80	23433 25223	   	186.30	ACR|2VULN|2BEXP|1ASPD|1AART	18VULN|2RMIN|3RCR|48LWND|5FEWX|6ASPD|78BEXP|8BPWR|9RCVC|aAART
81	23426 22163	   	186.08	ACR|1BASARM|1VULN|1ASPD|1AAC	1VULN|2RMIN|3RCR|4MDPS|5RCVC|6ASPD|7LIT|8TLV|9BASARM|aAAC
82	23433 23423	   	185.93	ACR|2ASPD|1VULN|1DMG|1AART	1VULN|2RMIN|3RCR|4LWND|5FEWX|6aASPD|7AART|8ERES|9DMG
83	23433 23523	   	185.93	ACR|2ASPD|1VULN|1DMG|1AART	1VULN|2RMIN|3RCR|4LWND|5FEWX|6aASPD|7AART|8AME|9DMG
84	23435 23423	   	185.83	ACR|2ASPD|1VULN|1DMG|1AART	1VULN|2RMIN|3RCR|4LWND|5DUST|6aASPD|7AART|8ERES|9DMG
85	23435 23523	   	185.83	ACR|2ASPD|1VULN|1DMG|1AART	1VULN|2RMIN|3RCR|4LWND|5DUST|6aASPD|7AART|8AME|9DMG
86	23434 28213	   	185.60	ACR|3VULN|2DMG|1AART	158VULN|2RMIN|3RCR|48LWND|6MBVNT|78DMG|8BPWR|9AIRARM|aAART
87	23434 28243	   	185.60	ACR|3VULN|2DMG|1AART	158VULN|2RMIN|3RCR|48LWND|6MBVNT|78DMG|8BPWR|9DUST|aAART
88	23421 23562	   	185.54	ACR|2VULN|2ASPD|2BEXP	1aVULN|2RMIN|3RCR|4MDPS|57DMSP|6aASPD|8RPLT|9aBEXP|aBPWR
89	14561 34311	 * 	185.44	ACR|1BASARM|2ASPD|1BEXP	1DUST|25LWND|3MBVNT|4RCR|6BASARM|78ASPD|9BEXP|aLIT
90	14561 34312	   	185.44	ACR|1BASARM|2ASPD|1BEXP	1DUST|25LWND|3MBVNT|4RCR|6BASARM|78ASPD|9BEXP|aFEWX
91	14561 34313	   	185.44	ACR|1BASARM|2ASPD|1BEXP	1DUST|25aLWND|3MBVNT|4RCR|6BASARM|78ASPD|9BEXP
92	14561 34331	   	185.44	ACR|1BASARM|2ASPD|1BEXP	1DUST|25LWND|3MBVNT|4RCR|6BASARM|78ASPD|9BELT|aBEXP
93	14561 34342	   	185.44	ACR|1BASARM|2ASPD|1BEXP	1DUST|25LWND|3MBVNT|4RCR|6BASARM|78ASPD|9DUR|aBEXP
94	14561 34314	   	185.34	ACR|1BASARM|2ASPD|1BEXP	1DUST|25LWND|3MBVNT|4RCR|6BASARM|78ASPD|9BEXP|aTLV
95	55133 21215	 * 	184.91	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1ZMB|2BEXP|3AAC|4MLV|5RCR|6MBVNT|7CDMG|8DUR|9BASARM|aASPD
96	55133 21613	   	184.91	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1ZMB|2BEXP|3AAC|4MLV|5RCR|6MBVNT|7CDMG|8LWND|9BASARM|aASPD
97	55113 21215	   	184.81	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1ZMB|2BEXP|3AAC|4TLV|5RCR|6MBVNT|7CDMG|8DUR|9BASARM|aASPD
98	55113 21613	   	184.81	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1ZMB|2BEXP|3AAC|4TLV|5RCR|6MBVNT|7CDMG|8LWND|9BASARM|aASPD
99	14561 34132	 * 	184.62	ACR|1BASARM|1ASPD|1VULN|1CDMG	1DUST|25LWND|3MBVNT|4RCR|6BASARM|7ASPD|8CGEN|9VULN|aCDMG
100	14561 34232	   	184.62	ACR|1BASARM|1ASPD|1VULN|1CDMG	1DUST|25LWND|3MBVNT|4RCR|6BASARM|7ASPD|8MLV|9VULN|aCDMG
101	23433 25243	   	184.60	ACR|2VULN|2BEXP|1ASPD|1AART	18VULN|2RMIN|3RCR|48LWND|5FEWX|6ASPD|78BEXP|8BPWR|9DUST|aAART
102	55432 21121	 * 	184.53	ACR|3BEXP|1ASPD|1DMG|1CDMG	147ZMB|245BEXP|3RCR|4BPWR|6RPLT|8ASPD|9CDMG|aDMG
103	61122 23324	   	184.40	ACR|1ASPD|1DMG|1VULN|1AART|1BEXP|1AAC	1LWND|2FEWX|3MLV|4RCR|5BEXP|6ASPD|7AART|8AAC|9DMG|aVULN
104	61124 23324	   	184.38	ACR|2VULN|1ASPD|1DMG|1AART|1AAC	1LWND|2FEWX|3MLV|4RCR|5aVULN|6ASPD|7AART|8AAC|9DMG
105	11124 23343	   	184.30	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1AAC	1DUST|2FEWX|3MLV|4RCR|5VULN|6ASPD|7AART|8AAC|9BEXP|aDMG
106	14124 23343	   	184.30	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1AAC	1DUST|2LWND|3MLV|4RCR|5VULN|6ASPD|7AART|8AAC|9BEXP|aDMG
107	54144 23541	   	184.30	ACR|1VULN|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1ZMB|2MBVNT|3RCR|4CDMG|5VULN|6LHND|7DMG|8AAC|9ASPD|aBEXP
108	54144 43541	   	184.30	ACR|1VULN|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1ZMB|2MBVNT|3RCR|4CDMG|5VULN|6LWND|7DMG|8AAC|9ASPD|aBEXP
109	61222 23324	   	184.30	ACR|1ASPD|1DMG|1VULN|1AART|1BEXP|1AAC	1LWND|2FEWX|3ERES|4RCR|5BEXP|6ASPD|7AART|8AAC|9DMG|aVULN
110	11124 23324	   	184.28	ACR|2VULN|1ASPD|1DMG|1AART|1AAC	1DUST|2FEWX|3MLV|4RCR|5aVULN|6ASPD|7AART|8AAC|9DMG
111	14124 23324	   	184.28	ACR|2VULN|1ASPD|1DMG|1AART|1AAC	1DUST|2LWND|3MLV|4RCR|5aVULN|6ASPD|7AART|8AAC|9DMG
112	61224 23324	   	184.28	ACR|2VULN|1ASPD|1DMG|1AART|1AAC	1LWND|2FEWX|3ERES|4RCR|5aVULN|6ASPD|7AART|8AAC|9DMG
113	13324 23253	 * 	184.25	ACR|2VULN|2ASPD|1AART|1BEXP	18DUST|2RMIN|3BEXP|4RCR|58VULN|68ASPD|7DMSP|8BPWR|9FEWX|aAART
114	13451 15233	 * 	184.21	ACR|1VULN|1ASPD|1BASICY|1DMG|1AART	1DUST|2RMIN|3RCR|4AME|5DMG|6AEFBLL|7ASPD|8VULN|9BASICY|aAART
115	11224 23343	   	184.20	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1AAC	1DUST|2FEWX|3ERES|4RCR|5VULN|6ASPD|7AART|8AAC|9BEXP|aDMG
116	14224 23343	   	184.20	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1AAC	1DUST|2LWND|3ERES|4RCR|5VULN|6ASPD|7AART|8AAC|9BEXP|aDMG
117	11224 23324	   	184.18	ACR|2VULN|1ASPD|1DMG|1AART|1AAC	1DUST|2FEWX|3ERES|4RCR|5aVULN|6ASPD|7AART|8AAC|9DMG
118	14224 23324	   	184.18	ACR|2VULN|1ASPD|1DMG|1AART|1AAC	1DUST|2LWND|3ERES|4RCR|5aVULN|6ASPD|7AART|8AAC|9DMG
119	13324 23212	   	184.15	ACR|2VULN|2ASPD|1AART|1BEXP	18DUST|2RMIN|3BEXP|4RCR|58VULN|68ASPD|7DMSP|8BPWR|9AIRARM|aAART
120	13324 23263	   	184.15	ACR|2VULN|2ASPD|1AART|1BEXP	18DUST|2RMIN|3BEXP|4RCR|58VULN|68ASPD|7DMSP|8BPWR|9LEGI|aAART
121	13563 12134	 * 	184.07	ACR|2DMG|1VULN|1AART|1BEXP|1CDMG	1DUST|2RMIN|3CDMG|4MDPS|5RCR|6AART|7aDMG|8VULN|9BEXP
122	23441 21122	 * 	184.01	ACR|3VULN|3DMG	18aVULN|2RMIN|3RCR|4aCGEN|58aDMG|6RPLT|789FEWX|8aBPWR
123	23446 21122	 * 	184.01	ACR|3VULN|3ASPD	18aVULN|2RMIN|3RCR|4aCGEN|58aASPD|6RPLT|789FEWX|8aBPWR
124	23451 21122	   	184.01	ACR|3VULN|3DMG	18aVULN|2RMIN|3RCR|4aMLV|58aDMG|6RPLT|789FEWX|8aBPWR
125	23456 21122	   	184.01	ACR|3VULN|3ASPD	18aVULN|2RMIN|3RCR|4aMLV|58aASPD|6RPLT|789FEWX|8aBPWR
126	54144 23238	 * 	183.98	ACR|3VULN|1ASPD|1DMG|1CDMG	1ZMB|2MBVNT|3RCR|4CDMG|589VULN|6LHND|7DMG|aASPD
127	54144 43238	   	183.98	ACR|3VULN|1ASPD|1DMG|1CDMG	1ZMB|2MBVNT|3RCR|4CDMG|589VULN|6LWND|7DMG|aASPD
128	23441 34243	   	183.93	ACR|2ASPD|1VULN|1DMG|1AART	1VULN|2RMIN|3RCR|4CGEN|5DMG|6LWND|7MBVNT|8aASPD|9AART
129	23451 34243	   	183.93	ACR|2ASPD|1VULN|1DMG|1AART	1VULN|2RMIN|3RCR|4MLV|5DMG|6LWND|7MBVNT|8aASPD|9AART
130	23441 24133	   	183.91	ACR|3VULN|3DMG	18aVULN|2RMIN|3RCR|4CGEN|58aDMG|6RPLT|78aLWND|8aBPWR|9MDPS
131	23451 24133	   	183.91	ACR|3VULN|3DMG	18aVULN|2RMIN|3RCR|4MLV|58aDMG|6RPLT|78aLWND|8aBPWR|9MDPS
132	23461 34243	   	183.83	ACR|2ASPD|1VULN|1DMG|1AART	1VULN|2RMIN|3RCR|4ERES|5DMG|6LWND|7MBVNT|8aASPD|9AART
133	23461 24133	   	183.81	ACR|3VULN|3DMG	18aVULN|2RMIN|3RCR|4ERES|58aDMG|6RPLT|78aLWND|8aBPWR|9MDPS
134	23461 21122	   	183.81	ACR|3VULN|3DMG	18aVULN|2RMIN|3RCR|4aERES|58aDMG|6RPLT|789FEWX|8aBPWR
135	23466 21122	   	183.81	ACR|3VULN|3ASPD	18aVULN|2RMIN|3RCR|4aERES|58aASPD|6RPLT|789FEWX|8aBPWR
136	13426 34225	   	183.79	ACR|1VULN|1ASPD|1DMG|1AART|1CDMG	1DUST|2RMIN|3RCR|4MDPS|5AART|6MBVNT|7VULN|8CDMG|9ASPD|aDMG
137	55513 23223	 * 	183.62	ACR|2VULN|1DMG|2CDMG|1AART|1BEXP	1ZMB|2BEXP|39CDMG|48VULN|5RCR|6LHND|7DMG|aAART
138	13324 22164	   	183.62	ACR|1BASARM|1VULN|1ASPD|1BEXP	1DUST|2RMIN|3BEXP|4RCR|5VULN|6ASPD|7LIT|8TLV|9BASARM|aCGEN
139	13324 22166	   	183.62	ACR|1BASARM|1VULN|1ASPD|1BEXP	1DUST|2RMIN|3BEXP|4RCR|5VULN|6ASPD|7LIT|8TLV|9BASARM|aFEWX
140	13324 22461	   	183.62	ACR|1BASARM|1VULN|1ASPD|1BEXP	1DUST|2RMIN|3BEXP|4RCR|5VULN|6ASPD|7LIT|8CGEN|9BASARM|aSPLREG
141	13324 22462	   	183.62	ACR|1BASARM|1VULN|1ASPD|1BEXP	1DUST|2RMIN|3BEXP|4RCR|5VULN|6ASPD|7LIT|8CGEN|9BASARM|aERES
142	13324 22161	   	183.52	ACR|1BASARM|1VULN|1ASPD|1BEXP	1DUST|2RMIN|3BEXP|4RCR|5VULN|6ASPD|7LIT|8TLV|9BASARM|aSPLREG
143	13324 22162	   	183.52	ACR|1BASARM|1VULN|1ASPD|1BEXP	1DUST|2RMIN|3BEXP|4RCR|5VULN|6ASPD|7LIT|8TLV|9BASARM|aERES
144	23433 22463	   	183.48	ACR|1BASARM|1VULN|1ASPD|1AAC	1VULN|2RMIN|3RCR|4LWND|5FEWX|6ASPD|7LIT|8CGEN|9BASARM|aAAC
145	55432 11322	   	183.44	ACR|3BEXP|1ASPD|1VULN|1CDMG	146ZMB|245BEXP|3RCR|4BPWR|7RCVC|8CDMG|9ASPD|aVULN
146	23421 22463	   	183.38	ACR|1BASARM|1VULN|1ASPD|1AAC	1VULN|2RMIN|3RCR|4MDPS|5DMSP|6ASPD|7LIT|8CGEN|9BASARM|aAAC
147	23433 12663	   	183.38	ACR|1BASARM|1VULN|1DMG|1AAC	1VULN|2RMIN|3RCR|4LWND|5FEWX|6AME|7LIT|8DMG|9BASARM|aAAC
148	23433 22163	   	183.38	ACR|1BASARM|1VULN|1ASPD|1AAC	1VULN|2RMIN|3RCR|4LWND|5FEWX|6ASPD|7LIT|8TLV|9BASARM|aAAC
149	23433 22363	   	183.38	ACR|1BASARM|1VULN|1ASPD|1AAC	1VULN|2RMIN|3RCR|4LWND|5FEWX|6ASPD|7LIT|8AME|9BASARM|aAAC
150	23433 25221	   	183.30	ACR|2VULN|2BEXP|1ASPD|1CDMG	18VULN|2RMIN|3RCR|48LWND|5FEWX|6ASPD|78BEXP|8BPWR|9RCVC|aCDMG
151	23421 12663	   	183.28	ACR|1BASARM|1VULN|1DMG|1AAC	1VULN|2RMIN|3RCR|4MDPS|5DMSP|6AME|7LIT|8DMG|9BASARM|aAAC
152	23421 22163	   	183.28	ACR|1BASARM|1VULN|1ASPD|1AAC	1VULN|2RMIN|3RCR|4MDPS|5DMSP|6ASPD|7LIT|8TLV|9BASARM|aAAC
153	23435 22163	   	183.28	ACR|1BASARM|1VULN|1ASPD|1AAC	1VULN|2RMIN|3RCR|4LWND|5DUST|6ASPD|7LIT|8TLV|9BASARM|aAAC
