0	Index      	 *	Score 	Summary	Detail	
1	13232 56243	 * 	229.13	ACR|1BASARM|2BEXP|1DMG|2CDMG|1VULN|1AAC	1AAC|29CDMG|3FEWX|4RCR|59ZMB|6DMG|7BASARM|89BEXP|9BPWR|aVULN
29	13232 56212	   	205.66	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG|1AAC	1AAC|2CDMG|3FEWX|4RCR|5ZMB|6DMG|7BASARM|8BEXP|9AART|aRMIN
30	13232 56214	   	205.66	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG|1AAC	1AAC|2CDMG|3FEWX|4RCR|5ZMB|6DMG|7BASARM|8BEXP|9AART|aCGEN
31	13232 56215	   	205.56	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG|1AAC	1AAC|2CDMG|3FEWX|4RCR|5ZMB|6DMG|7BASARM|8BEXP|9AART|aERES
32	13234 56211	   	205.56	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG|1AAC	1AAC|2CDMG|3FEWX|4RCR|5ASPD|6NUKE|7BASARM|8BEXP|9AART|aDUR
33	13234 56212	   	205.56	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG|1AAC	1AAC|2CDMG|3FEWX|4RCR|5ASPD|6NUKE|7BASARM|8BEXP|9AART|aRMIN
34	13232 56623	   	204.76	ACR|1BASARM|2VULN|1DMG|1CDMG|1AAC	1AAC|2CDMG|38FEWX|4RCR|5ZMB|6DMG|7BASARM|9aVULN
35	13233 36651	   	202.85	ACR|1BASARM|1DMG|2CDMG|1VULN|1AAC	1AAC|28CDMG|3FEWX|4RCR|5LSRICY|6RCVC|7BASARM|9VULN|aDMG
36	22344 22512	   	202.45	ACR|3VULN|2DMG|1AART|1CDMG	18LWND|2DUR|378VULN|4RCR|5AART|68DMG|8BPWR|9CDMG|aLIT
37	22344 22511	   	202.35	ACR|3VULN|2DMG|1AART|1CDMG	18LWND|2DUR|378VULN|4RCR|5AART|68DMG|8BPWR|9CDMG|aLEGI
38	32344 22511	   	202.25	ACR|3VULN|2DMG|1AART|1CDMG	18DUST|2DUR|378VULN|4RCR|5AART|68DMG|8BPWR|9CDMG|aLHND
39	32344 22512	   	202.25	ACR|3VULN|2DMG|1AART|1CDMG	18DUST|2DUR|378VULN|4RCR|5AART|68DMG|8BPWR|9CDMG|aFEWX
40	32344 22513	   	202.25	ACR|3VULN|2DMG|1AART|1CDMG	18DUST|2DUR|378VULN|4RCR|5AART|68DMG|8BPWR|9CDMG|aLWND
41	13233 36213	 * 	200.26	ACR|1BASARM|1DMG|2AAC|1BEXP|1CDMG	1aAAC|2CDMG|3FEWX|4RCR|5LSRICY|6RCVC|7BASARM|8DMG|9BEXP
42	13233 16651	   	200.24	ACR|1BASARM|1DMG|2CDMG|1VULN|1AAC	1AAC|28CDMG|3FEWX|4RCR|5LSRICY|6AEFBLL|7BASARM|9VULN|aDMG
43	22344 22532	   	199.45	ACR|3VULN|2DMG|1AART|1BEXP	18LWND|2DUR|378VULN|4RCR|5AART|68DMG|8BPWR|9BEXP|aDMSP
44	22344 22533	   	199.45	ACR|3VULN|2DMG|1AART|1BEXP	18LWND|2DUR|378VULN|4RCR|5AART|68DMG|8BPWR|9BEXP|aLIT
45	22344 22531	   	199.35	ACR|3VULN|2DMG|1AART|1BEXP	18LWND|2DUR|378VULN|4RCR|5AART|68DMG|8BPWR|9BEXP|aVENICY
46	52142 42212	 * 	199.28	ACR|2VULN|3BEXP|1ASPD|1DMG	1DMSP|28CGEN|3RCR|48aBEXP|5DMG|6ASPD|78VULN|8BPWR|9MDPS
47	32344 22531	   	199.15	ACR|3VULN|2DMG|1AART|1BEXP	18DUST|2DUR|378VULN|4RCR|5AART|68DMG|8BPWR|9BEXP|aVENICY
48	32344 22532	   	199.15	ACR|3VULN|2DMG|1AART|1BEXP	18DUST|2DUR|378VULN|4RCR|5AART|68DMG|8BPWR|9BEXP|aLEGI
49	32344 22533	   	199.15	ACR|3VULN|2DMG|1AART|1BEXP	18DUST|2DUR|378VULN|4RCR|5AART|68DMG|8BPWR|9BEXP|aAME
