0	Index      	 *	Score 	Summary	Detail	
1	36623 51213	 * 	248.68	ACR|3DMG|2ASPD|1VULN|2BEXP|1BASICY|1AAC	17BEXP|27aDMG|3VULN|4LIT|5RCR|67ASPD|7BPWR|8AAC|9BASICY
17	33412 52231	   	220.55	ACR|1BASARM|2ASPD|2BEXP|2CDMG	13BEXP|23CDMG|3BPWR|4RCR|5LIT|67ASPD|8CGEN|9LHND|aBASARM
18	33412 52331	   	220.55	ACR|1BASARM|2ASPD|2BEXP|2CDMG	13BEXP|23CDMG|3BPWR|4RCR|5LIT|67ASPD|8MLV|9LHND|aBASARM
19	33412 52351	   	220.55	ACR|1BASARM|2ASPD|2BEXP|2CDMG	13BEXP|23CDMG|3BPWR|4RCR|5LIT|67ASPD|8MLV|9DUR|aBASARM
20	33412 52431	   	220.55	ACR|1BASARM|2ASPD|2BEXP|2CDMG	13BEXP|23CDMG|3BPWR|4RCR|5LIT|67ASPD|8FEWX|9CGEN|aBASARM
21	33412 25141	   	220.45	ACR|1BASARM|2ASPD|2BEXP|2CDMG	13BEXP|23CDMG|3BPWR|4RCR|5LIT|6ERES|79ASPD|8FEWX|aBASARM
22	33411 61134	 * 	220.18	ACR|3BEXP|2ASPD|2CDMG|1DMG|1AART	13aBEXP|23CDMG|3aBPWR|4RCR|5aFEWX|6AME|7DMG|8AART|9aASPD
23	36623 51113	   	220.11	ACR|3DMG|2ASPD|1VULN|2BEXP	17BEXP|27aDMG|3VULN|4LIT|5RCR|67ASPD|7BPWR|8TLV|9SNIHEL
24	33411 31151	   	219.51	ACR|1BASARM|2BEXP|1ASPD|2CDMG|1AART	13BEXP|23CDMG|3BPWR|4RCR|5FEWX|6ASPD|7NUKE|8AART|9BASARM|aLHND
25	33411 31154	   	219.51	ACR|1BASARM|2BEXP|1ASPD|2CDMG|1AART	13BEXP|23CDMG|3BPWR|4RCR|5FEWX|6ASPD|7NUKE|8AART|9BASARM|aRPLT
26	33411 31156	   	219.51	ACR|1BASARM|2BEXP|1ASPD|2CDMG|1AART	13BEXP|23CDMG|3BPWR|4RCR|5FEWX|6ASPD|7NUKE|8AART|9BASARM|aDUR
27	33416 12153	   	219.51	ACR|1BASARM|2BEXP|1ASPD|2CDMG|1AART	13BEXP|23CDMG|3BPWR|4RCR|57LWND|6DUST|8AART|9BASARM|aASPD
28	33416 31151	   	219.51	ACR|1BASARM|2BEXP|1ASPD|2CDMG|1AART	13BEXP|23CDMG|3BPWR|4RCR|5LWND|6ASPD|7NUKE|8AART|9BASARM|aLHND
29	33411 13153	   	219.41	ACR|1BASARM|2BEXP|1ASPD|2CDMG|1AART	13BEXP|23CDMG|3BPWR|4RCR|5FEWX|67DUST|8AART|9BASARM|aASPD
30	33411 31152	   	219.41	ACR|1BASARM|2BEXP|1ASPD|2CDMG|1AART	13BEXP|23CDMG|3BPWR|4RCR|5FEWX|6ASPD|7NUKE|8AART|9BASARM|aAME
31	33416 31152	   	219.41	ACR|1BASARM|2BEXP|1ASPD|2CDMG|1AART	13BEXP|23CDMG|3BPWR|4RCR|5LWND|6ASPD|7NUKE|8AART|9BASARM|aAME
32	12534 12253	 * 	219.36	ACR|1BASARM|2ASPD|1DMG|1BEXP|1CDMG	13ASPD|2RMIN|4RCR|5BEXP|6BELT|7CDMG|8DUR|9BASARM|aDMG
33	12534 12353	   	219.36	ACR|1BASARM|2ASPD|1DMG|1BEXP|1CDMG	13ASPD|2RMIN|4RCR|5BEXP|6BELT|7CDMG|8LWND|9BASARM|aDMG
