0	Index      	 *	Score 	Summary	Detail	
1	31324 61414	 * 	282.34	DCR|DCR|2VULN|1FLTARM|1DUR|1CDMG	1DUR|2ERES|3MBVNT|45VULN|6CDMG|7VENICY|89RCR|aFLTARM
13	31143 34631	   	259.82	DCR|DCR|1TLV|1DMG|1MLV|1DUR|1AAC	1DUR|2ERES|3DMG|4BOSS|5DUST|6TLV|78RCR|9MLV|aAAC
14	21312 11235	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1CGEN|2VULN|3MBVNT|4DUR|5RPLT|69RCR|7MLV|8FEWX|aTLV
15	21312 11635	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1CGEN|2VULN|3MBVNT|4DUR|5RPLT|69RCR|7MLV|8LWND|aTLV
16	21312 12146	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1CGEN|2VULN|3MBVNT|4DUR|5RPLT|69RCR|7BBNT|8MLV|aTLV
17	31326 38428	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1AAC	1DUR|2ERES|3MBVNT|4VULN|5TLV|6AAC|79RCR|8BEXP|aMLV
18	31335 82128	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1DUR|2ERES|3MBVNT|4ZMB|5TLV|69RCR|7FEWX|8VULN|aMLV
19	55322 11235	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1AME|2DUR|3MBVNT|4VULN|5RPLT|69RCR|7MLV|8FEWX|aTLV
20	31322 12146	   	258.09	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1DUR|2ERES|3MBVNT|4VULN|5RPLT|69RCR|7BBNT|8MLV|aTLV
21	55322 12146	   	258.09	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1AME|2DUR|3MBVNT|4VULN|5RPLT|69RCR|7BBNT|8MLV|aTLV
22	11343 33314	   	257.14	DCR|DCR|1VULN|1DMG|1DUR|1AART	1ASPD|2ERES|3AART|4DUR|5ZMB|6VULN|7aRCR|8LIT|9DMG
23	31131 64613	   	257.14	DCR|DCR|1VULN|1DMG|1AAC|1DUR	1DUR|2ERES|3DMG|4LIT|5RMIN|6VULN|78RCR|9ASPD|aAAC
24	21385 27412	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1CGEN|24VULN|3MBVNT|5BASARM|6CDMG|7DUR|89RCR|aRPLT
25	21385 27413	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1CGEN|24VULN|3MBVNT|5BASARM|6CDMG|7DUR|89RCR|aLHND
26	21388 71414	   	256.24	DCR|DCR|2VULN|1AART|1CDMG	1CGEN|24VULN|3MBVNT|5CDMG|6FEWX|7VENICY|89RCR|aAART
27	35324 13135	   	256.24	DCR|DCR|2VULN|1AAC|1DUR|1AART	1DUR|2AAC|3MBVNT|45VULN|6AART|7aRCR|8ERES|9LIT
28	31326 38422	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1AART|1AAC	1DUR|2ERES|3MBVNT|4VULN|5TLV|6AAC|79RCR|8BEXP|aAART
29	31331 78121	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1DUR|2ERES|3MBVNT|4ZMB|5LHND|6TLV|79RCR|8VULN|aAAC
30	31335 81121	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1DUR|2ERES|3MBVNT|4ZMB|5TLV|69RCR|7LWND|8VULN|aAAC
31	31335 82121	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1DUR|2ERES|3MBVNT|4ZMB|5TLV|69RCR|7FEWX|8VULN|aAAC
32	31335 87121	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1DUR|2ERES|3MBVNT|4ZMB|5TLV|69RCR|7LHND|8VULN|aAAC
33	31338 78121	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1DUR|2ERES|3MBVNT|4ZMB|5LWND|6TLV|79RCR|8VULN|aAAC
34	33315 15216	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DUR|2AART|3TLV|4FEWX|5RAT|6aRCR|7MDPS|8TBNT|9VULN
35	33336 15216	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DUR|2AART|3TLV|4RAT|5LWND|6aRCR|7MDPS|8TBNT|9VULN
36	21385 26414	   	256.14	DCR|DCR|2VULN|1AART|1CDMG	1CGEN|24VULN|3MBVNT|5BASARM|6CDMG|7DUST|89RCR|aAART
37	21385 27411	   	256.14	DCR|DCR|2VULN|1DUR|1CDMG	1CGEN|24VULN|3MBVNT|5BASARM|6CDMG|7DUR|89RCR|aERES
38	31324 61417	   	256.14	DCR|DCR|2VULN|1DUR|1CDMG	1DUR|2ERES|3MBVNT|45VULN|6CDMG|7VENICY|89RCR|aBEXP
39	31324 61418	   	256.14	DCR|DCR|2VULN|1DUR|1CDMG	1DUR|2ERES|3MBVNT|45VULN|6CDMG|7VENICY|89RCR|aLHND
40	55328 21412	   	256.14	DCR|DCR|2VULN|1DUR|1CDMG	1AME|2DUR|3MBVNT|46VULN|5CDMG|7VENICY|89RCR|aRPLT
41	55328 21413	   	256.14	DCR|DCR|2VULN|1DUR|1CDMG	1AME|2DUR|3MBVNT|46VULN|5CDMG|7VENICY|89RCR|aLHND
42	31323 61416	   	256.14	DCR|DCR|2VULN|1DUR|1CDMG	1DUR|2ERES|3MBVNT|4aVULN|5DMSP|6CDMG|7VENICY|89RCR
43	31335 48121	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1DUR|2ERES|3MBVNT|4ZMB|5TLV|6DUST|79RCR|8VULN|aAAC
44	31335 85121	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1DUR|2ERES|3MBVNT|4ZMB|5TLV|69RCR|7DUST|8VULN|aAAC
45	33334 15216	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1AART	1DUR|2AART|3TLV|4RAT|5DUST|6aRCR|7MDPS|8TBNT|9VULN
46	31323 61414	   	256.14	DCR|DCR|1VULN|1FLTARM|1DUR|1CDMG	1DUR|2ERES|3MBVNT|4VULN|5DMSP|6CDMG|7VENICY|89RCR|aFLTARM
47	31324 61411	   	256.04	DCR|DCR|2VULN|1DUR|1CDMG	1DUR|2aERES|3MBVNT|45VULN|6CDMG|7VENICY|89RCR
48	31324 61412	   	256.04	DCR|DCR|2VULN|1DUR|1CDMG	1DUR|2ERES|3MBVNT|45VULN|6CDMG|7VENICY|89RCR|aSPLJET
49	31324 61413	   	256.04	DCR|DCR|2VULN|1DUR|1CDMG	1DUR|2ERES|3MBVNT|45VULN|6CDMG|7VENICY|89RCR|aDUST
50	31324 61415	   	256.04	DCR|DCR|2VULN|1CDMG|1DUR	1DUR|2ERES|3MBVNT|45VULN|6CDMG|7VENICY|89RCR|aTSLFST
51	55328 21411	   	256.04	DCR|DCR|2VULN|1DUR|1CDMG	1AME|2DUR|3MBVNT|46VULN|5CDMG|7VENICY|89RCR|aERES
52	55344 61414	   	255.90	DCR|DCR|2VULN|1DUR|1AART|1SELL	17AME|2DUR|3MBVNT|47LSRREG|5SELL|67VULN|7BPWR|89RCR|aAART
53	43341 32621	   	255.75	DCR|DCR|2VULN|1CDMG|1AAC|2SELL	1CDMG|23SELL|4TBNT|57VULN|69RCR|8AEWIND|aAAC
54	31326 38421	 * 	255.04	DCR|DCR|1VULN|1TLV|2AAC|1DUR	1DUR|2ERES|3MBVNT|4VULN|5TLV|6aAAC|79RCR|8BEXP
55	31331 78124	 * 	255.04	DCR|DCR|1VULN|2DUR|1TLV	1aDUR|2ERES|3MBVNT|4ZMB|5LHND|6TLV|79RCR|8VULN
56	31335 81124	   	255.04	DCR|DCR|1VULN|2DUR|1TLV	1aDUR|2ERES|3MBVNT|4ZMB|5TLV|69RCR|7LWND|8VULN
57	31335 82124	   	255.04	DCR|DCR|1VULN|2DUR|1TLV	1aDUR|2ERES|3MBVNT|4ZMB|5TLV|69RCR|7FEWX|8VULN
58	31335 87124	   	255.04	DCR|DCR|1VULN|2DUR|1TLV	1aDUR|2ERES|3MBVNT|4ZMB|5TLV|69RCR|7LHND|8VULN
59	31338 78124	   	255.04	DCR|DCR|1VULN|2DUR|1TLV	1aDUR|2ERES|3MBVNT|4ZMB|5LWND|6TLV|79RCR|8VULN
60	31316 46128	 * 	254.94	DCR|DCR|2VULN|2DUR	14DUR|25ERES|3MBVNT|67RCR|8aVULN|9RPLT
61	31316 46411	   	254.94	DCR|DCR|1VULN|2DUR|1TLV	14DUR|25ERES|3MBVNT|67RCR|8TLV|9FEWX|aVULN
62	31316 46471	   	254.94	DCR|DCR|1VULN|2DUR|1TLV	14DUR|25ERES|3MBVNT|67RCR|8TLV|9LWND|aVULN
63	31335 48124	   	254.94	DCR|DCR|1VULN|2DUR|1TLV	1aDUR|2ERES|3MBVNT|4ZMB|5TLV|6DUST|79RCR|8VULN
64	31335 85124	   	254.94	DCR|DCR|1VULN|2DUR|1TLV	1aDUR|2ERES|3MBVNT|4ZMB|5TLV|69RCR|7DUST|8VULN
65	31316 46141	   	254.84	DCR|DCR|2VULN|2DUR	14DUR|25ERES|3MBVNT|67RCR|8aVULN|9AME
66	31316 46451	   	254.84	DCR|DCR|1VULN|2DUR|1TLV	14DUR|25ERES|3MBVNT|67RCR|8TLV|9DUST|aVULN
67	31316 46841	   	254.84	DCR|DCR|1VULN|2DUR|1TLV	14DUR|25ERES|3MBVNT|67RCR|8DUST|9TLV|aVULN
68	33362 11253	   	252.85	DCR|DCR|2DUR|1TLV|1MSLTOX|1AART	16DUR|2AART|3TLV|4LIT|5MSLTOX|7aRCR|8MBVNT|9MSLREG
69	33366 11143	   	252.85	DCR|DCR|2DUR|1TLV|1MSLTOX|1AART	16DUR|2AART|3TLV|4LIT|5BASHEA|7aRCR|8MSLTOX|9MBVNT
