0	Index      	 *	Score 	Summary	Detail	
1	61333 44332	 * 	258.39	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1AAC	1BEXP|2AAC|3VULN|4LHND|5TLV|68RCR|7LWND|9DUR|aMLV
47	25611 31252	   	236.50	DCR|4VULN|2DMG|1DUR	1BBNT|25DMG|3458VULN|5BPWR|6AME|7DUR|9CGEN|aRCR
48	21261 23626	 * 	236.45	DCR|DCR|1VULN|1DMG|1DUR	1BBNT|2CGEN|3DMG|4BEXP|5TBNT|6VULN|7aRCR|8DUR|9RAT
49	21261 13426	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1BBNT|2CGEN|3DMG|4BEXP|5TBNT|6DUR|7aRCR|8VULN|9RAT
50	21231 23426	   	236.35	DCR|DCR|1VULN|1DMG|1DUR	1BBNT|2CGEN|3DMG|4DUR|5TBNT|6DUST|7aRCR|8VULN|9RAT
51	23211 26142	   	235.75	DCR|2VULN|2DMG|2MLV|1TLV	1BBNT|2TLV|35DMG|45MLV|5BPWR|68LHND|79VULN|aRCR
52	23211 26442	   	235.75	DCR|2VULN|2DMG|2MLV|1TLV	1BBNT|2TLV|35DMG|45MLV|5BPWR|6LHND|79VULN|8RCVC|aRCR
53	23211 34252	   	235.65	DCR|2VULN|2DMG|2MLV|1TLV	1BBNT|2TLV|35DMG|45MLV|5BPWR|6AME|78VULN|9CGEN|aRCR
54	33223 41232	   	234.87	ACR|DCR|2VULN|1TLV|1DUR	1LWND|2RMIN|37RCR|4AME|5CANSTR|6TLV|89VULN|aDUR
55	33224 41232	   	234.87	ACR|DCR|2VULN|1TLV|1DUR	1LWND|2RMIN|37RCR|4AME|5BASARM|6TLV|89VULN|aDUR
56	52323 16512	 * 	233.95	DCR|3VULN|2DUR|1FLTARM|1MLV	1CGEN|2FLTARM|3MLV|45DUR|69aVULN|7DLOT|8RCR
57	53223 16512	   	233.95	DCR|3VULN|2DUR|1FLTARM|1MLV	1CGEN|2MLV|3FLTARM|45DUR|69aVULN|7DLOT|8RCR
58	21222 42642	   	233.89	DCR|2VULN|2DMG|2TLV|1MLV	1BBNT|27CGEN|34DMG|57VULN|67TLV|7BPWR|8RCR|9MLV|aRAT
59	21222 41542	 * 	233.85	DCR|2VULN|2DMG|2DUR|1TLV	1BBNT|2CGEN|34DMG|59VULN|6TLV|78DUR|aRCR
60	21222 42626	   	233.79	DCR|2VULN|2DMG|2TLV|1MLV	1BBNT|27CGEN|34DMG|57VULN|67TLV|7BPWR|8RCR|9MBVNT|aMLV
61	52321 16512	 * 	233.78	DCR|3VULN|2MLV|1FLTARM|1DUR	1CGEN|2FLTARM|35MLV|4DUR|69aVULN|7DLOT|8RCR
62	53221 16512	   	233.78	DCR|3VULN|2MLV|1FLTARM|1DUR	1CGEN|25MLV|3FLTARM|4DUR|69aVULN|7DLOT|8RCR
63	23222 61542	   	233.75	DCR|2VULN|2DMG|2DUR|1TLV	1BBNT|2TLV|34DMG|59VULN|6ERES|78DUR|aRCR
64	23222 62642	   	233.69	DCR|2VULN|2DMG|2TLV|1MLV	1BBNT|27TLV|34DMG|57VULN|67ERES|7BPWR|8RCR|9MLV|aRAT
65	23222 62352	   	233.69	DCR|2VULN|2DMG|2TLV|1MLV	1BBNT|27TLV|34DMG|57VULN|67ERES|7BPWR|8MLV|9CGEN|aRCR
66	23211 16236	 * 	233.53	DCR|2DMG|2TLV|1VULN|2MLV|1AART	1BBNT|27TLV|35DMG|45MLV|5BPWR|6AART|8FEWX|9RCR|aVULN
67	34221 45323	 * 	232.75	ACR|DCR|2TLV|1VULN|1AART|1CDMG|1AAC	1LWND|2aTLV|38RCR|4AME|5AAC|6AART|7VULN|9CDMG
68	21222 42652	   	231.93	DCR|2VULN|2DMG|2TLV|1DUR	1BBNT|27aCGEN|34DMG|57VULN|67TLV|7BPWR|8RCR|9DUR
69	21222 42633	   	231.83	DCR|2VULN|2DMG|2TLV|1CDMG	1BBNT|27CGEN|34DMG|57VULN|67TLV|7BPWR|8RCR|9CANSTR|aCDMG
70	21222 42651	   	231.83	DCR|2VULN|2DMG|2TLV|1DUR	1BBNT|27CGEN|34DMG|57VULN|67TLV|7BPWR|8RCR|9DUR|aAETHUN
71	21222 42653	   	231.83	DCR|2VULN|2DMG|2TLV|1DUR|1MSE	1BBNT|27CGEN|34DMG|57VULN|67TLV|7BPWR|8RCR|9DUR|aMSE
72	21222 42662	   	231.83	DCR|2VULN|2DMG|2TLV|1AAC	1BBNT|27CGEN|34DMG|57VULN|67TLV|7BPWR|8RCR|9AAC|aRAT
73	21222 42663	   	231.83	DCR|2VULN|2DMG|2TLV|1AAC	1BBNT|27CGEN|34DMG|57VULN|67TLV|7BPWR|8RCR|9AAC|aASPD
74	23222 62652	   	231.73	DCR|2VULN|2DMG|2TLV|1DUR	1BBNT|27TLV|34DMG|57VULN|67ERES|7BPWR|8RCR|9DUR|aCGEN
75	23222 62653	   	231.73	DCR|2VULN|2DMG|2TLV|1DUR	1BBNT|27TLV|34DMG|57VULN|67ERES|7BPWR|8RCR|9DUR|aRAT
76	23222 12535	   	231.69	DCR|2VULN|2DMG|2TLV|1CDMG|1SELL	1BBNT|29TLV|34DMG|59VULN|6SELL|79LHND|8RCR|9BPWR|aCDMG
77	23222 16535	   	231.69	DCR|2VULN|2DMG|2TLV|1CDMG|1SELL	1BBNT|29TLV|34DMG|59VULN|6SELL|79FEWX|8RCR|9BPWR|aCDMG
78	23222 62615	   	231.63	DCR|2VULN|2DMG|2TLV|1AAC	1BBNT|27TLV|34DMG|57VULN|679ERES|7BPWR|8RCR|aAAC
79	23222 62632	   	231.63	DCR|2VULN|2DMG|2TLV|1AAC	1BBNT|27TLV|34DMG|57VULN|67ERES|7BPWR|8RCR|9AAC|aRAT
80	23222 62633	   	231.63	DCR|2VULN|2DMG|2TLV|1AAC	1BBNT|27TLV|34DMG|57VULN|67ERES|7BPWR|8RCR|9AAC|aASPD
81	23222 62634	   	231.63	DCR|2VULN|2DMG|2TLV|1AAC	1BBNT|27TLV|34DMG|57VULN|67ERES|7BPWR|8RCR|9AAC|aTBNT
82	23222 62636	   	231.63	DCR|2VULN|2DMG|2TLV|1AAC	1BBNT|27TLV|34DMG|57VULN|67aERES|7BPWR|8RCR|9AAC
83	23222 62651	   	231.63	DCR|2VULN|2DMG|2TLV|1DUR	1BBNT|27TLV|34DMG|57VULN|67ERES|7BPWR|8RCR|9DUR|aAETHUN
84	23211 14136	 * 	230.60	DCR|2DMG|3MLV|2TLV|2CDMG|1AART	1BBNT|29TLV|35DMG|459MLV|59BPWR|6AART|79CDMG|8TBNT|aRCR
85	52141 16113	 * 	229.99	DCR|3VULN|2DMG|1FLTARM	13CGEN|2FLTARM|456VULN|79DMG|8DMSP|aRCR
86	52162 15113	   	229.99	DCR|3VULN|2DMG|1FLTARM	13CGEN|2FLTARM|49DMG|567VULN|8DMSP|aRCR
87	21222 45242	   	229.89	DCR|3VULN|2DMG|1TLV	1BBNT|2CGEN|34DMG|589VULN|6TLV|7LHND|aRCR
88	25611 21132	   	229.89	DCR|3VULN|2DMG|2DUR	1BBNT|25DMG|345VULN|5BPWR|68LHND|79DUR|aRCR
89	25611 21432	   	229.89	DCR|3VULN|2DMG|2DUR	1BBNT|25DMG|345VULN|5BPWR|6LHND|79DUR|8RCVC|aRCR
90	52141 16313	   	229.89	DCR|3VULN|2DMG|1FLTARM	13CGEN|2FLTARM|456VULN|79DMG|8AEWIND|aRCR
91	52162 15313	   	229.89	DCR|3VULN|2DMG|1FLTARM	13CGEN|2FLTARM|49DMG|567VULN|8AEWIND|aRCR
92	52241 16113	   	229.89	DCR|3VULN|2DMG|1FLTARM	1CGEN|2FLTARM|3AEFBLL|456VULN|79DMG|8DMSP|aRCR
93	52262 15113	   	229.89	DCR|3VULN|2DMG|1FLTARM	1CGEN|2FLTARM|3AEFBLL|49DMG|567VULN|8DMSP|aRCR
94	52241 16313	   	229.79	DCR|3VULN|2DMG|1FLTARM	1CGEN|2FLTARM|3AEFBLL|456VULN|79DMG|8AEWIND|aRCR
95	52262 15313	   	229.79	DCR|3VULN|2DMG|1FLTARM	1CGEN|2FLTARM|3AEFBLL|49DMG|567VULN|8AEWIND|aRCR
96	34221 45322	   	229.36	ACR|DCR|1VULN|1TLV|1AART|1CDMG|1AAC	1LWND|2TLV|38RCR|4AME|5AAC|6AART|7VULN|9CDMG|aASPD
97	61333 44321	   	229.14	DCR|DCR|1VULN|1TLV|1AAC	1BEXP|2AAC|3VULN|4LHND|5TLV|68RCR|7aLWND|9FEWX
98	34336 61423	   	229.04	DCR|DCR|1VULN|1TLV	1LWND|2TLV|3VULN|45LHND|6MBVNT|7BEXP|8aRCR|9RPLT
99	61333 44323	   	229.04	DCR|DCR|1VULN|1TLV|1AAC	1BEXP|2AAC|3VULN|4LHND|5TLV|68RCR|7LWND|9FEWX|aDUST
100	34332 63423	   	228.94	DCR|DCR|1VULN|1TLV	17LWND|2TLV|3VULN|4LHND|5DUST|6MBVNT|8aRCR|9RPLT
101	34336 62423	   	228.94	DCR|DCR|1VULN|1TLV	1LWND|2TLV|3VULN|45LHND|6MBVNT|7DUST|8aRCR|9RPLT
102	61333 44313	   	228.94	DCR|DCR|1VULN|1TLV|1AAC	1BEXP|2AAC|3VULN|4LHND|5TLV|68RCR|7LWND|9AEWIND|aDUST
