0	Index      	 *	Score 	Summary	Detail	
1	41621 33423	 * 	215.65	DCR|3DMG|2VULN|1ASPD|1CDMG|1AAC|1ZMB	18VULN|237DMG|4AAC|5ASPD|6ZMB|9CDMG|aRCR
24	41412 51131	   	205.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14VULN|26DMG|3FEWX|5DUR|7CGEN|8ASPD|9AART|aRCR
25	56613 22222	 * 	205.52	DCR|2SPLARM|2VULN|2DMG|2DUR|1ZMB	1aDMG|2BELT|3aVULN|49DUR|5ZMB|6RCR|7aSPLARM|8RPLT|aBPWR
26	41221 63212	   	204.91	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1DUR	13VULN|2DMG|4AAC|5ASPD|6AART|7DUR|8CDMG|9RCVC|aRCR
27	41221 22553	 * 	204.89	DCR|3VULN|2DMG|1ASPD|2DUR|1AAC	139VULN|29DMG|4AAC|5ASPD|6LWND|79DUR|8MBVNT|9BPWR|aRCR
28	42143 11335	   	204.81	DCR|2VULN|1MDPS|3CDMG|1AART|1ASPD|1ZMB	1aVULN|2aSPLJET|3ZMB|4ASPD|5AART|6MDPS|79aCDMG|8RCR|aBPWR
29	43233 52243	   	203.92	DCR|3VULN|2DMG|2DUR|2ZMB|1AAC	138VULN|28ZMB|4MULARM|56DUR|78DMG|8BPWR|9RCR|aAAC
30	16331 23524	 * 	203.77	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE	1LWND|25VULN|3AART|45CGEN|5BPWR|6AIRARM|7DMG|8RCR|9ASPD|aNUKE
31	41215 32232	   	203.70	DCR|3VULN|1AART|1ASPD|1DMG	13aVULN|2DMG|4RPLT|5ASPD|6RMIN|7AART|8MLV|9RCR
32	26321 23524	   	203.57	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE	1LHND|25VULN|3AART|45TLV|5BPWR|6AIRARM|7DMG|8RCR|9ASPD|aNUKE
33	41615 32232	   	203.45	DCR|2VULN|2DMG|1AART|1ASPD	1aVULN|23DMG|4RPLT|5ASPD|6RMIN|7AART|8MLV|9RCR
34	42323 32366	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	189VULN|2SPLJET|3AAC|4CGEN|5AART|6ASPD|7RCR|aDMG
35	62633 32314	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	1FEWX|2BASARM|348VULN|5AART|6ASPD|7RCR|9BEXP|aDMG
36	11463 25323	   	202.95	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2DMG|3FEWX|4RMIN|5ASPD|6RCR|7aVULN|8DUR|9AART
37	61363 25323	   	202.95	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1FEWX|2DMG|3LWND|4RMIN|5ASPD|6RCR|7aVULN|8DUR|9AART
38	51363 25323	   	202.85	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DMG|2DUST|3LWND|4RMIN|5ASPD|6RCR|7aVULN|8DUR|9AART
39	16325 13151	 * 	202.62	DCR|2VULN|2AART|1ASPD|1DMG	1LWND|26VULN|38AART|4LEGI|5RMIN|7ASPD|9DMG|aRCR
40	43612 22143	   	202.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	19VULN|2ZMB|3DMG|4CGEN|5DUR|6RCR|7MBVNT|8AART|aCDMG
41	41215 32412	   	202.21	DCR|2VULN|2DMG|1AART|1ASPD	13VULN|28DMG|4RPLT|5ASPD|6RMIN|7AART|9RCVC|aRCR
42	43612 23422	   	202.15	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB|1DUR	18VULN|2ZMB|3DMG|4CGEN|5DUR|6RCR|7ASPD|9CDMG|aAAC
43	41621 63212	   	202.12	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1AAC|1DUR	1VULN|23DMG|4AAC|5ASPD|6AART|7DUR|8CDMG|9RCVC|aRCR
44	43612 24322	 * 	201.60	DCR|2VULN|1AART|1DMG|3DUR|2ZMB	19VULN|29ZMB|3DMG|4CGEN|589DUR|6RCR|7RCVC|9BPWR|aAART
45	41221 33144	   	201.48	DCR|3VULN|2DMG|1ASPD|1AAC|1ZMB	139VULN|27DMG|4AAC|5ASPD|6ZMB|8DUST|aRCR
46	41215 32433	   	201.35	DCR|2VULN|2DMG|1AART|1ASPD	13VULN|28DMG|4RPLT|5ASPD|6RMIN|7AART|9AIRARM|aRCR
47	43233 52241	   	200.58	DCR|3VULN|2DMG|2DUR|2ZMB	138VULN|28ZMB|4MULARM|56DUR|78DMG|8BPWR|9RCR|aMLV
48	43233 52242	   	200.48	DCR|3VULN|2DMG|2DUR|2ZMB	138VULN|28ZMB|4MULARM|56DUR|78DMG|8BPWR|9RCR|aTLV
49	42143 32111	   	200.44	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	17VULN|2SPLJET|3ZMB|46ASPD|5AART|8CDMG|9LWND|aRCR
50	42143 32133	   	200.34	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	17VULN|2SPLJET|3ZMB|46ASPD|5AART|8CDMG|9MBVNT|aRCR
51	43232 52135	 * 	200.21	DCR|3VULN|2ASPD|1DMG|1ZMB	13aVULN|2ZMB|4MULARM|5TLV|68ASPD|7DMG|9RCR
52	42113 32336	   	200.20	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	18VULN|2SPLJET|3ZMB|4MLV|5AART|6ASPD|7RCR|9RMIN|aDMG
53	62633 32333	   	199.97	DCR|4VULN|1AART|1ASPD	1FEWX|2BASARM|348aVULN|5AART|6ASPD|7RCR|9RCVC
54	43611 23423	   	199.87	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	18VULN|2ZMB|3DMG|4CGEN|5LHND|6RCR|7ASPD|9CDMG|aMDPS
55	41221 23144	 * 	199.84	DCR|4VULN|1ASPD|1DMG|1AAC|1ZMB	1379VULN|2DMG|4AAC|5ASPD|6LWND|8ZMB|aRCR
56	43633 23423	   	199.77	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	18VULN|2ZMB|3DMG|4DUST|5MLV|6RCR|7ASPD|9CDMG|aMDPS
57	43633 24133	   	199.63	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB|1DUR	1VULN|2ZMB|39DMG|4DUST|5MLV|6RCR|7DUR|8AART|aCDMG
58	42323 32363	   	199.22	DCR|4VULN|1AART|1ASPD|1AAC	189aVULN|2SPLJET|3AAC|4CGEN|5AART|6ASPD|7RCR
59	62633 32316	   	199.22	DCR|4VULN|1AART|1ASPD	1FEWX|2BASARM|348aVULN|5AART|6ASPD|7RCR|9BEXP
60	62633 32323	   	199.22	DCR|4VULN|1AART|1ASPD	19FEWX|2BASARM|348aVULN|5AART|6ASPD|7RCR
61	23612 23663	   	198.81	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1LHND|2ZMB|3DMG|4CGEN|5DUR|6RCR|7ASPD|8CDMG|9aVULN
62	43612 23421	   	198.71	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR|1MSE	18VULN|2ZMB|3DMG|4CGEN|5DUR|6RCR|7ASPD|9CDMG|aMSE
63	43233 52231	   	198.58	DCR|3VULN|2DMG|2DUR|2ZMB	138VULN|28ZMB|4MULARM|56DUR|78DMG|8BPWR|9RPLT|aRCR
64	42343 32161	   	198.31	DCR|2VULN|2ASPD|1AART|1CDMG|1AAC|1DUR	17VULN|2SPLJET|3AAC|46ASPD|5AART|8CDMG|9DUR|aRCR
65	41221 32144	   	198.21	DCR|3VULN|2ASPD|1DMG|1AAC|1ZMB	139VULN|2DMG|4AAC|58ASPD|6ZMB|7LHND|aRCR
66	43221 23314	   	198.21	DCR|3VULN|2ASPD|1DMG|1AAC|1ZMB	137VULN|2ZMB|4AAC|58ASPD|6LWND|9DMG|aRCR
67	43633 52323	 * 	198.14	DCR|3DMG|2VULN|3DUR|1ZMB	19VULN|2ZMB|369DMG|4DUST|5MLV|789DUR|9BPWR|aRCR
68	43612 22133	 * 	198.12	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1VULN|2ZMB|3DMG|4CGEN|5DUR|6RCR|7MBVNT|89AART|aCDMG
69	43611 23163	   	198.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	19VULN|2ZMB|3DMG|4CGEN|5LHND|6RCR|7ASPD|8AART|aAME
70	43611 23161	   	197.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	19VULN|2ZMB|3DMG|4CGEN|5LHND|6RCR|7ASPD|8AART|aTSLFST
71	43612 23326	   	197.89	DCR|2ASPD|1VULN|1DMG|1CDMG|2DUR|1ZMB	1VULN|2ZMB|3DMG|4CGEN|58DUR|6RCR|7aASPD|9CDMG
72	43612 24323	 * 	197.88	DCR|2VULN|1ASPD|1DMG|3DUR|2ZMB	19VULN|29ZMB|3DMG|4CGEN|589DUR|6RCR|7RCVC|9BPWR|aASPD
73	41221 63232	 * 	197.78	DCR|2VULN|2AAC|1AART|1ASPD|1DMG|1CDMG|1DUR	13VULN|2DMG|49AAC|5ASPD|6AART|7DUR|8CDMG|aRCR
74	42143 11331	   	197.55	DCR|2VULN|1MDPS|1AART|2CDMG|1ASPD|1ZMB	1aVULN|2SPLJET|3ZMB|4ASPD|5AART|6MDPS|79CDMG|8RCR
75	41261 13331	   	197.53	DCR|3VULN|1AART|1ASPD|1DMG	137VULN|2DMG|4MLV|5ASPD|6FEWX|8BEXP|9AART|aRCR
76	12343 32534	 * 	197.50	DCR|2ASPD|1AART|1VULN|1DMG|1NUKE	1LWND|2BASARM|3CGEN|46ASPD|5AART|7VULN|8RCR|9DMG|aNUKE
77	41261 13231	   	197.43	DCR|3VULN|1AART|1ASPD|1DMG	137VULN|2DMG|4MLV|5ASPD|6FEWX|8DUST|9AART|aRCR
78	41215 22263	   	197.33	DCR|3VULN|1AART|1ASPD|1DMG	139VULN|2DMG|4RPLT|5ASPD|6ERES|7AART|8BASFIG|aRCR
79	41661 13331	   	197.29	DCR|2VULN|2DMG|1AART|1ASPD	17VULN|23DMG|4MLV|5ASPD|6FEWX|8BEXP|9AART|aRCR
80	21411 51131	   	197.29	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|26DMG|3FEWX|45VULN|7CGEN|8ASPD|9AART|aRCR
81	41241 51131	   	197.29	DCR|2VULN|2DMG|1AART|1ASPD	13VULN|26DMG|4BEXP|5LHND|7CGEN|8ASPD|9AART|aRCR
82	41251 51131	   	197.29	DCR|2VULN|2DMG|1AART|1ASPD	13VULN|26DMG|4FEWX|5LHND|7CGEN|8ASPD|9AART|aRCR
83	41265 32131	   	197.29	DCR|2VULN|2DMG|1AART|1ASPD	13VULN|25DMG|45MLV|5BPWR|6DUST|7LHND|8ASPD|9AART|aRCR
84	41411 51131	   	197.29	DCR|2VULN|2DMG|1AART|1ASPD	14VULN|26DMG|3FEWX|5LHND|7CGEN|8ASPD|9AART|aRCR
85	41661 13231	   	197.19	DCR|2VULN|2DMG|1AART|1ASPD	17VULN|23DMG|4MLV|5ASPD|6FEWX|8DUST|9AART|aRCR
86	51411 51131	   	197.19	DCR|2VULN|2DMG|1AART|1ASPD	16DMG|2DUST|3FEWX|45VULN|7CGEN|8ASPD|9AART|aRCR
87	41215 22223	   	197.09	DCR|2VULN|2DMG|1AART|1ASPD	13VULN|29DMG|4RPLT|5ASPD|6ERES|7AART|8BASFIG|aRCR
88	41215 22433	   	197.09	DCR|2VULN|2DMG|1AART|1ASPD	13VULN|28DMG|4RPLT|5ASPD|6ERES|7AART|9MSLFST|aRCR
89	41221 14236	 * 	196.84	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC	139VULN|2DMG|4AAC|5ASPD|6BELT|7SPLREG|8CDMG|aRCR
90	43652 21112	   	196.63	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	1aVULN|2aZMB|3DMG|4RMIN|5DUR|6RCR|7aLWND|8AART|9BELT|aBPWR
91	41221 61212	   	196.60	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	13VULN|2DMG|4AAC|5ASPD|6AART|7BEXP|8CDMG|9RCVC|aRCR
92	41221 64212	   	196.60	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	13VULN|2DMG|4AAC|5ASPD|6AART|7LHND|8CDMG|9RCVC|aRCR
93	11234 53161	   	196.37	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1LWND|26DMG|3RCVC|4CANSTR|5ASPD|7AART|8CDMG|9VULN|aRCR
94	43215 32433	   	196.20	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	13VULN|2ZMB|4RPLT|5ASPD|6RMIN|7AART|8DMG|9RCR|aFEWX
95	43315 32432	   	196.20	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1aVULN|2ZMB|3DMSP|4RPLT|5ASPD|6RMIN|7AART|8DMG|9RCR
96	41233 23523	   	196.17	DCR|2VULN|1AART|1DMG|1NUKE|1DUR	13VULN|2DMG|4MULARM|5DUR|6RMIN|7BELT|8RCR|9AART|aNUKE
97	43215 32431	   	196.10	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1SELL	13VULN|2ZMB|4RPLT|5ASPD|6RMIN|7AART|8DMG|9RCR|aSELL
98	42113 32164	   	196.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	19VULN|2SPLJET|3ZMB|4MLV|5AART|6ASPD|7RCR|8LHND|aDMG
99	42113 32314	   	196.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	18VULN|2SPLJET|3ZMB|4MLV|5AART|6ASPD|7RCR|9BEXP|aDMG
100	42113 32324	   	196.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	18VULN|2SPLJET|3ZMB|4MLV|5AART|6ASPD|7RCR|9FEWX|aDMG
101	42123 32164	   	196.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	19VULN|2SPLJET|3ZMB|4CGEN|5AART|6ASPD|7RCR|8LHND|aDMG
102	42123 32314	   	196.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	18VULN|2SPLJET|3ZMB|4CGEN|5AART|6ASPD|7RCR|9BEXP|aDMG
103	42123 32324	   	196.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	18VULN|2SPLJET|3ZMB|4CGEN|5AART|6ASPD|7RCR|9FEWX|aDMG
104	12113 32364	   	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1LWND|2BASARM|3ZMB|4MLV|5AART|6ASPD|7RCR|89VULN|aDMG
105	12123 32364	   	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1LWND|2BASARM|3ZMB|4CGEN|5AART|6ASPD|7RCR|89VULN|aDMG
106	62633 34111	   	195.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	17FEWX|2BASARM|34VULN|5AART|6ASPD|8DMG|9CDMG|aRCR
107	43611 25121	   	195.76	DCR|2VULN|2DMG|1AART|1ZMB	1aVULN|2ZMB|3aDMG|4CGEN|59LHND|6RCR|7aAME|8AART|aBPWR
108	41221 61233	   	195.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	13VULN|2DMG|4AAC|5ASPD|6AART|7BEXP|8CDMG|9AIRARM|aRCR
109	41221 64233	   	195.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	13VULN|2DMG|4AAC|5ASPD|6AART|7LHND|8CDMG|9AIRARM|aRCR
110	16141 13151	   	195.58	DCR|2VULN|2AART|1ASPD|1DMG	1LWND|26VULN|3LEGI|48AART|5ERES|7ASPD|9DMG|aRCR
111	16321 13151	   	195.58	DCR|2VULN|2AART|1ASPD|1DMG	1LWND|26VULN|38AART|4LEGI|5ERES|7ASPD|9DMG|aRCR
112	43611 23116	   	195.24	DCR|2DMG|1AART|1VULN|1ASPD|1ZMB	1VULN|2ZMB|3aDMG|4CGEN|5LHND|6RCR|7ASPD|8AART|9RPLT
113	41232 31254	 * 	195.22	DCR|4VULN|1AART|1DMG	1368VULN|2DMG|48MULARM|568TLV|68BPWR|7LEGI|9RCR|aAART
114	16331 23323	 * 	195.06	DCR|3VULN|2DMG|1AART	1LWND|259VULN|3AART|45CGEN|5BPWR|6AIRARM|78DMG|aRCR
115	65131 23162	   	195.00	DCR|2VULN|2ASPD|2CDMG|1DUR	1FEWX|2aCDMG|3TLV|4DUR|5RMIN|6aASPD|7RCR|8ERES|9aVULN|aBPWR
116	26351 23323	   	194.86	DCR|3VULN|2DMG|1AART	1LHND|259VULN|3AART|45ERES|5BPWR|6AIRARM|78DMG|aRCR
117	11453 25113	   	194.66	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1LWND|2DMG|3FEWX|4ZMB|5ASPD|6RCR|7VULN|8AART|9RCVC|aCDMG
118	61353 25113	   	194.66	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1FEWX|2DMG|3LWND|4ZMB|5ASPD|6RCR|7VULN|8AART|9RCVC|aCDMG
119	51353 25113	   	194.56	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DMG|2DUST|3LWND|4ZMB|5ASPD|6RCR|7VULN|8AART|9RCVC|aCDMG
120	42113 32335	   	194.36	DCR|2VULN|2ASPD|1AART|1ZMB	18VULN|2SPLJET|3ZMB|4MLV|5AART|6aASPD|7RCR|9RMIN
121	43215 53123	   	194.30	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	13aVULN|2ZMB|4RPLT|5ASPD|6DUR|7DMG|8ERES|9RCR
122	16362 13223	   	194.01	DCR|2VULN|2ASPD|1AART|1CDMG	1LWND|26VULN|3AART|47ASPD|5BEXP|8RCR|9DUST|aCDMG
123	16365 13223	   	194.01	DCR|2VULN|2ASPD|1AART|1CDMG	1LWND|26VULN|3AART|47ASPD|5FEWX|8RCR|9DUST|aCDMG
124	41216 32232	   	193.97	DCR|3VULN|1AART|1DMG|1ZMB	13aVULN|2DMG|4RPLT|5ZMB|6RMIN|7AART|8MLV|9RCR
125	43215 32232	   	193.97	DCR|3VULN|1AART|1ASPD|1ZMB	13aVULN|2ZMB|4RPLT|5ASPD|6RMIN|7AART|8MLV|9RCR
126	16362 13131	   	193.92	DCR|2VULN|2ASPD|1AART|1DMG	1LWND|26VULN|3AART|47ASPD|5BEXP|8DMG|9CGEN|aRCR
127	16365 13131	   	193.92	DCR|2VULN|2ASPD|1AART|1DMG	1LWND|26VULN|3AART|47ASPD|5FEWX|8DMG|9CGEN|aRCR
128	41261 36331	   	193.92	DCR|2VULN|2ASPD|1AART|1DMG	13VULN|2DMG|4MLV|56ASPD|7FEWX|8BEXP|9AART|aRCR
129	11453 25123	   	193.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	19LWND|2DMG|3FEWX|4ZMB|5ASPD|6RCR|7VULN|8AART|aCDMG
130	11453 25132	   	193.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1LWND|2DMG|3FEWX|4ZMB|5ASPD|6RCR|7VULN|8AART|9AME|aCDMG
131	61353 25123	   	193.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1FEWX|2DMG|39LWND|4ZMB|5ASPD|6RCR|7VULN|8AART|aCDMG
132	61353 25132	   	193.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1FEWX|2DMG|3LWND|4ZMB|5ASPD|6RCR|7VULN|8AART|9AME|aCDMG
133	43611 23122	   	193.90	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1VULN|2ZMB|3DMG|4CGEN|59LHND|6RCR|7ASPD|8AART|aCDMG
134	43214 12432	   	193.87	DCR|3VULN|1AART|1DMG|1ZMB	13aVULN|2ZMB|4RPLT|5ERES|6RMIN|7AART|8DMG|9RCR
135	43224 32432	   	193.87	DCR|3VULN|1AART|1DMG|1AAC|1ZMB	13aVULN|2ZMB|4AAC|5RPLT|6RMIN|7AART|8DMG|9RCR
136	43611 23422	   	193.84	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB	18VULN|2ZMB|3DMG|4CGEN|5LHND|6RCR|7ASPD|9CDMG|aAAC
137	41261 33231	   	193.82	DCR|2VULN|2ASPD|1AART|1DMG	13VULN|2DMG|4MLV|56ASPD|7BEXP|8DUST|9AART|aRCR
138	41261 36231	   	193.82	DCR|2VULN|2ASPD|1AART|1DMG	13VULN|2DMG|4MLV|56ASPD|7FEWX|8DUST|9AART|aRCR
139	41621 61212	   	193.81	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1AAC	1VULN|23DMG|4AAC|5ASPD|6AART|7BEXP|8CDMG|9RCVC|aRCR
140	42113 32166	   	193.80	DCR|3VULN|1AART|1ASPD|1ZMB	19aVULN|2SPLJET|3ZMB|4MLV|5AART|6ASPD|7RCR|8LHND
141	42113 32316	   	193.80	DCR|3VULN|1AART|1ASPD|1ZMB	18aVULN|2SPLJET|3ZMB|4MLV|5AART|6ASPD|7RCR|9BEXP
142	42113 32326	   	193.80	DCR|3VULN|1AART|1ASPD|1ZMB	18aVULN|2SPLJET|3ZMB|4MLV|5AART|6ASPD|7RCR|9FEWX
143	42123 32166	   	193.80	DCR|3VULN|1AART|1ASPD|1ZMB	19aVULN|2SPLJET|3ZMB|4CGEN|5AART|6ASPD|7RCR|8LHND
144	42123 32316	   	193.80	DCR|3VULN|1AART|1ASPD|1ZMB	18aVULN|2SPLJET|3ZMB|4CGEN|5AART|6ASPD|7RCR|9BEXP
145	42123 32326	   	193.80	DCR|3VULN|1AART|1ASPD|1ZMB	18aVULN|2SPLJET|3ZMB|4CGEN|5AART|6ASPD|7RCR|9FEWX
146	42123 32361	   	193.80	DCR|3VULN|1AART|1ASPD|1ZMB	189VULN|2SPLJET|3ZMB|4CGEN|5AART|6ASPD|7RCR|aAME
147	42123 32365	   	193.80	DCR|3VULN|1AART|1ASPD|1ZMB	189VULN|2SPLJET|3ZMB|4aCGEN|5AART|6ASPD|7RCR
148	51353 25123	   	193.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DMG|2DUST|39LWND|4ZMB|5ASPD|6RCR|7VULN|8AART|aCDMG
149	41453 22142	   	193.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1VULN|2DMG|3FEWX|4ZMB|5MLV|6RCR|7MBVNT|8AART|9ASPD|aCDMG
150	43616 22142	   	193.80	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1VULN|2ZMB|3DMG|4CGEN|5FEWX|6RCR|7MBVNT|8AART|9ASPD|aCDMG
151	43633 23422	   	193.74	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB	18VULN|2ZMB|3DMG|4DUST|5MLV|6RCR|7ASPD|9CDMG|aAAC
152	11453 25133	   	193.73	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB	1LWND|2DMG|3FEWX|4ZMB|5ASPD|6RCR|7VULN|8aAART|9AME
153	61353 25133	   	193.73	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB	1FEWX|2DMG|3LWND|4ZMB|5ASPD|6RCR|7VULN|8aAART|9AME
154	41616 32232	   	193.72	DCR|2VULN|2DMG|1AART|1ZMB	1aVULN|23DMG|4RPLT|5ZMB|6RMIN|7AART|8MLV|9RCR
