0	Index      	 *	Score 	Summary	Detail	
1	42313 51316	 * 	215.63	DCR|2VULN|2DMG|2ASPD|1AART|1SELL	19ASPD|29DMG|3MLV|4SELL|5AART|6RMIN|7FEWX|89VULN|9BPWR|aRCR
67	36135 31153	   	197.95	DCR|4VULN|1DMG|1CDMG	1RCVC|2CDMG|359aVULN|48BEXP|6RCR|7DMG
68	36125 31151	   	197.94	DCR|3VULN|2CDMG|1DMG|1DUR	1RCVC|29CDMG|359VULN|4DUR|6RCR|7DMG|89BEXP|9BPWR|aTLV
69	36125 31251	   	197.94	DCR|3VULN|2CDMG|1DMG|1DUR	1RCVC|29CDMG|359VULN|4DUR|6RCR|7DMG|89LWND|9BPWR|aTLV
70	36135 31353	   	197.84	DCR|3VULN|2CDMG|1DMG|1DUR	1RCVC|29CDMG|359VULN|4BEXP|6RCR|7DMG|89DUST|9BPWR|aDUR
71	22513 51316	 * 	197.84	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	19ERES|29ASPD|3DMG|4SELL|5AART|6RMIN|7FEWX|89VULN|9BPWR|aRCR
72	22513 53316	 * 	197.84	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	19ERES|29ASPD|3DMG|4SELL|5AART|6RMIN|7LWND|89VULN|9BPWR|aRCR
73	43151 34311	 * 	197.66	DCR|3ASPD|2VULN|1AART	179ASPD|2RCVC|378LIT|4RMIN|57VULN|6AART|7BPWR|aRCR
74	36125 31322	   	197.50	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	18RCVC|2CDMG|35VULN|4DUR|6RCR|7DMG|9AME|aAART
75	43514 12222	   	197.43	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1SELL	1ASPD|2RCVC|36VULN|4SELL|5DMG|7TLV|8RCR|9ZMB|aAART
76	53155 11222	 * 	197.32	DCR|4VULN|1AART|1DMG	12RPLT|3456VULN|7DMG|8RCR|9AME|aAART
77	21211 61637	   	197.25	DCR|5VULN|1DMG|2DUR	1ERES|24DUR|34679VULN|4BPWR|5MBVNT|8DMG|aRCR
78	42552 21132	 * 	197.19	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD	1ASPD|23DMG|46VULN|5MDPS|7BEXP|8BELT|9AART|aRCR
79	44513 11311	   	197.10	DCR|2DMG|2ASPD|1AART|1CDMG|2ZMB|1SELL	19ASPD|2MLV|39DMG|4SELL|5AART|6CDMG|7CGEN|89ZMB|9BPWR|aRCR
80	44513 13311	   	197.10	DCR|2DMG|2ASPD|1AART|1CDMG|2ZMB|1SELL	19ASPD|2MLV|39DMG|4SELL|5AART|6CDMG|7AME|89ZMB|9BPWR|aRCR
81	42313 14311	   	197.00	DCR|2DMG|2ASPD|1AART|1CDMG|2ZMB|1AAC|1SELL	19ASPD|29DMG|3MLV|4SELL|5AART|6CDMG|79ZMB|8AAC|9BPWR|aRCR
82	43514 12233	   	197.00	DCR|4VULN|1ASPD|1DMG|1SELL	1ASPD|2RCVC|369aVULN|4SELL|5DMG|7TLV|8RCR
83	36125 31133	   	196.81	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|2CDMG|35VULN|4DUR|6RCR|7DMG|8BEXP|9RMIN|aASPD
84	36125 33113	   	196.81	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|2CDMG|35VULN|4DUR|6RCR|7RMIN|8BEXP|9ASPD|aDMG
85	36125 31333	   	196.80	DCR|3VULN|1DMG|1CDMG|2DUR	18RCVC|2CDMG|35aVULN|49DUR|6RCR|7DMG
86	36125 31331	   	196.55	DCR|2VULN|2DMG|1CDMG|2DUR	18RCVC|2CDMG|35VULN|49DUR|6RCR|7aDMG
87	36125 31422	   	196.26	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2CDMG|35VULN|4DUR|6RCR|7DMG|8TLV|9AME|aAART
88	41323 28436	   	196.12	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1ASPD|2DUR|3MLV|4MBVNT|5CDMG|6VULN|7RCR|89AART|aZMB
89	36125 31114	   	195.98	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1RCVC|2CDMG|35VULN|4DUR|6RCR|7DMG|8BEXP|9ASPD|aAAC
90	36125 31214	   	195.98	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1RCVC|2CDMG|35VULN|4DUR|6RCR|7DMG|8LWND|9ASPD|aAAC
91	43214 11242	   	195.95	DCR|2DMG|1VULN|1AART|1ASPD|2DUR|1SELL	1ASPD|2RCVC|38DUR|4SELL|57DMG|6VULN|9RCR|aAART
92	32251 31253	 * 	195.88	ACR|3DMG|2VULN|1ASPD|1ZMB|1DUR	1RCVC|2RCR|38LIT|48aDMG|5DUR|6ASPD|78VULN|8BPWR|9ZMB
93	36125 33351	   	195.72	DCR|3VULN|1DMG|1CDMG|1DUR	18RCVC|2CDMG|359VULN|4DUR|6RCR|7RMIN|aDMG
94	36125 36113	   	195.56	DCR|3VULN|1DMG|1CDMG|2DUR	1RCVC|2CDMG|357VULN|4aDUR|6RCR|8DMG|9LEGI
95	36125 36132	   	195.56	DCR|3VULN|1DMG|1CDMG|2DUR	1RCVC|2CDMG|357VULN|49DUR|6RCR|8DMG|aDLOT
96	53131 21252	   	195.54	DCR|3VULN|2DMG|1ASPD	12RPLT|369VULN|459BEXP|79DMG|8RCR|9BPWR|aASPD
97	34211 41252	   	195.52	DCR|2VULN|2DMG|2CDMG|1AAC|1ZMB	1RCVC|2CANARM|3AAC|46VULN|56CDMG|6BPWR|7aDMG|8RCR|9ZMB
98	43516 23311	 * 	195.50	DCR|3VULN|1ASPD|1NUKE|1CDMG|1SELL	1ASPD|2RCVC|368VULN|4SELL|5AELBLL|7CDMG|9RCR|aNUKE
99	42513 22153	   	195.22	DCR|2VULN|2DMG|1MDPS|1ASPD|1AAC|1DUR	1ASPD|23DMG|4MDPS|5DUR|69VULN|7RCR|8RMIN|aAAC
100	41211 53151	   	195.16	DCR|2VULN|2ASPD|1AART|2DUR|1SELL	18ASPD|25DUR|38VULN|48TSLFST|6RCR|7BELT|8BPWR|9SELL|aAART
101	42263 11242	   	195.10	DCR|2DMG|1VULN|1AART|1ASPD|2DUR|1SELL	1ASPD|27DMG|3SELL|4RCVC|58DUR|6VULN|9RCR|aAART
102	22541 41332	 * 	194.93	DCR|2DMG|2ASPD|1VULN|2CDMG	1ERES|26ASPD|37DMG|4AIRARM|56CDMG|6BPWR|8RCR|9LIT|aVULN
103	42532 22522	   	194.82	DCR|3DMG|2VULN|1MDPS|1ASPD|1SELL	1ASPD|239DMG|4FEWX|5MDPS|6aVULN|7RCR|8SELL
104	22512 36232	 * 	194.78	DCR|2DMG|2ASPD|1AART|1VULN|1SELL	1ERES|25ASPD|35DMG|4SELL|5BPWR|6TLV|7AME|8RCR|9VULN|aAART
105	34211 41225	 * 	194.72	DCR|2VULN|3CDMG|1ASPD|1DMG|1AAC	1RCVC|2CANARM|3AAC|46VULN|569CDMG|6BPWR|7DMG|8RCR|aASPD
106	36115 31163	   	194.67	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1RCVC|2CDMG|35VULN|4FEWX|6RCR|7DMG|8BEXP|9ZMB|aASPD
107	36115 31213	   	194.67	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1RCVC|2CDMG|35VULN|4FEWX|6RCR|7DMG|8LWND|9ASPD|aZMB
108	36125 36123	   	194.58	DCR|3VULN|1DMG|1CDMG|1DUR	1RCVC|2CDMG|357VULN|4DUR|6RCR|8DMG|9AME|aRMIN
109	36135 31313	   	194.57	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1RCVC|2CDMG|35VULN|4BEXP|6RCR|7DMG|8DUST|9ASPD|aZMB
110	41423 28322	   	194.50	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2DUR|3RMIN|4MBVNT|5CDMG|6aVULN|7RCR|8RCVC|9DMG
111	42413 22313	   	194.48	DCR|3ASPD|2DMG|1MDPS|1VULN|1DUR	139ASPD|2aDMG|4MDPS|5DUR|6VULN|7RCR|8AME
112	42413 22433	   	194.48	DCR|3ASPD|2DMG|1MDPS|1VULN|1DUR	13aASPD|29DMG|4MDPS|5DUR|6VULN|7RCR|8FEWX
113	42413 22213	   	194.38	DCR|3ASPD|2DMG|1MDPS|1VULN|1DUR	139ASPD|2aDMG|4MDPS|5DUR|6VULN|7RCR|8ERES
114	42413 22533	   	194.38	DCR|3ASPD|2DMG|1MDPS|1VULN|1DUR	13aASPD|29DMG|4MDPS|5DUR|6VULN|7RCR|8MBVNT
115	21216 22161	 * 	194.20	DCR|2VULN|2DMG|3DUR|1CDMG	1ERES|245DUR|34VULN|4BPWR|6DUST|7RCR|89DMG|aCDMG
116	42341 42232	 * 	194.16	DCR|3DMG|2ASPD|3CDMG	1aASPD|26aDMG|3MLV|4AIRARM|567CDMG|6aBPWR|8RCR|9aMULARM
117	36125 32334	   	193.96	DCR|2VULN|1AART|2CDMG|1ZMB|1DUR	1RCVC|2aCDMG|35VULN|4DUR|6RCR|7DUST|8AART|9ZMB
118	43135 12114	   	193.88	DCR|2VULN|2DMG|2ASPD	18ASPD|2aRCVC|3LIT|48VULN|5ERES|6MLV|78DMG|8BPWR|9RCR
119	42452 21132	 * 	193.82	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	13ASPD|2DMG|46VULN|5MDPS|7BEXP|8BELT|9AART|aRCR
120	34422 33532	   	193.79	DCR|2VULN|2DMG|2ASPD	1RCVC|247CANARM|34VULN|47BPWR|57ASPD|67DMG|8ERES|9RCR|aCGEN
121	36115 31335	   	193.79	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	18RCVC|2CDMG|35VULN|4FEWX|6RCR|7DMG|9DUR|aASPD
122	41433 12533	   	193.77	DCR|3VULN|2ASPD|2DUR|2RMIN	14ASPD|24DUR|35RMIN|4BPWR|69aVULN|7FEWX|8RCR
123	43133 32613	   	193.71	DCR|3VULN|2ASPD|1DMG	16ASPD|2RCVC|3LIT|48aVULN|5LHND|7DMG|9RCR
124	36133 21263	   	193.70	DCR|2VULN|2DMG|2CDMG|1DUR	1RCVC|29CDMG|36VULN|49BEXP|5MBVNT|79DMG|8RCR|9BPWR|aDUR
125	34422 33531	   	193.69	DCR|2VULN|2DMG|2ASPD|1MSE	1RCVC|247CANARM|34VULN|47BPWR|57ASPD|67DMG|8ERES|9RCR|aMSE
126	34422 33533	   	193.69	DCR|2VULN|2DMG|2ASPD	1RCVC|247CANARM|34VULN|47BPWR|57ASPD|67DMG|8ERES|9RCR|aAIRARM
127	36125 31315	   	193.69	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	18RCVC|2CDMG|35VULN|4DUR|6RCR|7DMG|9LEGI|aASPD
128	41211 53136	   	193.63	DCR|3VULN|2ASPD|2DUR	18ASPD|25DUR|389VULN|48TSLFST|6RCR|7BELT|8BPWR|aRMIN
129	43135 12111	   	193.57	DCR|2VULN|2DMG|2ASPD	18ASPD|2RCVC|3LIT|48VULN|5ERES|6MLV|78DMG|8BPWR|9RCR|aLWND
130	43135 12113	   	193.57	DCR|2VULN|2DMG|2ASPD	18ASPD|2RCVC|3LIT|48VULN|5ERES|6MLV|78DMG|8BPWR|9RCR|aFEWX
131	14323 23386	   	193.55	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB	1LWND|2ZMB|3ASPD|4MBVNT|57CDMG|69VULN|8AART|aRCR
132	14323 44486	   	193.55	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB	1LWND|2ZMB|3ASPD|4MBVNT|58CDMG|6AART|79VULN|aRCR
133	43135 12116	   	193.47	DCR|2VULN|2DMG|2ASPD	18ASPD|2RCVC|3LIT|48VULN|5aERES|6MLV|78DMG|8BPWR|9RCR
134	22123 44286	   	193.42	DCR|3VULN|1AART|1ASPD|1CDMG	1ERES|2ASPD|3LEGI|4MBVNT|5CDMG|6AART|789VULN|aRCR
135	41423 28422	   	193.32	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2DUR|3RMIN|4MBVNT|5CDMG|6aVULN|7RCR|8DMSP|9DMG
136	42332 22223	   	193.06	DCR|2VULN|1MDPS|2DMG|1ASPD|2DUR	1ASPD|2aDMG|3MLV|4AME|5MDPS|6aVULN|7RCR|8ERES|9aDUR|aBPWR
137	43131 42613	   	193.04	DCR|3VULN|1ASPD|1DMG|2DUR	1ASPD|2RCVC|3LIT|48aVULN|56DUR|7DMG|9RCR
138	36115 35311	   	192.64	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|2CDMG|35VULN|4FEWX|6RCR|7VENFST|8DUR|9ASPD|aDMG
139	36125 31112	   	192.64	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|2CDMG|35VULN|4DUR|6RCR|7DMG|8aBEXP|9ASPD
140	36125 31116	   	192.64	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|2CDMG|35VULN|4DUR|6RCR|7DMG|8BEXP|9ASPD|aLWND
141	36125 31143	   	192.64	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|2CDMG|35VULN|4DUR|6RCR|7DMG|8BEXP|9MLV|aASPD
142	36125 31212	   	192.64	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|2CDMG|35VULN|4DUR|6RCR|7DMG|8LWND|9ASPD|aBEXP
143	36125 34211	   	192.64	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|2CDMG|35VULN|4DUR|6RCR|7BEXP|8VENFST|9ASPD|aDMG
144	36125 35111	   	192.64	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|2CDMG|35VULN|4DUR|6RCR|7VENFST|8LHND|9ASPD|aDMG
145	36125 35211	   	192.64	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|2CDMG|35VULN|4DUR|6RCR|7VENFST|8LWND|9ASPD|aDMG
146	36135 31135	   	192.64	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|2CDMG|35VULN|48BEXP|6RCR|7DMG|9DUR|aASPD
147	36125 31111	   	192.54	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|2CDMG|35VULN|4DUR|6RCR|7DMG|8BEXP|9ASPD|aDLOT
148	36125 31211	   	192.54	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|2CDMG|35VULN|4DUR|6RCR|7DMG|8LWND|9ASPD|aDLOT
149	36125 32211	   	192.54	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|2CDMG|35VULN|4DUR|6RCR|7DUST|8VENFST|9ASPD|aDMG
150	36125 34113	   	192.54	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1RCVC|2CDMG|35VULN|4DUR|6RCR|7BEXP|8AAC|9ASPD|aDMG
151	42432 22316	   	192.36	DCR|3ASPD|1MDPS|1VULN|1AART|1DMG	139ASPD|2DMG|4FEWX|5MDPS|6VULN|7RCR|8AME|aAART
152	43131 31613	   	192.29	DCR|3VULN|2ASPD|1ZMB|1DUR	16ASPD|2RCVC|3LIT|48aVULN|5DUR|7ZMB|9RCR
153	36125 34312	   	192.27	DCR|2VULN|2AART|1CDMG|1DUR	1RCVC|2CDMG|35VULN|4DUR|6RCR|7BEXP|8aAART|9MSLREG
154	36125 34322	   	192.27	DCR|2VULN|2AART|1CDMG|1DUR	1RCVC|2CDMG|35VULN|4DUR|6RCR|7BEXP|8aAART|9CANARM
155	42432 22216	   	192.26	DCR|3ASPD|1MDPS|1VULN|1AART|1DMG	139ASPD|2DMG|4FEWX|5MDPS|6VULN|7RCR|8ERES|aAART
156	22512 34243	 * 	192.24	DCR|3ASPD|2DMG|1AART|1DUR|1SELL	1ERES|259ASPD|35DMG|4SELL|5BPWR|6TLV|7AART|8RCR|aDUR
157	42225 21222	 * 	192.24	DCR|3ASPD|2DMG|1VULN|1NUKE|1DUR|1SELL	169ASPD|25DMG|3SELL|4DUR|7NUKE|8RCR|aVULN
158	42224 11242	   	192.21	DCR|2DMG|1VULN|1AART|1ASPD|2DUR|1SELL	1ASPD|27DMG|3SELL|48DUR|5AELBLL|6VULN|9RCR|aAART
159	36125 32312	   	192.17	DCR|2VULN|2AART|1CDMG|1DUR	1RCVC|2CDMG|35VULN|4DUR|6RCR|7DUST|8aAART|9MSLREG
