0	Index      	 *	Score 	Summary	Detail	
1	52331 16233	 * 	217.06	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	18DMG|2SELL|3DMSP|4AART|59aVULN|6CDMG|7RCR
63	35342 22234	   	197.31	DCR|3DMG|2ASPD|1VULN|1DUR	1LIT|259DMG|3aASPD|4BEXP|6DUR|7RCR|8VULN
64	35232 62234	   	197.21	DCR|3DMG|2ASPD|1VULN|1DUR	1LIT|259DMG|3DUR|4aASPD|6DUST|7RCR|8VULN
65	63316 31362	   	197.19	DCR|2VULN|2DMG|1AART|1ASPD	13DUST|23DMG|3BPWR|4BELT|5LIT|69VULN|7ASPD|8AART|aRCR
66	35342 22252	   	197.18	DCR|2VULN|2DMG|1MDPS|1ASPD|1DUR	1LIT|25DMG|3ASPD|4BEXP|6DUR|7RCR|89VULN|aMDPS
67	35232 62252	   	197.08	DCR|2VULN|1MDPS|2DMG|1ASPD|1DUR	1LIT|25DMG|3DUR|4ASPD|6DUST|7RCR|89VULN|aMDPS
68	33233 42265	   	196.81	DCR|2VULN|1ASPD|1NUKE|1CDMG|1ZMB|1DUR	19LIT|2ZMB|3DUR|4ASPD|56VULN|7RCR|8CDMG|aNUKE
69	33233 42441	   	196.72	DCR|3VULN|2ASPD|2ZMB|1DUR	18LIT|28ZMB|3DUR|4aASPD|568VULN|7RCR|8BPWR|9RCVC
70	43131 52251	   	196.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1MLV|2DMG|38VULN|4ZMB|5LIT|6ASPD|7RCR|9BEXP|aAART
71	32233 42441	 * 	196.00	DCR|3VULN|3ASPD|1NUKE|1DUR	18LIT|2NUKE|3DUR|48aASPD|568VULN|7RCR|8BPWR|9RCVC
72	33233 42421	   	195.97	DCR|3VULN|2ASPD|2ZMB|1DUR	18LIT|28ZMB|3DUR|4aASPD|568VULN|7RCR|8BPWR|9DMSP
73	33342 42251	   	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1LIT|2ZMB|3ASPD|4BEXP|5DMG|6TLV|7RCR|89VULN|aAART
74	43116 52211	   	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1MLV|2DMG|38VULN|4LIT|5ZMB|6ASPD|7RCR|9MBVNT|aAART
75	43131 52211	   	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1MLV|2DMG|38VULN|4ZMB|5LIT|6ASPD|7RCR|9MBVNT|aAART
76	33224 21254	   	195.93	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1LIT|2ZMB|3DUR|48AART|5VULN|6DMG|7DUST|9RCR|aASPD
77	35124 25331	 * 	195.89	ACR|3DMG|2AART|1MDPS|1VULN|1CDMG	1LIT|269DMG|3RCR|47AART|5VULN|8CDMG|aMDPS
78	42112 32256	   	195.79	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1MLV|2aASPD|3VULN|4LIT|5DMG|6CGEN|7RCR|8CDMG|9AART
79	43215 26121	   	195.79	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1MLV|2DMG|3CDMG|45ASPD|6VULN|7RCR|8FEWX|9AART|aCGEN
80	43215 26122	   	195.79	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1MLV|2DMG|3CDMG|45ASPD|6VULN|7RCR|8aFEWX|9AART
81	42212 53116	   	195.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1MLV|24ASPD|3CDMG|5BELT|6DMG|7RCR|8VULN|9ERES|aAART
82	51633 63321	   	195.45	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	12DMG|2BPWR|3DUR|4LWND|5ASPD|6AART|7DUST|8ZMB|9VULN|aRCR
83	63133 65321	   	195.45	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1DUST|24DMG|3LWND|5ASPD|6AART|7DUR|8ZMB|9VULN|aRCR
84	42112 12523	   	195.34	DCR|3VULN|2DMG|1ASPD	1MLV|2ASPD|369VULN|4LIT|5aDMG|7LWND|8RCR
85	43111 43523	   	195.34	DCR|3VULN|2DMG|1ASPD	1MLV|2aDMG|369VULN|4LIT|5LWND|7ASPD|8RCR
86	32233 42421	   	195.24	DCR|3VULN|3ASPD|1NUKE|1DUR	18LIT|2NUKE|3DUR|48aASPD|568VULN|7RCR|8BPWR|9DMSP
87	63333 14112	   	195.24	DCR|3VULN|2DMG|1ASPD	13DUST|23DMG|3BPWR|4ASPD|5BELT|67aVULN|8RCR|9LWND
88	63333 14123	   	195.14	DCR|3VULN|2DMG|1ASPD	13DUST|23DMG|3BPWR|4ASPD|5BELT|67aVULN|8RCR|9ERES
89	25421 14846	 * 	195.00	DCR|2VULN|2AART|2DMG|1AAC	1aAIRARM|2MBVNT|3DUST|4AAC|58AART|6aVULN|7aDMG|9RCR|aBPWR
90	61516 11222	   	194.99	DCR|2ASPD|1VULN|1AART|1DMG|2DUR	1DUST|2AART|34ASPD|5RPLT|6RCR|7aDUR|8DMG|9VULN
91	51124 14122	   	194.96	DCR|3DMG|2VULN|2ZMB|1DUR	12aDMG|2aBPWR|3aZMB|4BELT|5DUR|67VULN|8RCR|9aERES
92	52331 16222	 * 	194.92	DCR|2AART|2DMG|1VULN|1CDMG|1SELL	18DMG|2SELL|3DMSP|4aAART|5VULN|6CDMG|7RCR|9LIT
93	61344 22222	   	194.85	DCR|2AART|1VULN|1ASPD|1DMG|2DUR	1DUST|28AART|3LIT|4ASPD|5VULN|6DMG|7RCR|9aDUR
94	52331 16134	 * 	194.82	DCR|2AART|2DMG|1VULN|1CDMG|1SELL	19DMG|2SELL|3DMSP|4aAART|5VULN|6CDMG|7RCR|8DUST
95	33233 42222	   	194.58	DCR|3VULN|1ASPD|1CDMG|1ZMB|1DUR	1LIT|2ZMB|3DUR|4ASPD|56aVULN|7RCR|8CDMG|9SNIFST
96	33233 43154	   	194.50	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	1LIT|2ZMB|3DUR|4aASPD|56VULN|7AART|8FEWX|9RCR
97	42211 26351	   	194.47	DCR|3VULN|2ASPD|1CDMG|1DUR	1MLV|24ASPD|3CDMG|568VULN|7SNIFST|9RCR|aDUR
98	42211 36123	   	194.37	DCR|2ASPD|1VULN|1AART|1CDMG|1ZMB|1DUR	1MLV|24ASPD|3CDMG|5VULN|6ZMB|7RCR|8FEWX|9AART|aDUR
99	35333 32443	   	194.29	DCR|2VULN|2ASPD|1DMG|1CDMG	1LIT|2DMG|3aASPD|4MSLREG|5CDMG|6RCR|79VULN|8RPLT
100	35333 33633	   	194.29	DCR|2VULN|2ASPD|1DMG|1CDMG	18LIT|2DMG|38ASPD|4MSLREG|5CDMG|6RCR|78TLV|8BPWR|9aVULN
101	33233 42426	 * 	194.20	DCR|3VULN|3ZMB|1ASPD|1DUR	18LIT|28aZMB|3DUR|4ASPD|568VULN|7RCR|8BPWR|9DMSP
102	33333 32461	   	194.12	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1LIT|2ZMB|3ASPD|4MSLREG|5CDMG|6RCR|7aVULN|8RPLT|9AART
103	33124 35333	 * 	194.07	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LIT|2ZMB|3RCR|4AART|567VULN|8CDMG|9DMG|aDUR
104	42112 11525	 * 	194.01	DCR|3VULN|1ASPD|1DMG|1CDMG	1MLV|2ASPD|369VULN|4LIT|5DMG|7FEWX|8RCR|aCDMG
105	42112 12525	   	194.01	DCR|3VULN|1ASPD|1DMG|1CDMG	1MLV|2ASPD|369VULN|4LIT|5DMG|7LWND|8RCR|aCDMG
106	53124 63231	   	194.01	DCR|3VULN|1ASPD|1DMG|1CDMG	1DMG|26LHND|3LWND|47aVULN|5CDMG|8RCR|9ASPD
107	51124 14112	   	193.92	DCR|3VULN|2DMG|1ZMB|1DUR	12DMG|2BPWR|3ZMB|4BELT|5DUR|67aVULN|8RCR|9LWND
108	42112 13525	   	193.91	DCR|3VULN|1ASPD|1DMG|1CDMG	1MLV|2ASPD|369VULN|4LIT|5DMG|7DUST|8RCR|aCDMG
109	63124 43231	   	193.91	DCR|3VULN|1ASPD|1DMG|1CDMG	1DUST|2DMG|3LWND|47aVULN|5CDMG|6FEWX|8RCR|9ASPD
110	34313 32336	   	193.90	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1LIT|2CDMG|3RMIN|4CGEN|5VULN|6RCR|7DMG|8AART|9ZMB|aASPD
111	33124 35533	 * 	193.89	ACR|3VULN|2AART|1DMG|1ZMB|1DUR	1LIT|2ZMB|3RCR|48AART|567VULN|9DMG|aDUR
112	63332 32663	   	193.86	DCR|2VULN|2DMG|2ASPD	136DUST|23DMG|3BPWR|45ASPD|7RCR|89VULN|aRCVC
113	51122 14152	   	193.82	DCR|3VULN|2DMG|1ZMB|1DUR	12DMG|2BPWR|3ZMB|4BELT|5DUST|67aVULN|8RCR|9DUR
114	32232 42251	 * 	193.81	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE|1DUR	1LIT|2NUKE|3DUR|4ASPD|5DMG|6TLV|7RCR|89VULN|aAART
115	43112 33525	   	193.76	DCR|2VULN|2DMG|1ASPD|1CDMG	1MLV|25DMG|39VULN|4LIT|6LWND|7ASPD|8RCR|aCDMG
116	43112 13525	   	193.66	DCR|2VULN|2DMG|1ASPD|1CDMG	1MLV|25DMG|39VULN|4LIT|6LEGI|7ASPD|8RCR|aCDMG
117	33224 25252	   	193.56	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	1LIT|2ZMB|3DUR|48AART|5VULN|6aDMG|7BEXP|9RCR
118	51133 22234	   	193.42	DCR|3DMG|1VULN|1ASPD|1ZMB|1DUR	129DMG|2BPWR|3ZMB|4FEWX|5LIT|6DUR|7RCR|8VULN|aASPD
119	55133 22234	   	193.42	DCR|3DMG|1VULN|1ASPD|1ZMB|1DUR	129DMG|3ZMB|4FEWX|5LIT|6DUR|7RCR|8VULN|aASPD
120	43131 52431	   	193.24	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1MLV|29DMG|3VULN|4ZMB|5LIT|6ASPD|7RCR|8LWND|aAART
121	43131 52531	   	193.24	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1MLV|29DMG|3VULN|4ZMB|5LIT|6ASPD|7RCR|8FEWX|aAART
122	35323 14531	   	193.24	DCR|2DMG|1AART|1VULN|1ASPD|1ZMB	1LIT|29DMG|3ASPD|4CGEN|5FEWX|6VULN|7RCR|8ZMB|aAART
123	36242 52231	   	193.24	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1LIT|2AME|3ZMB|4BEXP|59DMG|6ASPD|7RCR|8VULN|aAART
124	43112 33523	   	193.16	DCR|3DMG|2VULN|1ASPD	1MLV|25aDMG|39VULN|4LIT|6LWND|7ASPD|8RCR
125	51532 33523	   	193.16	DCR|3DMG|2VULN|1ASPD	12aDMG|2BPWR|3LIT|4CGEN|59VULN|6LWND|7ASPD|8RCR
126	51123 22435	   	193.16	DCR|3DMG|2VULN|2ZMB|1DUR	12aDMG|2aBPWR|3aZMB|4BELT|5RPLT|6AME|7DUR|8aVULN|9RCR
127	33342 42231	   	193.14	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1LIT|2ZMB|3ASPD|4BEXP|59DMG|6TLV|7RCR|8VULN|aAART
128	63531 52231	   	193.14	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1DUST|29DMG|3AME|4ZMB|5LIT|6ASPD|7RCR|8VULN|aAART
129	35313 14531	   	193.14	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1LIT|29DMG|3ASPD|4TLV|5FEWX|6VULN|7RCR|8ZMB|aAART
130	43112 13523	   	193.06	DCR|3DMG|2VULN|1ASPD	1MLV|25aDMG|39VULN|4LIT|6LEGI|7ASPD|8RCR
131	51532 13523	   	193.06	DCR|3DMG|2VULN|1ASPD	12aDMG|2BPWR|3LIT|4CGEN|59VULN|6LEGI|7ASPD|8RCR
132	63333 14142	   	192.96	DCR|3DMG|2VULN|1ASPD	13DUST|239DMG|3BPWR|4ASPD|5BELT|67VULN|8RCR|aTSLARM
133	51122 14143	 * 	192.70	DCR|3DMG|2VULN|1MDPS|1ZMB	129DMG|2BPWR|3ZMB|4BELT|5DUST|67VULN|8RCR|aMDPS
134	32233 42426	   	192.65	DCR|3VULN|2ASPD|1NUKE|1ZMB|1DUR	18LIT|2NUKE|3DUR|48ASPD|568VULN|7RCR|8BPWR|9DMSP|aZMB
135	51152 12262	   	192.64	DCR|3DMG|1VULN|1ASPD|2ZMB|1DUR	124DMG|24BPWR|34ZMB|5ASPD|6TLV|7LIT|8VULN|9RCR|aDUR
136	35333 23633	   	192.49	DCR|2VULN|2ASPD|1DMG|1CDMG	18LIT|2DMG|38ASPD|4MSLREG|5CDMG|68AME|7RCR|8BPWR|9aVULN
137	52136 33232	 * 	192.39	ACR|3DMG|3ASPD|1AART|3DUR|1SELL	189DMG|2SELL|3LHND|4AART|5RCR|689ASPD|789DUR|89BPWR|aCGEN
138	52136 33234	 * 	192.39	ACR|3DMG|3ASPD|1AART|3DUR|1SELL	189DMG|2SELL|3aLHND|4AART|5RCR|689ASPD|789DUR|89BPWR
139	43215 26131	   	192.39	DCR|2VULN|2ASPD|1DMG|1CDMG	1MLV|2DMG|3CDMG|45ASPD|69VULN|7RCR|8FEWX|aLIT
140	43215 26133	   	192.39	DCR|2VULN|2ASPD|1DMG|1CDMG	1MLV|2DMG|3CDMG|45ASPD|69VULN|7RCR|8FEWX|aBELT
141	43214 26123	   	192.33	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1MLV|2DMG|3CDMG|4ASPD|5RCVC|6VULN|7RCR|8FEWX|9AART|aDUR
142	12425 52112	   	192.30	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB|1DUR	1MDPS|2DUR|36ASPD|48VULN|5AIRARM|7ZMB|9AART|aRCR
143	52136 33231	 * 	192.29	ACR|3DMG|3ASPD|1AART|3DUR|1SELL	189DMG|2SELL|3LHND|4AART|5RCR|689ASPD|789DUR|89BPWR|aERES
144	52136 33236	 * 	192.29	ACR|3DMG|3ASPD|1AART|3DUR|1SELL	189DMG|2SELL|3LHND|4AART|5RCR|689ASPD|789DUR|89BPWR|aTLV
145	52511 12524	   	192.24	DCR|3ASPD|2DMG|1VULN|1DUR|1SELL	1aDMG|2SELL|347ASPD|5VULN|6MBVNT|8RCR|9DUR
146	33133 43243	   	192.04	ACR|3VULN|2ASPD|1AART|1ZMB|1DUR	1LIT|2ZMB|3RCR|47ASPD|569VULN|8AART|aDUR
147	33343 43152	   	192.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1LIT|2ZMB|3ASPD|4BEXP|56VULN|7AART|8FEWX|9RCR|aDMG
148	43131 32256	   	191.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1MLV|2DMG|3VULN|4ZMB|5LIT|6CGEN|7RCR|8CDMG|9AART|aASPD
149	42112 61521	   	191.83	DCR|2VULN|2DMG|2ASPD	1MLV|26ASPD|39VULN|4LIT|56DMG|6BPWR|7aFEWX|8RCR
150	42112 61522	   	191.83	DCR|2VULN|2DMG|2ASPD	1MLV|26ASPD|39VULN|4LIT|56DMG|6BPWR|7FEWX|8RCR|aLHND
151	42112 62521	   	191.83	DCR|2VULN|2DMG|2ASPD	1MLV|26ASPD|39VULN|4LIT|56DMG|6BPWR|7LWND|8RCR|aFEWX
152	42112 62522	   	191.83	DCR|2VULN|2DMG|2ASPD	1MLV|26ASPD|39VULN|4LIT|56DMG|6BPWR|7LWND|8RCR|aDMSP
153	42112 52523	   	191.73	DCR|2VULN|2DMG|2ASPD	1MLV|26ASPD|39VULN|4LIT|5aDMG|7LWND|8RCR
154	42112 61523	   	191.73	DCR|2VULN|2DMG|2ASPD	1MLV|26ASPD|39VULN|4LIT|56DMG|6BPWR|7FEWX|8RCR|aDUST
155	42112 63521	   	191.73	DCR|2VULN|2DMG|2ASPD	1MLV|26ASPD|39VULN|4LIT|56DMG|6BPWR|7DUST|8RCR|aFEWX
156	42112 63523	   	191.73	DCR|2VULN|2DMG|2ASPD	1MLV|26ASPD|39VULN|4LIT|56DMG|6BPWR|7DUST|8RCR|aRMIN
157	32233 42452	 * 	191.68	DCR|3VULN|1MDPS|2ASPD|1NUKE|1DUR	18LIT|2NUKE|3DUR|48ASPD|568VULN|7RCR|8BPWR|9BEXP|aMDPS
158	63333 14116	   	191.63	DCR|2VULN|2DMG|2ASPD	13DUST|23DMG|3BPWR|4aASPD|5BELT|67VULN|8RCR|9LWND
