0	Index      	 *	Score 	Summary	Detail	
1	63525 31322	 * 	226.89	DCR|3VULN|3ASPD|2DMG|1DUR	168VULN|238ASPD|4DUR|5DUST|78DMG|8BPWR|9LIT|aRCR
16	24113 53343	   	212.63	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|2CDMG|3ERES|4DMG|5AART|6RCR|7FEWX|8VULN|9ASPD|aMDPS
17	63525 11322	   	211.57	DCR|3ASPD|2VULN|2DMG|1DUR	18VULN|238ASPD|4DUR|5DUST|6RCVC|78DMG|8BPWR|9LIT|aRCR
18	33412 54312	 * 	209.72	DCR|4VULN|2ASPD|1DMG	1DUST|24ASPD|3489VULN|4BPWR|5MSLREG|6RPLT|7RCR|aDMG
19	33415 14211	 * 	209.29	DCR|3VULN|3ASPD|1CDMG|1DUR	156DUST|247ASPD|347VULN|47BPWR|8RCR|9CDMG|aDUR
20	43411 33226	 * 	209.09	DCR|4VULN|3ASPD|1DUR	1LHND|24aASPD|3469VULN|4BPWR|5FEWX|7DUR|8RCR
21	61631 44411	 * 	208.83	DCR|2VULN|2DMG|1MDPS|2ASPD|1AART|1CDMG	17VULN|2FEWX|3AART|47DMG|57ASPD|6MBVNT|7BPWR|8MDPS|9CDMG|aRCR
22	33324 33334	 * 	208.71	DCR|2VULN|2ASPD|1AART|3DUR|1CDMG	1DUST|24ASPD|347DUR|4BPWR|56VULN|8CDMG|9AART|aRCR
23	33415 14232	 * 	208.52	DCR|3VULN|3ASPD|1AART	156DUST|247ASPD|347VULN|47BPWR|8RCR|9AART|aCGEN
24	33415 14233	   	208.52	DCR|3VULN|3ASPD|1AART	156DUST|247ASPD|347VULN|47BPWR|8RCR|9AART|aRPLT
25	33415 14231	   	208.42	DCR|3VULN|3ASPD|1AART	156DUST|247ASPD|347VULN|47BPWR|8RCR|9AART|aTLV
26	33415 14212	 * 	208.42	DCR|3VULN|3ASPD|2CDMG	156DUST|247ASPD|347VULN|47BPWR|8RCR|9aCDMG
27	61223 26342	   	208.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1aVULN|2FEWX|3CDMG|4AART|5DMG|6DUR|7ERES|8RCR|9ASPD
28	25233 61343	 * 	206.47	ACR|3ASPD|2VULN|2DMG|3ZMB	168ZMB|2aVULN|358DUST|4RCR|78aASPD|8aBPWR|9aDMG
29	61223 25152	   	206.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1aVULN|2FEWX|3CDMG|4AART|5DMG|6DUR|7ASPD|8MLV|9RCR
30	61223 25352	   	206.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1aVULN|2FEWX|3CDMG|4AART|5DMG|6DUR|7ASPD|8ERES|9RCR
31	25311 31335	   	205.92	DCR|4VULN|2ASPD|2ZMB|1DUR	18ZMB|2468VULN|34LHND|48BPWR|5FEWX|78ASPD|9DUR|aRCR
32	33412 53521	   	205.88	DCR|2VULN|2DMG|2ASPD|1CDMG	1DUST|24ASPD|34VULN|4BPWR|5MSLREG|6RPLT|7aDMG|8CDMG|9RCR
33	25315 31335	   	205.82	DCR|4VULN|2ASPD|2ZMB|1DUR	18ZMB|2468VULN|34LHND|48BPWR|5DUST|78ASPD|9DUR|aRCR
34	14313 54211	 * 	204.93	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1MLV|2CDMG|3ZMB|4DMG|57AART|6RCR|8ASPD|9MDPS|aVULN
35	14313 54212	   	204.93	DCR|2AART|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	1MLV|2CDMG|3ZMB|4DMG|57AART|6RCR|8ASPD|9MDPS|aCGEN
36	14313 54213	   	204.93	DCR|2AART|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	1MLV|2CDMG|3ZMB|4DMG|57AART|6RCR|8ASPD|9MDPS|aERES
37	24113 54211	   	204.83	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|2CDMG|3ERES|4DMG|57AART|6RCR|8ASPD|9MDPS|aVULN
38	24113 54212	   	204.83	DCR|2AART|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|2CDMG|3ERES|4DMG|57AART|6RCR|8ASPD|9MDPS|aCGEN
39	24113 54213	   	204.83	DCR|2AART|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|2CDMG|3aERES|4DMG|57AART|6RCR|8ASPD|9MDPS
40	61631 23153	   	204.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1aVULN|2FEWX|3AART|4DMG|56ASPD|7DUR|8ERES|9RCR
41	63553 21322	   	203.86	DCR|3ASPD|2VULN|2DMG	18VULN|238ASPD|4RCVC|5DUST|6LHND|78DMG|8BPWR|9LIT|aRCR
42	63553 31322	   	203.86	DCR|3ASPD|2VULN|2DMG	18VULN|238ASPD|4RCVC|5DUST|6BEXP|78DMG|8BPWR|9LIT|aRCR
43	43411 11352	   	203.46	DCR|3ASPD|2VULN|2DMG	18LHND|248ASPD|34VULN|48BPWR|5FEWX|6RCVC|78DMG|9RPLT|aRCR
44	63311 11352	   	203.46	DCR|3ASPD|2VULN|2DMG	18VULN|248ASPD|34LHND|48BPWR|5FEWX|6RCVC|78DMG|9RPLT|aRCR
45	63315 11322	   	203.36	DCR|3ASPD|2VULN|2DMG	18VULN|248ASPD|34LHND|48BPWR|5DUST|6RCVC|78DMG|9LIT|aRCR
46	43415 11322	   	203.36	DCR|3ASPD|2VULN|2DMG	18LHND|248ASPD|34VULN|48BPWR|5DUST|6RCVC|78DMG|9LIT|aRCR
47	14313 52332	   	202.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MLV|2CDMG|3ZMB|4DMG|5AART|6RCR|7LWND|8aVULN|9DUR
48	14313 53332	   	202.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MLV|2CDMG|3ZMB|4DMG|5AART|6RCR|7FEWX|8aVULN|9DUR
49	14313 55332	   	202.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MLV|2CDMG|3ZMB|4DMG|5AART|6RCR|7DUST|8aVULN|9DUR
50	24113 52332	   	202.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2CDMG|3ERES|4DMG|5AART|6RCR|7LWND|8aVULN|9DUR
51	24113 53332	   	202.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2CDMG|3ERES|4DMG|5AART|6RCR|7FEWX|8aVULN|9DUR
52	24113 55332	   	202.33	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2CDMG|3ERES|4DMG|5AART|6RCR|7DUST|8aVULN|9DUR
53	14313 51523	   	202.21	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1MLV|2CDMG|3ZMB|4DMG|5AART|6RCR|7CGEN|8ASPD|9DUR|aVULN
54	61631 23633	   	202.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	18VULN|2FEWX|3AART|4DMG|56ASPD|7DUR|9DUST|aRCR
55	24113 51523	   	202.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2CDMG|3ERES|4DMG|5AART|6RCR|7CGEN|8ASPD|9DUR|aVULN
56	43411 33224	   	201.41	DCR|4VULN|2ASPD|2DUR	1LHND|24ASPD|3469VULN|4BPWR|5FEWX|7aDUR|8RCR
57	33411 61226	 * 	201.07	DCR|3VULN|1MDPS|2ASPD|1ZMB	1DUST|24ASPD|349VULN|4BPWR|5FEWX|6ZMB|7CGEN|8RCR|aMDPS
58	33411 63226	   	200.97	DCR|3VULN|1MDPS|2ASPD|1ZMB	1DUST|24ASPD|349VULN|4BPWR|5FEWX|6ZMB|7TLV|8RCR|aMDPS
59	63311 51352	   	200.96	DCR|3ASPD|2VULN|2DMG	18VULN|248ASPD|34LHND|48BPWR|5FEWX|6DMSP|78DMG|9RPLT|aRCR
60	63311 61352	   	200.96	DCR|3ASPD|2VULN|2DMG	18VULN|248ASPD|346LHND|48BPWR|5FEWX|78DMG|9RPLT|aRCR
61	33415 14213	   	200.89	DCR|3VULN|3ASPD|1CDMG	156DUST|247ASPD|347VULN|47BPWR|8RCR|9CDMG|aMSLFST
62	63315 51322	   	200.86	DCR|3ASPD|2VULN|2DMG	18VULN|248ASPD|34LHND|48BPWR|5DUST|6DMSP|78DMG|9LIT|aRCR
63	63315 61322	   	200.86	DCR|3ASPD|2VULN|2DMG	18VULN|248ASPD|346LHND|48BPWR|5DUST|78DMG|9LIT|aRCR
64	61414 11322	   	200.86	DCR|3ASPD|2VULN|2DMG	18VULN|24FEWX|348ASPD|48BPWR|5AELBLL|6DUST|78DMG|9LIT|aRCR
65	25121 41422	   	200.83	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB	1ZMB|26VULN|3LIT|4DMG|56BEXP|6BPWR|7CDMG|8RCR|9aASPD
66	43224 31322	   	200.76	DCR|3ASPD|2VULN|2DMG	18LHND|248ASPD|34DUST|48BPWR|56VULN|78DMG|9LIT|aRCR
67	63251 31322	   	200.76	DCR|3ASPD|2VULN|2DMG	18VULN|268ASPD|3DUST|4DMSP|5FEWX|78DMG|8BPWR|9LIT|aRCR
68	63251 31352	   	200.76	DCR|3ASPD|2VULN|2DMG	18VULN|268ASPD|3DUST|4DMSP|5FEWX|78DMG|8BPWR|9RPLT|aRCR
69	63531 11322	   	200.76	DCR|3ASPD|2VULN|2DMG	18VULN|238ASPD|45FEWX|6DUST|78DMG|8BPWR|9LIT|aRCR
70	63531 11352	   	200.76	DCR|3ASPD|2VULN|2DMG	18VULN|238ASPD|45FEWX|6DUST|78DMG|8BPWR|9RPLT|aRCR
71	14313 52343	   	200.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1ZMB	1MLV|2CDMG|3ZMB|4DMG|5AART|6RCR|7LWND|8VULN|9ASPD|aAAC
72	43412 25313	   	200.49	DCR|3VULN|2ASPD|1DMG|1DUR	1LHND|24ASPD|346VULN|4BPWR|5MSLREG|7RCVC|8DUR|9RCR|aDMG
73	61223 14342	   	199.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1aVULN|2FEWX|3CDMG|4AART|5DMG|6CGEN|7LHND|8RCR|9ASPD
74	61223 36342	   	199.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1aVULN|2FEWX|3CDMG|4AART|5DMG|6LHND|7ERES|8RCR|9ASPD
75	15511 31335	   	199.85	DCR|3VULN|2DMG|1ASPD|1DUR	18MLV|268VULN|3ASPD|4RMIN|5FEWX|78DMG|8BPWR|9DUR|aRCR
76	41225 21632	 * 	199.72	DCR|3VULN|1AART|1ASPD|1CDMG	1LHND|2FEWX|3CDMG|4AART|5BEXP|69aVULN|7RCR|8ASPD
77	24535 21222	 * 	199.55	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB	1ZMB|28CDMG|35VULN|4BELT|6AART|7RCR|9TLV|aASPD
78	33324 33462	 * 	199.54	DCR|3VULN|3ASPD|3DUR	18DUST|248ASPD|347DUR|48BPWR|568VULN|9LIT|aRCR
79	24116 36222	 * 	199.45	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	1ZMB|26CDMG|389ERES|4DMG|56VULN|6BPWR|7RCR|aAART
80	61631 23351	   	199.42	DCR|2ASPD|1VULN|1AART|1DMG|2DUR|1ZMB	1VULN|2FEWX|3AART|4DMG|56ASPD|7aDUR|8ZMB|9RCR
81	33325 43561	   	199.32	DCR|2ASPD|1VULN|1AART|1DMG|2DUR|1ZMB	1DUST|24ASPD|34DUR|4BPWR|5MBVNT|6VULN|7DMG|8AART|9RCR|aZMB
82	43412 25311	   	199.25	DCR|3VULN|1MDPS|2ASPD|1DUR	1LHND|24ASPD|346VULN|4BPWR|5MSLREG|7RCVC|8DUR|9RCR|aMDPS
83	64433 31322	 * 	199.19	ACR|3ASPD|2VULN|1MDPS|2DMG	18VULN|25DUST|368ASPD|4RCR|78DMG|8BPWR|9LIT|aMDPS
84	43411 33216	   	199.04	DCR|3VULN|1MDPS|2ASPD|1DUR|1MSE	1LHND|24ASPD|346VULN|4BPWR|5FEWX|7DUR|8RCR|9MSE|aMDPS
85	63351 11335	   	198.74	DCR|2VULN|2DMG|2ASPD|1DUR	18VULN|28ASPD|3LHND|4DMSP|5FEWX|6RCVC|78DMG|8BPWR|9DUR|aRCR
86	63361 11335	   	198.74	DCR|2VULN|2DMG|2ASPD|1DUR	18VULN|28ASPD|34LHND|5FEWX|6RCVC|78DMG|8BPWR|9DUR|aRCR
87	63262 11335	   	198.54	DCR|2VULN|2DMG|2ASPD|1DUR	18VULN|28ASPD|35DUST|4LHND|6RCVC|78DMG|8BPWR|9DUR|aRCR
88	61224 25321	   	198.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1aVULN|29FEWX|3CDMG|4AART|5ZMB|6DUR|7ASPD|8RCR
89	33324 36226	   	198.39	DCR|3VULN|3ASPD|2DUR	1DUST|24aASPD|34DUR|4BPWR|569VULN|7BEXP|8RCR
90	43411 31135	   	198.29	DCR|3VULN|2ASPD|1DMG|1DUR	1LHND|24ASPD|346VULN|4BPWR|5FEWX|7DMG|8RCVC|9DUR|aRCR
91	64433 31332	 * 	198.19	ACR|3VULN|3ASPD|2DMG	18aVULN|25DUST|368ASPD|4RCR|78DMG|8BPWR|9CGEN
92	24113 54123	   	198.12	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2CDMG|3ERES|4DMG|57AART|6RCR|8LWND|9DUR|aVULN
93	64433 31313	   	198.09	ACR|3VULN|3ASPD|2DMG	18aVULN|259DUST|368ASPD|4RCR|78DMG|8BPWR
94	61223 35152	   	197.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1aVULN|2FEWX|3CDMG|4AART|5DMG|6LHND|7ASPD|8MLV|9RCR
95	61223 35352	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1aVULN|2FEWX|3CDMG|4AART|5DMG|6LHND|7ASPD|8ERES|9RCR
96	64221 25212	   	197.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	15VULN|27DUST|3CDMG|4AART|6DMG|8ASPD|9RCR|aBELT
97	64221 25213	   	197.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	15VULN|27DUST|3CDMG|4AART|6DMG|8ASPD|9RCR|aBEXP
98	33411 14423	   	197.74	DCR|2VULN|2ASPD|1AART|2DUR|1ZMB	1DUST|24ASPD|34VULN|4BPWR|5FEWX|69DUR|7ZMB|8AART|aRCR
99	64221 25211	   	197.65	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1MSE	15VULN|27DUST|3CDMG|4AART|6DMG|8ASPD|9RCR|aMSE
100	25311 31345	   	197.61	DCR|4VULN|2ASPD|2ZMB	18ZMB|2468VULN|34LHND|48BPWR|5FEWX|78ASPD|9LWND|aRCR
101	25311 31355	   	197.51	DCR|4VULN|2ASPD|2ZMB	18ZMB|2468VULN|34LHND|48BPWR|5FEWX|78ASPD|9DUST|aRCR
102	41631 32351	   	196.95	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LHND|2FEWX|3AART|4DMG|5ASPD|6SPLREG|7DUR|8aVULN|9RCR
103	41223 21345	 * 	196.90	DCR|2ASPD|1VULN|1AART|2CDMG|2DUR	1aLHND|2FEWX|3aCDMG|4AART|58DUR|6VULN|7RCR|9aASPD|aBPWR
