0	Index      	 *	Score 	Summary	Detail	
1	23421 35242	 * 	209.85	DCR|4VULN|1ASPD|1NUKE|1CDMG	1579VULN|2CDMG|3AELBLL|4CGEN|6ASPD|8RCR|aNUKE
23	21315 13166	 * 	195.82	DCR|2VULN|2ASPD|1AART|1DMG	14VULN|2TLV|37LHND|5AART|6aASPD|8DMG|9RCR
24	21415 12253	   	195.79	DCR|3VULN|1ASPD|1CDMG|1ZMB|1DUR	149VULN|24TLV|3RCVC|4BPWR|5ASPD|6DUR|7CDMG|8RCR|aZMB
25	21112 16535	 * 	195.53	DCR|4VULN|2DMG|1DUR	1489VULN|2TLV|38LWND|5LIT|6DUR|78DMG|8BPWR|aRCR
26	21312 16535	   	195.53	DCR|4VULN|2DMG|1DUR	1489VULN|2TLV|38LHND|5LIT|6DUR|78DMG|8BPWR|aRCR
27	21411 63116	   	195.25	DCR|4VULN|1DMG|1ZMB	145aVULN|24TLV|3RCVC|4BPWR|6RCR|7DMG|8RMIN|9ZMB
28	21411 61226	 * 	195.01	DCR|5VULN|1ASPD	1459aVULN|24TLV|3RCVC|4BPWR|6RCR|7FEWX|8ASPD
29	23421 35212	   	194.76	DCR|3VULN|1ASPD|1NUKE|1CDMG	157VULN|2CDMG|3AELBLL|4CGEN|6ASPD|8RCR|9RCVC|aNUKE
30	21411 63251	   	194.70	DCR|3VULN|1DMG|1CDMG|2DUR	145VULN|24TLV|3RCVC|4BPWR|6RCR|7DMG|8aDUR|9CDMG
31	23533 36261	 * 	194.50	DCR|1SPLARM|2VULN|1ASPD|1DMG|1CDMG	19VULN|2CDMG|3TSLFST|4DMSP|5DMG|6RCR|7ERES|8SPLARM|aASPD
32	23422 35242	   	194.01	DCR|3VULN|1ASPD|1NUKE|1CDMG	179VULN|2CDMG|3AELBLL|4CGEN|5DMSP|6ASPD|8RCR|aNUKE
33	23421 35234	   	193.95	DCR|4VULN|1ASPD|1CDMG	157aVULN|2CDMG|3AELBLL|4CGEN|6ASPD|8RCR|9RMIN
34	23421 35253	   	193.91	DCR|3VULN|1ASPD|1NUKE|1CDMG|1MSE	157VULN|2CDMG|3AELBLL|4CGEN|6ASPD|8RCR|9MSE|aNUKE
35	21411 63152	   	193.62	DCR|3VULN|1DMG|1CDMG|1DUR	145VULN|24TLV|3RCVC|4BPWR|6RCR|7DMG|8RMIN|9CDMG|aDUR
36	23533 33215	   	193.62	DCR|2VULN|1ASPD|1DMG|1CDMG|2ZMB	19VULN|2CDMG|3TSLFST|4DMSP|5DMG|6RCR|78ZMB|aASPD
37	26411 63221	   	193.42	DCR|4VULN|1DMG|1DUR	1459VULN|24MLV|3RCVC|4BPWR|6RCR|7DMG|8DUR|aRMIN
38	23225 44221	 * 	193.26	DCR|4VULN|1AART|1CDMG|1SELL	1679VULN|2CDMG|3SELL|4aLWND|5AART|8RCR
39	23225 44222	 * 	193.26	DCR|4VULN|1AART|1CDMG|1SELL	1679VULN|2CDMG|3SELL|4LWND|5AART|8RCR|aAME
40	23225 44223	 * 	193.26	DCR|4VULN|1AART|1CDMG|1SELL	1679VULN|2CDMG|3SELL|4LWND|5AART|8RCR|aBEXP
41	21411 63221	   	193.22	DCR|4VULN|1DMG|1DUR	1459VULN|24TLV|3RCVC|4BPWR|6RCR|7DMG|8DUR|aRMIN
42	26415 12231	   	193.19	DCR|3VULN|2CDMG|1ASPD|1DUR|1MSE	149VULN|249MLV|3RCVC|49BPWR|5ASPD|6DUR|79CDMG|8RCR|aMSE
43	26415 12233	   	193.19	DCR|3VULN|2CDMG|1ASPD|1DUR	149VULN|249MLV|3RCVC|49BPWR|5ASPD|6DUR|79CDMG|8RCR|aERES
44	21411 36622	   	193.01	DCR|5VULN|1ASPD	14568VULN|24TLV|3RCVC|4BPWR|7RCR|9FEWX|aASPD
45	21411 36122	   	192.91	DCR|5VULN|1DMG	1456aVULN|249TLV|3RCVC|4BPWR|7RCR|8DMG
46	23156 53233	 * 	192.63	DCR|2VULN|1MDPS|1AART|1CDMG|2DUR|1RMIN	18VULN|2CDMG|3RMIN|48DUR|5AART|68LHND|7RCR|8BPWR|9RCVC|aMDPS
47	26411 62312	   	192.42	DCR|3VULN|1DMG|1CDMG|1ZMB	145VULN|24MLV|39RCVC|4BPWR|6RCR|7CDMG|8ZMB|aDMG
48	23512 23241	   	192.40	DCR|1SPLARM|2VULN|2CDMG|1ASPD|1ZMB	15VULN|29CDMG|3TSLFST|45CGEN|5BPWR|6RCR|7ZMB|8SPLARM|aASPD
49	23226 36241	   	192.09	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1SELL	17VULN|2CDMG|3SELL|4LWND|5DUR|6ZMB|8RCR|9aDMG
50	21411 62334	   	191.44	DCR|4VULN|1CDMG|1ZMB	145aVULN|24TLV|3RCVC|4BPWR|6RCR|7CDMG|8ZMB|9RMIN
51	21411 36142	   	191.22	DCR|4VULN|1DMG|1DUR	1456VULN|24TLV|3RCVC|4BPWR|7RCR|8DMG|9RMIN|aDUR
52	23512 23264	   	191.04	DCR|3VULN|1SPLARM|1CDMG|1ZMB|1DUR	159VULN|2CDMG|3TSLFST|45CGEN|5BPWR|6RCR|7ZMB|8SPLARM|aDUR
53	21415 12251	   	190.70	DCR|3VULN|1ASPD|1CDMG|2DUR	149VULN|24TLV|3RCVC|4BPWR|5ASPD|6aDUR|7CDMG|8RCR
54	26411 61222	 * 	190.31	DCR|4VULN|1MDPS|1ASPD	1459VULN|24MLV|3RCVC|4BPWR|6RCR|7FEWX|8ASPD|aMDPS
55	21411 61222	   	190.11	DCR|4VULN|1MDPS|1ASPD	1459VULN|24TLV|3RCVC|4BPWR|6RCR|7FEWX|8ASPD|aMDPS
56	21411 63522	   	190.11	DCR|4VULN|1MDPS|1DMG	1459VULN|24TLV|3RCVC|4BPWR|6RCR|7DMG|8LWND|aMDPS
57	21411 63622	   	190.11	DCR|4VULN|1MDPS|1DMG	1459VULN|24TLV|3RCVC|4BPWR|6RCR|7DMG|8LHND|aMDPS
58	21411 64222	   	190.11	DCR|4VULN|1MDPS|1ASPD	1459VULN|24TLV|3RCVC|4BPWR|6RCR|7BEXP|8ASPD|aMDPS
59	23632 66221	 * 	190.01	ACR|3VULN|3CDMG|1AART|1DMG|1AAC	168VULN|268CDMG|3RCR|4BELT|5RPLT|68BPWR|7AAC|9AART|aDMG
60	43612 53213	 * 	189.92	DCR|2DMG|1VULN|1NUKE|1CDMG|1ZMB|1DUR	1DUST|2CDMG|3DUR|4VULN|5ZMB|6BEXP|78DMG|9RCR|aNUKE
61	23421 35243	   	189.79	DCR|4VULN|1ASPD|1CDMG	1579VULN|2CDMG|3AELBLL|4CGEN|6ASPD|8RCR|aLHND
62	23616 15121	 * 	189.71	ACR|5VULN|2CDMG|1ASPD	14678VULN|28CDMG|3RCR|58LIT|8BPWR|9ASPD|aRCVC
63	15231 32164	   	189.70	DCR|3VULN|1AART|1ASPD|1ZMB	1CGEN|2FEWX|3ZMB|4ASPD|5ERES|68aVULN|7AART|9RCR
64	23421 25242	   	189.69	DCR|4VULN|1DMG|1CDMG	1579VULN|2CDMG|3AELBLL|4CGEN|6ERES|8RCR|aDMG
65	23421 35241	   	189.69	DCR|4VULN|1ASPD|1CDMG	1579VULN|2CDMG|3AELBLL|4CGEN|6ASPD|8RCR|aTLV
66	26411 63213	   	189.66	DCR|3VULN|1DMG|1CDMG|1DUR	145VULN|24MLV|3RCVC|4BPWR|6RCR|7DMG|8DUR|9AME|aCDMG
67	26411 63233	   	189.56	DCR|3VULN|1DMG|1CDMG|1DUR	145VULN|24MLV|3RCVC|4BPWR|6RCR|7DMG|8DUR|9TLV|aCDMG
68	21411 61251	   	189.46	DCR|3VULN|1ASPD|1CDMG|1DUR	145VULN|24TLV|3RCVC|4BPWR|6RCR|7FEWX|8ASPD|9CDMG|aDUR
69	21411 63213	   	189.46	DCR|3VULN|1DMG|1CDMG|1DUR	145VULN|24TLV|3RCVC|4BPWR|6RCR|7DMG|8DUR|9AME|aCDMG
70	23616 15112	   	189.38	ACR|5VULN|2CDMG|1ASPD	14678VULN|28CDMG|3RCR|58LIT|8BPWR|9BEXP|aASPD
71	23616 15123	   	189.38	ACR|5VULN|2CDMG|1ASPD	14678VULN|28CDMG|3RCR|58LIT|8BPWR|9ASPD|aMLV
72	23616 15132	   	189.38	ACR|5VULN|2CDMG|1ASPD	14678VULN|28CDMG|3RCR|58LIT|8BPWR|9FEWX|aASPD
73	21411 63252	   	189.36	DCR|3VULN|1DMG|1CDMG|1DUR	145VULN|24TLV|3RCVC|4BPWR|6RCR|7DMG|8DUR|9CDMG|aERES
74	23616 15122	   	189.28	ACR|5VULN|2CDMG|1ASPD|1MSE	14678VULN|28CDMG|3RCR|58LIT|8BPWR|9ASPD|aMSE
75	26411 63212	   	189.26	DCR|4VULN|1DMG|1DUR	145aVULN|24MLV|3RCVC|4BPWR|6RCR|7DMG|8DUR|9AME
76	26411 63223	   	189.26	DCR|4VULN|1DMG|1DUR	1459VULN|24MLV|3RCVC|4BPWR|6RCR|7DMG|8DUR|aLHND
77	26411 63121	 * 	189.23	DCR|3VULN|1DMG|1NUKE	145VULN|24MLV|3RCVC|4BPWR|6RCR|7DMG|8aRMIN|9NUKE
78	26411 63122	   	189.23	DCR|3VULN|1DMG|1NUKE	145VULN|24MLV|3RCVC|4BPWR|6RCR|7DMG|8RMIN|9NUKE|aLWND
79	26411 63123	   	189.23	DCR|3VULN|1DMG|1NUKE	145VULN|24MLV|3RCVC|4BPWR|6RCR|7DMG|8RMIN|9NUKE|aDUST
80	26411 63232	   	189.16	DCR|4VULN|1DMG|1DUR	145aVULN|24MLV|3RCVC|4BPWR|6RCR|7DMG|8DUR|9TLV
81	23512 23226	   	189.13	DCR|1SPLARM|2VULN|1DMG|1CDMG|1ZMB	15VULN|2CDMG|3TSLFST|45CGEN|5BPWR|6RCR|7ZMB|8SPLARM|9RMIN|aDMG
82	21431 63226	   	189.06	DCR|4VULN|1DMG|1DUR	159aVULN|2TLV|3RCVC|4AELBLL|6RCR|7DMG|8DUR
83	21411 63212	   	189.06	DCR|4VULN|1DMG|1DUR	145aVULN|24TLV|3RCVC|4BPWR|6RCR|7DMG|8DUR|9AME
84	21411 63223	   	189.06	DCR|4VULN|1DMG|1DUR	1459VULN|24TLV|3RCVC|4BPWR|6RCR|7DMG|8DUR|aLHND
85	21411 63224	   	189.06	DCR|4VULN|1DMG|1DUR	1459VULN|24TLV|3RCVC|4BPWR|6RCR|7DMG|8DUR|aLWND
86	21411 63225	   	189.06	DCR|4VULN|1DMG|1DUR	1459VULN|24TLV|3RCVC|4BPWR|6RCR|7DMG|8DUR|aBEXP
87	21411 63422	   	189.06	DCR|4VULN|1DMG|1DUR	145aVULN|24TLV|3RCVC|4BPWR|6RCR|7DMG|8BELT|9DUR
88	23611 15236	 * 	189.04	ACR|4VULN|2ASPD|2CDMG	147aVULN|2aCDMG|3RCR|5DUST|6ERES|8aASPD|9MBVNT|aBPWR
89	21411 63121	   	189.03	DCR|3VULN|1NUKE|1DMG	145VULN|24TLV|3RCVC|4BPWR|6RCR|7DMG|8aRMIN|9NUKE
90	21411 63122	   	189.03	DCR|3VULN|1DMG|1NUKE	145VULN|24TLV|3RCVC|4BPWR|6RCR|7DMG|8RMIN|9NUKE|aLWND
91	21411 63123	   	189.03	DCR|3VULN|1DMG|1NUKE	145VULN|24TLV|3RCVC|4BPWR|6RCR|7DMG|8RMIN|9NUKE|aDUST
92	21411 63125	   	189.03	DCR|3VULN|1DMG|1NUKE	145VULN|24TLV|3RCVC|4BPWR|6RCR|7DMG|8RMIN|9NUKE|aBEXP
93	21411 63126	 * 	189.03	DCR|4VULN|1NUKE|1DMG	145aVULN|24TLV|3RCVC|4BPWR|6RCR|7DMG|8RMIN|9NUKE
94	21411 36124	   	188.98	DCR|4VULN|1DMG|1ZMB	1456VULN|249TLV|3RCVC|4BPWR|7RCR|8DMG|aZMB
95	14213 12253	   	188.97	DCR|2VULN|2ASPD|1CDMG|1ZMB|1DUR	1CGEN|24ASPD|3AELBLL|59VULN|6DUR|7CDMG|8RCR|aZMB
96	14413 12253	   	188.97	DCR|2VULN|2ASPD|1CDMG|1ZMB|1DUR	13CGEN|24ASPD|59VULN|6DUR|7CDMG|8RCR|aZMB
97	23156 22243	 * 	188.90	DCR|2VULN|1MDPS|1AART|2CDMG|3DUR|1RMIN	18VULN|28CDMG|3RMIN|478DUR|5AART|6MDPS|8BPWR|9AME|aRCR
98	23125 16241	   	188.70	DCR|2VULN|2DMG|1CDMG|1DUR|1RMIN|1SELL	17VULN|2CDMG|3RMIN|4LHND|5DUR|6SELL|8RCR|9aDMG
99	23512 23216	 * 	188.68	DCR|1SPLARM|2VULN|1AART|1CDMG|1ZMB	15VULN|2CDMG|3TSLFST|45CGEN|5BPWR|6RCR|7ZMB|8SPLARM|9BEXP|aAART
100	21431 63413	   	188.68	DCR|3VULN|1AART|1DMG	159VULN|2TLV|3RCVC|4AELBLL|6RCR|7DMG|8BELT|aAART
101	23642 32433	 * 	188.67	ACR|4VULN|2CDMG|1DMG|2ZMB	1589VULN|29CDMG|3RCR|4MLV|6BEXP|79ZMB|9BPWR|aDMG
102	23115 16241	   	188.60	DCR|2VULN|2DMG|1CDMG|1DUR|1RMIN|1SELL	17VULN|2CDMG|3RMIN|4LEGI|5DUR|6SELL|8RCR|9aDMG
103	23421 35222	   	188.47	DCR|3VULN|1SPLARM|1ASPD|1CDMG	157VULN|2CDMG|3AELBLL|4CGEN|6ASPD|8RCR|9SPLARM|aFEWX
104	23421 35223	   	188.47	DCR|3VULN|1SPLARM|1ASPD|1CDMG	157VULN|2CDMG|3AELBLL|4CGEN|6ASPD|8RCR|9SPLARM|aRPLT
105	23421 35221	   	188.37	DCR|3VULN|1SPLARM|1ASPD|1CDMG	157VULN|2CDMG|3AELBLL|4CGEN|6ASPD|8RCR|9SPLARM|aDUST
106	23512 23115	   	188.28	DCR|3VULN|1ASPD|1CDMG|1ZMB	159VULN|2CDMG|3TSLFST|45CGEN|5BPWR|6RCR|7ZMB|8DMSP|aASPD
107	21431 62325	   	188.18	DCR|1SPLARM|2VULN|1ASPD|1CDMG|1ZMB	15VULN|2TLV|3RCVC|4AELBLL|6RCR|7CDMG|8ZMB|9SPLARM|aASPD
108	21411 36162	   	188.11	DCR|4VULN|1MDPS|1DMG	1456VULN|24TLV|3RCVC|4BPWR|7RCR|8DMG|9LHND|aMDPS
109	21411 36422	   	188.11	DCR|4VULN|1MDPS|1DMG	1456VULN|24TLV|3RCVC|4BPWR|7RCR|8FEWX|9DMG|aMDPS
110	53412 12613	   	188.09	DCR|2VULN|1AART|1NUKE|1CDMG|1DUR	1FEWX|2CDMG|34VULN|5ERES|6RPLT|7AART|8RCR|9DUR|aNUKE
111	15231 32165	 * 	187.95	DCR|2VULN|2AART|1ASPD|1ZMB	1CGEN|2FEWX|3ZMB|4ASPD|5ERES|68VULN|7aAART|9RCR
112	21415 12243	   	187.59	DCR|2VULN|1ASPD|1NUKE|1CDMG|1DUR	14VULN|24TLV|3RCVC|4BPWR|5ASPD|6DUR|7CDMG|8RCR|9ERES|aNUKE
113	21411 62343	   	187.59	DCR|4VULN|1CDMG|1ZMB	1459VULN|24TLV|3aRCVC|4BPWR|6RCR|7CDMG|8ZMB
114	23613 35253	 * 	187.56	ACR|4VULN|1ASPD|1NUKE|1CDMG	1479VULN|2CDMG|3RCR|5CGEN|6BEXP|8ASPD|aNUKE
115	21411 36623	 * 	187.47	DCR|5VULN|1SPLARM	14568VULN|24TLV|3RCVC|4BPWR|7RCR|9FEWX|aSPLARM
116	23612 32453	 * 	187.46	ACR|4VULN|1DMG|1NUKE|1CDMG|1AAC	1489VULN|2CDMG|3RCR|5BEXP|6DMG|7AAC|aNUKE
117	21315 16162	   	187.37	DCR|2VULN|1AART|1ASPD|1DMG	14VULN|2TLV|3LHND|5AART|6ASPD|7RCVC|8DMG|9RCR|aRMIN
118	23611 32453	   	187.36	ACR|4VULN|1DMG|1NUKE|1CDMG|1AAC	1489VULN|2CDMG|3RCR|5DUST|6DMG|7AAC|aNUKE
119	21411 62342	   	187.27	DCR|4VULN|1CDMG|1ZMB	1459VULN|24TLV|3RCVC|4BPWR|6RCR|7CDMG|8ZMB|aRPLT
120	21411 62341	   	187.17	DCR|4VULN|1CDMG|1ZMB	1459VULN|24aTLV|3RCVC|4BPWR|6RCR|7CDMG|8ZMB
121	21411 36132	   	187.06	DCR|4VULN|1DMG|1DUR	1456VULN|24TLV|3RCVC|4BPWR|7RCR|8DMG|9CGEN|aDUR
122	23156 23115	 * 	186.99	DCR|1MDPS|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1RMIN	1VULN|2CDMG|3RMIN|4DUR|5AART|6MDPS|7RCR|8LHND|9ZMB|aDMG
123	21411 36112	   	186.96	DCR|4VULN|1DMG|1DUR	1456VULN|24TLV|3RCVC|4BPWR|7RCR|8DMG|9ERES|aDUR
124	21411 36121	   	186.96	DCR|4VULN|1DMG|1DUR	1456VULN|249TLV|3RCVC|4BPWR|7RCR|8DMG|aDUR
125	23623 35251	 * 	186.96	ACR|3VULN|1ASPD|1DMG|1CDMG|1DUR|1RMIN	179VULN|2CDMG|3RCR|4CGEN|5RMIN|6DMG|8ASPD|aDUR
126	23156 23215	   	186.89	DCR|1MDPS|1VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1RMIN	1VULN|2CDMG|3RMIN|4DUR|5AART|6MDPS|7RCR|8DUST|9ZMB|aDMG
127	23616 25112	 * 	186.65	ACR|4VULN|3CDMG|1AART	1478VULN|268CDMG|3RCR|58LIT|8BPWR|9RCVC|aAART
128	53611 13512	   	186.64	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1FEWX|2CDMG|3DUR|48VULN|5LWND|6ASPD|7DMG|9RCR|aRMIN
129	43611 13512	   	186.54	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1DUST|2CDMG|3DUR|48VULN|5LWND|6ASPD|7DMG|9RCR|aRMIN
130	23421 35232	   	186.41	DCR|3VULN|1ASPD|1CDMG|1DUR	157VULN|2CDMG|3AELBLL|4CGEN|6ASPD|8RCR|9RMIN|aDUR
131	23413 35242	   	186.21	DCR|3VULN|1DMG|1CDMG|1ZMB	179VULN|2CDMG|3AELBLL|4ERES|5ZMB|6RCVC|8RCR|aDMG
132	23512 22416	   	186.15	DCR|3VULN|1DMG|1CDMG|1DUR	159VULN|2CDMG|3TSLFST|45CGEN|5BPWR|6RCR|7DUR|8AIRARM|aDMG
133	26411 62322	   	186.15	DCR|3VULN|1SPLARM|1CDMG|1ZMB	145VULN|24MLV|3RCVC|4BPWR|6RCR|7CDMG|8ZMB|9SPLARM|aFEWX
134	23642 34233	 * 	186.13	ACR|3VULN|2ASPD|1NUKE|1CDMG	159VULN|2CDMG|3RCR|49MLV|6BEXP|7AELBLL|89ASPD|9BPWR|aNUKE
135	15231 32264	   	186.09	DCR|2VULN|2ASPD|1AART|1ZMB	1CGEN|2FEWX|3ZMB|48ASPD|5ERES|6aVULN|7AART|9RCR
136	26411 62321	   	186.05	DCR|3VULN|1SPLARM|1CDMG|1ZMB	145VULN|24MLV|3RCVC|4BPWR|6RCR|7CDMG|8ZMB|9SPLARM|aDUST
137	26411 62323	   	186.05	DCR|3VULN|1SPLARM|1CDMG|1ZMB	145VULN|24MLV|3RCVC|4BPWR|6RCR|7CDMG|8ZMB|9SPLARM|aMBVNT
138	51231 32166	   	185.99	DCR|2VULN|2ASPD|1AART|1ZMB	1FEWX|2TLV|3ZMB|4aASPD|5ERES|68VULN|7AART|9RCR
139	23612 63224	 * 	185.96	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	14VULN|2CDMG|3RCR|5BEXP|6DUR|7FEWX|8DMG|9ASPD|aAART
140	21411 62322	   	185.95	DCR|3VULN|1SPLARM|1CDMG|1ZMB	145VULN|24TLV|3RCVC|4BPWR|6RCR|7CDMG|8ZMB|9SPLARM|aFEWX
141	21411 62324	   	185.95	DCR|3VULN|1SPLARM|1CDMG|1ZMB	145VULN|24TLV|3RCVC|4BPWR|6RCR|7CDMG|8ZMB|9SPLARM|aRPLT
142	23616 25133	   	185.89	ACR|4VULN|3CDMG|1AART	1478VULN|268CDMG|3RCR|58LIT|8BPWR|9RPLT|aAART
143	26315 13162	   	185.87	DCR|2VULN|1AART|1ASPD|1DMG	14VULN|2MLV|37LHND|5AART|6ASPD|8DMG|9RCR|aRMIN
144	23611 63224	   	185.86	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	14VULN|2CDMG|3RCR|5DUST|6DUR|7FEWX|8DMG|9ASPD|aAART
145	21411 62321	   	185.85	DCR|3VULN|1SPLARM|1CDMG|1ZMB	145VULN|24TLV|3RCVC|4BPWR|6RCR|7CDMG|8ZMB|9SPLARM|aDUST
146	21411 62323	   	185.85	DCR|3VULN|1SPLARM|1CDMG|1ZMB	145VULN|24TLV|3RCVC|4BPWR|6RCR|7CDMG|8ZMB|9SPLARM|aMBVNT
147	21411 62326	   	185.85	DCR|3VULN|1SPLARM|1CDMG|1ZMB|1MSE	145VULN|24TLV|3RCVC|4BPWR|6RCR|7CDMG|8ZMB|9SPLARM|aMSE
148	21315 13162	   	185.77	DCR|2VULN|1AART|1ASPD|1DMG	14VULN|2TLV|37LHND|5AART|6ASPD|8DMG|9RCR|aRMIN
149	26435 12233	   	185.69	DCR|2VULN|2CDMG|1ASPD|1ZMB|1DUR	19VULN|2MLV|3RCVC|49AELBLL|5ASPD|6DUR|79CDMG|8RCR|9BPWR|aZMB
150	26411 62213	   	185.52	DCR|3VULN|1DMG|1CDMG	145VULN|24MLV|3RCVC|4BPWR|6RCR|7CDMG|8BEXP|9RMIN|aDMG
151	21413 13256	   	185.46	DCR|3VULN|1DMG|1CDMG|1DUR	149VULN|24TLV|3RCVC|4BPWR|5MLV|6DUR|7CDMG|8RCR|aDMG
152	26411 62113	   	185.42	DCR|3VULN|1DMG|1CDMG	145VULN|24MLV|3RCVC|4BPWR|6RCR|7CDMG|8LEGI|9RMIN|aDMG
153	21415 12252	   	185.36	DCR|3VULN|1ASPD|1CDMG|1DUR	149VULN|24TLV|3RCVC|4BPWR|5ASPD|6DUR|7CDMG|8RCR|aERES
154	21411 61153	   	185.32	DCR|3VULN|1DMG|1CDMG	145VULN|24TLV|3RCVC|4BPWR|6RCR|7FEWX|8RMIN|9CDMG|aDMG
155	21411 62213	   	185.32	DCR|3VULN|1DMG|1CDMG	145VULN|24TLV|3RCVC|4BPWR|6RCR|7CDMG|8BEXP|9RMIN|aDMG
156	21411 62513	   	185.32	DCR|3VULN|1DMG|1CDMG	145VULN|24TLV|3RCVC|4BPWR|6RCR|7CDMG|8FEWX|9RMIN|aDMG
157	21411 62113	   	185.22	DCR|3VULN|1DMG|1CDMG	145VULN|24TLV|3RCVC|4BPWR|6RCR|7CDMG|8LEGI|9RMIN|aDMG
158	21411 63151	   	185.22	DCR|3VULN|1DMG|1CDMG	145VULN|24TLV|3RCVC|4BPWR|6RCR|7DMG|8RMIN|9CDMG|aLEGI
159	21411 63153	   	185.22	DCR|3VULN|1DMG|1CDMG	145VULN|24aTLV|3RCVC|4BPWR|6RCR|7DMG|8RMIN|9CDMG
160	26411 61221	   	185.12	DCR|4VULN|1ASPD	1459VULN|24MLV|3RCVC|4BPWR|6RCR|7FEWX|8ASPD|aRMIN
161	23512 23231	   	184.97	DCR|1SPLARM|2VULN|1ASPD|1CDMG|1ZMB	15VULN|2CDMG|3TSLFST|459CGEN|5BPWR|6RCR|7ZMB|8SPLARM|aASPD
162	14132 33413	 * 	184.94	DCR|3ASPD|1VULN|1DMG|1CDMG	1CGEN|246ASPD|3BEXP|5CDMG|7RCR|8LIT|9VULN|aDMG
